잡지명	개벽
발행일	1925년 04월 01일
기사제목	南國行 (Journey to the Southern Country)
필자	尙進
기사형태	소식 (News/Report)

南國行
						尙進 (Sang Chin)

山謠一曲 淚添巾 (A mountain song, tears soak the handkerchief)
Although the past affairs of Sŏngsan Kaya (星山伽倻) find no one to answer when asked, and no trace can be found even when searched for, could anyone have imagined that Sŏngju (星州), once a great stronghold (雄州) of Yŏngnam province, which at one time administered 14 counties (縣) and until recently was the seat of a Provincial Governor (牧使), would become this desolate and bleak (蕭條)? Time and tide (物換星移) have their limits. The market streets look as if an autumn wind has swept through, the roads are unkempt, the only centers for goods distribution are a few shops owned by foreigners (外人), and the only gathering organization is a Youth Association (靑年會) that smells of the gentry and bureaucracy. Nevertheless, claiming to raise basic funds for assembly, the young men organize processions mimicking old official progresses (원노름 - 舊式의 守令行次를 倣하야) and go around villages soliciting donations. Is this satirizing or longing for the extortion of public wealth (民財討索) by the officials of a ruined nation (亡國 官吏輩)? It's impossible to know their true intention. So, what is the standard of living like? Sŏngju, exhausted by the calamities of war from the Tonghak Rebellion (東學) and the Righteous Army (義兵), suffered adding frost to snow (雪上加霜) with the Great Flood of 1910 (庚戌의 大洪水). The debt owed to the Chiksangŭnhaeng (殖産銀行 - Industrial Bank) alone is over 800,000 Wŏn for the entire county. Generally speaking, it's a pathetic situation, and adding to that the gap between rich and poor (貧富의 懸隔), a common ill in southern Korea (南鮮通弊), the life of the masses is imaginable without saying (不言可想). As former provincial governor Chŏn Sŏngo (全省吾) said, it is the reality that the people lack a spirit of progress (無進就之氣像). What might the future hold?
Pointing out the Sŏngsan Fortress site (星山城址) while crossing Sŏngch'i (星峙 - Star Pass), the evening sun filters through the pine grove. Just then, the long-drawn-out mountain song (山謠一曲) of a woodcutter boy strikes the eardrums too sorrowfully and mournfully (哀切悽切). The sound waves permeate the heart and liver like an electric current, turning into cold tears that fall.

琴韻寥寥 石蒼苔 (The zither's echo faint, moss green on the stones)
Koryŏng (高靈), consisting of 9 myŏn, 97 villages (洞里), 9,400 households, and 52,000 people, might be considered a small county in a mountain gorge by anyone who sees it, but tracing back its ancient history, it was the proud capital of the Great Kaya Kingdom (大伽倻國) for 520 years. How many times have flowers bloomed and leaves fallen in the dense Kŭmrim forest (錦林)? How many tens of thousands have come and gone by the deep green Royal Well (御井)? Although the creation of the Kayagŭm (伽倻琴) holds great value in our music history, the fact that only the place name (Kŭmgok - 琴谷) is passed down makes it hard to suppress tears of reminiscence (懷古) (It is said that during the reign of King Kasil (嘉悉王) of Great Kaya, a musician created the 12-string zither in this valley). Is it not heartbreaking that ancient relics like stone pillars (石柱), stone Buddhas (石佛), and stone lanterns (石燈) are simply left to the mercy of wind and rain (風磨雨洗)?
Here too, the lingering effects of the 1910 flood (庚戌의 洪水餘孼) have not yet allowed recovery (蘇回). The population (戶口) has decreased, debt has increased, and the "3 myŏn, 1 school" system (3面 1校制) only holds hope of being realized this spring. The Youth Association's meeting hall (會舘) is even facing questions of survival due to debt issues; how can this not be a significant problem for the rise and fall of the region (地方興替)? <53> It's hard not to feel sympathy for the few young sprouts (二三몽모) struggling and gasping. At the same time, one cannot but urge them to fight passionately (熱烈한 奮鬪). County Magistrate Kwŏn Chungik's (權重翼) effort to organize a Grain Storage Promotion Association (貯穀實施共勵會) as a countermeasure against the Chiksangŭnhaeng debt is also commendable. If only that effort could be sustained persistently, it might become a rescue measure in the worst case. Also, I am grateful to Mr. Cho Pyŏnguk (趙秉郁) who works for our Kaebyŏk Movement (開闢運動) whenever he has time. Consequently, it is no small regret that I could not meet him on this trip.

小金剛裡大藏經 (In Little Kŭmgang, the Great Sutra Repository)
『伽倻山景問松落老僧曰紅流洞口花吹笛峯頭月』 (Asking about Kayasan's scenery, the pine-shedding old monk says: "At Hongnyudong entrance, flowers play the flute; on the peak, the moon.") This is a poem about Haeinsa Temple (海印寺) by Master Ch'oe Ch'iwŏn (崔致遠). Then, should those like me who come when there are no flowers and no moon say they haven't seen the scenery of Kayasan (伽倻山)? No. I have seen it. I saw a scene purer (淸楚) and more sublime (高潔) than that. Namely: At Hongnyudong entrance, pines play the flute; on the peak, snow. Readers might perhaps call this a forced argument. However, I think if one wants to see flowers, the vicinity of a city is better, and the beauty of the moon is far superior on the coast or the banks of a great river. At the very least, I believe that seeking deep mountains and visiting ancient temples is valuable in that one seeks to taste not splendid beauty (華麗美) or bright beauty (明朗美), but rather a secluded (幽寂) and transcendental (超世間的) sublime beauty. Is that all? The rushing water overflowing from the dark green deep pools (靑黑한 深潭) leaps loudly over ice like piles of blue jade (碧玉堆), and the ice and snow cover the messy carved names on the rocks, eliminating that musty human smell – how magnificent a view (絶景)! If anything, the scholar-official-like (志士的) green pines and clumps of bamboo here and there, showing composure (顔色自若) amidst any wind and snow, how much they gladden the heart! Enough idle talk, let's briefly discuss Haeinsa.
This temple, founded 1,124 years ago during the reign of Silla King Aejang (新羅 哀莊王) by Great Master Sunŭng (順應大師), is a major temple (大刹) counted among the foremost not just in Kyŏngsangnam-do but in Korea (朝鮮), and the location of the famous Tripitaka Koreana woodblocks (大藏經板閣). It's no wonder that visitors come and go incessantly (絡繹不絶) for the spring flowers and autumn maples, and everyone knows that the woodblocks themselves are a great source of pride in our cultural history. Completed 625 years ago, the 86,003 (팔만육천삼매) wooden blocks contain 1,571 titles (部秩) and 7,146 volumes (卷) of Buddhist scriptures (佛經). The wood is birch (樺 - 거재나무), coated entirely with lacquer (染) to prevent decay (腐蝕), and the corners are decorated with copper and iron to prevent damage (파손); one can see the meticulous planning (周到한 用意) of the time. It is also considered a miracle that although this temple has experienced the calamity (劫運) of fire six times, the flames and soot (焰塵) did not touch the blocks, and birds do not nest (烏雀의 棲息이 업슴) inside the repository. However, it is said that because the police manage the repository, observation is often inconvenient. (Though I saw it immediately upon arrival.) Since I'm writing, let me briefly note Haeinsa's recent state. Just a few years ago, there was a temple-run private elementary school, an educational institution for local scholars (地方學林), which guided many <54> boys, but now it is just a desolate old temple. Is that all? The entire temple is facing questions of survival, and the remaining monks are frowning and struggling. According to what I heard, the former abbot Yi Hoegwang (李晦光) wasted temple assets (寺財), and his subordinate Chin Ch'angsu (陳昌洙) also incurred substantial debt (多大한 起債) under Yi's name, which is now tied to Haeinsa's fate. The Kwanghwamun Financial Cooperative (京城 光化門金融組合) in Seoul (京城) has placed attachment notices (差押의 紅紙) on the temple's treasures and implements for a matter of 4,500 Wŏn. A debt of 77,000 Wŏn from the Chiksangŭnhaeng, borrowed using the pretext of the Chŏng-dong Mission Hall (貞洞 布敎堂) in Seoul, has already been decided to be repaid in annual installments (年賦償還) of 10,000 Wŏn each year. The land price of 130,000 Wŏn for that site was barely cancelled. Other debts incurred through Yi's promissory notes, totaling over 100,000 Wŏn, are reportedly still under litigation along with the Chin Ch'angsu affair. It requires no lengthy discussion (贅論) that Yi Hoegwang forcefully occupied the abbot's chair for over ten years and committed tyranny (橫暴) through various means, causing numerous disturbances not only at Haeinsa but also in the Korean Buddhist world (朝鮮 불교계), and repeatedly provoking public opinion (社會公論). However, thinking that the extreme lack of awareness (각성) and weakness (柔弱) of Korean monks (朝鮮의 승려) led to today's situation, one cannot suppress a sigh (一歎). At the same time, I urge all Buddhist disciples (佛弟子 諸氏) to strive so that there will be no second or third Yi Hoegwang.

見牛未見羊의 永川郡廳 (Seeing the Ox but Not the Sheep at Yŏngch'ŏn County Office)
In Yŏngch'ŏn (永川) County's Hwadong-myŏn (華東面) area, the local wealthy men Mr. Yi (李某) and Mr. Chŏng (鄭某) occupy most of the land. The tenant farming system (小作制) has been based on fixed rent (定賭). During last year's drought (早害), on fields that were nearly barren (赤地), the ox-like landlords (소 가튼 地主) demanded payment according to the previous example (依前例). The tenant farmers stopped harvesting and went to the Myŏn office (面所) several times to plead their case (陳情의 哀願). The County office (郡廳) pretended to be most sympathetic and sent a Farmers' Association technician (農會技手) to tell the assembled tenant farmers that paying the fixed rent this year was indeed unfair (冤抑), and declared that on a certain day (某日), the Farmers' Association would definitely dispatch someone to attend (立會) the harvest site and ensure a half-share division (半分하도록 하리라). However, on that appointed day (期日), the tenant farmers waited all day in front of the Myŏn office, but saw neither hide nor hair (形影) of the supposed attendee then or for several days after. Ah, these sheep-like (羊가치), merely gentle tenant farmers, still wanting only to avoid losing their tenancy rights for the next year, did as the wicked landlords (惡地主) demanded. The general public criticizes the County authorities (郡當局), saying they completely ignore (頓不顧見) the sheep-like tenant farmers while only looking up to the ox-like rich guys (소가튼 부자 놈).

若合符節의 兩地靑年 (Youth of Two Places, Like Matching Tally Halves)
Last January, when observing the general meeting of the Ilchik Youth Association (一直靑年會) in Andong County (安東郡), the deepest impression was that those young people were focusing their efforts (專力) on educating propertyless children (無産兒童敎育). They had established small-scale labor night schools (勞働夜學) in each of the 11 villages (洞里) and were educating about 400 laborers. This time, passing through Ulsan (蔚山), I heard that the Sidae Youth Association (時代靑年會) in Sangnam-myŏn (上南面) is doing exactly the same thing through 19 myŏn (面), also passionately educating about 400 laborers in 11 locations.<55> Grasping onto the declining rural villages, their efforts mixed with blood and tears are so commendable, and the fact that even the numbers match (數字까지 符合됨) cannot but be called a miraculous story (奇蹟的 이약이거리).

不如無書의 通度山門 (Better No Writing at the T'ongdo Mountain Gate)
Looking towards Yŏngch'wisan (靈鷲山) from Sinp'yŏng-ri (新平里) and walking for a while, there are two stone pillars (石柱) erected, with phrases like "Great Head Temple of Buddhism, T'ongdosa" (佛刹 大本山 通度寺) and "Mountain Gate Prohibits Pungent Foods and Alcohol" (山門禁葷酒) written large and specially carved (大書特刻). Anyone here would imagine a place of pure Buddhist law (淸淨法界의 道場) and feel reverence. While strolling leisurely for several ri (里) through the dense green pine forest (蒼鬱한 松林), I felt a sense of spiritual purification (神思의 灑落). However, upon reaching the temple gate (寺門), seeing a large-scale tavern (規模宏大한 술집), abundant fish side dishes (豊備한 생선안주), a cauldron of fishy-smelling (腥臭나는) bluefish soup (靑魚국), and a tobacco retail shop (煙草小賣商店), I felt the same unpleasantness as passing by a back-alley tavern in Seoul. Perhaps this is designed for the convenience of lay visitors (俗客). The monks themselves, of course, must practice the prohibition of pungent foods and alcohol (禁葷禁酒)? However, if the calligraphy (法書) of the Great Zen Master (大禪師) and current abbot (現住持) (though the brushwork is lawless and formless - 無法無軆 - let's leave that aside) turns out to be such empty words (虛文), then truly, it is "better no writing" (不如無書).

亦或一道의 富豪事業 (Perhaps Also One Way: A Rich Man's Enterprise)
Mr. Kim Kyo-hwan (金敎桓), a wealthy man (富豪) in Yangsan County (梁山郡), concerned about the slump in Korean industry (朝鮮 實業界의 不振) and aiming to alleviate the difficulty elementary school graduates face in entering higher education (入學難), established a private agricultural and industrial school (私立農工學校) in Sangnim-ri, Sangbuk-myŏn (上北面 上森里), where his residence is located. For now, using temporary classrooms (假敎室), he has donated 10,000 Wŏn for establishment costs (6,000 Wŏn burdened by him, 4,000 Wŏn from other influential people) and approximately 10,000 p'yŏng of land for agricultural practice (農業實習地) (5,000 p'yŏng of fields, over 4,000 p'yŏng of paddy). He will also bear 4,000 Wŏn annually for maintenance costs. His son, Chŏng-p'yo (正杓), a promising local youth, is determined to realize this ideal and has already hired (雇聘) Mr. Chi Yŏngnin (池泳鱗), a graduate of Suwŏn Higher Agricultural School (水原高農), and is busy preparing for the school opening this April. The public praises Mr. Kim's admirable deed (美擧) while simultaneously considering its remote location a point of regret (遺憾).<56> <53-56>

**Summary**

This article by Sang Chin recounts his observations during a journey through southern Korea in early 1925, visiting Sŏngju, Koryŏng, Kayasan (Haeinsa), Yŏngch'ŏn, Andong, Ulsan, T'ongdosa, and Yangsan. He contrasts the past glories of these places (former administrative centers, ancient Kaya capitals, renowned temples) with their present state of decline, characterized by economic hardship (heavy debt, poverty, effects of floods and uprisings), decaying infrastructure, and social problems like the widening gap between rich and poor. He criticizes the indifference or corruption of local authorities (Yŏngch'ŏn), the financial mismanagement and moral decay within major Buddhist temples like Haeinsa and T'ongdosa, but also highlights hopeful signs like the dedicated efforts of youth associations in Andong and Ulsan establishing night schools for laborers and philanthropic initiatives like the private school founded by Kim Kyo-hwan in Yangsan.

For historians, the article offers a valuable ground-level perspective on rural Korean society under Japanese rule in the mid-1920s. It vividly documents the economic distress, the legacy of historical events (Tonghak, Righteous Army, 1910 flood), the functioning (or malfunctioning) of colonial-era administration and institutions like the Chiksangŭnhaeng (Industrial Bank) and local government offices, the struggles within the Buddhist community, and the emergence of grassroots social movements focused on education and community uplift. The candid critique of both traditional elites/institutions and colonial structures, alongside praise for nascent activism, provides insight into the complex social dynamics and consciousness of the period.

**Named Entities**

尙進	상진	Sang Chin
星山伽倻	성산가야	Sŏngsan Kaya
嶺南	영남	Yŏngnam
星州	성주	Sŏngju
靑年會	청년회	Ch'ŏngnyŏnhoe (Youth Association)
東學	동학	Tonghak
義兵	의병	Ŭibyŏng (Righteous Army)
殖産銀行	식산은행	Chiksangŭnhaeng (Industrial Bank)
南鮮	남선	Namsŏn (Southern Korea)
全省吾	전성오	Chŏn Sŏngo
星山城址	성산성지	Sŏngsan Sŏngji (Sŏngsan Fortress Site)
星峙	성치	Sŏngch'i (Star Pass)
高靈	고령	Koryŏng
大伽倻國	대가야국	Tae Kaya Kuk (Great Kaya Kingdom)
錦林	금림	Kŭmrim
御井	어정	Ŏjŏng (Royal Well)
伽倻琴	가야금	Kayagŭm
琴谷	금곡	Kŭmgok
嘉悉王	가실왕	King Kasil
權重翼	권중익	Kwŏn Chungik
貯穀實施共勵會	저곡실시공려회	Chŏgok Silsi Kongnyŏhoe (Grain Storage Promotion Association)
趙秉郁	조병욱	Cho Pyŏnguk
開闢運動	개벽운동	Kaebyŏk Undong (Kaebyŏk Movement)
伽倻山	가야산	Kayasan
海印寺	해인사	Haeinsa
崔致遠	최치원	Ch'oe Ch'iwŏn
紅流洞	홍류동	Hongnyudong
新羅	신라	Silla
哀莊王	애장왕	King Aejang
順應大師	순응대사	Sunŭng Taesa (Great Master Sunŭng)
慶南	경남	Kyŏngnam (South Kyŏngsang Province)
朝鮮	조선	Chosŏn (Korea)
大藏經板閣	대장경판각	Taejanggyŏng P'an'gak (Tripitaka Koreana Repository)
李晦光	이회광	Yi Hoegwang
陳昌洙	진창수	Chin Ch'angsu
京城 光化門金融組合	경성 광화문금융조합	Kyŏngsŏng Kwanghwamun Kŭmyung Chohap (Seoul Gwanghwamun Financial Cooperative)
京城 貞洞 布敎堂	경성 정동 포교당	Kyŏngsŏng Chŏng-dong P'ogyodang (Seoul Chŏng-dong Mission Hall)
永川	영천	Yŏngch'ŏn
華東面	화동면	Hwadong-myŏn
李某	이모	Mr. Yi
鄭某	정모	Mr. Chŏng
面所	면소	Myŏnso (Myŏn Office)
郡廳	군청	Kunch'ŏng (County Office)
農會	농회	Nonghoe (Farmers' Association)
安東郡	안동군	Andong County
一直	일직	Ilchik
一直靑年會	일직청년회	Ilchik Ch'ŏngnyŏnhoe (Ilchik Youth Association)
蔚山	울산	Ulsan
上南面	상남면	Sangnam-myŏn
時代靑年會	시대청년회	Sidae Ch'ŏngnyŏnhoe (Sidae Youth Association)
新平里	신평리	Sinp'yŏng-ri
靈鷲山	영취산	Yŏngch'wisan
通度寺	통도사	T'ongdosa
梁山郡	양산군	Yangsan County
金敎桓	김교환	Kim Kyo-hwan
上北面	상북면	Sangbuk-myŏn
上森里	상삼리	Sangsam-ri
私立農工學校	사립농공학교	Sarip Nonggong Hakkyo (Private Agricultural and Industrial School)
正杓	정표	Chŏng-p'yo
池泳鱗	지영린	Chi Yŏngnin
水原高農	수원고농	Suwŏn Konong (Suwŏn Higher Agricultural School)

**Glossary**

牧使	목사	Provincial Governor (Joseon Dynasty title)
物換星移	물환성이	Passage of time; things change
蕭條	소조	Desolate, bleak, deserted
업고	없고	(Older spelling) Lacking, without
자최	자취	Trace, track, vestige
잇지	있지	(Older spelling) Is, exists
하엿스랴	하였으랴	(Older spelling/rhetorical) Would it have done/been?
잇슬	있을	(Older spelling) That exists/will exist
원노름	원놀음	A procession mimicking old official progresses, often for fundraising or celebration
守令行次	수령행차	Official progress/procession of a local magistrate (Suryŏng)
亡國	망국	Ruined nation
民財討索	민재토색	Extortion of the people's wealth
東學	동학	Donghak (Eastern Learning); often refers to the Donghak Peasant Revolution
義兵	의병	Righteous Army (esp. anti-Japanese militias)
兵禍	병화	Calamities of war
疲弊	피폐	Exhaustion, impoverishment
庚戌	경술	Gyeongsul year (1910); often refers to the Great Flood of 1910 or the Annexation
雪上加霜	설상가상	Adding frost to snow; making a bad situation worse
負債	부채	Debt, liability
南鮮通弊	남선통폐	A common ill/problem in southern Korea
貧富의 懸隔	빈부의 현격	Wide gap between rich and poor
無進就之氣像	무진취지기상	Lacking a spirit of progress/advancement
星峙	성치	Star Pass (Place name)
樵童	초동	Woodcutter boy
山謠	산요	Mountain folk song
哀切悽切	애절처절	Sorrowful and mournful
耳膜	이막	Eardrum
心肝	심간	Heart and liver; one's innermost feelings
伽倻琴	가야금	Kayagŭm (Traditional Korean zither)
石柱	석주	Stone pillar
石佛	석불	Stone Buddha
石燈	석등	Stone lantern
風磨雨洗	풍마우세	Worn away by wind and rain
洪水餘孼	홍수여얼	Lingering effects/disaster of a flood
蘇回	소회	Recovery, revival
戶口	호구	Households, population
存廢問題	존폐문제	Question of survival or abolition
興替	흥체	Rise and fall, vicissitudes
몽모	몽모	Young sprout, fledgling (uncertain reading/meaning in context, possibly 萌芽)
貯穀實施共勵會	저곡실시공려회	Grain Storage Promotion Association
開闢運動	개벽운동	Kaebyŏk Movement (Associated with the magazine Kaebyŏk, implying enlightenment or a new era)
大藏經板閣	대장경판각	Tripitaka Koreana woodblock repository
順應大師	순응대사	Great Master Sunŭng
哀莊王	애장왕	King Aejang (Silla Dynasty)
樺	화	Birch tree (거재나무)
染	염	Dye, lacquer, coating
劫運	겁운	Calamity, misfortune (Buddhist term)
焰塵	염진	Flames and soot/dust
烏雀	오작	Crows and sparrows; birds in general
棲息	서식	Habitat, nesting place
업슴	없음	(Older spelling) Non-existence, lack of
住持	주지	Abbot (of a Buddhist temple)
囊費	낭비	Waste, extravagance
起債	기채	Incurring debt, borrowing money
差押	차압	Attachment, seizure (legal)
紅紙	홍지	Red paper (often used for official notices like attachments)
年賦償還	연부상환	Annual installment repayment
贅論	췌론	Superfluous discussion, lengthy explanation
各性	각성	Awareness, awakening
柔弱	유약	Weak, feeble
見牛未見羊	견우미견양	Seeing the ox but not seeing the sheep (allusion to Mencius, implying focus on the powerful/obvious while ignoring the weak/less visible)
巨富	거부	Extremely wealthy person
小作制	소작제	Tenant farming system
定賭	정도	Fixed rent (paid by tenant farmer regardless of harvest yield)
早害	조해	Drought damage
赤地	적지	Barren land (due to disaster)
陳情	진정	Petition, appeal
哀願	애원	Pleading, entreaty
農會技手	농회기수	Farmers' Association technician/expert
冤抑	원억	Injustice, grievance, unfairness
期日	기일	Appointed day, deadline
形影	형영	Form and shadow; trace, sign
若合符節	약합부절	Like matching halves of a tally; perfect agreement/coincidence
無産兒童敎育	무산아동교육	Education for children of the propertyless/proletariat
勞働夜學	노동야학	Labor night school
佛刹 大本山	불찰 대본산	Great Head Temple of Buddhism
禁葷酒	금훈주	Prohibition of pungent vegetables (garlic, onions etc.) and alcohol
灑落	쇄락	Refined, free from worldly cares, purified (often of spirit)
及其	급기	Upon reaching, when it came to
腥臭	성취	Fishy smell, rank odor
靑魚국	청어국	Bluefish soup (Herring soup is also possible, depending on "靑魚")
俗客	속객	Lay visitor, worldly guest
法書	법서	Calligraphy (often of a respected person like a monk)
無法無軆	무법무체	Lawless and formless; unconventional (often used critically of art/calligraphy)
不如無書	불여무서	Better no writing/book (than bad or misleading writing)
亦或一道	역혹일도	Perhaps also one way/method
富豪	부호	Wealthy person, plutocrat
實業界	실업계	Business/industrial world
不振	부진	Slump, stagnation, inactivity
入學難	입학난	Difficulty in entering school
假敎室	가교실	Temporary classroom
實習地	실습지	Practice field/land (for agriculture/industry)
雇聘	고빙	To hire, employ (often for professionals)
美擧	미거	Admirable deed, praiseworthy act
遺憾	유감	Regret, pity
-e 

---------------------------


잡지명	개벽 제58호
발행일	1925년 04월 01일
기사제목	南國行
필자	尙進
기사형태	소식

南國行
						尙進
山謠一曲 淚添巾
星山伽倻의 往事는 물어야 대답할 이 업고 더듬어 차즐 자최 업다 할지라도 嶺南의 一大 雄州로 한때는 14縣을 總轄하고 近古까지 牧使의 坐定하엿든 星州는 物換星移도 분수가 잇지 이처럼 적막하고 蕭條할 줄 짐작이나 하엿스랴. 市街는 秋風이 지내간 듯 하고 도로는 정돈되지 못하고 物貨集散이라고는 外人의 상점 幾個所가 잇슬 뿐이고 集會機關이라고는 양반냄새 관료냄새 나는 靑年會가 잇슬 뿐이다. 그래도 집회의 基本金을 모집한다고 청년들은 원노름을 (舊式의 守令行次를 倣하야) 조직하야 村落으로 돌아다니면서 기부를 請한다. 이것이 亡國 官吏輩의 民財討索을 諷刺함인가 憧憬함인가. 도모지 그 眞意를 알 수 업다. 그러면 생활정도는 어떠한가. 東學, 義兵의 兵禍에 疲弊한 星州는 庚戌의 大洪水로 雪上加霜격이다. 殖産銀行의 負債만이 全郡 80여 만元이라니 대체로 보아서 한심하고 그 우에 南鮮通弊인 貧富의 懸隔을 加味하엿스니 대중의 생활은 不言可想이로다. 全省吾郡守 말과 가티 인민이 無進就之氣像임은 현실이 그러하다. 장래는 어떠할는지?
星山城址를 指點하면서 星峙(별틔)를 넘을 때는 석양이 솔숩 사이로 漏照한다. 맛츰 樵童의 길게 빼는 山謠一曲이 넘우나 哀切悽切하게 耳膜을 두다린다. 音波는 電流와 가티 心肝을 숨여들고 숨여들고 싸늘한 눈물로 化해 떠러진다.

琴韻寥寥 石蒼苔
9面 97洞里 9,400戶 5만2천 인구로 된 高靈은 뉘가 보든지 山峽小色이라 하겟지마는 멀니 古代史를 溯考하면 당당한 大伽倻國의 520년간 古都地이다. 첩첩한 錦林에 꼿 피고 입 떠러지기 무릇 幾回이며 深碧한 御井에 人來人去가 또한 멧 萬인가. 伽倻琴의 創作이 우리 음악사에 위대한 가치가 잇건마는 다만 그 地名(琴谷)만 傳함은 懷古의 눈물을 禁키 어렵고(大伽國 嘉悉王時 一樂人이 此谷에서 12絃琴을 製作 云) 石柱, 石佛, 石燈 가튼 고적을 그냥 風磨雨洗에 一任함은 엇지 傷心할 일이 안이랴.
이 곳도 庚戌의 洪水餘孼이 아즉 蘇回되지 못하엿다. 戶口는 줄어지고 負債는 늘어가며 3面 1校制도 今春에야 겨우 실현될 희망이 잇다 한다. 청년회는 負債 관계로 會舘까지 存廢問題 중이라니 이 엇지 地方興替에 적은 문제이랴.＜53＞ 二三몽모가 애쓰고 허덕어리는 것은 동정을 禁키 어렵다. 동시에 열렬한 奮鬪를 一囑하지 안을 수 업다. 權重翼군수가 殖産銀行 債金 대응책으로 貯穀實施共勵會를 조직한 것도 가상한 일이다. 그것이나마 끈기 잇게 노력하엿스면 萬一의 구제책이 될가 한다. 그리고 우리 開闢運動을 위하야 틈 잇는대로 활동하는 趙秉郁군을 고맙게 생각한다. 따라서 이번 길에 맛나지 못한 것은 不少한 遺憾이다.

小金剛裡大藏經
『伽倻山景問松落老僧曰紅流洞口花吹笛峯頭月』 이것은 崔致遠선생의 海印寺詩이다. 그러면 나와 가치 꼿 업고 달 업는 때 온 者는 伽倻山景을 보지 못햇다 할가. 아니다. 나는 보앗다. 그보다 더 淸楚하고 高潔한 景을 보앗다. 말하자면 紅流洞口松吹笛峯頭雪 이것이다. 讀者 或 억지 수작이라 할는지 모른다. 그러나 꼿을 보랴면 도회지 근방이 조코 달의 美는 해안이나 大江 언덕이 훨신 나을 줄 생각는다. 적어도 深山을 찻고 古刹에 오는 자는 華麗美 明朗美 그것보다 幽寂하고 超世間的인 高潔美를 맛보려 하는 점에서 가치 잇다고 나는 생각는다. 그뿐이랴. 靑黑한 深潭에서 넘치는 奔波는 碧玉堆 가튼 어름 우으로 소리 놉혀 뛰여 나리고 너저분한 石上의 刻名은 氷雪이 가리워서 그 퀴퀴한 인간냄새를 업도록 함이 얼마나 絶景이랴. 잇다면 志士的인 蒼松과 군대군대의 叢竹이 아무러한 風雪에도 顔色自若한 그것이 얼마나 마음을 깃부게 하는 것이리오. 閑談은 그만두고 海印寺 이약이나 대강 하자.
