잡지명	개벽 신간 제1호
발행일	1934년 11월 01일
기사제목	世界的 危機와 歐洲政局 (Global Crisis and the European Political Situation)
필자	辛日鎔
기사형태	논설 (Editorial/Essay)

Global Crisis and the European Political Situation
						By Sin Il-yong

That the entire world is now facing a catastrophic crisis is a kind of obsession consciously or unconsciously harbored by almost all nations and peoples in common.

Then, what exactly is the true nature of that crisis?

Is it because the revision issues of the Nine-Power Treaty and the London Naval Treaty, whose terms expire in '36 [1936], lie ahead? Or is it due to the expectation that Japan's legal withdrawal from the League of Nations will take effect in '36, simultaneously raising the South Seas Mandate issue? Is it because the Disarmament Conference ruptured due to Nazi Germany's demand for arms equality? If one grasps the global crisis in this way, it is merely following journalistic sensationalism or is nothing more than an idealistic observation focusing on the formal diplomatic stage.

The "crisis" as an obsession that stubbornly refuses to leave the minds of the world's people requires analysis based on more serious, fundamental facts.

Therefore, facing the crisis itself, we must focus on and investigate these fundamental facts.

The true nature of the crisis can be said to be the inevitable fact that the chain of the international economy, which had existed outside the global system, was decisively thrown into disequilibrium due to the terminal panic since '31 [1931]—the malignant agricultural crisis and industrial cycle causing an imbalance in the supply/demand process of agricultural and industrial products and international trade—along with the anguish stemming from the fact that all countermeasures by various countries to remedy and correct this situation failed to bring the light of resolution.

The fact that relations in production and trade, both domestically and internationally, have lost balance and are diverging contradictorily, making people's lives unstable and nervously shaking international relations the most; the currently most intense international tariff war is also due to this; the crude political situations in the great powers, which cannot avoid making major reforms to political and economic structures; the re-division of the world market through the formation of blocs; and the fact that international diplomatic relations, which have been mutually confronting and repelling each other chronically and spasmodically since the end of the Great War, are suddenly worsening convulsively—all stem from this.

To explain more concretely, the London Economic Conference held in June last year not only yielded no results over its 70-odd days but merely strengthened economic nationalism—this is still a vivid fact in our <8> memory. With that conference as a watershed moment, the most blatant tariff war unfolded among the great powers, with each frantically striving to protect domestic industries and prevent social dumping, while simultaneously planning to expand and strengthen blocs encompassing their respective political spheres of influence. Furthermore, armed offensives in the struggle for markets targeting colonial and semi-colonial countries surrounding the Pacific Ocean began to be expressed with unprecedented insidiousness. And on the other hand, taking advantage of the slight recovery in domestic economies facilitated by tariff barriers, bloc formation, the advance of the munitions industry, and inflation policies, they are daringly undertaking a re-examination of the entire political and economic structure based on Fascist ideology. Not only Fascist Italy or Nazi Germany are dictatorial Fascist states; virtually every country, large or small (excluding the Soviet Union), is governed by Fascist political thought. Britain's National Government, Japan's interim cabinet, America's N.R.A., and France's new cabinet all signify the relative victory of Fascist ideology.

With such upheavals in the political and economic structures of the world's major countries, it is an unavoidable fate that trade treaties between nations based on liberalism are trampled and abolished, and it is not strange that capitalist international diplomacy, which held cooperativism as its golden rule, consistently ends in confrontation and breakdown. Furthermore, as a strong military background is required in intending to strengthen blocs and secure markets, it is an inevitable conclusion that the disarmament conference failed and an unprecedented era of military expansion emerged. In short, the fundamental driving force currently intensifying the undercurrent of crisis in the world's political situation, moment by moment, originates from the grave pathology of the contradictory divergence between production and trade, which is the central problem of the terminal economic crisis.

We have generally investigated the essence of the global crisis. However, we must go a step further and strictly define the current stage of the European political situation, which is a "point" of the world crisis, to grasp the essence of the crisis comprehensively.

Recently, European journalism is said to be popularly using the phrase "Europe is the Balkans of the world." This is a startling remark that most concisely expresses the chaotic and entangled interests and confrontations among the European powers today, and it extremely sharply stimulates the nerves of the world's people, especially Europeans, who are dominated by the obsession of crisis. Why is this? Because the word "Balkans" has traditionally been interpreted by the general public as synonymous with an international situation like an active volcano, or like a terrifying danger signal of international conflict.

If we recall that we once referred to the Korean Peninsula as the "Balkans of the East" around the time of the Russo-Japanese War, and also propagandized Manchuria as the "Balkans of the Far East" before the 9/18 [Manchurian] Incident, we can guess that it is by no means unreasonable for them to be nervous about the phrase "Europe is the Balkans of the world."

So, in what state is the European political situation now that it is said to have become comparable to the "Balkans," the cancer of the world?

The state of confusion in the European political situation that we see through recent news reports can truly only be described as hysterical. <9> The shifting alliances reminiscent of China's Warring States period are being reenacted today, with treaties concerning security guarantees, ententes, alliances, non-aggression, etc., literally changing morning and evening, centered around the great powers like France, Germany, Italy, the Soviet Union, and Britain, along with the smaller countries moving like satellites around them. Meanwhile, visits by important politicians from various countries are also quite frequent, creating an atmosphere where some major event seems bound to erupt at any moment. Even as I write this, Hitler, at the 20th-anniversary ceremony of the Great War for Nazi Germany, vehemently denounced the humiliating peace treaty with soaring spirits, and the League of Nations Secretariat laments that the current military strength of European nations has increased astonishingly compared to before the outbreak of the Great War, and that barracks and arsenals are replenished. Not only that, but reports convey rumors of a security treaty alliance among Germany, Czechoslovakia, the Soviet Union, and other Eastern European seven nations (Poland, Estonia, Latvia, Lithuania) as a countermeasure against the Franco-Soviet rapprochement; a rumor of a German-Japanese non-aggression treaty mediated by Britain; and a rumor of Franco-Little Entente solidarity strengthening to counter Germany, Austria, and Italy.

And on the other hand, the Anglo-American preliminary naval talks raise expectations of many future troubles, depending on how they unfold.

Although the fundamental cause of these trends in the European political situation, which dazzle the world's eyes, can ultimately be summarized as the conflict of interests arising from the contradictory divergence between production and trade explained in the previous section, we cannot be satisfied with such a principled view alone. Without analyzing and clarifying the conflicting interests, at the very least, we cannot make a judgment about the present and future European political situation.

However complex the European political situation may seem, like a tangled skein, if analyzed systematically, it can be observed from two aspects: the repetition of traditional European political peculiarities and rivalries handed down historically, and the unrest caused by the establishment of new power relations.

From the traditional aspect, important items include the fact that borders are complexly subdivided and historical rivalries are entangled; Britain's so-called "splendid isolation" policy—aiming to maintain hegemony in Europe by manipulating the Franco-German rivalry; France's security policy, a product of its Germanophobia (恐獨病); Franco-Italian rivalry for supremacy in the Mediterranean and the Danube basin; and the political interests of Britain, France, Italy, etc., in the Balkans and the Near East.

Next, from the aspect of unrest due to the establishment of new forces, one could list the formation and instability of the anti-Soviet front resulting from the emergence and growth of the Soviet Union, and the impact of Germany's Nazification on the Danube organization issue and the Balkans.

However, providing explanations for each of these complex aspects is not possible in such a short essay. Especially since they have inseparable causal relationships and do not permit vague arguments, here I must be content with providing the reader with a conceptual understanding.

Europe, having managed to almost completely emasculate Germany and Austria through the Treaty of Versailles, showed a temporary lull. However, during this period of calm, the Anglo-French rivalry and Franco-Italian discord suddenly surfaced. Britain, accustomed to commanding the European continent through splendid isolation by manipulating the balanced Franco-German rivalry, grew suspicious of France's potential European supremacy brought about by <10> Germany's submission. Italy, having lost its means (in Germany, Austria, or the Balkans) to check France's ascendancy, simultaneously felt uneasy about France's success—all plausible from a self-interested standpoint. However, there was one issue that caused common anxiety for Britain, France, and Italy: the existence of the international heretic, the Soviet Union. The Soviet Union did not just remain a heretic but constantly sowed the seeds of "reddening" (赤化) within their countries, plotting internal collapse, thus inevitably becoming a greater concern than weakened Germany. Consequently, they each, or jointly, devoted themselves to strengthening the anti-Soviet front. Britain, directly and indirectly, acted as the leader of the Western anti-Soviet front, joining hands with the Polish government, linking the Baltic states and Scandinavian states to form a large anti-Soviet front, and still did not neglect direct military and diplomatic intervention. France, despite succeeding in encircling Germany with the Little Entente countries, feared a German-Soviet rapprochement and never hesitated to undertake joint anti-Soviet actions with Britain. Italy, frantically focused on establishing a Fascist dictatorship domestically, could not but emerge as a champion in restraining and suppressing its sole ideological enemy, the headquarters of Communism (the Soviet Union). In a word, the central issue of post-Great War European international diplomacy was a concerto of the contradictory development of Anglo-Franco-Italian anti-Sovietism and their respective conflicts of interest.

Had the common enemy, the Soviet Union, not existed, the rivalries among those European powers might have escalated at a sharper angle, and the deterioration of the situation might have progressed that much faster. Originally shrewd in calculating their interests, they never neglected to consider the geographically and materially enormous Soviet Union whenever their mutual interests clashed. Soviet foreign policy itself—skillfully exploiting their contradictory rivalries—also proved effective, but whenever their mutual interests conflicted and reached an impasse, they sent overtures (秋波) to the Soviet Union, leading to the paradoxical result of enhancing its international status. Objectively viewed, Germany's rapid Nazification was a byproduct of the anti-Soviet front. The German people, internationally in a semi-colonial state, had no choice but to oppose France's status quo policy above all else, whether by turning left or right, to break down the current situation. Thus, seizing the opportunity presented by the somewhat relaxed French pressure after the Ruhr withdrawal, national thought rushed to extremes. One could guarantee that without the British and French-led anti-Soviet policy, a Communist revolution would not have broken out in Germany. However, Britain, being greatly interested in Germany's domestic political situation as a check on France, had a deep understanding of and sympathy for Hitler's right-wing movement and fostered its growth—this is a well-known fact. Therefore, the author boldly argues that Germany's Nazification was a byproduct of the European anti-Soviet movement. (Of course, this does not negate the view previously mentioned that the economic crisis is the general cause of the global trend towards Fascism). If this phrasing is acceptable, the anti-Soviet policy can be called the political cause of Germany's Nazification. (To be continued) <11>

**Summary**

The article analyzes the pervasive sense of global crisis in 1934, identifying its root cause not in superficial political events but in the fundamental breakdown of the international economic system since 1931—specifically, the imbalance between production and trade. This imbalance fuels economic nationalism, tariff wars, the formation of political blocs, and the rise of Fascism across major powers (except the USSR). The author then focuses on Europe, deemed the "Balkans of the world" due to its complex web of traditional rivalries (UK-France-Germany-Italy) exacerbated by new forces like the USSR and Nazi Germany. A key argument is that the major European powers' anti-Soviet policies, while ostensibly uniting them, paradoxically elevated the USSR's international standing and significantly contributed to the rise of Nazism in Germany, potentially fostered by British strategic interests aimed at counterbalancing French power.

*Historical Significance:* This article, penned by a Korean intellectual (Sin Il-yong) for a Korean audience during Japanese rule, demonstrates significant engagement with complex global geopolitics. It reveals an awareness of international economic and political theories (analyzing the depression's impact, rise of Fascism, power blocs) and offers a sophisticated, somewhat critical perspective on great power maneuvers. Historians might find it interesting for its insight into the intellectual climate of colonial Korea, showing how global events were interpreted and analyzed, possibly reflecting subtle critiques of imperialism and power dynamics relevant to Korea's own situation. The specific argument linking European anti-Soviet policies to the facilitation of Nazism represents a notable contemporary analysis from a non-Western viewpoint.

**Named Entities**

世界的 危機	세계적 위기	Global Crisis
歐洲政局	구주정국	European Political Situation
辛日鎔	신일용	Sin Il-yong
九個國條約	구개국조약	Nine-Power Treaty
倫敦海軍條約	윤돈해군조약	London Naval Treaty
日本	일본	Japan
國際聯盟	국제연맹	League of Nations
南洋委任統治領	남양위임통치령	South Seas Mandate
獨逸	독일	Germany
軍縮會議	군축회의	Disarmament Conference
倫敦經濟會議	윤돈경제회의	London Economic Conference
太平洋	태평양	Pacific Ocean
伊太利	이태리	Italy
蘇聯	소련	Soviet Union (USSR)
英國	영국	United Kingdom (Britain)
米國	미국	United States (USA)
佛國	불국	France
歐洲	구주	Europe
日露戰爭	일로전쟁	Russo-Japanese War
朝鮮半島	조선반도	Korean Peninsula
滿洲	만주	Manchuria
極東	극동	Far East
中國戰時代	중국전시대	Warring States Period (China)
獨	독	Germany
伊	이	Italy
蘇	소	Soviet Union (USSR)
英	영	United Kingdom (Britain)
첵크	체크	Czechoslovakia
波蘭	파란	Poland
에스트니아	에스토니아	Estonia
라트비아	라트비아	Latvia
리트바니아	리투아니아	Lithuania
東歐	동구	Eastern Europe
獨日	독일	German-Japanese
墺	오	Austria
英米	영미	Anglo-American (UK-US)
빨칸	발칸	Balkans
近東	근동	Near East
墺地利	오지리	Austria
벨사이유條約	베르사유조약	Treaty of Versailles
波蘭政府	파란정부	Polish Government
빨덕沿岸諸國	발트연안제국	Baltic States
스칸듸나諸國	스칸디나제국	Scandinavian States
小國協國	소국협국	Little Entente
히틀러	히틀러	Hitler

**Glossary**

개벽	개벽	Creation; dawn of a new era (magazine title)
논설	논설	Editorial; essay
抱懷	포회	To hold (an idea, feeling)
강박관념	강박관념	Obsession; fixed idea
대관절	대관절	After all; what on earth
압헤	앞에	Before; in front of (older spelling)
말미암어	말미암아	Due to; resulting from (older form)
가치	같이	Like; as (older spelling)
쩌나리즘	저널리즘	Journalism (loanword, older spelling)
추수	추수	Following blindly
입각	입각	Based upon
於是乎	어시호	Therefore; thereupon (Classical Chinese expression)
가젓슴으로	가졌으므로	Because (one) possesses/has (older form)
着目	착목	Focusing on; paying attention to
究明	규명	Investigation; clarification
공포	공황	Crisis; panic (used for 경제공황, economic crisis)
수급	수급	Supply and demand
乘離	승리	Divergence; disequilibrium; contradiction (specific usage)
匡救	광구	To rescue; remedy
矯正	교정	Correction; rectification
발로	발로	Expression; manifestation
정체	정체	True nature; identity
불안케	불안케	To make uneasy (older causative form)
바야흐로	바야흐로	Just now; increasingly
白熱化	백열화	Intensification; reaching white heat
關稅戰	관세전	Tariff war
기구	기구	Mechanism; structure; organization
改新	개신	Reform; renovation
열강	열강	Great powers
뿔록	블록	Bloc (loanword, older spelling)
痙摩的	경련적	Convulsive; spasmodic (metaphorical)
돌이어	도리어	Rather; on the contrary (older spelling)
仝會議	동회의	The said conference (仝 = 同)
분수령	분수령	Watershed; turning point
소시알·덤핑	소셜 덤핑	Social dumping
狂奔	광분	Rushing about madly
나어가서	나아가서	Furthermore; going further (older form)
未曾有	미증유	Unprecedented
陰險性	음험성	Insidiousness
팟쇼	파쇼	Fascism; Fascist (loanword, older spelling)
全機搆	전기구	Entire mechanism/structure
감행	감행	Daringly executing; pushing ahead with
밧게	밖에	Only; except (older spelling)
構搆	구조	Structure; framework (likely older/variant form of 구조)
蹂躪	유린	Trampling; violation
폐기	폐기	Abrogation; disposal
金科玉條	금과옥조	Golden rule; inviolable principle
더욱히	더욱이	Furthermore; moreover (older spelling)
軍擴時代	군확시대	Era of military expansion
요컨대	요컨대	In short; to sum up
암류	암류	Undercurrent
각일각	각일각	Moment by moment
病態	병태	Morbid state; pathology
발원	발원	Origination; source
한거름	한 걸음	One step (older spelling)
현계급	현 단계	Current stage/phase (likely typo or older usage for 현 단계)
웨그러냐햐면	왜 그러냐 하면	Because; the reason is (older spelling/phrasing)
밋	및	And; as well as (older spelling)
연형이합	연횡이합	Making and breaking alliances (from Chinese history)
조변석개	조변석개	Changing constantly (idiom)
자못	자못	Quite; very
통리	통리	Bitter denunciation
가경	가경	Astonishing; alarming
삭제책	견제책	Countermeasure; check (likely typo/variant for 견제책)
알선	알선	Mediation
현황케	현황케	To dazzle; confuse
설파	설파	Elucidation; clear explanation
난마	난마	Tangled skein; complex situation
공독병	공독병	Germanophobia (fear of Germany)
산물	산물	Product; result
쟁패	쟁패	Struggle for supremacy
반목	반목	Discord; antagonism
재래된	초래된	Brought about; caused (likely typo for 초래된)
발호	발호	Rampancy; dominance
견제	견제	Check; restraint
이단자	이단자	Heretic
적화	적화	Communization; "Reddening"
책동	책동	Plotting; maneuvering
체주	체주	Restraint; check (掣肘)
폐하면	요약하면	To sum up (蔽 likely used for 요약)
급예한	급예한	Sharp; acute (急銳한)
냉리한	영리한	Clever; shrewd (likely related to 伶俐)
간격될	간격될	To clash; become estranged
추파	추파	Amorous glance; overture (used metaphorically for diplomatic approach)
주효된 바	주효된 바	What proved effective
봉착될	봉착될	To encounter; face
때마나	때마다	Every time; whenever (older spelling)
부산물	부산물	Byproduct
루얼철병	루르 철병	Withdrawal of troops from the Ruhr
깁흔	깊은	Deep (older spelling)
조장	조장	Fostering; encouraging
주지	주지	Well-known
말살	말살	Obliteration; erasure
-e 

---------------------------


잡지명	개벽 신간 제1호
발행일	1934년 11월 01일
기사제목	世界的 危機와 歐洲政局
필자	辛日鎔
기사형태	논설

世界的 危機와 歐洲政局
						辛日鎔
지금 전세계가 파국적 위기에 직면하여 잇다는 것은 어느 나라 어느 국민을 물론하고 거의 공통하게 의식적 혹은 무의식적으로 抱懷하고 잇는 일종의 강박관념이다.
그러면 대관절 그위기의 정체는 무엇을 지칭하는 것인가.
36년 으로써 기한만료가 되는 九個國條約이나 倫敦海軍條約의 更訂問題가 압헤 잇는 까닭일가. 또는 36년에 日本의 국제연맹탈퇴의 법률상 효력이 발생하는 동시에 南洋委任統治領問題가 제기 될 것을 예상하는 所以일가. 나치스獨逸의 軍備平等要求로 말미암어 軍縮會議가 破裂된 까닭일가. 만일 세계적 위기를 이와 가치 파악한다면 그것은 쩌나리쯤의 선동에의 追隨가 아니면 형식적 외교단계에 치중하는 관념론적 관찰에 불과한 것이다.
전세계인민의 머리에서 집요하게 떠나지 못하는 강박관념으로서의 「危機」는 보담 더 심각한 근본적 사실에 입각한 분석을 요한다.
於是乎 우리는 위기 그것을 가젓슴으로 그 근본적 사실에 着目 究明하지 아니하면 안된다.
세계적 體外로 紀하여 잇든 국제경제의 연쇄가 31년이내의 말기적 공포 -악성의 농업공황과 공업순환으로 말미암어 농업 及 工業의 생산품의 수급행정과 국제무역의 균형관계가 결정적으로 乘離되지 아니치 못하게된 필연적 사실과 아울러 그것을 匡救矯正코자하는 각국의 一切의 대책이 해결의 광명을 가저오지 못하게 된 고민의 발로가 곳 위기의 정체라 할 수 있는 것이다.
국내적 국제적으로나 생산과 무역의 관계가 균형을 일코서는 모순적으로 乘離하고 잇서 국민의 생활을 불안케 하며 가장 국제관계를 신경질적으로 흔들고 잇는 것과 바야흐로 가장 白熱化한 국제關稅戰도 이것 때문이며 정치적 경제적 기구에 일대 改新을 가하지 아니치 못하는 열강의 조잡한 政情이나 뿔록의 결성으로써 세계시장을 재분열한 것이나 대전종식이후 慢性的 발작적으로 상호대립반발하고 잇다. 국제외교관계가 갑작히 痙摩的으로 악화되고 잇는 것들은 모다 여긔에 기인한 것이다.
좀 더 구체적으로 설명하면 작년 6월에 개최한 倫敦經濟會議가 개회 70여일에 하등의 소득이 업섯슬 뿐 아니라 돌이어 경제적 국민주의를 강화함에 불과하게 된 것은 아즉도 우리의＜8＞ 기억에 생생한 사실이어니와 仝會議를 분수령으로 하야 열강간에는 가장 노골적인 관세전이 전개되야 국내 산업의 보호와 소시알·덤핑의 방지에 각지 狂奔하는 동시에 각자의 정치적 세력권을 포괄한 뿔록의 확대강화를 도모하고 하지 못하고 나어가서는 太平洋을 圍繞하고 잇는 식민지 반식민지 국가를 대중으로 한 시장쟁탈전에 잇서서의 武裝的 進攻이 未曾有의 陰險性을 가지고 표현되면서 잇게 되엿다. 그러고 一方으로는 관세장벽, 뿔록의 결성, 군수품 공업의 약진, 인푸레숀 정책 등에 의하야 국내의 경기가 다소 회복된 틈을 타서 팟쇼사상에 의한 정치적 경제적 全機搆의 再檢討를 감행하면서 잇다. 팟쇼의 伊太利나 나치스獨逸만이 독재적 팟쇼국가가 아니라 적거나 크거나 어느 나라를 물론하고(蘇聯을 제한 외에는) 팟쇼적 정치사상에 지배되니 안는 나라가 업는 형편이다. 英國의 擧國一致內閣이나 日本의 中間內閣이나 米國의 N, R, A나 佛國의 新內閣이나 모다 팟쇼사상의 상대적 승리를 의미하는 者이다.
전세계 중요국가의 정치적 경제적 構搆에 如上의 격동이 잇는지라 자유주의에 입각한 각국간의 통상조약이 蹂躪, 폐기되는 것도 불가피의 운명이오 협조주의를 金科玉條로 한 자본주의적 국제외교가 대립과 결렬로 始終하는 것도 해괴한 일이 아니다. 더욱히 뿔록의 강화 시장의 확보를 의도함에 잇서서 강대한 군사적 배경을 필요로 하는 결과 군축회의가 실패되고 未曾有의 軍擴時代를 출현한 것도 당연의 결론이라 아니할 수 업는 것이다. 요컨대 지금 세계정국의 위기의 暗流를 刻一刻激化 식히고 잇는 근복적 동력은 말기적 경제공황의 중심문제인 생산과 교역의 모순적 乘離라는 重大 病態에서 발원되는 것이다.
우리는 세계적 위기의 본질을 대체적으로 究明하엿다. 그러나 한거름 더 나어가서 세계위기의 한 「포인트」가 되야 잇는 歐羅巴政局의 現階級을 엄밀히 규정하야 위기의 본질을 전면적으로 파악하지 아니하면 안된다.
