Magazine Title: 삼천리 제8권 제6호
Publication Date: 1936년 06월 01일
Article Title: 喜劇俳優 全景希와 石臥佛, 한 자리에 모이고, 一問一答記 (Comedy Actors Chŏn Kyŏnghŭi and Sŏk Wabul Gather in One Place, a Q&A Record)
Author: 相公 (Sanggong)
Article Type: 대담·좌담 (Interview/Discussion)

Comedy Actors Chŏn Kyŏnghŭi and Sŏk Wabul Gather in One Place, a Q&A Record
						Sanggong (相公)
『Chŏn Kyŏnghŭi (全景希)』
『Sŏk Wabul (石臥佛)』
Just hearing these two names makes one laugh instinctively. "Comedy" and "Chŏn Kyŏnghŭi, Sŏk Wabul" seem bound by an inseparable, deep connection; when thinking of "comedy," one naturally associates Chŏn Kyŏnghŭi and Sŏk Wabul, and when speaking of Chŏn Kyŏnghŭi and Sŏk Wabul, laughter precedes words.
Thus, we sought out Chŏn Kyŏnghŭi and Sŏk Wabul, who are exceedingly famous as comedy actors across the peninsula's mountains and rivers, at the Tongyang Theatre (東洋劇場) to hear their candid feelings and impressions from their 20 years on the comedy stage.
In early April, during a break in their extremely busy stage schedule—while garnering roars of laughter from the fans across the capital with their performances in "Chujŏng Pŏnggŏji" and "Hŭngbu Chŏn" (興夫傳) at the Tongyang Theatre—we finally met these two gentlemen for the first time in a quiet room in a corner upstairs. (Photo: Right is Chŏn Kyŏnghŭi, Left is Sŏk Wabul)<134>
Although I had seen their side-splitting performances on stage many times before, this was the first time I met them not as "Comedy Actors Chŏn Kyŏnghŭi and Sŏk Wabul" but simply as the individuals "Chŏn Kyŏnghŭi and Sŏk Wabul."
Facing these two in person, my preconception of them as "funny-looking people" vanished somewhere, and I discovered they were, unexpectedly, "dignified gentlemen."

Me - It's a great pleasure to have you both, who have become so famous as comedy actors that there's likely no one throughout the three thousand *ri* of Korea who doesn't know the names Chŏn Kyŏnghŭi and Sŏk Wabul, sitting together here today. Today, I'd like to hear many interesting stories without reservation—about how you can make the audience laugh better, and the joys and sorrows of being a comedy actor. I hope you'll candidly share the thoughts you've kept bundled up in your hearts today.
Sŏk - Yes, thank you.
Chŏn - ... (Just smiling)
Me - First, what kind of qualifications must a person have to become a comedy actor?
Sŏk - Someone who knows how to make people laugh brazenly, I suppose.<135>
Chŏn - That is to say, someone born with the innate talent to make people laugh. Haha...
Me - Then, do you both believe you were initially born with the talent to be comedy actors?
Chŏn - I don't know for sure, but it seems likely. Hahaha. But one can't definitively say just that. After all, if you meet a good mentor but can't properly develop your innate talent, it's impossible...
Sŏk - But in my opinion, things like talent or genius are secondary issues. It seems to work if you just earnestly and constantly research, thinking, "How can I make the audience laugh well?", create new funny lines and movements, and actually try them out on stage.
However, it might also be impossible for someone completely lacking comedic talent. So, in the end, I'd say it has to be someone who progresses steadily with half talent, half research...
Me - What kind of personality and disposition should one have to become a comedy actor?
Sŏk - I always think this... there's no one as unattractive as a comedy actor. Of course, they might be lacking as human beings in general, but in appearance (外貌), they are particularly unattractive individuals. As you can see, where else can you find such unattractive fellows as comedy actors? It wouldn't be wrong to say that handsome people are 'knocked out' from the potential pool of comedy actors. So, first, it's someone whose face, build, and behavior all combine to look like a simpleton. Hahaha.
Chŏn - Hey now, but they say the world-famous comedy actor Chaplin (촤푸린) is a handsome gentleman once he completely removes his makeup. Is that right? Besides, if the handsome men of Chosŏn hear this, suicides by drowning will occur one after another out of despair, so please refrain from such talk! Especially since I'm still unmarried, are you saying this because I'm all done trying to get married? Hahaha...
Sŏk - Well, of course, there are some handsome ones among them. Can there never be a 'special exception'? Haha....
Me - At what moments during a comedy does the audience often burst out laughing?
Sŏk - The biggest weapons a comedy actor has to make the audience laugh well are, first, 'speech,' second, facial expression, and third, movement. When any one of these—the actor's speech, expression, or movement—is particularly well-executed, hitting the mark so precisely as to prick the audience's heart, or in other words, move their heartstrings,<136> the audience laughs, clapping their hands and holding their stomachs in admiration. Among these, only when speech, movement, and expression are all perfectly aligned and natural does the audience truly find themselves unable to resist bursting into laughter (抱腹絶倒).
Me - What would you say is the secret technique of a comedy actor for making the audience laugh?
Sŏk - Everyone probably has what could be called a kind of secret technique for a comedy actor, aiming to be funnier than others. But that secret is something only they know; it's not something one can reveal. However, generally speaking, because the life of a comedy actor, more than other actors, lies solely in making the audience laugh, they constantly think about comedic material day and night—while walking, eating, or at any time—driven by the ambition and responsibility of "How can I make them laugh better this time than before?" and mutter lines to themselves. Thus, the actor personally undertakes the invention and research, thinking, "This time, I'll try to make the audience laugh in this way." I believe comedy is the most demanding genre among all forms of theater. For example, if you say "Samp'unhaess'o" (三十分했소 - meaning "It's thirty cents/minutes," a pun on "Panhaess'o" - 반했소, meaning "I've fallen for you") upon seeing a beautiful woman (녀자), it's clearly a comedic line, but this only works once or twice; by the third time, the audience feels no interest at all. No matter how good a comedy actor is, who would even smirk now if they used the "Samp'unhaess'o" line for "Panhaess'o"? Therefore, constantly creating new, fresh lines is the primary and most important task. Herein lie the agony and sorrow of the comedy actor.
Chŏn - Truly, the suffering of a comedy actor is immense. The public might casually think, "A comedy actor just needs to dress up ridiculously, come on stage, and spout some nonsense!" but the suffering is greater than for any other type of actor. For tragedy, the script (脚本) itself is already tragic from the start, and just reciting the lines (臺辭) can naturally bring tears. But is comedy like that? If you just read through the lines (臺辭), it's utterly bland, like a "Nŭngnado watermelon" (綾羅島수박 - implying tastelessness). So, making people laugh is the job; what is one to do! Thus, working tirelessly to create funny lines (臺辭), expressions, and movements to make people's laughter burst out – how hard must it be! Sometimes my head aches and my bones feel weary!
Me - Indeed, it must be so!... By the way,<137> what path have you both walked from your first appearance on stage until today?
Sŏk - My real name is Sŏk Hŭngjo (石興祚), and my hometown is Ch'unch'ŏn (春川) in Kangwŏn Province (강원도). It was already 20 years ago. Joining the "Ch'wijasŏng" (聚星座) troupe, run by Mr. Ch'ŏn Hansu (千漢洙) at that time, was the first step that led to today's "comedy actor Sŏk Wabul."
Me - So, what's the origin of the name Sŏk Wabul (石臥佛)? It seems quite fitting for a comedy actor's name. Haha...
Sŏk - That name was also given by Mr. Ch'ŏn Hansu (千漢洙). Sŏk (石) is my surname, and Wabul (臥佛) means "reclining Buddha," implying stability and strength. Being flawed from the name itself was fitting for a comedy actor. Haha. After that, I passed through the "Chosŏn Kŭguhoe" (조선극우회) and joined hands with this Mr. Chŏn during the "Sin Mudae" (新舞臺) era. My prowess as a comedy actor also began from the Sin Mudae period, I'd say. At that time, Mr. Sin Pulch'ul (申不出) was there, and things proceeded very interestingly, but it became desolate after Mr. Sin Pulch'ul quit.
After that, I went through several other places before coming to the current "Hŭigŭkchwa" (喜劇座).
Me - During that time, which plays made the audience laugh the most?
Sŏk - Was it 6 or 7 years ago? During the Sin Mudae era, "Nakamura-sama" (中村樣) and "P'ukbalt'ang" (푹발탕 - Explosion Soup?) were probably quite good. Reflecting on these, I thought that rather than facial expressions or movements, my comedic specialty might be speech, particularly making the audience laugh using languages other than Korean. However, one cannot ignore the movements and expressions that accompany speech, of course—
Me - And Mr. Chŏn Kyŏnghŭi?
Chŏn - My hometown is Kaesŏng (開城). My family ran an inn (旅舘業). At that time, Im Sŏnggu (林聖九) and his troupe came to Kaesŏng and stayed at our inn. Back then, at my mother's earnest request, I was studying to become a pharmacist (藥製師) in the outer room of some traditional doctor's (漢醫) house, but I took the opportunity of Im Sŏnggu's troupe's arrival to make a sharp turn towards the stage (舞臺).
In the 20 years of stage life (舞臺生活) since then, I've tread the boards of almost every theater troupe (劇團) imaginable—Hyŏksindan (革新團), Sin'gŭkchwa (新劇座), Kinjasŏng (緊星座 - likely related to Ch'wijasŏng?), Yŏn'gŭksa (硏劇舍), Sin Mudae (新舞臺), Hwan'gŭmjwa (黃金座), Yewŏnjwa (藝苑座), etc.—and now I'm a member of Hŭigŭkchwa (喜劇座). There were many difficult times and many joyful moments during that period. When the entire audience responds to one's performance with laughter, there's no greater feeling of refreshment. But once, something like this happened. During the Sin Mudae period, we went to perform in Inch'ŏn (仁川). We were supposed to perform a comedy called "Hamat'myŏn" (하마트면 - Almost), which Sŏk and I were in. Due to circumstances, other scripts (脚本) were frequently interrupted, and a performance scheduled to end at midnight <138> was going to finish at 10:30 PM. That night, the organizers approached us and pleaded, saying we had to drag out "Hamat'myŏn" until midnight so the audience wouldn't leave; otherwise, there would be big trouble. They begged us to extend it by several tens of minutes to finish at midnight. So, we had to stretch a 40-minute piece to an hour and a half, which was incredibly difficult.
Me - By the way, you both must have many funny nicknames (別名). Please tell us about them.
Sŏk - As I mentioned briefly earlier, after performing "Nakamura-sama" (中村樣), many people started calling me "Nakamura-sama." Also, sometimes people distort the word "Wabul" (臥佛) and call me "Kkabul" (까불 - meaning frisky or cheeky). Haha...
Chŏn - Once in P'yŏngyang (平壤), during some comedy, I sang a song that went "Punkkaro punkkaro..." (분까로 분까로...). Afterwards, when I went back to P'yŏngyang, several people called me "Punkkaro." Also, perhaps because the name "Chŏn Kyŏnghŭi" (全景希) sounded like it, some people occasionally call me "Chŏnggaengi" (정갱이 - shin). Hahaha...
Me - What are your attitudes and behaviors when you are at home (日常家庭) or meeting friends? Are you still comedic like on stage? Haha...
Chŏn - N-no. At home, I act quite dignified. But when meeting friends two or three times, we drink, sing, and have a great time...
Sŏk - We don't act like the irresponsible fools (망난이) the public might imagine! But when meeting friends and having fun, we sometimes practice comedy too. Haha...
Me - You both must be good at drinking and singing?
Sŏk - This Mr. Chŏn is very good at folk songs (民謠). Among them, "Hŭng T'aryŏng" (흥타령) is probably his best. As for drinking, both Mr. Chŏn and I are heavy drinkers! We also like to have fun...
Chŏn - Hey, you're revealing too much... Don't do that... You'll prevent me from getting married... Haha... (End) <139>

**Summary**

This 1936 interview from *Samch'ŏlli* magazine features two prominent Korean comedians, Chŏn Kyŏnghŭi and Sŏk Wabul, discussing their careers and craft. They talk about the qualifications for comedians (a mix of innate talent and dedicated research), the difficulty of constantly creating new material, their respective entries into the theater world, the troupes they worked with (Ch'wijasŏng, Sin Mudae, Hŭigŭkchwa, etc.), memorable performances, nicknames, and their off-stage personas, which they claim are more dignified than their stage characters suggest. The interview provides a candid look into the lives and thoughts of popular entertainers during the colonial period.

From a historical perspective, the article offers valuable insights into the Korean popular entertainment scene of the 1930s. It names specific actors, theater troupes (like Sin Mudae, Hŭigŭkchwa), and plays, painting a picture of a vibrant, albeit challenging, theatrical environment under Japanese rule. The actors' discussion about the hardship of creating original comedic content, the pressure to perform, and their career paths through various troupes illuminates the working conditions and artistic struggles of performers. The mention of Charlie Chaplin ("촤푸린") shows the awareness and influence of international figures even in colonial Korea. Historians might find the specific names, troupe affiliations, play titles ("Nakamura-sama," "Hamat'myŏn"), and the actors' personal reflections useful for understanding cultural life, performance practices, and the emergence of modern comedy in Korea during this era.

**Named Entities**

全景希	전경희	Chŏn Kyŏnghŭi
石臥佛	석와불	Sŏk Wabul
東洋劇場	동양극장	Tongyang Theatre
興夫傳	흥부전	Hŭngbu Chŏn
相公	상공	Sanggong
촤푸린	촤푸린	Chaplin (Charlie Chaplin)
朝鮮	조선	Chosŏn (Korea)
石興祚	석흥조	Sŏk Hŭngjo
강원도	강원도	Kangwŏn Province
春川	춘천	Ch'unch'ŏn
千漢洙	천한수	Ch'ŏn Hansu
聚星座	취좌성	Ch'wijasŏng (Theater Troupe)
조선극우회	조선극우회	Chosŏn Kŭguhoe (Theater Troupe/Association)
新舞臺	신무대	Sin Mudae (Theater Troupe)
申不出	신불출	Sin Pulch'ul
喜劇座	희극좌	Hŭigŭkchwa (Theater Troupe)
中村樣	나카무라사마	Nakamura-sama (Play Title/Character Name)
開城	개성	Kaesŏng
旅舘業	여관업	Inn Business
林聖九	임성구	Im Sŏnggu
漢醫	한의	Traditional Doctor
革新團	혁신단	Hyŏksindan (Theater Troupe)
新劇座	신극좌	Sin'gŭkchwa (Theater Troupe)
緊星座	긴좌성	Kinjasŏng (Theater Troupe - possibly related to 聚星座)
硏劇舍	연극사	Yŏn'gŭksa (Theater Troupe)
黃金座	황금좌	Hwan'gŭmjwa (Theater Troupe)
藝苑座	예원좌	Yewŏnjwa (Theater Troupe)
仁川	인천	Inch'ŏn
平壤	평양	P'yŏngyang

**Glossary**

제절로	저절로	By itself, spontaneously (Older spelling)
으레히	으레	Usually, habitually (Older spelling/form)
업는	없는	Non-existent, without (Older spelling)
넘우나	너무나	Very, exceedingly (Older spelling)
차저	찾아	To look for, to visit (Older spelling)
듯기로 하엿다	듣기로 하였다	Decided to listen/hear (Older spelling and grammar)
되엿다	되었다	Became (Older spelling)
보와 온	보아 온	Have been seeing (Older spelling/form)
업스리	없으리	Will likely not exist (Older spelling)
깃분	기쁜	Happy, joyful (Older spelling)
말슴을	말씀을	Words, speech (honorific) (Older spelling)
두웟든	두었던	Had kept (Older spelling)
노와 주셧스면	놓아 주셨으면	Hope you would reveal/let go (Older spelling/form)
되랴면은	되려면은	If one intends to become (Older spelling/form)
가춘	갖춘	Equipped with, possessing (Older spelling)
타고낫다고	타고났다고	(Says) was born with (Older spelling)
십군요	싶군요	It seems, I suppose (Older spelling/form)
그러타고만	그렇다고만	Just because it is so (Older spelling/form)
맛나	만나	To meet (Older spelling)
갓해서는	같아서는	In my opinion (lit. as it seems like) (Older spelling/form)
어더케	어떻게	How (Older spelling)
둥작	동작	Movement, action (Likely typo or older form)
십드군요	싶더군요	It seemed (Older spelling/form)
업는	없는	Non-existent, without (Older spelling)
가저야	가져야	Must have (Older spelling)
못생긴	못생긴	Ugly, unattractive
얼골	얼굴	Face (Older spelling)
통트러	통틀어	Altogether, collectively (Older spelling)
얼간당둥이	얼간망둥이	Simpleton, fool (Slight variation in spelling)
모다	모두	All, entirely (Older form)
안할 수 업게 되지요	안 할 수 없게 되지요	Become unable not to do (i.e., cannot help but do)
업슴으로	없으므로	Because there isn't (Older spelling)
걸울 때가	걸을 때나	When walking (Older spelling/form)
융월거려	중얼거려	To mumble, mutter (Older spelling/form)
맨들어	만들어	To make, create (Older spelling)
업데	없데	There isn't, they say (Contraction, older form)
녀자	여자	Woman (Older spelling, using 'nyeo')
햇소	했소	Did (Older speech level/form, '-so' ending)
늣끼지	느끼지	To feel (Older spelling)
승겁기	싱겁기	Tastelessness, blandness (Older spelling)
맨들어 내노라니	만들어 내노라니	As I try hard to create (Older grammar/form)
압흐고	아프고	Hurts, is painful (Older spelling)
뻬가	뼈가	Bone (Older spelling)
그러켓서요	그렇겠어요	It must be so (Older spelling)
엇더하엿서요	어떠하였어요	How was it? (Older spelling/form)
일홈	이름	Name (Older spelling)
알마젓지요	알맞았지요	Was fitting, suitable (Older spelling/form)
끗맛추랴든	끝마치려던	Was intending to finish (Older spelling/form)
멧	몇	Several, some (Older spelling)
해여달나는	해달라는	Asking to do (Older spelling/form)
끄으러	끌어	To drag, pull, extend (Older spelling)
맛나서는	만나서는	When meeting (Older spelling)
갓치	같이	Like, as (Older spelling)
망난이	망나니	Rascal, reckless person
넘우	너무	Too, excessively (Older spelling)


---------------------------


잡지명	삼천리 제8권 제6호
발행일	1936년 06월 01일
기사제목	喜劇俳優 全景希와 石臥佛, 한 자리에 모이고, 一問一答記
필자	相公
기사형태	대담·좌담

喜劇俳優 全景希와 石臥佛, 한 자리에 모이고, 一問一答記
						相公
『全景希』
『石臥佛』
이 두분은 그 일홈만 들어도 우슴이 제절로 나오게 된다. 「喜劇」과 「全景希, 石臥佛」과는 서로 떨어질 수 업는 깁흔 인연이나 맺어진 듯, 「희극」을 생각할 때는 으레히 全景希, 石臥佛을 聯想하게 되고, 또 全景希, 石臥佛을 말하게 될 때에는 우슴이 먼저 말을 앞서고 만다.
이만치 喜劇俳優로서는 반도 강산에서 넘우나 유명한 全景希와 石臥佛은 兩氏를 東洋劇場으로 차저, 이들의 喜劇舞臺 20년 간의 赤裸裸한 所懷와 感想을 듯기로 하엿다.
4월 初旬, 東洋劇場에서 上演하는 「酒汀 벙거지」와 「興夫傳」에서 滿都의 팬 大衆의 曝笑를 한몸에 오로지 모으고 잇는, 심히 밧분 무대시간의 틈을 어더 이층 一隅 조용한 한간 방에서 이 두 분을 비로서 처음 대하게 되엿다. (寫眞은 右가 全景希, 左가 石臥佛氏)<134>
舞臺 우에서는 오래 전부터 이 두분의 抱腹絶倒할 演技를 여러번 보와 온 터이지만 「喜劇俳優 全景希, 石臥佛」을 떠나 다만 一人間「全景希, 石臥佛」을 대하기는 이것이 처음이다.
나는 정작 이 두분을 面對하고 보니, 「우습게 생긴 人間」이려니 하는 나의 先入見은 어데론지 그만 도망가 버리고 상상 이외로, 「점잔한 紳士」들엄을 發見하엿다.

나-「희극배우」로서는 三千里 방방곡곡에까지, 全景希, 石臥佛이라면, 누구나 몰을 사람이 업스리 만큼, 오늘에 와서는 넘우나 유명하여진 두분을 이러틋 한자리에 마주 앉게 되여 대단히 깃분 일임니다. 오늘은 두분께 어떠케 하면 관중을 더 잘 웃길 수 잇느냐, 희극배우로서의 깃붐과 슬픔이 어데 잇느냐 하는, 숨김 업는 여러 가지 재미로운 말슴을 많이 들으랴 함니다. 두분이 마음 속에 두리두리 뭉쳐 두웟든 말슴을 오늘은 툭 털어 노와 주셧스면 함니다.
石-네, 감사함니다.
全-...(얼골에 우슴을 지울 뿐)
나-먼저 희극배우가 되랴면은, 어떠한 條件을 가춘 사람이래야 될까요?
石-능청맛게 잘 웃길 줄 아는 사람이지요.<135>
全-그러니까, 말하자면 날 때부터 사람을 잘 웃길 만한 소질을 타고난 사람이지요. 하하...
나-그러면, 두분은 희극배우가 될 소질을 애초부터 타고 낫다고 보심니까?
全-분명히는 몰나도 아마 그럴 상 십군요. 하하하. 그러나 그러타고만 똑 잡어 떼여 말 할 수는 업지요. 역시 조흔 지도자를 맛나 자긔가 타고난 소질을 잘 발휘 못하면야 그야 될 수 업는 일이니까요...
石-그러치만 내 생각 갓해서는 소질이고 천재고 간에 그런 것 따위는 둘재 문제이고 그저 어더케 하면 관중을 잘 웃겨볼까? 하는 생각에서 열심히 꾸준히 연구하고 새로히 우수운 말과 둥작을 창작해 내여서 실제로 무대에서 실행해보면 될 상 십드군요.
그러나 그것도 아무런 희극적 소질이 업는 사람에게는 역시 불가능하다고도 하겟지요, 그러니 결국, 소질 절반, 연구 절반으로 꾸준하게 나아가는 사람이여야 한다고 말하겟지요...
나-희극배우가 되랴면은 어더한 性格과 素質을 가저야 하나요.
石-나는 이러케 늘 생각하지요...희극배우처럼 못 생긴 사람이 업다고. 그야 론물 인간으로도 덜된 인간이겟지마는 외모(外貌)로는 더구나 못생긴 인간들이지요. 보시다십히 희극배우처럼 못생긴 작자가 어데 또 잇슴니까? 잘난 사람은 희극배우 될 性格圈內에서 「넉아웃」 당한 사람이라고 해도 무방하지요. 그러니 첫재 얼골이나 몸가지는 것이나, 그 행동이 통트러 얼간당둥이처럼 생긴 사람이지요. 하하하.
全-이 사람 그러나, 세게적으로 유명한 희극배우 「촤푸린」은 분장을 활작 딱거버리고 나면 당당한 美男紳士라는데, 그게 당한 말인가? 더구나 이 말은 조선의 美男들이 들으면 세상을 비관하고 投身自殺할 사람이 續出할테니 어런 말은 좀 삼가게! 더구나, 나는 아직 미혼인데, 장가도 다-들나고, 그런 말을 하는가? 하하하...
石-그야 개중에는 잘난 사람도 잇기야 잇지. 「特別例外」가 노상 업슬 수야 잇나.  하하....
나-관중은 희극을 구경하다가도 어떤 대목에 가서 흔이 우슴 바가지를 터트려 놋는가요?
石-희극배우가 관중을 가장 잘 웃기게 하는 커다란 武器는, 첫재 「말」 둘재, 표정, 셋재, 동작인데, 그 배우의 말이나 표정이나 동작이나 어느 한가지든지, 특별히 관중의 가슴을 쿡 찔을만치, 다시 말하면 심금을 움즉일 만치 꼭 들어 맛게 잘 되엿슬 때,<136> 관중은 감탄한며 손벽을 마주처가며, 배를 그러쥐고 웃게 되지요. 그 중에서도 말과 동작과 표정이 모다 完全히 一致되여 自然스럽게 될 때만이 관중은 그야말로 抱腹絶倒를 안할 수 업게 되지요.
나-관중을 웃기게 하는 희극배우의 秘訣이라고 할 만한 것은 무엇인가요?
石-남보다 더 잘 웃기겟다는, 희극배우에게는 일종 비결이라고 할 만한 것을 누구나 다-가지고 잇슬 것임니다. 그러나 그 비결이야 아무나 자긔만이 알고 잇는 비밀이지 입 박게 낼 수 업는 노릇이지요. 그러나, 일반적으로 말한다면 다른 배우들보다도 희극배우란 관중을 웃기게 하는 데만이 생명이 잇슴으로 해서, 「어떠케 하면 이번에는 전보담 더 잘 웃기게 할까?」하는 야심과 책임감에서 밤이나 낮이나, 길을 걸울 때가, 밥을 먹을 때나 언제든지, 희극적인 모든 재료를 늘상 생각해 보고 입 속으로 융월거려 보지요, 그래서 「이번에는 이러한 방식으로 관중을 웃겨 보리라」하는 창안과 연구를 배우된 사람 자신이 하게 되니까요. 나는 생각하기를 희극이란 모든 연극 중에서 가장 힘든 것으로 알고 잇서요. 가령 례를 들면, 어떤 어엽분 녀자를 보고 「반햇소」하는 말 「三十分」햇소 하는 말로 한다면 희극적인 말은 분명하나, 이 말은 한번 두 번까지지 세 번만 하게 되여도 벌서 관중은 아무런 흥미도 늣끼지 못하고 맘니다. 아무리 잘하는 희극배우라도 지금에 「반햇소」하는 말을 「三十分햇소」하면 누가 입이나 빗죽하겟서요? 그럼으로 새로 새말을 작구 맨들어 내는 것이 첫재 가장 중요한 사업이라고 하겟지요. 여긔에 희극배우의 고민과 비애가 잇다고 하겟지요.
