**Header Section:**
Magazine Title: 삼천리 第八卷 第六號
Publication Date: 1936년 06월 01일
Article Title: 日本에 無産黨內閣이 出現할 날이 도라올가 (Will the Day Come When a Proletarian Party Cabinet Appears in Japan?)
Author: 咸尙勳 (Ham Sanghun), 金若水 (Kim Yaksu), 元世勳 (Wŏn Sehun), 李如星 (Yi Yŏsŏng), 李寬求 (Yi Kwangu), 徐廷禧 (Sŏ Chŏnghŭi), 朴浣 (Pak Wan), 柳光烈 (Yu Kwangnyŏl)
Article Type: 설문 (Survey)

**Body Text Translation:**
Will the Day Come When a Proletarian Party Cabinet Appears in Japan?
The Day the Third Force Retreats

Ham Sanghun (咸尙勳)

The recent situation in mainland Japan is unique compared to other countries. A new force, unprecedented in foreign countries, called the "Third Force" (第三勢力), has emerged to overcome the impasse of capitalism. As long as this "Third Force" continues to exist for the time being, there will be absolutely no prospect for the advance of the proletariat.
The advance of the Proletarian Party in the recent election is a temporary phenomenon, and with this alone, it is understood that they will definitely not be able to counter this "Third Force," which has achieved temporary success in extending capitalism and is receiving a certain degree of national support.
However, while the domestic situation may be so, making it difficult for the Proletarian Party to gain power easily, in today's world where everything is influenced by the international situation, the international situation will be the most noteworthy point of discussion. Looking at the international situation today, it seems that in the not-too-distant future, there will inevitably be extraordinary actions among the capitalist powers as they try to resolve their self-contradictions.
On the day that happens, if this "Third Force" succeeds, the prospect of a Proletarian Party government will be hopeless, but on the day the "Third Force" collapses and retreats, it is certain that a Proletarian Party cabinet will surely be established. I believe that time is a matter of the not-too-distant future.

A Proletarian Party Cabinet is a Carapace-like Existence

Kim Yaksu (金若水)

...Nevertheless, synthesizing various viewpoints, just as the emergence of a fascist regime<49> in Japan belongs almost to the realm of impossibility, its future political situation will likely manifest as a regime interwoven with the two forces of fascism and liberalism as the superficial power. Facing this situation, the current legal Proletarian Party, although showing some potential for advancement, will also find it difficult to establish its own independent regime and will likely be absorbed into a so-called coalition cabinet, eventually being pushed out as a mere carapace-like existence in the final political stage.

An Unexpected Political Form

Wŏn Sehun (元世勳)

Asking when a Proletarian Party will ever seize power and form a cabinet in the political world of the East seems too roundabout and detached from reality. Only after parliamentary politics becomes effective can one speak of party cabinets, and only where party cabinets replace each other can one discuss cabinets of the propertied or proletarian parties. Now, even after three generations of National Unity Cabinets (擧國一致內閣), the time when a party cabinet will replace the National Unity Cabinet is still uncertain. Even if a party cabinet were to succeed and replace the National Unity Cabinet, the time until power passes to the fledgling (毛羽未成) Proletarian Party is even more uncertain. Looking at the general trend, liberal parliamentary politics seems to be on the path of decline. If so, future changes are more likely to bring about a political form unexpected by the current question. Either way, it cannot be predicted, nor do I wish to predict it.

The Era of the Proletarian Party Cabinet Will Surely Come

Yi Yŏsŏng (李如星)

It is believed that the day the Proletarian Party takes power will surely come. No matter how much the forces of fascism (팟쇼) are rising currently, this is merely a temporary phenomenon, and in the not-too-distant future, a Proletarian Party cabinet will surely be established. Just as political tides follow certain stages, from my perspective, although I cannot specify the timing like 10 years or 20 years, it is seen as a firm fact lying in the near future, not dragging on for a long time.

The Establishment of a "Proletarian Party" Cabinet is Merely a Dream

Yi Kwangu (李寬求)

The question of how many years later it might be possible for a "Proletarian Party" to form a cabinet in mainland Japan seems like something close to a mere dream.<50>
In today's transitional society, it seems to be the general trend to adopt dictatorial political forms between the left and right extremes. Therefore, parliamentary politics will inevitably fade away gradually in the future.
The fact that the various factions of the "Proletarian Party" made greater advances than before in the previous general election is proof of how significant the power of the "Proletarian Parties" is even in today's unstable society, while at the same time, it is seen as a slight advance based on the sentiment of "this is still better than that..." In reality, it is highly questionable how genuinely the so-called "Proletarian Party" works for the interests of the proletarian masses.
Therefore, unless there is a special political upheaval, the idea of a liberal, parliamentary "Proletarian Party" gaining power is considered a problem that cannot even be entertained.

Surely After Twenty Years from Now

Sŏ Chŏnghŭi (徐廷禧)

The national situation in mainland Japan is somewhat different from that of other countries in the world. Therefore, looking at the current situation today, it doesn't seem likely that a Proletarian Party cabinet will come about easily. However, after passing one crisis like the current situation, and leaping over another similar crisis, it is believed that a Proletarian Party cabinet will surely be realized at least around 20 years from now.

When the "Proletarian Party" Cabinet Comes

Pak Wan (朴浣)

Judging by the example of the British Labour Party cabinet, one might assert that the establishment of a Proletarian Party cabinet in Japan is an event of the not-too-distant future, but the national situation in mainland Japan today is distinctly different from that of Britain. Furthermore, even in Britain, where capitalism is developing in its most complete form, the necessity for a Labour Party cabinet is already fading today, making it even more impossible in Japan.
Then, is a Proletarian Party cabinet eternally impossible? Not necessarily. Seen from the perspective of the historical development process, it is a fact that it must inevitably come once.
That time, as long as no social upheaval occurs, will surely be impossible. On the day there is a radical change in the social system, it is certain that it will surely arrive. However, that timing is neither a distant matter of a century or half a century, nor can it be asserted<51> as 5 or 10 years. Whatever the case, it is believed to be a matter of the near future.

Using the British Labour Party as an Example

Yu Kwangnyŏl (柳光烈)

Judging by the example of the British Labour Party, which gained 3 members in Parliament in 1910 and formed a Labour Party cabinet with the esteemed MacDonald (맥드날드) as its head just 10 years later, if the Proletarian Party in mainland Japan develops smoothly and quickly, it seems likely to happen within the next 10 years.
However, even if it happens later, they will likely hold power once after 20 or 30 years.<52>

**Summary**

This 1936 survey article gathers opinions from eight Korean intellectuals on the likelihood of a Proletarian Party (socialist/communist) cabinet forming in Japan. Opinions vary widely: some see it as impossible due to the rise of a unique Japanese "Third Force" (often interpreted as militarism/fascism) and the decline of parliamentary politics (Ham, Kim, Wŏn, Yi K.). Others believe it's inevitable, citing historical trends or the example of the British Labour Party, though disagreeing on the timeframe – some predict it soon after the "Third Force" collapses or after social upheaval (Ham, Yi Y., Pak), while others suggest timelines ranging from 10 to 30 years (Yu, Sŏ). Several commentators express skepticism about the current Proletarian Party's effectiveness or genuineness (Kim, Yi K.).

From a Korean colonial history perspective, this article is revealing. It shows Korean intellectuals closely observing and analyzing Japanese internal politics, understanding its potential impact. Their discussion of Japanese fascism ("Third Force," "파쇼"), the perceived weakness of Japanese parliamentary democracy, and the potential for radical social change reflects the turbulent political climate of the era. The varying degrees of hope or pessimism about a proletarian government in Japan implicitly touch upon hopes for change in the colonial situation, as shifts in Japanese power structures could potentially alter colonial policy, though this is not explicitly stated. The engagement with international examples (British Labour Party) demonstrates their awareness of broader global political trends.

**Named Entities**

日本	일본	Japan
咸尙勳	함상훈	Ham Sanghun
金若水	김약수	Kim Yaksu
元世勳	원세훈	Wŏn Sehun
李如星	이여성	Yi Yŏsŏng
李寬求	이관구	Yi Kwangu
徐廷禧	서정희	Sŏ Chŏnghŭi
朴浣	박완	Pak Wan
英國	영국	Britain
맥드날드	맥드날드	MacDonald
柳光烈	유광렬	Yu Kwangnyŏl

**Glossary**

無産黨內閣	무산당 내각	Proletarian Party cabinet (socialist/communist)
出現	출현	Appearance; emergence
도라올가	돌아올까	Will it return/come? (Older spelling/form of 돌아올까)
第三勢力	제삼세력	Third Force (Referring to a unique political/military force in Japan, often associated with militarism/fascism)
退却	퇴각	Retreat
內地	내지	Mainland (here referring to mainland Japan, as opposed to colonies)
情勢	정세	Situation; state of affairs
特異	특이	Peculiar; unique
노여잇다	놓여 있다	Is placed; lies in (Older spelling/form of 놓여 있다)
資本主義	자본주의	Capitalism
유끼쯔마리	(行き詰まり)	Impasse; deadlock (Japanese loanword: yukizumari)
擡頭	대두	Rise; emergence
開拓	개척	Pioneer; open up; overcome
當分間	당분간	For the time being
存續	존속	Continuation; survival
到底	도저	(Not) at all; possibly (usually used with negative)
進出	진출	Advance; entry
可望	가망	Prospect; hope
업슬	없을	Will not be; without (Older spelling/form of 없을 것)
選擧	선거	Election
一時的	일시적	Temporary
現象	현상	Phenomenon
가지고서는	가지고서는	With this alone
國民的	국민적	National
支持	지지	Support
밧고	받고	Receive (Older spelling/form of 받고)
對抗	대항	Resist; oppose; counter
줄로 안다	줄로 안다	It is understood/believed that...
國內	국내	Domestic
正權	정권	Political power; regime
容易치 안케	용이치 않게	Not easily
國際的	국제적	International
左右	좌우	Influence; control (lit. left and right)
今日	금일	Today
注目	주목	Attention; notice
論點	논점	Point of discussion; issue
미루워 보아	미루어 보아	Judging from; considering
머지안흔	머지않은	Not far off; near (Older spelling/form of 머지않은)
앞날	앞날	Future
列强	열강	Great powers
諸國間	제국 간	Among various countries
반듯이	반드시	Surely; inevitably
自己矛盾	자기 모순	Self-contradiction
解決	해결	Solution; resolution
尋常치 안흔	심상치 않은	Unusual; extraordinary
行動	행동	Action; behavior
잇서질 것 갓다	있어질 것 같다	Seems likely there will be
그리되는 날	그리되는 날	On the day that happens
成功	성공	Success
絶望	절망	Despair; hopelessness
되겟지마는	되겠지만은	Although it may become...
沒落	몰락	Fall; collapse; downfall
確然	확연	Certain; clear
時期	시기	Time; period
觀點	관점	Viewpoint; perspective
綜合	종합	Synthesis; integration
잇서서<49>	있어서	In; regarding (Older spelling/form of 있어서)
파쇼	파쇼	Fascism; fascist (phonetic transcription)
政權	정권	Regime; political power
不可能	불가능	Impossible
屬한 것	속한 것	Thing belonging to; part of
만치	만큼	As much as; like (Older spelling/form of 만큼)
今後	금후	From now on; hereafter
政局	정국	Political situation
自由主義	자유주의	Liberalism
兩勢力	양 세력	Both forces
交織	교직	Interweaving
表面的	표면적	Superficial; outward
呈出	정출	Presentation; manifestation
若干	약간	Some; slight
進出性	진출성	Potential for advancement
獨自的	독자적	Independent; autonomous
樹立	수립	Establishment
困難	곤란	Difficulty; hardship
所謂	소위	So-called
聯立的	연립적	Coalition
內閣	내각	Cabinet (government)
吸收	흡수	Absorption
政治的	정치적	Political
最後段階	최후 단계	Final stage
甲殼的	갑각적	Carapace-like; shell-like
存在	존재	Existence; being
내치게될	내치게 될	Will be driven out; cast aside
意外	의외	Unexpected; surprising
政治形態	정치 형태	Political form
東洋	동양	The East; Orient
政界	정계	Political world
언제나	언제나	Always; whenever
잡ㅅ고	잡고	Grasp; seize (Older spelling/form of 잡고)
組織	조직	Organize; form
設問	설문	Question; inquiry; survey
迂濶	우활	Roundabout; impractical; naive
現實	현실	Reality
議會政治	의회 정치	Parliamentary politics
有能	유능	Competent; capable
뒤에라야	뒤에라야	Only after...
政黨內閣	정당 내각	Party cabinet
云云	운운	To say this and that; discuss
互相代替	호상 대체	Mutual replacement; alternation
有産黨	유산당	Propertied party (bourgeois party)
話題	화제	Topic of conversation
擧國一致內閣	거국일치 내각	National Unity Cabinet; cabinet of national unity
三代	삼대	Three generations
나려오고도	내려오고도	Even after coming down/continuing for (Older spelling of 내려오고도)
아즉	아직	Still; yet (Older spelling/form of 아직)
代替	대체	Replacement; succession
時間	시간	Time
漠然	막연	Vague; uncertain
設或	설혹	Even if; supposing that
繼承	계승	Succession; inheritance
毛羽未成	모우미성	Fledgling; immature (lit. feathers not yet grown)
次例	차례	Turn; order
大勢	대세	General trend; situation
沒落途中	몰락 도중	In the process of decline/collapse
그럿타면	그렇다면	If so; then (Older spelling/form of 그렇다면)
未來	미래	Future
變化	변화	Change
의하야는	의하여는	By; according to (Older spelling/form of 의하여는)
至今	지금	Now (Older spelling/form of 지금)
생기기	생기기	Arising; occurring
쉬운	쉬운	Easy
이러나 저러나	이러나 저러나	One way or another; anyway
總히	총히	Altogether; wholly (Older spelling/form of 총히)
預言	예언	Prediction; prophecy
미더진다	믿어진다	Is believed (Older spelling/form of 믿어진다)
現今	현금	Currently; nowadays
아모리	아무리	No matter how (Older spelling/form of 아무리)
팟쇼	파쇼	Fascism; fascist (phonetic transcription, alt. spelling)
潮流	조류	Tide; current; trend
一定	일정	Fixed; definite
段階	단계	Stage; phase
見地	견지	Viewpoint; standpoint
발켜	밝혀	Clearly; specify (Older spelling/form of 밝혀)
업서도	없어도	Even without (Older spelling/form of 없어도)
오랜	오랜	Long (time)
時日	시일	Time; days
끄을지	끌지	Drag on; delay (Older spelling/form of 끌지)
안흘	않을	Will not (Older spelling/form of 않을)
갓가운	가까운	Near; close (Older spelling/form of 가까운)
노여 잇는	놓여 있는	Lying in; placed in (Older spelling/form of 놓여 있는)
確乎	확호	Firm; certain
事實	사실	Fact; truth
보게 된다	보게 된다	Come to see; regard as
한갓	한갓	Merely; only; just
夢想	몽상	Dream; fantasy
갓가운	가까운	Near; close (Older spelling/form of 가까운)
생각됨니다	생각됩니다	It is thought; seems (Older spelling/form of 생각됩니다)
過渡期	과도기	Transition period
社會	사회	Society
左右	좌우	Left and right (wings/extremes)
兩端間	양단간	Between both ends/extremes
獨裁的	독재적	Dictatorial; autocratic
取해가는	취해가는	Adopting; taking on
一般	일반	General
傾向	경향	Tendency; trend
그럼으로	그러므로	Therefore; hence (Older spelling/form of 그러므로)
