**Header Section:**
Magazine Title: 동광 제26호
Publication Date: 1931년 10월 04일
Article Title: 讀書室 (Reading Room)
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
Reading Room

*Paektu-san tŭngch'ŏkki* (Record of Climbing Mt. Paektu)
By An Chaehong

Since Kŭmgang-san (Mt. Kŭmgang) became vulgarized, mountain seekers have come to long for Chiri[-san] and Myohyang[-san]. Reaching Paektu[-san], the majestic peak of Korea, is something an individual can hardly contemplate, but because the Border Guard (國境守備隊) conducts its ascent every summer as an annual event and permits the participation of civilians at that time, excursions to Mt. Paektu have become frequent recently.

Among these, the climbing record by Minse, An Chaehong, has been recently published. His somewhat difficult yet dense and magnanimous style might rather be said to be suitable for depicting the true face of Mt. Paektu. Passing through "T'aebong Kowŏn" (T'aebong Plateau) and "Okchŏ Sanha" (The Mountains and Rivers of Okchŏ), he becomes a "traveler crossing the plains (천평)" along the banks of the Tuman-gang (Tumen River). The grand view from Mudubong (Mudubong Peak) and the sorrow by the Chŏnggyegyŏk (Chŏnggye Stream) reach their climax in the "Age-old Dream (萬古夢)" by Ch'ŏnji (Heaven Lake). From the "Beauty of Samji (三池美)" and the banks of the Green Water (綠水邊) with its foreign scenery, and recalling the Chinsung (震人), reaching the "Cholbon Kowŏn" (Cholbon Plateau), the long journey spanning a thousand *ri* (踏陟千里) is depicted with detailed obscurity (細刻的 模糊) and macroscopic clarity (大觀的 뚜렷), truly worth reading.

Within it, there is sometimes meticulous vigilance against encroaching capitalist forces, sometimes investigation into the rise and fall of national consciousness, sometimes historical verification (考證) of historical records (史乘), sometimes the development of Korean history viewed folkloristically (토속학적), there is poetry, there is science, the praise of nature reaches religious sublimity (숭엄), and in every stone and tree, national camaraderie (민족적 우애) is stirred up; this would be impossible without Minse's spirit (志氣), erudition, observation, and writing prowess (筆力).

Photographs are occasionally attached to make the scenery realistic (如實하게), and a map is placed at the beginning of the volume, likely serving as a good reference for those who follow.

"When the party was passing through a sparse forest area (踈林地帶) around Sinmu Shrine (神武畤), the horses looked towards the south bank, pricking up their ears, showing signs of alertness towards something. A rider pointed out that there must be ferocious beasts hiding. Then, seeing a couple of lanky, black-backed beasts (즘승) stealthily fleeing yonder, they are said to be dholes (승냥이)."
Such lively descriptions (묘사), and,

"Deer used to sing (노래터니) in the morning sun on Kŏch'il Peak,
Dholes yawn (하픔하네) in the twilight valley of Sinmu Shrine.
Leading the horse (말끌어) to the stream (시내), it cries (우노매라) in the north wind.
Ah, stop it (아서라)! I lack a long sword (장검), so why should you cry!"
Such quirky songs could be called the flowers blooming from his essays.

Centering on the Chŏnggye Monument (정계비), one cannot help but lament with indignation (비분) over the Kando border dispute, and searching for the origin (發詳) of the Korean nation amidst the grand atmosphere of Ch'ŏnji (Heaven Lake) are gains for the reader of this book through exploration (더가듬).

Since it was first published in newspapers, it cannot be said that there isn't considerable crudeness (粗略됨) in its style, but even so, who could deny that this travelogue possesses considerable originality as literature and thus permanence (영구성)? The appearance of this work might be a significant (한낮의) event to commemorate in the history of Korean literature. (Published by Yusŏngsa [流星社], 35 Kwandong [寬勳洞], Kyŏngsŏng [京城]; Price 50 *chŏn*, 46-format, 125 pages) (Song)

*Kŏn'gang kwa Haengbok* (Health and Happiness)
By George H. Rue (쪼지·에취·루 著)

Books concerning health and hygiene in the Korean language are very scarce. Compared to the very meager (박약한) hygiene knowledge of the Korean people, the fact that such books are almost nonexistent is a very worrisome (근심된) matter.

This book, "Health and Happiness," answers this need (요구), and there is no doubt it will provide practical benefit (편익) to our real lives. This book does contain treatment methods for diseases, and particularly provides detailed descriptions (상세한 서술) regarding several kinds (수종) of common illnesses (보통병) and childhood diseases, but the book's characteristic feature (특색) lies especially in explaining the requirements for health.

"Warm sunlight, fresh air, pure water, and nutritious food are provided (제공되어) to humanity, and all tissues (조직) and functions (기능) of the human body require (요하고) observance (준수) of natural laws (자연법칙)."
"This book, based on the guidance and observance (導守) of natural laws, clearly indicates (명시한) the proper path (順路) for the body's systems (인체조직), recording (기재한) the most natural, safe, and clear hygiene methods." This passage (일절) from the preface (서문) explains the contents of this book well. Furthermore, the statement that "regarding diseases, it values the application (응용) of natural healing power (자연치유력) more than the use of medicinal materials (약재)" holds further significance (일층 意義). The general populace, holding the mistaken belief in medicine as a panacea (藥治萬能), will find much enlightenment (계발됨) in this book. Although it is authored by a religious person (종교가) and thus religious color (색채) is occasionally mixed in, it is to such a degree that it poses no obstacle (하등 장애가 없을 정도) whatsoever even for readers seeking only knowledge about health. Therefore, we wish to recommend this book to the entire literate (글 볼줄아는) populace of Korea. It is regrettable (유감) that the content includes mixed Hanja, meaning there will be parts of the populace unable to read it, but we understand there will also be those who find this convenient. (Price 1 *wŏn*, 46-format, 113 pages; Published by Sijosa [時兆社], Hoegi-ri [回基里] outside East Gate [東大門外], Kyŏngsŏng [京城]) (Song) <100>

**Summary**

This article reviews two recently published books. The first is An Chaehong's "Record of Climbing Mt. Paektu," praised for its evocative style capturing the mountain's grandeur and the author's erudition. The review highlights the book's blend of travelogue, historical reflection (including the Kando border dispute), scientific observation, and expression of nationalist sentiment through descriptions of nature and references to Korean origins. The second review introduces "Health and Happiness" by George H. Rue, addressing the lack of health literature in Korean. It emphasizes the book's focus on natural laws, hygiene, and natural healing over reliance on medicine, recommending it to the Korean public despite its occasional religious tone and use of Hanja. From a historical perspective, the review of An Chaehong's book is significant for its clear expression of Korean national identity and historical consciousness centered on Mt. Paektu, a potent symbol, and its subtle critique of external forces ('capitalist powers', border issues), reflecting anxieties under colonial rule. The review of Rue's book highlights contemporary concerns about public health, modernization (promoting 'scientific' hygiene), and literacy in colonial Korea.

**Named Entities**

安在鴻	안재홍	An Chaehong
白頭山	백두산	Paektu-san
金剛山	금강산	Kŭmgang-san
智異	지리	Chiri[-san]
妙香	묘향	Myohyang[-san]
國境守備隊	국경수비대	Kukkyŏng Subidae
民世	민세	Minse (An Chaehong's pen name)
泰封高原	태봉고원	T'aebong Kowŏn
沃沮山河	옥저산하	Okchŏ Sanha
豆滿江	두만강	Tuman-gang
無頭峰	무두봉	Mudubong
정계磎	정계계	Chŏnggyegyŏk
天池	천지	Ch'ŏnji
三池	삼지	Samji
震人	진인	Chin-in (People of Balhae/Parhae)
卒本高原	졸본고원	Cholbon Kowŏn
京城寬勳洞	경성관훈동	Kyŏngsŏng Kwandong
流星社	유성사	Yusŏngsa
쪼지·에취·루	조지 에취 루	George H. Rue
間島	간도	Kando
京城東大門外回基里	경성동대문외회기리	Kyŏngsŏng Tongdaemun Oe Hoegi-ri
時兆社	시조사	Sijosa

**Glossary**

登陟記	등척기	Climbing record
俗化	속화	Becoming secularized or commonplace; losing its special quality
雄峰	웅봉	Majestic peak
염을 못내다	염을 못 내다	Cannot dare to think of/attempt (idiom)
容하다	용하다	To permit, allow
잦게 되엇다	잦게 되었다	Became frequent (older spelling '되엇다' for 되었다)
難澁하다	난삽하다	Difficult and abstruse (to understand)
뻑뻑하다	뻑뻑하다	Stiff, dense (style)
浩蕩하다	호탕하다	Vast, magnanimous, broad-minded
그려내다	그려내다	To depict, portray
기슭	기슭	Bank (of a river), foot (of a mountain)
건느는	건너는	Crossing (older spelling)
나그내	나그네	Traveler (older spelling)
대관	대관	Grand view, magnificent sight
달하나니	달하나니	Reaches, attains (poetic/older grammatical form)
踏陟千里	답척천리	Traveling a thousand *ri* on foot (*ri* is a unit of distance)
細刻的 模糊	세각적 모호	Detailed obscurity (describing a style that is detailed yet somewhat unclear)
大觀的 뚜렷	대관적 뚜렷	Macroscopic clarity (describing a style that is clear from a broad perspective)
가히	가히	Truly, quite, indeed (adverb)
주도하다	주도하다	Meticulous, careful, thorough
討究	토구	Investigation, study, examination
史乘	사승	Historical records, annals
考證	고증	Historical investigation based on evidence; verification
토속학적	토속학적	Folkloristic, related to local customs and traditions
계발	계발	Enlightenment, development
숭엄	숭엄	Sublimity, solemnity
우애	우애	Brotherly love; here implying love for the nation/people
분발함	분발함	A rousing, stirring, encouragement
如實하게	여실하게	Realistically, truthfully, as it is
권두	권두	Beginning of a book/volume
뒤로 가는 이	뒤로 가는 이	Those who go later, followers
멀숙한	멀쑥한	Lanky, tall and thin (older spelling '멀숙한')
즘승	짐승	Beast, animal (older spelling)
승냥이	승냥이	Dhole, Asiatic wild dog
생기잇는	생기 있는	Lively, animated (older spelling '잇는')
묘사	묘사	Description, depiction
노래터니	노래터니	Used to sing (older retrospective verbal ending)
하픔하네	하품하네	Yawn (older spelling '하픔')
말끌어	말 끌어	Leading a horse
아서라	아서라	Stop it!, Desist! (archaic interjection)
장검	장검	Long sword
비분	비분	Grief and indignation
不禁하다	불금하다	Cannot help but, cannot refrain from
發詳	발상	Origin, birthplace, source
연유	연유	Origin, cause, reason
더가듬	더듬음	Groping, searching, fumbling (noun form of 더듬다)
粗略됨	조략됨	Crudeness, roughness, being sketchy (noun form)
不少하다	불소하다	Not a little, considerable, substantial
영구성	영구성	Permanence, perpetuity
한낮의	한낮의	Of midday; here used metaphorically to mean significant, major
박약하다	박약하다	Meager, scanty, poor (knowledge, resources)
근심된	근심된	Worrisome, troubling (adjective form)
편익	편익	Benefit, convenience
보통병	보통병	Common illness/disease
수종	수종	Several kinds/types
서술	서술	Description, narration
특색	특색	Distinctive feature, characteristic
제공되다	제공되다	To be provided, offered
자연법칙	자연법칙	Law of nature
준수	준수	Observance, compliance
요하다	요하다	To require, demand
導守	도수	Guidance and observance (likely a coinage or specific usage)
순로	순로	Proper path, correct course
명시하다	명시하다	To state clearly, specify
기재하다	기재하다	To record, write down
서문	서문	Preface, foreword
일절	일절	A passage, section; entirely, completely (can be ambiguous, here means passage)
약재	약재	Medicinal substances/herbs
자연치유력	자연치유력	Natural healing power
응용	응용	Application, practical use
존중하다	존중하다	To respect, value, esteem
일층	일층	More, further, increased
意義	의의	Significance, meaning
藥治萬能	약치만능	Belief that medicine is a panacea/can cure everything
계발됨	계발됨	Being enlightened/developed (noun form)
종교가	종교가	Religious person, clergy
색채	색채	Coloration, tinge, characteristic hue
하등	하등	Any... whatsoever (used in negative sentences)
장애	장애	Obstacle, hindrance, disability
볼줄아는	볼 줄 아는	Able to read (lit. know how to see/read)
유감	유감	Regret, pity


---------------------------


잡지명	동광 제26호
발행일	1931년 10월 04일
기사제목	讀書室
기사형태	문예평론

讀書室
白頭山 登陟記
安在鴻 著

金剛山이 俗化한 이래로 산을 찾는 사람은 智異, 妙香을 동경하게 되엇다. 조선의 雄峰인 白頭에 이르러서는 좀체로 개인으로는 염을 못낼것이로되 國境守備隊가 연중행사로 여름마다 그 登陟을 行하며 그때에 민간인사의 참가를 容하기 따문에 근자에 백두산 기행이 잦게 되엇다.
그 중에도 民世 安在鴻선생의 登陟記가 최근 발행되엇는 바 그의 조금 難澁하면서도 뻑뻑하고 浩蕩한 스타일은 차라리 백두산의 면목을 그려내는데 적합하다 할는지.「泰封高原」과 「沃沮山河」를 거치어서 豆滿江기슭으로「천평을 건느는 나그내」가 되고 無頭峰上의 대관과 정계磎邊의 슬픔은 天池가의「萬古夢」에서 클라이막스에 달하나니「三池美」와 綠水邊과 이국풍경이며 震人의 回顧로「卒本高原」에 이르기까지 踏陟千里의 긴 여행이 細刻的 模糊와 大觀的 뚜렷으로 가히 一讀할 만하게 그려진 것이다.
