Magazine Title: 개벽 제46호
Publication Date: 1924년 04월 01일
Article Title: 名勝과 古蹟 (Famous Sites and Historic Remains)
Author: Not specified
Article Type: 기행문 (Travelogue)

Famous Sites and Historic Remains

Ssangsu Sanseong, also called Kongju Sanseong (now Sansŏng Park), is located northeast of Kongju County, overlooking the cliffs above the Kŭmgang River. It was built 1442 years ago when King Munju of Paekche moved the capital to Ungjin, and served as the kingdom's capital city for 68 years through five reigns until King Sŏng. 120 years later, when Emperor Kao-tsung of Tang established the Ungjin Commandery (熊津都督府), it was also repaired, making it a strategic point of ancient defense (Circumference 3,000 *ch'ŏk*, Height 39 *ch'ŏk*). South of the fortress stands a pavilion called Chinnamnu. Following the winding stone path up to the left, a pavilion perches gracefully on a high hill; this is Ssangsujŏng. In the *kapcha* year (1624), 233 years after the founding of the Joseon Dynasty, during the rebellion of Yi Kwal, King Injo took refuge here. One day, leaning against twin trees on the hill and gazing distantly toward Hanyang, he happened to see news of victory arrive. Greatly pleased, he enfeoffed the twin trees as *T'ongjŏngchangbu* (a civil official rank). After returning to the capital, he issued a royal command to build Ssangsujŏng Pavilion to commemorate the events of his stay. Looking east from the pavilion towards the mountain peak, there is a brightly painted multi-storied pavilion called Ungsim'gak (titled by Governor-General Terauchi during his southern tour in Taishō 2 [1913]). Below it, amidst a pine forest, stand three ancient-looking stone monuments. These are commemorative steles marking the victory of the Ming general Yi Yosong over the Japanese general Konishi Yukinaga during the Imjin War. Also, crossing the mountain path to the north and reaching the Kŭmgang River, there is an old temple named Yŏngŭnsa (founded approximately 500 years ago). North of it, on the Kŭmgang River, stands a pavilion, namely Kongbungnu. Today, the fortress walls have largely fallen into ruin, and one can hardly see the former appearance of this strategic defense point. However, the mountains and waters remain unchanged in form, compelling visitors to lament the past and feel sorrow for the present. The vast Kŭmgang River curves around the mountainside like a half-moon, and the dense pine forest reflects beautifully against the white sands of the opposite bank, adding another layer of interest. To the southwest, the town of Kongju appears and disappears below, while to the northeast, the peaks of Ch'ŏngyang and Yesan wander beyond the clouds, making one forget to return home.

Magoksa Temple is located in Sagok-myŏn, 5 *ri* west of Kongju, and is the largest temple in this province. It was founded 1302 years ago, in the 17th year of Tang Zhenguan (643 AD), by Master Chajang. The important halls include Taeungjŏn, Taegwangbojŏn, Ungjinjŏn, Sim'gŏmdang, Yŏngsanjŏn, and Maehwadang. Also, a multi-storied pagoda (多寶塔) stands in the front courtyard of Taegwangbojŏn, also built at the time of the temple's founding. (The temple is called Magok [Hemp Valley] because, it is said, the assembly of monks at the time was so numerous they resembled tangled hemp.)

Ungjin (common name Komnaru) is located northwest of Kongju, in Chuoe-myŏn, Yongdang-ri, and is the ferry crossing between Kongju and Hongsŏng. In ancient times, when King Hyŏnjong of Koryŏ fled south to escape the Khitan invasion, Military Commissioner Kim Ŭnbo welcomed the king at this place. The king composed a poem: "I have heard of the fairyland Kongju in the southern land, exquisite and eternally tireless / <145> Arriving here, my heart is joyful and happy / Let king and ministers gather and cast off a thousand worries." Because of this poem, its name became famous throughout the land.

On'yang Hot Springs are located in front of On'yang Station in On'yang-myŏn, the center of Asan County (this is Old On'yang, 3 *ri* 21 *chŏng* from Ch'ŏnan Station). These hot springs were already discovered in the Goryŏ Dynasty, and Kings T'aejo, Sejong, and Sejo of the Joseon Dynasty all made royal visits to bathe here. Later, when King Hyŏnjong was bathing, he saw a white egret with a broken leg flying in the woods. While trying to catch it, he accidentally discovered the hot spring gushing out. He had it excavated and secured the source, which is said to have a circumference of 1,758 *ch'ŏk*. Until the *kyŏngo* year (1870) of Emperor Gojong, there were the Naejŏngjŏn (Inner Main Hall, 16 *kan*), Chŏngjŏn (Main Hall, 12 *kan*), and 51 buildings offered by various counties. However, with the passage of time, most fell into ruin, and only relics from that time like Hyep'ajŏng Pavilion, Hamnaktang Hall, the bathhouse (湯室), the Sinjŏngbi stele, and Yŏnggoetae terrace barely remain. This hot spring originally belonged to the Royal Household Department (宮內府). In the 5th year of Kwangmu (1901), the Department had Ye Chong-sŏk manage it. After undergoing numerous troubles, it passed into Japanese hands in the 4th year of Yung Hŭi (1910). Since then, the so-called "On'yang Hot Springs Co., Ltd." (株式會社 溫陽溫泉) came to manage it (Capital: 100,000 won). The spring water is odorless and clear, with a temperature suitable for the human body. According to the analysis report by Dr. Tawara Yoshizumi, head of the Tokyo Hygienic Laboratory of the Japanese Ministry of Home Affairs in Meiji 39 (1906), the therapeutic effects of bathing in this spring include treating joint rheumatism, spinal cord fatigue, hemiplegia, chronic diseases of female reproductive organs, hysteria, chronic eczema, and glandular pain. Taken internally, it treats mild stomach catarrh, stomach pain, and diarrhea-promoting intestinal catarrh. Additionally, it is noteworthy that this hot spring is alkaline, making it remarkably effective for washing clothes. After bathing, a very thin mucus adheres, making the skin smooth. <146>

Yusŏng Hot Springs are located 2 *ri* from Taejŏn Station on the road to Kongju. The temperature is 120 degrees Fahrenheit, it is alkaline, and contains a large amount of carbonic acid.

Tŏksan Hot Springs are located in Old Tŏksan, about 4 *ri* from Yesan Station. There are both cold and hot springs, and with convenient automobile access, bathers come continuously throughout the four seasons.

Hyangch'ŏnsa Temple's Thousand Buddhas (千佛體) - Hyangch'ŏnsa Temple is located 8 *chŏng* from Yesan Town, in the northeast mountains. Founded in the Koryŏ Dynasty, it suffered destruction by fire and fell into ruin, but was rebuilt about 400 years ago. Its Ch'ŏnbuljŏn (Thousand Buddha Hall) enshrines countless Buddha images, called Ch'ŏnbulch'e (Thousand Buddha Bodies), which are famous in Ch'ungch'ŏngnam-do. According to the monks' legend, these Buddha images were brought on a Chinese ship during a great flood in ancient times. At that time, a pair of golden crows (金烏) flew around, so they were enshrined as miraculous Buddhas, and consequently, the mountain behind Yesan was named Kŭmosan (Golden Crow Mountain).

Kaesimsa Temple is an old temple founded about 1300 years ago by the eminent Baekje monk Master Hyegam. It is located on the mid-slope of Kayasan Mountain, 4 *ri* south of Sŏsan Town. Because the streams and mountains are secluded and profound, and the temple halls are grand, literary figures and scholars who enjoy strolling with canes visit continuously during the seasons of spring flowers and autumn leaves.

Pusŏksa Temple - The date of its founding is unknown, but it is an old temple from before the Joseon Dynasty. It overlooks the mid-slope of Tobisan Mountain, southwest of Sŏsan Town. The various islands within Asan Bay are clearly visible within calling distance, and the charm of the misty waves and the beauty of the scenery are truly difficult to describe.

Kangdangsa Temple is located east of Kaesimsa Temple in the Sangwangsan valley. It was a large temple of the Koryŏ period in the past, but now the halls are completely dilapidated. The Iron Buddha (鐵佛) was moved to the Yi Royal Household Museum in Taishō 7 (1918), and only the five-story stone pagoda and two flagpole supports (幢竿) remain, looking ancient and serene amidst the deep valley and lingering sunlight.

Kyŏngijŏng Pavilion - Soaring gracefully in Tongmun-ri, T'aean-myŏn, Sŏsan County, is Kyŏngijŏng Pavilion. It is said to have been a resting place for envoys dispatched to Nanjing of Ming China in the past. Now, sponsored by the Chinhŭnghoe (振興會 - Promotion Society), a labor night school has been established, serving as a place of education for woodcutters and shepherds.

Large Iron Cauldron (大鐵釜) and Five-Story Pagoda (五重塔) - Located on a hill southeast of Old Yŏnsan Town, 19 *chŏng* east of Yŏnsan Station in Nonsan County. The iron cauldron has a diameter of 9 *ch'ŏk* 3 *ch'on*, depth of 3 *ch'ŏk* 9 *ch'on*, thickness of 1 *ch'on*, and circumference of 2 *chang* 9 *ch'ŏk* 6 *pun*; it is one of the giant objects of the Hoseo region. The stone pagoda is also quite skillfully carved. Both <147> are relics of the former great Koryŏ temple, Kaet'aesa. This iron cauldron was originally buried in a paddy field about 10 *chŏng* southwest of Old Yŏnsan Town and was moved when local volunteers established Yŏnsan Park around September of Taishō 1 (1912).

Ŭnjin Mirŭk (Eunjin Maitreya) - About 1 *ri* southeast of Nonsan Station, on Panyasan Mountain, is Kwanch'oksa Temple. Within its grounds stands a large stone statue of Maitreya. This was erected about 950 years ago, in the 19th year of King Kwangjong of Koryŏ (968 AD), by the monk Hyemyŏng. The height is 5 *chang* 4 *ch'ŏk*, circumference 3 *chang*, ear length 8 *ch'ŏk*, distance between eyebrows 5 *ch'ŏk*, mouth corners 3 *ch'ŏk*, halo diameter 4 *ch'ŏk*, crown height 7 *ch'ŏk*, large canopy 1 *chang*, small canopy 8 *ch'ŏk*; it is made of granite. Its imposing figure is famous throughout the country and is also one of the giant objects of the Hoseo region. Especially on the 5th day of the 5th lunar month, visitors from near and far reach several thousand, creating a grand spectacle.

Wŏnsu San (Marshal Mountain) - Located in Namban-ri, Yŏn'gi County Town. During the reign of King Ch'ungnyŏl of Koryŏ, Han Hiyou led native troops and Yuan soldiers, stationed them on this mountain, and greatly defeated the Khitan, hence acquiring this name.

Tomb of King Kyŏnhwŏn of Later Paekche (後百濟王甄萱墓) - Located in Kŭmgok, Kujagok-myŏn, Nonsan County. It is commonly called Wangmyo (King's Tomb).

Eight Sights of Puyŏ (扶餘八景) - Panwŏlsŏng, Ch'ŏnjŏngdae, Choryongdae, Nakhwaam, Chaondae, Koransa Temple, P'yŏngjet'ap, and P'ajinsan are the so-called Eight Sights of Puyŏ, famous scenic spots in Ch'ungch'ŏngnam-do, all historical sites of Paekche. Their details are generally recorded in annotations to Chinese poems, so they are omitted here. <148>

**Summary**

This travelogue from 1924 describes various famous sites (名勝) and historical remains (古蹟) primarily in the Chungcheongnam-do province of Korea. It covers fortresses like Ssangsu Sanseong (Gongju Sanseong), temples such as Magoksa, Hyangch'ŏnsa, Kaesimsa, Pusŏksa, Kangdangsa, and Kwanch'oksa (with the famous Ŭnjin Mirŭk statue), notable locations like Ungjin (Komnaru), several hot springs (On'yang, Yusŏng, Tŏksan), pavilions like Kyŏngijŏng, historical artifacts like the iron cauldron of Kaet'aesa, and tombs like that of King Kyŏnhwŏn. The descriptions often include historical anecdotes related to Paekche, Koryŏ, and Joseon dynasties, as well as details about the sites' founding, significance, and contemporary state (as of 1924). From a colonial history perspective, the article is interesting for its mention of Japanese involvement: the inscription by Governor-General Terauchi at Ungsim'gak, the takeover of On'yang Hot Springs management by a Japanese company (株式會社 溫陽溫泉) after passing from Korean royal control, the citation of an analysis by a Japanese doctor from the Tokyo Hygienic Laboratory, and the relocation of the Iron Buddha from Kangdangsa to the Yi Royal Household Museum (potentially under Japanese influence or administration during the colonial period). The mention of the Chinhŭnghoe sponsoring a night school at Kyŏngijŏng also reflects social activities during that era.

**Named Entities**

雙樹山城	쌍수산성	Ssangsu Sansŏng
公州山城	공주산성	Kongju Sansŏng
山城公園	산성공원	Sansŏng Park
公州郡	공주군	Kongju County
錦江	금강	Kŭmgang River
百濟	백제	Paekche
文周王	문주왕	Munju Wang
熊津	웅진	Ungjin
聖王	성왕	Sŏng Wang
唐 高宗	당 고종	Tang Kao-tsung (Gaozong)
熊津都督府	웅진도독부	Ungjin Todokpu
鎭南樓	진남루	Chinnamnu
雙樹亭	쌍수정	Ssangsujŏng
李朝	이조	Ijo (Joseon Dynasty)
李适	이괄	Yi Kwal
仁祖大王	인조대왕	King Injo
漢陽	한양	Hanyang
通政丈夫	통정장부	T'ongjŏngchangbu
京師	경사	Kyŏngsa (Capital City)
雄心閣	웅심각	Ungsim'gak
寺內總督	사내 총독	Terauchi Sōtoku (Terauchi Masatake)
明將 李如松	명장 이여송	Ming General Yi Yosong (Li Rusong)
日將 小西行長	일장 소서행장	Japanese General Konishi Yukinaga
靈隱寺	영은사	Yŏngŭnsa
拱北樓	공북루	Kongbungnu
公川	공천	Kongch'ŏn (Gongju Stream/River)
靑陽	청양	Ch'ŏngyang
禮山	예산	Yesan
麻谷寺	마곡사	Magoksa
寺谷面	사곡면	Sagok-myŏn
慈藏法師	자장법사	Chajang Pŏpsa
大雄殿	대웅전	Taeungjŏn
大光寶殿	대광보전	Taegwangbojŏn
應眞殿	응진전	Ungjinjŏn
尋釰堂	심검당	Sim'gŏmdang
靈山殿	영산전	Yŏngsanjŏn
梅花堂	매화당	Maehwadang
多寶塔	다보탑	Tabot'ap
곰나루	곰나루	Komnaru
州外面 龍堂里	주외면 용당리	Chuoe-myŏn Yongdang-ri
洪城	홍성	Hongsŏng
高麗	고려	Koryŏ
顯宗	현종	Hyŏnjong (Koryŏ king)
契丹	거란	Kŏran (Khitan)
節度使 金殷甫	절도사 김은보	Military Commissioner Kim Ŭnbo
溫陽溫泉	온양온천	On'yang Onch'ŏn
牙山郡	아산군	Asan County
溫陽面	온양면	On'yang-myŏn
溫陽驛	온양역	On'yang Station
天安驛	천안역	Ch'ŏnan Station
太祖	태조	T'aejo (Joseon king)
世宗	세종	Sejong (Joseon king)
世祖	세조	Sejo (Joseon king)
顯宗大王	현종대왕	King Hyŏnjong (Joseon king)
高宗太皇帝	고종태황제	Emperor Gojong
內正殿	내정전	Naejŏngjŏn
正殿	정전	Chŏngjŏn
惠波亭	혜파정	Hyep'ajŏng
涵樂堂	함락당	Hamnaktang
湯室	탕실	T'angsil (Bathhouse)
神井碑	신정비	Sinjŏngbi
靈槐臺	영괴대	Yŏnggoetae
宮內府	궁내부	Kungnaebu (Royal Household Department)
芮宗錫	예종석	Ye Chong-sŏk
隆熙	융희	Yung Hŭi (Regnal Year)
日本人	일본인	Japanese person
株式會社 溫陽溫泉	주식회사 온양온천	Chusik Hoesa On'yang Onch'ŏn (On'yang Hot Springs Co., Ltd.)
日本 內務省 東京衛生試驗所	일본 내무성 동경위생시험소	Japan Ministry of Home Affairs Tokyo Hygienic Laboratory
藥學博士 純田原良氏	약학박사 순전원량씨	Doctor of Pharmacy Tawara Yoshizumi (田原良純)
儒城溫泉	유성온천	Yusŏng Onch'ŏn
太田驛	태전역	Taejŏn Station
德山溫泉	덕산온천	Tŏksan Onch'ŏn
禮山驛	예산역	Yesan Station
舊德山	구덕산	Ku Tŏksan (Old Deoksan)
香泉寺	향천사	Hyangch'ŏnsa
禮山邑	예산읍	Yesan-ŭp
千佛殿	천불전	Ch'ŏnbuljŏn
千佛體	천불체	Ch'ŏnbulch'e
支那	지나	China (older term)
金烏山	금오산	Kŭmosan
開心寺	개심사	Kaesimsa
慧鑑禪師	혜감선사	Hyegam Sŏnsa
瑞山邑	서산읍	Sŏsan-ŭp
伽倻山	가야산	Kayasan
浮石寺	부석사	Pusŏksa
島飛山	도비산	Tobisan
淺水灣	천수만	Ch'ŏnsu Bay (Asan Bay)
講堂寺	강당사	Kangdangsa
象王山	상왕산	Sangwangsan
鐵佛	철불	Ch'ŏlbul (Iron Buddha)
李王職 博物館	이왕직 박물관	Yi Royal Household Museum
幢竿	당간	Tanggan
憬夷亭	경이정	Kyŏngijŏng
泰安面 東門里	태안면 동문리	T'aean-myŏn Tongmun-ri
南京	남경	Nanjing (Nanking)
振興會	진흥회	Chinhŭnghoe (Promotion Society)
大鐵釜	대철부	Taech'ŏlbu (Large Iron Cauldron)
五重五塔	오중오탑	Och'ungot'ap (Five-Story Pagoda - likely 五重塔)
論山郡	논산군	Nonsan County
連山驛	연산역	Yŏnsan Station
舊 連山邑	구 연산읍	Ku Yŏnsan-ŭp (Old Yeonsan Town)
湖西	호서	Hoseo (Region name)
開泰寺	개태사	Kaet'aesa
連山公園	연산공원	Yŏnsan Park
恩津彌勒	은진미륵	Ŭnjin Mirŭk (Eunjin Maitreya)
般若山	반야산	Panyasan
灌燭寺	관촉사	Kwanch'oksa
慧明	혜명	Hyemyŏng (Monk name)
光宗	광종	Kwangjong (Koryŏ king)
元帥山	원수산	Wŏnsu San (Marshal Mountain)
燕岐郡邑	연기군읍	Yŏn'gi County Town
忠烈王	충렬왕	Ch'ungnyŏl Wang (Koryŏ king)
韓希愈	한희유	Han Hiyou
元兵	원병	Yuan soldiers
後百濟王甄萱墓	후백제왕견훤묘	Tomb of King Kyŏnhwŏn of Later Paekche
九子谷面 金谷	구자곡면 금곡	Kujagok-myŏn Kŭmgok
扶餘八景	부여팔경	Puyŏ P'algyŏng (Eight Sights of Buyeo)
半月城	반월성	Panwŏlsŏng
天政臺	천정대	Ch'ŏnjŏngdae
釣龍臺	조룡대	Choryongdae
落花岩	낙화암	Nakhwaam
自溫臺	자온대	Chaondae
臯蘭寺	고란사	Koransa
平濟塔	평제탑	P'yŏngjet'ap
破陣山	파진산	P'ajinsan
忠南	충남	Ch'ungnam (Chungcheongnam-do)

**Glossary**

名勝	명승	Famous site; scenic spot
古蹟	고적	Historic remains; ancient site
在하야	재하여	Being located at (older form of -에 있어)
臨하얏다	임하였다	To face; overlook (older past tense form)
距今	거금	From now; ago
천도할 時	천도할 시	At the time of moving the capital (時 = 때)
此를 築하야	차를 축하여	Building this (此 = 이것)
도성	도성	Capital city
삼엇고	삼았고	Made it; regarded as (older form of 삼았고)
爾後	이후	Afterwards; thereafter
經하야	경하여	Passing; after (time) (older form)
置할 時	치할 시	At the time of establishing
修築하얏스니	수축하였으니	Repaired/rebuilt, therefore (older form)
古昔	고석	Ancient times
關防	관방	Defense; fortification
요지	요지	Strategic point; key location
周圍	주위	Circumference
一樓가 有하니	일루가 유하니	There is one pavilion (有하다 = 있다)
칭하고	칭하고	Calling; naming
石逕	석경	Stone path
迂回하야	우회하여	Winding; detouring (older form)
翼然이	익연이	Gracefully; like wings spread
駐驛	주역	Staying; stopping over (during a journey)
기념하얏다	기념하였다	Commemorated (older past tense form)
山顚	산전	Mountain peak
遙望하면	요망하면	If one looks from afar
丹碧	단벽	Painted in red and blue/green; brightly colored
屢樓	누루	Multi-storied pavilion (likely a typo for 樓閣 누각)
曰	왈	Called; named (classical Chinese particle)
其下	기하	Below it
송림	송림	Pine forest
고색이 창연한	고색이 창연한	Having an ancient and serene appearance
三基	삼기	Three units (counter for monuments, pagodas)
碑	비	Stele; stone monument
立하얏스니	입하였으니	Stands, therefore (older form)
壬辰亂	임진란	Imjin War (Japanese invasions of 1592-1598)
격파한	격파한	Defeated
기념비	기념비	Commemorative monument
古刹	고찰	Old temple
창건	창건	Founding (of a temple, building)
城堞	성첩	Fortress walls; battlements
頹廢	퇴폐	Dilapidation; ruin
歸하야	귀하여	Returning to; becoming (older form)
면목	면목	Appearance; face
復見치 못하나	복견치 못하나	Cannot see again (치 is an older emphatic particle)
山容水態	산용수태	Appearance of mountains and waters
의구히	의구히	As before; unchanged
其 形을 改치 안이하야	기 형을 개치 아니하여	Not changing its form (older negative form)
登臨하는 人	등림하는 인	Person who climbs and looks out
하야금	하여금	Causing (someone) to do; making (older causative particle)
懷古傷今	회고상금	Reminiscing about the past and lamenting the present
歎	탄	Sigh; lament
禁치 못할 뿐 안이라	금치 못할 뿐 아니라	Not only cannot suppress (the feeling) (older form)
洋洋한	양양한	Vast; expansive
山腰를 繞하야	산요를 요하여	Winding around the mountainside (older form)
半月	반월	Half-moon
描하고	묘하고	Drawing; depicting
울창한	울창한	Dense; luxuriant (forest)
對岸	대안	Opposite bank
白沙	백사	White sand
相暎하야	상영하여	Reflecting each other (older form)
일층	일층	One layer; even more
흥미	흥미	Interest; charm
助하며	조하며	Helping; adding to (older connective form)
眼下에 출몰하고	안하에 출몰하고	Appearing and disappearing below one's eyes
雲外에 배회하야	운외에 배회하여	Wandering beyond the clouds (older form)
歸笻을 忘케 한다	귀공을 망케 한다	Makes one forget to return (笻 is a walking stick, symbolic of journey)
巨刹	거찰	Large temple
堂宇	당우	Temple buildings; halls
多寶塔	다보탑	Dabotap (Prabhutaratna Pagoda)
前庭	전정	Front courtyard
建設한 것	건설한 것	Thing that was built
寺名	사명	Temple name
其時	기시	At that time
관중	관중	Assembly; crowd (of monks)
甚多하야	심다하여	Being very numerous (older form)
亂麻와 如한 고로	난마와 여한 고로	Because it was like tangled hemp (如하다 = -와 같다)
因名云	인명운	It is named thus, it is said (云 = 이르다)
渡船場	도선장	Ferry crossing
南奔하얏슬 時	남분하였을 시	At the time when (he) fled south (older form)
迎함매	영함매	Upon welcoming (older connective form)
題한 고로	제한 고로	Because (he) composed/wrote
世에 著하얏다	세에 저하였다	Became known to the world (older form)
巡幸留浴하얏고	순행유욕하였고	Made a royal tour and stayed to bathe (older form)
입욕할 時	입욕할 시	At the time of bathing
折脚된	절각된	With a broken leg
白鷺一羽	백로일우	One white egret (羽 is counter for birds)
飛翔함을 見하고	비상함을 견하고	Seeing it flying
捕하랴다가	포하려다가	While trying to catch it (older form)
우연이	우연이	Accidentally; by chance
용출함	용출함	Gushing out
발견하고	발견하고	Discovering
굴착하야	굴착하여	Excavating (older form)
湯源	탕원	Source of the hot spring
得하얏는데	득하였는데	Obtained, and (older form)
云한다	운한다	It is said
庚午	경오	Gyeong-o year (e.g., 1870 in context)
有하얏스나	유하였으나	There were, but (older form)
星霜	성상	Years; passage of time (lit. stars and frost)
변천	변천	Change; transition
隨하야	수하여	Following; according to (older form)
폐멸	폐멸	Ruin; destruction
歸하고	귀하고	Returning to; becoming
당시	당시	At that time
유물	유물	Relic; artifact
僅히	근히	Barely; merely
