Magazine Title: 개벽 제46호
Publication Date: 1924년 04월 01일
Article Title: 東洋學界의 名星=金重世氏 (A Renowned Star of the Oriental Studies World = Mr. Kim Chungse)
Author: 李鎔灌
Article Type: 소식 (News/Report)

東洋學界의 名星=金重世氏
						李鎔灌

It seems it was 16 years ago, at the inn of a close friend in Tōkyō, Japan, that I first met him. When I heard the introduction, "Mr. Kim Chungse, a student of the Seisoku School from Kaesŏng," even in our young minds, we could not help but notice some disharmony between the nature of that school and the character of Mr. Kim. Already back then, Mr. Kim presented the appearance of a mature scholar, and it did not seem like he had come all the way abroad just to memorize the ABCDs alongside middle school students.

However, I realized only in 1908 that the English at Seisoku School and his studies in Tōkyō were merely stepping stones on his path to study in Germany. When the European War began in 1914, I sent a letter from Britain via the neutral Netherlands inquiring after his safety and asked if I could offer some assistance to perhaps lessen his difficulties even slightly. Later, I tried the same from Switzerland, but receiving no reply, I largely surmised that Mr. Kim, who had not even witnessed the Japan-Korea Annexation, must have been recognized as a subject of Japan, an enemy nation of Germany, and was suffering immense hardship in prison. I heard later that he had spent three months in prison while ill, enduring unparalleled anguish with only stone-like bread (stamped with "Kaiser Wilhelm II Hoch!") and water. At that time, anti-Japanese fervor within Germany reached its peak; it was a time when calls were made to expel the treacherous and immoral Japanese people from the bounds of human society. It was a time when one would be insulted on the streets, expelled from school lecture halls, and greeted in shops, restaurants, libraries, and even private homes with the words "Cunning Japs (狡猾한 얍스)!" So, when would Mr. Kim Chungse be safely released from prison and allowed to leave German borders?<79> But in such circumstances, one can glimpse the measure of Mr. Kim's value. Through the earnest appeals of all professors and great scholars, starting from the President of the Berlin University Academy, and an urgent inquiry from the Minister of Education, he was safely released by a personal order (親令) of the Kaiser, after which he received preferential treatment everywhere. In Germany, where they hardly knew precisely which corner of the globe Chosŏn was located, why did they treat the scholar Kim Chungse from Kaesŏng with such favor?

In 1921, a so-called "Orientalist" (東洋學者) Conference was held in the city of Leipzig. This did not mean scholars who were Orientals, but rather scholars who devoted their lives to studying Eastern culture. They study Eastern culture with even greater zeal than we Easterners do, producing great scholars such as Gabelentz (花之安), Legge (任洛志), Julien (졸리앙), Champollion (쇔폴리옹), and Wilhelm (빌헴). As it was a conference of scholars from various countries inheriting the work of such world-class scholars, I took the opportunity of touring Germany to travel specially from Switzerland to Leipzig and was fortunate enough to obtain permission to audit. The Minister of Education was to give the opening address. Recalling it now, he spoke roughly to this effect: The academic world was divided due to the World War, and it is a matter of glory for the German nation that we have gathered once again like this within Germany today. It is generally welcomed that scholars representing India and Japan from East Asia are also present. "It is particularly heartening to know that Mr. Kim Chungse from Chosŏn, whom our German Oriental studies community respects and loves, is also present..." Hearing this, I learned not only of his presence but also how renowned his reputation was in German Oriental studies circles. I thought then, if only a hero can truly know a hero, and a scholar truly know a scholar, then I, not being a scholar, could hardly grasp Mr. Kim's personality, talent, or value. However, with such a reputation, I could not but acknowledge him as a great scholar, even without fully understanding.

My impression of Mr. Kim's personality and talents might be extremely incomplete. However, speaking from a negative aspect (i.e., what he is not), Mr. Kim is certainly not a natural scientist, nor is he a so-called social scientist. The purpose of his studies in Germany was not to research modern European civilization, but to comparatively study the ancient civilizations of China, India, Persia, Greece, and Rome, which are the foundations of world culture. His doctoral dissertation also concerns this topic and is said to be published in Germany sooner or later. Therefore, he is fluent not only in English, French, and German, but also in Latin, Ancient Greek, and even Sanskrit. Adding Classical Chinese, Japanese, and Korean, Mr. Kim reads in nine languages. Currently, he receives an official stipend from the State of Prussia and is engaged in writing as a "Collaborator" (協力員) at the Berlin University Academy; namely, a Sanskrit Dictionary (梵語辭林). This is an unprecedented work being compiled by collecting Sinicized Sanskrit terms from Chinese Buddhist texts, which are indispensable for Buddhist research, adding Chinese and German translations, and indicating the pronunciation with our Korean script. It is reportedly decided that the said Academy will publish it under Mr. Kim's name upon completion.

Regarding his personality, in a word, he is a serene scholar (靜穩한 學者). He is a *sŏnbi* (선비) who transcends worldly pleasures and the struggles of the "market of life," spending his days in quiet contemplation (靜觀) and silent reflection (黙想). That being said, he is not a passionate figure demanding a deeply devout religious life. What he seeks is the life of a serene scholar. Rather than being a scholar with the disposition to synthesize truths discovered in various fields to organize a grand system, advocating a new cosmology (新宇宙觀) and a new view of life (新人生觀) to bring about a great revolution in the scientific and intellectual worlds, he is an antiquarian scholar (尙古的 學者) who possesses a taste for interpreting ancient philosophy. <80>

**Summary**

This article by Yi Yonggwan recounts his encounters with the Korean scholar Kim Chungse (金重世), starting from their meeting in Tōkyō 16 years prior. Yi describes Kim's early scholarly demeanor, his move to Germany for advanced studies, and his harrowing experience during World War I when he was imprisoned as a Japanese subject (despite being Korean) in Germany. Despite this, Kim's academic value was recognized by top German scholars and officials, leading to his release by the Kaiser's order and subsequent high regard. Yi highlights Kim's esteemed reputation at the 1921 Orientalist Conference in Leipzig and details Kim's current work: supported by the Prussian state, he is compiling a major Sanskrit dictionary based on Buddhist texts at the Berlin University Academy, focusing on comparative ancient civilizations rather than modern science. Yi characterizes Kim as a serene, contemplative scholar dedicated to ancient philosophy. From a historical perspective, the article is revealing about the precarious status of Koreans under Japanese rule, even abroad, being identified with their colonizer during wartime. It also showcases the remarkable international academic achievement and recognition of a Korean scholar during a period when Korea itself was largely unknown and overshadowed, highlighting individual resilience and intellectual pursuit against colonial constraints. Historians might find the details about Kim's imprisonment, the intervention by German academics, and his specific research project (especially the use of Korean for Sanskrit pronunciation) particularly interesting.

**Named Entities**

金重世氏	김중세씨	Kim Chungse
李鎔灌	이용관	Yi Yonggwan
日本	일본	Japan
東京	동경	Tōkyō
開城	개성	Kaesŏng
正則學校	정칙학교	Seisoku School
獨逸	독일	Germany
歐洲	구주	Europe
英國	영국	Britain
和蘭	화란	Netherlands
瑞西	서서	Switzerland
日韓合倂	일한합병	Japan-Korea Annexation
카이서르	카이저	Kaiser
伯林大學學士院長	베를린대학학사원장	President of the Berlin University Academy
文部大臣	문부대신	Minister of Education
朝鮮	조선	Chosŏn (Korea)
라앞지희市	라이프치히시	City of Leipzig
東洋學者	동양학자	Orientalists / Scholars of the Orient
印度	인도	India
花之安	화지안	Gabelentz (Likely Hans Conon or Georg von der Gabelentz)
任洛志	임락지	Legge (Likely James Legge)
졸리앙	졸리앙	Julien (Stanislas Julien)
쇔폴리옹	샹폴리옹	Champollion (Jean-François Champollion)
빌헴	빌헬름	Wilhelm (Likely Wilhelm Schott or von Humboldt)
中國	중국	China
波斯	파사	Persia
希臘	희랍	Greece
羅馬	로마	Rome
普魯斯國	프로이센국	State of Prussia
伯林大學學士院	베를린대학학사원	Berlin University Academy (Prussian Academy of Sciences)
佛敎	불교	Buddhism

**Glossary**

東洋學界	동양학계	Field of Oriental Studies
名星	명성	Renowned Star / Celebrity (metaphorical)
뵈옵기는	뵈옵기는	To meet (honorific, older form of 뵙기는)
親友	친우	Close friend
性質	성질	Nature / Character
調和	조화	Harmony / Accord
깨닷지	깨닫지	To realize (older spelling of 깨닫지)
낫하내여	나타내어	To reveal / show (older spelling of 나타내어)
暗誦	암송	Recitation / Memorization
갓지 안엇슴니다	같지 않았습니다	Did not seem like (older spelling/grammar)
獨逸	독일	Germany (older Hanja rendering)
징검다리	징검다리	Stepping stone
알엇슴니다	알았습니다	Knew (older spelling/grammar)
經由	경유	Via / Through
安否	안부	Safety / Well-being
使役	사역	Service / Assistance
듸리여	드리어	To give (honorific, older spelling of 드려)
곤란	곤란	Difficulty / Trouble
덜어들릴가	덜어드릴까	If I could lessen (older spelling/grammar)
회답	회답	Reply / Answer
업는	없는	Without / Lacking (older spelling of 없는)
因하야	인하여	Due to / Because of (older spelling of 인하여)
合倂	합병	Annexation / Merger
구경도 못헌	구경도 못한	Did not even see/experience (older form)
敵國	적국	Enemy country
臣民	신민	Subject (of a ruler/nation)
인정되야	인정되어	Being recognized as (older spelling of 인정되어)
옥중	옥중	In prison
艱難	간난	Hardship / Tribulation
막심한	막심한	Extreme / Severe
추측하얏슴니다	추측하였습니다	Guessed / Speculated (older spelling/grammar)
돌맹이 가튼	돌멩이 같은	Like a stone (older spelling)
印찍힌	인찍힌	Stamped / Imprinted
빵떡	빵떡	Bread (colloquial/dated term)
無雙	무쌍	Unparalleled / Matchless
苦悶	고민	Anguish / Agony
排日熱	배일열	Anti-Japanese sentiment/fervor
背信無德	배신무덕	Treacherous and immoral
驅逐	구축	Expulsion / Driving out
街路	가로	Street
逐出	축출	Expulsion / Ousting
교활한 얍스(스쨉)	교활한 얍스(스잽)	Cunning Japs (derogatory, older phonetic rendering)
人事 바들 때	인사 받을 때	Time of receiving greetings (contextually, being addressed with insults)
출옥되야	출옥되어	Being released from prison (older spelling)
窺觀헐 수 잇함니다	규관할 수 있습니다	Can glimpse / observe (older spelling/grammar)
碩學	석학	Great scholar / Erudite person
간청	간청	Earnest request / Plea
照會	조회	Inquiry / Reference
親令	친령	Imperial order / Personal command (of the Kaiser)
依하야	의하여	According to / By (older spelling)
優待	우대	Preferential treatment / Hospitality
밧게 되얏슴니다	받게 되었습니다	Came to receive (older spelling/grammar)
구셕	구석	Corner (older spelling)
자셰히	자세히	In detail / Closely (older spelling)
엇재	어찌	How / Why (older spelling)
이다지	이다지	So much / To this extent
東洋學者	동양학자	Orientalist / Scholar of the Orient
열성	열성	Enthusiasm / Zeal
産出	산출	Produce / Yield
業	업	Work / Achievement
계승하는	계승하는	Inheriting / Succeeding
傍聽	방청	Auditing (a lecture/meeting)
認許	인허	Permission / Approval
엇게 되얏슴니다	얻게 되었습니다	Came to obtain / get (older spelling/grammar)
開會辭	개회사	Opening address
회상하건댄	회상하건대	Recalling / Remembering (older form)
光榮	광영	Glory / Honor
敬愛허는	경애하는	Respected and loved (older spelling)
깃브게	기쁘게	Happily / Gladly (older spelling)
듯고	듣고	Hearing (older spelling)
자자한지도	자자한지	How widespread / famous it is
능히	능히	Capably / Can
認定치 아니치 못하겟다	인정치 아니치 못하겠다	Cannot but recognize / Must admit (older double negative form)
재능	재능	Talent / Ability
불완전할 듯 함니다	불완전할 듯합니다	Seems likely to be incomplete (older grammar)
소극적 방면	소극적 방면	Negative aspect (in the sense of 'what is not')
自然科學者	자연과학자	Natural scientist
社會的 科學者	사회적 과학자	Social scientist
現代文明	현대문명	Modern civilization
기초	기초	Foundation / Basis
古代文明	고대문명	Ancient civilization
비교적으로	비교적으로	Comparatively
博士學位論文	박사학위논문	Doctoral dissertation
대헌 것	대한 것	Thing concerning / Regarding (older spelling)
早晩	조만	Sooner or later
羅典語	라틴어	Latin language
古代希臘語	고대희랍어	Ancient Greek language
梵語	범어	Sanskrit
능통하시는데	능통하시는데	Being proficient in (honorific)
漢文	한문	Classical Chinese
日文	일문	Japanese writing/language
朝鮮文	조선문	Korean writing/language
加하면	가하면	Adding
現今	현금	Currently / Now
官俸	관봉	Official salary / Stipend
協力員	협력원	Collaborator / Associate member
지위	지위	Position / Status
著作	저작	Writing / Composition
종사하시니	종사하시니	Being engaged in (honorific)
