잡지명	개벽 제46호
발행일	1924년 04월 01일
기사제목	追憶과 希望 (Recollections and Hope)
필자	閔泰瑗
기사형태	문예기타 (Literary Miscellaneous)

追憶과 希望 (Recollections and Hope)
						閔泰瑗 (Min T'aewŏn)


The other day, at 2 PM, a busy time in the newspaper editing room, a call came from Brother Kim Soch'un of Kaebyŏk Publishing Company. "This time, we're writing about Ch'ungnam (South Ch'ungch'ŏng Province) for the Kaebyŏk regional supplement, and since you were born in Ch'ungnam, please write something," was the command.
Although I was born in Ch'ungnam, it has already been 15 or 16 years since I left home as a child, so I repeatedly protested that I had no knowledge about Ch'ungnam worthy of dedicating precious pages, but Brother Soch'un showed no sign of readily retracting the order once given.
Ch'ungnam is my cradle, the place where my parents, brothers, nephews, and nieces currently live, yet I have rarely thought specifically about Ch'ungnam affairs. When youthful hopes flickered before my eyes, I was mesmerized by those phantom-like hopes and had no leisure to look back at other things. After the changes of the world appeared before my eyes with some reality, dealing with them became a burden like the cross. Occasionally, when I had leisure, my weak soul, weary of the past and disgusted with reality, like a bat flying at dusk, heard its vast wingbeats in a future devoid of any light.
Since the March First Movement, how many waves has our life endured, and what severe changes have there been? There was a bursting, trembling tension, but also a stagnation like the bottom of the sea of death. When the efforts of construction and the movements of destruction bit each other's tails in anguish, how much did the blood of all us young people boil, and how much did our limbs tremble? Thinking about it, the changes in thought were quite intense. We, wandering in search of a way out of a stuffy cave, had no choice but to advance heedlessly if there was an open path. After hitting our foreheads many times and turning back, the result of ceaseless wandering is that the vanguard of our great column has now shifted its steps towards the path of the left. At least, that's how it appears to my eyes.<150>
Being a member of this multitude swept along in the current, I was too busy to think separately about the affairs of my hometown. However, Brother Soch'un's command gave me a moment of leisure and brought back pleasant memories of carefree play under the warm care of my parents.
Whether the morning sun crossed Kayasan (Mount Kaya) or the red light of the setting sun hung on Tobisan (Mount Tobi), the waves of Ch'ŏnsu Bay (Asan Bay) were always calm and gentle. Silver waves reflected on the nearby sea surface, and single and double sails came and went on the horizon, while the blue color of Anmin Island became a dreamlike backdrop. Morning dew and evening mist dotted this scene, and midday roosters and roosting crows were heard at this time. Our home was at the deepest head of Ch'ŏnsu Bay, that is, the southwestern coast of Sŏsan County.
Although my young heart was thoughtless, being enveloped in this tranquil nature and gazing at the endless sea surface, I felt a faint loneliness and an elusive poetic charm. The little bird of imagination flew through the boundless heavens like a white gull over the sea. In the deep autumn night, when the egret nestled in the seaside pines cried out as if longing for something, while I lay using my mother's lap as a pillow, there were many times I even felt a sense of sorrow.
While recording these recollections, I am enveloped in a clear dreamlike state. I feel as if I have recovered a land of happiness that can never return. For this, I cannot help but thank Brother Soch'un once again.

After leaving my hometown at the age of 16, I only briefly returned home (歸覲) during the summer vacation each year. Furthermore, since I traveled back and forth by waterway (水路), not only did I not experience anything along the route, but after returning home once, apart from enjoying the family reunion (團圞) as a beloved son and brother, I had no social context to feel any other emotions. However, during the summer vacation the year before last, I had the opportunity to travel around various counties in Ch'ungnam giving lectures. Thus, I saw the town centers (邑地) of several districts and interacted with the youth. Of course, that too was merely like viewing mountains from a galloping horse (走馬看山), but what first startled our eyes and ears was that, just as seen in Kyŏngin (Seoul-Incheon area) or other cities, the pivotal locations (樞要地) in each county were entirely occupied by Japanese people. And I heard that most of them were successful through usury, or were currently engaged in the business of usury. I also saw generally robust young men from farming villages loitering idly in the town taverns (邑底酒幕) and drinking and brawling late into the night. Seeing this on one hand and that on the other, my heart <151> grew cold. Though this might not be a phenomenon limited to Ch'ungnam, seeing such clear reality, I could not help but be shocked anew.
I cannot see any particular strengths or weaknesses unique to the people of Ch'ungnam, nor do I have anything specific to demand or advise of them. However, whenever I think about the habits of Ch'ungnam people, I am reminded of the warning Elder Yi Sang-jae once gave us at the Hoso Student Friendship Association (湖西學生親睦會). "Traditionally, people from Hoso (the region including Ch'ungch'ŏng provinces) are known to feel obligated to send down at least a calendar in winter or a fan in summer to their homes back in the countryside, even while living hand-to-mouth residing in the capital (留京). From now on, you must abandon such habits." This was Elder Yi Sang-jae's warning. Although this is just a simple example, I thought it well described a certain aspect of the Ch'ungnam people. They did not know well how to eat by the sweat of their brow. This might be called a common failing (通幣) of Koreans, or narrowing the scope, a common failing of the Korean yangban (aristocracy), but it is imaginable that this fault would be particularly severe among the people of Ch'ungnam, who boasted of their aristocratic lineage (班鄕) during the 500 years of the Yi Dynasty. They are skilled in rituals (儀式) and accustomed to social interaction, and consequently, their formal speech (辭令) is clever, but they are ignorant of practical matters (실지). At least, a certain segment among them even gave the impression that outward appearance (外飾) and saving face (體面) constituted their entire life.
Some years ago, such a tragedy occurred in a certain aristocratic family (班家) in Myŏnch'ŏn. The family's fortunes had declined (가세가 빈한하야), and they hadn't seen rice for several days. The housewife, an old wife (老妻), obtained rice from a neighboring house (隣家) and first offered it to her husband. The husband, also tormented by starvation (기아), received the meal without asking its origin. However, after finishing the meal and hearing where it came from, he declared it shameful for a scholar (선비) to fill his stomach with begged food (乞飯) and committed suicide by hanging (結項自盡하엿다). Seeing this, with what face and what joy could the old wife continue living? She immediately followed her husband in death (하종하고). Their son and daughter-in-law (嗣子의 內外) also followed suit. Thus occurred the tragedy where four members (四口) of a single family perished at once.
How should one evaluate this? The local acquaintances (향리의 인사) who heard of it praised the firmness of their integrity (操守) and lamented (哀하야) their pitiful circumstances (처우), and condolence messages (挽詞) and memorial addresses (祭文) flooded in. This actual example also seems to explain well a certain psychology and way of thinking of the Ch'ungnam people.
Why couldn't he take off his scholar's robes (의관) and till the land? Yet how could he act so uprightly fastidious (介潔한 체)? It is something rather unthinkable for a modern person.
Such was the past life of the Ch'ungnam people, and such is the present situation (현상) of Ch'ungnam. However, this is gradually receding into the past. At least, <152> I have seen many among the youth eagerly seeking modern knowledge and striving to adapt to the times. When we went on our lecture tour (巡講), they showed a sincere (眞摯한) effort to acquire anything new. The generally burgeoning passion for learning (향학열) was seen arising everywhere, sometimes through the establishment of study centers (강습소), as self-cultivation institutions of Youth Associations (靑年會), or through movements like the Hongsong High School Establishment Committee (洪城의 高普期成會). As this intensely manifested hunger for knowledge (知識의 飢餓症) is gradually satisfied, the longstanding ills (經來의 병폐) will hopefully be eradicated, and one sees the pulsing of new life (새 생명의 약동) there. I find a thread (一縷) of hope in this and am satisfied for myself.
However, this is satisfaction in hope, not satisfaction in reality (현실). We must all work with our hands and walk forward with our feet in tense silence. We must seek practical benefit (실익) rather than face (체면), fruit rather than flowers (꼿). We must learn how to manage our own affairs with our own hands and be brave in carrying out our beliefs (소신). Thus, waiting for the day when many hopes are fulfilled, I lay down my pen.
Kapcha Year (1924), March 24th <153>

**Summary**

Min T'aewŏn reflects on his birthplace, Ch'ungnam province, juxtaposing idyllic childhood memories with observations from a recent visit. He notes the troubling economic dominance of Japanese settlers, often involved in usury, and the idleness and despair among rural youth. He criticizes the traditional Ch'ungnam yangban mindset, exemplified by a tragic story of a scholar choosing suicide over "begged" food, valuing face (체면) and propriety over practical survival. Despite these criticisms and bleak realities, Min finds hope in the younger generation's fervent desire for modern knowledge and self-improvement, evident in educational movements, believing this pursuit will overcome past failings and lead to a new vitality. For historians, the article offers a valuable glimpse into colonial Korean society, highlighting the socio-economic impact of Japanese settlement, internal critiques of traditional Korean (specifically yangban) values hindering adaptation, the anxieties and aspirations of the Korean intellectual class, and the growing emphasis on education and self-reliance as paths toward national revitalization amidst colonial constraints. The mention of a leftward shift among the "great column" of youth is also noteworthy.

**Named Entities**

開闢社	개벽사	Kaebyŏk Publishing Company
金小春	김소춘	Kim Soch'un
忠南	충남	Ch'ungnam (South Ch'ungch'ŏng Province)
伽倻山	가야산	Kayasan (Mount Kaya)
島飛山	도비산	Tobisan (Mount Tobi)
淺水灣	천수만	Ch'ŏnsu Bay
安民島	안민도	Anmin Island
瑞山郡	서산군	Sŏsan County
京仁	경인	Kyŏngin (Seoul-Incheon area)
李商在	이상재	Yi Sang-jae
湖西學生親睦會	호서학생친목회	Hoso Student Friendship Association
沔川	면천	Myŏnch'ŏn
洪城	홍성	Hongsong
高普期成會	고보기성회	High School Establishment Committee (Abbreviation for 고등보통학교 - Higher Ordinary School)
甲子	갑자	Kapcha (Year 1924 in the sexagenary cycle)

**Glossary**

밧분	바쁜	Busy (Older spelling)
걸녀 왓다	걸려 왔다	(A call) came through (Older spelling/grammar)
쓰겟는대	쓰겠는데	Will write, but... (Older spelling)
업노라고	없노라고	Saying there isn't/wasn't (Older spelling)
再三防塞	재삼방새	Repeatedly block/refuse (Hanja term)
나린	내린	Given/descended (Older spelling)
客易히	객이히	Readily, easily (Archaic adverb, combination of 客+易)
업섯다	없었다	Did not exist / Was not (Older spelling)
搖籃地	요람지	Cradle land, birthplace
父兄弟侄	부형제질	Father, brothers, nephews, nieces (Collective term for male relatives)
압헤	앞에	In front of (Older spelling)
돌어불	돌아볼	To look back (Older spelling)
應酬	응수	Responding to, dealing with
十字架짐	십자가짐	Burden of the cross
물니고	물리고	Being tired of, weary of (Older spelling)
진절이 치는	진저리 치는	Shuddering with disgust/weariness
거윽한	거룩한	Holy, sacred, vast (Here likely meaning vast/immense; older form of 거룩한 or related word)
업는	없는	Without, non-existent (Older spelling)
들니고	들리고	Being heard (Older spelling)
잇섯다	있었다	Existed / Was (Older spelling)
잇슨 후로	있은 후로	Since there was / After
만흔	많은	Many (Older spelling)
격것스며	겪었으며	Experienced and... (Older spelling)
잇섯든가	있었던가	Was there...? (Older spelling)
沈滯	침체	Stagnation, depression
마조	마주	Facing each other
끌엇스며	끓었으며	Boiled and... (Older spelling)
떨녓는가	떨렸는가	Trembled...? (Older spelling)
차저	찾아	Searching for (Older spelling)
不計	불계	Without regard to, heedlessly
밧게	밖에	Outside of, other than (Older spelling)
몃	몇	Several, how many (Older spelling)
돌니여	돌리어	Turning (Older spelling)
間斷업시	간단없이	Without interruption, ceaselessly
大縱隊	대종대	Great column, large contingent
보조을	보조를	Steps, pace (Older spelling of object marker)
옴기지	옮기지	Move (Older spelling)
안엇나	않았나	Hasn't it? / Didn't it? (Older spelling)
그러케	그렇게	Like that, so (Older spelling)
故鄕	고향	Hometown
땃뜻한	따뜻한	Warm (Older spelling)
슬하에서	슬하에서	Under the knees of (idiom for 'under the care of parents')
뛰놀던	뛰놀던	Played around, frolicked (Older spelling)
질거운	즐거운	Pleasant, enjoyable (Older spelling)
돌녀보냇다	돌려보냈다	Sent back (Older spelling)
햇빗	햇빛	Sunlight (Older spelling)
걸닌	걸린	Hung, caught on (Older spelling)
靜穩하엿다	정온하였다	Was calm and stable
갓가운	가까운	Near, close (Older spelling)
빗은	빛은	The color/light is (Older spelling)
點綴	점철	Dotting, interspersing
깁흔	깊은	Deep (Older spelling)
灣頭	만두	Bay head, innermost part of a bay
長閒	장한	Long and idle; tranquil, serene
끗업는	끝없는	Endless (Older spelling)
발아불	바라볼	To gaze at (Older spelling)
늣긴	느낀	Felt (Older spelling)
白鷗	백구	White gull
無限際	무한제	Boundless realm
날은	날은	Flew (Older spelling; could also be 'day is')
따옥이	따오기	Crested ibis
무릅은	무릎은	The knee is (Older spelling)
누엇슬	누웠을	When lying down (Older spelling)
만엇다	많았다	Was many/much (Older spelling)
말큼한	말끔한	Clear, neat (Older spelling)
恢復한	회복한	Recovered, restored
歸覲	귀근	Returning home to see parents (Formal Hanja term)
水路	수로	Waterway, sea route
往復하야	왕복하여	Traveling back and forth (Older spelling)
업섯슬	없었을	Would not have been (Older spelling)
團圞	단란	Happy gathering, family circle (Hanja term)
늣겨불	느껴볼	To try feeling (Older spelling)
재작년	재작년	The year before last
走馬看山	주마간산	Viewing mountains from a galloping horse (idiom: cursory glance)
樞要地	추요지	Pivotal location, key point
고리대금	고리대금	Usury, high-interest money lending
邑底酒幕	읍저주막	Town tavern (Older term)
健敏한	건민한	Robust and agile; healthy, sturdy
逗留하는	두류하는	Loitering, lingering
飮酒喧嘩하는	음주훤화하는	Drinking and brawling
선뜩하엿다	선뜩하였다	Felt a chill, grew cold (Older spelling)
새삼스러히	새삼스러이	Anew, freshly (Older spelling)
놀나지	놀라지	Be surprised (Older spelling)
고래로	고래로	Since ancient times, traditionally
留京	유경	Residing in the capital (Seoul)
책력	책력	Calendar, almanac (Older term)
나려보내야	내려보내야	Must send down (Older spelling)
벌여야	버려야	Must discard/abandon (Older spelling)
되겟다	되겠다	Must become, should be (Older spelling)
엇던	어떤	Certain, some kind of (Older spelling)
形容한	형용한	Described, depicted
땀흘리고	땀 흘리고	Sweating
通幣	통폐	Common failing, general evil (Can also mean currency)
班鄕	반향	Region known for its Yangban families
폐단	폐단	Vice, evil practice, bad habit
嫻熟하고	한숙하고	Be skilled, adept (variant Hanja form 熟)
딸어서	따라서	Following, according to (Older spelling)
辭令	사령	Formal speech, rhetoric; appointment notice
실지	실지	Reality, practical matters
外飾	외식	Outward appearance, ornamentation
體面	체면	Face, dignity, honor
눗김까지	느낌까지	Even the feeling (Older spelling)
주엇다	주었다	Gave (Older spelling)
班家	반가	Yangban family, aristocratic household
빈한하야	빈한하여	Being poor and cold; destitute (Older spelling)
隣家	인가	Neighboring house
권하얏다	권하였다	Offered, recommended (Older spelling)
쪼긴	쪼들긴/쬐인	Tormented by, hard-pressed by (context suggests '쪼들긴' meaning)
밋처	미처	Before reaching (a point/time); yet
뭇지	묻지	Ask (Older spelling)
안코	않고	Without doing (Older spelling)
듯고	듣고	Hearing (Older spelling)
乞飯	걸반	Begging for food/rice
充腹함	충복함	Filling one's stomach
結項自盡하엿다	결항자진하였다	Committed suicide by hanging (Older expression, 項 = neck)
하종하고	하종하고	Following in death (Obsolete term?)
嗣子	사자	Heir, succeeding son
內外	내외	Inside and outside; husband and wife
딸엇다	따랐다	Followed (Older spelling)
四口	사구	Four mouths; four family members
몰사한	몰사한	Died out entirely, perished
조흘는지	좋을는지	Would it be good...? (Older spelling)
操守	조수	Integrity, principles, constancy
哀하야	애하여	Lamenting, mourning (Older spelling)
挽詞	만사	Condolence message/poem
祭文	제문	Memorial address/tribute
답지하엿다	답지하였다	Flooded in, arrived in succession
갓다	같다	Is like, seems (Older spelling)
웨	왜	Why (Older spelling)
의관	의관	Robes and cap; scholar's attire
엇지	어찌	How, why (Older spelling)
介潔한	개결한	Upright and pure, fastidiously clean
체는	체는	Pretense, air (Older spelling)
업는	없는	Non-existent, without (Older spelling)
갈구하며	갈구하며	Craving, yearning for
巡講	순강	Lecture tour
엇고자	얻고자	Wishing to obtain (Older spelling)
眞摯한	진지한	Sincere, earnest
澎漲한	팽창한	Swelling, expanding, burgeoning
향학열	향학열	Passion for learning
강습소	강습소	Short-term school, training institute
靑年會	청년회	Youth Association
수양기관	수양기관	Institution for self-cultivation/training
고보기성회	고보 기성회	Prep committee for establishing a Higher Ordinary School
발기됨	발기됨	Being initiated, started
熱烈히	열렬히	Ardently, fervently
飢餓症	기아증	Starvation symptom; hunger (metaphorical)
經來	경래	That which has passed/come; longstanding
병폐	병폐	Deep-seated evil, malady, vice
일소됨	일소됨	Being swept away, eradicated
