잡지명	삼천리 제17호
발행일	1931년 07월 01일
기사제목	金剛山 菴子속의 悲戀의 虛無主義的 女性哀話(二), 사랑을 이른 그는 最愛의 갓난 아해를 안고 산에서 산으로 장차 어대로 헤매려는가 (A Nihilistic Woman's Sad Tale of Tragic Love in a Kŭmgangsan Hermitage (Part 2), Having Lost Love, Where Will She Wander From Mountain to Mountain, Holding Her Beloved Newborn Child?)
필자	朴玉蓮
기사형태	회고·수기 (Memoir/Personal Account)

Did you see the young woman, Pak Sŏngok, leaning against the stone wall of Chŏngdong Ihwa Women's College (이화녀자전문학교), holding a small child and sobbing on the night of April 17th, when the moonlight quietly covered the ten thousand houses of the capital? The night seemed quite deep, and the tail of the Big Dipper had already tilted towards Kyŏngbok Palace. Amidst this desolate silence of the universe, Ms. Pak, having escaped Kŭmgangsan, had arrived alone under the stone wall of her alma mater, where she spent her girlhood like a flower, weeping as if her heart would break.

She had come to Sŏul searching for her lover, Monk P, who was said to have fled there, but it was like searching for a reed leaf floating on the vast sea; how could she know which corner of this wide, wide capital city he was tucked away in? She searched Buddhist organizations like Punhwangsa (분황사) and the Pulgyo Chungmiwŏn (불교중미원), but perhaps thinking it strange for a young woman to be looking for a monk, she found no trace of him.

After searching for over ten days without even spotting his shadow, only despair, as if the entire world was collapsing, pressed down on her heart. Surely, she had old classmates in Sŏul who were daughters of prestigious families. But anyone seeing Pak Sŏngok, unmarried and with a young child, would curse her as a prostitute (매음부). Even the kind Western ladies at the school would surely spit and turn away upon seeing her appearance holding an illegitimate child (私生兒). Where could Ms. Pak finally go to entrust her weary life, having lost her lover and with a newborn baby?

She slumped down at the foot of the stone wall and called out for her father who had gone to Sanghae (Shanghai), called out for her only older brother who was said to have become a pilot officer in Rosŏa (Russia), and then called out for her mother who had departed this world years ago without even anyone to close her eyes.

But thinking about this and that only brought more sorrow welling up, and finally, she just sat on the ground, clawing at the earth with her ten fingers and weeping.

Soon, the baby would wake up crying for milk. What had Pak Sŏngok decided? After weeping for a while, she ground her teeth and abruptly stood up. But by then, the child was no longer in her arms, and the traces of tears were wiped from her eyes.

She intended to abandon the child and escape her lonely self far, far away to Miguk (America). Since it was the Chŏngdong alley, even though it was late at night, many Westerners returning from dances would pass by, and perhaps one would pick up the small child. If not, perhaps a Western woman from her alma mater or that Western lady might find and take the child while doing dormitory rounds. That was why she chose this place to abandon the child.<86>

Pak Sŏngok finally dashed down the alley where the Russian consulate was located, as if chased by something. Clenching her two fists, wrapping her skirt tightly around her—behind her, only the thudding footsteps of a young woman echoed in the night sky. However, a little later, inside the last streetcar with blue lights passing Sŏdaemun Gate, we could once again discover Ms. Pak Sŏngok holding her newborn child. Her feet simply wouldn't carry her away; she had gone as far as the front of the Catholic church (가트릭성교당) and turned back again, now heading to an inn, holding the child she had abandoned.

**With Great Resolve, Back to Kŭmgangsan**

"Can't I live without a lover?"
"That fickle and heartless P!"

She vowed to live again. But while the words were easy, how would she actually live? Should she become a nursery governess in some countryside kindergarten? Or a missionary woman for some church? Or else, a teacher at a rural elementary school?

No. She turned her head away from all those ideas.

When the maple leaves were turning crimson at the entrance to Kŭmgangsan in autumn, Ms. Pak returned to Kŭmgangsan after six months, holding her young child. She came and built a small house in some mountain valley below the Pirobong peak, about a hundred *ri* away from the former Temple B (B寺). Just as a swallow returning from south of the river flies from bank to bank, gathering a grain of mud or a twig to build its nest, she gathered wood and thatch, one or two pieces at a time, and fashioned what could pass for a house. At first, she gathered wild fruits to get by morning and evening, but later she went down to the entrance of Kŭmgangsan to secure provisions and spent the winter.

The following spring, like the slash-and-burn farmers (*hwajŏnmin*, 火田民) of Hamgyŏngdo or Kangwŏndo tilling their fields, she set fire to the patch in front, dug the earth, planted potatoes and grains, and also planted pumpkins and cabbage according to the season, cultivating her own year's supply of food. Since it was just enough food for one family for a year, how much could it have been? But how astonishing it was that she, a 'New Woman' with delicate hands (纖纖玉手), obtained her own food from the land she herself cleared!

Having thus built her nest for living, Ms. Pak then completely cut off ties with the human world.

Since it was already a deep and high mountain valley within Kŭmgangsan, few people visited, and she herself never went seeking others.

She grew weary of all people in the world. She was sick of people in this world who say they love when they don't, who say they are happy when they aren't, who pursue bubble-like status, gold, and power.

Deceiving, stealing, suppressing—Ah, what is human love? What are the peaceful morals and laws (律法) of society?

Getting sick, then dying, and after death, grass grows on the grave, birds sing, clouds float by, and that's it. What is eternity? What is eternal happiness?

Ms. Pak regarded raising her young child well as her divine duty (天職) and, after cutting off all contact with humans, strove to cleanly wash away the sad and painful thoughts of the past.

As a result, she succeeded, and from the following year, she was able to give up everything and instead spend each day with a happy heart.

**Meeting a Painter Couple and Discussing Her View of Life**

Four years ago from now, during a terribly hot summer month of July, Kŭmgangsan began to be filled with summer vacationers. Among them, a young man named M, attending the Tokyo Fine Arts School (東京美術學校), came to Kŭmgangsan for the summer with his fiancée, a student from a certain girls' school in Sŏul. They were staying at Temple B (B寺), where Ms. Pak and Monk P had met, but finding the temple, being part of the human world, noisy and bothersome, the two discovered a small, empty hermitage below Pirobong and spent the summer there.

At that time, the young painter (青年畵家), carrying his canvas, was wandering here and there one day in search of scenic rocks and water when he happened upon a small house below a mountain peak. Finding it strange, he went inside and saw a young maiden (處女) sitting alone, breastfeeding a child about three or four years old, it is said. Extremely surprised, he asked why she was there all alone like this, and the young woman replied with one phrase,

"Because this is happiness,"

and immediately turned away, they say. It was, of course, Ms. Pak.

Around Ms. Pak's house, weeds left to grow wild were piled up thickly enough to block a person's height,<87> but only to the east was a single-file path cleared, it is said. The young man, finding it very peculiar, followed the path and saw a thin stream, perhaps a branch of the Kuryongyŏn Waterfall (九龍淵 瀑布), trickling by. Seeing grains of barley scattered along the stream bank, it seemed to be the path she took morning and evening to wash rice. And in the grassy field by the stream, a jade-colored ramie skirt was hung out to dry, it is said.

Perhaps it was something she wore during her former schoolgirl days. On his second visit with his wife, Ms. Pak showed the M painter couple (畵家夫婦) her mountain diary (山中의 日記) and smiled quietly, it is said. It seems she hadn't forgotten to write in her diary every day even after entering the mountains. Like the diary of Germany's exhilarating, world-defying philosopher Nietzsche (니이체), in his "Look at Me" autobiography (自叙傳), Ms. Pak's diary was also quite revealing (赤裸裸), each character filled with resentment towards this world, cursing love, falsehood, and power, startling the young couple, it is said.

**Is She To Rot Away in These Mountains?**

One autumn, an unexplained wildfire broke out below Pirobong, burning a large part of the mountain valley. The monks at the nearby temple, who were guarding against mountain fires (山火災), were greatly alarmed. While searching for the person who started the fire, they discovered the hermitage and its owner, the woman. Young monks went to find Ms. Pak, intending to arrest her and take her to the temple.

At that time, Ms. Pak said, "I did not start the fire. If there were anything in the world I desired (慾心), perhaps I might start a fire, but since there isn't a speck of dust that I want to possess or do, what reason would I have to start a fire?" and refused to accompany them. After much difficulty, when the monks tried to grab her by the arm sleeve and drag her away, Ms. Pak became greatly angered and shouted,

"You filthy brats, laying hands on a woman!"

Then she pulled out a roof rafter pole and beat the monks severely, it is said. The beaten monks fled right away.

Ms. Pak, even now, goes to the mountains daily to gather wood, and farms in the autumn and spring. Although she is a woman before thirty, she is said to have become remarkably strong.

It seems she felt the need to possess sufficient physical strength to repel all external enemies while living a single life (獨身生活), and thus trained her strength.

The wildfire incident (山火災事件) thus came to a close (一段落).

Ms. Pak, who has been in the mountains for eight years now, according to rumors (風雪) flowing out of Kŭmgangsan these days, has been engrossed in reading ideological books (思想書젹) for the past couple of years. Her fatherless child's name (일홈) is Pongnam—Pongnam is already eight years old and is now said to be a good conversation partner for his mother.

What will become of the future of this nihilist (니흐리스트), living alone in the deep mountain valley, immersed in the nihilism of a lonely mother and child's life (살님)? We promise not to forget to report on her circumstances five or ten years later, and for now (위선), lay down our pen here.<92>

**Summary**

This article recounts the story of Pak Sŏngok, an educated Korean woman in 1931 who, after being abandoned by her lover, a monk named P, with their newborn child, initially contemplates abandoning the baby in Sŏul. However, she changes her mind and retreats to the remote Kŭmgangsan mountains. There, she builds a solitary life, raising her son Pongnam, becoming self-sufficient through farming, and adopting a nihilistic worldview, rejecting society and finding happiness in isolation. The narrative highlights her resilience, strength, encounters with outsiders (a painter couple, monks), and her intellectual engagement through reading. For historians, this article offers a poignant glimpse into the challenges faced by 'New Women' in colonial Korea, societal attitudes towards illegitimacy, the appeal of escapism into nature (Kŭmgangsan as a refuge), the adoption of Western philosophical ideas like nihilism in a colonial context, and the blend of traditional survival (slash-and-burn farming) with modern disillusionment.

**Named Entities**

金剛山	금강산	Kŭmgangsan
朴玉蓮	박옥련	Pak Ok-ryŏn
朴成玉	박성옥	Pak Sŏngok
정동	정동	Chŏngdong
이화녀자전문학교	이화여자전문학교	Ihwa Yŏja Chŏnmun Hakkyo
경북궁	경복궁	Kyŏngbokkung
P도승	P도승	Monk P
서울	서울	Sŏul
분황사	분황사	Punhwangsa
불교중미원	불교중미원	Pulgyo Chungmiwŏn
상해	상해	Sanghae
로서아	로서아	Rosŏa
미국	미국	Miguk
가트릭성교당	가톨릭성교당	Kat'ŭrik Sŏnggyodang
B寺	B사	Temple B
비로봉	비로봉	Pirobong
함경도	함경도	Hamgyŏngdo
강원도	강원도	Kangwŏndo
東京美術學校	동경미술학교	Tonggyŏng Misul Hakkyo
M	M	M
니이체	니체	Niich'e (Nietzsche)
九龍淵 瀑布	구룡연 폭포	Kuryongyŏn P'okp'o
봉남	봉남	Pongnam

**Glossary**

녀성	여성	Woman (older spelling)
밋헤	밑에	Under, below (older spelling)
늣기어	느끼어	Feeling (older spelling/form)
깁허진	깊어진	Deepened (older spelling)
업섯슴니다	없었습니다	Did not exist, was not (older polite ending)
찻다가	찾다가	Searching (older spelling)
압헤	앞에	In front of (older spelling)
가튼	같은	Same as, like (older spelling)
녯날	옛날	Old days, former times (older spelling)
업시	없이	Without (older spelling)
매음부	매음부	Prostitute
사생아(私生兒)	사생아	Illegitimate child
마츰내	마침내	Finally, eventually (older spelling)
어대로	어디로	To where (older spelling)
불너보고	불러보고	Calling out for (older spelling)
옵바	오빠	Older brother (for a female) (older spelling)
슬품	슬픔	Sorrow, sadness (older spelling)
젓달나고	젖 달라고	Asking for milk (older spelling/phrasing)
걸심하엿슴인가	결심하였는가	Did (she) decide? (older spelling/form)
이러나더이다	일어나더이다	Stood up (older narrative form)
업섯고	없었고	Was not there, did not have (older spelling)
씨치어	씻기어	Being washed away, wiped (older spelling/form)
달어나러	달아나려	Intending to run away (older spelling/form)
잇매	있으매	Because there is/are (older grammatical form)
주서가	주워가	Pick up and take (older spelling)
안으면	않으면	If not (older spelling)
긔숙사	기숙사	Dormitory (older spelling)
쪼기는드시	쫓기는 듯이	As if being chased (older spelling/form)
줄다름질을 첫슴니다	줄달음을 쳤습니다	Dashed, ran quickly (older spelling/idiom)
부르쥐고	불러쥐고	Clenching (older spelling)
초마자락	치마자락	Hem of a skirt (older spelling)
발자치소리	발자취 소리	Sound of footsteps (older spelling)
울닐뿐	울릴 뿐	Only echoing/resounding (older spelling/form)
도라서	돌아서	Turning back (older spelling)
려관	여관	Inn, traditional lodging
엇더케	어떻게	How (older spelling)
갈가요	갈까요	Shall (I/one) go? (older spelling)
아니올시다	아니올시다	No (formal, slightly archaic negative response)
돌니엇슴니다	돌렸습니다	Turned (older spelling)
어더다가	얻어다가	Getting, obtaining (older spelling)
조고마케	조그맣게	Smallly, diminutively (older spelling)
에우다가	에우다가	Make do with, substitute
작만하여	장만하여	Preparing, procuring (older spelling)
드리어	들여	Bringing in (older spelling)
지낫슴니다	지났습니다	Passed (time) (older spelling)
밧흘	밭을	Field (object marker) (older spelling)
일드시	일으키듯이	As if cultivating/starting (older spelling/form)
압장태	앞 상태/땅?	Patch in front (meaning unclear, likely 'front area/ground')
질너	질러	Setting (fire) (older spelling)
심으고	심고	Planting (older spelling/form)
스사로	스스로	Oneself (older spelling)
일년농량	일년 농량	One year's harvest/food supply (older term/spelling)
섬섬옥수(纖纖玉手)	섬섬옥수	Slender, jade-like hands (delicate hands)
신녀성	신여성	New Woman
제 량식	제 양식	One's own food/provisions (older spelling)
어더드린다는	얻어들인다는	That (one) obtains/gets (older spelling/form)
엇더케나	어떻게나	How (emphatic) (older spelling)
놀나운	놀라운	Surprising, astonishing (older spelling)
지어노은	지어놓은	Having built (older spelling)
아조	아주	Completely, very (older spelling)
깁흐고	깊고	Deep and (older spelling)
놉흔	높은	High, tall (older spelling)
업거니와	없거니와	Not only is there not... (older connective form)
실혓슴니다	싫었습니다	Disliked, was tired of (older spelling)
안으면서	않으면서	While not (doing) (older spelling)
깁부지	기쁘지	Not happy (older spelling)
깁부다	기쁘다	To be happy (older spelling)
률법(律法)	율법	Law, religious law
니흐리스트	니힐리스트	Nihilist (older transliteration)
맛나	만나	Meeting (older spelling)
쓸니기	쓸리기	Sweeping/gathering (context suggests influx/gathering)
다리고	데리고	Bringing/taking (someone) (older spelling)
류하고	유하고	Staying, lodging (using Hanja 留)
식그럽고	시끄럽고	Noisy and (older spelling)
하로는	하루는	One day (older spelling)
안저서	앉아서	Sitting (older spelling)
잇더라	있더라	Was there (narrative recollection form)
놀나워서	놀라워서	Being surprised (older spelling)
엇재서	어째서	Why, for what reason (older spelling)
마듸	마디	Word, phrase (older spelling)
도라안더라	돌아앉더라	Turned away and sat (older spelling/form)
쌰여잇는데	쌓여있는데	Is piled up (older spelling)
틔어	틔어	Cleared, opened up
단녓든	다녔던	Used to go, frequented (older spelling)
시츠러	씻으러	To wash (older spelling)
널렷더라	널렸더라	Was spread out/hung (older spelling/form)
녜전	예전	Old times, former days (older spelling)
안엇든	않았던	Did not (older spelling/form)
놀내이게	놀라게	To surprise, startle (older spelling/form)
노흔	놓은	Having set/placed (fire) (older spelling)
끗헤	끝에	At the end (older spelling)
붓잡고	붙잡고	Grabbing, holding onto (older spelling)
끄을고	끌고	Dragging (older spelling)
노하야	노하여	Becoming angry (older spelling/form)
패어 주엇담니다	패어 주었답니다	Beat (someone) up (reportedly) (older spelling/form)
어더마즌	얻어맞은	Having been beaten (older spelling)
도망하엿슴니다	도망하였습니다	Fled, ran away (older spelling)
화전민(火田民)	화전민	Slash-and-burn farmer
암자(菴子)	암자	Hermitage
일홈	이름	Name (older spelling)
살님	살림	Living, livelihood, household affairs (older spelling)
위선	우선	For now, first of all (older spelling)


---------------------------


잡지명	삼천리 제17호
발행일	1931년 07월 01일
기사제목	金剛山 菴子속의 悲戀의 虛無主義的 女性哀話(二), 사랑을 이른 그는 最愛의 갓난 아해를 안고 산에서 산으로 장차 어대로 헤매려는가
필자	朴玉蓮
기사형태	회고·수기

金剛山 菴子속의 悲戀의 虛無主義的 女性哀話(二), 사랑을 이른 그는 最愛의 갓난 아해를 안고 산에서 산으로 장차 어대로 헤매려는가
						朴玉蓮
여러분은 사월 열일렛날밤 달비치 장안만호를 고요히 덥고 잇슬 때 정동 이화녀자전문학교 돌담장 밋헤 어린 아해를 안고 늣기어 우는 젊은 녀성 박성옥를 보섯슴니까. 밤은 꽤깁허진 모양으로 북두성의 꼬리도 경북궁 방향을 향하야 벌서 기우러젓는데 천지가 적멸한 이 가운데 금강산을 빠저나온 박양만이 호올노 이 밤에 녯날의 처녀시대를 꼿가치 보내든 모교의 돌담장아래에 이르러 창자가 끈어질듯히 우름을 울고잇는 것이로소이다.
서울에 애인이든 P도승이 도망하여왓다 하야 정작 차저왓스나 한바다에 뜬 갈대닙을 찻는 모양으로 너르나 너른 이 서울 장안에 어느 구석에 끼어 잇는지 엇지 아오리까. 분황사고 불교중미원이고 하는 불가의 단체를 차저보앗스나 젊은녀자가 도승을 찻는다고 일부러 따는 셈인가 종적조차 알길이 업섯슴니다.
십여일을 두고 찻다가 찻다가 그의 그림자도 발견하지 못한 그의 눈압헤는 오직 이세상의 전부가 꺼저가는 것가튼 절망뿐이 가슴을 내리 눌넛슴니다. 서울에는 명문의 따님인 녯날의 동창도 잇기야 하겟지요. 그러나 혼례식도 업시 어린 아해를 가진 박성옥를 보면 누구나 매음부라 욕할 것이요. 학교의 그 인자하든 서양부인도 「사생아私生兒」를 안은 저의 모양을 보면 응당 춤배앗고 도라질 것이외다. 박양은 마츰내 어대로 가서 갓난 어린 아해와 애인을 일흔 고달푼 자긔의 목숨을 의탁할 것이오리까?
그는 돌각담미테 주저안저 상해로 간 아버지도 불너보고 로서아의 비행장교가 되엇더라는 오직 하나의 옵바도 불너보고 그러고 년전에 눈감어주는 이 조차업시 이 세상을 버리고 만 어머니도 불너보앗슴니다.
그러나 이일저일 생각하면 더욱 슬품이 북바처 오를 뿐이라 나종엔 땅우에 주저안저 열손꼬락으로 땅을 허비며 울뿐이엇슴니다.
이제 조곰만 잇스면 젓달나고 어린애가 보채어 깨어 날것이외다. 박성옥양은 무엇을 걸심하엿슴인가. 한참 우다가 이를 보도독 갈더니 벌덕 이러나더이다. 그러나 그때는 그의 손에 벌서 아해가 업섯고 그의 눈에는 눈물 혼적이 씨치어 잇섯슴니다.
