Magazine Title: 삼천리 제17호
Publication Date: 1931년 07월 01일 (July 1, 1931)
Article Title: 重大事件의 發覺端緖, 羅錫疇의 臨終 (Clues to the Discovery of a Major Incident, The Last Moments of Na Sŏkchu)
Author: M新聞 金乙漢 (Kim Ŭrhan, M Newspaper)
Article Type: 회고·수기 (Memoir/Recollection)

Clues to the Discovery of a Major Incident, The Last Moments of Na Sŏkchu
						Kim Ŭrhan, M Newspaper

"What? Threw a bomb at the Siksan Bank and fired a pistol wildly at the Oriental Development Company? It's happened, it's happened!"

It was already the afternoon of a cold day in late December, Taishō 15 (1926). I had gone to the Chongno Police Station wondering if there might be any news material, and just as I was about to enter the Chief's office, the large face of Chief M, who was receiving a phone call about something, suddenly turned pale blue, and he kept shouting, "It's happened, it's happened!"

Siksan Bank - Bomb - Oriental Development Company - Pistol

Of course, I didn't know the details of the incident, but just from these few fragmentary words, I intuitively sensed that something unusual had broken out. Startled, I couldn't even enter the Chief's office and was just observing the situation from outside. The head of the Higher Section (高等係) and other officers of assistant inspector rank and above successively gathered in the Chief's office. After a few minutes of secret talks, a force of 70-80 plainclothes and uniformed policemen rushed out into the Chongno intersection in an instant and ran like arrows towards Hwanggeumjŏng Street.

At that time, I was a newly debuted reporter and didn't really know what was what, but I had a premonition that some major incident had occurred, so I immediately followed them.

When I arrived at the Hwanggeumjŏng intersection, traffic was already blocked. Besides the streetcars barely managing to come and go, the movement of people and horses was completely paralyzed. Piercing through the iron cordon of several hundred policemen encircling the area, I managed to set foot in the Oriental Development Company (東拓). Here and there, fresh blood was dripping (鮮血이 淋灕하야), and the smell of blood stung my nose<67>, making my heart pound without realizing it, as if a stout man with a pistol might jump out and start shooting wildly at any moment.

According to the stories of reporters from various newspaper companies who had already arrived before me, the bomb thrown at the Siksan Bank (殖銀) hadn't detonated, so there was no issue there. However, at the Oriental Development Company, because a pistol was fired indiscriminately, a total of three people were shot and died instantly: a clock shop employee who came to sell goods to the company, a police inspector who happened to be passing nearby, and a guard who was posted at the back gate. A high-ranking engineer from the Oriental Development Company who was in the second-floor office was shot in the side and was in critical condition. The perpetrator himself, after shooting the guard and running out the back gate, seemed to have realized that the situation was hopeless. Before being caught by the police squad, he shot himself with his pistol. However, since a thread-like breath of life still remained, he had been taken to the Government-General Hospital just a moment ago.

That day's extra editions and evening newspapers were filled entirely with this bloody tragedy. When I went back to the company in the evening, Editor H called me into a separate room and discreetly made a request.

"Today's extra and newspaper are decent enough not to be too embarrassing. But there's one issue: finding out the identity of the culprit. What has been confirmed so far is only this: some 'terrorist,' likely from overseas, engaged in direct action, and when things went wrong, he shot himself with a pistol. Is there anything more? So now, quickly finding out precisely who he is and which overseas organization (海外 어느 團體) he belongs to is the urgent task. It's the mission of a front-line reporter. Therefore, Mr. Kim, somehow you must investigate this tonight and report the details in tomorrow's morning edition, even if it's late..."

A newspaper's editor-in-chief is the same as an army's commanding officer. Who could refuse such an order? I had no choice but to immediately rush to the Government-General Hospital.

The Government-General Hospital, on a night with white snow falling thick and fast (白雪이 粉粉한 밤), was guarded by armed policemen holding lanterns here and there, making it extraordinarily tense, quite different from usual. After inquiring around, it seemed that every policeman deemed knowledgeable about Korea's ideological movements was gathered there, from the Kyŏnggi Province Higher Section Chief down to the chiefs of all city police stations, including Inspector M and Assistant Inspector K. The surgery on the perpetrator was to be performed by Dr. P, the most famous surgeon at the Government-General Hospital. However, the perpetrator's injuries were originally severe, and they were barely sustaining his life脈 (命脈) with camphor injections.

Dozens of stern-faced policemen stood guard outside the door, so entering the operating room was impossible. Nevertheless, hoping to hear something he said, I requested meetings with the Higher Section Chief and the Chongno Police Chief, but they wouldn't meet me at all.

Thus, having no other choice, I stood shivering near the cafeteria, quite far from the hospital entrance, pulling up my overcoat collar for about three hours. Around midnight, the police cordon, which had been like an iron fortress (鐵瓮城), began to disperse one by one. Soon, the Higher Section Chief and the various station chiefs emerged in a group. As soon as they saw me, without giving me a chance to say a word, they hurriedly got into cars and drove off somewhere.

Like a dog that chased a chicken only to stare at the roof, I was dumbfounded at having lost them. Although I felt immense disappointment for a moment, I thought of another plan and sent my business card in to Dr. P. This, of course, stemmed from the vague speculation that Dr. P, having attended the surgery, might know the perpetrator's identity. Scientists are generally honest people. Dr. P met me immediately. Although he repeatedly cautioned me not to publish his words in the newspaper due to warnings from the authorities (當局), he truthfully recounted the events that transpired in the operating room. The joy I felt then, when my last-resort plan succeeded splendidly – what could compare to it? Suppressing my pounding heart, I listened intently to Dr. P's words, trying not to miss a single word or phrase.

When the perpetrator was brought into the hospital on a stretcher, he was bleeding profusely from two places where bullets had lodged (in the stomach and chest), and his breathing was indeed faint (氣息이<68> 奄奄하엿다). However, they first administered injections to stop the bleeding and gave saline injections once per minute, which barely kept him breathing. The Higher Section Chief and dozens of policemen who followed rushed in, surrounded the bed where the perpetrator lay, and began a bedside interrogation. Given the perpetrator's condition at the time, he certainly lacked the strength to endure such questioning, but the police authorities' (警察 當局) stance was to at least find out the perpetrator's identity, as he would inevitably die soon. Since the incident had struck like a bolt from the blue (靑天의 霹靂), Inspector M of the Chongno Police Station, who had selected about ten names of individuals likely to commit such an act from the extensive list of persons under surveillance (要視察人 名簿) overseas, began the bedside interrogation in the presence of numerous superior officers.

Inspector M (looking at the list of persons under surveillance): Aren't you Yi XX, who came from the XX group in Shanghai?
Perpetrator (eyes closed, lying down): No.
Inspector M: Then are you Kim XX from Manchuria?
Perpetrator (As before): No.
Inspector M: Then are you Ch'oe XX from Vladivostok (우라지오)?
Perpetrator: No.

At this point, as the perpetrator's pulse weakened, dozens more saline injections were administered. Still, about twenty more names were called out, but the perpetrator consistently denied them all. Then, an infuriated Inspector M shouted fiercely,
"Then aren't you Na Sŏkchu from the Shanghai Ŭiyŏldan (上海義烈團)?"
Only then did the perpetrator reply in a low but firm voice,
"That's right!"
Regarding the question, "Are there any accomplices?" he insisted until the very end,
"There are no accomplices. It was solely my individual act."
He clearly stated this, then said that a dying person should just die quickly. As they tried to administer more saline injections to hear even one more word, he steadfastly refused, even in his hazy consciousness (意識이 朦朧한 中). Saying nothing other than "I am Na. There are no accomplices," he finally passed away shortly thereafter without much apparent suffering.

From Dr. P's story, I learned that the perpetrator's name was Na Sŏkchu, and consequently, I came to know the details of his final moments almost as if I had witnessed them myself.
However, reporting on this incident was banned that very night, so the so-called scoop I had painstakingly obtained could not be published in the next day's morning edition. Only after the ban was lifted quite some time later was I finally able to report the details in the newspaper. But thinking back, this too has already become an old story from seven years ago. (To be continued with another incident in the next issue) <69>

**Summary**

This memoir by journalist Kim Ŭrhan recounts his experience covering the immediate aftermath of Na Sŏkchu's 1926 attack on the Chosŏn Siksan Bank and the Oriental Development Company in Seoul. He describes the chaotic scene, the police response, and his efforts as a young reporter to identify the attacker. Despite intense police secrecy and being stonewalled by officials at the hospital where the mortally wounded Na Sŏkchu was taken, Kim managed to get a detailed account of Na's final interrogation and deathbed confirmation of his identity ("I am Na [Sŏkchu]... There are no accomplices") by interviewing the attending surgeon, Dr. P. The article highlights the tension between the press and colonial authorities, the determined resistance of Korean activists like Na Sŏkchu, and the challenges reporters faced under censorship. Historians might find this piece valuable for its first-hand perspective on a significant anti-colonial event, the specific details of Na Sŏkchu's final moments as relayed by the surgeon, the police methods (using lists of suspects, bedside interrogations), and the dynamics of news gathering and suppression in colonial Korea.

**Named Entities**

M新聞	엠신문	M Newspaper
金乙漢	김을한	Kim Ŭrhan
殖銀	식은	Siksan Bank (Chosŏn Siksan Bank)
東拓	동척	Tongch'ŏk (Oriental Development Company)
大正	대정	Taishō (Japanese era name)
鍾路署	종로서	Chongno Police Station
M署長	M서장	Chief M
高等係	고등계	Higher Section (Police Intelligence Unit)
警部補	경부보	Assistant Inspector (Police Rank)
警官隊	경관대	Police Squad
鍾路	종로	Chongno
黃金町通	황금정통	Hwanggeumjŏng Street (now Ŭlchi-ro)
各新聞社	각 신문사	Each Newspaper Company
警部	경부	Inspector (Police Rank)
總督府病院	총독부병원	Government-General Hospital
H氏	H씨	Mr. H
海外 어느 團體	해외 어느 단체	Some Overseas Organization
京畿道	경기도	Kyŏnggi Province
警察署長	경찰서장	Police Station Chief
M警部	M경부	Inspector M
K警部補	K경부보	Assistant Inspector K
朝鮮	조선	Chosŏn (Korea)
P博士	P박사	Dr. P
警察 當局	경찰 당국	Police Authorities
要視察人 名簿	요시찰인 명부	List of Persons Under Surveillance
上海	상해	Shanghai
滿洲	만주	Manchuria
우라지오(浦鹽斯德)	우라지오(포염사덕)	Urajio (Vladivostok)
上海義烈團	상해의열단	Shanghai Ŭiyŏldan (Righteous Brotherhood)
羅錫疇	나석주	Na Sŏkchu

**Glossary**

重大事件	중대사건	Major incident
發覺	발각	Discovery, detection
端緖	단서	Clue, lead
臨終	임종	Deathbed, last moments
회고	회고	Recollection, reminiscence
수기	수기	Memoir, personal account
拳銃	권총	Pistol, handgun
亂射	난사	Wild firing, random shooting
치운 날	추운 날	Cold day (older spelling)
午後	오후	Afternoon
업나	없나	Isn't there? (older spelling/dialect)
갓다가	갔다가	Went and... (older spelling)
밧고 잇던	받고 있던	Who was receiving (older spelling)
얼골	얼굴	Face (older spelling)
파라케 질리며	파랗게 질리며	Turning pale blue (older spelling '파라케')
탈낫고나	탈났구나	It happened! / Trouble occurred! (older form)
연방	연방	Repeatedly, consecutively
尋常치 안은	심상치 않은	Unusual, extraordinary
突發하엿슴을	돌발하였음을	That it had suddenly occurred (older spelling)
直覺한	직각한	Intuitively sensed
唐慌히	당황히	Flusteredly, bewilderedly
밧게서	밖에서	From outside (older spelling)
動靜	동정	Situation, movements
살피고 잇노라니까	살피고 있노라니까	While I was observing (older grammatical form)
모혀 들더니	모여 들더니	Gathered and then... (older spelling '모혀')
密談	밀담	Secret talk, confidential discussion
삽時間에	삽시간에	In an instant
다러난다	달려간다	Run (older spelling/dialect)
新出記者	신출기자	Newly debuted reporter
영문	영문	Reason, cause (here: what was going on)
엇잿던	어쨌든	Anyway (older spelling)
豫感	예감	Premonition, hunch
잇섯슴으로	있었으므로	Because there was (older spelling)
交通遮斷	교통차단	Traffic block
往來하는	왕래하는	Coming and going
以外에는	이외에는	Other than, except for
狀態	상태	State, condition
뚤코	뚫고	Piercing through (older spelling)
간신히	간신히	Barely, narrowly
드려노흐니	들여놓으니	Stepped in (older spelling)
鮮血이 淋灕하야	선혈이 임리하여	Fresh blood was dripping/flowing (Hanja term 淋灕)
피비린내	피비린내	Smell of blood
금시에	금시에	At any moment, immediately
壯漢	장한	Stout man, strong man
가슴이 두근거린다	가슴이 두근거린다	Heart pounds
이약이	이야기	Story, talk (older spelling)
드르면	들으면	If one listens (older spelling)
投擲한	투척한	Thrown
炸裂	작렬	Explosion, detonation
업섯스나	없었으나	Although there wasn't (older spelling)
까닭에	까닭에	Because of, due to
지내가든	지나가던	Who was passing by (older spelling)
把守	파수	Guard duty, watch
守衛	수위	Guard, watchman
都合	도합	In total
射殺되여	사살되어	Being shot dead (older spelling '되여')
卽死하고	즉사하고	Died instantly
重態	중태	Critical condition
엽구리	옆구리	Side (of the body) (older spelling '엽구리')
彈丸	탄환	Bullet
大勢가 글럿슴을	대세가 글렀음을	That the situation was hopeless/lost (older form '글럿슴')
自覺하엿슴인지	자각하였음인지	Whether he realized (older spelling)
붓터잇슴으로	붙어있음으로	Because it was attached (older spelling, meaning 'still alive')
號外	호외	Newspaper extra
夕刊	석간	Evening newspaper
流血의 慘劇	유혈의 참극	Bloody tragedy
充滿되엿섯는데	충만되었었는데	Had been filled with (older spelling)
드러가니	들어가니	When I entered (older spelling)
編輯長	편집장	Editor-in-chief
別室	별실	Separate room
은근히	은근히	Discreetly, quietly
남붓그럽지 안케	남부끄럽지 않게	Not embarrassingly (older spelling '붓그럽지', '안케')
되엿소	되었소	It has become (older polite ending)
잇스니	있으니	There is (older spelling)
犯人	범인	Culprit, perpetrator
正體	정체	True identity
알어내이는 것	알아내는 것	Finding out (older spelling)
判明된 것	판명된 것	What has been confirmed/clarified
海外	해외	Overseas
테로리스트	테러리스트	Terrorist (loanword)
直接行動	직접행동	Direct action
일이 글러지매	일이 글러지매	As things went wrong (older form '글러지매')
밧게 더잇소	밖에 더있소	Is there anything more than...? (older spelling/form)
急務	급무	Urgent task
第一線	제일선	Front line
使命	사명	Mission, duty
엇더케 하여서던지	어떻게 하여서든지	Somehow, by any means (older spelling)
늣드래도	늦더라도	Even if it's late (older spelling)
明日 朝刊	명일 조간	Tomorrow's morning edition
詳細한 것	상세한 것	Details
報導하도록 하시요	보도하도록 하시오	Please report (older polite command form)
司令官	사령관	Commanding officer
맛찬가지다	마찬가지다	The same (older spelling)
拒逆할 수 잇스랴	거역할 수 있으랴	Could one disobey? (rhetorical, older forms)
달려가지 안이치 못하엿다	달려가지 아니치 못하였다	Had no choice but to rush (older negative construction)
白雪이 粉粉한 밤	백설이 분분한 밤	Night with white snow falling thick and fast (Hanja term 粉粉)
提燈	제등	Lantern (paper lantern)
武裝警官	무장경관	Armed policeman
把守를 보고 잇는 것	파수를 보고 있는 것	Standing guard (older spelling '잇는')
平日	평일	Weekday, ordinary day
딴판으로	딴판으로	Completely different
森嚴한	삼엄한	Strict, stern, tense
수소문을 하여보니	수소문을 하여보니	After inquiring around
思想系統	사상계통	Ideological lineage/system
部類	부류	Category, class
모조리 모힌 모양이고	모조리 모인 모양이고	Appeared that all were gathered (older spelling '모힌')
手術	수술	Surgery
執刃	집인	Performing surgery (lit. holding the scalpel)
원체	원체	Originally, fundamentally
重傷	중상	Serious injury
캄풀注射	캄풀주사	Camphor injection
命脈	명맥	Lifeline, pulse (fig. life)
지탕하여 갈 뿐	지탱하여 갈 뿐	Only sustaining/maintaining
把守보는	파수보는	Standing guard
서슬이 퍼러케	서슬이 퍼렇게	Sternly, fiercely (lit. edge is blue)
手術臺	수술대	Operating table
面會를 請하야 보앗스나	면회를 청하여 보았으나	Requested a meeting, but... (older spelling '보앗스나')
도모지 맛나주지를 안는다	도모지 만나주지를 않는다	Doesn't meet at all (older spelling '맛나주지', '안는다')
할 수 업시	할 수 없이	Having no choice (older spelling)
玄關	현관	Entrance hall, foyer
外套	외투	Overcoat
子正때	자정때	Around midnight
鐵瓮城	철옹성	Iron fortress (impenetrable guard)
풀니기 시작하더니	풀리기 시작하더니	Began to disperse and then... (older spelling '풀니기')
이윽고	이윽고	Soon, shortly after
황망히	황망히	Hurriedly, hastily
닭 쫏든 개 집웅 처다보기	닭 쫓던 개 지붕 쳐다보기	Like a dog that chased a chicken only to stare at the roof (proverb: be left dumbfounded/empty-handed)
어이가 업시	어이가 없이	Dumbfounded, flabbergasted (older spelling)
落望을 늣기엇스나	낙망을 느꼈으나	Felt disappointed, but... (older spelling '늣기엇스나')
計策	계책	Plan, scheme
