잡지명	개벽 제11호
발행일	1921년 05월 01일
기사제목	小說 革命의 第 2年 (Novel: The Second Year of the Revolution)
필자	아나토올·후란쓰, 步月生 譯
기사형태	소설 (Novel)

小說 革命의 第 2年
						아나토올·후란쓰, 步月生 譯
The prison gatekeeper pushed Countess Fanny Taffinett of the old regime into the grounds and locked the gate again. As recorded in the register of criminals, the Countess was arrested as a political offender against public order. The crime was harboring a fugitive aristocrat, for which she was imprisoned for concealing a criminal.

The Countess entered the old building. This place was once where the hermits of Port-Royal savored a kind of quiet solitude. However, the revolutionary government was now using it as a prison, without altering its former appearance in the slightest.

While the prison clerk recorded the Countess's name in the prisoner register, the Countess sat perched on a chair at the end of the hall and thought thus:
"Oh, Lord God, why has such a thing happened? What are you planning to do?"

The key-bearing guard looked more absurd than malicious. But his daughter was pretty and lovable. The girl prettily wore a forage cap folded and pinned with the colors of the Republic's emblem, the tricolor ribbon.

This key-bearing guard led the Countess to a wide courtyard. In the middle of the courtyard stood a large acacia tree, lush and overgrown. He had her wait in the middle of this courtyard until he arranged a table and bed in the cell. Because the prison was full, several female prisoners were housed in one room. Although prisoners overflowing this jail were sent daily to the Revolutionary Tribunal and the guillotine, there was never an empty moment as it remained packed full. This was because the various committees <131> escorted new criminals every day, causing the prison to overflow.

In the middle of the courtyard, the Countess saw young female prisoners diligently carving initials into the bark of the acacia tree. Thus, the Countess recognized that the woman was her childhood friend, Antoinette Deriaqu.
"Antoinette, you were here..."
"You too are here... Fanny! Let's arrange for my bed and your bed to be in the same place. We have mountains of things to talk about..."
"I have much too... But Antoinette, what happened to Monsieur Deriaqu..."
"My old man, you mean? I've already forgotten him. It's contrary to loyalty, but. He never lacked even a little towards me... He must be in some prison now..."
"What are you doing over there?"
"What... time is it? If it's five o'clock, the friend whose name and his name I carved into this tree bark might no longer be in this world. He went to the Revolutionary Tribunal around noon. His name is Cheslan, and he became a volunteer soldier in the Northern Army. I met him in this prison. He and I spent joyful and happy times at the root of this tree. Truly a splendid young man.... Still, even if you've come to such a place, I must ensure you can stay comfortably."

Antoinette embraced the Countess and led her into the cell where her own bed was placed. Then, she requested permission from the key-bearing guard so that the two of them would not be separated.

The two female prisoners promised to wash the stones laid in the prison yard starting the next morning.
They ate dinner together, made of salted beef by the patriots' cheap cook. The prisoners each received pork and cabbage on plates and wooden tableware (metal tableware was strictly forbidden). Eating this coarse meal, the Countess was surprised to see the female prisoners passing the time without agitation. <132>

All these female prisoners, like Madame Deriaqu, had their hair neatly combed and wore beautiful clothes. The Countess observed that the female prisoners preserved the hope of pleasing men even on the verge of death. And their words came out as affectionately as their bodies. It wasn't long before the Countess realized that within this gloomy prison, secrets of affairs, polishing something called either "death" or "love," were intricately woven. Thus, the Countess's thinking mind became dizzy, and she felt an earnest thought, like tightly gripping another person's hand with her own.

The Countess thought of the lover she had recently loved but had not granted her body to. And regret, more than unfulfilled affection, tore at the Countess's heart. Then, hot tears like pleasure flowed down her two cheeks. An oil lamp dish cast shadows, illuminating the dining table. Through that light, the Countess looked across and saw the eyes of the female prisoners shining with the excitement of passion. And the Countess thought as follows:
"It won't be long before we die together. For these female prisoners, 'life' and 'death' are trivial matters, so why am I the only one feeling sorrowful and dizzy?"
The Countess wept all night on the rough bed.

Twenty monotonous and long days passed before she knew it. This garden, where the prisoners' lovers used to come seeking silence and darkness, was deserted this evening, not a single shadow to be seen. The Countess, feeling stifled by the heavy air at the end of the hall, sat down on a grassy mound. The mound surrounded the old acacia tree. The shade of the acacia tree covered the prison yard. The acacia was now in full bloom. Whenever a clear breeze passed through the tree, a beautiful fragrance brushed past the tip of her nose. The Countess saw that Antoinette had attached a piece of paper with a pin over the initials carved into the tree bark. On this attached paper, the Countess read a poem by the poet Pâris, who was imprisoned with her. <133>

Obedient sacrifice, the prisoner's heart,
On the branches of the affectionate tree,
Freed from sin and suspicion, dreamt of love and forgot pain.
To this tree, the prisoners,
Leak your sorrow and fear.
How many times has this tree been wet with tears?
People who play in this yard when the world is at peace,
Respect this affectionate tree and protect it forever.
This tree comforted pain and calmed fear.
The prisoner was happy in this shade.

Reading this poem, the Countess felt a serene thought arise. The Countess recalled her loveless marriage, her nature that delighted in music and poetry, and her consideration of solemn and harmonious friendships, reminiscing about an elegant and tranquil life. And thinking of how she loved a certain sincere scion of a noble family and did not listen to his wishes, and now considering her body confined in this prison, the love she shared with that person felt deeply joyful in layers. However, thinking again of her approaching execution, she spent her days in lament. Sweat of anguish broke out on her forehead. Wrapped in sorrow, the Countess turned her hot pupils to the star-filled sky. And letting out a restless sigh, she lamented thus:
"God. Please, send back hope."

At that moment, the sound of light footsteps approached the Countess. It was Rose, the daughter of the key-bearing guard, who had come secretly to talk with the Countess.
"Listen. Tomorrow evening, your lover said he will be waiting with a carriage on the road leading to the Observatory. <134> Please take this bundle. Inside are clothes like mine. Change into these clothes in your cell at dinnertime. You have the same height and build as me, and your hair is blonde like mine. In the dark night, they might not be able to distinguish well between you and me. I have bribed the guard here. This guard will go up to your cell, and you carry the basket I use to go shopping at the market. Then, come down the spiral staircase with this guard. The guard has the key to the spiral staircase. This spiral staircase connects to where my father is. There is no guard at this door, and it is not locked. You just must not be discovered by my father. My lover will lean against the glass window in the room as if talking to me and say, 'See you again, Rose. Stop tormenting me now.' You walk calmly out this way. During that time, I will go out through the main gate, and we will meet in the carriage. That carriage will take us far away."

The Countess drank in these words along with the spirit of nature and the air of spring. And the Countess, mustering the strength of her heart filled with the desire to live, longed for freedom.
The Countess anticipated her safety and savored the pleasure. And because the idea of love was mixed into this safety, the Countess placed both hands over her heart to preserve her happiness. However, gradually, the strong reason within the Countess's nature came to dominate her emotions. The Countess stared intently at the face of the key-bearing guard's daughter and spoke thus:
"Why are you being so kind to me when you don't know me?"
"It's because your lover said he would give a lot of money if I help you escape... Then I can marry my lover, Florandan. Isn't that right? Madame, as you can see, I am doing this for tomorrow. I thought it would be better to save you than another female prisoner," Rose spoke frankly to the Countess as if they were close.
"Thank you for that. But why is that?"
"It's because you are so beautiful... Not only that, but I know it must be painful <135> for your lover to be separated from you. That's right. It would be good to do so, wouldn't it?"
The Countess extended one hand as if to receive the bundle of clothes Rose had brought. Then she drew it back.
"Rose, do you know you could die if you are caught?"
"Die...? They might threaten me. No, I don't know about such things," the girl cried out.
Then, Rose, already reassured, spoke thus:
"Your lover will hide you well."
"There isn't a single house in Paris where one can hide completely. I appreciate your kindness. Still, Rose. I cannot do it."
Rose's heart filled with a vague feeling.
"You will die at the guillotine. And I won't be able to live with Florandan."
"Don't worry. Even though I refuse your request, I will do my best for you."
"No. I don't want that. That would be like stealing money."
The key-bearing guard's daughter pleaded. She cried. And she begged for a long time. The woman knelt and grabbed the hem of the Countess's dress. The Countess pressed the maiden down with one hand and lifted her face. The moonlight shone on this tranquil face.
It was a clear night. A gentle breeze blew past. The prisoners' tree, the acacia, shook its branches carrying a sweet fragrance, and dropped blue and white flowers onto the head of the Countess, who was becoming a honey-like sacrifice... (End) <136>

**Summary**

Set during the French Revolution, Countess Fanny Taffinett, imprisoned for hiding an aristocrat, encounters hardship and surprising camaraderie among fellow female inmates awaiting the guillotine. Despite the grim reality, love affairs and a desire for life persist. Rose, the guard's daughter, offers Fanny a detailed escape plan orchestrated by Fanny's lover, motivated by a reward that would allow Rose to marry her own love, Florandan. However, after contemplating the risks to Rose and perhaps driven by a complex sense of honor or fatalism, Fanny ultimately refuses the chance for freedom and love, choosing sacrifice under the blooming acacia tree, a silent witness to the prisoners' lives. From the perspective of Korean colonial history, the publication of this translated French story in *Kaebyŏk* (개벽) magazine in 1921 is noteworthy. It reflects the introduction of Western literature and ideas (even those concerning revolution and individual moral dilemmas against oppressive systems) to a Korean audience grappling with its own colonial reality, potentially offering subtle parallels or escapes through foreign narratives.

**Named Entities**

아나토올·후란쓰	아나톨 프랑스	Anatole France
步月生	보월생	Poyŏlsaeng
파안니이, 따푸네에	파니 타피네	Fanny Taffinett
포올, 로와이얄	포르루아얄	Port-Royal
안트와네트·더리이리야꾸	앙투아네트 데리아크	Antoinette Deriaqu
체스란	셰슬랑	Cheslan
빠이지에	파지	Pâris
로오쓰	로즈	Rose
天文臺	천문대	Observatory
후로란단	플로랑당	Florandan
巴里	파리	Paris

**Glossary**

門直	문직	Gatekeeper
舊 制度	구 제도	Old regime (Ancien Régime)
伯爵夫人	백작부인	Countess
治安政治犯	치안정치범	Political offender against public order
亡命	망명	Exile, seeking asylum
貴族	귀족	Aristocrat, nobility
隱匿罪	은닉죄	Crime of concealment/harboring
收監	수감	Imprisonment
只今	지금	Now (older spelling of 지금)
족음도	조금도	Not even a little (older spelling/form of 조금도)
그냥 그대로	그냥 그대로	Just as it is, unchanged
書記	서기	Clerk, secretary
囚人 名薄	수인 명부	Prisoner register
交椅	교의	Folding chair
걸터안저서	걸터앉아서	Sitting perched (older spelling of 걸터앉아서)
한우님	하느님	God (older spelling/form of 하느님)
웨	왜	Why (older spelling of 왜)
看守	간수	Guard, jailer
惡毒하게	악독하게	Maliciously, wickedly
荒唐한	황당한	Absurd, ridiculous
어여뿌고	예쁘고	Pretty (older spelling of 예쁘고)
共和國	공화국	Republic
徽章	휘장	Emblem, insignia
빗	빛	Color, light (older spelling of 빛)
略帽	약모	Forage cap, side cap
다리고	데리고	Taking someone along (older spelling of 데리고)
가운대	가운데	Middle, center (older spelling of 가운데)
株	주	Counter for trees
茂盛하여	무성하여	To be lush, overgrown
寢臺	침대	Bed
整頓하여	정돈하여	To arrange, tidy up
女囚	여수	Female prisoner
取容하게	취용하게	To accommodate, house
넘치게 된	넘치게 된	Overflowing
斷頭臺	단두대	Guillotine
빌 틈이 업시	빌 틈이 없이	Without any empty moment (older spelling of 없이)
위원회	위원회	Committee
護送하기	호송하기	To escort (prisoners)
頭字	두자	Initials
彫刻하고	조각하고	To carve, engrave
맨들기로	만들기로	To make, arrange (older spelling of 만들기로)
이악이	이야기	Story, talk (older spelling of 이야기)
산데미 가티	산더미 같이	Like a mountain pile (older spelling of 같이)
만흐니까요	많으니까요	Because there is much (older spelling of 많으니까요)
영감	영감	Old man; here used informally for 'husband'
벌서	벌써	Already (older spelling of 벌써)
이저버렷지요	잊어버렸지요	Have forgotten (older spelling of 잊어버렸지요)
義理	의리	Loyalty, fidelity
不足한 點	부족한 점	Shortcoming, fault
업섯습니다	없었습니다	Did not have, there was not (older spelling of 없었습니다)
몃점	몇 시	What time (older usage/spelling, 점 likely refers to clock points)
새겨 잇는	새기고 있는	Is carving (older spelling)
깃거운	기꺼운	Joyful, happy (older spelling of 기쁜/즐거운)
입디다	입니다	Is, am, are (polite ending, older form)
오셧더래도	오셨더라도	Even if you came (older spelling)
아니하여서는 아니될 것	해야 할 것	Something that must be done
노혀잇는	놓여있는	Placed, lying (older spelling of 놓여있는)
付托하여	부탁하여	To request, ask a favor
어덧다	얻었다	Obtained, got (older spelling of 얻었다)
이튼날 아츰	이튿날 아침	The next morning (older spelling)
깔린 돌	깔린 돌	Paved stones
씻기를 約束하엿다	씻기를 약속하였다	Promised to wash
갑싼	값싼	Cheap
料理人	요리인	Cook
牛肉짠 것	소고기 장조림(?)	Salted beef (likely)
맨든	만든	Made (older spelling of 만든)
食器	식기	Tableware
嚴禁하엿다	엄금하였다	Strictly forbade (older form)
豚肉	돈육	Pork
白菜	배추	Napa cabbage
밧게 되엇다	받게 되었다	Came to receive (older spelling)
粗食	조식	Coarse food, simple meal
먹으며서	먹으면서	While eating (older spelling)
燥悶	조민	Restlessness, agitation (Hanja term)
지나는	지내는	Spending time (older usage context)
빗고	빗고	Combing (hair)
그이들의	그들의	Their (older pronoun form)
情답게	정답게	Affectionately
陰鬱한	음울한	Gloomy, somber
戀	연	Love, passion (Hanja character)
琢磨하여	탁마하여	To polish, cultivate
情事	정사	Love affair
密計	밀계	Secret plan, intrigue
獄裏	옥리	Inside the prison
纏綿하여	전면하여	To be entwined, linger persistently
어질어워	어지러워	Dizzy, confused (older spelling)
느꼇다	느꼈다	Felt (older spelling)
하며서	하면서	While doing (older spelling)
許諾치 아니한	허락지 아니한	Did not permit/allow
愛人	애인	Lover
悔恨	회한	Regret, remorse
未盡한 情	미진한 정	Unfulfilled affection/passion
애를 끈헛다	애를 끊었다	To be heart-wrenching (idiom)
그리며서	그러면서	While doing so, and yet (older spelling)
歡樂	환락	Pleasure, joy
뺨	뺨	Cheek
흘럿다	흘렀다	Flowed (older spelling)
燈盞	등잔	Oil lamp
비추어 잇섯다	비추고 있었다	Was illuminating (older spelling)
愛欲	애욕	Passion, carnal desire
興奮	흥분	Excitement
건너다 보앗다	건너 보았다	Looked across (older spelling)
아와 가티	이와 같이	Like this, as follows (older spelling)
些少한	사소한	Trivial, petty
悲感	비감	Sorrow, grief
밝혓다	밝혔다	Stayed up all night (lit. brightened) (older spelling)
單調하고도	단조롭고도	Monotonous and
지나갓다	지나갔다	Passed (time) (older spelling)
庭園	정원	Garden
寂寂하여	적적하여	Quiet, deserted, lonely
업섯다	없었다	There was not (older spelling)
무더운 空氣	무더운 공기	Stifling air, sultry air
답답하여	답답하여	Feeling stifled, frustrated
잔디 풀 造山	잔디 풀 조산	Grassy mound (造山 suggests man-made hillock)
걸터 안젓다	걸터앉았다	Sat perched (older spelling)
에워싸고	에워싸고	Surrounding
덥고 잇섯다	덮고 있었다	Was covering (older spelling)
꼿	꽃	Flower (older spelling)
滿發하여	만발하여	In full bloom
지나쳣다	지나쳤다	Brushed past, passed by (older spelling)
조히쪽에다	종잇조각에다	On a piece of paper (older spelling)
못	못	Nail, pin
부텨 노흔	붙여 놓은	Attached, pinned (older spelling)
詩人	시인	Poet
犧牲	희생	Sacrifice
嫌疑	혐의	Suspicion
벗어나	벗어나	Freed from, escaping
꿈꾸고	꿈꾸고	Dreaming
苦痛	고통	Pain, suffering
이젓다	잊었다	Forgot (older spelling)
이남게다	이 나무에다	To this tree (older spelling)
슯흠	슬픔	Sorrow, sadness (older spelling)
漏泄하여라	누설하여라	Leak, reveal (imperative)
몃번	몇 번	How many times (older spelling)
治平되거던	치평되거든	When peace is achieved (older form)
尊重하여	존중하여	Respecting
慰勞하고	위로하고	Comforting, consoling
恐怖	공포	Fear, terror
平安케 하엿다	평안케 하였다	Made peaceful, calmed (older form)
해연한	해연한(?)	Serene, calm (Interpretation, possibly related to 아련한)
性質	성질	Nature, disposition
깃거하던	기뻐하던	Delighted in, enjoyed (older spelling)
莊嚴한	장엄한	Solemn, sublime
和樂한	화락한	Harmonious, amicable
親交	친교	Friendship, fellowship
念頭에 두던	염두에 두던	Kept in mind, considered
典雅하고	전아하고	Elegant, graceful
靜和한	정화한	Tranquil, serene
回想하엿다	회상하였다	Recalled, reminisced
誠實한	성실한	Sincere, faithful
華胄의 子弟	화주의 자제	Scion of a noble family
所願	소원	Wish, desire
듯지 아니한	듣지 아니한	Did not listen to
매여잇는	매여있는	Tied, confined (older spelling)
구비구비	구비구비	In twists and turns, deeply layered
깃거움을 느껴진다	기쁨을 느껴졌다	Felt joy (older spelling)
死刑	사형	Death penalty, execution
가까옴을	가까움을	Nearness, proximity (older spelling)
悲嘆	비탄	Lamentation, grief
보내엇다	보내었다	Spent (time) (older spelling)
苦悶	고민	Anguish, agony
솟아낫다	솟아났다	Sprouted, broke out (sweat) (older spelling)
싸히어	싸이어	Wrapped in, enveloped by (older spelling)
한울에다	하늘에다	To the sky (older spelling)
눈瞳子	눈동자	Pupil (of the eye)
돌렷다	돌렸다	Turned (older spelling)
조비빔	조바심	Restlessness, anxiety (older spelling/word)
嘆息	탄식	Sigh, lament
아모쪼록	아무쪼록	Please, by all means (older spelling)
둘려 보내주시요	돌려 보내주시오	Send back, return (older spelling/request form)
발자최 소리	발자취 소리	Sound of footsteps (older spelling)
이르럿다	이르렀다	Arrived, reached (older spelling)
來日	내일	Tomorrow (Hanja term)
情夫	정부	Lover (male)
褓子	보자기	Bundle wrapped in cloth
바드시요	받으시오	Please receive/take (older spelling/request form)
身長	신장	Height (physical stature)
體格	체격	Build, physique
金髮	금발	Blonde hair
分揀치 못할는 지도	분간치 못할는지도	Might not be able to distinguish (older spelling/form)
把守兵	파수병	Guard, sentry
삿습니다	샀습니다	Bought (bribed) (older spelling)
市場	시장	Market
物件	물건	Goods, items
사라가는	사러 가는	Going to buy (older spelling)
광주리	광주리	Basket
가시요	가시오	Please go (older spelling/request form)
그리거던	그러거든	If so, then (older spelling)
層層臺	층층대	Spiral staircase (lit. layered platform)
내려오시요	내려오시오	Please come down (older spelling/request form)
가젓습니다	가졌습니다	Has, possesses (older spelling)
