Magazine Title: 삼천리 제8권 제11호
Publication Date: 1936년 11월 01일
Article Title: 名歌手를 엇더케 發見하엿든나 (How Were Famous Singers Discovered?)
Article Type: 회고·수기 (Memoir/Recollection)

How Were Famous Singers Discovered?
Yi Aerisu's Solo Performance on Her Wedding Night

Victor Records - Head of Arts & Literature Dept. Yi Kise
About eight years ago in the spring, several Korean popular songs (朝鮮流行歌) were recorded for the first time under the direction of mainland Japanese. Victor Phonograph Company (빅타-蓄音機會社), seeing a complete failure, did not understand that the cause of the failure lay solely in the fact that a mainland Japanese person who didn't know Korean directed the recording (吹込). Instead, with the mistaken hasty conclusion that Korea's level of culture (文化程度) was still low and that the Korean language was unsuitable for record recording, they didn't even try to record Korean popular songs again. This made me endlessly regretful and enraged me. After discussing it many times with the president of Japan Victor Phonograph Company, it wasn't until early spring of Showa 6 (昭和 6년, 1931), three years later, that it was decided to try recording Korean popular songs again. (184) If this attempt failed too, Korean popular songs would be a failure forever. Deeply determined that this time, by all means, I had to discover splendid singers and produce masterpieces that would receive fervent acclaim from the general public, I put in every effort (苦心) to find good singers, but singers worthy of note did not easily appear. Was it coincidence (偶然) or fate (인연)? Just then, I happened to officiate (주레) the wedding of Miss Sin Ŭnbong (申銀鳳孃) and Mr. Yi Kyŏnghwan (李景煥君). That night at the reception (피로연), while mingling and having fun with young theater friends, Yi Aerisu (李愛利秀) was among them. Since Yi Aerisu grew up in the same Kaesŏng (開城) from childhood, almost like family, I strongly urged her to sing a solo for the entertainment (餘興). When she sang, her voice was unexpectedly beautiful and soft. Listening to that song, her voice, like her slender (호릿호릿한) figure, seemed delicate (간열피고), mixed with tears and sighs. Like a weak (軟弱한) woman standing alone under the moonlight, looking down into a dark blue pond (池), it was subtly beautiful and mysterious (美妙神秘). I thought that mournful melody (멜로듸-), which ordinary people could hardly imitate, was most suitable for expressing the melancholic Korean sentiment (朝鮮정조). And seeing Chŏn Kyŏnghŭi (全景希君), Yi Aerisu's maternal uncle, a comedy actor (喜劇배우) also present there, I asked him to perform something too. He also possessed a unique voice, resounding (우령차고) and vigorous (긔운찬), like his own robust (健壯한) build. So, right on the spot, I decided to record three popular songs by Yi Aerisu, two solo songs by Chŏn Kyŏnghŭi, and two duets between Aerisu and Kyŏnghŭi, making seven pieces in total. Lyrics were written and music composed immediately, and after two months of practice, late that spring, I took the two of them to Japan (渡東하여) and recorded them. The results were better than expected (豫想), surprising even the president of the Tokyo head office (東京本社). That summer (녀름), one popular song record by Yi Aerisu and one solo record by Chŏn Kyŏnghŭi were first put on sale (販賣). As Yi Aerisu's melody (멜로듸-), beautiful as silk, spread through Victor's microphone to every street in Korea (三千里), the fervent acclaim from record fans all over Korea (全朝鮮) was truly moving (눈물겨웟든). The astonishing number of sales figures (販賣枚數) not only caused Victor Company to dramatically increase its Korean record recordings (朝鮮 레코-드 吹込), but also prompted Columbia (콜롬비아), Polydor (포리도-루), and other companies to start recording Korean popular songs. Thus, in the villages and valleys of Korea (三千里 坊坊谷谷), where previously only the sounds of records like *Naniwa-bushi* (浪花節) and *Ōroku kobushi* (오-룍 고부시) were heard, the sounds of Korean popular songs weaving Korean sentiment (朝鮮졍조) increased. The competition among record companies to sign singers began to intensify daily. (185) Consequently, the number of young male and female vocalists (男女靑年聲樂家) from Seoul and various regions (京鄕各地) volunteering as record singers and knocking on the doors of each record company also increased daily. Afterwards, many young male and female vocalists visited my private residence (私宅). There were even passionate individuals who, late at night, sometimes at 2 or 3 AM, would come in front of my house and sing as if asking me to listen to their songs. However, among them, I couldn't find any singer worthy of note. My only thought wherever I went was whether I could acquire a truly excellent singer. Wherever I heard singing, I would follow and listen attentively. Also, I once tried to find a good singer among the famous kisaeng (妓生) of Kyŏngsŏng (京城, Seoul) by holding an All-Kyŏngsŏng Kisaeng Music Contest (全京城妓生音樂大會), but in the end, I couldn't find even one. I always ended up finding good singers through chance opportunities (遇然한 機會). Kim Pokhŭi (金福姬), currently an exclusive singer for Victor Company, was introduced by Kwak Hyangnan (郭香蘭), a P'yŏngyang kisaeng (平壤妓生) who stayed at my house for some time. She is not only highly praised by the Tokyo head office but is now a top-tier Korean singer (朝鮮一流歌手) receiving absolute welcome from the general public. And Mr. Yi Kyunam (李규남君), who is now not only an exclusive singer for the Korean division (朝鮮版專屬歌手) but also for the Japanese division (日本版 專屬), was someone practically discarded by Columbia. Seeing him gain such popularity (人氣) after coming to Victor, perhaps it wouldn't be unreasonable to say that singers also have companies they are fated to be with (인연 있는 會社).

Discovering Sŏnu Ilsŏn from One Song at a Kisaeng Gathering

Polydor Records - Head of Arts & Literature Dept. Wang P'yŏng
Mr. Kim Yonghwan (金龍煥氏), the late Mr. Yi Kyŏngsŏl (故李景雪氏), and Miss Chŏn Ok (全玉氏) were all people who, like me, first newly established the Polydor (『포리도-루』) Korea branch (朝鮮支店) in Korea and firmly joined hands to break through the various difficulties (難關) facing the early Korean record industry. There's no need to rehash this now. However, the fact that Wang Subok (王壽福) was moving from Columbia to Polydor was talked about tremendously in various newspapers and magazines at the time (其 당시), and our efforts (苦心) were not just one or two things. This is absolutely not to say that we plotted (음모로) to lure Wang Subok, who was already exclusive to Columbia—she wasn't exclusive at Columbia either, but since she was a major singer, we intended to make her the Queen (女王) of Popular Songs at Polydor. Therefore, we couldn't help but put special effort into the lyric writing (作詞) and composition (作曲) of her very first work (作品). (186) So, for the first work, we recorded "Sorrows of a Lonely Island" (孤島의 情恨), with lyrics by Mr. Yi Unbang (李雲芳氏) and composition by Mr. Chŏn Kihyon (全基玹氏). She performed it, modulating her voice intricately (꺽거넹기면서) and drawing it out thinly in a way that surpassed the composer's imagination (想像), achieving great success (大成). Wang Subok, like her robust (健壯) physique, has a voice that comes out resonantly (우령차게), energetically (氣運좋게), and powerfully. Especially since she graduated from the P'yŏngyang Kisaeng School (平壤藝妓學校), one cannot help but admire (감탄) her vocal technique (넘기는데는). Although it's not her natural voice (본 성대) but an entirely crafted (만드러내는) one, she received an enthusiastic welcome from the general public. "Sorrows of a Lonely Island" became one of the most popular Korean songs, and its sales figures (販賣枚數) set the highest record (最高記錄) in the Korean record industry. As Wang Subok, a P'yŏngyang kisaeng (平壤긔생), became a great singer astounding the world, the singer competition (歌手쟁탈전) among various record companies like Columbia and Victor unfolded centered around P'yŏngyang kisaeng. Later, in the late autumn of Showa 8 (昭和 8년, 1933), when almost all famous (일홈난) kisaeng were affiliated (從屬된) with various record companies, we went to P'yŏngyang (平壤) seeking a certain old singer (老歌手) who wanted to record Korean songs. At that time, among the three kisaeng that the old singer had reportedly chosen as partners (相對役), I listened to the song of Sŏnu Ilsŏn (鮮于一扇), who was said to be the youngest and least popular. I discovered in her a voice of high quality, suitable for singing our Korean folk songs (朝鮮民謠), something I couldn't find among other singers. Since we already had Wang Subok as a popular singer (流行歌手) and were just then looking to acquire a folk singer (民謠歌手), we immediately decided on Sŏnu Ilsŏn as a folk singer. We had her come up to Seoul (上京식혀), practiced Kim Ŏk's (金億氏) lyrics "Holding Flowers" (꽃을 잡고) with Yi Myŏnsang's (李면상氏) composition for a whole winter (겨을), and had her record it in the spring of the following year, Showa 9 (昭和 9년, 1934). Her unique melody (獨特한 멜로듸-), which other singers could hardly imitate, made the listeners' hearts throb (躍動게 하였든 것입니다). Once Sŏnu Ilsŏn's rendition of "Holding Flowers" went on sale, with the deeply moved welcome of record fans and the established reputation among artists (藝術家), Sŏnu Ilsŏn, who until yesterday (昨日) was an unknown (一無名) kisaeng, leaped forward (一躍) to become a great singer (大歌手) possessed by Korea. We have always put all our effort into advancing unknown singers, whom the world does not yet know, into great singers, and we intend to continue doing so in the future (今後로도). Sŏnu Ilsŏn's present status came about in this way. Also, that spring, Columbia Record Company held the All-Korea Prize Music Competition (全鮮懸賞音樂大會) with the intention (意圖로) of selecting the most outstanding singer from among all Korean musicians. That night, we couldn't arrive before the competition started and entered after almost half of it was over. The voice of the person performing last seemed the most bright (명낭하고) and powerful. So, through Mr. Yi Wŏnbae (李源培氏) who went with me, (187) I conveyed to him my wish to make that person an exclusive singer for our company if he were rejected by Columbia. That person, without even waiting for the Columbia announcement date, volunteered to become an exclusive singer for our company on the second day (잇흘되든 날) after the competition (콩클). He is precisely Mr. Yun Kŏnyŏng (尹鍵榮氏), a great singer of our Polydor and currently attracting great popularity (大人氣) in the entire record world.

Finding an Unknown Singer Through a Chestnut Vendor's Song Heard on the Street

Columbia Records - Head of Arts & Literature Dept. I Hayun
Our Columbia Record Company's exclusive singers, Mr./Ms. Kye Chŏngsik (桂貞植), Mr. Ch'ae Kyuyŏp (蔡奎燁), Mr. Kang Hongsik (姜弘植), Mr. Chŏn Kihyon (全基玹), Mr. Kim Chunyŏng (金駿泳), Mr. Hyŏn Chemyŏng (玄濟明), and Ms. Ch'oe Sŭnghŭi (崔承喜氏), are already established by the world as great artists (偉大한 大藝術家) and great singers born of Korea, so there is nothing for me to discuss about them anew here. Also, they joined the company (入社한) before me, so I cannot speak about that. If I were to speak of singers I discovered, they would be these four: Kim Yŏnggil (金英吉), Yu Chonghyŏp (劉鍾燮), Kim Insuk (金仁淑), and Kim Ch'oun (金楚雲). We have been striving hard to discover good singers by dispatching numerous sales agents (販賣員) throughout all regions of Korea (全朝鮮各地) and sometimes visiting places based on their investigations (調査), and we intend to proceed with such a policy (方針) in the future. Of course, since my occupation (職業) is what it is, whether I am listening to kisaeng songs at some banquet (연회) or listening to someone's song at any gathering, I never just listen passively (무심히 들어넹기는 일이 없고). I always pay attention to each one, striving (뇌력합니다) to discover an excellent singer by chance. Sometimes, even while walking (것다가도) down the street, if a song flows into my ears (귀ㅅ속으로) rather refreshingly from an alley, I invariably follow it (긔어코 따러가서) and listen to the song for a while before moving on. However, it is a deeply frustrating (윽김되는) matter that despite such painstaking efforts (苦心), I have yet to discover a single noteworthy singer. (188)

**Summary**

This article presents memoirs from the Arts & Literature Department heads (A&R managers) of Victor, Polydor, and Columbia records in 1936, detailing how they discovered famous Korean singers during the early days of the Korean popular music recording industry. The accounts reveal that discoveries were often serendipitous, occurring at social events like weddings or parties, or through personal introductions, rather than solely through formal auditions or contests (though these existed). The managers highlight the intense competition between record companies for talent, especially for skilled P'yŏngyang kisaeng, and emphasize their goal of finding voices that embodied a distinct "Korean sentiment" for the burgeoning *yuhaengga* (popular song) and *minyo* (folk song) genres. For historians, the article offers valuable insights into the operations of the colonial-era Korean music industry, the blend of Japanese corporate structures and Korean cultural production, the significant role of kisaeng as professional performers transitioning into recording artists, and the conscious effort to cultivate and market a specific notion of Korean musical identity amidst colonial rule.

**Named Entities**

李愛利秀	이애리수	Yi Aerisu
빅타-	빅타	Victor
李基世	이기세	Yi Kise
日本	일본	Japan
朝鮮	조선	Korea (Chosŏn)
昭和	쇼와	Shōwa
申銀鳳	신은봉	Sin Ŭnbong
李景煥	이경환	Yi Kyŏnghwan
開城	개성	Kaesŏng
全景希	전경희	Chŏn Kyŏnghŭi
東京	도쿄	Tokyo
三千里	삼천리	Samch'ŏlli (Korea)
콜롬비아	콜롬비아	Columbia
포리도-루	포리도루	Polydor
京城	경성	Kyŏngsŏng (Seoul)
京城妓生音樂大會	경성기생음악대회	All-Kyŏngsŏng Kisaeng Music Contest
金福姬	김복희	Kim Pokhŭi
平壤	평양	P'yŏngyang
郭香蘭	곽향란	Kwak Hyangnan
李규남	이규남	Yi Kyunam
王平	왕평	Wang P'yŏng
金龍煥	김용환	Kim Yonghwan
李景雪	이경설	Yi Kyŏngsŏl
全玉	전옥	Chŏn Ok
王壽福	왕수복	Wang Subok
李雲芳	이운방	Yi Unbang
全基玹	전기현	Chŏn Kihyon
平壤藝妓學校	평양예기학교	P'yŏngyang Kisaeng School
鮮于一扇	선우일선	Sŏnu Ilsŏn
金億	김억	Kim Ŏk
李면상	이면상	Yi Myŏnsang
全鮮懸賞音樂大會	전선현상음악대회	All-Korea Prize Music Competition
李源培	이원배	Yi Wŏnbae
尹鍵榮	윤건영	Yun Kŏnyŏng
異河潤	이하윤	I Hayun
桂貞植	계정식	Kye Chŏngsik
蔡奎燁	채규엽	Ch'ae Kyuyŏp
姜弘植	강홍식	Kang Hongsik
金駿泳	김준영	Kim Chunyŏng
玄濟明	현제명	Hyŏn Chemyŏng
崔承喜	최승희	Ch'oe Sŭnghŭi
金英吉	김영길	Kim Yŏnggil
劉鍾燮	유종협	Yu Chonghyŏp
金仁淑	김인숙	Kim Insuk
金楚雲	김초운	Kim Ch'oun

**Glossary**

名歌手	명가수	Famous singer
엇더케	어떻게	How (Older spelling)
發見	발견	Discovery
하엿든나	하였던가/했었나	Did (one) do...? (Older interrogative ending)
獨唱	독창	Solo singing
文藝部長	문예부장	Head of Arts and Literature Department (A&R Manager)
젼	전	Before (Older spelling of 전(前))
류행가 (流行歌)	유행가	Popular song
취입 (吹込)	취입	Recording
內地人	내지인	Mainlander (refers to Japanese)
會社	회사	Company
失敗	실패	Failure
監督	감독	Director, supervisor
文化程度	문화정도	Level of culture
적급하다	저급하다	To be low-level
숙단	속단	Hasty conclusion
않었든	않았던	Did not (Older past tense form)
깁히	깊이	Deeply (Older spelling)
찻기에	찾기에	In searching for (Older spelling)
苦心	고심	Hardship, pains, effort
나지지 않었음이다	나타나지 않았음이다	Did not appear/emerge (Older form)
遇然	우연	Coincidence, chance
인연	인연	Fate, connection
주레	주례	Officiant (at a wedding)
피로연	피로연	Reception (after a wedding)
휩쓸녀	휩쓸려	Swept along, joining in (Older spelling)
가온대	가운데	Among, in the middle of (Older spelling)
끼였든	끼었던	Was included (Older spelling)
여흥 (餘興)	여흥	Entertainment (at a party)
강권하였드니	강권하였더니	When (I) strongly urged (Older form)
목청	목청	Voice
부드러웟든	부드러웠던	Was soft (Older spelling)
호릿호릿한	호릿호릿한	Slender, slim
간열피고	가냘프고	Delicate, fragile (Older spelling)
디려다 보는	들여다 보는	Looking into (Older spelling)
美妙神秘	미묘신비	Subtly beautiful and mysterious
멜로듸-	멜로디	Melody
멜랑코리한	멜랑콜리한	Melancholic
朝鮮정조	조선정조	Korean sentiment/mood
發輝	발휘	Display, exhibition
健壯한	건장한	Robust, sturdy
우령차고	우렁차고	Sonorous, resounding (Older spelling)
긔운찬	기운찬	Vigorous, energetic (Older spelling)
獨特한	독특한	Unique
作詞	작사	Lyric writing
作曲	작곡	Music composition
練習	연습	Practice
맛친	마친	Finished (Older spelling)
느진	늦은	Late (Older spelling)
다리고	데리고	Taking (someone along) (Older spelling)
渡東하여	도동하여	Crossing over to the East (Going to Japan)
豫想	예상	Expectation
本社	본사	Head office
놀내였든	놀랐던	Was surprised (Older spelling)
녀름	여름	Summer (Older spelling)
爲先	우선	First, for the time being
販賣	판매	Sale
허터지자	흩어지자	As it spread (Older spelling)
눈물겨웟든	눈물겨웠던	Was tearful, moving (Older spelling)
枚數	매수	Number of copies
놀나운	놀라운	Surprising (Older spelling)
격증하게	격증하게	To increase drastically
쟁탈전	쟁탈전	Struggle, fierce competition
격심하여	격심하여	Becoming intense
京鄕各地	경향각지	Seoul and various regions
自願하는	자원하는	Volunteering
聲樂家	성악가	Vocalist
두다림도	두드림도	Knocking (Older spelling)
私宅	사택	Private residence
드러보라는	들어보라는	Asking to listen (Older spelling)
열열한	열렬한	Ardent (Older spelling)
어데	어디	Where (Older spelling)
획득할	획득할	To acquire
주이하야	주의하여	Paying attention (Older spelling)
기우리게 됨니다	기울이게 됩니다	Come to listen carefully (Older spelling/ending)
妓生	기생	Kisaeng
어더 볼녀고	얻어 보려고	Trying to obtain/find (Older spelling)
開催하여	개최하여	Holding (an event)
끈내	끝내	In the end (Older spelling)
現專屬歌手	현전속가수	Current exclusive singer
紹介	소개	Introduction
끄을게 된 바	끌게 된 바	What came to be attracted (Older spelling)
극찬할	극찬할	To praise highly
않이라	아니라	Not only (Older spelling)
一流歌手	일류가수	First-rate singer
歡迎	환영	Welcome
朝鮮版	조선판	Korean version/edition (records)
日本版	일본판	Japanese version/edition (records)
人氣	인기	Popularity
무리가 안닐가	무리가 아닐까	Wouldn't it be reasonable (Older spelling)
妓席一曲	기석일곡	One song at a kisaeng gathering
支店	지점	Branch office
新設하고	신설하고	Newly establishing
初期	초기	Early period
難關	난관	Difficulty
깨트리기	깨뜨리기	Breaking through
새삼스러히	새삼스러이	Anew (Older spelling)
其 당시	그 당시	At that time
굉장히	굉장히	Tremendously
떠든만치	떠든만치	As much as it was talked about (Older spelling)
음모로	음모로	Through conspiracy
끄을어 오기에	끌어 오기에	In bringing/attracting (Older spelling)
女王	여왕	Queen
만들녀고	만들려고	Intending to make (Older spelling)
맨 첫번	맨 첫번	The very first
꺽거넹기면서	꺾어넘기면서	While skillfully modulating voice (Older spelling/form)
大成	대성	Great success
졸업한만큼	졸업한만큼	As much as (one) graduated (Older spelling)
넘기는데는	넘기는데는	In the way (one) modulates notes (Older spelling)
본 성대	본 성대	Natural vocal cords
순젼히	순전히	Purely (Older spelling)
만드러내는	만들어내는	Artificial, created (Older spelling)
最高記錄	최고기록	Highest record
지었든	지었던	Set (a record) (Older spelling)
긔생	기생	Kisaeng (Older spelling)
展開하였든	전개하였던	Unfolded (Older spelling)
일홈난	이름난	Famous (Older spelling)
從屬된	종속된	Affiliated
老歌手	노가수	Old singer
相對役	상대역	Counterpart role
나어리고	나이 어리고	Young (in age) (Older spelling)
民謠歌手	민요가수	Folk singer
얻을녀든	얻으려던	Was trying to get (Older spelling)
上京식혀	상경시켜	Making (someone) go to Seoul (Older spelling)
겨을	겨울	Winter (Older spelling)
식혀든 바	시켰던 바	As (we) had made (him/her) do (Older spelling)
이듬해인	이듬해인	Which was the following year
듯는	듣는	Listening (Older spelling)
躍動게	약동게	To make pulsate/throb (Older form)
불는	부른	Sang (Older spelling)
藝術家	예술가	Artist
정평	정평	Established reputation
昨日	작일	Yesterday
一無名	일무명	Nameless, unknown
一躍	일약	Suddenly, in one leap
躍進하게	약진하게	To make rapid progress
進出식힘에	진출시킴에	In making (someone) advance/debut (Older spelling)
今後로도	금후로도	From now on too
그리할녀고	그리하려고	Intending to do so (Older spelling)
意圖로	의도로	With the intention of
全鮮懸賞音樂大會	전선현상음악대회	All-Korea Prize Music Competition
열었든	열었던	Opened, held (Older spelling)
나종에	나중에	Later, last (Older spelling)
명낭하고	명랑하고	Cheerful, bright (Older spelling)
십다는	싶다는	Wanting to (Older spelling)
전하였드니	전하였더니	When (I) conveyed (Older form)
기달니지 않고	기다리지 않고	Without waiting (Older spelling)
콩클	콩쿠르/콩쿨	Concours, competition
잇흘되든 날	이틀되던 날	On the second day after (Older spelling)
大人氣	대인기	Great popularity
偉大한	위대한	Great
入社한	입사한	Joined the company
派送되여	파송되어	Being dispatched (Older spelling)
販賣員	판매원	Sales agent
調査	조사	Investigation, survey
實地	실지	Actually
方針	방침	Policy
職業	직업	Occupation
연회에서	연회에서	At a banquet
무심히	무심히	Indifferently
들어넹기는	들어넘기는	Listening passively (Older spelling)
뇌력합니다	노력합니다	Make an effort (Older spelling)
것다가도	걷다가도	Even while walking (Older spelling)
귀ㅅ속으로	귓속으로	Into the ear (Older spelling using ㅅ)
흘너	흘러	Flowing (Older spelling)
긔어코	기어코	By all means (Older spelling)
따러가서	따라가서	Following (Older spelling)
윽김되는	욱임되는/느껴지는	Frustrating, felt as stifling (Likely related to 욱(郁)하다 - to feel stifled/frustrated; or older form related to 느낌/여김)
군밤타령	군밤타령	Roasted Chestnut Ballad (folk song type)


---------------------------


잡지명	삼천리 제8권 제11호
발행일	1936년 11월 01일
기사제목	名歌手를 엇더케 發見하엿든나
기사형태	회고·수기

名歌手를 엇더케 發見하엿든나
結婚式날 밤 李愛利秀의 獨唱

빅타-文藝部長 李基世
