Magazine Title: 삼천리 제8권 제11호
Publication Date: 1936년 11월 01일
Article Title: 金玉均氏의 最後 (The Last Moments of Mr. Kim Okkyun)
Author: 尹致昊
Article Type: 회고·수기 (Reminiscence/Memoir)

金玉均氏의 最後
						尹致昊
The last time I met Mr. Kim Okkyun (金玉均氏), the pioneer of a generation, was the very day before he fell at the hands of Hong Chong'u (洪鍾宇), bearing a thousand years' regret. The place was Shanghai (上海), the building was the Tonghwa Yanghaeng (東和洋行) where he met his end, and the room was indeed the bedroom where Mr. Kim had unpacked his belongings.

At that time, as a young exile, I was teaching at the Chung-Hsi Academy (中西學院) located within the American Concession (米國 租界) there. One day, I received a letter stating that Mr. Kim was coming to Shanghai. So, I counted the days, and on the day of his arrival, I rushed over to the Tonghwa Yanghaeng as soon as my school hours ended. Just as I was about to enter the Tonghwa Yanghaeng, a tall, imposing man wearing a large *kat* (갓) and a purple *durumagi* (두루막이) came out. Thinking it strange, I later asked Mr. Kim Okkyun about him, and he said that was precisely Hong Chong'u, the one who fired the six-shooter (六穴砲) at him. At that time, when asked whether he knew why Hong Chong'u was accompanying him, Mr. Kim showed not the slightest hint of suspicion on his face <70> and calmly said, "There's no particular connection, but when I said I was going to Shanghai, he said he also wanted to see Shanghai and came along," and that they had traveled together from Japan (日本).

According to what Mr. Kim said then, this trip was not only to meet Yi Hongjang (李鴻章) in Tianjin (天津) but also to meet other important figures in China (中國) with the intention of planning something political. He carried several letters of introduction, including one from the son of Mr. Yi Hongjang, who was at the Japanese legation in China. Seeing his appearance that day, extremely weary from the many twists and turns of the life he had walked for several years past... sometimes in the blizzards (風雪) of Hokkaido (北海道), sometimes amidst the billowing sea fog (海霧) of Ogasawara (小笠原), I felt my heart ache with a kind of pitiful sympathy.

The next day, while I was teaching as usual at the Chung-Hsi Academy, someone rushed up and delivered a letter from Mr. Kim Okkyun. The content was a request to please come in the afternoon as there was something he definitely needed to discuss. I told the messenger (使喚) I would go as soon as my classes ended and sent him off. In reality, Shanghai then was different from now; there were hardly any fellow countrymen for Mr. Kim to seek out, nor anyone he could visit to open his heart (胸襟) and discuss plans (謀事) with. Around the time the last class was ending that day, another person came rushing with urgent news (기별). "Mr. Kim Okkyun has just been assassinated (암살)." I threw down my teaching pointer and frantically (蒼慌히) ran to the Tonghwa Yanghaeng. Ah... by then, it was already too late. Mr. Kim Okkyun had been hit by a bullet (탄환) and was already dead (絶命된), lying on the bed (<71>벹드에).

At that time, there was a young Japanese man, Mr. Hwada (花田君), weeping while holding the body. He was a young man who greatly admired (숭배하야) Mr. Kim and had always followed him around, even in Japan. I asked the young man what had happened. He said, "While the teacher (Mr. Kim) and I were together in the room, Hong Chong'u came in, sat down without saying much, and then asked for a cup of tea. While I went downstairs to get the tea, Hong shot the teacher with a pistol and then immediately fled to the Chinese Barracks (中國兵營)." I stood there blankly (우득허니). What room was there for thought amidst such a sudden change, such a shocking event (사변)?

Just last night, in this house, this room, this very spot, I had faced him – the bold (豪放), daring (膽大), and skillful diplomat. After only one night (하로 밤), Mr. Kim and I were already separated by the afterlife (幽冥). To call this the impermanence (無常) of life feels too understated (緩漫하고), and to simply dismiss it as the death of a regrettable (았가운) person is a fact that brings tears of blood. Weeping, I returned to the school, retrieved the letter that had arrived from him just moments before (았가) from the wastebasket (휴지통), and as I read his final writing (絶筆), I felt my limbs (사지) gradually stiffen like wood and stone (木石).

It has already been over 30 years since he passed. By now, even the flesh and bone that lay in the grave must have vanished without a trace (자최없이). What remains deeply regrettable (유감되는) to this day is that if he had not departed this world so early (일즉), he would have left a greater mark (자최) on our society. It is more regrettable than anything that we sent him to the Ninth Heaven (九天) without seeing the realization (실현) of his great ambitions (포부) and his skillful diplomatic abilities. I had associated (사괴고) with him and trusted him deeply since before the Kapsin Coup (甲申政變), and had realized he was a great political figure of extraordinary talent (非凡한 재조), but today, I feel it even more keenly (절실히).

At that time, our Chosŏn (朝鮮) society did not yet possess modern eloquence (雄辯) or methods of oratory (演說論法),<72>
so he never had the opportunity to stand before tens of thousands, pour out his great spirit (大氣熖), and make the multitude weep and leap. Thus, I had no chance to hear his modern-style speech (연설). However, I often had the occasion to sit with a few comrades (동지) and listen to his words (말삼). He always spoke with passion (熱) and logic (죠리있게), greatly inspiring (感興식히였든) everyone present (一席).

It is well known to the world that during his exile in Japan, whenever he debated (論戰) with great statesmen (大政客) like Itō Hirobumi (伊藤博文), he made those great politicians' hearts chill (가삼을 서늘케). From this, one can understand how bold (豪膽하고) and extraordinary (非凡한) his argumentation (논술) was.<73>

**Summary**

Yun Ch'iho recounts his final encounter with the reformist Kim Okkyun in Shanghai, the day before Kim's assassination by Hong Chong'u in 1894. Yun, then a teacher in Shanghai, describes visiting Kim at the Tonghwa Yanghaeng, noting Kim's weary state but also his political plans involving Chinese officials like Li Hongjang. The next day, Yun received a note from Kim requesting a meeting, but before he could go, news arrived of Kim's assassination. Yun rushed to the scene to find Kim already dead, learning the details from Kim's Japanese follower, Hwada. Yun laments Kim's untimely death, reflecting on his potential and extraordinary talent, particularly his sharp intellect and debating skills, evidenced by his interactions with figures like Itō Hirobumi.

This memoir provides a poignant, first-hand account of the final hours of a major figure in late Chosŏn reform movements, written by another significant intellectual figure of the time. Historians might find Yun's personal observations of Kim's demeanor, his mention of specific plans involving Li Hongjang, the description of the immediate aftermath of the assassination including the role of the Japanese follower Hwada, and Yun's assessment of Kim's political potential and rhetorical skill particularly valuable. The text also reflects the precarious lives of political exiles and the complex international dynamics involving Korea, China, and Japan during that period.

**Named Entities**

金玉均氏	김옥균씨	Kim Okkyunssi
洪鍾宇	홍종우	Hong Chong'u
尹致昊	윤치호	Yun Ch'iho
上海	상해	Shanghai
米國 租界	미국 조계	Miguk Choge (American Concession)
中西學院	중서학원	Chung-Hsi Academy
東和洋行	동화양행	Tonghwa Yanghaeng
六穴砲	육혈포	Yukhyŏlp'o (Revolver)
日本	일본	Ilbon (Japan)
天津	천진	T'ienchin (Tianjin)
李鴻章	이홍장	Yi Hongjang
中國	중국	Chungguk (China)
李鴻章氏 아들	이홍장씨 아들	Yi Hongjangssi adŭl (Son of Yi Hongjang)
北海道	북해도	Hokkaido
小笠原	소립원	Ogasawara
花田君	화전군	Hwada Kun
中國兵營	중국병영	Chungguk Pyŏngyŏng (Chinese Barracks)
朝鮮	조선	Chosŏn
伊藤博文	이등박문	Itō Hirobumi
甲申政變	갑신정변	Kapsin Chŏngbyŏn (Kapsin Coup)

**Glossary**

맛나 보이기는	만나 뵈기는	to meet (honorific, older spelling)
엿슴니다	였습니다	was/were (polite suffix, older spelling)
敎鞭	교편	teaching position (lit. 'teacher's whip')
있엇슴니다	있었습니다	was/were (polite suffix, older spelling)
하로	하루	one day (older spelling)
갔쓰고	갓 쓰고	wearing a *kat* (traditional hat)
두루막이	두루마기	*durumagi* (Korean traditional overcoat)
합듸다	합니다	says/said (indirect quotation, older form)
얼골	얼굴	face (older spelling)
보히지	보이지	showing (older spelling)
행차	행차	journey, trip (of an important person)
맛나는	만나는	meeting (older spelling)
曲拆	곡절	twists and turns, complexities
風雪	풍설	wind and snow, blizzard
海霧	해무	sea fog
숙에	속에	inside (older spelling)
가삼	가슴	heart, chest (older spelling)
아품	아픔	pain (older spelling)
깨달엇슴니다	깨달았습니다	realized (polite suffix, older spelling)
이튼날	이튿날	the next day
달녀와서	달려와서	having run up (older spelling)
전합데다	전합니다	delivers (indirect quotation, older form)
달나고	달라고	asking for (older spelling)
함이였슴니다	함이었습니다	was the content that... (older spelling)
끗나는대로	끝나는 대로	as soon as it ends (older spelling)
차저 가겠다고	찾아가겠다고	saying one would visit (older spelling)
使喚	사환	errant boy, messenger
터러노코	털어놓고	confidingly, opening one's heart (older spelling)
謀事	모사	plot, scheme, consultation
기별	기별	news, message
암살	암살	assassination
蒼慌히	창황히	frantically, in panic
느젓슴니다	늦었습니다	was late (polite suffix, older spelling)
탄환	탄환	bullet
마저	맞아	having been hit by
벹드에	베드에/침대에	on the bed (loanword, older spelling)
絶命	절명	death, demise
붓잡고	붙잡고	holding onto (older spelling)
숭배하야	숭배하여	admiring, worshipping (older spelling)
따러단이는	따라다니는	following around (older spelling)
엇지된	어찌된	what happened (older spelling)
게실	계실	being present (honorific)
안저	앉아	sitting (older spelling)
사히에	사이에	in the meantime, while (older spelling)
노은 후 곳	놓은 후 곧	right after shooting/placing (older spelling)
우득허니	우두커니	blankly, listlessly
서섯나이다	섰나이다	stood (archaic/poetic ending)
사변	사변	incident, event
하로 밤	하룻밤	one night (older spelling)
幽冥	유명	the next world, afterlife
달니하게	달리하게	became different, separated (older spelling)
無常	무상	impermanence (Buddhist concept)
았가운	아까운	regrettable, pitiful (older spelling)
죽엄	죽음	death (older spelling)
았가	아까	a short while ago (older spelling)
끄내어	꺼내어	taking out (older spelling)
絶筆	절필	last writing (before death)
사지	사지	limbs
木石	목석	wood and stone (idiom for being numb/unfeeling)
가치	같이	like, as (older spelling)
구더지는	굳어지는	hardening, stiffening (older spelling)
자최	자취	trace, mark, footprint (older spelling)
사라저슬	사라졌을	would have disappeared (older spelling)
일즉	일찍	early (adverb)
않어섯든들	않았었더라면	if (subject) had not (older spelling/form)
포부	포부	ambition, aspiration
九天	구천	Ninth Heaven (metaphor for afterlife/death)
사괴고	사귀고	associating with, befriending (older spelling)
이였스며	이었으며	was (older spelling)
재조	재주	talent, skill (older spelling)
일으러서는	이르러서는	now, reaching this point (older spelling)
절실히	절실히	keenly, acutely
雄辯	웅변	eloquence
演說	연설	speech, address
大氣熖	대기염	great spirit/vigor ('great flame of spirit')
토하여	토하여	spewing forth, expressing
울니고	울리고	making cry (older spelling)
갔치하야	같이하여	doing together (older spelling)
말삼	말씀	words, speech (honorific, older spelling)
듯기는	듣기는	hearing (older spelling)
죠리있게	조리 있게	logically, coherently (older spelling)
感興	감흥	inspiration, deep feeling
大政客	대정객	great statesman/politician
論戰	논전	debate, argument
가삼	가슴	heart, chest (older spelling)
서늘케	서늘케	making cool/chill
하엿든	하였던	which did (older spelling)
豪膽	호담	boldness, daring
非凡한	비범한	extraordinary
논술	논술	argumentation, discourse
었떠하였다는	어떠하였다는	how it was (older spelling)


---------------------------


잡지명	삼천리 제8권 제11호
발행일	1936년 11월 01일
기사제목	金玉均氏의 最後
필자	尹致昊
기사형태	회고·수기

金玉均氏의 最後
						尹致昊
내가 一世의 선구자 金玉均氏를 마지막으로 맛나 보이기는 氏가 千載의 遺恨을 품고 洪鍾宇의 손에 넘어지든 바로 전날이엿슴니다. 곳도 上海요 집도 그가 최후를 마지하든 東和洋行이며 또한 방도 바로 氏가 짐을 푼 침실이 없음니다.
