Magazine Title: 삼천리 제12권 제4호
Publication Date: 1940년 04월 01일
Article Title: 日本의 나의 友人 (My Friends in Japan)
Author: 比律賓 大統領 커즌 (Philippine President Quezon)
Article Type: 논설 (Editorial/Opinion Piece)

My Friends in Japan
						By Philippine President Quezon

I have had many friends in Japan, past and present, but Marquis Ōkuma Shigenobu, House of Representatives Speaker Kasuya Gizō, General Tanaka Giichi, Mikami Keichō, and Asano Sōichirō have all passed away. Among them, I was especially close to Mikami. I first met him around 1916; he was an ardent researcher of the Philippines, spoke English well, was a very fine socializer, had many acquaintances in the Philippines, and made significant contributions to Japan-Philippines friendship. His unfortunate passing is deeply regrettable. He introduced me to Marquis Ōkuma and other Japanese politicians and businessmen. Marquis Ōkuma was a magnanimous and splendid politician. It was also Mikami who introduced me to the great figures of the business world, Mr. Asano Sōichirō, and the then-Speaker of the House of Representatives, Mr. Kasuya Gizō. Mr. Asano once hosted me warmly at his luxurious residence, and several years later, he visited the Philippines accompanied by his daughter.

I believe it was around Christmas 1925 that I became acquainted with Marquis Tokugawa Yorisada. The Marquis visited the Philippines together with Mr. Kamada Eikichi, a member of the House of Peers. At that time, I was the President of the Senate and invited both gentlemen to the Senate. Later, when I visited Japan, Marquis Yorisada introduced me to his uncle, Tokugawa Iesato. The Duke was then the President of the House of Peers, and he held a grand banquet for me at the Peers' Club (華族 會館), treated me hospitably, and introduced me to prominent figures from government and private circles. Around that time, I also met Count Itō Miyoji and Viscount Okabe (Nagakage), who were among the Japanese politicians I most admired.

I met General Tanaka Giichi, Mr. Kurusu Saburō, and others when General Tanaka visited the Philippines. At that time, I was the Senate President, and the Governor-General was General Wood. When I visited Japan while General Tanaka was Prime Minister, the General specially held a grand banquet for me and even hosted a garden party.

Among Japanese diplomats, I also have many acquaintances and friends. I had the opportunity to get acquainted with Ambassador Debuchi Katsuji when he visited the Philippines in a previous year, and I was friendly with Mr. Saitō Hiroshi in Washington (華盛賴). In recent years,<172> I have also had the chance to meet Mr. Hirota Kōki and Messrs. Okamoto and Yoshizawa.

In February 1937, while stopping in Japan on my way to the United States, His Majesty the Emperor granted me a special audience and invited me to dine with him, an experience for which I am immensely grateful.

Speaking frankly about Japan-Philippines relations, both personally and as a public figure (公人), Japan and the Philippines geographically form a chain. Therefore, it goes without saying that we must strive for coexistence and mutual prosperity by further strengthening our close relationship, deepening neighborly friendship (善隣의 誼), and cooperating with each other.

Some people wonder if Japan might harbor territorial ambitions towards the Philippines, but I absolutely do not believe so. I believe that Japan and the Philippines must always be good "friendly nations" for mutual benefit and happiness. Truly, there is not a single reason for these two countries to be enemies, while the reasons and necessity for them to be friends are too numerous to count. In particular, making their economic relations even closer is mutually beneficial. Japan merely hopes for this, and I believe the Philippines also most urgently needs trade development with Japan.

The Philippines has much to learn from Japan. For instance, Japan's fishing industry, said to be number one in the world, its intensive agricultural methods, its efficient industrial organization, and the united spirit of the Japanese nation – these are all things we must learn. The patriotism of the Japanese people and their national spirit of self-sacrifice for the public good (滅私 奉公) united throughout the country are praised by all nations of the world.

Some people harbor anxiety about Japan's ultimate objectives regarding the Philippines (對比), but I think they are being misled by some kind of propaganda. Therefore, to dispel this kind of suspicion, I believe the best policy is for the peoples of Japan and the Philippines to increase interaction more frequently, broaden their knowledge and perspectives, make many acquaintances and friends, and thereby deepen mutual understanding. Regarding the Davao issue, there was considerable concern at one time, but fortunately, it has now vanished, and no one brings it up as an issue anymore.

Truly, if only this understanding deepens, all misunderstandings will be eliminated. Next, I would like to say a word about the relationship between the United States and the Philippines.

The Philippines is always grateful to the United States. I sincerely hope that even after independence, diplomatic relations among Japan, the United States, and the Philippines will grow ever stronger in friendship.

To reiterate, Japan and the Philippines have a very large relationship not only geographically, culturally, and economically, but also racially. Therefore, closer cooperation and promotion of friendship between the two countries are truly desired. <173>
<172-173>

**Summary**

Philippine President Manuel L. Quezon recounts his friendships with prominent Japanese figures in politics, business, and diplomacy, emphasizing his positive personal experiences and admiration for Japanese qualities like patriotism and efficiency. He strongly advocates for close Japan-Philippines relations based on geographical proximity, mutual benefit, and shared interests, particularly economic cooperation. Quezon dismisses fears of Japanese territorial ambitions towards the Philippines as unfounded propaganda, urging increased mutual understanding through more frequent contact. He also expresses gratitude towards the US and hopes for continued friendly relations among Japan, the US, and an independent Philippines. From the perspective of Korean colonial history, this article is significant as it showcases Japan's efforts to cultivate relationships with leaders in its envisioned sphere of influence (later the Greater East Asia Co-Prosperity Sphere). Publishing a foreign head of state's praise for Japan and dismissal of its imperialistic ambitions in a Korean magazine under Japanese rule served as powerful propaganda, implicitly justifying Japan's regional dominance and presenting its expansionism in a positive light, contrasting sharply with the Korean experience under Japanese colonialism.

**Named Entities**

大隈重信侯	오쿠마 시게노부 후	Ōkuma Shigenobu
粕谷義三	가스야 기조	Kasuya Gizō
田中義一	다나카 기이치	Tanaka Giichi
三上敬長	미카미 게이초	Mikami Keichō
淺野總一郞	아사노 소이치로	Asano Sōichirō
比律賓	필리핀	Philippines
커즌	케손	Quezon
日本	일본	Japan
衆議院	중의원	House of Representatives (Japan)
德川賴貞侯	도쿠가와 요리사다 후	Tokugawa Yorisada
貴族院	귀족원	House of Peers (Japan)
鎌田榮吉	가마다 에이키치	Kamada Eikichi
德川家達	도쿠가와 이에사토	Tokugawa Iesato
華族 會館	화족 회관	Peers' Club (Kazoku Kaikan)
伊東己代治伯	이토 미요지 백	Itō Miyoji
岡部子爵(長職子)	오카베 자작 (나가카게)	Okabe Nagakage
來栖三郞	구루스 사부로	Kurusu Saburō
웃트 장군	우드 장군	General Wood (Leonard Wood)
出淵勝次	데부치 가쓰지	Debuchi Katsuji
齊藤博	사이토 히로시	Saitō Hiroshi
華盛賴	워싱턴	Washington
廣田弘毅	히로타 고키	Hirota Kōki
岡本	오카모토	Okamoto (Given name not specified)
吉澤	요시자와	Yoshizawa (Given name not specified)
天皇 陛下	천황 폐하	His Majesty the Emperor
다바오	다바오	Davao
米國	미국	United States

**Glossary**

友人	우인	Friend
侯	후	Marquis (peerage title)
議長	의장	Speaker; Chairman; President (of a legislative body)
大將	대장	General (military rank)
고인	고인	The deceased
각별히	각별히	Particularly; specially
상면케	상면케	(Older form) To meet face-to-face
열렬한	열렬한	Ardent; fervent
연구가	연구가	Researcher; scholar
훌융한	훌륭한	(Older spelling of 훌륭한) Splendid; fine; magnificent
사교가	사교가	Socializer; sociable person
교우	교우	Acquaintances; friends
친선	친선	Friendship; amity (often between nations)
공헌	공헌	Contribution
서거	서거	Passing away (honorific for important figures)
애석한	애석한	Regrettable; sad
비롯하여	비롯하여	Starting with; including
실업가	실업가	Businessman; industrialist
소개하여	소개하여	To introduce
통이 큰	통이 큰	Magnanimous; big-hearted
대인물	대인물	Great figure; important person
及	급	And (used similarly to 와/과, often in writing)
호사로운	호사로운	Luxurious; extravagant
저택	저택	Mansion; residence
환대하여	환대하여	To host warmly; treat hospitably
令孃	영양	(Your/His/Her) Daughter (polite term)
동반하고	동반하고	Accompanying
相知한	상지한	Became acquainted with
내방하였으나	내방하였으나	Visited (formal), but
당시	당시	At that time
상원	상원	Upper house; Senate
同院	동원	The same house/chamber/institute
초대하였다	초대하였다	Invited
백부	백부	Paternal uncle
公	공	Duke (peerage title); also a respectful term for 'you' or 'he'
성연	성연	Grand banquet
베풀고	베풀고	To hold (a party); bestow (kindness)
朝野	조야	Government and the people; public and private sectors
명사	명사	Prominent figure; celebrity
숭배하는	숭배하는	Admire; worship
정치가	정치가	Politician; statesman
총독	총독	Governor-General
총리 대신	총리대신	Prime Minister
경	경	Around (the time when...) (used after noun/clause)
특히	특히	Specially; particularly
園遊會	원유회	Garden party
외교관	외교관	Diplomat
다수	다수	Many; numerous
知己	지기	Acquaintance; friend (lit. 'one who knows oneself')
전년	전년	A previous year
근년	근년	Recent years
이르러	이르러	Reaching; arriving at (time/place)
御思召	어사소	(Japanese Imperial Honorific) Special consideration; invitation
배알케	배알케	(Older form) To have an audience with (royalty)
御陪食	어배식	(Japanese Imperial Honorific) Dining with the Emperor
不勝 감격	불승 감격	Overwhelmed with emotion/gratitude
솔직히	솔직히	Frankly; honestly
지리적으로	지리적으로	Geographically
一 連鎖	일 연쇄	One chain
형성코	형성코	(Older form of 형성하고) Forming
따라서	따라서	Therefore; consequently
일층	일층	More; further;一層
견밀한	견밀한	Close; tight; firm
善隣	선린	Good neighborliness
둣터이	두터이	(Older spelling of 두터이) Thickly; deeply; warmly
상조하여	상조하여	Mutually helping; cooperating
공존 공영	공존 공영	Coexistence and mutual prosperity
영토적 야심	영토적 야심	Territorial ambition
절대로	절대로	Absolutely
상호	상호	Mutual; reciprocal
友國	우국	Friendly nation
相敵	상적	To be enemies; oppose each other
하등의	하등의	Any kind of; whatsoever (often used with negatives)
우방	우방	Friendly nation; ally
枚擧키	매거키	(Older form) To enumerate; count one by one (often with '여가 없다' - too numerous to mention)
밀접히	밀접히	Closely
통상	통상	Trade; commerce
隨一	수일	Number one; the best
어업	어업	Fishing industry
집약적인	집약적인	Intensive (e.g., agriculture)
능률적인	능률적인	Efficient
거국 일치	거국 일치	Nationwide unity; united throughout the country
애국심	애국심	Patriotism
滅私 奉公	멸사 봉공	Self-sacrifice for the public good
국민 정신	국민 정신	National spirit
賞讚하는 바이다	상찬하는 바이다	Is the object of praise; is praised
궁극의	궁극의	Ultimate; final
불안	불안	Anxiety; unease
푸로파간타	프로파간다	Propaganda
미혹코	미혹코	(Older form of 미혹케 하고) Misleading; deluding
의혹	의혹	Suspicion; doubt
