**Header Section:**
Magazine Title: 삼천리 제12권 제4호
Publication Date: 1940년 04월 01일
Article Title: 新李王職長官 李恒九 人物論 (Personality Review of the New Director of the Yi Royal Household Office, Yi Han-gu)
Author: 金東進 (Kim Tong-jin)
Article Type: 소식 (News/Report)

**Body Text Translation:**
Personality Review of the New Director of the Yi Royal Household Office, Yi Han-gu
						Kim Tong-jin

Even if he hadn't been born the son of the late Marquis Yi Wan-yong (李完用侯), who had great merit in the annexation, spending the long period of over 30 years, encompassing the most rewarding prime of life, in continuous service as a palace official (宮內官) would naturally lead one to expect his promotion to the highest leadership position.

That Mr. Yi Han-gu (李恒九 男), who was a rosy-cheeked youth when promoted to Bureau Secretary (事務官) in the Ministry of the Royal Household (宮內府) after leaving the Samhwa Supervisorship (三和 監理), has now, with frost touching his hair and wrinkles deeply etched on his face, been appointed to the highest prestigious post for a Korean official, Director of the Yi Royal Household Office (李王職 長官), is by no means an exceptional elevation but a natural progression. Following the late Baron Han Ch'ang-su (韓昌洙 男), his Vice-Director Dr. Shinoda (篠田) succeeded to the position of Director; thus, it can be seen as a natural course, following personnel precedents, for Vice-Director Mr. Yi (李 男) to succeed to the Director's seat. However, had it not been for Mr. Yi's perseverance and endurance (堅忍 持久性), enduring 30 years in the Yi Royal Household Office, which had many 'mothers-in-law' (meaning many overseeing or interfering figures), how could he have attained this laurel today?

The Yi Royal Household Office, from immediately after the Ministry of the Royal Household (宮內府) changed to the Yi Royal Household Office (李王職) until around the time of Emperor Sunjong's state funeral (純宗 因山), was not the peaceful palace environment it is today. Not only was the influence of the Yun (尹) clan, the maternal relatives, rampant, but the power of old retainers from the Pak (朴), Yi (李), and Min (閔) clans also resounded powerfully. It was <78> natural that they would not tolerate the second son of a heretic (this is how many high officials at the time viewed the late Marquis Yi Wan-yong and his faction), Mr. Yi Han-gu, moving freely within the palace as a Bureau Secretary, Section Chief, or Chamberlain (贊侍). Furthermore, Yun Tŏk-yŏng (尹德榮 子), seeking to counterbalance the political power of the late Marquis Yi Wan-yong with influence within the palace, must have found it, by human nature, quite unpleasant to see the second son of his political rival (政敵) comfortably situated in his stronghold (牙城), even though the Ministry of the Royal Household had changed to the Yi Royal Household Office.

Mr. Yi's personality is likely gentle on the outside but strong on the inside (外柔內剛). This personality enabled him to build his current position, and because he possessed this character, he could calmly endure and survive amidst that troublesome environment. Although he interacts with numerous members of the yangban class daily, he does not favor the yangban. He sometimes laments, "The world has changed, are only the yangban left?" This reflects his observation of the despicable (陃劣한) underside of a segment of yangban society during his 30 years of palace life, and can be seen as an aspect of his personality.

In his youth, Mr. Yi had a free-spirited (放豪한) personality, fond of amusement and drinking. Even now, he does not refuse a heavy drink (斗酒不辭) and drinks heartily with good company, but the pure-heartedness (純情) revealed after intoxication inevitably earns the goodwill of others. Former Director Shinoda also cherished Mr. Yi's integrity and pure-heartedness, and Mr. Yi likewise served Dr. Shinoda like an elder brother (父兄). Their relationship as Director and Vice-Director since Shōwa 7 (1932) was extremely close, praised as a rare "combination" (콤비네슌).

Mr. Yi is exactly 60 years old this year. His energy rivals that of his prime years, and being more mature, he has the prestige befitting a Director. With his hereditary property (世襲 財産) established and the Yi Royal Household Office now in a state of calm seas and gentle winds (風靜浪息), there may be no affairs requiring the active display of his skills. However, the fact that he is one of the rare individuals throughout Japan and Korea (內鮮) appointed as a Chokuninkan (勅任官, Imperial appointee official) and recipient of the First Order of Merit (勳一等) shows that Mr. Yi's past contributions were significant.

List of High Officials (高等官) and Above Who Have Changed Their Names (創氏者 名簿)
New Name /                     Old Name

Hidehara Motomasa (日出原基昌) (Kyŏngbuk Koryŏng County Governor) Chŏng Ki-ch'ang (鄭基昌)

Kyōden Shinjō (共田鎭晟)   (Kyŏngbuk Sŏngju County Governor) Hwang Chin-sŏng (黃鎭晟)

Yasuhara Seishō (安原淸楨)   (Kyŏngbuk Yŏngju County Governor) Kwŏn Yŏng-se (權寧世)

Enzan Ikō (延山維光)   (Kyŏngnam Kosŏng County Governor) Hyŏn Ŭi-gwang (玄懿光)

Matsukawa San'yō (松川燦容)   (Kyŏngnam Miryang County Governor) Yi Ch'an-yong (李燦容)

Bōson Keinojō (房村敬之助) (Kyŏngnam Hadong County Governor) Pang Chin-t'ae (房鎭汰)

Kōson Chiko (幸村致黃)   (Chŏnbuk Sunch'ang County Governor) Ŭn Ch'i-hwang (殷致黃)

Fukuda Kenji (福田謙治)   (Central Advisory Council Member)    Yi Kyŏm-je (李謙濟)

Kaihei Rankyō (海平蘭敎)   (ditto)             Chŏng Nan-gyo (鄭蘭敎)

Kasen Giei (嘉川義英)   (Kyŏnggi Yangju County Governor) Cho Ki-haeng (趙箕行)

Toriyama Kei (鳥山馨)     (Chŏnbuk Provincial Police Inspector)    Kang Po-hyŏng (姜寶馨)

Kōgen Kiyō (江原基陽)   (Central Advisory Council Member)    Pak Po-yang (朴普陽)

Hazama Kenshirō (張間憲四郞) (ditto)             Chang Hŏn-gŭn (張憲根)

Tan** Kōkō (丹寀±公厚)   (P'yŏngbuk *chin County Governor) Yi Kong-hu (李公厚) (* Illegible Hanja for the location. Looks like 北城 or similar, possibly Pukchin 北鎭)

Takei Gentai (茂李源泰)   (P'yŏngbuk Ŭiju County Governor) Yi Wŏn-gyu (李源圭)

Ōyama Sadamori (大山定守)   (P'yŏngbuk Pakch'ŏn County Governor) Pak Chŏng-su (朴定守)

Bunhara Take (文原武)     (P'yŏngnam Tŏkch'ŏn County Governor) Mun Myŏng-ho (文命浩)

Kinkai Seikō (金海淸光)   (P'yŏngnam Yŏngwŏn County Governor) Kim Pyŏng-gyu (金丙奎)＜79＞

**Summary**

This 1940 article from *Samch'ŏlli* magazine profiles Yi Han-gu upon his appointment as Director of the Yi Royal Household Office. Written by Kim Tong-jin, it portrays Yi's rise not as surprising but as a natural result of his 30-year tenure within the palace system, despite the political complexities stemming from his father, Yi Wan-yong, a prominent pro-Japanese figure blamed for the annexation. The author highlights Yi Han-gu's "gentle outside, strong inside" personality, his perseverance through court intrigue involving powerful clans (Yun, Pak, Yi, Min), and his good relationship with his predecessor, Shinoda. It notes his past contributions recognized by high rank and honors, concluding his position is now secure in a calmed political environment. The article is historically interesting as it offers a contemporary perspective on a high-ranking Korean official from a notorious pro-Japanese family navigating the colonial hierarchy, framing his success as earned through endurance and skill rather than just lineage. The appended list of officials who adopted Japanese-style names (*Sōshi-kaimei*) starkly illustrates the assimilation policies of the time affecting the Korean elite.

**Named Entities**
故 李完用侯	고 이완용 후	Late Marquis Yi Wan-yong
李恒九	이항구	Yi Han-gu
三和 監理	삼화 감리	Samhwa Supervisorship
宮內府	궁내부	Ministry of the Royal Household
朝鮮人	조선인	Korean people
李王職 長官	이왕직 장관	Director of the Yi Royal Household Office
故 韓昌洙 男	고 한창수 남	Late Baron Han Ch'ang-su
篠田 박사	시노다 박사	Dr. Shinoda
尹德榮 子	윤덕영 자	Yun Tŏk-yŏng
尹씨	윤씨	Yun clan
朴	박	Pak clan
李	이	Yi clan
Min	민	Min clan
昭和 7년	쇼와 7년	Shōwa 7 (1932)
內鮮	내선	Japan and Korea ("Naichi" and "Chōsen")
高等官	고등관	High Official
創氏者 名簿	창씨자 명부	List of Name Changers
日出原基昌	히데하라 모토마사	Hidehara Motomasa
慶北 高靈 郡守	경북 고령 군수	Kyŏngbuk Koryŏng County Governor
鄭基昌	정기창	Chŏng Ki-ch'ang
共田鎭晟	쿄덴 신죠	Kyōden Shinjō
慶北 星州 郡守	경북 성주 군수	Kyŏngbuk Sŏngju County Governor
黃鎭晟	황진성	Hwang Chin-sŏng
安原淸楨	야스하라 세이쇼	Yasuhara Seishō
慶北 榮州 郡守	경북 영주 군수	Kyŏngbuk Yŏngju County Governor
權寧世	권영세	Kwŏn Yŏng-se
延山維光	엔잔 이코	Enzan Ikō
慶南 固城 郡守	경남 고성 군수	Kyŏngnam Kosŏng County Governor
玄懿光	현의광	Hyŏn Ŭi-gwang
松川燦容	마츠카와 산요	Matsukawa San'yō
慶南 密陽 郡守	경남 밀양 군수	Kyŏngnam Miryang County Governor
李燦容	이찬용	Yi Ch'an-yong
房村敬之助	보손 케이노죠	Bōson Keinojō
慶南 河東 郡守	경남 하동 군수	Kyŏngnam Hadong County Governor
房鎭汰	방진태	Pang Chin-t'ae
幸村致黃	코손 치코	Kōson Chiko
全北 淳昌 郡守	전북 순창 군수	Chŏnbuk Sunch'ang County Governor
殷致黃	은치황	Ŭn Ch'i-hwang
福田謙治	후쿠다 켄지	Fukuda Kenji
中樞院 參議	중추원 참의	Central Advisory Council Member
李謙濟	이겸제	Yi Kyŏm-je
海平蘭敎	카이헤이 란쿄	Kaihei Rankyō
鄭蘭敎	정란교	Chŏng Nan-gyo
嘉川義英	카센 기에이	Kasen Giei
京畿 楊州 郡守	경기 양주 군수	Kyŏnggi Yangju County Governor
趙箕行	조기행	Cho Ki-haeng
鳥山馨	토리야마 케이	Toriyama Kei
全北 道警視	전북 도경시	Chŏnbuk Provincial Police Inspector
姜寶馨	강보형	Kang Po-hyŏng
江原基陽	코겐 키요	Kōgen Kiyō
朴普陽	박보양	Pak Po-yang
張間憲四郞	하사마 켄시로	Hazama Kenshirō
張憲根	장헌근	Chang Hŏn-gŭn
丹寀±公厚	탄** 코코	Tan** Kōkō (* illegible first char)
平北 *城 郡守	평북 *성 군수	P'yŏngbuk *chin County Governor (* illegible Hanja for location)
李公厚	이공후	Yi Kong-hu
茂李源泰	타케이 겐타이	Takei Gentai
平北 義州 郡守	평북 의주 군수	P'yŏngbuk Ŭiju County Governor
李源圭	이원규	Yi Wŏn-gyu
大山定守	오야마 사다모리	Ōyama Sadamori
平北 博川 郡守	평북 박천 군수	P'yŏngbuk Pakch'ŏn County Governor
朴定守	박정수	Pak Chŏng-su
文原武	분하라 타케	Bunhara Take
平南 德川 郡守	평남 덕천 군수	P'yŏngnam Tŏkch'ŏn County Governor
文命浩	문명호	Mun Myŏng-ho
金海淸光	킨카이 세이코	Kinkai Seikō
平南 寧遠 郡守	평남 영원 군수	P'yŏngnam Yŏngwŏn County Governor
金丙奎	김병규	Kim Pyŏng-gyu

**Glossary**
합병	합병	Annexation
공훈	공훈	Merit, distinguished service
근속하다	근속하다	To serve continuously
승임되다	승임되다	To be promoted
영전하다	영전하다	To be promoted (to a better post)
사무관	사무관	Bureau Secretary (official rank)
얼골	얼굴	Face (older spelling)
잽히다	잡히다	To be caught, formed (here: wrinkles formed; older spelling/form)
異數	이수	Exception, abnormality
발탁	발탁	Selection, appointment (often implying special recognition)
차관	차관	Vice-Director, Vice-Minister
계승하다	계승하다	To succeed, inherit (a position)
시어머니	시어머니	Mother-in-law (used figuratively for interfering superiors/figures)
견인 지구성	견인 지구성	Perseverance and endurance
영관	영관	Laurel, crown of glory
획득하다	획득하다	To acquire, obtain
李王職	이왕직	Yi Royal Household Office (colonial era institution managing the former Korean royal family)
외척	외척	Maternal relatives (of the royal family)
팽배하다	팽배하다	To be rampant, widespread
종친	종친	Royal relatives, members of the ruling clan
구신	구신	Old retainers, established officials
위력	위력	Power, might
이단자	이단자	Heretic, outsider (here used politically)
횡행하다	횡행하다	To move about freely, strut around (often with negative connotation)
용납하다	용납하다	To tolerate, permit
정적	정적	Political rival
아성	아성	Stronghold, bastion
外柔內剛	외유내강	Gentle on the outside, strong on the inside
쌋게 하다	쌓게 하다	To cause to build up, accumulate (older spelling)
가젔었음으로	가졌었으므로	Because he possessed (older spelling/grammar)
말성	말썽	Trouble, problems
버티고 지내다	버티고 지내다	To endure, hold out
양반	양반	Yangban (traditional ruling/aristocratic class)
탄성	탄성	Sigh, lament
陃劣하다	패려하다	To be despicable, base (using Hanja 陋劣)
反面	반면	Underside, flip side
소이 이러니와	소이 이러니와	This being the reason why (archaic phrase)
放豪하다	방호하다	To be free-spirited, unrestrained
斗酒不辭	두주불사	Not refusing even a large measure of alcohol (idiom for being a strong drinker)
통음하다	통음하다	To drink heavily together
취 후	취 후	After getting drunk
발로되다	발로되다	To be revealed, expressed
순정	순정	Pure heart, sincerity
부형	부형	Father and elder brother (used to mean a respected senior figure)
콤비네슌	콤비네이션	Combination (loanword)
세습 재산	세습 재산	Hereditary property
風靜浪息	풍정낭식	Calm winds and rested waves (idiom for peace and quiet)
수완	수완	Skill, ability, prowess
勅任官	칙임관	Imperial Appointee Official (high rank in Japanese colonial system)
勳一等	훈일등	First Order of Merit
拜受하다	배수하다	To receive (an honor, from a superior)
內鮮	내선	"Interior (Japan) and Korea" (term used during colonial period)
희귀하다	희귀하다	To be rare
創氏者	창씨자	Person who changed their name (under the Sōshi-kaimei policy)


---------------------------


잡지명	삼천리 제12권 제4호
발행일	1940년 04월 01일
기사제목	新李王職長官 李恒九 人物論
필자	金東進
기사형태	소식

新李王職長官 李恒九 人物論
						金東進
합병에 공훈이 큰 故 李完用侯의 아들로 태여나지 않었더라도 인생의 가장 보람있는 청장년을 통한 30여년이란 긴 세월을 宮內官으로 근속하였다치면 의례히 최고 수뇌에 승임됨이 당연하다고 할 수 있다.
