Magazine Title: 삼천리
Publication Date: 1931-10-01
Article Title: 李堈殿下 國境出走秘史, 全協 鄭雲復 羅昌憲들과 손을 맛잡고 (The Secret History of His Highness Yi Kang's Border Escape Attempt, Joining Hands with Chŏn Hyŏp, Chŏng Un-bok, and Na Ch'ang-hŏn)
Author: Unspecified
Article Type: 회고·수기 (Memoir/Recollection)

The Secret History of His Highness Yi Kang's Border Escape Attempt, Joining Hands with Chŏn Hyŏp, Chŏng Un-bok, and Na Ch'ang-hŏn

It was the night of November 9th in the year Kimi (己未年 - 1919). His Highness Yi Kang hastily fled through the rear gate of his residence and vanished into the dark night.

In that year, the mountains and rivers of the peninsula were boiling over, and it wasn't long after the aristocrat Kim Ka-jin, along with his son Kim Ŭi-han, had escaped to Shanghai in early October. Following them, where was His Highness Yi Kang headed? The source of all these ingenious schemes and clever plans was the Daedongdan (大同團), with Chŏn Hyŏp as its leader (圍長) and Kim Ka-jin as its president (總裁).

The Daedongdan was a secret society that arose on March 1st and intended to continue the March First Movement (OO운동) that had swept across all of Chosŏn until the end of April. They planned to distribute secret publications and constantly encourage demonstration movements. Whether His Highness Yi Kang fell into this organization's scheme (術中) or how much of a tacit understanding (黙契) His Highness had with the group, the numerous strategies mixing truth and falsehood (虛虛實實) lie hidden behind the deep curtain of the incident, destined to remain an eternal secret. Who am I, the author, to dare leak this profound mystery (玄機)?

Now, turning back to the story (却說): On the night of November 11th, a truly deep autumn night, the cries of cheap goods hawkers from the night market (夜市) boiled like devilfish soup. People in snow-white clothes (雪白의 白夜人) walked in rows along both sides of the street. Streetcars still passed by, and automobiles still passed by. It was a peaceful and bustling night, a night like any other. Yet, having left his residence, His Highness Yi Kang hurried to a detached house (別宅) in Insadong, called for the rickshaw puller Kim Sam-bok, whispered a few words to him, and immediately got into the rickshaw, which then disappeared towards a certain house in Kongp'yŏngdong.

A few hours before this occurred, Chŏng Un-bok, famous as a high-level detective (高等探偵) in the current Police Affairs Bureau (警務局), quietly left his home in Samgakch'ŏn and also vanished somewhere.

Chŏng Un-bok was formerly a reporter for the Taehan Maeil Sinbo (大韓每日申報) and a leading figure of the anti-Japanese faction, renowned for both his writing and speaking abilities. Since being misled by the vague phrase "so-called decisive measures," he lamented, "The times are unfavorable, and Dapple won't run" (時不利兮騅不逝), and perhaps unable even to meet the boatman at Wu River (烏江亭長), he had become a retainer (食客) at the Police General Headquarters (警務總監部), wielding <52> his sharp (辛竦) skills.

At a certain house in Kongp'yŏngdong:
The current Royal Prince (王宗) His Highness Yi Kang
The current Police Affairs Bureau consultant (囑託) Chŏng Un-bok
The leader of the secret society Daedongdan Chŏn Hyŏp
Daedongdan members Na Ch'ang-hŏn, Han Ki-dong, Tong Ch'ang-nyul, Yi Chae-ho, Kim Chung-ok
gathered in one place under a bright electric light, sharing a cup of wine and exhaustively discussing the affairs of the world. It was past 11 o'clock at night. Inside the room, voices were low but spoke in forceful tones, while outside the door, several young men stood guard (派守), holding pistols.

Late in the night, Daedongdan leader Chŏn Hyŏp and His Highness Yi Kang left by rickshaw for outside Ch'angŭimun gate. Following them, Chŏng Nam-yong, Han Ki-dong, Yi Chae-ho, Na Ch'ang-hŏn, along with Chŏng Un-bok, taking Kim Sam-bok, also went out beyond Ch'angŭimun gate.

These two rickshaws went to a small house in the mountains outside Ch'angŭimun. Amidst the deserted midnight, only the faint sound of a stream (溪聲) could be heard, and all around was deathly quiet.

On the following day, the night of the 10th, His Highness Yi Kang wore a *t'anggon* (탕건 - horsehair skullcap) and a *kat* (갓 - traditional hat), a Korean *turumagi* (두루막이 - overcoat), and *chipsin* (집신 - straw sandals), appearing exactly like a farmer or country rustic (田夫野人). At night, he walked to Susack Station (水色驛) and boarded a third-class carriage there. It was a quiet, small station (幽閑한 小驛), so no one would have dreamed that His Highness Yi Kang would board dressed as a farmer from this little station. Accompanying him on the train were Chŏng Nam-yong, Yi Il-gyu (李二奎), Song Se-ho, and several others.

The train reached Andong County (安東縣) without incident, but upon disembarking at Andong Station (安東驛), they were discovered by vigilant police officers. His Highness Yi Kang was made to return, Chŏng Nam-yong was caught, and Yi Il-gyu (李乙奎) escaped. Thus, the attempt to escort His Highness Yi Kang out of the country (擁走) ended in failure.

According to the official documents based on statements given to the authorities at the time, Han Ki-dong intended to make a reservation for the Yi Royal Family's fishery (李堈家 漁場) for 30,000 won and introduced Chŏng Un-bok to arrange a meeting, whereupon they suddenly threatened His Highness with a pistol, forcing him to go along. However, readers who have read the preceding account from beginning to end will judge for themselves. The truth behind the secret society's logbook remains unknown. <53>

Thinking about it now, it seems laughable, but Daedongdan leader Chŏn Hyŏp was a figure whose head was filled with the dregs (殊滓) of feudalism. The idea that if they enthroned His Highness Yi Kang and commanded the world, the people's hearts would largely follow, was merely imitating the old trick (故智) of Kim Ok-kyun of the three-day reign (3日天下) who tried to move Emperor Kojong (高宗帝) to a Japanese warship in Inch'ŏn. Their intention was based on the idea, "If we just hold onto this king, we'll find a way. Seize the prince to command the lords (挾王子以令諸侯)."

It was recorded that Chŏng Un-bok, seeking a 150 won commission for the aforementioned fishery deal, acted as an introducer but was then threatened, forced into a rickshaw, gagged, bound hand and foot, and taken away. However, that Chŏng, earning a salary of several hundred won, would undertake the great risk of luring out His Highness Yi Kang for 150 won, and then follow along out of fear as far as outside Ch'angŭimun gate, is also a question whose front and back do not connect (압 뒤 등이 닷지 안는 - i.e., it doesn't make sense).

After the Yi Kang incident, the police were in a great uproar. At that time, I went to the Chongno Police Station (鍾路署), where Mr. Sam'yung (三輪씨), now famous for arresting major criminals, was still a section member (係員), and the head of the High-Level Affairs Section (高等係主任) was a certain Okamoto (岡本某). I requested Mr. Okamoto and asked him about it.

"Regarding that incident, due to my responsibility, I cannot say a single word," he said, remaining silent.

To a certain Korean detective:
"I heard Mr. Chŏng Un-bok was called in?"
The detective nonchalantly pointed to a stout, elderly figure (寬原長者) in Korean clothes (朝鮮服) sitting nearby and said,
"That is Chŏng Un-bok."
I asked,
"Are you Mr. Chŏng Un-bok?"
"Yes!"
"Why did you go outside Ch'angŭimun gate?"
"Who? By crazy guys— I was tricked—"
He mumbled, puffing away vigorously on a long bamboo pipe (長竹).

Several years after that incident occurred, I saw Mr. Mori Rokuji (森六治君), who had been the chief of Chongno Police Station, and asked him,
"I heard you escorted His Highness Yi Kang back. How did you do it?"
"What can I say? I just went before His Highness and cried," he replied, laughing.

Time has passed. Mr. Chŏn Hyŏp has died, Mr. Chŏng Un-bok has died, and Messrs. Okamoto and Mori, who investigated the incident back then, have also retired from the police force. <54>

**Summary**

This 1931 memoir recounts the failed attempt by Prince Yi Kang, a member of the former Korean royal family, to escape Korea in November 1919. Organized by the nationalist secret society Daedongdan, led by Chŏn Hyŏp, the plan involved smuggling the prince, disguised as a farmer, out via train to Andong near the border. The article details the clandestine meeting before the escape, involving Yi Kang, Daedongdan members, and Chŏng Un-bok, a former anti-Japanese journalist turned police consultant. The escape failed when the prince was recognized and detained in Andong. The author questions the official narrative that Chŏng Un-bok was coerced, suggesting his involvement might have been more complex, and reflects on the feudalistic thinking behind the Daedongdan's plan to use the prince as a figurehead.

For historians, the article offers a contemporary (though retrospective) perspective on nationalist activities shortly after the March First Movement, particularly the strategies and internal dynamics of groups like the Daedongdan. It highlights the complex position of figures like Yi Kang and Chŏng Un-bok, caught between nationalist aspirations, personal survival, and Japanese surveillance. The author's skepticism towards the official police account and the descriptions of the atmosphere surrounding the event provide valuable context on colonial-era politics and resistance, as well as the ambiguous roles some Koreans played within the colonial system.

**Named Entities**

李堈	이강	Yi Kang
全協	전협	Chŏn Hyŏp
鄭雲復	정운복	Chŏng Un-bok
羅昌憲	나창헌	Na Ch'ang-hŏn
己未年	기미년	Kimi Year (1919)
金嘉鎭	김가진	Kim Ka-jin
金義漢	김의한	Kim Ŭi-han
上海	상해	Shanghai
大同團	대동단	Daedongdan
朝鮮	조선	Chosŏn (Korea)
仁寺洞	인사동	Insadong
金三福	김삼복	Kim Sam-bok
公平洞	공평동	Kongp'yŏngdong
警務局	경무국	Kyŏngmu Kuk (Police Affairs Bureau)
三角町	삼각정	Samgakch'ŏn
大韓每日申報	대한매일신보	Taehan Maeil Sinbo
警務總監部	경무총감부	Kyŏngmu Chonggambu (Police General Headquarters)
韓基東	한기동	Han Ki-dong
董昌律	동창률	Tong Ch'ang-nyul
李在浩	이재호	Yi Chae-ho
金中玉	김중옥	Kim Chung-ok
彰義門	창의문	Ch'angŭimun
鄭南用	정남용	Chŏng Nam-yong
李二奎	이이규	Yi I-gyu (Appears initially, likely typo for Yi Il-gyu)
李乙奎	이을규	Yi Il-gyu (Appears later)
宋世浩	송세호	Song Se-ho
水色驛	수색역	Susack Station
安東縣	안동현	Andong County
安東驛	안동역	Andong Station
金玉均	김옥균	Kim Ok-kyun
高宗帝	고종제	Emperor Kojong
仁川	인천	Inch'ŏn
鍾路署	종로서	Chongno Police Station
三輪	미와	Sam'yung (Miwa)
岡本	오카모토	Okamoto
森六治	모리 로쿠지	Mori Rokuji

**Glossary**

殿下	전하	Your/His Highness (royal title)
國境	국경	National border
出走	출주	Fleeing, running away, escaping
秘史	비사	Secret history
맛잡고	맞잡고	Holding hands (older spelling)
마럿다	말았다	Ended up doing (older spelling/form of 말았다)
반도	반도	Peninsula (referring to Korea)
끌엇고	끓었고	Boiled (older spelling)
귀족	귀족	Aristocrat, noble
탈출	탈출	Escape
안되든	안되던	Was not yet (older spelling/form of 안 되던)
어대로	어디로	To where (dialectal/older form)
奇計妙策	기계묘책	Ingenious schemes and clever plans
圍長	위장	Leader (lit. surrounding chief, specific title here)
總裁	총재	President, chairman
所爲	소위	Deed, act, doing
휩쓸든	휩쓸던	Swept through (older spelling)
비밀결사	비밀결사	Secret society
배포	배포	Distribution
隨時	수시	At any time, frequently
慫慂	종용	Encourage, urge
術中	술중	In the midst of a scheme/trap
黙契	묵계	Tacit understanding, secret agreement
잇섯는지	있었는지	Whether there was (older spelling)
虛虛實實	허허실실	A mixture of truth and falsehood, bluff and reality
幾多	기다	Numerous, many
깁흔	깊은	Deep (older spelling)
玄機	현기	Profound secret, subtle workings
漏하다	누하다	To leak (a secret)
者리요	자이리요	(Archaic interrogative ending) Am I the one who...?
却說	각설	Now, turning to the story... (narrative interjection)
악마구리	악마구리	Devilfish (possibly octopus/squid, used in idiom)
끌틋하는	끓듯하는	Boiling-like (older spelling/form of 끓듯 하는)
夜市	야시	Night market
싸구려	싸구려	Cheap goods
雪白	설백	Snow white
白夜人	백야인	Person in white clothes (referring to Koreans)
街路	가로	Street
황황히	황황히	Hurriedly, flusteredly
別宅	별택	Detached house, villa
人力車夫	인력거부	Rickshaw puller
몃 마듸	몇 마디	A few words (older spelling)
소군소군	소곤소곤	Whisperingly
高等探偵	고등탐정	High-level detective
排日派	배일파	Anti-Japanese faction
거두	거두	Leading figure, magnate
筆舌	필설	Writing and speaking
俱	구	Both, together
名流	명류	Renowned figure, celebrity
致誤되다	치오되다	To be mistaken, misled
時不利兮騅不逝	시불리혜추불서	(Classical Chinese quote) The times are unfavorable, and Dapple (horse) won't run.
烏江亭長	오강정장	Boatman at Wu River (Classical Chinese reference)
맛던지	만났던지	Whether one met (older form/spelling)
警務總監部	경무총감부	Police General Headquarters (colonial era)
식객	식객	Retainer, dependent living in a patron's house
<52>	<52>	Page number marker
辛竦하다	신랄하다	Sharp, poignant, acrimonious (here implies astute/shrewd)
手腕	수완	Skill, ability, maneuvering
王宗	왕종	Member of the royal clan/family
囑託	촉탁	Commissioned/Entrusted person, non-regular employee, consultant
一席	일석	One gathering, one place
알에	아래	Below, under (older spelling)
一盃酒	일배주	A cup of wine
絶論하다	절론하다	To discuss exhaustively or conclusively
이약이	이야기	Story, talk (older spelling)
밧게	밖에	Outside (older spelling)
몃몃	몇몇	Several (older spelling)
派守	파수	Guard duty, sentry
밧그로	밖으로	To the outside (older spelling)
다리고	데리고	Taking someone along (older spelling)
兩	양	Two, both
溪聲	계성	Sound of a stream
이튿날	이튿날	The next day
가치	같이	Like, as (older spelling)
탕건	탕건	Traditional horsehair skullcap worn under a hat
갓	갓	Traditional Korean hat (wide-brimmed, horsehair)
두루막이	두루막이	Traditional Korean overcoat
집신	짚신	Straw sandals (older spelling)
완연하다	완연하다	Evident, clear, just like
田夫野人	전부야인	Farmer and rustic person, simple country folk
거긔서	거기서	From there (older spelling)
객실	객실	Passenger room/carriage
오르니	오르니	Boarded, got on
幽閑하다	유한하다	Quiet and leisurely, secluded
小驛	소역	Small station
안 꾸엇슬	안 꾸었을	Would not have dreamed (older spelling)
同車하다	동차하다	To ride in the same vehicle/train
無恙히	무양히	Without incident, safely
다앗는데	닿았는데	Arrived at, reached (older spelling)
하차	하차	Getting off (a vehicle)
警戒하다	경계하다	To be vigilant, guard
발각되다	발각되다	To be discovered, found out
붓들리고	붙들리고	Was caught (older spelling)
도주하다	도주하다	To escape, flee
擁走	옹주	Escorting someone in flight/escape (less common term)
관헌	관헌	The authorities, officials
진술되다	진술되다	To be stated, testified
공문서	공문서	Official document
漁場	어장	Fishery
예약하다	예약하다	To reserve, book
별안간	별안간	Suddenly, unexpectedly
위협하다	위협하다	To threaten
<53>	<53>	Page number marker
스사로	스스로	For oneself, by oneself (older spelling)
판단하다	판단하다	To judge
일사록	일사록	Logbook, record of events
정체	정체	True nature, identity
우수운	우스운	Funny, laughable (older form)
봉건주의	봉건주의	Feudalism
殊滓	수재	Dregs, remnants (negative connotation)
옹립하다	옹립하다	To enthrone, support someone for the throne
호령하다	호령하다	To command, order loudly
민심	민심	Public sentiment, the hearts of the people
3日天下	삼일천하	Three-day reign (referring to the short-lived Gapsin Coup)
播遷	파천	Moving the capital or royal court (often under duress)
식히려든	시키려던	Tried to make (someone) do (older spelling)
故智	고지	Old trick, past wisdom/stratagem
답습하다	답습하다	To follow blindly, imitate
봇들고	붙들고	Holding onto (older spelling)
수가 나다	수가 나다	To find a way, a solution arises
挾王子以令諸侯	협왕자이령제후	(Classical Chinese phrase) Seize the prince to command the lords
수수료	수수료	Commission fee
誘出하다	유출하다	To lure out
대모험	대모험	Great adventure, big risk
재갈을 물리다	재갈을 물리다	To gag someone
수족	수족	Hands and feet, limbs
결박되다	결박되다	To be bound, tied up
압 뒤 등이 닷지 안는	앞뒤 등이 닿지 않는	(Idiom) Doesn't make sense, inconsistent (lit. front and back don't meet) (older spelling)
대소동	대소동	Great commotion, uproar
잇섯고	있었고	Was/were (older spelling)
係員	계원	Clerk, staff member (official context)
高等係主任	고등계주임	Head of the High-Level Affairs Section
岡本某	강본 모	A certain Okamoto (某 means 'so-and-so')
침묵하다	침묵하다	To be silent
형사	형사	Detective
불리엇다지요	불리었다지요	I hear (someone) was called in (older spelling/form)
무심히	무심히	Indifferently, nonchalantly
엽헤	옆에	Beside, next to (older spelling)
안진	앉은	Seated (older spelling)
朝鮮服	조선복	Korean clothes
寬原長者	관원장자	Stout, elderly figure (descriptive)
저이가	저이가	That person (standard but slightly informal/older feel)
웨	왜	Why (older spelling)
나가섯소	나갔소	Did you go out? (older speech style suffix -소)
