Magazine Title: 삼천리 제3권 제10호
Publication Date: 1931-10-01
Article Title: 交叉點 (Crossroads)
Author: Various Contributors
Article Type: 잡저 (Miscellaneous Writings)

交叉點 (Crossroads)
If there is anything you wish to ask anyone, please submit it to this column. Our company's Standard-bearer (旗手) will relay the letter to the intended recipient, receive a reply, and publish it in this column.
1. Use a postcard for the paper.
2. Keep the meaning concise.
3. Content should relate to matters of public interest.

Number of Common Schools
To the Standard-bearer of Crossroads...
I recently saw the New Culture Construction Plan. By the way, how many common schools are there currently in Chosŏn? ...And their student numbers? Also, the number of teachers?
Osaka, Ch'oe In-sŏp

One Thousand Seven Hundred
Let us discuss such matters very quietly between ourselves. If others were to overhear, where could there be such shame? Goodness, you don't even know the number of common schools in your own land-.
Put your ear close and listen quickly.
There are 1,700 schools with 440,000 students (Public).
Respectfully, Samch'ŏlli Company Grass Soldier (草兵丁)

To Mr. An Chae-hong

Mr. An, I intend to start a night school for farmers using the coming winter slack season,<94> but I lack a suitable textbook, so I am asking here. How about using the Chosŏn Society's Hangeul original text (朝社 한글 원본)? If so, is it possible for you to send it? I would appreciate it if you could let me know in detail.
Chŏllam Chido, Hong Sun-jang

Of course, I can send it. The rule is originally that you bear the postage (郵稅) yourself.
Respectfully, An Chae-hong

Ch'oe Yun-sŏk Store is
Regarding the various stores run by Koreans that have set up large shops on Chongno Avenue in Seoul, approximately how much capital do they operate with? For instance, like the textile merchant Ch'oe Yun-sŏk Store?
P'yŏngyang, An Si-kŭk

It is a joyous thing that our Korean stores have recently become quite respectable in their management methods and appearance. Regarding the Ch'oe store you asked about, it is said to be a stock company with one million won, having made a payment (拂込) of 250,000 won years ago (年前), and aims to exist for 50 years. In any case, rather than taking the path of smallness and collapse with small capital, small capitals should unite and unite so as not to lose out to their [Japanese] commerce.
Reply from Samch'ŏlli Company Stone Soldier (石兵丁)

To Mr. Yi Kwang-su

Looking at your works, sir, there are quite a number of volumes in terms of quantity. In this era flooded with Complete Works, do you not have any intention of publishing your <95> own personal complete works?
Kyŏngbuk Kaenyŏng, Mun Sŏng-hwan

As I don't have any works I'm particularly confident about, I have no thoughts of publishing a complete collection. Whether even gathering what I write from now on will lead to publication is also doubtful. In any case, I might if someone else publishes it for me, but I don't have the nerve (배ㅅ심) to publish my own collected works myself.
Respectfully, Yi Kwang-su

Your Company's Founding Capital and Staff
When was your company founded, what is the total capital, and how many staff members are there currently and who are they?
Taegu Ch'unyang, Yudang

Living within the "Samch'ŏlli" (Three Thousand Ri) land and not knowing the details of the "Samch'ŏlli Company" is a bit disappointing. It was founded 3 years ago, the total capital in money and Brainpower (智力) combined is enough to sustain it amply for about 100 years from now, and the staff members are numerous, including Grass Soldier (草兵丁), Stone Soldier (石兵丁), Wood Soldier (木兵丁), etc.
Reply from Samch'ŏlli Company Stone Soldier (石兵丁)

To Ms. U Pong-un

I heard the Kŭnuhoe National Convention was postponed; is it not being held again? I would like to know around when it has been decided.
Kaesŏng, Ch'oe Il-sŏng

Since the postponement, the date has not yet been decided.
Respectfully, Kŭnuhoe, U Pong-un <96>

To Mr. Yi Kwang-su
What are your children doing now, sir?
Hamgyŏng Pukto Changhŭng, Kim In-kap

My eldest child (17) attends the first year at P'yŏngyang Sungin Commercial School. My second child (5) and third child (3) are suffering (알코) from serious illnesses. I have no daughters.
Ch'unwŏn

Crossroads Contribution
Considering our current circumstances, what path should we consciously take? What is the opinion of the Crossroads Standard-bearer?
Anju, Pukch'on'a (Child from the North Village)

Unite and Advance
Circumstances (환경) are bound to move if one is capable. Being capable means having strength within oneself. To achieve that, first, one must unite together, gain training through unity, and having gained training, take even one step forward continuously.
Reply from Samch'ŏlli Company Grass Soldier (草兵丁) <97>

**Summary**

This "Crossroads" column from the October 1931 issue of *Samch'ŏlli* magazine operates as a Q&A forum between readers and the magazine staff or specific public figures. Readers inquire about diverse topics: the number of public primary schools and students in colonial Korea (1,700 schools, 440,000 students), obtaining textbooks for peasant night schools (An Chae-hong offers to send materials if postage is paid), the capitalization of a prominent Korean-owned business on Chongno Avenue (Ch'oe Yun-sŏk Store, a 1 million won corporation), the possibility of author Yi Kwang-su publishing his collected works (he demurs due to lack of confidence), the founding and staffing of *Samch'ŏlli* magazine itself (claimed to have resources for 100 years), the status of the postponed Kŭnuhoe (women's organization) national convention (still undecided), the situation of Yi Kwang-su's children (one in school, two ill), and advice on the path forward for Koreans (unite, train, advance). The article offers valuable glimpses into colonial Korean society, including education statistics, the burgeoning Korean entrepreneurial class, the activities and thoughts of prominent intellectuals like An Chae-hong and Yi Kwang-su, the operations of nationalist organizations like the Kŭnuhoe, and the underlying desire for collective action and progress ("Unite and Advance") among Koreans under Japanese rule. Historians might find the specific data on schools, the mention of An Chae-hong's educational materials, the details about the Korean-owned store, Yi Kwang-su's personal reticence, and the magazine's optimistic self-portrayal and nationalistic advice particularly interesting.

**Named Entities**

大阪	오사카	Osaka
崔仁燮	최인섭	Ch'oe In-sŏp
安在鴻	안재홍	An Chae-hong
全南智島	전남 지도	Chŏllam Chido
朝社	조사	Chosŏn Society (Likely refers to materials related to Korean history/society studies associated with An Chae-hong)
崔潤錫 商店	최윤석 상점	Ch'oe Yun-sŏk Store
鍾路大街	종로대가	Chongno Avenue
平壤	평양	P'yŏngyang
安時極	안시극	An Si-kŭk
李光洙	이광수	Yi Kwang-su
慶北開寧	경북 개녕	Kyŏngbuk Kaenyŏng
文成煥	문성환	Mun Sŏng-hwan
大邱春陽	대구 춘양	Taegu Ch'unyang
幽堂	유당	Yudang (Assumed pen name/pseudonym)
禹鳳雲	우봉운	U Pong-un
槿友會	근우회	Kŭnuhoe
開城	개성	Kaesŏng
崔一成	최일성	Ch'oe Il-sŏng
咸北章興	함북 장흥	Hamgyŏng Pukto Changhŭng
金仁甲	김인갑	Kim In-kap
平壤崇仁商業學校	평양숭인상업학교	P'yŏngyang Sungin Commercial School
春園	춘원	Ch'unwŏn (Yi Kwang-su's pen name)
安州	안주	Anju
北村兒	북촌아	Pukch'on'a (Pseudonym/description: Child from the North Village)

**Glossary**

뭇고 십흔	묻고 싶은	Wanting to ask (Older spelling: 십흔 for 싶은)
잇거든	있거든	If there is/are (Older spelling: 잇 for 있)
本欄	본란	This column
旗手	기수	Standard-bearer, representative (Figurative use for magazine contact)
分傳	분전	Relay, pass on
바더다가	받아다가	Receive and bring (Older spelling/form)
몃	몇	How many (Older spelling)
밧삭	바싹	Closely, right up to (Older spelling)
얼는	얼른	Quickly (Older spelling)
드르십시오	들으십시오	Please listen (Older spelling)
얘요	이예요/입니다	it is (Informal/older ending)
冬閑期	동한기	Winter slack season (farming)
개시코자	개시하고자	Intending to start (Older form)
알마진	알맞은	Suitable, appropriate (Older form)
업사와	없어서	Because there isn't (Older form for 없어서/없으므로)
茲에	자에	Here, regarding this (Using Hanja 茲)
問함니다	문합니다	I ask (Older verb ending: 함니다 for 합니다)
엇덜까요	어떨까요	How would it be? (Older spelling)
아르켜 주섯스면	알려 주셨으면	If you would let me know (Older spelling/form)
郵稅	우세	Postage
自擔	자담	Bearing the cost oneself
버리고	벌이고	Setting up, running (a business)
年前	년 전에	Years ago
拂込	불입	Payment (of capital)
엇재든	어쨌든	Anyway, in any case (Older spelling)
몰락	몰락	Collapse, downfall
何時	하시	When (Sino-Korean, formal)
智力	지력	Intellectual power, intelligence
압흐로	앞으로	From now on, in the future (Older spelling)
넉넉히	넉넉히	Sufficiently, amply
草兵丁	초병정	Grass Soldier (Figurative name for magazine staff)
石兵丁	석병정	Stone Soldier (Figurative name for magazine staff)
木兵丁	목병정	Wood Soldier (Figurative name for magazine staff)
업슴으로	없으므로	Because there isn't/aren't (Older spelling)
내이게	내게	To me / By me (Older spelling/form)
배ㅅ심	배짱/뱃심	Guts, nerve (Older spelling with 사이시옷 'ㅅ')
아즉	아직	Still, yet (Older spelling)
알코	앓고	Suffering from, being ill (Older spelling)
當面한	당면한	Faced, confronted
如何	여하	How, what (Sino-Korean, formal)
움지겨지는	움직여지는	Is moved, changes (Older spelling)
첫재	첫째	First(ly) (Older spelling)
한거름	한 걸음	One step (Older spacing/spelling)


---------------------------


잡지명	삼천리 제3권 제10호
발행일	1931년 10월 01일
기사제목	交叉點
기사형태	잡저

交叉點
누구시든지 어느 분에게 뭇고 십흔 말슴이 잇거든 本欄에 投稿하여 주십시요. 본사 旗手가 수신할 분에게 그 편지를 分傳하여 회답을 바더다가 本欄에 발표함니다.
1. 용지는 엽서에
2. 의미가 간결하게
3. 내용이 사회 공중에 관계되는 일

普通學校數
교차점 기수에게...
지난 번 新文化建設計劃을 보앗슴니다. 그런데 현재 조선에는 보통학교가 몃 군데나 잇슴니까... 그 생도수는? 또 그 교원수는?
大阪 崔仁燮

일쳔 칠백개
우리 피차에 이런 이야기는 가만가만히 하십시다. 그러다가 행혀 남들이 들으면 이런 수치가 어데 잇겟슴니까. 글세 제 땅에 잇는 보통학교 수효도 모르신다니-.
귀를 밧삭 대이고 얼는 드르십시오.
1,700개의 학교에 44만명의 학생이얘요.(公立)
三千里社 草兵丁拜

安在鴻 先生에게

安선생님 소생은 오는 冬閑期를 이용하야＜94＞ 농민야학을 개시코자 하오나 제게 알마진 교과서가 업사와 茲에 問함니다. 「朝社」 한글 원본을 이용한다면 엇덜까요. 그러하면 보내줄 수는 잇는지요. 자세히 아르켜 주섯스면 함니다.
全南智島 洪淳長

그야 보내드리지요. 원래 郵稅만은 自擔하라는 규정임니다.
安在鴻 拜

崔潤錫 商店은
서울 鍾路大街에서 크게 점포를 버리고 잇는 조선인 경영의 여러 상점들은 대체 얼마나한 자본들을 가지고 하여 나감니까? 위선 포목상하는 崔潤錫 商店가튼 것은요?
平壤 安時極

