Magazine Title: 삼천리 제3권 제10호
Publication Date: 1931년 10월 01일
Article Title: 懸賞實話, 三角戀愛에 對한 나의 解決策 (True Story Contest, My Solution to a Love Triangle)
Author: 佳作 (Honorable Mentions): 金基元 (Kim Kiwŏn) from Nyŏngbyŏn, North P'yŏngan; 崔一順 (Ch'oe Ilsun) from Cheju Island; 吳可雲 (O Kaun) from Shanghai. 賞 (Prize Winner): 朴恩愛 (Pak Ŭnae) from South P'yŏngan
Article Type: 회고·수기 (Memoir/Personal Account)

懸賞實話, 三角戀愛에 對한 나의 解決策
佳作
·웃는 주-핏트----平北寧邊 金基元
·幸福者의 설음----濟州島 崔一順
·妖性의 그 女子----上海 吳可雲

C언니는 나의 恩人이외다(賞)
平南 朴恩愛

It was late autumn, three years ago now. I was a soul-less human, beating my chest with my fists until it bruised, tearing out my hair, biting my lips until dark blood flowed like ink, yet feeling no pain.

The autumn sky was lovely and clear, and the wind was refreshing. Tree leaves, carried by the gentle breeze, scattered here and there like dancing butterflies. The whole universe seemed refreshingly vast. And so, that autumn season tempted many people; those with money went for drives!—those without money went walking—each seeking pleasant places without a care. In this way, the seemingly empty streets of Seoul felt even more desolate, casting upon me a feeling like searching for ancient traces in scattered castle ruins. Thus, I felt even more wretched. Old dreams of bygone days became endlessly nostalgic.

There, I once again took up my pen and wrote the following letter to P.

『Mr. P! This soul-less body still cannot forget you, and so I take up this pen again. You will likely curse me as a clingy girl. I know this well myself. You are someone who hasn't replied even once despite my many letters!!
But what can I do, as I cannot bear it without taking up this pen? I recall everything from the past days, crying and laughing like a mad person, doing all sorts of things—injuring my own body myself. Mr. P! Do you remember? It was last spring season, when the haze lay beautifully asleep on the distant mountains, and new grass sprouted green in the mountains and fields.
We sat with our legs stretched out on the budding green grass, whispering about our future.<90>
And you said this.
“You are my shadow. I am your shadow.”
I asked you several times, didn't I? What did you mean by that...
You answered this way again.
“It means where you go, I go, and where I go, you go.”
Mr. P! How meaningful were those words? We held our silence for several minutes in a powerful embrace. Mr. P! I do not intend to write at length. The more I write, the more my heart feels constricted, so I cannot write further. The more the bag of old memories bursts open, the more painful it becomes. I will stop here for today.』
Waiting for your reply, B

Around eight o'clock on the night three days later, a reply came from P. Dear readers! How must my heart have felt, holding P's letter in my hand? Fear! Curiosity! In any case, it is true that my entire body trembled.
Yet, I opened his letter with some kind of expectation. But, but—it was so different from what I had expected.
Ah! An unexpected event I hadn't even imagined—was it a dream or reality?—it was hard to discern, so I even pinched my own flesh. It would have been nice if it were a dream—but it was not a dream, but a waking reality. "Is he really marrying someone else?" "No..."
Still believing it wasn't true, though the night was late, I ran to P's lodging and knocked on the gate.

P's room was the one across, visible right upon entering the gate. That room I had frequented so often seemed unchanged from before. That familiar room—tears first blurred my vision, making it impossible to distinguish anything, but in front of P's door, his shoes and a pair of high-heeled yellow shoes, placed neatly together, were clearly visible even to my tear-filled eyes under the electric light.
How must my heart have felt, having run there thinking "Surely not"? Lacking even the courage to open the door, I was about to turn back when, just then, I heard the voice of C-ŏnni, whom I respected most, from inside. Vitality returned to my strengthless body; I, who hadn't even had the courage to open the door, gladly opened it without a second thought, calling out, "Ŏnni-".
Indeed, C-ŏnni was sitting inside, but they were embracing blankly, like people caught stealing.
And what was also surprising was C-ŏnni's attitude. How warmly she would have welcomed me before. Her face turned red, and she just sat there silently, without even a single word of greeting like "You're here?"
Hearing C-ŏnni's voice from outside the door, I had opened it gladly with immense expectation, but now I deeply regretted it, thinking how much better it would have been if I hadn't opened it and just turned back.

It was the evening of the fifteenth day of the first lunar month, three years ago, an unforgettable day. Saying we were going to see the moon over the Han River, my mother, younger siblings, and I stepped outside the gate, just as C-ŏnni came running from the other side, asking where we were going—though I was heading to the Han River, I had wanted to go see C-ŏnni, so how happy must I have been to meet her? (Those who have experienced same-sex affection during enjoyable girls' school days will likely guess.)
Forgetting about the Han River, just as C-ŏnni and I were about to step into the entranceway, a professional school student wearing a square cap walked towards us from the other side, grinning broadly. "What a silly man," I thought disapprovingly, but C-ŏnni started talking to the student. So I realized he had come with C-ŏnni.
We sat on the wooden floor watching the moon, then went into the inner room because C-ŏnni complained of the cold.
C-ŏnni, after this and that talk, said—
"This oppa says you're really pretty—and you and him, um-"
C-ŏnni's distant cousin—the professional school student—tried to cover C-ŏnni's mouth, attempting to cut her off. (Continued on page 81)<91>
But C-ŏnni continued speaking.
"This oppa is really nice. You wouldn't know about such things, but if I say he's good, just know he's good," she said, and laughed "Ho...". Hearing C-ŏnni encourage me to date a man made me feel very displeased. Because I loved C-ŏnni more than anyone in the world, I hadn't even thought of loving someone else.
Even after that, C-ŏnni tried several times to create opportunities for me and that man—her distant cousin—to meet. And so we (C-ŏnni's distant cousin—P) met often and talked—and formed an unforgettable bond. C-ŏnni, who had strongly supported our relationship—C-ŏnni, who was my benefactor of old—who could have imagined she would throw me into such a pit? I left only one phrase, "You dirty pair," for P whom I had loved—and C-ŏnni whom I had trusted most—and departed from that room's door.

C-ŏnni, who gave me an indelible wound three years ago—I do not wish to resent her.
No!! Rather than resentment—I want to call her a "benefactor" (恩人).
News spread that C-ŏnni—
not many months later, went looking for her old mother, carrying a young child on her back. Poor C-ŏnni. That I came onto this path is entirely thanks to ŏnni.
Finally, I want to ask C-ŏnni a favor. I hope that ŏnni, too, will liquidate everything—and become a comrade who fights hard for us proletarians.
Night of September 18, 1931<81>
<90-91, 81>

**Summary**

The author, Pak Ŭnae, recounts a painful love triangle from three years prior. Introduced to her lover, P, by her deeply admired older friend, C-ŏnni, she later discovers P and C together. Initially devastated by this betrayal from both her lover and her trusted friend (who had facilitated the relationship), Pak reflects on the incident years later. Surprisingly, she now regards C-ŏnni not with resentment but as a "benefactor," crediting the experience for leading her onto her current path. The memoir concludes with an appeal for C-ŏnni, apparently now struggling alone with a child, to abandon her past and join the author as a comrade in the proletarian cause. For historians, the article offers insight into modern dating practices, female friendships, and social dynamics in 1930s colonial Korea. The dramatic shift from personal betrayal to a call for proletarian solidarity is particularly noteworthy, reflecting the turbulent ideological currents of the time and how personal experiences could intersect with political consciousness.

**Named Entities**

平北寧邊	평북영변	Nyŏngbyŏn, North P'yŏngan
金基元	김기원	Kim Kiwŏn
濟州島	제주도	Cheju Island
崔一順	최일순	Ch'oe Ilsun
上海	상해	Shanghai
吳可雲	오가운	O Kaun
平南	평남	South P'yŏngan (P'yŏngan Namdo)
朴恩愛	박은애	Pak Ŭnae
서울	서울	Seoul
한강	한강	Han River

**Glossary**

삼천리	삼천리	Samch'ŏlli (Name of the magazine, literally "Three Thousand Ri," a poetic name for Korea)
懸賞實話	현상실화	Prize Story Contest (True Story Contest with a prize)
三角戀愛	삼각연애	Love Triangle
解決策	해결책	Solution, way to resolve
佳作	가작	Honorable Mention
恩人	은인	Benefactor, savior
이외다	이외다	입니다 (Older formal declarative ending, equivalent to modern 입니다)
엿슴니다	였습니다	Was (Older formal past tense declarative ending, equivalent to modern 였습니다)
가삼	가슴	Chest, breast (Older spelling)
두다려	두드려	Beating, striking (Older spelling/form)
만들머	만들며	Making, while making (Older connective form)
뜻고	뜯고	Tearing out, plucking (Older spelling)
먹장	먹장	Ink stick residue, dark like ink
압흔	아픈	Painful, hurting (Older spelling)
넉	넋	Soul, spirit
업시	없이	Without (Older spelling)
흣허젓슴니다	흩어졌습니다	Scattered (Older spelling/form)
외-ㄴ	온	Whole, entire (Older spelling)
갓햇슴니다	같았습니다	Seemed like, was like (Older spelling/form)
세선	세상	World (Likely regional dialect or older form)
뜨라이브	드라이브	Drive (Loanword)
워킹	워킹	Walking (Loanword)
차자	찾아	Seeking, looking for (Older spelling)
단이는	다니는	Going around, frequenting (Older spelling)
늣김	느낌	Feeling, sensation (Older spelling)
안타가웟슴니다	안타까웠습니다	Was regrettable, felt sorry (Older spelling/form)
끗업시	끝없이	Endlessly (Older spelling)
못니저서	못 잊어서	Unable to forget (Older spelling/form)
치근치근한	치근치근한	Clingy, pestering
못견대겟스니	못 견디겠으니	Cannot bear it, so... (Older spelling/form)
엇지하오릿가	어찌하오리까	What shall I do? (Archaic/formal interrogative)
만드럿	만들었	Made (Older spelling)
놋슴니다	놓습니다	Place, put; (here) state of having done (Older spelling/form of 놓습니다, used as auxiliary)
긔억	기억	Memory, remembrance (Older spelling)
씨-슨	시즌	Season (Loanword)
안저서	앉아서	Sitting (Older spelling)
압날	앞날	Future
이약이	이야기	Story, talk (Older spelling)
말삼	말씀	Words, speech (Honorific, older spelling)
하섯지요	하셨지요	You said, didn't you? (Older spelling/form of 하셨지요)
직혓지요	지켰지요	Kept, observed (Older spelling/form of 지켰지요)
맥힌	막힌	Blocked, constricted (Older spelling)
터저	터져	Bursting (Older spelling)
사록	수록	The more... (Older spelling/form of -ㄹ수록)
괴로울	괴로울	Painful, distressing
회서	회서	Reply letter (Hanja term: 回書)
바다든	받아 든	Received and held (Older spelling/form)
엇더하엿을가요	어떠하였을까요	How must it have been? (Older spelling/form)
떨니엿든	떨렸던	Trembled (Older spelling/form)
떼엇담니다	떼었습니다	Opened (a letter) (Older spelling/form)
안엇든	않았던	Did not (Older spelling/form)
조흐련만	좋으련만	It would be good if... (Older spelling/form)
달여가서	달려가서	Ran to (Older spelling)
두다렷지요	두드렸지요	Knocked (Older spelling/form)
마조	마주	Facing (Older spelling)
건너방	건너방	Room across the courtyard/hall
단니든	다니던	Used to frequent (Older spelling)
낫익은	낯익은	Familiar (face/place) (Older spelling)
압흘	앞을	Front, vision (Older spelling)
가리워서	가리어서/가려서	Being covered, blocked (Older spelling/form)
업섯슴니다만은	없었습니다만은	There was not, but... (Older spelling/form)
압헤	앞에	In front of (Older spelling)
가즈런히	가지런히	Neatly (Older spelling)
노힌	놓인	Placed, laid (Older spelling)
뎐기불	전기불	Electric light (Older spelling)
비치여서	비치어서/비쳐서	Shining on, reflecting (Older spelling/form)
보혓슴니다	보였습니다	Was visible (Older spelling/form)
뛰여갓든	뛰어갔던	Had run (Older spelling/form)
엇더하엿겟슴닛가	어떠하였겠습니까	How must it have been? (Older spelling/form)
좃차	조차	Even (particle) (Older spelling)
업서서	없어서	Not having, because there isn't (Older spelling)
도라서	돌아서	Turning back (Older spelling)
들엿슴니다	들렸습니다	Was heard (Older spelling/form)
힘업든	힘없던	Strengthless, weak (Older spelling)
돌앗스며	돌았으며	Returned, circulated and... (Older spelling/form)
반가운 김에	반가운 김에	In one's gladness, seizing the happy moment
두말 업시	두말 없이	Without a second word, readily
열엇담니다	열었습니다	Opened (Older spelling/form)
안저	앉아	Sitting (Older spelling)
잇섯슴니다만은	있었습니다만은	Was there, but... (Older spelling/form)
도적질	도둑질	Stealing, theft
갓흐면	같으면	If it were like... (Older spelling)
마저주엇을까요	맞아주었을까요	Would have welcomed (Older spelling/form)
얼골	얼굴	Face (Older spelling)
잇쓸	있을	To be (Older spelling of future/adj. form)
한 마듸	한 마디	One word (Older spelling)
업섯드람니다	없었습니다	Was not there (Emphatic/narrative older ending)
박게서	밖에서	From outside (Older spelling)
맛낫스니	만났으니	Met, so... (Older spelling)
깃벗겟슴니까	기뻤겠습니까	Must have been happy? (Older spelling/form)
쟈미스럽든	재미스럽던	Was enjoyable, fun (Older spelling)
녀학교	여학교	Girls' school (Older spelling)
동성연애	동성연애	Same-sex love/affection
취측하실	추측하실	Will guess/surmise (Older spelling)
듸레노을야고	들여놓으려고	Trying to let in, step inside (Older spelling/form)
즘에	즈음에	Around the time (Older spelling)
저편	저편	That side, over there
사각모자	사각모자	Square cap (Often worn by students)
전문학교	전문학교	Professional school, college
이편	이편	This side, over here
안이꼽게	아니꼽게	Displeasingly, unattractively (Older spelling)
옵바	오빠	Older brother (for a female), term of endearment (Older spelling)
엡부다고	예쁘다고	Is pretty (Older spelling)
끈허버릴여고	끊어버리려고	Trying to cut off (speech) (Older spelling/form)
게속햇슴니다	계속했습니다	Continued (Older spelling)
조흔	좋은	Good (Older spelling)
우서버럿슴니다	웃어버렸습니다	Laughed (Older spelling/form)
날더러	나더러	To me (telling me) (Older spelling)
불쾌한	불쾌한	Unpleasant
가젓슴니다	가졌습니다	Had, possessed (Older spelling)
밋엇든	믿었던	Had trusted, believed in (Older spelling)
옹호해 주든	옹호해 주던	Used to support, defend (Older spelling)
이럭케도	이렇게도	Like this, even (Older spelling)
너을	넣을	To put in (Older spelling)
