잡지명	개벽 第41호
발행일	1923년 11월 01일
기사제목	全朝鮮 庭球大會를 보고 (Reporting on the All-Korea Tennis Tournament)
필자	一記者
기사형태	소식 (News Report)

全朝鮮 庭球大會를 보고
						一記者

Tennis tournament, tennis tournament, the All-Korea Tennis Tournament. This is a meaningful and beneficial large gathering hosted by the Chosŏn Sports Association (朝鮮体育會), held once a year, where the descendants of Paedal [Koreans] from all over Chosŏn select and send their region's superior athletes to compete. This tournament is the 4th one, and it has progressed step by step along the path of development, advancing day by day and month by month (日就月將), achieving remarkable success this time. Not only was the number of participating organizations large, but many local organizations participated, and what was particularly distinctive was the participation of young athletes from the Elementary School Division (小學團).

Reviewing (點考) the participating organizations, listing them from afar: the Elementary School Division from Sŏnch'ŏn Public Primary (宣川公普), the Youth Division (靑年團) from Sunch'ŏn Regional Youth Association (順天지방청년회), the Youth Division from Hamhŭng Sports Club (咸興運動部), the Youth Division from P'yŏngyang Sungsil College (平壤崇實大學), the Elementary School Division from Chinnamp'o Public Primary (鎭南浦公普), the Middle School Division (中學團) from P'yŏngyang Kwangsŏng Higher Common School (平壤光成高普), the Youth Division from Wŏnsan Youth Association (元山청년회), the Youth Division from Kaesŏng Nammun*Pŏp Youth Association (開城南門*法청년회), the Middle School Division from Kaesŏng Songbo (開城松普), the Elementary School Division from Kaesŏng First and Second Primary Education (開城第一第二普敎), and from Seoul: the Youth Division from Hwimun (徽文), the Youth Division of its trainees (同講習生), the Youth Division from Kŭmgang Tennis Club (金剛庭球部), the Youth Division from the Law College (法學專門), the Youth Division from Yŏnhŭi College (延禧專門), the Youth Division from Posŏng College (普成專門), the Middle School Division from Hwimun Higher Common School (徽文高普), the Middle School Division from Paejae Higher Common School (培材高普), the Middle School Division from Yangjŏng Higher Common School (養正高普), the Middle School Division from Tonggwang Higher Common School (東光高普), the Elementary School Division from Inch'ŏn Public Primary (仁川公普), and the Elementary School Division from Posŏng Primary (普成初等).

The original plan was to hold the opening ceremony at 8:00 AM and start the matches immediately after, but due to the unexpected heavy rain (暴雨) the previous night and the fickle weather (日氣) that morning, the opening ceremony and the return ceremony for the championship flag (優勝旗) were held around 9:30 AM, and the tournament began around 10:00 AM with the preliminary matches of the Elementary School Division. First, the match between Chinnamp'o Public Primary and Kaesŏng Primary Education (開城普敎) began, with Chinnamp'o winning and Kaesŏng Primary Education losing. Then, Sŏnch'ŏn Public Primary and Kaesŏng Primary Education faced off (相戰), and again Kaesŏng was defeated (敗北). Afterward, the winners Chinnamp'o Public Primary and Sŏnch'ŏn Public Primary, along with Inch'ŏn Public Primary and Posŏng Primary, who had advanced with byes, drew lots (抽籤). As a result, in the second round of preliminaries, Posŏng Primary and Inch'ŏn Public Primary played, with Inch'ŏn Public Primary raising the white flag [surrendering] and Posŏng Primary achieving victory (勝戰). Next, a fierce battle commenced between Chinnamp'o and Sŏnch'ŏn, with Chinnamp'o being defeated and withdrawing, thus concluding the Elementary School Division preliminaries.

Next, the Middle School Division matches continued. First, the competition between Yangjŏng Higher Common School and Tonggwang Higher Common School began, with Yangjŏng winning and Tonggwang being defeated. Following that, a fierce match unfolded between Hwimun Higher Common School (徽高) and Paejae Higher Common School (培材), where Paejae was soundly defeated and Hwimun won decisively. Afterward, the two winners, Hwimun and Yangjŏng, along with the two teams that advanced with byes, Songdo Higher Common School (松高) and Kwangsŏng Higher Common School (光成), drew lots for opponents. As a result, the match between Hwimun and Songdo began first. However, as the short autumn daylight began to turn red, the umpire (審判) announced that if it got too dark to continue, the game scores would be kept as they were and the match postponed until the next morning (明朝), after which the match started. The competition between these two teams (템) was one of the most interesting matches of this tournament. Hwimun harbored resentment (한) from a bitter defeat after a fierce battle with Songdo for years (잇해 동안), while Songdo would permanently keep the championship flag as a symbol of three consecutive years of victory if they won just this time. Therefore, the match between the two teams was a white-hot battle (白熱戰). After the first pair from both sides fought a long and fierce battle (猛戰), Songdo's first pair was defeated (꺽기인 후). Then, as it got dark (날이 점으러서), the remaining games were postponed to the next day, and the day's events concluded. (Recorded on the 15th)

However, there was a matter of great regret (遺憾) regarding that day's competition. It was that the court (코트) was imperfect, which became a major hindrance to the athletes' play. Due to the heavy rain the previous night, the newly made court, sadly rendering the hard work (專工) of those who built it futile, had turned into a muddy mess (진쿠렁이). Furthermore, as sunlight (햇발) was barely visible that day,<100> the court remained wet (물긔) and muddy (질쳑거리여서) until the closing, which was a great regret as every player could not fully showcase their skills (技能).

Today is the second day. Yesterday, it was thought that the court would harden (굿으리라고) by this morning, but this morning it still hadn't hardened much (굿지를 못햇다). Having no choice (하는 수 업시), it was decided to use the court at the east athletic field prepared by Hwimun until the morning. Thus, from 9:00 AM, though cramped, the matches inevitably (不得己) began. Unfortunately, because I was responsible (責任) for court management (管理), I could not watch the morning matches and thus do not know the details. However, somehow, Songdo, with their leading pair still remaining [from the previous day], was soundly defeated by Hwimun's second pair. Kwangsŏng Higher Common School lost to Yangjŏng Higher Common School, concluding the Middle School Division preliminaries. Subsequently, the Youth Division preliminary competitions began. First, Yŏnhŭi and Hwimun Trainees (徽文講習) fought, with Hwimun Trainees winning. Next, there was a match between Posŏng College and Kŭmgang, where Posŏng College reportedly suffered a crushing defeat. Afterward, as the repairs to the newly made court were finished, activities moved to the main athletic field (大運動場), and matches continued from around 1:30 PM. The match between Wŏnsan Youth and Kaesŏng Youth began, which was quite a fierce battle. Eventually, Kaesŏng was defeated and Wŏnsan won (익이엇다). With this, the first round of preliminaries ended. The winners – Kŭmgang, Hwimun Trainees, Wŏnsan – and the five organizations that advanced with byes – Hamhŭng Sports Club, All Hwimun (全徽文), Sunch'ŏn Youth, Law College, Sungsil College – combined and drew lots for the second round of preliminary matches. First, Hamhŭng and Hwimun Trainees fought (싸호게 되야), and Hwimun Trainees were soundly defeated. Second, there was a match between All Hwimun and Wŏnsan Youth, where Wŏnsan Youth was defeated. Next, there was a match between Sunch'ŏn Youth and Kŭmgang, where Kŭmgang won decisively. As it was already getting dark (날이 임의 졈으러서), the day ended, and it was decided to continue the next day. Continued on the morning of the 17th. In the match between Sungsil and Law College, Law College won decisively. Next, the third round of preliminaries began. Hamhŭng and Kŭmgang fought, with Kŭmgang winning. Then, the competition between Law College and All Hwimun (올徽文) started, and this match was truly a white-hot battle (白熱戰). All Hwimun's first pair defeated Law College's two pairs and retired with distinction (優退). Then, Law College's leading pair came out and struck down (뭇질은 후) All Hwimun's second and leading pairs. Finally, facing All Hwimun's distinguished retired pair, they barely managed to defeat them in a situation of one win and one loss (一勝一負의 형세), and Law College ultimately secured victory.

Now, all preliminaries were finished, and the finals began, starting with the Elementary School Division. However, the final matches were not very interesting (滋味가 업섯다). The match between Sŏnch'ŏn Public Primary and Posŏng Primary felt quite like watching a fight between a fierce tiger (猛虎) and a dog. Sŏnch'ŏn's leading pair didn't even have to play (出戰도 하지 못하고) as they won decisively. In the Middle School Division final between Hwimun Higher Common School and Yangjŏng Higher Common School, Hwimun's leading pair also did not have to play, as Yangjŏng suffered a crushing defeat. Next, in the Youth Division final between Law College and Kŭmgang, although the leading pairs from both sides got to play, and Kŭmgang's second pair was defeated, in the end, Law College suffered a crushing defeat as well. [Translator's note: The text says 法專이 참패를 하엿다 - Law College suffered a crushing defeat, but given Kŭmgang won the championship later, this seems like a mistake and likely meant Kŭmgang won / Law College lost.]

Thus, the competition concluded, and there was a ceremony for awarding the honorable championship flags and prizes. Among them, the Kŭmgang Tennis Club, the winner of the Youth Division, won for the third consecutive time, thus getting to keep the championship flag permanently.

Looking back at the performance records (戰跡) of the three divisions, in the Elementary School Division, the skills (技能) of the Kaesŏng Primary School students (開城普校生) were quite unified (일매졋스며) and seemed considerable. While it's unavoidable that students from Sŏnch'ŏn and Chinnamp'o Public Primary were older and larger due to different school entrance ages (입學年齡) in the provinces, it was regrettable (미안한 일) for the younger children that they were no match (적수가 되지 안는 것) for the elementary school students from Kaesŏng or Seoul. And in the Middle School Division, the Hwimun Higher Common School team, and in the Youth Division, the Kŭmgang Tennis Club, were clearly seen to be stronger (굿센 것을 알 수가 잇섯다) than the other teams.

Observing the attitude (態度) of the players and the general spectators (一般觀衆) yesterday, everyone has become more dignified (정중해졋다). Last year was better than the year before, and this year, the spirit of sportsmanship has spread many times more (몃 배나) than last year. The players' minds (精神) have become calm (冷靜해 젓스며), and the spectators' attitudes have become dignified, showing that they seem to have fully understood (이해하게 된 모양이다) that the spirit of athletic competition lies not merely in the obsession with winning and losing (勝癖), but in fighting well and competing fairly (善戰善鬪함에 잇다는 것).<101>
<100-101>

**Summary**

This 1923 article reports on the 4th All-Korea Tennis Tournament hosted by the Chosŏn Sports Association. It details the participating teams from elementary, middle school, and youth divisions across Korea, including prominent schools like Hwimun, Paejae, Posŏng, Yŏnhŭi, and Sungsil. The reporter describes the matches day-by-day, noting disruptions due to rain and poor court conditions, which hindered player performance. Key results include Sŏnch'ŏn Public Primary winning the elementary division, Hwimun Higher Common School winning the middle school division, and Kŭmgang Tennis Club winning the youth division for the third consecutive year, thus permanently keeping the championship flag. The article concludes by observing a marked improvement in sportsmanship among both players and spectators compared to previous years, emphasizing fair play over mere victory.

From a historical perspective, the article is interesting as it showcases the burgeoning organized sports scene in colonial Korea, specifically tennis, involving various educational institutions and regional youth groups from across the peninsula. It highlights the participation structure (elementary, middle, youth divisions) and the geographical reach (from Sŏnch'ŏn in the north to Sunch'ŏn, though less far south). The mention of logistical problems like weather and court conditions, alongside the explicit commentary on the improved "spirit of sportsmanship" and understanding of "fighting well and competing fairly" (善戰善鬪), offers insight into the development and perception of modern sports culture during this period, potentially reflecting broader social changes and nationalist undertones associated with physical culture under Japanese rule.

**Named Entities**

全朝鮮	전조선	Chŏn Chosŏn
朝鮮体育會	조선체육회	Chosŏn Ch'eyukhoe
宣川公普	선천공보	Sŏnch'ŏn Kongbo (Sŏnch'ŏn Public Primary School)
順天지방청년회	순천지방청년회	Sunch'ŏn Chibang Ch'ŏngnyŏnhoe (Sunch'ŏn Regional Youth Association)
咸興運動部	함흥운동부	Hamhŭng Undongbu (Hamhŭng Sports Club)
平壤崇實大學	평양숭실대학	P'yŏngyang Sungsil Taehak (P'yŏngyang Sungsil College)
鎭南浦公普	진남포공보	Chinnamp'o Kongbo (Chinnamp'o Public Primary School)
平壤光成高普	평양광성고보	P'yŏngyang Kwangsŏng Kobo (P'yŏngyang Kwangsŏng Higher Common School)
元山청년회	원산청년회	Wŏnsan Ch'ŏngnyŏnhoe (Wŏnsan Youth Association)
開城南門*法청년회	개성남문*법청년회	Kaesŏng Nammun*Pŏp Ch'ŏngnyŏnhoe (Kaesŏng South Gate * Law Youth Association - * character likely indicates missing/unclear Hanja)
開城松普	개성송보	Kaesŏng Songbo (Kaesŏng Songdo Primary/Common School, likely 松都高普 - Songdo Higher Common School)
開城第一第二普敎	개성제일제이보교	Kaesŏng Cheil Chei Pogyo (Kaesŏng First and Second Primary Education)
徽文	휘문	Hwimun (Refers to Hwimun Uisuk / Hwimun Kobo)
同講習生	동강습생	Tong Kangsŭpsaeng (Hwimun Trainees/Students)
金剛庭球部	금강정구부	Kŭmgang Chŏnggubu (Kŭmgang Tennis Club)
法學專門	법학전문	Pŏphak Chŏnmun (Law College, likely Kyŏngsŏng Law College)
延禧專門	연희전문	Yŏnhŭi Chŏnmun (Yŏnhŭi College)
普成專門	보성전문	Posŏng Chŏnmun (Posŏng College)
徽文高普	휘문고보	Hwimun Kobo (Hwimun Higher Common School)
培材高普	배재고보	Paejae Kobo (Paejae Higher Common School)
養正高普	양정고보	Yangjŏng Kobo (Yangjŏng Higher Common School)
東光高普	동광고보	Tonggwang Kobo (Tonggwang Higher Common School)
仁川公普	인천공보	Inch'ŏn Kongbo (Inch'ŏn Public Primary School)
普成初等	보성초등	Posŏng Ch'odŭng (Posŏng Primary School)
松高	송고	Songgo (Abbreviation for Kaesŏng Songdo Kobo)
光成	광성	Kwangsŏng (Abbreviation for P'yŏngyang Kwangsŏng Kobo)
全徽文	전휘문	Chŏn Hwimun (All Hwimun team)
崇實	숭실	Sungsil (Abbreviation for P'yŏngyang Sungsil College)
開城普校	개성보교	Kaesŏng Pogyo (Kaesŏng Primary School)

**Glossary**

庭球	정구	Tennis
体育會	체육회	Sports association
日就月將	일취월장	Making steady progress day by day and month by month (idiom)
括目	괄목	Paying special attention; remarkable
選手	선수	Athlete, player
小學團	소학단	Elementary School Division/Group
靑年團	청년단	Youth Division/Group
中學團	중학단	Middle School Division/Group
點考	점고	To check, review, call the roll
깁고	깊고	Deep (Older spelling of 깊고)
만흔	많은	Many (Older spelling of 많은)
열니는	열리는	Held, opening (Older spelling/form of 열리는)
왼	온	Whole, entire (Older spelling of 온)
애	에	In, at (Location particle, older form)
일우엇다	이루었다	Achieved, accomplished (Older spelling/form of 이루었다)
만헛거니와	많았거니와	Not only were there many (Older spelling/form)
만히	많이	Many, much (Older spelling of 많이)
되엿스며	되었으며	Became, were (Older spelling/form of 되었으며)
띄운	띤	Showing, displaying (Older form of 띤)
따저서	따져서	Calculating from, considering from (Older spelling of 따져서)
처서	쳐서	Counting, including (Older form of 쳐서)
하엿든	하였던	Had planned to, which was (Older spelling/form of 하였던)
뜻박게	뜻밖에	Unexpectedly
말미암어	말미암아	Due to, because of (Older spelling/form of 말미암아)
되여서	되어서	Becoming, around (time) (Older spelling/form of 되어서)
첫재로	첫째로	Firstly, as the first
相戰	상전	To fight against each other, face off
敗北	패배	Defeat
승전을 하엿스며	승전을 하였으며	Achieved victory (Older form)
물너나가니	물러나가니	As they retreated/withdrew (Older spelling/form of 물러나가니)
끗을 마치엿다	끝을 마쳤다	Finished, concluded (Older spelling/form of 끝을 마쳤다)
계속되야	계속되어	Continuing (Older spelling/form of 계속되어)
열니엿섯는 바	열렸었던 바	As it had opened/occurred (Older spelling/form)
밀우겟다는	미루겠다는	That one would postpone (Older spelling/form of 미루겠다는)
선전	선언	Announcement, declaration (Here used for 선언)
템	팀	Team (Loanword)
잇해 동안	이태 동안	For two years (잇해 is an older form of 이태)
더부러	더불어	Together with
한을 품고	한을 품고	Harboring resentment/grudge
갓게될	갖게 될	Will come to possess/have (Older spelling of 갖게 될)
꺽기인 후	꺾인 후	After being defeated/broken
점으러서	저물어서	As it got dark (Older spelling/form of 저물어서)
남어지	나머지	The rest, remaining (Older spelling of 나머지)
밀우고	미루고	Postponing (Older spelling/form of 미루고)
코트	코트	Court (Loanword for tennis court)
遺憾	유감	Regret
진쿠렁이	진구렁이	Muddy puddle, mess (Dialectal/Older form)
햇발	햇발	Sunlight, ray of sun (Possibly older usage for 햇살)
업섯든	없었던	Which did not exist, was not there (Older spelling/form of 없었던)
물긔	물기	Wetness, moisture (Older spelling of 물기)
질쳑거리여서	질척거려서	Being muddy and sticky (Older spelling/form)
오날	오늘	Today (Older spelling of 오늘)
굿으리라고	굳으리라고	That it would harden (Older spelling/form of 굳으리라고)
굿지를 못햇다	굳지를 못했다	Did not harden (Older spelling/form)
업시	없이	Without (Older spelling of 없이)
만들어 노흔	만들어 놓은	Which was made/prepared (Older spelling/form of 만들어 놓은)
不得己	부득이	Unavoidably, inevitably
옴겨가지고	옮겨가지고	Having moved (Older spelling/form of 옮겨가지고)
드대여	드디어	Finally, eventually (Older spelling of 드디어)
익이엇다	이기었다	Won (Older spelling/form of 이기었다)
싸호게	싸우게	To fight (Older spelling/form of 싸우게)
뭇질은 후	뭇찌른 후	After striking down/defeating (Older form, related to 찌르다 - to stab/pierce, here meaning defeat decisively)
優退	우퇴	Retiring with distinction (after winning matches)
一勝一負	일승일부	One win and one loss
形勢	형세	Situation, state of affairs
막고	마치고	Finishing, concluding (Here used for 마치고)
滋味	자미	Interest, fun (Lit. taste, flavor)
出戰	출전	To participate in a battle/match
戰跡	전적	Battle record, performance history
技能	기능	Skill, technique
일매졋스며	일매졌으며	Was unified, consistent (Possibly related to 한 매로 꿰다 - string together, hence unified)
入學年齡	입학연령	School entrance age
엇지	어찌	How, what (Older spelling of 어찌)
안는 것이	않는 것이	The fact that it is not (Older spelling of 않는)
미안한	미안한	Sorry, regrettable
적수가 되지 안는 것	적수가 되지 않는 것	Being no match for (Older spelling)
굿센	굳센	Strong, firm, solid (Older spelling of 굳센)
一般觀衆	일반관중	General spectators/audience
態度	태도	Attitude
정중해졋다	정중해졌다	Became dignified/polite (Older spelling/form)
낫고	낫고	Better (Older spelling of 낫고)
몃 배나	몇 배나	Many times over (Older spelling of 몇)
冷靜	냉정	Calmness, composure
젓스며	졌으며	Became (Older spelling/form of -해졌다)
안이요	아니요	Is not (Older spelling/form of 아니요)
勝癖	승벽	Obsession with winning
善戰善鬪	선전선투	Fighting well and competing fairly
理解	이해	Understanding
-e 

---------------------------


잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	全朝鮮 庭球大會를 보고
필자	一記者
기사형태	소식

全朝鮮 庭球大會를 보고
						一記者
정구대회, 정구대회, 全朝鮮 정구대회. 이것이 일년에 한 차레식 열니는 朝鮮体育會 주최로 왼 朝鮮 천지애 배달 자손들이 각각 자기 향토의 우월한 選手들을 뽑아서 출전케 하는 뜻 깁고 이로움 만흔 큰 모힘이다. 이번 대회는 第4回인바 日就月將의 형세로 한거름 두거름 발전의 길을 밟어나가서 금번에는 括目할 성황을 일우엇다. 참가단체 수도 만헛거니와 그 중에도 지방단체들이 만히 참가되엿스며 더욱이 이채를 띄운 것은 小學團의 어린 선수들이 참가한 것이다.
참가단체를 點考하면, 먼 곳으로부터 따저서 宣川公普의 小學團, 順天지방청년회의 靑年團, 咸興運動部의 靑年團, 平壤崇實大學의 靑年團, 鎭南浦公普의 小學단, 平壤光成高普의 中學團, 元山청년회의 靑年團, 開城南門*法청년회의 靑年團, 開城松普의 中學團, 開城第一第二普敎의 小學團, 서울로 처서 同을徽文의 靑年團, 同講習生의 靑年團, 金剛庭球部의 靑年團, 法學專門의 靑年團, 延禧專門의 靑年團, 普成專門의 靑年團, 徽文高普의 中學團, 培材高普의 中學團, 養正高普의 中學團, 東光高普의 中學團, 仁川公普의 小學團, 普成初等의 小學團 등이다.
