잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	一瞥 (A Glimpse)
필자	十目生
기사형태	소식 (News)

A Glimpse
						Simmoksaeng

Reforming the Affairs of the Youth Federation – By What Means Do They Plan to Build New Strength?

In recent days, which feel somewhat desolate as various individuals who advocated socialism, bustling around organizations such as the Puksŏnghoe (North Star Society), Nodong Yŏnmaenghoe (Labor League), Nodong Kongjehoe (Labor Mutual Aid Society), and Sŏul Ch'ŏngnyŏnhoe (Seoul Youth Association), have either been arrested (拘囚) or have fled (奔竄), the Seoul Chosŏn Youth Federation suddenly held an executive committee meeting, re-elected its officers, and resolved on new matters such as holding regional conferences and a tenant farmers' conference, aiming to reform its affairs. Mr. Kim Ch'ŏlsu, newly elected as the executive committee chairman this time, previously expressed a part of his aspirations through a newspaper reporter, stating that he intends to strive to work for society with a spirit of devotion (奉貢的) for justice and humanity, transcending all classes, whether proletarian or propertied.

Regarding how many youths this Youth Federation currently unites, or what it intends to do by uniting them in such a way, is not the ultimate point we wish to discuss here. However, since the association's authorities have voluntarily put forth a platform, we cannot help but say a word first.

It is said that they will transcend the propertied and proletarian classes and work for society solely from the standpoint of justice and humanity. Doesn't transcending the propertied and proletarian classes mean, in other words, working by viewing both the propertied and proletarian classes as equal counterparts, without questioning their status? And doesn't it mean, yet again, fundamentally affirming the current social phenomena and working this way or that way underneath them?

If this is indeed the case, or if this is all there is to it, isn't that platform too ambiguous and vague? Doesn't it lack any power or inspiration? Can this truly provide the new strength to cry out again to today's youth associations, which have become utterly meaningless, separate from political and social movements, as the association's officials themselves have stated?

However, there is one thing to consider here. That is, platforms, in general, should not be considered that important, and especially in our circumstances, they inevitably become so. That is to say, our platforms cannot be viewed in the same way as declarations from other places or other people. Furthermore, isn't the platform being discussed now not something formally put forward by the Youth Federation itself, but merely the opinion expressed by one member of the executive?<110>

Just as even a single rolling stone (拳石) has its origin, how could the birth of the Chosŏn Youth Federation be without meaning? In short, the Youth Federation must have already possessed some kind of principle (主義) or mission at the time of its own birth. It seems there would be no great error if it simply strives forward based on that. For now, I trouble myself with a word to pray for the meaningful development of that association (yes, it must truly be a meaningful development).

A Major Bad Precedent in the Education World? – The Principal Issue at Posŏng College

As Mr. Ko Wŏnhun, the principal of Posŏng College (普成專門學校), submitted his resignation, the school's board of directors accepted his resignation letter. However, the entire student body, asserting that there must be some hidden reason behind the acceptance of Principal Ko's resignation, initiated a movement to retain the principal and, first, declared a joint class boycott (同盟休學).

Although the school authorities vehemently declare that Principal Ko's reason for resignation is solely based on Mr. Ko's personal circumstances, third-party observations already differ, concluding that behind the scenes, there was an underlying motive by Mr. Kim Kit'ae, the representative director of the school's board, to install his confidant (心腹人).

As generally acknowledged, Mr. Ko not only served continuously at the school for over ten years, but his dedicated efforts (盡瘁) were truly utmost (至切) during the establishment of the incorporated foundation (財團法人) previously. However, causing such an issue now without any special reason, simply due to the personal feelings (私感) of some influential person (有權者), cannot be overlooked from any perspective. That is, if the school principal is changed under such hidden circumstances (裏情), this (一) sets a major bad precedent (要例) in the education world. In today's social system, among those involved in private schools, the most influential person cannot help but be the one who contributed a lot of money. If such a person, by virtue of having contributed much money, like a major shareholder in a for-profit company (營利社會), controls the entire situation within the school, and if it is deemed acceptable for them to do so, this is truly a great stain (汚點) on the education world. For Posŏng College to now set such an example is something that should not be heard by others. And (二) although Posŏng College may have completed the procedures for becoming an incorporated foundation, actually settling the affairs related to it still requires considerable time. Therefore, replacing the current principal, who is directly involved in that area, midway is also not savory (滋味스럽지 못한) for the future prospects (前程) of the school.

In short, this matter at Posŏng College, whether viewed as a social issue or<111> as an issue for the school itself, has no small impact. Therefore, not only those related to the school but also the general public need to pay close attention to how this matter unfolds.

The Results of the Vice Industry Expo – What Did It Give to Koreans?

The Chosŏn Vice Industry Expo (朝鮮副業共進會), held by throwing 200,000 yen from the insufficient budget of the Government-General, safely and successfully concluded on the 24th of last month.

It is generally understood (斟酌) that this Vice Industry Expo, after much hesitation (躕躇) due to the earthquake disaster in Tōkyō, was fortunately held amidst extreme haste and much anxiety. Perhaps because of that reason, or perhaps due to inherent insincerity from the beginning, it goes without saying that the facilities (施設) of this expo showed indescribable poverty (貧弱). Despite this, considering that it maintained such a level of activity (景況), one can see how interventionist and organized the mobilization of official power (官力) (regarding the recruitment of sightseeing groups 求景團募集) was, reaching every village (面面村村) in each region.

What influence did the Chosŏn Vice Industry Expo ultimately have on Koreans? The issue lies here. That it promoted the momentum for vice industry development – certainly, a correct statement. That it increased the revenues of the South Manchuria Railway Company (滿鐵會社) and the Kyŏngsŏng Electric Company (京電會社), and allowed the first worship service (禮拜) at the new Government-General Office Building (新總督府 廳舍) being newly built within Kyŏngbok Palace – this is also not a lie. However, there must be a statement truer than that or this. What is that statement? It is that Japanese products were advertised to Koreans in every village without special advertising fees, thereby increasing the purchasing desire (購買心) of the local people. In other words, besides the "vice job" (副業) of "vice industry promotion," this Vice Industry Expo had the "main job" (正業) of "advertising Japanese products."

Japan's power (political and economic) over Chosŏn has now become quite organized. It is a net cast in all directions (四面); one gets caught if one moves (음즉하면). It is a well placed in the middle; water flows in with a gush (수르륵 하면). There is nothing that can be done (엇지 하는 수가 업다).

People of Chosŏn! The time has come to live the most basic life (맨 밋층의 생활). It starts from now. If true resolve (참 각오) is to emerge, it will. Think about it, we once died in comfort (安樂), but now is the time to come alive in hardship (憂患). Only in hardship can we come alive.

The Anxiety (焦慮) of Japanese Living in Chosŏn

The recent earthquake disaster in Japan, which caused a loss of one-eighth of Japan's total national wealth, is above all an economic blow. Consequently, its impact directly extends to the financial world (財界) of Chosŏn, which shares the same <112> economic sphere (經濟域) as mainland Japan. This first threatens to affect the Government-General's budget and has caused disruptions in the financial circulation (金融融通) of various banks. Since the earthquake disaster, banks within Chosŏn have become extremely cautious about lending, and Chosŏn's financial world has suddenly faced difficulties (困境). Who wouldn't receive this impact, but among them, the severely affected group is the Japanese residing in Chosŏn (在朝鮮 日本人派), who strive to be highly active and exploit much. They are now frantic (눈이 벌개서 뒤도는 판이다). They are anxious (焦慮) that the foundation (根柢) of the mother country people's development in the colony might be fundamentally shaken. Their bustling (奔走) during the past October was truly spectacular. They held an Industrialists' Conference (産業者大會), a Federation of Chambers of Commerce Conference (商業會議所聯合會), and citizens' rallies (市民大會), making a fuss in various ways.

One. Do not eliminate the supplementary funds from the general account for Chosŏn.
Two. Do not change the business plans funded by public bonds (公債支辨).
Three. The government should have the special financial institutions (特殊金融機関) in Chosŏn further exert their functions to promote the easing of finance (金融緩和) in the Chosŏn financial world.
Four. Do not allow the branch banks of mainland Japan in Chosŏn to let funds deposited within Chosŏn flow out to Japan.

These few points are the focus of their desperate cries (絕叫). Particularly, the Federation of Chambers of Commerce devised three conditions: non-austerity (不緊縮) for the Chosŏn budget, completion (期成) of the Chosŏn railway network (鐵道網), and countermeasures for financial bottlenecks (金融梗基對策), and are pressing the authorities (當路者).

Of course, the Japanese entrepreneurs within Chosŏn, receiving the grand purpose (大旨) of the Japan-Korea annexation (日韓倂合), are responsible for Japanese-style development within Chosŏn. Therefore, their desires (所欲) are simultaneously the desires of the current authorities, and their discussions with the authorities are nothing more than a kind of lovers' quarrel (사랑싸홈). It goes without saying that the government will comply with their demands as far as its spare capacity (餘力) allows. The only point we wish to make is, while they are so engrossed in promoting their self-centered economic development within Chosŏn, what kind of thoughts should the Korean people have regarding this? Truly, what kind of thoughts should they have? For now, we only raise the question.

The Worsening Situation by the Sŭngŭi Girls' School Authorities – The Root of the Problem Lies There, Not Here

The entire student body of Sŭngŭi Girls' Middle School (崇義女中學校) in P'yŏngyang, managed by the missionary side of the Presbyterian Church of Jesus (耶蘇敎長老敎會 宣敎師側), excluding a few 5th-year students, staged a joint class boycott (同盟休學) citing reasons such as (一) upgrading the school's status, (二) harsh dormitory rules (同寄宿舍의 規則 苛酷), and (三) the inhumane restraint (非人格的 拘束) by the dormitory supervisor (同舍監), Ms. Najin'gyŏng (羅眞敬). <113> While awaiting a magnanimous disposition (雅量잇는 處分) from the school authorities, on the 25th of last month, the said school authorities heartlessly (無道하게) cut off the electricity and water supply as a method to expel the students still remaining in the dormitory, and sealed all dormitory doors, creating a scene of utter desolation (殺風景). Furthermore, it is reported that they declared, "The rights and wrongs of the house supervisor (舍監者) are a separate issue; the students' act of disobedience alone is wicked (납분) behavior," and they are resolved not to hesitate even to fundamentally close the school unless the students submit obediently (唯唯自服). Generally, it is acknowledged by oneself and others (自他가 共認) that schools belonging to Christian missionary management are commonly inadequate in substance (內容이 不備) and excessive in oppression (壓迫뿐이 太甚), frequently causing issues. Among these, the management of girls' schools has even more severe aspects, merely adding to the age of girls with boundless futures (萬里前程), which is lamented (慨嘆) by anyone aware of the situation there. Even if this is unavoidable for schools of that type, which primarily focus on church propagation (敎會의 宣傳), if the managers had even the slightest sincerity regarding education, it could be improved to some extent. Alas, their attitude does not arise from this. When there are direct demands from the students' side or the parents' side, they claim that Chosŏn students do not obey, or that Chosŏn people do not know gratitude (恩義), and thus practice their self-indulgent oppression and irrationality without hesitation (忌憚업서). This is truly regrettable for them, who are clergy (敎役者). And furthermore, their actions are their actions, but those who are Korean people, those who are Korean Christians (基督敎徒), must have a new general awareness and resolve regarding this. In short, if the Korean people, the Korean Christians, do not first rise up (奮起), there is no way they [the missionaries] will change either. Therefore, the root of the problem lies here [with Koreans], and not there [with the missionaries].<114>

**Summary**

This article compiles several news briefs critical of contemporary issues in colonial Korea (1923). It discusses the Seoul Youth Federation's attempt at revitalization amid socialist crackdowns, questioning its vague platform. It covers a conflict at Posŏng College where students protest the forced resignation of the principal, allegedly due to internal politics, fearing it sets a bad precedent for private education. The author critiques the recent Vice Industry Expo as primarily serving Japanese commercial interests rather than benefiting Koreans. It notes the anxiety among Japanese residents in Korea due to the economic fallout from the Great Kantō Earthquake and their lobbying efforts. Finally, it details a student strike at the missionary-run Sŭngŭi Girls' School in P'yŏngyang against harsh conditions and authoritarian management, calling on Koreans, especially Christians, to address such issues fundamentally.

From a historical perspective, the article is valuable for its snapshot of diverse social and political tensions in 1920s Korea. It highlights the nascent socialist movement and its suppression, conflicts within the Korean educational sphere (both private and missionary-run institutions), critiques of colonial economic policies perceived as exploitative, the economic anxieties linking Korea to Japan, and a call for Korean agency and self-reflection, particularly within the Christian community, in response to perceived injustices by foreign missionaries.

**Named Entities**

北星會	북성회	Puksŏnghoe
勞働聯盟會	노동연맹회	Nodong Yŏnmaenghoe
勞働共濟會	노동공제회	Nodong Kongjehoe
셔울청년회	서울청년회	Sŏul Ch'ŏngnyŏnhoe
朝鮮靑年聯合會	조선청년연합회	Chosŏn Youth Federation
金喆壽	김철수	Kim Ch'ŏlsu
普成專門學校	보성전문학교	Posŏng College
高元勳	고원훈	Ko Wŏnhun
金琪邰	김기태	Kim Kit'ae
朝鮮副業共進會	조선부업공진회	Chosŏn Vice Industry Expo
滿鐵會社	만철회사	South Manchuria Railway Company
京電會社	경전회사	Kyŏngsŏng Electric Company
景福宮	경복궁	Kyŏngbokkung
新總督府 廳舍	신총독부 청사	New Government-General Office Building
日本	일본	Japan
朝鮮	조선	Chosŏn (Korea)
崇義女學校	숭의여학교	Sŭngŭi Girls' School
崇義女中學校	숭의여중학교	Sŭngŭi Girls' Middle School
平壤	평양	P'yŏngyang
耶蘇敎長老敎會	예수교장로교회	Presbyterian Church of Jesus
羅眞敬	나진경	Najin'gyŏng

**Glossary**

一瞥	일별	A glance, a glimpse
會務	회무	Association affairs
刷新	쇄신	Reform, renovation
拘囚	구수	Arrest, imprisonment (older term)
奔竄	분찬	Fleeing, scattering (older term)
寂寞	적막	Desolation, silence
抱負	포부	Aspiration, ambition
無産者	무산자	Proletarian, propertyless person
有産者	유산자	Propertied person
曖昧漠然	애매막연	Ambiguous and vague
窮極	궁극	Ultimately, in the end
拳石	권석	A fist-sized stone; metaphor for something small but with origin
財團法人	재단법인	Incorporated foundation, legal entity
盡瘁	진췌	Utmost effort, devotion (literary)
至切	지절	Utmost, earnest, keen
惹起	야기	To cause, to provoke, to give rise to
裏情	이정	Hidden circumstances, inside story
汚點	오점	A stain, a blot, a disgrace
副業	부업	Side job, subsidiary business, vice industry
共進會	공진회	Exhibition, fair (for promotion)
躕躇	주저	Hesitation (older/literary form of 주저하다)
貧弱	빈약	Poor, meager, scanty
景況	경황	Situation, circumstances, condition (can also mean haste/panic as in 경황없다)
面面村村	면면촌촌	Every single village
官力	관력	Official power, governmental authority
求景團	구경단	Sightseeing group
禮拜	예배	Worship service (often used for Christian services)
憂患	우환	Hardship, suffering, trials and tribulations
焦慮	초려	Anxiety, worry, impatience
根柢	근저	Root, foundation, basis (literary)
奔走	분주	Bustling about, being busy
公債	공채	Public bonds, government bonds
支辨	지변	Funding, defraying expenses
梗塞	경색	Blockage, bottleneck, stalemate (here 금융경색 - financial bottleneck)
當路者	당로자	Person in authority, the authorities
倂合	병합	Annexation
所欲	소욕	Desire, want
苛酷	가혹	Harsh, severe, cruel
非人格的	비인격적	Inhumane, depersonalizing
舍監	사감	Dormitory supervisor, housemaster/mistress
逐出	축출	Expulsion, ousting
殺風景	살풍경	Desolate scene, bleakness, lack of taste
唯唯自服	유유자복	Obediently submitting
自他	자타	Oneself and others
慨嘆	개탄	Lament, deplore
恩義	은의	Favor and justice; sense of gratitude/obligation
忌憚	기탄	Hesitation, reserve, restraint (often used with 없다 - without hesitation)
奮起	분기	To rise up, to be stirred to action
-e 

---------------------------


잡지명	개벽 제41호
발행일	1923년 11월 01일
기사제목	一瞥
필자	十目生
기사형태	소식

一瞥
						十目生
청년연합회의 會務刷新-무엇으로 새로운 힘을 지을 작뎡?

北星會, 勞働聯盟會, 勞働共濟會, 셔울청년회 등의 여러 결사를 중심 삼아써 분주하던, 사회주의를 표방하던 여러 사람이 혹은 拘囚되며 혹은 奔竄하야, 얼마큼 寂寞한 감이 잇는 듯한 近日에, 서울 朝鮮靑年聯合會에서는 문득 집행위원회를 열고, 임원을 更選하며, 지방대회와 小作人大會를 개최할 것의 새 사항을 결의하야 會務를 刷新하리라 한다. 이번에 새로히 집행위원장으로 선거된 金喆壽씨는 일즉히 엇던 신문기자를 통하야, 抱負의 一端을 말하되, 無産者나 有産者나 모든 계급을 초월하야, 다못 정의 인도를 위하는 奉貢的 정신으로 사회를 위하야 일하도록 힘스고저 한다고 하얏다.
이 청년연합회가 현재에 과연 얼마나한 청년을 연합하고 잇스며, 또는 그와 가티 연합을 하야서는 무엇을 하려 함인가함에 대하여는, 여긔에 窮極히 말하고저 하는 바가 아니나, 會務 當局者로브터 자진하야 표방을 내서운 이상, 우리는 爲先 한 말을 아니해 둘 수 업다.
가로되, 有無産계급을 초월하야, 다못 정의 인도의 견지 밋헤서 사회를 위한다고 하엿다. 有無産계급을 초월한다 함은, 달니 말하면, 有産級임과 無産級임을 뭇지안코, 다- 가튼 상대자로 보아써 일하자 함이 아닌가. 또 다시 말하면 오늘날의 사회현상을 근본적으로 시인하고, 그 밋헤서 이러니 저러니 하자는 말이 아닌가.
사실 이러타 하면, 또는 이것 뿐 만이라 하면, 그 표방이 너무나 曖昧漠然하지 아는가, 아모러한 힘도 감격도 짝하지 못한 것이 아닐가. 이것을 가지고써, 능히 그 會 當務者의 말한 바와가티, 정치운동과 사회운동과 떠나 아조 무의미하게 된 오늘의 청년회에 다시 소래칠 새로운 힘을 줄 수가 잇슬가.
그러나 여긔에서 생각할 한 가지는 잇다. 대체 표방이란 그러탓 중요시할 것이 되지 못한다는 것과, 더욱히 우리네의 형편에 잇서서는, 스사로 그러케 된다는 것이다. 즉 우리들의 표방 그것으로써 다른 곳 다른 사람들의 무슨 선언과 가티 볼 수는 업다는 그것이다. 하물며 지금 말하는 표방이란 이것은 연합청년회 자신이 정식으로＜110＞ 내세운 것도 아니오, 간부 중 한 사람의 발표한 의견뿐임이리오.
한 拳石의 굴어옴에도, 그 유래가 잇거니, 朝鮮靑年聯合會의 탄생에 엇지 의미가 업서스리오. 요컨대 청년연합회는 그 자신의 출생되든 당시에 벌서 엇더한 主義, 사명을 가젓슬 것이라. 오즉 거긔예 즉하야써 정진하면, 大過가 업슬가 한다. 爲先 一言을 煩하야써, 그 회의 의의잇는 발전(그러타, 진실로 의의잇는 발전이여야 한다)을 빈다.

교육계의 一大 惡例乎-普成專門學校의 교장문제

普成專門學校 校長 高元勳씨가 교장 사임을 제출하매, 그 학교의 이사회에서는 仍히 그 사표를 修理하엿다. 그런대, 재학생 일동은, 高교장의 사임을 수리하는 이면에는 반다시 무슨 까닭이 伏在한 것이라 하아, 校長留任運動을 개시하고, 爲先 同盟休學을 선언하얏다.
高교장의 사임 이유는 單히 高氏 자신의 사정에 基함이라 햐야, 학교당국자는 극구로써 聲言하나, 제삼자의 관찰은 벌서 그러치 아니하야, 그 이면에는, 그 학교이사회의 대표이사인 金琪邰氏가 자기 心腹人을 취임케 하고저 한 내용이 잇섯는 것을 단정하게 되엿다.
일반이 공인하는 바와 가티, 高씨는 그 학교에서 十有餘年을 勤續하엿슬 뿐 아니라, 先者 財團法人을 期成할 당시 氏의 盡瘁는 실로 至切하엿던 것이다.  그런대, 이제 특별한 이유가 업시, 單히 엇더한 有權者의 私감정으로 인하야, 그와 가튼 문제를 惹起케 한다 함은, 어느 방면으로 볼지라도 그대로 看過할 바가 못된다. 즉 그러한 裏情 밋헤서 학교의 교장이 변경된다 하면, 이는 (一) 교육계에 일대 要例를 전하는 것이니, 오늘 사회제도에 잇서, 사립학교의 관계자 중, 가장 유력한 자는 스사로 돈 만히 내인 사담이 되지 아니할 수 업는대, 자기가 돈 만히 내인 形勢로써, 마치 營利社會의 대주주와 가티, 그 교내의 全情을 좌우한다 하면, 좌우해도 그만이라 하면 이야말노 교육계의 일대 汚點인바, 이제 普成專門學校에서 그 예를 선출한다 함은 가히 타인에게 들니지 못할 일이며, (二) 普成專門學校가 일즉 재단법인의 수속은 완료되엿다 할지라도 그에 대한 실지의 정리를 了함에는 오히려 幾多의 시일을 요할 것이어늘, 그 방면에 직접으로 관여한 현 교장을 중도에 更迭케 한다 함은, 그 학교의 前程을 위하야서도 滋味스럽지 못한 일이라.
요컨대 이번 普成專門의 일은, 사회문제로 보아, 또는＜111＞ 학교 자신의 문제로 보아, 그 영향되는 바가 적지 아니함이 잇슨 즉, 그 학교 관계자는 물론이오, 일반 사회에서일지라도 그 일의 되여가는 것을 극히 주시할 필요가 잇스라 한다.

副業共進會의 결과-朝鮮人에게는 무엇을 주엇나

넉넉지 못한 총독부의 예산에 20만圓의 경비를 던저가며 개최햇던 朝鮮副業共進會는 지난 24日로써 무사히 또 성황으로 막을 닷첫다.
이번 副業共進會가 東京의 震災로 인해서 여러 가지로 躕躇하다가, 극히 경황업고 불안 만흔 중에서 懇幸히 개최를 보게 된 것은 일반이 斟酌하는 바이라. 그 까달이라 할가, 본래브터의 무성의라 할가. 이번 공진회의 施設이 말할 수 업는 貧弱을 뵈엿던 것은 말 할 것도 업는 바이라. 그러함에 불구하고 그만한 景況을 유지한 것으로써 보면 각지방의 面面村村을 통한 官力의 발동(求景團募集애 관한) 이 如何히 간섭적이오 조직적이엿던 것을 알 수 잇다.
朝鮮副業共進會는 결국 朝鮮人에 무슨 영향을 주엇는가, 문제는 여긔에 잇다. 부업진흥의 기운을 촉진햇다는 것, 물론 올흔 말이다. 그 滿鐵會社 京電會社의 수입고를 늘니고, 景福宮 안에 새로 짓는 新總督府 廳舍에 제1회의 禮拜를 식혓다는 말 이것도 거짓말은 아니다. 그러나 그 보다도 뎌 보다도 더 올흔 말이 잇슬 것이다. 그 말은 무슨 말이냐. 日本의 상품을 특별한 광고료 업시 面面村村의 朝鮮人에게 광고하야 지방 사람의 구매심을 增長케 하엿다는 그것이다. 다시 말하면, 이번 부업공진회는 「부업진흥」이라는 副業이 잇슨 외에 「日本상품광고」라는 正業이 잇섯다는 그것이다.
朝鮮에 대한 日本의 세력(정치적 경제적)도 이제는 어지간히 조직적으로 되엿다. 四面에 버린 그믈이라, 음즉하면 걸니게 된다. 한 복판에 노흔 우물이라, 수르륵 하면 흘너든다. 엇지 하는 수가 업다.
朝鮮사람아 맨 밋층의 생활을 할 때는 왓다. 일노부터이다. 참 각오가 생기려면 생길 것이다. 생각하너냐 우리는 일즉히 안락에 죽어섯다, 그러나 이제는 憂患에서 살어날 때다. 오즉 憂患에서 뿐 살어날 것이다.

朝鮮에 사는 日人의 焦慮

