**Header Section:**
Magazine Title: 삼천리 第13卷 第4號
Publication Date: 1941년 04월 01일 (April 1, 1941)
Article Title: 海外文化通信 (Overseas Cultural News)
Article Type: 소식 (News/Updates)

**Body Text Translation:**

Overseas Cultural News

German Cultural Policy Conference
In Braunschweig, the German Cultural Policy Conference was held, where it was resolved that, far from reduction or suspension, all fields of culture must be greatly developed and expanded. Theaters and symphony orchestras throughout the country are active just as in peacetime, and book publishing has actually become more vigorous. Right at the beginning when the war started, only 12 out of the 172 city theaters nationwide were open, but afterwards, as Hitler's cultural encouragement (文化樊勵) became thorough, all the nation's theaters began operating, and theater renovations and new constructions increased in various places. Audience numbers have also increased since the war began, and the average annual number of performances per actor leaped from 126 before the war to 156.

Musical activities are also being carried out without interruption. The number of concert attendees has also generally increased in almost every city since the war began.

The number of publications has, since 1939, almost doubled (倍加), and literary awards are also being actively implemented. <192>
Also, on the day of this Cultural Policy Conference, the bestowal of the annual German National Prize for Literature was held as a regular event (例年의 行事). This year's awarded works (授業賞作品) are "Richter Barthold" (裁判官 발톨트) by Hans B. Naateia and "Mann vom Meer" (海의 男) by Ulrich Sander. Naateia, born in Breslau (부레스라우), is a 38-year-old writer this year who engages in creative work while serving as a lecturer at a higher normal school.

Tolstoy 30th Death Anniversary Commemoration
The 30th anniversary commemoration of Tolstoy's death was held last November, and to commemorate this, the Moscow Art Publishing House published pamphlets (판무렡) containing critiques of Tolstoy's life and works. It is said that these included not only critiques by figures such as Lenin, Gorky, and Chernyshevsky (꼴끼-체르니시에프스키), but also a portrait of Tolstoy painted by the artist Repin (레핀) of that time, and rare photographs taken in 1856 featuring Goncharov (곤챠로프), Turgenev (트르게-네프), Tolstoy, and others. ("The Times Literary Supplement," July)

German Occupation Zone
In France (佛蘭西), communication links between the German occupation zone and other regions are still almost in a state of interruption (杜絶狀態) <193> to prevent leakage of German operational secrets (作戰機密). However, postal cards (郵便葉書) of the format shown below (左) have been specially issued and provided for domestic communication.

"Date [Year Month Day]
... Healthy ... Tired ...
... Light injury (經), Serious injury, Killed in action ...
... Prisoner of war (捕虜) ... Deceased ...
... Missing in action (行方不明) ...
... Family ... Safe (無事) ...
... Food (食糧) ... Money (金錢) ... Personnel (人用) ...
... Communication ... Luggage/Parcels (荷物) ... Arrived via ...
... Working at ... Scheduled to enter X school (何某校)
... Received (受取했다) ... Going to ...
Date ...
... Signature"

(Note) Use this postcard solely to convey family news. After erasing (抹消) unnecessary text, write only in the dotted blank spaces (空白). Items violating the above (右) regulations will not be delivered and will be destroyed (破棄)."

Hemingway's New Work to be Filmed
Hemingway's new work, "For Whom the Bell Tolls" (누구 때문에 죽엄의 鍾이 유느냐), set during the Spanish War, features a young American who died fighting for the Spanish Republican government forces as its protagonist (主人公). <194> Hailed by critics as the greatest masterpiece of recent American literature, it sold nearly 500,000 copies within two months of publication, and recently it was decided that this novel will be made into a film.
The fee for the film rights (映畵化料) is said to be $150,000, which is described as a record-breaking (記錄破壞) high amount (高額) paid by a film company to an author.
History," 10th)

London Publishing World
The London publishing world, despite various hindrances due to air raids (空爆), is generally continuing its work. Recently, unbound books (未製本書籍) piled in the yard of London's largest bookbinder (製本屋) were destroyed by fire (火災). Book transactions (書籍取引) decreased by 340 percent [sic], but new customers (顧客) were gained from the soldiers' side. Meanwhile, the provinces (지방) remain as usual (평상시).

Books Published in the US over 11 Months
In America, the total number (總數) of books published in the past 11 months reached 10,106. Among these, novels numbered 1,646, biographies and autobiographies 603, literary works such as poetry, literary criticism, and essays (엣세이) 1,434, and books concerning politics, economics, and the world situation 1,570. <195>
<192-195>

**Summary**

This article compiles cultural news from various countries amidst World War II (as of early 1941). It highlights Germany's efforts to maintain and even expand cultural activities like theater, music, and publishing despite the war, portraying it as a deliberate policy. It also notes the 30th anniversary of Tolstoy's death in Moscow, communication restrictions in Occupied France via a specific postcard format, the massive success and film deal for Hemingway's "For Whom the Bell Tolls" in the US, the resilience of London's publishing industry despite air raids (though reporting a questionable 340% drop in trade), and US book publishing statistics. From a Korean colonial history perspective, the article is interesting as it presents world news likely filtered through Japanese (Axis) sources. The positive framing of Nazi Germany's cultural policy is particularly noteworthy, reflecting the political alignment of the time and offering insight into the information environment for readers in colonial Korea.

**Named Entities**

獨逸	독일	Germany
부라운 슈바이크	브라운슈바이크	Braunschweig
히틀러	히틀러	Hitler
한쓰·베·나-테이-아	한스 베 나테이아	Hans B. Naateia
「裁判官 발톨트」	재판관 발톨트	Richter Barthold
울-릴치짠다-	울리히 잔더	Ulrich Sander
「海의 男」	해의 남	Mann vom Meer
부레스라우	브레슬라우	Breslau
톨스토이	톨스토이	Tolstoy
모스코	모스크바	Moscow
레-닌	레닌	Lenin
꼴끼-체르니시에프스키	고리키-체르니셰프스키	Gorky-Chernyshevsky (Likely Gorky and Chernyshevsky)
레핀	레핀	Repin
곤챠로프	곤차로프	Goncharov
트르게-네프	투르게네프	Turgenev
佛蘭西	프랑스	France
헤밍그웨이	헤밍웨이	Hemingway
아메리카	아메리카	America
스페인	스페인	Spain
런던	런던	London
米國	미국	United States (Used in section title: 米國에서...)

**Glossary**

文化政策	문화정책	Cultural policy
거처	걸쳐	Throughout; across (older form/usage for 걸쳐)
커냥	커녕	Far from; let alone; on the contrary (older spelling of 커녕)
결의되었다	결의되었다	Was resolved
劇場	극장	Theater
交響樂團	교향악단	Symphony orchestra
盛하게	성하게	Vigorously; prosperously
樊勵	번려	Encouragement; promotion (less common Hanja term)
죄다	죄다	All; entirely
改築	개축	Renovation; remodeling
新築	신축	New construction
많어지고	많아지고	Increase; become many (older spelling of 많아지고)
비약했다	비약했다	Leapt; jumped significantly
履行	이행	Implementation; carrying out
聽衆	청중	Audience; listeners
불었다	늘었다	Increased (likely older form or typo for 늘었다)
出版物	출판물	Publications
거반	거반	Almost; nearly
倍加	배가	Doubling
시행	시행	Implementation; carrying out
例年	예년	Usual year; average year
行事	행사	Event; function
수여	수여	Bestowal; awarding
거행	거행	Holding (an event); carrying out
生涯	생애	Lifetime; life
批評	비평	Critique; criticism
판무렡	팸플릿	Pamphlet (loanword)
畵家	화가	Painter; artist
박은	찍은	Took (a photo) (older usage)
진귀한	진귀한	Rare; precious
占領地域	점령지역	Occupied territory/zone
作戰機密	작전기밀	Operational secrets
漏洩	누설	Leakage; disclosure
의연히	여전히	Still; as before (older usage for 여전히)
杜絶狀態	두절상태	State of interruption; cutoff
形式	형식	Format; form
郵便葉書	우편엽서	Postal card; postcard
提供	제공	Provision; supply
疲勞	피로	Fatigue
捕虜	포로	Prisoner of war (POW)
行方不明	행방불명	Missing in action; whereabouts unknown
無事	무사	Safety; being unharmed
食糧	식량	Food supplies; provisions
金錢	금전	Money; cash
荷物	하물	Luggage; baggage; parcels
歸着	귀착	Arrival; return
受取했다	수취했다	Received (older form 수취하다)
抹消	말소	Erasure; deletion
空白	공백	Blank space
記入	기입	Filling in; writing in
規定	규정	Regulation; rule
違反	위반	Violation; infringement
配達	배달	Delivery
破棄	파기	Destruction; disposal
舞臺	무대	Stage; setting
主人公	주인공	Protagonist; main character
絶讚	절찬	Rave review; high praise
發賣後	발매 후	After publication/release
映畵化	영화화	Filming; adaptation into a movie
映畵化料	영화화료	Film rights fee
記錄破壞	기록파괴	Record-breaking
高額	고액	High amount (of money)
空爆	공습	Air raid; bombing
지장	지장	Hindrance; obstacle; difficulty
製本屋	제본소	Bookbinder; bindery
未製本書籍	미제본 서적	Unbound books
火災	화재	Fire (incident)
소실되었다	소실되었다	Was destroyed by fire
書籍取引	서적 거래	Book trade; book transactions
顧客	고객	Customer; client
一方	한편	Meanwhile; on the other hand
지방	지방	Provinces; region; countryside
평상시	평상시	Usual times; normal times
總數	총수	Total number
엣세이	에세이	Essay (loanword)


---------------------------


잡지명	삼천리 제13권 제4호
발행일	1941년 04월 01일
기사제목	海外文化通信
기사형태	소식

海外文化通信
獨逸文化政策大會
