Magazine Title	삼천리 제7권 제3호
Publication Date	1935년 03월 01일
Article Title	新村동산에 爛然하게 핀 大梨花의 푸로폣사들, 梨花女敎授陣 (The Professors of Great Ewha Blooming Brightly on Sinch'on Hill, The Ewha Women's Professorial Staff)
Author	金八蓮
Article Type	소식 (News/Report)

The Professors of Great Ewha Blooming Brightly on Sinch'on Hill, The Ewha Women's Professorial Staff
						Kim P'allyŏn

There are eight female teachers at Ewha Womans Professional School. Of course, besides these, there are also several male teachers.
To become a professor at a professional school, one must have graduated from the highest level of schooling domestically or abroad to be qualified. Thus, we see that all these eight female teachers are graduates of universities in America.
Although there are many men's professional schools in Chosŏn, this "Ewha," as the sole women's professional school, is truly a shining and proud existence. Moreover, before the professional school ordinance was issued long ago, "Ewha" was called a "College." As a women's university, "Ewha" at that time sent out many workers into the women's society of this land. Today, most of those who are pointed out by name in society are graduates of Ewha College. Many shone brightly in education, music, or literature.

Now, Ewha is constructing a splendid and magnificent new school building in the Sinch'on forest, spending a huge sum of several hundred thousand won. In this season, March of spring, when a hundred flowers compete to bloom, amidst this forest where the pine wind blows gently,<133> like a white crane descending upon a field of green pines and white sands, it will reveal its elegant form, making the hearts of the young women of the peninsula's rivers and mountains leap. The "pride" of the young female professors holding the teaching pointer in the lecture hall of a school bearing this fine building and this fine history must be great and lofty. Anyway, let us now look at the eight female professors. The first to come into view is the already socially renowned

Ms. Kim Hwallan. Ms. Kim Hwallan must have been teaching at Ewha Professional School for over 10 years already. She is now the Vice-Principal under the Western Principal, Ms. Appenzeller, and is actually in charge of all internal and external affairs of the school. Her hometown is originally Inch'ŏn. She entered Ewha College in the same era as Ms. Pak Indŏk and others, finished all departments at Ewha with excellent grades, went to America, and graduated from Columbia University. After returning to Korea, she immediately took up teaching at her alma mater, and subsequently traveled to America several times for school affairs. Then, perhaps 5 years ago, she surprised the academic world of Chosŏn by returning with an American doctorate in agriculture.
The lady is still unmarried. She also attended the Pan-Pacific Conference held in Hawaii along with Messrs. Yun Ch'iho, Song Chin'u, and Yu Ŏkkyŏm. As a female orator, she speaks so well that today Ms. Pak Indŏk and Ms. Kim Hwallan are called the two greats.
At school, she teaches core ethics. In the lecture hall, she says things like this:
"The problems are large. There is much work. At this time, when it seems not the time for conflict, clash of opinions, or asserting self-interest, isn't our society focusing too much on small things? Aren't there many bigger problems than disputes over position and self-assertion?
Let us serve the leader. In other words, let us guide the leader with hidden strength. Let us give strength to the leader and set the direction. Only when there is support with such hidden strength can the leader solve all our problems in a unified and organized manner. A leader who receives the support of such strength will also make efforts of self-negation.
This is by no means a return to the hero worship of old times. Nor is it saying that certain individuals should become leaders and lead oppressively. What is meant here is that if we want a leader who focuses on the work and the entire group to truly achieve success in that work, we should help that leader to do that work."
From this, we can understand how sincere and lofty her words of advice to the young female students are. Her age is likely exactly 33 or 34.

Ms. Pak Mariya's hometown is Kaesŏng, Kyŏnggi Province. After finishing Holston Girls' High School, she entered Ewha Professional School, graduated with good grades, then went straight to America, finished "Peabody College for Teachers," returned, and now teaches "Ethics" and "English" at her alma mater.
Her age might be 27 or 8.
One point Ms. Pak emphasizes when advising students is the phrase "The Continuing Power of a Pressured Life" <134> (壓力的 生의 繼續力). What does this mean? "The type of pressure will differ according to individuality. Some pressures come from various difficult problems and responsibilities entangled in business (e.g., the President entrusted with the important role of a nation, or the Principal administrating a school). Other pressures can be said to come from personal expectations of work and continuous toil, for example, doctors, nurses, social workers, clergy, etc.
While there are external pressures as mentioned above, it is the internal pressure—pain, sorrow, heartbreak—that is more difficult and delivers a greater blow to people.
We live and move in this reality. In smooth life, we can easily control ourselves, but when there is severe external or internal stimulation, we are often overwhelmed by this pressure and conquered. Here, even when facing unexpected situations, we must not become the conquered, but have a way to calmly maintain the balance of the self, the appropriateness of the self, without losing it." Thus, she advises never to lose the light, whatever the time.

Ms. Kim Sinsil is a young lady originally born in Sŏul. She finished Ewha Womans Professional School and went to America, graduating from Oberlin College.
Lining up the tall professional school female students like Hu horses (胡馬 - *refers to horses from northern nomadic regions, implying tall/strong*) and commanding "one, two, one, two," nodding arms, shaking legs—this scene of physical exercise might not seem like such a pleasant task (physical education is usually something one learns and enjoys teaching in the middle school era), but Ms. Kim Sinsil's belief is different: "A beautiful national character can be cultivated through exercise. That is to say, social cooperative spirit, loyalty to the group, obedience to rules and order, respecting the authority of others, acknowledging the strengths of others, respecting others' opinions and the rules of exercise, etc. Through an orderly life of physical training, one can make good use of leisure time. Using leisure time beneficially and properly is the biggest problem of all, and there are many kinds of interesting programs for using leisure time. For example, according to individual hobbies, there are drama, literature, music, art, science, physical education, and social recreation. Specifically regarding exercise programs, encouraging intramural sports events or social recreation programs, and learning skills in various fun games allows one to utilize leisure time with sports that can be played during school days and even after growing up, such as tennis, football (풋뽈 - likely meaning volleyball or basketball in this context), badminton, pool (푸 - likely billiards), fencing (격검), boxing (권투), judo (유도). For individual exercise programs too, by cultivating skills and interest, one can use leisure time with activities one can always do alone, such as swimming, skating, skiing, mountain climbing, rowing, camping (천막생활), archery (활쏘기), tumbling (텀불링), dancing (땐싱).
Physical education also has a great influence on cultivating virtue." Thus, she stated her aspirations and vision lie in national prosperity and social cooperative spirit. These are trustworthy words. Her age is unknown.

Ms. Yun Sŏngdŏk = Siblings are both teaching at the same school, moreover in the same Music Department. The elder sister is the renowned Ms. Yun Simdŏk. She played the piano well, acted well, and then this artist of passion,<135> like "La Dame aux Camélias" (椿姬 - Tsubaki-hime), vanished while yearning for the skies of Italy, due to love and art. Following her, the younger sister, Ms. Sŏngdŏk, also returned from America and came to stand in the music department lecture hall filled with memories. The American university is remembered as likely being in "Chicago." Her hometown is P'yŏngyang, her age is also unknown, but likely around 30.

Ms. Kim Merye is also a professor in the Music Department, like Ms. Yun Sŏngdŏk. That she received much praise and popularity by playing the piano and holding a recital at the Hasegawa-chō Public Hall (長谷川町 公會堂) just the other day is still fresh in the public's memory. Her hometown is Sŏul, she graduated from Michigan State University in America, and according to someone who attended the recital that night, "She really played the piano stylishly well."

Ms. Kim Maepi is a graduate of the University of Toronto.
Her hometown is Inch'ŏn. Her age is unknown.
Among the various departments at Ewha Professional School, such as Literature and Music, only the Home Economics Department has not yet received designation (指定 - official accreditation/recognition). With the new school building being erected in Sinch'on, they are set to receive designation for the "Home Economics Department." Anyway, there is criticism that the young ladies of Ewha Professional School don't even know how to cook side dishes or mend their own skirts when they get married. Breaking free from their Western intoxication, they must be taught to know, at least by name, things like "sesame salt (께소곰), soybean paste stew (된장쩌개), garlic (마늘)," etc., and "beef bone soup (설넝탕), earthenware pot for soup (뚝박이), wooden basin (함지박)," etc., and how to make cubed radish kimchi (깍둑이) and sew padded socks (버선) worn with traditional shoes (갓신).

Ms. Song Nakkyun, born in Kangso, P'yŏng'an Province, graduated from the University of California, and is also in charge of the Home Economics Department along with Ms. Kim Maepi. Her age is unknown.

Ms. Pang Sinyŏng = Her name is too famous to require further introduction. Originally from Tokyo, her "Chosŏn Culinary Methods" (朝鮮料理製法) is extremely famous through her writings and lectures. The lady mainly teaches (Cooking - 割烹) within the Home Economics Department. However, some sharp tongues say that if you make food according to Ms. Pang Sinyŏng's "Culinary Methods," "if it's not salty, it's bland, and if it's not burnt, it's undercooked." This must just be sharp-tongued joking. Let's mostly end it here.<136>

**Summary**

This 1935 article from *Samch'ŏlli* magazine introduces eight female professors at Ewha Womans Professional School (soon to be college), highlighting its unique status as the sole institution of higher education for women in colonial Korea. It details the background of each professor, emphasizing that most were educated in the United States at prestigious universities like Columbia, Oberlin, Peabody, Michigan State, Toronto, and California. The author praises their qualifications and the school's expansion with a new campus in Sinch'on. Profiles include Kim Hwallan (Vice-Principal, PhD), Pak Mariya (Ethics, English), Kim Sinsil (Physical Education), Yun Sŏngdŏk and Kim Merye (Music), Kim Maepi, Song Nakkyun, and the famous culinary expert Pang Sinyŏng (Home Economics). The article touches upon their teaching philosophies, ranging from leadership and resilience to the importance of physical education and practical home economics skills, sometimes including anecdotal remarks or criticisms.

For historians, this article offers valuable insights into the elite education of Korean women during the colonial period, the significant influence of American missionary education and Western academic credentials, and the evolving role of women in Korean society. The profiles reveal the aspirations tied to Ewha, framing it as a source of national pride and future female leaders. The discussion around Kim Hwallan's views on leadership and Kim Sinsil's emphasis on national character through physical education subtly reflects underlying nationalistic sentiments within the constraints of colonial rule. The mention of the Home Economics department seeking official designation and the critique of students lacking practical skills also points to contemporary debates about the purpose and content of women's education.

**Named Entities**

新村	신촌	Sinch'on
梨花女子專門學校	이화여자전문학교	Ewha Yŏja Chŏnmun Hakkyo
梨花	이화	Ewha
梨專	이전	Ichŏn
亞米利加	아메리카	Amerika
朝鮮	조선	Chosŏn
金活蘭	김활란	Kim Hwallan
아펜설라	아펜설러	Appenzeller
仁川	인천	Inch'ŏn
朴仁德	박인덕	Pak Indŏk
콜롬비아 대학	콜롬비아 대학	K'ollombia Taehak (Columbia University)
布哇	포와	P'owa (Hawaii)
태평양회의	태평양회의	T'aep'yŏngyang Hoeŭi (Pan-Pacific Conference)
尹致昊	윤치호	Yun Ch'iho
宋鎭禹	송진우	Song Chin'u
兪億兼	유억겸	Yu Ŏkkyŏm
朴瑪利亞	박마리아	Pak Mariya
京畿 開城	경기 개성	Kyŏnggi Kaesŏng
好壽敦女高	호수돈여고	Hosudun Yŏgo (Holston Girls' High School)
피파틔 고등사범학교	피바디 고등사범학교	P'ibadi Kodŭng Sabŏm Hakkyo (Peabody College for Teachers)
金信實	김신실	Kim Sinsil
서울	서울	Sŏul
오버린 대학	오버린 대학	Obŏrin Taehak (Oberlin College)
尹聖德	윤성덕	Yun Sŏngdŏk
尹心悳	윤심덕	Yun Simdŏk
시카코	시카고	Sik'ak'o (Chicago)
金메례	김메례	Kim Merye
長谷川町 公會堂	하세가와초 공회당	Hasegawa-chō Kōkaidō
미시간주립대학	미시간주립대학	Michigan Churip Taehak (Michigan State University)
金袂芾	김매비	Kim Maepi
토론토 대학	토론토 대학	T'oront'o Taehak (University of Toronto)
宋樂均	송낙균	Song Nakkyun
平安道 江西	평안도 강서	P'yŏng'an-do Kangso
加州대학	가주대학	Kaju Taehak (University of California)
方信榮	방신영	Pang Sinyŏng
東京	동경	Tonggyŏng (Tokyo)

**Glossary**

푸로폣사들	프로페서들	Professors (loanword, older spelling)
게시다	계시다	To be present (honorific, older spelling)
밧게	밖에	Besides, outside (older spelling)
마추어야	마쳐야	Must finish/complete (older spelling/form)
잇게된다	있게 된다	To become able to (older spelling)
만치만	많지만	Although there are many (older spelling)
녜전	예전	Old days, formerly (older spelling)
하엿다	하였다	Did (older spelling)
만흔	많은	Many (older spelling)
업다	없다	To not exist (older spelling)
빗	빛	Light, radiance (older spelling)
만햇다	많았다	There were many (older spelling)
잇다	있다	To exist, to be (older spelling)
드리어	들여	Spending (older form)
짓고 잇다	짓고 있다	Is building (older spelling)
안즌 듯	앉은 듯	As if sitting (older spelling)
질머지고	짊어지고	Shouldering, bearing (older spelling)
놉흘	높을	Will be high (older spelling)
잇서	있어	Being (older spelling)
만타	많다	Is much/many (older spelling)
안이냐	아니냐	Is it not? (older spelling)
잇슴을	있음을	The fact that there is (older spelling)
맛치고	마치고	Finishing (older spelling)
도라나와서	돌아나와서	After returning (older spelling)
타일느는	타이르는	Admonishing, advising (older spelling)
일치 말나고	잃지 말라고	Telling not to lose (older spelling)
나열하여 노코	나열하여 놓고	Having lined up (older spelling)
한나둘	하나둘	One, two (older spelling)
껏덕껏덕	끄덕끄덕	Nodding (onomatopoeia, older spelling)
흔들흔들	흔들흔들	Shaking (onomatopoeia, older spelling)
그러치 안아	그렇지 않아	It is not so (older spelling)
잇다하엿다	있다 하였다	Said there is (older spelling)
미듬성 잇는	믿음성 있는	Trustworthy (older spelling)
들고게시다	들고 계시다	Are holding (honorific, older spelling)
밧기	받기	To receive (older spelling)
되엿다는데	되었다는데	It is said it became (older spelling)
엇잿든	어쨌든	Anyway (older spelling)
꾀매	꿰매	To sew (older spelling)
깨처서	깨쳐서	Awakening from, breaking (older spelling)
께소곰	깨소금	Roasted sesame seeds mixed with salt (older spelling/term)
된장쩌개	된장찌개	Soybean paste stew (older spelling/term)
설넝탕	설렁탕	Beef bone soup (older spelling)
뚝박이	뚝배기	Earthenware pot (older spelling)
함지박	함지박	Large wooden bowl/basin
깍둑이	깍두기	Cubed radish kimchi
당글 줄	담글 줄	How to pickle/make (kimchi, etc.) (older spelling)
갓신	갖신	Traditional leather shoes (older spelling/form for 갖신)
버선	버선	Traditional Korean padded socks
꾀줄 알게	꿰맬 줄 알게	To make know how to sew (older spelling)
마터	맡아	Taking charge of (older spelling)
안으려	않으려	Will not (older spelling)
슴겁고	싱겁고	Bland (older spelling)
긋치려	그치려	Will stop/end (older spelling)


---------------------------


잡지명	삼천리 제7권 제3호
발행일	1935년 03월 01일
기사제목	新村동산에 爛然하게 핀 大梨花의 푸로폣사들, 梨花女敎授陣
필자	金八蓮
기사형태	소식

新村동산에 爛然하게 핀 大梨花의 푸로폣사들, 梨花女敎授陣
						金八蓮
梨花女子專門學校에는 여선생이 여덜 분이 게시다. 물론 이 밧게 남선생도 여러 분이 게시다.
전문학교의 교수가 되자면 內外國의 최고학교를 마추어야 그 자격이 잇게된다. 그러기에 이 여덜 분의 여선생이 모다 亞米利加의 대학 출신들인 것을 우리는 본다.
朝鮮에는 남자의 전문학교는 만치만 女專으로 오직 유일의 이 「梨花」는 실로 빗나는 존재요 자랑할 존재라 할 것이다. 더구나 「梨花」는 녜전 전문학교령이 내리기 전에는 「칼렛지」라 하엿다. 여자대학으로서의 「梨花」는 그 때 이 땅 여성사회에 만흔 일꾼들을 내보내엇다. 오늘날 사회에서 누구누구라고 지목밧는 이의 대부분은 모다 이화대학 출신 안인 이가 업다. 교육으로 음악으로 또는 문학방면으로 빗을 떨친 이가 만햇다.
이제 이화는 신촌 숩풀 속에다가 수십만 원의 거액을 드리어 화려하고도 웅장한 새 校舍를 짓고 잇다. 봄 3월, 百花가 서로 성클이어 필 이 철에 松風이 은은히 부는 이 수풀 사이에는<133> 靑松白沙벌에 한 마리의 白鶴이 나려와 안즌 듯 그 아담한 자태를 나타내어 半島江山의 젊은 처자의 가슴을 뛰놀게 할 것이다. 이 조흔 집 이 조흔 역사를 질머지고 잇는 학교 강당에서 교편을 잡고 잇는 젊은 여교수의 「푸라우드」는 크고도 놉흘 것이다. 아무튼 이제 여덜분의 여교수를 바라보려 한다. 맨 처음으로 시야에 드러오는 이가 이미 사회적으로 저명한
金活蘭씨 = 다. 金活蘭씨는 梨專에서 교편 잡은 지가 벌서 10년을 넘으리라. 지금은 서양 교장 아펜설라씨 아래 부교장으로 잇서 실제로 학교의 내외 일을 總主務하고 잇다. 원래 고향은 인천이라. 朴仁德씨 등과 同시대의 이화대학에 드러와 이화의 전학과를 우수한 성적으로 마치고 미국으로 건너가서 콜롬비아 대학을 마치엇다. 그뒤 귀국하여 곳 모교의 교편을 잡고 잇섯는데 그뒤 수차 학교일로 미국을 여러 번 왕래하엿다. 그러다가 5년 전이 될가. 農學博士의 미국학위를 어더 가지고 도라와서 조선의 학계를 놀내이엇다.
여사는 아직 配人이 업다. 그리고 布哇에서 열닌 태평양회의에도 尹致昊, 宋鎭禹, 兪億兼씨 등과 함께 출석하엿든 일이 잇다. 여류 웅변가로 오늘날 朴仁德씨와 金活蘭씨를 兩雄이라 하리만치 연설을 잘한다.
학교에서는 주장 윤리를 가르친다. 강당에서 그는 이런 말을 한다.-
『문제는 크다. 일은 만타. 이 때에 다툼으로 의견의 충돌, 자아주장을 내세울 때가 아닌 듯 하거늘 우리 사회는 너무나 적은 것에 눈을 파는 것이 안이냐. 지위의 다툼 자아주장보다 큰 문제들이 있지 많은가.
지도자를 섬기자. 다시 말하면 숨은 힘으로 지도자를 지도하자. 지도자에게 힘을 주며 방향을 정하여 주자. 이러한 숨은 힘으로 후원하는 때에야 지도자는 통일적이며 조직적으로 우리의 모든 문제를 해결하여 줄 수 있을 것이다. 이러한 힘의 후원을 받는 자인 지도자면 자기 역시 沒我의 노력을 할 것이다.
이는 결코 옛 때의 영웅숭배로 도라가자는 것이 아니다. 어떠한 개인들이 지도자가 되여 억압적으로 지도하라는 말도 아니다. 여기에서 말하는 것은 일을 위하고 온 무리를 着眼하는 지도자가 진정 그 일의 공을 세우게 하려면 그 지도자를 도아주어 그 일을 하도록 하자는 말이다.』
이것으로 볼지라도 그가 청년 여학생에게 타일느는 말이 얼마나 진정이며 놉흔 뜻잇슴을 알 수 잇겟다. 春秋는 芳紀 正히 33, 4일 듯.
朴瑪利亞氏 = 는 京畿 開城이 그 고향이다. 好壽敦女高를 맛치고 梨專에 들어가 조흔 성적으로 졸업한 뒤 곳 미국 드러가 「피파틔 고등사범학교」를 마추고 도라나와서 지금 모교에서 「倫理」와 「英語」를 가르친다.
芳紀는 27, 8이실가
