Magazine Title:	삼천리 제15호
Publication Date:	1931년 05월 01일
Article Title:	楊子江畔에 서서 (Standing on the Banks of the Yangtze River)
Author:	洪陽明
Article Type:	기행문 (Travelogue)

Standing on the Banks of the Yangtze River
						Hong Yangmyŏng

Womb of the Newly Arising China
The turbulent, muddy flow of the great Yangtze River! It flows now as it did in ages past, without change. In its surging waters, clumps of fertile Central Plains soil, without even a moment to sink, rush day and night toward the West Sea.

Her fate, flowing and turning ceaselessly for millennia, for eons! It is truly like the Kunlun Mountains. The day she might wear away and vanish is beyond human knowledge, belonging to the realm beyond consciousness.

However, for those who cross the Yellow Sea, dyed with her colors, and come to the Central Plains—estimating her mouth's proximity by the concentration of yellow in the sea—who among them would not exclaim in admiration, "She is great! The Central Plains are vast!"?

Containing all, embracing all, discriminating none, fairly, generously holding everything in her bosom, silently, calmly flowing down—the Yangtze River! Whether in the ancient era of peace when Emperor Tianhuangshi ruled with the virtue of wood, or the Warring States period when the southeast wind fanned flames that soared to the heavens, or today in the 20th century when the common people wage guerrilla warfare (게리라戰爭) to create a Soviet (쏘벳트), at any time, her turbulent waters flow unchanged, brushing past the fertile fields of the Central Plains that nourish 400 million people, transporting the waste excreted by 400 million people—the Yangtze River!

She is truly the main artery and the great urinary tract of the venerable Central Plains, the symbol of chaotic Chinese society.

The Huangpu River—this small intestine within the great excretory system that is the Yangtze River—is where Shanghai, her China's lung, **** [text missing/obscured].

But how unfortunate she has been. In her, China's lung, the tangled suckers of malignant imperialist bacteria (帝國主義菌) are deeply rooted. <9>

The forest of warships and merchant ships flying dozens, hundreds of Stars and Stripes, Union Jacks, Hinomaru, Tricolours, etc., the gliding launches, the junks (戎克) like ancient slave ships ("Hurrah!"), the thousands of sampans... all are arrayed with this intention.

An astonishing gathering. A chaotic waterscape blending the 18th and 20th centuries.

Huangpu Bund—Nanjing Road
The newcomer, astonished by the immense number of large and small boats gathered on the Huangpu River, lands at Shanghai's largest wharf, the Huangpu Bund (黃浦灘), only to roll their eyes wide at the teeming, maggot-like throng of people.

Between directing curious gazes at the turbaned Indian police, the conical-hatted Annamese soldiers, and the pungent animal body odor of numerous Yankees (양코), the newcomer is already completely surrounded by the onslaught of swarming rickshaws (黃包車). If they manage to shout "Buyao!" (不要 - Don't want!) forcefully enough, playing the brief part of an old-timer, it might work; otherwise, while they hesitate even slightly,

"Dào shá dìfāng qù?" (등 사듸팡취아 - Where are you going?)
—comes the cry, and the newcomer's luggage is already loaded onto a rickshaw. The disordered competition of countless rickshaws! The uncontrolled nature of Chinese society!

The congested bustle near Sichuan Road and Beijing Road! If you ignore the traffic policeman's "Go, Stop" signals and walk cluelessly, eight or nine times out of ten, you will discover yourself groaning alone in a hospital corner some ten minutes later.

Nanjing Road (南京路)—Shanghai's Broadway and Montparnasse—stand quietly in a corner of Nanjing Road and observe the passersby.

Gentlemanly, sly, high-nosed British, Shanghai's privileged class; playful and recklessly brave American sailors; arrogant French; shabby Russians; greedy Jews; Filipinos (뿌릿빈人) imitating Yankees; Indians; Annamese; Japanese—people of all kinds, different colors, different languages, different appearances, mixed with a majority of Westernized Chinese and countless conservatives in traditional Eastern style, form a blended human race exhibition. It is a cosmopolitan city. A variant of the world. A miniature map! An epitome of the globe. The London of the East—one immediately nods in agreement that such descriptions are not unreasonable. However, seeing how each individual, backed by the power of their respective nations, acquired concessions, and the armies, warships, and state power protecting them, competes mutually, and how the power of each nation flows as an undercurrent centered on Shanghai, it is, in fact and in consciousness, a city assembled of extreme nationalistic individualists.

From the perspective of sovereignty and control, Shanghai is also virtually a nation unto itself. While Shanghai <10> is undoubtedly part of Chinese territory, the various foreign concessions are entirely outside the bounds of Chinese national governance, politically and economically. Needless to say about the French Concession, but considering the International Settlement, which occupies most of the concession area, politically it is under the international control of a governing body called the International Settlement Municipal Council (共同租界 工部局), a kind of small-scale, variant state. In political science terms regarding China, it occupies the position of *imperium in imperio*.

French Park
The famous French Park (佛蘭西公園), known for its history of posting a notice saying "Chinese and dogs not admitted," now allows anyone entry if they buy a one-yuan annual pass. The saying that Chinese, the natives of the country, cannot enter is a thing of the past. Nowadays, if things go wrong, on the day extraterritoriality is abolished and concessions are actively retroceded, these civilized people might instead see a notice stating:
"Foreigners are prohibited from entering Chinese territory."
However, I regret that I have yet to find a single oversensitive Yankee (양코백이) packing their bags and putting up "House for Sale" advertisements these days.

Liberte (自由) Egalite (平等) Fraternite (博愛)
As it is a park in the French Concession where the Tricolour, symbolizing these three slogans, flies, it is a park deeply connected to Koreans, where the footprints of thousands upon thousands of passionate Korean youth and long-standing pioneers are imprinted. This is still true today. The current Korean resident population in the French Concession is about 900.

Lie down on the lawn of the French Park for just a couple of hours, and you are bound to meet one or two Korean compatriots (*胞). It is a small but well-kept, clean park. Here, one can always have the honor of viewing dozens or hundreds of the finest examples of pretty French beauties, the most numerous Russian women, and Westernized new women of China. Among them, couples strolling arm in arm are certainly sights a solitary stroller should avoid viewing, but they are unavoidable here. Perhaps picking up a cute Western child's rolling ball and giving it back, then feeling pleased as if having done a great deed, saying "Come on!" cheerfully, is something that breaks the boredom of the solitary stroller? However, even in the French Concession, there is no Fraternite for communists. <11>

Insŏng School and the Inspector (Ticket Inspector)
This is an elementary school that teaches the children of resident Korean compatriots. It has over 70 students. Growing up overseas, moreover in the most Westernized metropolis in the East, their appearance and everything about them are extremely cheerful and pretty. The principal is Kim Tubong (金枓奉), one of Korea's foremost scholars of the Korean language. It is maintained by the efforts of compatriots in Shanghai's particular occupations: over 60 compatriots working as ticket inspectors for the foreign tram company, another 60 working as supervisors for the bus company, and over 50 working as conductors for the bus company.

Americanism on Avenue Joffre
One afternoon around 3 PM on Avenue Joffre (霞飛路), the central area of the French Concession, two American sailors, dead drunk, are making a scene on the street. Since the vicinity is a residential area for over ten thousand White Russians (白系 露人), hundreds of Russians gather around, making sport of the American soldiers who, drunk to the point of unconsciousness, get smeared with dirt, lie down and get up on the street, randomly kicking forwards and backwards, displaying their reckless bravado.

"Durak, Amerikanskiy!" (두락코, 아메리깐스끼 - Fool, American!)
"Ebitvoyumat'!" (이빗도요마찌 - F*** your mother!)
Some shout such insults. It stealthily feels like a matter concerning the honor of the American military.

Several US sailors approach from over there, pass by pretending not to notice. Another group of US sailors comes by, sees the drunken spectacle, stands blankly, laughs, and leaves. Seeing the drunken display, the two soldiers then get into someone else's car and start acting foolishly (지압을 벌닌다). The Russkies (투스끼) roar with laughter or curse.

Another group of US soldiers just looks and passes by. An officer also just looks and leaves.

I was surprised by the leisurely indifference of the American soldiers. Truly, *kkŭit'ensanagabichwiiida* (끠텐사나가비취이다 - unclear phrase, possibly nonsense or corrupted foreign phrase). It is night at the Café Reishin.

To observe the lifestyle and atmosphere of the White Russians concentrated on this street, I went with Chŏn Mugil (全武吉), who happened to be here, into the Russian Café Reishin, which specializes purely in Russian customers. Hundreds of Russian men and women were drinking vodka (윗까) etc., under the chandeliers (샨떼리아). When the jazz band (째쯔 뺀드) struck up, the saloon (살룬) transformed into a dance floor. The band finished. They returned to their seats to drink and eat. The band continued again. Another foxtrot (팍스튜로트). Occasionally, the Charleston (촬스톤) or Fandango (팬당고) was performed on stage. Eating, dancing, dancing, eating—thus it went without rest. "Eat, spin round and round, <12> eat, spin round and round. It's quite dull (싱겁소). Let's go,"
said Chŏn Mugil, and after settling the bill (삘) in clumsy Russian, we left. The life of the White Russians, pursuing momentary, instantaneous satisfaction without hope, ideals, or principles of life—a life akin to death throes (斷末魔的)—is said to be worsening day by day. Yet, it is a miracle that they somehow maintain three daily newspapers.
"Vsyo ravno, odin funt khleba... krasnyy... chyornyy" (쇼-로노, 아진푼트, 흐레브... 크라스늬... 초르노이 - It's all the same, one pound of bread... red... black), these people say.

Nighttime Shanghai is a City of Demons
The characteristic that a city's true face is revealed nakedly at night is perhaps most typical of Shanghai.

Shanghai at night! It is truly where a grand panorama of the night procession of a hundred demons (百鬼夜行) unfolds, and all social evils are enacted more profoundly than anywhere else. Befitting its name as the Paris or Chicago of the East, pleasure and crime flow from one extreme to the other.

As the criminologist Lombroso (로부소) said, pleasure deepens when it deviates from the rule of law; in this respect, Shanghai, where the rule of law is extremely lax, is a globally blessed city. Open opium dens (阿片窟), gambling, multifaceted brothels (賣淫窟), countless street prostitutes (野雞) on the roads at night, dog racing (競犬), dancing (舞跳)—to detail the dark side of this demonic city of Shanghai would require a separate opportunity, so I will omit it here. However, among the countless popular dance halls (딴스홀), three are managed by Koreans. Among Café Venus, Café Eden, and Café Bacchus on Hongjiang Road (虹江路?), the first is jointly managed by a Jewish person and a Korean named Joseph Edward Reed (쪼세프,에드,워드,리드) (born here, raised among Westerners, clumsy in Korean), and it is large-scale, accommodating hundreds of people with dozens of Korean, Japanese, Russian, and Chinese dancers (딴서) and a Filipino (比律賓) orchestra.

And so, we who pursue momentary satisfaction mechanically continue the rhythm of frenzy night after night, following the disordered noise of the passionate, frivolous (도후리스的), irrational jazz band, characterized by the saxophone's (색소픈) sound—like a plea, like weeping, like laughter—and the explosive beat of the large drum (太鼓). The number of Korean women (朝鮮女子) who have drifted into these streets of frenzy from here and there, wildly moving their hips and feet as dancers, has reached the astonishing number of 30. The aforementioned Venus has 5, and at another dance hall called New Babylon (뉴,바비리욘), Yi Wŏrhwa (李月華), once a star (花形) of the Chosŏn Theater (朝鮮劇場), is working as a dancer. I have not yet had the chance to investigate their backgrounds.

The city of demons is just now coming alive, but for the sake of tomorrow, one must sleep tonight for now. (Continued in next issue) <13>

**Summary**

This 1931 travelogue by Hong Yangmyŏng describes Shanghai as a chaotic, cosmopolitan, and dangerous city, the "womb" of modern China but heavily influenced and exploited by foreign powers. The author observes the overwhelming foreign presence (flags, ships, people, concessions), the stark contrasts between modernity and tradition, immense wealth and poverty, and the rampant social ills (crime, prostitution, opium, gambling) thriving in the city's largely ungoverned spaces, particularly at night. He notes the distinct communities, including Westerners, White Russians living a life of despair, and a significant Korean presence, detailing their occupations (inspectors, conductors), community institutions (Insŏng School led by Kim Tubong), and involvement in the city's nightlife (dance halls, dancers like Yi Wŏrhwa). The article portrays Shanghai as a microcosm of global power struggles and societal decay, yet also a place of dynamic, if dangerous, life.

For historians of Korean colonial history, this article is valuable for its firsthand account of the Korean diaspora community in Shanghai during a critical period. It highlights their integration into specific niches of the Shanghai economy (transport inspectors, nightlife), their efforts to maintain community and education (Insŏng School, Kim Tubong), and the presence of individuals from different backgrounds, including cultural figures (Yi Wŏrhwa). The author's perspective as a Korean colonial subject observing the dynamics of imperialism, nationalism (both Chinese and foreign), and social change in Shanghai offers insights into the complex identities and experiences of Koreans abroad during this era. The mention of Koreans managing and working in dance halls, including former actresses, also sheds light on the diverse and sometimes morally ambiguous paths taken by Koreans navigating life in this treaty port.

**Named Entities**

楊子江	양자강	Yangtze River
崑崙山	곤륜산	Kunlun Mountains
黃海	황해	Yellow Sea
中原	중원	Central Plains / China
西海	서해	West Sea
天皇氏	천황씨	Tianhuangshi
黃浦江	황포강	Huangpu River
上海	상해	Shanghai
印度	인도	India
安南	안남	Annam (Vietnam)
黃浦灘	황포탄	Huangpu Bund (The Bund)
四川路	사천로	Sichuan Road
北京路	북경로	Beijing Road
南京路	남경로	Nanjing Road
英國人	영국인	British person
아메리카	아메리카	America / American
佛人	불인	French person
露人	노인	Russian person
猶太人	유태인	Jewish person
뿌릿빈人	필리핀인	Filipino person
日本人	일본인	Japanese person
東洋	동양	East / Orient
共同租界	공동조계	International Settlement
共同租界工部局	공동조계 공사국	International Settlement Municipal Council
佛租界	불조계	French Concession
佛蘭西公園	불란서공원	French Park (Fuxing Park)
朝鮮	조선	Korea / Joseon
仁成學校	인성학교	Insŏng School
金枓奉	김두봉	Kim Tubong
霞飛路	하비로	Avenue Joffre (Huaihai Road)
露西亞	노서아	Russia / Russian
全武吉	전무길	Chŏn Mugil
카페 레-신	카페 레신	Café Reishin
巴里	파리	Paris
치카고	시카고	Chicago
로부소	롬브로소	Lombroso
虹江路	홍강로	Hongjiang Road (or Hongkou Road)
카페븨너스	카페 비너스	Café Venus
카페에덴	카페 에덴	Café Eden
카페박가스	카페 박카스	Café Bacchus
쪼세프,에드,워드,리드	조셉 에드워드 리드	Joseph Edward Reed
比律賓	비율빈	Philippines
뉴,바비리욘	뉴 바빌론	New Babylon
李月華	이월화	Yi Wŏrhwa
朝鮮劇場	조선극장	Chosŏn Theater
洪陽明	홍양명	Hong Yangmyŏng

**Glossary**

楊子江畔	양자강반	Bank of the Yangtze River
新興中國	신흥중국	Newly arising China
母胎	모태	Womb / Origin
濁流	탁류	Muddy stream
녯이나	옛날이나	Whether in the past (old spelling)
업시	없이	Without (old spelling)
잇다	있다	To be (old spelling)
澎湃	팽배	Surging / Roaring
沈潛	침잠	Sink and hide / Subside
다름질친다	달음박질치다	To run fast (old form)
流轉	유전	Flow and turn / Cycle
彼女	그녀	She / Her (used poetically for river/China)
다라저	닳아서	Wearing away (old form)
埒外	埒外	Outside the bounds / Beyond the pale (Hanja term)
아구리	아귀	Mouth / Estuary (colloquial/slightly vulgar)
近接	근접	Proximity / Approach
推定	추정	Estimate / Infer
含有	함유	Contain
包容	포용	Embrace / Tolerate
判別	판별	Distinguish / Discriminate
흘너 네리는	흘러내리는	Flowing down (old form)
太古	태고	Ancient times
沖天	충천	Soar to the sky
쏘벳트	소비에트	Soviet (loanword)
賤民	천민	Lowly people / Commoners
게리라戰爭	게릴라전쟁	Guerrilla warfare (loanword + Hanja)
沃野	옥야	Fertile fields
스치고	스치고	Brushing past
배앗는	배설하는/빼앗는	Excreting / Taking away (uncertain original meaning, likely 'excreting' based on context; spelling is archaic/unusual)
堆廢物	퇴폐물	Waste matter / Excrement
大動脈	대동맥	Aorta / Main artery
大泌尿管	대비뇨관	Large urinary tract (figurative)
混沌	혼돈	Chaos / Confusion
象徵	상징	Symbol
大排泄系	대배설계	Large excretion system
허페	허파	Lungs (colloquial/old spelling)
惡性	악성	Malignant / Vicious
帝國主義菌	제국주의균	Imperialist bacteria
亂麻	난마	Tangled hemp / Chaos
吸盤	흡반	Suction cup / Sucker
뿌리집히 네리워 잇다	뿌리박혀 내려와 있다	Is rooted down (old form)
林立	임립	Stand densely like a forest
滑走	활주	Glide / Slide
런치	런치	Launch (boat - loanword)
戎克	융크	Junk (Chinese boat)
삼판	삼판	Sampan (small boat)
排列	배열	Arrange / Line up
聚集	취집	Gathering / Assembly
水上雜景	수상잡경	Miscellaneous water scene
雲集	운집	Gather like clouds
新參者	신참자	Newcomer
碼頭	마두	Wharf / Pier
구데기	구더기	Maggot (used derogatorily for crowd)
우굴우굴하는	우글우글하는	Teeming / Swarming
人衆	인중	Crowd / Populace
雜踏	잡답	Throng / Bustle
굴닌다	굴린다	To roll (one's eyes) (old spelling)
手巾	수건	Towel / Turban
巡警	순경	Police patrolman
삿갓	삿갓	Traditional conical hat
兵丁	병정	Soldier / Private
양코	양코	Yankee / Westerner (derogatory loanword)
薰薰한	훈훈한	Pungent / Strong-smelling (nuance often negative here)
蝟集	위집	Swarm like hedgehogs
黃包車	황포차	Rickshaw
不要	불요	Buyao (Chinese: 'Don't want')
古參者風	고참자풍	Like an old-timer / veteran
寸間劇	촌간극	Brief moment's play / act
奏効	주효	Be effective
旣어니와	기어니와	Besides / Let alone (old form)
럭게지	러기지	Luggage (loanword)
설니워 잇는	실리어 있는	Is loaded (old form)
非統制性	비통제성	Lack of control / Unregulated nature
混雜	혼잡	Congestion / Confusion
직히고	지키고	Observing / Keeping (old spelling)
눈치업시	눈치없이	Without quick wit / Cluelessly (old spelling)
呻吟	신음	Groan / Moan
뿌로드웨이	브로드웨이	Broadway (loanword)
모빠르너스	몽파르나스	Montparnasse (loanword)
往來人	왕래인	Passersby
點考	점고	Check / Count
紳士風	신사풍	Gentlemanly style
능청맛고	능청맞고	Slyly / Deceitfully (old spelling)
蠻勇	만용	Reckless courage / Bravado
驕慢	교만	Arrogant / Haughty
너절한	너절한	Shabby / Squalid
慾心	욕심	Greed / Avarice
석겨	섞여	Mixed (old spelling)
混然	혼연	Mixed / Blended
人種展覽會	인종전람회	Human race exhibition
코스모포리단	코즈모폴리턴	Cosmopolitan (loanword)
縮圖	축도	Reduced scale map / Miniature
縮寫體	축사체	Abbreviated form / Epitome
膾炙됨	회자됨	Become widely known / talked about
首肯	수긍	Nod assent / Agree
利權	이권	Rights and interests / Concessions
暗流	암류	Undercurrent
國家的 個人主義者	국가적 개인주의자	Nationalistic individualists
租界	조계	Concession / Settlement
埒外	埒外	Outside the bounds (Hanja term)
工部局	공사국	Municipal Council (term for concession administration)
變體國家	변체국가	Variant form of a state / Anomalous state
노-틔스	노티스	Notice (loanword)
부첫다는	붙였다는	That was posted (old spelling)
法權撤廢	법권철폐	Abolition of extraterritoriality
租界回收	조계회수	Retrocession of concessions
積極化	적극화	Become active / Intensify
文明人	문명인	Civilized person (often used ironically)
도리혀	도리어	Rather / Instead (old spelling)
보찜 싸고	보따리 싸고	Packing up belongings (보찜 is old form of 보따리)
내부친	내붙인	Posted / Put up (old spelling)
神經過敏	신경과민	Oversensitive / Nervous
양코백이	양코배기	Yankee / Westerner (derogatory loanword variant)
遺憾	유감	Regret
博愛	박애	Fraternity / Universal Love
날니는	날리는	Flying (old spelling)
피끌는	피 끓는	Blood-boiling / Passionate (old spelling)
靑年	청년	Youth
先驅者	선구자	Pioneer / Forerunner
足跡	족적	Footprints
찍히여 잇는	찍혀 있는	Are imprinted (old spelling)
深切한	심절한	Deep / Close
居留民	거류민	Resident (foreign)
잔듸밧	잔디밭	Lawn / Grassy field (old spelling)
드러누어	드러누워	Lying down
*胞	동포	Compatriot (likely 同胞)
반다시	반드시	Surely / Certainly (old spelling)
規模잇³	규모 있는	Having scale / Well-organized (old form)
깨긋한	깨끗한	Clean (old spelling)
어엽분	어여쁜	Pretty (old spelling)
歐米化	구미화	Westernized
新女性	신여성	New Woman
粹	수	Essence / Best part
拜觀	배관	View / Observe (honorific)
마조끼고	마주 끼고	Linking arms (old form)
忌避	기피	Avoid / Shun
貴여운	귀여운	Cute (old spelling)
깨트리는	깨뜨리는	Breaking (old spelling)
콤뮤니스트	코뮤니스트/공산주의자	Communist (loanword)
子弟	자제	Children / Sons and daughters
가르키는	가르치는	Teaching (old spelling)
**욱이	더욱이	Moreover (likely typo correction)
歐化	구화	Europeanized / Westernized
毛色	모색	Appearance / Character (lit. fur color)
입부다	예쁘다	Pretty (old spelling)
屈指	굴지	Leading / Prominent
朝鮮語學者	조선어학자	Korean language scholar
틔케트, 인스펙터	티켓 인스펙터	Ticket inspector (loanword)
車票監督	차표감독	Ticket supervisor
뻐스會社	버스회사	Bus company (loanword + Hanja)
車掌	차장	Conductor
泥醉	이취	Dead drunk
銘酊	명정	Drunkenness / Intoxication
白系 露人	백계 노인	White Russian
人事不省	인사불성	Unconscious
무치고	묻히고	Getting smeared with (old spelling)
드러 누엇다가	드러누웠다가	Lying down (old spelling)
이러낫다가	일어났다가	Getting up (old spelling)
압발질	앞발질	Kicking forward
뒷발질	뒷발질	Kicking backward
놀님감	놀림감	Object of ridicule / Plaything
몰니어 서잇다	몰려서 있다	Gathered and standing (old form)
罵倒	매도	Abuse / Vilification
본체 만체	본체만체	Pretending not to see
우드커니	우두커니	Vacantly / Blankly
지압을 벌닌다	지랄을 벌인다	Making a scene / Acting foolishly (지압 likely means 지랄; 벌닌다 is old form of 벌인다)
투스끼	루스키	Russki (Russian person - loanword, possibly derogatory)
悠長한	유장한	Leisurely / Unhurried
놀내엿다	놀랐다	Was surprised (old spelling)
끠텐사나가비취이다	?	Unclear phrase (possibly nonsense or corrupted foreign phrase)
雰圍氣	분위기	Atmosphere
先日	선일	The other day / Recently
純露人客	순 노인객	Purely Russian customers
專門	전문	Specializing in
드레가 보앗다	들어가 보았다	Went in to see (old form)
샨떼리아	샹들리에	Chandelier (loanword)
밋헤서	밑에서	Under (old spelling)
윗까	보드카	Vodka (loanword)
째쯔 뺀드	재즈 밴드	Jazz band (loanword)
울녀 나올 때	울려 나올 때	When it rings out (old form)
살룬	살롱	Saloon / Hall (loanword)
舞踏場	무도장	Dance hall
끗친다	끝난다/그친다	Ends / Stops (old spelling)
도라와	돌아와	Returning (old spelling)
팍스튜로트	폭스트롯	Foxtrot (loanword)
촬스톤	찰스턴	Charleston (dance - loanword)
팬당고	판당고	Fandango (dance - loanword)
추고	추고	Dancing
쉬임이 업다	쉼이 없다	There is no rest (old form)
삥삥 돌고	빙빙 돌고	Spinning around and around
싱겁소	싱겁소/싱겁습니다	It's bland / uninteresting (dialectal/old polite form)
서투른	서투른	Unskilled / Clumsy
露語	노어	Russian language
삘	빌	Bill / Check (loanword)
버렷다	버렸다	Did (auxiliary verb, here 'left') (old spelling)
斷末魔的	단말마적	Death agony-like / Final throes
쇼-로노, 아진푼트, 흐레브... 크라스늬... 초르노이	프쇼 라브노, 아진 푼트 흘레바... 크라스니... 초르니	Vsyo ravno, odin funt khleba... krasnyy... chyornyy (Russian: It's all the same, one pound of bread... red... black)
한근	한 근	One geun (unit of weight)
붉엉이나	붉으나	Whether red (old form)
妖魔	요마	Demon / Monster
眞相	진상	True state / Reality
赤裸裸하게	적나라하게	Nakedly / Openly
百鬼夜行	백귀야행	Night procession of a hundred demons / Pandemonium
演出	연출	Performance / Staging
社會惡	사회악	Social evil
엇더한	어떠한	Any kind of (old spelling)
深刻	심각	Serious / Profound
犯罪學者	범죄학자	Criminologist
法治	법치	Rule of law
離脫	이탈	Breakaway / Deviation
深化	심화	Deepening / Intensification
緩慢	완만	Slow / Sluggish
