잡지명	개벽 제16호
발행일	1921년 10월 18일
기사제목	十月의 古今 (October's Past and Present)
기사형태	잡저 (Miscellany)

十月의 古今 (October's Past and Present)

1st Confucius is born (Year Keng-hsü of King Ling of Zhou).

3rd Un'yang Kim Yun-sik is born (440th year of Kaeguk).

8th Empress Myŏngsŏng, Lady Min, is assassinated (32nd year of Kojong, Year Ŭlmi).

12th Columbus crosses the Atlantic Ocean and discovers Cuba (玖馬) and the islands of Haiti (하이치).

13th At the International Meridian Conference, the Greenwich (끄리니치) meridian of the British Observatory is made the Universal Prime Meridian (1884).

15th German philosopher Nietzsche is born (1889) [Note: Nietzsche was born in 1844, not 1889].

16th Irish poet Oscar Wilde is born (1854).
His Sayings:
The past and present are not important. We shall only touch the future. The past is sought only for what is useless to people, and the present is sought only for what people cannot do without. The future is truly the place where the artist will live.

17th The Kapsin Coup occurs along with the Post Office completion banquet, and on the following day, the cabinet of Kim Ok-kyun's faction is formed. (21st year of Kojong).

18th French philosopher Bergson is born. (1859)
His Sayings:
We are free when our actions emanate from our whole personality, when they express it, when they possess that indefinable resemblance to it which one sometimes finds between the artist and his work (作品).

20th Kojong ascends the Wŏn'gu Altar, performs rites to Heaven, assumes the imperial throne, and proclaims the country name as Taehan (Great Han Empire) and the era name as Kwangmu.
On the same day, His Highness Crown Prince Ŭn of the Yi Royal Family is born.

21st British Naval Admiral Nelson dies in battle. (1805)
His dying words:
Thank God, I have done my duty (余는 余의 任務를 盡하얏다).

26th An Chung-gŭn shoots Itō Hirobumi dead at the Harbin station platform. (3rd year of Yunghŭi).

27th Japan's Yoshida Shōin is executed. (6th year of Ansei).

28th Founder of Ch'ŏndogyo, Master Suun Ch'oe Che-u is born. (433rd year of Kaeguk).
On the same day, the Hwangsŏng (Seoul) Young Men's Christian Association is established. (7th year of Kwangmu).

29th The Bank of Korea (韓國銀行), the predecessor of the current Bank of Joseon (朝鮮銀行), is established. The establishment of this bank, along with the Oriental Development Company established the previous year, was the beginning of economic management regarding Korea and was Itō Hirobumi's final policy. (3rd year of Yunghŭi).
On the same day, Japan's Liberal Party holds its formation ceremony. (14th year of Meiji).
Folk song = composed by Komuro Kutsuzan
In heaven, be a spirit of freedom; on earth, be a person of freedom. Freedom, oh freedom! Ah! Freedom, between you and me is the promise of Heaven, Earth, and Nature.

31st Luther advocates for the Religious Reformation. (1517)
<145>

**Summary**

This article from the Korean magazine *Kaebyŏk* (개벽) in 1921 lists significant historical events associated with the month of October. It presents a chronology mixing major figures and events from Korean history (Confucius's birth year based on Zhou dynasty, Kim Yun-sik, assassination of Queen Min, Kapsin Coup, Kojong's declaration of the Korean Empire, birth of Crown Prince Ŭn, An Chung-gŭn's assassination of Itō Hirobumi, birth of Ch'oe Che-u, establishment of Seoul YMCA and Bank of Korea/Oriental Development Company) with those from world history (Columbus, Greenwich Meridian, Nietzsche, Oscar Wilde, Bergson, Nelson, Yoshida Shōin, Japanese Liberal Party, Martin Luther). Quotes from Wilde, Bergson, Nelson, and a Japanese folk song about freedom are included. For historians, the article is interesting as it reveals how a Korean publication during the colonial period constructed a historical narrative for its readers, juxtaposing recent traumatic national events (Queen Min's assassination, Kapsin Coup failure, colonization implicitly linked to Itō, the Bank of Korea, and Oriental Development Company) alongside world events and figures associated with philosophy, art, exploration, and political change (including freedom and revolution). The inclusion of An Chung-gŭn and the explicit mention of Itō Hirobumi's role in establishing economic control mechanisms are particularly notable reflections of Korean consciousness under Japanese rule.

**Named Entities**

孔子	공자	Kongja / Confucius
雲養金允植	운양김윤식	Un'yang Kim Yun-sik
明成皇后 閔氏	명성황후 민씨	Myŏngsŏng Hwanghu Min-ssi
高宗	고종	Kojong
콜럼보쓰	콜럼버스	K'ollŏmbossŭ / Columbus
玖馬	쿠바	Kuma / Cuba
하이치	하이티	Haich'i / Haiti
英國 天文臺	영국 천문대	Yŏngguk Ch'ŏnmundae / British Observatory
끄리니치	그리니치	Kkŭrinich'i / Greenwich
獨逸	독일	Togil / Germany
니쳬	니체	Nich'ye / Nietzsche
愛蘭	애란	Aeran / Ireland
오스카-,와일드	오스카 와일드	Osŭk'a-, Wailldŭ / Oscar Wilde
金玉均	김옥균	Kim Ok-kyun
佛國	불국	Pulguk / France
벨구손	베르그송	Pelgusoni / Bergson
圜邱	원구	Wŏn'gu
大韓	대한	Taehan / Great Han Empire
李王世子 垠陛下	이왕세자 은폐하	Yi Wangseja Ŭn Pyeha / His Highness Crown Prince Ŭn of the Yi Royal Family
英海軍將	영해군장	Yŏng Haegunjang / British Naval Admiral
넬손	넬슨	Nelsoni / Nelson
安重根	안중근	An Chung-gŭn
伊藤博文	이토 히로부미	Itō Hirobumi
哈爾賓驛頭	하얼빈 역두	Harbin Yŏkdu / Harbin Station Platform
日本	일본	Ilbon / Japan
吉田松陰	요시다 쇼인	Yoshida Shōin
天道敎	천도교	Ch'ŏndogyo
水雲先生 崔濟愚	수운선생 최제우	Suun Sŏnsaeng Ch'oe Che-u
皇城基督敎靑年會	황성기독교청년회	Hwangsŏng Kidokkyo Ch'ŏngnyŏnhoe / Seoul YMCA
朝鮮銀行	조선은행	Chosŏn Ŭnhaeng / Bank of Joseon
韓國銀行	한국은행	Han'guk Ŭnhaeng / Bank of Korea
東洋拓殖會社	동양척식회사	Tongyang Ch'ŏksik Hoesa / Oriental Development Company
自由黨	자유당	Jiyūtō (Japanese Liberal Party)
小室屈山	코무로 쿠츠잔	Komuro Kutsuzan
루터	루터	Rut'ŏ / Luther

**Glossary**

古今	고금	Past and Present
誕生하다	탄생하다	To be born
生하다	생하다	To be born (older verb form)
被弑되다	피살되다	To be assassinated
橫斷하다	횡단하다	To cross
發見하다	발견하다	To discover
子午線	자오선	Meridian
普通	보통	Common, Universal
哲學者	철학자	Philosopher
詩人	시인	Poet
錄語/綠語	녹어	Recorded words, sayings (likely 錄語)
重要한	중요한	Important
다못	다만	Only, merely (older form)
未來	미래	Future
接觸할	접촉할	Will contact, will touch
過去	과거	Past
잇서	있어	Being, existing (older spelling of 있어서)
쓸대 업는	쓸데 없는	Useless (older spelling)
찻고	찾고	Seeking, finding (older spelling)
現在	현재	Present
잇지 아니할 수 업는	있지 아니할 수 없는	Indispensable (older spelling)
찻다	찾다	To seek, find (older spelling)
藝術家	예술가	Artist
살을 곳	살 곳	Place to live (older form)
郵政局	우정국	Post Office
落成宴	낙성연	Completion banquet
가티	같이	Like, together with (older spelling)
政變	정변	Political coup
起하며	일어나며	Arising, starting (older form)
翌日	이길	The next day
一派	일파	Faction
內閣	내각	Cabinet
成하다	성하다	To be formed, completed
吾人	오인	We, us (archaic/literary)
行爲	행위	Action, deed
全人格	전인격	Whole personality
表現하는	표현하는	Expressing
言語	언어	Language
說明치 못할	설명하지 못할	Inexplicable (older form)
類似	유사	Resemblance
即	즉	Namely, that is
作品	작품	Work (of art)
間에	간에	Between
때때로	때때로	Sometimes
認함과 가튼	인정함과 같은	Like that which is recognized (older form)
自由	자유	Freedom
登하야	등하여	Ascending (older form)
祭하고	제하고	Performing a ritual/sacrifice
皇帝位	황제위	Imperial throne
卽하며	즉위하며	Ascending (the throne) (older form)
國號	국호	Country name
年號	연호	Era name
陛下	폐하	His/Her Majesty/Highness
海軍將	해군장	Naval Admiral
戰死하다	전사하다	To die in battle
臨終語	임종어	Dying words
謝하노니	사하노니	I thank (older form)
余	여	I, me (archaic/literary pronoun)
任務	임무	Duty, mission
盡하얏다	진하였다	Fulfilled, completed (older spelling)
銃殺하다	총살하다	To shoot dead
處刑되다	처형되다	To be executed
元祖	원조	Founder, originator
先生	선생	Teacher, Master
設立되다	설립되다	To be established
全身	전신	Predecessor (organization)
共히	같이/함께	Together with (older form)
對한	대한	Regarding
經濟經營	경제경영	Economic management
其始	기시	Its beginning
最後	최후	Final, last
設策	시책	Policy, measure
結黨式	결당식	Party formation ceremony
行하다	행하다	To perform, carry out
俚謠	이요	Folk song
作	작	Work, composition (by)
한울	하늘	Heaven, sky (older spelling)
鬼神	귀신	Spirit, ghost
될지라	될지어다	May one become, shall be (older optative form)
天地自然	천지자연	Heaven, Earth, and Nature
約束	약속	Promise
宗敎改革	종교개혁	Religious Reformation
唱하다	창하다	To advocate, propose
-e 

---------------------------


잡지명	개벽 제16호
발행일	1921년 10월 18일
기사제목	十月의 古今
기사형태	잡저

十月의 古今
1日 孔子-誕生하다(周靈王庚戌)
3日 雲養金允植이 生하다(開國440年)
8日 明成皇后 閔氏가 被弑되다(高宗32年 乙未)
12日 「콜럼보쓰」 - 大西洋을 橫斷하야 玖馬 及「하이치」諸島를 發見하다.
13日 萬國子午線會議에서 英國 天文臺 「끄리니치」 子午線을 萬國普通子午線으로 하다(1884).
15日 獨逸哲學者 「니쳬」가 生하다(1889)
16日 愛蘭詩人 「오스카-,와일드」가 生하다(1854)
그의 錄語
過去와 現在는 다 重要한 것이 아니다. 우리는 다못 未來에뿐 接觸할 것이다. 過去는 사람에게 잇서 쓸대 업는 것 뿐으로써 찻고 現在는 사람에게 잇지 아니할 수 업는 것뿐으로써 찻다. 未來야말로 藝術家의 살을 곳이다.
17日 郵政局 落成宴과 가티 甲申政變이 起하며 그 翌日로써 金玉均 一派의 內閣이 成하다.(高宗21年)
18日 佛國哲學者 벨구손이 生하다.(1859)
그의 綠語
吾人의 行爲가 吾人의 全人格으로부터 나오는 때, 全人格을 表現하는 때, 全人格과 그의 言語로써 說明치 못할 類似, 即 藝術家와 作品의 間에 때때로 認함과 가튼 類似의 點을 가지는 때, 그때에 吾人은 自由이다.
20日 高宗이 圜邱에 登하야 天에 祭하고 皇帝位에 卽하며 國號를 大韓, 年號를 光武라 하다.
同日 李王世子 垠陛下-誕生하다.
21日 英海軍將 「넬손」이 戰死하다.(1805)
그의 臨終語
神에게 謝하노니 余는 余의 任務를 盡하얏다.
26日 安重根이 伊藤博文을 哈爾賓驛頭에 銃殺하다.(隆熙3年)
27日 日本 吉田松陰이 處刑되다.(安政6年)
28日 天道敎 元祖 水雲先生 崔濟愚-誕生하다.(開國433年)
同日 皇城基督敎靑年會가 設立되다.(光武7年)
29日 今 朝鮮銀行의 全身인 韓國銀行이 設立되다. 이 銀行의 設立은 그 前年에 設立된 東洋拓殖會社와 共히 朝鮮에 對한 經濟經營의 其始이며 伊藤博文의 最後 設策이엇다. (隆熙3年)
同日 日本 自由黨이 結黨式을 行하다.(明治14年)
俚謠=小室屈山의 作
한울에는 自由의 鬼神이 되고 땅에는 自由의 사람이 될지라, 自由여 自由, 아! 自由여, 너와 나와 그 사이는 天地自然의 約束이라나
31日 「루터」- 宗敎改革을 唱하다.(1517)＜145＞
＜145＞
