Magazine Title: 개벽 제37호
Publication Date: 1923년 07월 01일
Article Title: 隨聞隨見 (As Heard and Seen)
Author: Not specified
Article Type: 세태비평 (Social Commentary)

隨聞隨見 (As Heard and Seen)

The Praiseworthy Japan-Korea Harmonization Policy of Mr. Saitō
Governor-General Saitō, who had gone to attend the funeral of his former feudal lord out of unforgettable gratitude for past favors, returned safely to his post in early June. Among his remarks upon returning was a maxim, a Japan-Korea harmonization policy praiseworthy beyond compare in the world. Specifically, regarding the migration of Koreans to Japan, he stated, "Korean laborers have low wages, are obedient, and their efficiency is gradually increasing. They readily engage in low-class labor that Japanese people most detest, such as cleaning toilets and sewers. Therefore, it is preferable to welcome them rather than needing to exclude them. (Middle part omitted - original text) Furthermore, if Japanese people residing in Japan were to relocate to the relatively undeveloped Korea and engage in its development, the realization of co-existence and co-prosperity for Japanese and Koreans could be foreseen," and so on. Right, that's it. Does Japan-Korea harmonization mean that Koreans go to Japan only to clean toilets and sewers, while Japanese come to Korea, seize the Koreans' fertile fields and fine rice paddies, and live comfortable lives in tall buildings and grand mansions? Your words are truly those of a Governor-General ruling Korea, words confessed from the conscience, nakedly discarding all the falsehoods that successive Governors-General have spoken about working for the happiness of Koreans. This must indeed be the great plan for Japan-Korea co-existence and co-prosperity.

The Habitual Cunning of the Wealthy
Viscount Min Yŏnghwi clearly stated this spring to Mr. Yi Sŭnghun, associated with the Chŏngju Osan School, that he would fund the construction of the school building. He even requested secrecy, saying that if this fact were published, requests for donations from various places would flood in. Mr. Yi, believing the Viscount's words as firmly as iron and stone, went down to Chŏngju, prepared the architectural plans for the school, and visited the Viscount. However, the Viscount just played Go with a certain close friend, pretending not to see him. Only after 30 minutes did he finally stop the sharp clicking sound of the Go stones, open his mouth, and bring up the school building issue. In the end, despite his previous promise, the Viscount coolly refused. Ah, is this not the habitual cunning of the wealthy?

Promoting Athletics or Promoting Fundraising?
Recently, athletic meets like soccer tournaments and tennis tournaments hosted by various organizations are being held frequently. On the surface, this seems to greatly encourage physical education. However, looking behind the scenes, participating organizations are burdened with costs exceeding the actual expenses, and high admission fees are charged to spectators, showing a purely profit-oriented flavor. It is questionable whether engaging in profit-seeking activities under the guise of promoting sacred physical education<77> is appropriate. This matter requires more awakening and attention.

The Frightening Japanese "China Carts"
Recently, small two-wheeled horse carts have been seen frequently kicking up dust on the streets of Kyŏngsŏng. This is the work of two Japanese men, Yagi Kichi (207 Chŏksŏn-dong) and Tomiyama Takeshige (29 Suŏyŏng-jŏng), who will seemingly jump into a trap if there's profit involved. They purchased 30 "China carts" (支那馬車) and are using Chinese drivers to transport passengers. Their business area covers Kyŏngsŏng city, Inch'ŏn, Suwŏn, and the Uidong area. The fare is 20 chŏn for two passengers within 5 chŏng (approx. 545m), with an additional 3 chŏn for each extra chŏng. A full day costs 4 wŏn 50 chŏn, half a day 3 wŏn, and one hour 50 chŏn. The fares are relatively cheap, and it is said many people are riding them, perhaps drawn by the novelty of the two-wheeled horse carts. Since this is just the beginning, it's unknown what the impact will be yet, but if, as the operators plan, hundreds more carts are purchased and put into use, several hundred Korean rickshaw pullers could lose their livelihood overnight. This is a major crisis for the labor world.

A Second Dr. Kubo
Not long after the death of Kubo, who once stirred up controversy by insulting Koreans as barbarians, a "Second Kubo" incident has occurred at Kanggyŏngp'o Public Commercial School. A teacher at the school named Kayahara (茅原), known to be inherently ill-natured, constantly refers to Korean students as barbarians or rebellious subjects whenever something displeases him. He even stated that if he had the authority to carry out death sentences, he would chop off the heads of all Koreans. Unable to contain their indignation, the Korean students submitted a petition to the principal requesting Teacher Kayahara's replacement, but this was ignored. Consequently, students from the 2nd and 3rd years began a joint school strike on June 25th, and 1st-year students are also planning to join, making the situation reportedly quite intense. For a Japanese educator engaged in so-called assimilation education, it is advisable to issue an order for immediate dismissal (退朝令) to anyone with such a不良 (poor) disposition uttering absurd and reckless remarks. One wonders how the authorities will handle this.

A Proliferation of the Strange
Currently, many bizarre religions are emerging in Korea, but the aliases of their leaders are even stranger. In Pot'yŏn'gyo (普天敎), there lies hidden Ch'a Ch'ŏnja (車天子 - "Car Son of Heaven"); in Sit'yŏn'gyo (侍天敎), Kim Ch'ŏnja (金天子 - "Kim Son of Heaven"); and in Kaksegyo (覺世敎), Ku Ch'onggam (具總監 - "Director-General Ku"). How strange can it get?<78>
<77-78>

**Summary**

This article from the July 1923 issue of *Kaebyŏk* magazine presents a series of critical observations on contemporary Korean society under Japanese rule. It satirically dissects Governor-General Saitō's "harmonization" policy as a means to exploit Korean labor for menial jobs in Japan while Japanese colonize Korea's resources. It recounts an instance of a wealthy Korean nobleman breaking a promise to fund a school, criticizes sports events for prioritizing profit over actual athletic promotion, highlights the economic threat posed to Korean rickshaw pullers by new, cheaper Japanese-run horse carts, and reports on a Japanese teacher's racist remarks leading to a student strike. The article concludes by noting the proliferation of new religions with leaders adopting grandiose titles. From a historical perspective, the article offers a raw, critical Korean viewpoint on colonial policies, social inequalities, economic anxieties caused by Japanese enterprise, and the pervasive racism faced by Koreans, even within the educational system supposedly aimed at assimilation. Historians might find the specific examples of Saitō's rhetoric, the details of the horse cart business (fares, routes), the naming of individuals involved in conflicts (Min Yŏnghwi, Yi Sŭnghun, Kayahara), and the mention of specific new religious movements particularly valuable for understanding the social, economic, and cultural tensions of the period.

**Named Entities**

齋藤	사이토	Saitō
日本	일본	Japan
朝鮮	조선	Korea / Chosŏn
閔泳徽	민영휘	Min Yŏnghwi
定州	정주	Chŏngju
五山學校	오산학교	Osan School
李昇薰	이승훈	Yi Sŭnghun
八木吉	야기 기치	Yagi Kichi
積善洞	적선동	Chŏksŏn-dong
富山武盛	도미야마 다케시게	Tomiyama Takeshige
壽榮町	수영정	Suŏyŏng-jŏng
支那	지나	China
京城府	경성부	Kyŏngsŏng Prefecture (Seoul)
仁川	인천	Inch'ŏn
水原	수원	Suwŏn
牛耳洞	우이동	Uidong
久保	구보	Kubo
江景浦	강경포	Kanggyŏngp'o
公立商業學校	공립상업학교	Public Commercial School
茅原	가야하라	Kayahara
普天敎	보천교	Pot'yŏn'gyo
車天子	차천자	Ch'a Ch'ŏnja
侍天敎	시천교	Sit'yŏn'gyo
金天子	김천자	Kim Ch'ŏnja
覺世敎	각세교	Kaksegyo
具總監	구총감	Ku Ch'onggam

**Glossary**

隨聞隨見	수문수견	As heard and seen; observations
可尙	가상	Praiseworthy; commendable
日鮮融和策	일선융화책	Japan-Korea Harmonization Policy
赴하얏던	부하였던	(He who) went to attend (older verb ending)
歸任談	귀임담	Remarks upon returning to one's post
格談	격담	Maxim; wise saying
嫌忌	혐기	Dislike; aversion; detestation
便所	변소	Toilet; lavatory (older term)
下水溝	하수구	Sewer; drain
轉住	전주	Relocate; move residence
開拓	개척	Development; reclamation; pioneering
共存共榮	공존공영	Co-existence and co-prosperity
畓	답	Rice paddy; wet field
奪取	탈취	Seizure; usurpation; plunder
高樓巨閣	고루거각	Tall buildings and grand mansions
狡猾	교활	Cunning; sly; crafty
富豪	부호	Wealthy person; magnate
常習	상습	Habitual practice; common trick
踏至	답지	To arrive in great numbers; flood in
附托	부탁	Request; entrustment (older form of 부탁)
鐵石	철석	Iron and stone (metaphor for firmness/reliability)
設計書	설계서	Plan; blueprint; design document
丁丁	정정	Sharp repetitive sound (onomatopoeia, here for Go stones)
落子聲	낙자성	The sound of placing a Go stone
不拘	불구	Despite; notwithstanding
獎勵	장려	Encouragement; promotion
收金	수금	Collecting money; fundraising
內幕	내막	Inside story; behind the scenes
負担	부담	Burden; bear (costs)
觀覽者	관람자	Spectator; viewer
營利的	영리적	Profit-oriented; commercial
可恐	가공	Frightening; dreadful
支那馬車	지나마차	"China cart"; two-wheeled horse-drawn cart
雙頭馬車	쌍두마차	Two-wheeled horse cart (lit. 'double-headed horse cart', likely referring to the two wheels or perhaps shaft arrangement)
陷井	함정	Trap; pitfall
臺	대	Counter for vehicles/machines
馭者	어자	Driver (of a horse-drawn vehicle)
賃金	임금	Fare; wage
丁	정	Unit of distance (approx. 109m)
圓	원	Won (currency unit, pre-1945 Yen equivalent)
錢	전	Chŏn (1/100th of a Won)
人力車軍	인력거군	Rickshaw puller(s)
一朝	일조	Overnight; suddenly (lit. 'one morning')
生業	생업	Livelihood; occupation
勞働界	노동계	The world of labor; labor circles (older spelling of 노동계)
恐惶	공황	Panic; crisis; consternation
惹起	야기	To cause; stir up; provoke
未久	미구	Not long after; shortly after
敎員	교원	Teacher; instructor (older term for 교사)
不良	불량	Bad; poor; ill-natured
恒常	항상	Always; constantly
野蠻人	야만인	Barbarian; savage
亂臣賊子	난신적자	Rebellious subjects and villainous sons (Confucian term for traitors/rebels)
執行	집행	Execution; carrying out
憤	분	Indignation; anger; resentment
陳情書	진정서	Petition; appeal
不聽	불청	To not listen; ignore; disregard
同盟休學	동맹휴학	Joint school strike; organized boycott of classes
形勢	형세	Situation; state of affairs
猛烈	맹렬	Fierce; intense; violent
同化敎育	동화교육	Assimilation education
加斯히	가스히	Like this; such (older adverbial form)
根性	근성	Nature; disposition; spirit (often negative nuance)
悖談忘言	패담망언	Absurd and reckless remarks; preposterous talk
退朝令	퇴조령	Order for dismissal (lit. 'order to withdraw from court')
當局	당국	The authorities; officials concerned
措處	조처	Handling; measure; disposition (older spelling of 조치)
奇怪百出	기괴백출	All sorts of strange things appearing; proliferation of the bizarre
宗敎	종교	Religion
敎主	교주	Religious leader; founder of a sect
假名	가명	Alias; pseudonym
總監	총감	Director-General; Superintendent-General
伏在	복재	To lie hidden; be concealed
-e 

---------------------------


잡지명	개벽 제37호
발행일	1923년 07월 01일
기사제목	隨聞隨見
기사형태	세태비평

隨聞隨見
可尙한 齋藤君의 日鮮融和策
