Magazine Title: 개벽 제54호
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 大豆特産地 安邊郡 (Grand View of Hamnam Towns, Anbyŏn County: A Specialty Soybean Producing Area)
Author: Not specified
Article Type: 소식 (News/Report)

South of Wŏnsan, the view opens dramatically onto the Anbyŏn Plain (安邊平野). (It ranks third among the plains of Hamgyŏngnam-do). However, Anbyŏn County (安邊郡) as a whole cannot but be called a mountain county (산읍). Its east, west, and south sides border the four counties of Kangwŏn Province: T'ongch'ŏn (通川), Hoeyang (淮陽), Ich'ŏn (伊川), and P'yŏnggang (平康). Along these borders, great mountains such as Sŏlsu (雪水), Hwangnyong (黃龍), P'ungnyu (風流), and Masang (麻桑), and lofty ridges like Punsu (分水), Tongsa (東莎), Ch'ŏllyŏng (鐵嶺), Ch'ŏnghak (靑鶴), Ch'uga (楸柯), Sŏrŭm (雪陰), and Paktal (朴達) rise in a ring, forming a great natural fortress.
It already possesses a long history as Piryŏlhul (比列忽) or Ch'ŏnsŏng (淺城) of Koguryŏ, and as Piryŏl-chu (比列州) or Saktchŏng-hyŏn (朔庭縣) of Silla. The fact that it became the Anbyŏn Protectorate (安邊都護府) from the time of King Hyŏnjong of Koryŏ hints at its importance as a key point for national defense.
The administrative district comprises 7 myŏn and 203 tongni, with 10,513 households and a population of 61,370. The total area is 68 square ri. (Japanese 473, Chinese 24, Foreigners 2) <91>
Educational institutions include 3 public common schools, 8 private schools, and 2 Japanese elementary schools. Religions include Buddhism, Protestantism (耶蘇敎), Catholicism, and Ch'ŏndogyo (侍天敎), but among these, Buddhism seems to have many adherents, likely due to the lingering influence of the famous Sŏkwang Temple (釋王寺). Next are Protestants with about 500 members, and Catholics with about 270. Ch'ŏndogyo barely maintains its name, hovering between existence and non-existence. In reality, it appears the Confucian scholar faction (유림 일파), centered around the local Hyanggyo (향교), holds the central influence.
As for society, even considering it's a mountain county, it is truly pathetic. One can guess the public sentiment by observing that there was not even a stir during the March First Movement (己未運動) that swept through all of Chosŏn. It is also disgusting that in the county seat (읍내) of about 340 households, they have kept the Youth Association (청년회) signboard up for four years just to save face (脾胃좃케). Perhaps they intend to simply live drunk and die dreaming (醉生夢死), as more than half of those aimlessly wandering the streets, regardless of age, are red-faced drunks (紅面兒). Because of this, business for the brewing companies (two in the county seat) is very good. Furthermore, it seems to have become customary for people to indulge in Go and gambling (碁博) instead of reading newspapers and magazines. Anbyŏn figures, is it not because your society is so withered (萎靡) and corrupt that a fiend (魔物) like Ch'oe Talbin (崔達斌) rampages and tramples (橫行 蹂躪) upon you? (More on the Ch'oe Talbin matter below)
Regarding the state of living, the products of the mountains and fields have relatively allowed for a frugal life where income meets expenses. However, with the black hand (黑手) of the Oriental Development Company (東拓) and the increase of Japanese and Korean landlords (日鮮人 지주) in the last ten years, the future cannot be viewed optimistically. Although it welcomes 30,000 to 40,000 sightseers (探勝客) annually thanks to scenic spots like Sambang (三防) and Sŏkwang Temple, there is still not a single local specialty product that benefits Anbyŏn's economy. (Only the food and liquor vendors seem to make a living (糊口) from this, but even then, the profitable parts are taken by the Japanese).
Within the county, only Sin'gosan (新高山) shows hope for future development. Before the railway opened, it was a desolate village (孤村) of only three households and a stretch of wasteland; now it has become a large village (대촌락) of over 400 households. Products from Hoeyang, Ich'ŏn, and parts of P'yŏnggang (pine nuts (柏子), hemp cloth (麻布), soybeans (大豆), timber (木材)) gather and disperse centered around Kosan (高山), making its commercial prospects promising. Moreover, the town lacks an air of vanity (浮華), and the young people are diligent and thrifty (근검), showing much spirit for improvement. The local youth association has established a night school (야학) and is constructing a hall (회관) (currently under construction), planning for much future development.
Regarding notable individuals, while I regret not being able to seek out each one, it is also regrettable that there are few "orchids in hidden valleys emitting fragrance" (芳香을 吐하는 幽谷의 蘭). In the county seat, Mr. Chang Ch'an'gyu (張燦圭) seems to be struggling alone, panting with effort. Since the environment is so desolate (冷落함), the fact that he sighs long and short breaths (長吁短歎) several times a day is worthy of sympathy. For sincerity and charitable spirit (慈善心), Kim Wŏnsŏp (金元燮) is mentioned. (In the Imsul year [1922], when famine struck due to crop failure (凶作), he distributed Annam rice worth over a thousand won to compatriots on the brink of starvation (기아에 濱한 동포에게). <92> Since he was not originally a wealthy man (재산가), those who received aid erected a commemorative stele (송덕비) praising his extraordinary charitable act (자선사업). However, is it not a small shame (수치) for Mr. Kim that he did not prevent that so-called commemorative stele?) In Kosan, Mr. Yi Taeyong (李大用) is a prudent and pragmatic (務實的) businessman who strives for the youth society, which is commendable (가상한 일), and Mr. Kang Yŏnggyun (姜英均) is also a very promising young man. Individuals like Yi Chaejo (李載朝) of Wiik-myŏn, Yi Pyŏngjae (李炳宰) of Ando-myŏn, and Yi Ch'unjae (李春載) of Munsan-myŏn, who make great efforts for educational institutions for the future of the region and the children of farming villages, are very appreciated figures.
When one mentions Anbyŏn, anyone would associate it with Sambang Mineral Springs (三防藥水) and Sŏkwang Temple (釋王寺). In the mountains at an elevation of a thousand feet, waterfalls (飛瀑) hang suspended high in the air (고공에 懸하고), and amidst the dense, verdant forests (蒼鬱한 林木) that reach the extreme of secluded beauty (幽邃의 致), there is also the famous mineral spring. It is no wonder it draws crowds (人山) in the long summer (長夏). However, the stench of money (銅臭) associated with villas (別莊) and the like is rather sickening (비위가 적이 상한다).
To think that thanks to Muhak's (無學) auspicious dream interpretation for Yi T'aejo (李太祖), the grand Sŏkwang Temple was built beneath Sŏlbong Mountain (雪峰山) and thrived for five hundred years, one cannot help but feel the passage of time (滄桑의 감). The ancient green pines (창연한 노송) piercing the heavens (天을 叅하고) and the autumn maples of Kŏmbong (劍峰) dazzling the eyes truly make one contemplate leaving the mundane world (斷俗의 念). The water tumbling over white rocks (白石) and the moon coldly reflected in painted pavilions (畵閣) seem to silently illuminate (寂照함) news from the heavens (諸天). Furthermore, the seclusion (幽邃함) of hermitages (庵) like Naewŏn (內院), Hyangjŏk (香積), Paengnyŏn (白蓮), Anyang (安養), and Pomun (普門) makes one completely forget worldly thoughts (塵念을 頓忘케 한다). Filling one's belly with mineral water (鑛泉) and tasting the local specialty, pine mushrooms (송이), is enough to make one not envy the immortals (신선). The piles of name plaques (명패) on Yŏngwŏl-ru Pavilion (暎月樓) and the rows of guesthouses (客館) at the village entrance rather make the famous scenic spot (名區) seem vulgar (속되게 함). However, from this, one can also guess how numerous the visitors are.
Kahak-ru Pavilion (駕鶴樓) in the county seat is a structure from the Silla King Hyosŏng era, and Haksŏng Mountain Fortress (學城山城) on Haksŏng Mountain (鶴城山) was built during the Silla King Hyoso era; these are prominent historical sites (고적) of Anbyŏn.
Next, I will write a bit about Kim Ch'angjun (金昌濬), a wealthy young man counted among the foremost in the county. He holds onto the wealth his grandfather and father extorted (착취한 재산) from the people during their time as county magistrates (其父 金鴻稷 尙在 - His father Kim Hongjik is still alive), and far from looking after human society, his exploitation (착취) of tenant farmers worsens year by year (年復年甚). (If someone shows up bearing even a chicken or a bundle of herring (닭마리 靑魚뭇), the transfer of tenancy rights (소작권 異動) happens at his whim). He even oppresses and expels (압박 驅逐) his own propertyless relatives without hesitation (기탄업시). Recently, as a measure to protect his household, he has turned about 80 farming households into watchdogs (守門犬) for his house under the name of a so-called Self-Defense Corps (자위단). Pitiful souls (可憐兒)! Lend your ears and listen to the sound of the funeral bell (弔鍾). "When Songdo fell, the Pulgasari (불가살이); when Anbyŏn falls, Ch'oe Talbin (崔達斌)" - this is an Anbyŏn folk rhyme. That man, originating from a shaman-diviner background (巫卜出身), flattered those in power (권문), used the Ilchinhoe (一進會), and served as county magistrate for Pukch'ŏng and Anbyŏn. However, even after serving six years in prison for embezzling Imperial Grant funds (恩賜金) (from the former Korean Empire), it seems insufficient, as his wickedness (사악) grows daily under the signboard of chairman for the Confucian Way Promotion Society (儒道振興會) and the National Association (國民協會). Recently, Mr. Chang Ch'an'gyu, in cooperation with the Confucian Association (儒林會), distributed accusatory leaflets (聲討文), which became an issue, and it is said he has been brought to public trial for violating publishing laws and defamation.
Also, regarding the Anhang Irrigation Association (案鶴水利組合), whenever the water rises just a bit, the so-called construction work vanishes into thin air (烏有). If so, when will completion ever occur?
(During the flood of Taishō 11 [1922], the supervisor [上甲?] fled, and in the flood of August 12 [1923], it collapsed again, causing about 100,000 won in damages, and this year it washed away [壤流하얏다]). <93>

**Summary**

This 1924 article provides a critical overview of Anbyŏn County in Hamgyŏngnam-do. It describes its geography as mountainous despite the Anbyŏn Plain, its long history, and current administrative/demographic stats. The author laments the social apathy, widespread drinking, and gambling, contrasting it with the lack of participation in the 1919 Movement. The economy relies on basic agriculture, but faces threats from Japanese colonial entities like the Oriental Development Company and increasing absentee landlordism. While tourism to Sŏkwang Temple and Sambang Springs brings visitors, it yields little local economic benefit. Sin'gosan is noted as a developing area due to the railway. The article praises a few individuals for their public spirit (Kim Wŏnsŏp, Yi Taeyong, educator figures) while sharply criticizing the exploitative landlord Kim Ch'angjun and the corrupt former official Ch'oe Talbin, linking him to the Ilchinhoe and embezzlement. The piece concludes by mentioning the repeated failures of the Anhang Irrigation project.

For historians, the article offers a valuable contemporary perspective on rural Korean society under Japanese rule. It highlights social problems (apathy, alcoholism), economic transformations (Japanese encroachment via the ODC, changing land tenure), local power dynamics involving both traditional elites (Confucians) and corrupt figures exploiting colonial connections (Ch'oe Talbin, Kim Ch'angjun), the limited impact of nationalist movements in some areas, and the contrast between traditional sites drawing tourism and the lack of tangible economic development for locals. The specific criticisms of named individuals and the mention of organizations like the ODC, Ilchinhoe, and local associations provide concrete details about colonial realities.

**Named Entities**

咸南	함남	Hamnam (Hamgyŏngnam-do)
安邊郡	안변군	Anbyŏn-gun
元山	원산	Wŏnsan
安邊平野	안변평야	Anbyŏn P'yŏngya (Anbyŏn Plain)
咸南平野	함남평야	Hamnam P'yŏngya (Hamgyŏngnam-do Plain)
江原	강원	Kangwŏn (Province)
通川	통천	T'ongch'ŏn (County)
淮陽	회양	Hoeyang (County)
伊川	이천	Ich'ŏn (County)
平康	평강	P'yŏnggang (County)
雪水(山)	설수(산)	Sŏlsu(-san) (Mountain)
黃龍(山)	황룡(산)	Hwangnyong(-san) (Mountain)
風流(山)	풍류(산)	P'ungnyu(-san) (Mountain)
麻桑(山)	마상(산)	Masang(-san) (Mountain)
分水(嶺)	분수(령)	Punsu(-ryŏng) (Pass/Ridge)
東莎(嶺)	동사(령)	Tongsa(-ryŏng) (Pass/Ridge)
鐵嶺	철령	Ch'ŏllyŏng (Pass/Ridge)
靑鶴(山)	청학(산)	Ch'ŏnghak(-san) (Mountain)
楸柯(嶺)	추가(령)	Ch'uga(-ryŏng) (Pass/Ridge)
雪陰(山)	설음(산)	Sŏrŭm(-san) (Mountain)
朴達(嶺)	박달(령)	Paktal(-lyŏng) (Pass/Ridge)
高句麗	고구려	Koguryŏ
比列忽	비렬홀	Piryŏlhul
淺城	천성	Ch'ŏnsŏng
新羅	신라	Silla
比列州	비렬주	Piryŏl-chu
朔庭縣	삭정현	Saktchŏng-hyŏn
高麗	고려	Koryŏ
顯宗	현종	Hyŏnjong (King)
安邊都護府	안변도호부	Anbyŏn Tohobu (Anbyŏn Protectorate)
日人	일인	Japanese person
支那人	지나인	Chinese person
釋王寺	석왕사	Sŏkwang-sa (Temple)
耶蘇敎	야소교	Yesugyo (Protestantism)
천주교	천주교	Ch'ŏnjugyo (Catholicism)
侍天敎	시천교	Sich'ŏn'gyo (Ch'ŏndogyo)
향교	향교	Hyanggyo (Local Confucian School/Shrine)
己未運動	기미운동	Kimi Undong (March First Movement, 1919)
청년회	청년회	Ch'ŏngnyŏnhoe (Youth Association)
釀酒회사	양주회사	Yangju hoesa (Brewing Company)
崔達斌	최달빈	Ch'oe Talbin
東拓	동척	Tongch'ŏk (Oriental Development Company)
日鮮人	일선인	Ilsŏnin (Japanese and Korean people)
三防	삼방	Sambang
新高山	신고산	Sin'gosan (Place name, likely near Kosan Station)
高山	고산	Kosan
張燦圭	장찬규	Chang Ch'an'gyu
金元燮	김원섭	Kim Wŏnsŏp
壬戌	임술	Imsul (Year, 1922)
安南米	안남미	Annami (Annam rice, i.e., Vietnamese rice)
李大用	이대용	Yi Taeyong
姜英均	강영균	Kang Yŏnggyun
衛益面	위익면	Wiik-myŏn (Administrative division)
李載朝	이재조	Yi Chaejo
安道面	안도면	Ando-myŏn (Administrative division)
李炳宰	이병재	Yi Pyŏngjae
文山面	문산면	Munsan-myŏn (Administrative division)
李春載	이춘재	Yi Ch'unjae
三防藥水	삼방약수	Sambang Yaksudo (Sambang Mineral Springs)
無學	무학	Muhak (Monk)
李太祖	이태조	Yi T'aejo (Founder of Chosŏn Dynasty)
雪峰山	설봉산	Sŏlbong-san (Mountain)
內院(庵)	내원(암)	Naewŏn(-am) (Hermitage)
香積(庵)	향적(암)	Hyangjŏk(-am) (Hermitage)
白蓮(庵)	백련(암)	Paengnyŏn(-am) (Hermitage)
安養(庵)	안양(암)	Anyang(-am) (Hermitage)
普門(庵)	보문(암)	Pomun(-am) (Hermitage)
暎月樓	영월루	Yŏngwŏl-ru (Pavilion)
駕鶴樓	가학루	Kahak-ru (Pavilion)
孝成王	효성왕	Hyosŏng Wang (Silla King)
鶴城山	학성산	Haksŏng-san (Mountain)
學城山城	학성산성	Haksŏng Sansŏng (Haksŏng Mountain Fortress)
孝昭王	효소왕	Hyoso Wang (Silla King)
金昌濬	김창준	Kim Ch'angjun
金鴻稷	김홍직	Kim Hongjik
자위단	자위단	Chawidan (Self-Defense Corps)
松都	송도	Songdo (Kaesŏng)
불가살이	불가살이	Pulgasari (Mythical creature)
一進會	일진회	Ilchinhoe (Pro-Japanese organization, early 20th C.)
北靑郡	북청군	Pukch'ŏng-gun (County)
舊韓國	구한국	Ku Han'guk (Former Korean Empire)
儒道振興會	유도진흥회	Yudo Chinhŭnghoe (Confucian Way Promotion Society)
國民協會	국민협회	Kungmin Hyŏphoe (National Association)
儒林會	유림회	Yurimhoe (Confucian Association)
案鶴水利組合	안학수리조합	Anhak Suri Chohap (Anhak Irrigation Association)
大正 11년	대정 11년	Taishō 11 (1922)
大正 12년	대정 12년	Taishō 12 (1923)

**Glossary**

列邑	열읍	Various towns/counties
大觀	대관	Grand view, overview
特産地	특산지	Area known for a special product
眼界	안계	Field of vision, view
豁然	활연	Wide open, expansive
居함	거함	To rank, be situated (older grammatical form using 함)
山邑	산읍	Mountain county/town
界하야	계하여	Bordering on (older spelling/form of 하여)
境上	경상	Along the border
巨山	거산	Large mountain
준령	준령	Lofty mountain pass/ridge
環峙	환치	To surround, encircle (like mountains)
國防	국방	National defense
요지	요지	Key point, strategic location
총면적	총면적	Total area
방리	방리	Square ri (unit of area)
日人	일인	Japanese person
支那人	지나인	Chinese person (older term)
보통학교	보통학교	Common school (colonial era elementary school)
餘風	여풍	Lingering influence, remaining customs
유림	유림	Confucian scholars
한심하다	한심하다	Pathetic, pitiful
풍미하는	풍미하는	Sweeping through, being popular
己未運動	기미운동	March First Movement (1919)
꿈적한 일	꿈쩍한 일	Any sign of movement, stirring (older spelling)
인심	인심	Public sentiment, people's minds
脾胃좃케	비위 좋게	To save face, act pleasingly (older spelling/idiom)
可憎하거이와	가증하거니와	Detestable, disgusting (older form)
醉生夢死	취생몽사	Living drunk and dying dreaming (idiom: living dissipately without purpose)
노소	노소	Old and young
노상	노상	On the street, roadside
紅面兒	홍면아	Red-faced child/person (i.e., drunkard)
釀酒회사	양주회사	Brewing company
경기	경기	Business conditions, economy
碁博	기박	Go and gambling
상례	상례	Common practice, custom
萎靡	위미	Withered, declining, listless
魔物	마물	Demon, fiend, evil creature
橫行	횡행	To rampage, run rampant
蹂躪	유린	To trample upon, oppress
質素한	질소한	Frugal, simple
收支相殺	수지상쇄	Income balancing expenses, breaking even
挽近	만근	Recent times, lately
東拓	동척	Oriental Development Company (東洋拓殖株式會社)
黑手	흑수	Black hand (sinister influence)
日鮮人	일선인	Japanese and Koreans (colonial era term)
지주	지주	Landlord
前途	전도	Future prospects
낙관할 수 업다	낙관할 수 없다	Cannot be optimistic (older spelling of 없다)
명승	명승	Scenic spot, place of beauty
探勝客	탐승객	Sightseer, visitor to scenic spots
裨益	비익	Benefit, advantage
토산물	토산물	Local product
糊口	호구	To make a bare living, subsist
압흐로	앞으로	In the future (older spelling)
孤村	고촌	Isolated village
황무지	황무지	Wasteland, barren land
대촌락	대촌락	Large village
柏子	백자	Pine nuts
麻布	마포	Hemp cloth
集散	집산	To gather and disperse (distribution center)
浮華	부화	Superficiality, vanity, extravagance
근검	근검	Diligence and thrift
야학	야학	Night school
회관	회관	Assembly hall, meeting hall
芳香	방향	Fragrance
幽谷의 蘭	유곡의 난	Orchid in a hidden valley (metaphor for hidden talent)
허덕허덕	허덕허덕	Panting, struggling
冷落함	냉락함	Desolate, neglected state
長吁短歎	장우단탄	Long sighs (idiom: expressing deep sorrow or worry)
淳實	순실	Sincere, genuine, simple and honest
慈善心	자선심	Charitable spirit
凶作	흉작	Bad harvest, crop failure
기아에 濱한	기아에 빈한	On the verge of starvation
安南米	안남미	Annam rice (Vietnamese rice)
배부하엿다	배부하였다	Distributed (older spelling)
재산가	재산가	Wealthy person
자선사업	자선사업	Charity work, philanthropy
송덕비	송덕비	Commemorative stele praising virtues/achievements
수치	수치	Shame, disgrace
침중	침중	Calm, composed, prudent
務實的	무실적	Pragmatic, practical
가상한 일	가상한 일	Commendable matter/deed
유망한	유망한	Promising
자제	자제	Children (of a family, often implies sons)
藥水	약수	Mineral spring water (lit. medicinal water)
해발	해발	Elevation above sea level
飛瀑	비폭	Flying waterfall (high, powerful waterfall)
懸하고	현하고	To hang, be suspended
蒼鬱	창울	Dense and verdant (forest)
幽邃	유수	Deeply secluded and serene
致	치	Attainment, state, elegance
長夏	장하	Long summer days
人山	인산	Mountain of people (large crowd)
別莊	별장	Villa, vacation house
銅臭	동취	Stench of money, commercialism
선몽	선몽	Prophetic dream
宏大한	굉대한	Grand, vast
울여먹은 것	우려먹은 것	To exploit, make repeated use of (colloquial/negative)
滄桑의 감	창상의 감	Feeling of great change over time (滄海桑田)
창연한	창연한	Ancient and green/blue (often describing pines or sky)
天을 叅하고	천을 참하고	Piercing the heavens (older verb form)
斷俗의 念	단속의 념	Thought of cutting ties with the mundane world
白石	백석	White rock
畵閣	화각	Painted pavilion
寂照함	적조함	Silent illumination (Buddhist concept)
庵	암	Hermitage
塵念	진념	Worldly thoughts, distracting ideas
頓忘케 한다	돈망케 한다	To cause to forget completely
鑛泉	광천	Mineral spring
송이	송이	Pine mushroom (Tricholoma matsutake)
신선	신선	Taoist immortal, supernatural being
명패	명패	Nameplate, plaque
즐비한	즐비한	Lined up in rows
客館	객관	Guesthouse, inn
名區	명구	Famous scenic area
속되게 함	속되게 함	Making something vulgar or common
고적	고적	Historical site/relic
부호청년	부호청년	Wealthy young man
乃祖乃父	내조내부	One's grandfather and father
착취한 재산	착취한 재산	Exploited wealth/property
옹호해 가지고	옹호해 가지고	Protecting, holding onto
컨녕	커녕	Let alone, far from (older spelling)
소작인	소작인	Tenant farmer
年復年甚	연부년심	Worsening year after year
소작권 異動	소작권 이동	Transfer of tenancy rights
乃至	내지	Even to the extent of, and even
