**Header Section:**
Magazine Title: 개벽 제54호
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 間於兩興定平郡 (Grand View of Hamnam Counties, Chŏngp'yŏng County between the Two Hŭngs)
Author: Not specified
Article Type: 소식 (News/Report)

**Body Text Translation:**
Grand View of Hamnam Counties, Chŏngp'yŏng County between the Two Hŭngs

Lying horizontally like a leaf between the two Hŭngs—Hamhŭng and Yŏnghŭng—is Chŏngp'yŏng County (定平郡), short from east to west and long from north to south. The county's old names were Kopaji (古巴只), Sŏnwi (宣威), or Chung-san (仲山). During the reign of King Chŏngjong (靖宗) of Koryŏ, a fortress was built on Mt. Pibaek (鼻白山), a gate (關門) was established, and the name was changed to Chŏngju (定州), stationing a P<em>angŏsa</em> (防禦使; Defense Commander). In the 5th year of King Kongmin (恭愍王), it was elevated to a Tohobubu (都護府; Protectorate General). In the 5th year of King T'aejong (太宗) of the Yi Dynasty (李朝), to avoid having the same name as Chŏngju (定州) in P'yŏngan Province (平安道), it was renamed Chŏngp'yŏng (定平), which continues to this day. It faces the sea (海) to the east, borders Yŏnghŭng County (永興郡) and Nyŏngwŏn County (寧遠郡) of South P'yŏngan (平南) to the west, Yŏnghŭng County to the south, and Hamhŭng County (咸興郡) to the north. The total number of households in the county is 12,504, with a population of 73,204, of which 72 households and 217 people are Japanese. The county seat (읍) is located about 10 *ri* north of Chŏngp'yŏng Station, in a valley with Mt. Pibaek behind it and Mt. Nam (南山) in front. Various government offices and school facilities are present, the streets are relatively neat and clean (淸楚), and the market is especially bustling on market days, held on the 4th and 9th days of the lunar month. Furthermore, Sin-sang Station (新上驛) in Ch'ullyu-myŏn (春柳面) occupies a pivotal location (樞要) in the Kŭmjin River (金津江) basin and has long been called P'ach'un-jang (播春場), a major market. Now, with the opening of the Hamgyŏng Line (咸鏡線), it has become the sole important place in this county. That is, of the 604,157 *won* annual transaction value of the four markets within the county, this P'ach'un-jang accounts for 368,000 *won*, and consequently, most of the county's important goods are shipped out (移出) via this station. The cultivated land area for farming households in this county is 7,623 *chŏng* (町) of paddy fields (畓) and 21,890 *chŏng* 9 *tan* (反) of dry fields (田). Bordering the Hamhŭng Plain (함흥평야), the land is fertile, the climate is mild, and irrigation is convenient, making it suitable (適宜) for agriculture. The main agricultural products, starting with (爲始) rice with an annual production of over 60,000 *sŏk* and soybeans over 13,000 *sŏk*, reach an annual harvest value (수획고) of 400,000 *won*. Minerals are extremely abundant, with 20 mining areas (광구) for gold, silver, copper, lead, placer gold, graphite, coal, kaolin, etc. Mining (채굴) was once prosperous, making it renowned (저명하엿더니) as a mining region in South Hamgyŏng (咸南), but the aftermath (여파) of the Great War in Europe (歐洲大戰) reached (及하야) even here, and currently, all mines are in a state of suspension. Other than that, fisheries amount to over 27,000 *won*, livestock includes over 10,000 cattle (牛) and over 4,000 pigs (豚), and sericulture (蠶業) amounts to over 12,000 *won*. It can be said (可謂하겟다) that the abundance of products yields nothing (不讓한다) to other counties in South Hamgyŏng. The people's temperament, customs, and language are mostly the same (갓고) as the rest of South Hamgyŏng, with nothing particularly special. However, seeing that (보면) there is (잇는) a proverb "Chŏngp'yŏng kkadurŏgi (定平까드럭이)," one can also infer (推知하겟다) what <79> their disposition might be like. Among the young figures, Messrs. Wŏn Chŏng-jun (元貞俊), Chang Se-hwan (張世煥), Chin Pyŏng-hwan (秦柄瓛), Kim Che-ŭn (金濟殷) in the county seat, and Yi Hyŏn-t'ae (李鉉台) at Sin-sang Station are striving greatly in all matters (凡事에). As for famous spots, Hwa-do (花島) in Sŏndŏk-myŏn (宣德面) at the mouth of Hamhŭng Bay (咸興灣口) is, as its name suggests, exceptionally scenic (景槪絶勝하며) (this island was originally Hamhŭng territory (咸興地) but was recently transferred (移屬되얏는데); the island has about 60 households). Regarding historical sites (고적), the Old Long Wall on Mt. Pibaek north of the county seat, built (所築) by King Chŏngjong of Koryŏ, and Changju Fortress (長州城) in Sŏsŏng-ri (西城里), Changgyŏng-myŏn (長京面), south of the county, built by King Hyŏnjong (顯宗) of Koryŏ, are the most famous (최저명하나), but both are dilapidated and ruined (황폐 壞敗하고), with only (僅히) their foundations remaining, evoking feelings for the past (感古의 懷) amidst the autumn wind and falling leaves.
<79-80>

**Summary**

The article provides a detailed overview of Chŏngp'yŏng County in South Hamgyŏng Province in 1924. It describes its geography (location between Hamhŭng and Yŏnghŭng, bordering the sea), history (name changes from Koryŏ to Yi Dynasty), demographics (population over 73,000, including 217 Japanese residents), administrative center, and economy. The county boasts fertile land suitable for agriculture (rice, soybeans), significant mineral resources (though mining is currently suspended due to the aftermath of WWI), fisheries, livestock, and sericulture. Sin-sang Station on the Hamgyŏng Line is highlighted as a crucial economic hub. The article also mentions notable young local figures, scenic spot Hwa-do, and dilapidated historical fortresses. A local proverb, "Chŏngp'yŏng kkadurŏgi," hints at the perceived local character. For historians, the article offers insights into the colonial Korean economy, detailing agricultural output, the impact of global events (WWI) on local industry (mining suspension), infrastructure development (railway's role), the presence of Japanese settlers, and administrative history. The mention of the specific proverb provides a glimpse into regional stereotypes or perceptions during that era.

**Named Entities**

咸南	함남	Hamnam
咸興	함흥	Hamhŭng
永興	영흥	Yŏnghŭng
定平郡	정평군	Chŏngp'yŏng County
古巴只	고바지	Kopaji
宣威	선위	Sŏnwi
仲山	중산	Chung-san
고려	고려	Koryŏ
靖宗	정종	King Chŏngjong
鼻白山	비백산	Mt. Pibaek
關門	관문	Kwanmun (Gate/Pass)
定州	정주	Chŏngju
防禦使	방어사	Pangŏsa
恭愍王	공민왕	King Kongmin
都護府	도호부	Tohobubu
李朝	이조	Yi Dynasty
太宗	태종	King T'aejong
平安道	평안도	P'yŏngan Province
海	해	Sea
平南	평남	South P'yŏngan (P'yŏngnam)
寧遠郡	영원군	Nyŏngwŏn County
南山	남산	Mt. Nam
定平驛	정평역	Chŏngp'yŏng Station
春柳面	춘류면	Ch'ullyu-myŏn
新上驛	신상역	Sin-sang Station
金津江	금진강	Kŭmjin River
播春場	파춘장	P'ach'un-jang
咸鏡線	함경선	Hamgyŏng Line
함흥평야	함흥평야	Hamhŭng Plain
歐洲大戰	구주대전	Great War in Europe (WWI)
咸興灣口	함흥만구	Mouth of Hamhŭng Bay
宣德面	선덕면	Sŏndŏk-myŏn
花島	화도	Hwa-do
咸興地	함흥지	Hamhŭng Territory
長京面	장경면	Changgyŏng-myŏn
西城里	서성리	Sŏsŏng-ri
顯宗	현종	King Hyŏnjong
長州城	장주성	Changju Fortress
元貞俊	원정준	Wŏn Chŏng-jun
張世煥	장세환	Chang Se-hwan
秦柄瓛	진병환	Chin Pyŏng-hwan
金濟殷	김제은	Kim Che-ŭn
李鉉台	이현태	Yi Hyŏn-t'ae

**Glossary**

列邑	열읍	Various counties/towns
橫裁하야	횡재하야	Lying horizontally/across (older spelling/form of 횡단하여)
古號	고호	Old name
防禦使	방어사	Defense Commander (historical title)
都護府	도호부	Protectorate General (historical administrative unit)
忌하야	기하야	Avoiding/disliking (due to taboo, etc.); older form of 기피하여
至하얏다	지하얏다	Reached; arrived at (older spelling of 지하였다/이르렀다)
臨하고	임하고	Facing; bordering on
界하얏다	계하얏다	Bordered (older spelling of 경계하였다)
許	허	Approximately; about (used after a number)
在하야	재하야	Being located at/in (older spelling/form of 있어서)
負하고	부하고	Having something at one's back; carrying on the back
控한	공한	Controlling; overlooking; facing
淸楚하며	청초하며	Neat and clean; trim
開市일	개시일	Market day
시황	시황	Market conditions; business activity
樞要	추요	Pivotal; key; crucial
고래로	고래로	Since old times; traditionally
取引年額	취인연액	Annual transaction amount/value
從하야	종하야	Consequently; following from this (older form of 따라서/그리하여)
移出된다	이출된다	To be shipped out; moved out
畓	답	Paddy field (for rice)
町	정	Unit of area (chō/chŏngbo, approx. 0.99 ha or 2.45 acres)
反	반	Unit of area (tan/ban, 1/10th of a 町/chŏngbo)
適宜하다	적의하다	To be suitable; appropriate
爲始하야	위시하야	Starting with; beginning with (older form of 위시하여)
수획고	수획고	Harvest amount/yield; total value of harvest
광구	광구	Mining area; mining concession
채굴	채굴	Mining; excavation
저명하엿더니	저명하였더니	Was renowned/famous (older spelling of 저명하였더니)
여파	여파	Aftermath; repercussion
及하야	급하야	Reaching; extending to (older form of 미쳐(서))
在하고	재하고	Being in (a state); existing (older form of 있고)
蠶業	잠업	Sericulture; silkworm farming
不讓한다	불양한다	Does not yield to; is not inferior to
可謂하겟다	가위하겠다	It can be said; one might say (older form of 가히 ~라고 하겠다)
까드럭이	까드러기	(Possibly) Someone fickle, pretentious, or boastful (local characteristic implied by proverb; needs context for precise nuance)
推知하겟다	추지하겠다	Can infer; can deduce (older form of 추지하겠다/추측하겠다)
諸君	제군	Messrs.; Gentlemen (addressing multiple people respectfully)
잇서	있어	Being; existing (older spelling of 있어)
凡事	범사	All matters; everything
景槪絶勝하며	경개절승하며	Scenery is exceptionally beautiful
移屬되얏는데	이속되었는데	Was transferred (older spelling of 이속되었는데)
古蹟	고적	Historical site; ancient ruins
所築	소축	That which was built by (someone); built by
最著名하나	최저명하나	Is most famous, but...
壞敗하고	괴패하고	Dilapidated and ruined; decayed
僅히	근히	Barely; merely; only
感古의 懷	감고의 회	Feelings evoked by antiquity; nostalgic sentiments about the past
-e 

---------------------------


잡지명	개벽 제54호
발행일	1924년 12월 01일
기사제목	咸南列邑大觀, 間於兩興定平郡
기사형태	소식

咸南列邑大觀, 間於兩興定平郡
