**Header Section:**
Magazine Title: 개벽 제54호
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 元山의 울타리 德源郡 (Grand View of Hamnam Towns, Tŏkwŏn County: The Fence of Wŏnsan)
Author: None Mentioned
Article Type: 소식 (News/Report)

**Body Text Translation:**
Grand View of Hamnam Towns, Tŏkwŏn County: The Fence of Wŏnsan

In the manner that small trees dare not grow tall beneath a large tree, counties adjacent to major cities (府 - *pu*) rarely develop much, and consequently, it is difficult to find any special characteristics. Koyang near Kyŏngsŏng (Seoul) is like this, Puch'ŏn near Inch'ŏn is like this, Talsŏng of Taegu, and Taedong of P'yŏngyang are all like this. This Tŏkwŏn is also like this. Its history is, of course, exactly the same as Wŏnsan's, so there is no need to say more; the local sentiment, customs, and habits are mostly the same; famous sites and historical relics are mutually related, and various facilities are often shared, so there is nothing special to mention. However, since the county (郡 - *kun*) and the city (府 - *pu*) have already been separated, one cannot help but speak of its general situation. This Tŏkwŏn County is located in the southern part of Hamgyŏngnam-do Province, bordering Yangdŏk-kun County of P'yŏngan'nam-do Province and Koksan-gun County of Hwanghae-do Province to the west, Munch'ŏn-gun County to the north, Anbyŏn-gun County to the south, and embracing Wŏnsan-bu City to the east, facing the sea. The terrain is long from east to west and short from north to south; the part embracing Wŏnsan-bu protrudes into the East Sea, forming a peninsula, and faces Hodo Island of Yŏnghŭng-gun County, forming Yŏnghŭng Bay. The coastline is about 27 nautical miles (including islands). Various islands such as Yŏdo, Sindo, and Ungdo are scattered inside and outside the bay, not only forming good fishing grounds, but the peninsula protruding into the sea, with its white sands and green pines, has beautiful scenery and clean seawater, making it world-famous as a summer resort and bathing beach for foreigners (namely Myŏngsa Simni). The topography is divided east-west by the famously rugged Masikryŏng Pass; the western part forms a highland area belonging to the upper reaches of the Imjin River, with many mountains and [barren] (*translator's note: word missing in original, likely 척박하며 - ch'ŏkpakhamyŏ*) land, while the eastern part forms a plain facing the East Sea, where the soil quality (地味) is generally fertile, suitable for agriculture. <86> The extent is 130 *ri* east-west, about 100 *ri* north-south, and the area is 57,347 square *ri* (*pangni*), divided into 6 *myŏn* (townships) and 133 *dongni* (villages); the total number of households is 8,227 (78 Japanese), and the population is 47,401 (217 Japanese). As mentioned above, the soil quality is fertile and suitable for agriculture, particularly adapted for fruit cultivation, which can be known by seeing that the county's annual production reaches 95,000 *kwan* (approx. 356 tons) of apples (苹果) and over 15,600 *kwan* (approx. 58.5 tons) of pears (梨). Also, agricultural products reach 18,000 *sŏk* (approx. 3,280 cubic meters) of rice (米), 16,000 *sŏk* (approx. 2,915 cubic meters) of millet (粟), and twenty-something thousand *sŏk* (approx. 3,644+ cubic meters) of soybeans and other beans (大小豆). Marine products amount to over 124,300 won, and industrial products reach over 439,000 won. Within the county, there are train stations at Munp'yŏng, Tŏkwŏn, and Kalma. Tŏkwŏn Station, the location of the former county office (now moved to Yangji-dong, Wŏnsan), faces the P'yŏngwŏn Highway and is quite prosperous; it has the Hamnam Seedling Station Branch Office (咸南種苗場 支場), other government offices, and schools. In its vicinity, upstream on the Tŏkwŏn River (德源河), there is the hydroelectric power plant of the Wŏnsan Hydroelectric Company (元山水力電氣會社). Historical sites include the Chinmyŏng Fortress site near Kalma Station, the Mangdŏk Mountain Fortress site north of Tŏkwŏn Station, the Ŭiju Fortress site to its west, the Yongjin Old Fortress site near Munp'yŏng Station, and the reputed founding place of the Yi Dynasty (李朝) in Yongju-ri, Chŏkchŏn-myŏn, but all are merely ruins (遺址). There are also many famous spots, but these are deferred to the Wŏnsan article. <87>

**Summary**

This article describes Tŏkwŏn County in South Hamgyŏng Province in 1924, portraying it as overshadowed by the adjacent city of Wŏnsan. Despite this, the article outlines its geography (coastal east, mountainous west divided by Masikryŏng Pass), fertile eastern plains suitable for agriculture (especially fruits like apples and pears), fishing grounds, and the famous Myŏngsa Simni beach resort. It provides statistics on population (including Japanese residents), households, agricultural/fishery/industrial production values, mentions infrastructure like train stations (Munp'yŏng, Tŏkwŏn, Kalma) and the Wŏnsan Hydroelectric plant, and lists several historical fortress ruins and the supposed Yi Dynasty origin site, though stating they are just remnants.

From a historical perspective, the article is interesting for its depiction of the relationship between a major colonial port city (Wŏnsan) and its surrounding rural county (Tŏkwŏn), illustrating a common pattern of uneven development. The specific mention of Japanese population figures, Japanese-frequented resorts (Myŏngsa Simni), infrastructure projects like the hydroelectric plant, and the Hamnam Seedling Station Branch Office provides glimpses into the colonial administration and economy, resource exploitation, and the Japanese presence impacting the region's development and landscape. Historians might find the production statistics and the description of land use valuable for understanding the colonial agricultural economy and regional specialization.

**Named Entities**

咸南	함남	Hamnam
元山	원산	Wŏnsan
德源郡	덕원군	Tŏkwŏn-gun
京城	경성	Kyŏngsŏng
高陽	고양	Koyang
仁川	인천	Inch'ŏn
富川	부천	Puch'ŏn
大邱	대구	Taegu
達成	달성	Talsŏng
平壤	평양	P'yŏngyang
大同	대동	Taedong
德源	덕원	Tŏkwŏn
咸鏡南道	함경남도	Hamgyŏngnam-do
平安南道	평안남도	P'yŏngan'nam-do
陽德郡	양덕군	Yangdŏk-kun
黃海道	황해도	Hwanghae-do
谷山郡	곡산군	Koksan-gun
文川郡	문천군	Munch'ŏn-gun
安邊郡	안변군	Anbyŏn-gun
元山府	원산부	Wŏnsan-bu
永興郡	영흥군	Yŏnghŭng-gun
虎島	호도	Hodo
永興灣	영흥만	Yŏnghŭng-man
麗島	려도	Yŏdo
薪島	신도	Sindo
熊島	웅도	Ungdo
明沙十里	명사십리	Myŏngsa Simni
馬息嶺	마식령	Masikryŏng
臨津江	임진강	Imjin-gang
文坪	문평	Munp'yŏng
葛麻	갈마	Kalma
陽地洞	양지동	Yangji-dong
咸南種苗場 支場	함남종묘장 지장	Hamnam Chongmyojang Chijang
德源河	덕원하	Tŏkwŏn-ha
元山水力電氣會社	원산수력전기회사	Wŏnsan Suryŏk Chŏn'gi Hoesa
鎭溟城址	진명성지	Chinmyŏng Sŏngji
望德山城址	망덕산성지	Mangdŏk Sansŏngji
宜州城址	의주성지	Ŭiju Sŏngji
龍津古城址	용진고성지	Yongjin Kosŏngji
赤田面	적전면	Chŏkchŏn-myŏn
湧珠里	용주리	Yongju-ri
李朝	이조	Ijo

**Glossary**

列邑	열읍	Various towns/counties
大觀	대관	Grand view; overview
울타리	울타리	Fence; enclosure
大樹之下	대수지하	Beneath a large tree (idiomatic expression)
不敢長	불감장	Dare not grow
격	격	Manner; style; pattern
府	부	Prefecture; major city (administrative division under Japanese rule)
郡	군	County (administrative division)
업고	없고	And not have; lacking (older spelling of 없고)
그럿코	그렇고	Being so; and so (older spelling/pronunciation of 그렇고)
가트닛가	같으니까	Because it is the same (older spelling of 같으니까)
갓고	같고	Being the same; and (older spelling of 같고)
만하서	많아서	Because there are many (older spelling/form of 많아서)
旣히	이미	Already (archaic form using Hanja 旣)
분립	분립	Separation; division
槪況	개황	General situation; overview
位하야	위치하여	Being located (older spelling/form of 위치하여)
隣하고	인접하고	Bordering; adjoining (using Hanja 隣)
포옹하야	포옹하여	Embracing; surrounding (older spelling/form of 포옹하여)
임하얏다	임하였다	Faced; bordered on (older spelling/form of 임하였다)
長하고	길고	Being long; and
短하야	짧아서	Being short; and (older spelling/form of 짧아서)
成하고	이루고	Forming; constituting; and
형성하얏다	형성하였다	Formed; constituted (older spelling/form of 형성하였다)
해안선	해안선	Coastline
해리	해리	Nautical mile
島嶼	도서	Islands
산재하야	산재하여	Being scattered (older spelling/form of 산재하여)
好個	호개	Good; fine; excellent
어장	어장	Fishing ground
안이라	아니라	Not only; but rather (older spelling of 아니라)
明媚하고	명미하고	Bright and beautiful
저명한다	저명하다	Is famous; is well-known (slightly older verb ending)
지세	지세	Topography; terrain
險峻하기로	험준하기로	For being rugged/steep
分하야	나누어	Dividing (older form using Hanja 分)
상류역	상류역	Upper reaches (of a river); upstream basin
成하얏스니	이루었으니	As it forms/formed (older spelling/form of 이루었으니)
산악	산악	Mountains
多하고	많고	Being many; and
地味	지미	Soil quality; fertility
비옥하니	비옥하니	Being fertile
適宜하다	적의하다	To be suitable; appropriate
廣袤	광모	Extent; area (East-West and North-South distance)
방리	방리	Square ri (unit of area, 1 *ri* ≈ 0.393 km)
호수	호수	Number of households
지질	지질	Soil quality; geology
상기함과 如히	상기함과 같이	As mentioned above (older form using Hanja 如)
適應하니	적응하니	Being adapted/suitable
所産	소산	Product; produce
苹果	사과	Apple (older term using Hanja 苹果, now commonly 사과)
梨	배	Pear (Hanja character for pear)
可知하겟다	알 수 있겠다	One can know; it is knowable (slightly older form of 알 수 있겠다)
農産物	농산물	Agricultural products
米	쌀	Rice (Hanja character for rice)
粟	조	Millet (Hanja character for millet)
大小豆	대소두	Soybeans and other beans (lit. large and small beans)
至하며	달하며	Reaching; amounting to (older form using Hanja 至)
水産物	수산물	Marine products; seafood
공산물	공산물	Manufactured goods; industrial products
정차장	정차장	Train station (older term, now usually 역)
소재지	소재지	Location (of an office, etc.)
街道	가도	Highway; main road
임하야	임하여	Facing; fronting on (older spelling/form of 임하여)
頗히	꽤	Quite; rather; considerably
번창하니	번창하니	Being prosperous
支場	지장	Branch office/station
관공서	관공서	Government office; public office
고적	고적	Historical relic; ancient site
遺址	유지	Ruins; remains (of a building or site)
