잡지명 개벽 제54호
발행일 1924년 12월 01일
기사제목 時局維觀, 大戰以前을 聯想케 하는 英米의 政情 (Viewing the Current Situation: The Political Climate in Britain and America, Reminiscent of the Pre-Great War Era)
기사형태 논설 (Editorial/Commentary)

時局維觀, 大戰以前을 聯想케 하는 英米의 政情
(Viewing the Current Situation: The Political Climate in Britain and America, Reminiscent of the Pre-Great War Era)

That the incitement to rebellion by Mr. Campbell, who said, "Gentlemen of the Army and Navy, you should turn your gun barrels towards the capitalists and exploiters," was let go unquestioned was certainly an insult to British judicial power. Facing joint opposition from both the Conservative and Liberal parties, the British Labour Party government finally dissolved Parliament on October 9th and held a general election on the 30th of the same month. The result was that the Conservative Party, which had only 259 members, gained an absolute majority of 407, while the Labour Party's 192 members decreased to about 150. Consequently, the MacDonald cabinet tendered its collective resignation on November 4th, and Mr. Baldwin, the leader of the Conservative Party, formed a new cabinet once again.

As everyone thought, the British Labour cabinet succeeded the Conservative cabinet, gaining the approval of the Liberal Party, and came to power in January of this year. Now, less than 10 months later, it has again relinquished its position to the Conservative Party. The direct cause for this loss is twofold: firstly, the Liberal Party members, who initially supported the Labour cabinet, later frequently opposed it, even passing a motion to establish an investigation committee for the "Campbell" case, which was tantamount to a vote of no confidence; secondly, the psychology of the majority of the British people, for whatever reason, allowed the realization of a Labour cabinet once, but these ever-conservative British people were always monitoring the cabinet's actions and guarding against any eventuality. The so-called Campbell case became the sole ammunition for attacking the government of the time. Furthermore, the so-called Zinoviev Letter incident (a letter allegedly sent from Mr. Zinoviev, chairman of the Third Communist International, to the British Communist Party headquarters, instructing a communist revolution), which emerged just before this general election, greatly offended the sentiments of the British electorate. Many voters decided it was better to elect Conservative MPs and defend the history of the great empire<35> than to elect many Labour MPs and turn Britain into a second Russia. Ultimately, they sided with the Conservative Party, leading to the emergence of the Baldwin cabinet.

Mr. Baldwin, having previously served as Chancellor of the Exchequer in the Bonar Law cabinet and supported the construction of the Singapore naval base, budgeting a total cost of 10 million pounds, is naturally expected to revive the Singapore naval base plan that the previous cabinet halted. In addition, he seems poised to implement other long-standing issues like the construction of 14 cruisers and protectionist tariff policies, likely pushing the British Empire's aggressive policies to the extreme. If things proceed this way, Anglo-French relations, which had shown some basis for cooperation during the previous cabinet, may become difficult again. Unusual changes may also be seen in policies towards Japan, using the China problem as a pretext, and towards Russia, under the guise of preventing communization ('Red-ification'). Thus, the British public mood will increasingly shift towards the extremes of imperialism versus revolutionism. Following the British issue, another recent significant change in the world situation worth noting is the election of American President Mr. Coolidge.

Originally, the American political scene had long been dominated by the rivalry between the Republican and Democratic parties, leaving other political parties with no significant power. However, in 1912, when the late Mr. Roosevelt split from the Republican Party to form the Progressive Party, this temporarily benefited the Democratic Party. Although dissenting elements were not entirely absent within the Republican Party thereafter, there were no major disputes over candidates until this time. Mr. La Follette separated from the Republican Party and ran as a third-party candidate, backed by radical elements dissatisfied with the established Farmer-Labor parties. His popularity was quite formidable, especially since the Federation of Labor Unions (likely the AFL), led by Mr. Gompers and representing 70-80% of American labor unions, abandoned its traditional stance of not participating directly in politics but merely lobbying or checking legislators, and declared its decisive support for the third party. Furthermore, the Hearst newspapers also supported the third party, making Mr. La Follette's influence appear quite considerable. However, according to the vote count on election day, November 4th, Mr. Coolidge received 379 electoral votes, Mr. Davis (Democratic candidate) received 139, and Mr. La Follette garnered merely 13. Ultimately, the US presidency went to the Republican candidate, Mr. Coolidge. This shows how capitalistic the American people are today.

The Republican Party in America is known worldwide as a plutocratic party (金權黨), and its platform is thoroughly selfish and capitalistic. Let's look, for example, at the recent platform announced by President Coolidge:
1.  Convening a second naval disarmament conference.
2.  Absolutely no forgiveness regarding the Allied debts.
3.  Regarding the European situation, if America's vital interests<36> are endangered, it will not hesitate to cooperate or interfere in European politics.
4.  Regarding the China problem, interference will occur gradually as plans develop.
From this alone, one can see how assertive and capitalistic the policies of the US government are.

In short, today's world is, in a sense, the world of Britain and America. These two great nations were the instigators and concluders of the previous Great War. Once peace arrived after the Great War, America championed justice and humanity, while Britain claimed to practice social reform, each captivating the world for a time. However, in the recent present, they have suddenly turned reactionary, reverting to the pre-Great War imperialism and aggression. Tacitly and implicitly, Britain and America are colluding (the current British Prime Minister, Mr. Baldwin, has particular ties with America), looking towards the distant Chinese continent, glaring at Japan, and devising various schemes (陳謀). Who knows for whom their so-called second naval disarmament conference is intended as a check?

中國은 烏乎定? (China: Where Will It Settle?)
The great turmoil in China, reminiscent of the Romance of the Three Kingdoms, began three months ago. Amidst constant instability (顚沛無常) and undecided outcomes, the path to resolution has not yet been found, leaving the great question "China: Where will it settle?" (中國烏乎定).
Since the outbreak of the Chinese turmoil, this magazine has published analyses in October and November regarding its distant and recent causes, as well as the general situation. We wish to know how it will ultimately end, but as yet, there is no clear information to determine that. We can only note the current situation and wait for the new year to find out more.

When the curtain of war rose, the Chĕkiang Army (浙江軍 - Zhejiang Army), which initially showed some superiority, was fundamentally isolated and weak (勢孤力弱). Unable to withstand the fierce attacks of the well-supported Chihli Clique (直派 - Zhili Clique), namely the Kiangsu Army (江蘇軍 - Jiangsu Army), it suffered a complete defeat (一敗塗地) and fell into a desperate situation (窮途). Its commanders, No Yŏngsang (盧永祥 - Lu Yongxiang) and Ha P'ungnim (何豊林 - He Fenglin), fled to Japan. At that time, based on our impression (觸感), we thought, "Ah, Kiangsu and Chĕkiang (江浙) will become Ch'e Sŏbwŏn's (齊燮元 - Qi Xieyuan) domain." Also, as Son Mun's (孫文 - Sun Yat-sen) northern expedition proved to be his usual empty bluster (헛대포), and Chang Chakrim (張作霖 - Zhang Zuolin) of Pongch'ŏn (奉天 - Fengtian) was still stirring west of Sanhaegwan (山海關 - Shanhaiguan), we ignorantly assumed China would fall under the sway of O P'aebu (吳佩孚 - Wu Peifu), who seemed imposing with his southern campaigns and northern expeditions. Regardless of victory or defeat (何勝何敗), we simply hoped for a stable China along with the final outcome <37> of unification. But lo and behold! Like "Heaven has unexpected storms, people have sudden fortune or misfortune" (天有不時風雨, 人有朝夕禍福), the indecisive, wait-and-see general P'ung Ongsang (馮玉祥 - Feng Yuxiang) underwent a sudden change (豹變하야), seized Peking (北京 - Beijing) in one move (일거), and just like that, China seemed to become P'ung Ongsang's domain again.

Indeed, victory and defeat are uncertain. Could it be that O P'aebu, effectively the king of China just moments ago, suddenly has no place to hide (容身의 處), while P'ung Ongsang, who was dormant in a corner of T'ienchin (天津 - Tianjin), now controls China? The great upheaval centered around P'ung Ongsang—expelling the Sŏnt'ong Emperor (宣統帝 - Xuantong Emperor/Puyi), establishing connections with Red Russia (赤露 - Soviet Union), joining forces with Chang Chakrim, inviting Son Mun, and endorsing Tan Kyŏi (段祺瑞 - Duan Qirui)—is truly a fascinating new problem.
How the resolution of China by the so-called "Big Four"—Tan Kyŏi, Son Mun, Chang Chakrim, and P'ung Ongsang—will unfold is certainly a question. Will Tan truly become the Great President (Regent or Chief Executive)? Will Son Mun's policies actually be realized? Will clashes between P'ung and Chang truly be avoided? Today, the Red (赤色) atmosphere is thickening, talk of a Yangtze River (長江) alliance centered around O P'aebu is rising, and signs of Anglo-American interference are clear. Ah, how will China be settled? Let's await the outcome (하회를 보자).

日露交涉何時畢? (When Will Japanese-Russian Negotiations End?)
The negotiations between the continentals (Russians) and the islanders (Japanese), like a serpent and a lizard locked together (구렁이와 도마뱀이 맛붓튼 듯한), have shown no conclusion for nearly a year now. They seem set to greet the new year in the same state of push-and-pull, dragging on incoherently (지리멸렬한). Russian representative Mr. K'arahan (카라한 - Karakhan) reportedly rejected all of Japan's proposals as of November 11th and is now sitting tight-lipped, harboring secret intentions. Japan, too, finding such unlimited concessions impossible, has firmly refused and is just watching K'arahan's lips. The crux of the breakdown in these negotiations is said to be, above all, the issue of rights and interests (利權문제). Would a 50/50 split work? But how could half possibly be satisfactory (양이 차야지)? Let's also await the outcome of this (이 亦 하회를 보자)!

Looking again within Chosŏn (朝鮮 - Korea)
The P'och'ŏn'gyo (普天敎), a superstitious organization claiming a million followers, led by the self-proclaimed "Son of Heaven of the Great Era," Ch'a Kyŏngsŏk (車京錫), has faced attacks from general society and suffered internal strife (內訌), reaching the unfortunate fate of internal rupture. As a final desperate cry (비명), it dispatched key officials to Japan to seek understanding (양해를 구하고) from the central government and various political parties, and is attempting to foster (부식하랴) some kind of influence by coordinating with an alliance of eleven organizations and various sympathetic factions. Their reckless actions (妄行) are nothing more than absurdities (晝出魍魎), hardly worth discussing, yet we cannot but call them a disgrace (일수치) to our nation.<38>

This year in Chosŏn, besides the drought and flood disasters (旱亂 水亂), there was also newspaper turmoil (新聞亂). The changes in leadership at the Tonga Ilbo (東亞日報), the battle over publishing rights at the Sidae Ilbo (時代日報), and the change in management at the Chosŏn Ilbo (朝鮮日報) are major examples. Whether this is a result of progress in our newspaper world (報舘界) or something else, we do not know, but we hope they continue to develop more faithfully and soundly.

-Section deleted here (original text)-

...and the authorities should take note (알어두어라).

Furthermore, regarding the Government-General (총독부) officials, about whom rumors of large-scale dismissals (大馘首說) have been circulating for some time, Mr. Shimooka (下岡君) recently took the high seat on the symbolic gallows (絞首臺) atop Waesŏngdae (倭城臺上) and began wielding his sharp sword (猛刀). Already, those sentenced to dismissal (馘首 선고) within the Government-General alone number 50 high-ranking officials and over 260 officials treated as Hanninkan rank and hired employees (判任待遇 及 雇員). Including provincial offices, the number of high-ranking, Hanninkan, and hired personnel reaches over 6,000. The Government-General's officialdom is... (remainder deleted - original text)

Mr. Shimooka's (下岡君) arrival in Korea (來朝) brings a feeling like a harsh frost descending in early autumn (早秋에 嚴霜下降함과 如한 感), and he will not escape the resentment of the many dismissed officials (衆木群草의 원한).

Also, looking at the movement of the proletariat (無産者), there is a sense that it is gradually becoming more organized (구체화하는 感) compared to last year. A special phenomenon (특수현상) is that women have begun to stand on the front line of the movement (운동선에 立하기를 始한 것). (For example, the establishment of the Yŏsŏng Tonguhoe (女性同友會 - Women's Friendship Society))<39>

**Summary**

This 1924 editorial analyzes the shifting global political landscape, focusing on the conservative turn in British and American politics (Baldwin's rise, Coolidge's election), interpreting it as a return to pre-WWI imperialism and predicting increased Anglo-American assertiveness, particularly concerning China and potentially checking Japan. It then turns to the chaotic situation in China, highlighting the unpredictable power struggles between warlords like Feng Yuxiang, Wu Peifu, Zhang Zuolin, and Duan Qirui, and the uncertain future amidst internal conflict and potential foreign intervention. The stalled Japanese-Soviet negotiations are briefly mentioned. Finally, the article comments on domestic Korean affairs: the internal collapse of the controversial Poch'ŏn'gyo religious movement, turmoil within major Korean newspapers (Dong-A Ilbo, Sidae Ilbo, Choson Ilbo), large-scale dismissals of officials by the Japanese Government-General under the new Civil Administrator Shimooka Chūji, and the nascent, but growing, organization of the proletarian movement, including the notable emergence of women's activism.

From a colonial history perspective, the article is revealing in several ways. It shows Korean intellectuals closely monitoring international power dynamics and interpreting them through the lens of imperialism, particularly Anglo-American influence in East Asia and its potential impact on Japan and China, which directly affected Korea. The commentary on the dismissals within the Government-General provides insight into the administrative shake-ups under Japanese rule and the resentment they caused. The mention of the Poch'ŏn'gyo controversy and newspaper struggles reflects internal social and media developments, while the note on the proletarian and women's movements indicates the early stages of social organizing under colonial constraints. Historians might find the framing of global events, the specific details of colonial administration changes (Shimooka's actions), and the observations on nascent social movements particularly interesting.

**Named Entities**

英米	영미	Yeongmi (UK/US)
캄벨	캄벨	Campbell
영국	영국	Yeongguk (UK)
보수당	보수당	Posudang (Conservative Party)
자유당	자유당	Chayudang (Liberal Party)
노동당	노동당	Nodongdang (Labour Party)
막도날드	막도날드	Makdonaltŭ (MacDonald)
볼드윈	볼드윈	Poltŭwin (Baldwin)
지노브에푸	지노브에푸	Chinobŭep'u (Zinoviev)
露西亞	노서아	Nosŏa (Russia - older term)
보나로	보나로	Ponaro (Bonar Law)
新嘉坡	신가파	Singgap'a (Singapore)
英佛	영불	Yeongbul (UK/France)
중국	중국	Chungguk (China)
對日	대일	Taeil (Towards Japan)
對露	대로	Taero (Towards Russia)
미국	미국	Miguk (US)
쿨니지	쿨니지	K'ulniji (Coolidge)
共和	공화	Konghwa (Republican)
民主	민주	Minju (Democratic)
루스벨트	루스벨트	Rusŭbelt'ŭ (Roosevelt)
進步黨	진보당	Chinbodang (Progressive Party)
라풀렛트	라풀렛트	Rap'ullet'ŭ (La Follette)
농업노동당	농업노동당	Nong'ŏmnodongdang (Farmer-Labor Party - implied)
곰파스	곰파스	Komp'asŭ (Gompers)
노동조합연맹	노동조합연맹	Nodongjohabyŏnmaeng (Federation of Labor Unions / AFL)
하-스트	하-스트	Ha-sŭt'ŭ (Hearst)
데비스	데비스	Tebisŭ (Davis)
歐洲	구주	Kuju (Europe - older term)
浙江軍	절강군	Chŏlganggun (Zhejiang Army)
直派	직파	Chikp'a (Zhili Clique)
江蘇軍	강소군	Kangsogun (Jiangsu Army)
盧永祥	노영샹	No Yŏngsyang (Lu Yongxiang)
何豊林	하풍림	Ha P'ungnim (He Fenglin)
日本	일본	Ilbon (Japan)
齊燮元	제섭원	Che Sŏbwŏn (Qi Xieyuan)
孫文	손문	Son Mun (Sun Yat-sen)
奉天	봉천	Pongch'ŏn (Fengtian)
張作霖	장작림	Chang Chakrim (Zhang Zuolin)
山海關	산해관	Sanhaegwan (Shanhaiguan)
吳佩孚	오패부	O P'aebu (Wu Peifu)
馮玉祥	풍옥상	P'ung Oksang (Feng Yuxiang)
北京	북경	Pukkyŏng (Beijing)
天津	천진	Ch'ŏnjin (Tianjin)
宣統帝	선통제	Sŏnt'ongje (Xuantong Emperor / Puyi)
赤露	적로	Chŏngno (Red Russia / Soviet Union)
段祺瑞	단기서	Tan Kisŏ (Duan Qirui)
長江	장강	Changgang (Yangtze River)
카라한	카라한	K'arahan (Karakhan)
朝鮮	조선	Chosŏn (Korea)
車京錫	차경석	Ch'a Kyŏngsŏk
普天敎	보천교	P'och'ŏn'gyo
東亞日報	동아일보	Tongailbo (Dong-A Ilbo)
時代日報	시대일보	Sidaeilbo (Sidae Ilbo)
朝鮮日報	조선일보	Chosŏnilbo (Choson Ilbo)
총독부	총독부	Ch'ongdokpu (Government-General)
下岡	하강	Ha Kang (Shimooka Chūji)
倭城臺	왜성대	Waesŏngdae
女性同友會	여성동우회	Yŏsŏngdonguhoe (Women's Friendship Society)

**Glossary**

맛당히	마땅히	Properly, rightly (older spelling)
돌릴지라	돌릴지라	Should turn (older grammatical form)
不問에 附한 것	불문에 부한 것	The act of letting something go unquestioned / not prosecuting
바든	받은	Received (older spelling)
드대여	드디어	Finally, at last (older spelling/form)
엇지엇지하야	어찌어찌하여	Somehow, for whatever reason (older spelling)
업지 안음은	없지 않음은	Not non-existent (i.e., existent) (older spelling)
밧게	밖에	Outside of, besides (older spelling)
잇서	있어	Being, existing (older spelling)
닐어나자부터	일어나자부터	Since the beginning/outbreak of (older spelling)
십흐나	싶으나	Want to, but... (older spelling)
안저	앉아	Sitting (older spelling)
마즈랴나보다	맞으려나 보다	Seems likely to greet/face (older spelling)
내여	내어	To produce, elect, put forth (older spelling/form)
맨드는	만드는	Making (older spelling)
現出케 한	현출케 한	Caused to appear/emerge
藏相	장상	Finance Minister (Chancellor of the Exchequer in UK context)
磅	파운드	Pound (currency)
언지로 한	언지로 한	Using as a basis or pretext
赤化	적화	Communization ('Red-ification')
變狀	변상	Change in state or situation
政海	정해	Political world ('political sea')
異분자	이분자	Dissenting element, faction
표방해서	표방해서	Claiming to represent, under the banner of
擁한	옹한	Controlling, having the support of
勸說	권설	Persuasion, lobbying
金權黨	금권당	Plutocratic party, party of money power
정강	정강	Political platform/plank
試하야	시하여	As an example, let's try looking at... (Classical Chinese influenced grammar)
瀕하는	빈하는	Bordering on, facing (danger)
不辭할 것	불사할 것	Will not decline, will not hesitate
은연 암연중에	은연 암연중에	Tacitly and implicitly
緣交	연교	Connection, tie, relationship
陳謀	진모	Scheme, plot
做出하며 잇다	주출하며 있다	Are devising/creating (older grammatical form)
견제키	견제키	To check, restrain (older grammatical form)
烏乎定	오호정	Where will it settle? How will it be decided? (Classical Chinese phrase)
顚沛無常	전패무상	Constant ups and downs, unstable (Sino-Korean idiom)
종국	종국	Final outcome, end result
勢孤力弱	세고력약	Isolated in position and weak in strength (Sino-Korean idiom)
一敗塗地	일패도지	Utterly defeated ('one defeat smears the ground') (Sino-Korean idiom)
窮途	궁도	Desperate situation, dead end
触感	촉감	Impression, feeling (less common usage)
無卒之將	무졸지장	General without soldiers (Sino-Korean idiom)
헛대포	헛대포	Empty cannon; bluff, empty threat
꿈틀거리기에	꿈틀거리기에	Because it was stirring/wriggling
何勝何敗	하승하패	Regardless of victory or defeat (Sino-Korean idiom)
豹變하야	표변하여	Undergoing a sudden change ('leopard changing spots')
일거	일거	In one move, at one stroke
容身의 處	용신의 처	Place to stay, refuge ('place to contain the body')
기맥을 통하고	기맥을 통하고	To establish connections with, collude with
추대하는	추대하는	Pushing for leadership, endorsing
수습	수습	Handling, resolution, settlement
監政	감정	Regent
執政	집정	Chief Executive
하회를 보자	하회를 보자	Let's await the next development/outcome ('let's see the lower chapter')
利權	이권	Rights and interests, concessions
양이 차야지	양이 차야지	It has to be satisfactory ('stomach must be full')
旱亂	한란	Drought disaster
水亂	수란	Flood disaster
新聞亂	신문란	Newspaper turmoil/disorder
報舘界	보관계	Newspaper world, press circles
內訌	내홍	Internal discord, strife
비명	비명	Scream; here, final desperate act/cry
양해를 구하고	양해를 구하고	Seeking understanding/consent
부식하랴	부식하랴	Intending to foster/cultivate (older grammatical form)
妄行	망행	Reckless act, delusion
晝出魍魎	주출망량	Goblin appearing in daylight; something absurd/out of place (Sino-Korean idiom)
일수치	일수치	One shame, a disgrace
大馘首說	대괵수설	Rumors of large-scale dismissals ('great head-chopping talk')
倭城臺	왜성대	Site of former Japanese castle (in Seoul, location of Gov-Gen building)
絞首臺	교수대	Gallows
高坐하야	고좌하여	Sitting high, taking the seat of judgment
猛刀	맹도	Sharp sword
馘首	괵수	Dismissal ('chopping the head')
判任待遇	판임대우	Treatment as a Hanninkan (lower rank official)
雇員	고원	Hired employee (non-official status)
來朝	내조	Coming to Korea (term often used for Japanese officials)
嚴霜下降	엄상하강	Harsh frost descending
衆木群草	중목군초	Many trees and grasses (metaphor for many people, here officials)
無産者	무산자	Proletariat, propertyless class
구체화하는	구체화하는	Becoming concrete/organized
운동선에 立하기를 始한 것	운동선에 입하기를 시한 것	The act of beginning to stand on the front line of the movement
특수현상	특수현상	Special phenomenon
-e 

---------------------------


잡지명	개벽 제54호
발행일	1924년 12월 01일
기사제목	時局維觀, 大戰以前을 聯想케 하는 英米의 政情
기사형태	논설

時局維觀, 大戰以前을 聯想케 하는 英米의 政情
육해군 제군은 맛당히 그 총뿌리를 자본가, 착취자, 에게 돌릴지라」한, 캄벨씨의 叛亂敎唆를 不問에 附한 것은, 확실히 영국의 사법권을 욕한 것이라 하야, 보수, 자유 양당의 연합반대를 바든 영국 노동당정부는, 지난 10월 9일에 드대여 의회를 해산하고, 동 30일로써 총선거를 단행하엿던 바, 그 결과는, 259명에 불과하던 보수당의원이 407명의 절대 다수를 점하고, 192명의 노동당원이 150여명으로 감소하야, 막도날드 내각은 11월 4일로써 총사직을 단행하고, 보수당의 영수인 볼드윈씨가 다시 신내각을 조직하엿다.
누구나 생각하는 바와 가티, 영국 노동당 내각은 보수당 내각의 뒤를 니여, 자유당의 찬동을 어더, 금년 1월에 실현되엿던 바, 이제 10개월을 지나지 못하야, 다시 보수당에게 그 자리를 앗기움이 되엿스며, 앗기우게 된 직접원인은, 처음에는 노동당 내각을 찬성하든 자유당 의원이, 나죵에는 每每히 반대를 행하야, 정부불신임안과 同성질인 「캄벨」사건 조사위원 설치안 까지를 통과케 한 것이 그 하나이오, 그리고, 영국 다수인민의 심리가 엇지엇지하야, 한번 노동당 내각의 실현을 용인하엿스나, 언제던지 보수적인 영국인은, 매양 그 내각의 시위를 감시하며, 만일을 경계하던 중, 소위 캄벨사건은 時정부를 공격하는 유일한 자료가 되엿스며, 加之而 금번 총선거를 임시하야 생긴, 소위 지노브에푸 書翰사건(제3 국제공산당의 위원장인 지노브에푸씨로부터 영국 공산당 본부에 공산혁명을 敎囑한 서한이 왓다는 것)은, 크게 영국 선거민의 감정을 상하야, 다수의 유권자는 다수의 노동당 의원을 내여, 영국을 제2 露西亞로 맨드는 것보다는, 보수당 의원을 내여, 大혁명제국의 역사를 옹호함이 맛당하겟다 하야, 결국 보수당의 편을＜35＞ 도와 볼드윈 내각을 現出케 한 것이다.
볼드윈씨는, 일즉히 보나로내각의 藏相이 되야 新嘉坡 군항의 건설을 찬성하야, 총경비 1천만磅을 計上한 일이 잇는 관계상, 前내각이 중지한 新嘉坡 군항안을 부활식힐 것은 물론이오, 그 밧게도 종래로 문제되든 순양함 14척 건조문제, 보호관세정책 가튼 것을 실현하야 거의 극단으로 英제국의 침략정책을 발휘할 모양인 바, 이러케 나아가면, 前내각 시대에 다소나마 협조의 기초를 준한 英佛의 국교도 다시 험난하게 될지며, 중국 문제를 언지로 한 對日정책에서나, 赤化 방지를 핑계로 한 對露정책에서나, 다-가티 이상한 변화를 보게 될지며, 이리하야 영국의 인심도 점점 제국주의이냐 혁명주의이냐 하는 극단극단의 변태를 드리게 되는 것이다. 영국 문제에 다음하야, 최근 세계의 變狀 중에 하나으로 헤일 문제는, 미국대통령 「쿨니지」씨의 당선이다.
원래 미국의 政海는 오랫동안을 두고 共和 民主 양당이 대립하야오는 관계상 其餘의 정당은 하등의 세력이 잇지 못하든 중, 1912년에 故 루스벨트씨가 공화당으로부터 분리되야 進步黨을 조직하매, 이것이 한번 민주당을 유리케함이 되엿스며, 其후로 공화당 내에 異분자가 업지 안음은 아니엿스나, 별로 후보를 다툼과 가튼 일은 업더니, 이번 라풀렛트씨가 공화당으로부터 분리하야, 농업노동당 기성정당에 불만을 갓고 잇는 급진분자를 배경으로 제3당으로 표방해서 출마한 관계상, 그 인기야말로 자못 굉장한 중, 특히 곰파스씨를 수령으로 하야 미국 노동조합의 7,8분을 擁한 노동조합연맹이, 종래 정치에 직접으로 참가치 안코 單히 의원에 대한 勸說 또는 견제에 그치든 태도를 버리고, 단연히 제3당을 원조할 事를 성명하고, 또 하-스트계의 각 신문지들도 제3당을 성원하야, 라풀렛트씨의 세력은 꽤 굉장하엿다. 그러나 정말 선거 당일인 4일(11월)의 개표 결과에 의하면, 쿨니지씨가 379표, 데비스(민주당후보)씨가 139표, 라풀렛트씨는 겨우 13표를 어덧는데 불과하야, 결국 미국의 대통령은 공화당 후보 쿨니지씨로 되고 마럿다. 이로써 보면 오늘의 미국 사람이 얼마나 자본주의적임을 알 수 가 잇는 것이다.
