잡지명	별건곤 제2호
발행일	1926년 12 01일
기사제목	西洋夫人의 朝鮮男便 李星鎔 博士의 서울살림 獨逸서 싹튼 戀愛 = 서울서 단 生活 (Western Wife's Korean Husband Dr. Yi Sŏngyong's Seoul Household: Love Blossomed in Germany = Sweet Life in Seoul)
필자	一記者 (A Reporter)
기사형태	소식 (News/Report)

Like water mixed with water, bland and dull are our Korean households. No, stepping over from an era of morals even more rotten than that, across the bridgehead (橋際) leading to a bright, cheerful, and flavorful new era, are the young Korean couples suffering headaches from domestic coldness and discord! Occasionally, at Seoul's Chongno crossroads or in Andong square, one sees a couple walking side-by-side, shoulders aligned, collars brushing – the husband Korean, the wife Western. Many look on with envious eyes, and not a few with curious ones. This couple is none other than Dr. Yi Sŏngyong and his wife, who returned from Germany last winter with his wife and set up a new home at the entrance to Kwanhun-dong. His wife, hailing from a vastly different land with different bloodlines, climate, and entirely different language and customs, is the only daughter from a quiet farming village in Czechoslovakia, a newly established independent nation in Central Europe (中部 歐羅巴), south of Germany. She thoroughly realized the ideal of borderless love, leaving behind her beloved homeland and lonely mother, seeking her husband's distant country, and has just arrived in Korea.

Though the story delves slightly into the past, Dr. Yi first left his homeland for Germany to study five or six years ago. Shortly after arriving there, perhaps due to not acclimatizing to the region or the food not agreeing with him, his physical health suffered. He went for recuperation to a place in the neighboring country, Czechoslovakia, and while hospitalized there, it seems the East-West sentiment of the sick sympathizing with the sick holds true. Much like we often see in modern novels, the two young people from different countries, groaning in adjacent hospital beds, crossed borders <75> and soon found themselves transported to the land of love.

Western women are originally quite curious, and at that time, after the Great European War, the difficulty for women to marry was considerable. But more than that, the burning love between the two demanded they become formally married. However, upon hearing the news, Dr. Yi's family considered it bizarre behavior and abruptly cut off his academic funding. Despite this, the passion and love on that side did not cool in the slightest. During the four or five years he remained there, and until the couple returned seeking his homeland, the help and support from his wife's family were indeed significant. In that place, where the moon shone on the Alps and the wind blew along the Danube River (따늄 강), with the atmosphere of Southern Europe (南歐風情) nearby, one year, then two passed. Finally, in the splendid Austrian capital, Vienna (웬시), they held a grand wedding ceremony, becoming an object of admiration for young people of both yellow and white races, reportedly thanks to the considerable material contribution from the wife's family.

"How many Koreans are living with Western wives?"
"There are two or three, I think, but they supposedly live down in the countryside? And in Seoul, isn't Mr. Yi Sŏngyong living with a German woman?"
"So, he's the only one in Seoul, it seems. But she's not actually German, but from Czechoslovakia, the country between Germany and Austria that became independent after the last Great European War. Anyway, regardless, visiting their home wouldn't be a bad idea. How are they living?"
This was the back-and-forth conversation that arose one day in our editorial office.

"That sounds good. It must be somewhat different from an ordinary household, so introducing it would be worthwhile. But who will go?"
Already, the eyes of everyone in the editorial office seemed to be turning towards me. I, too, find the typical Korean household awkward – the wife who can barely manage a proper response when someone visits, the husband acting cautiously as if some secret might be revealed – so I disliked the idea of going. However, it was the home of Dr. Yi, who lived with a Western wife. "Alright, I'll go then," I declared and abruptly stood up.

The time was the morning of a certain day in November.
When my feet stepped onto the Andong crossroads, on the right side of the alley leading south towards Sa-dong (寺洞), a sign hung high on a three-story brick building. In the center, horizontally, "Dr. Yi Sŏngyong Clinic" (리성용 의원) was written in black letters. Below that, "Telephone Kwanghwamun 1626" (전화 광화문 1626번) was in red, and on both sides, "Specializing in Pleurisy, Tuberculosis, Respiratory Diseases" (전문 륵막병, 폐병, 호흡긔병) was written vertically in black. Anyone looking for the clinic would quickly spot it. Two or three houses down that alley from the crossroads, attached to the brick building, was a two-story stone house. Above the entrance door, a sign under a bare daytime electric light bulb shimmered, reflecting the moonlight. This house, with the clinic below and living quarters above, was Dr. Yi's home.<76>

Opening the door and entering the waiting room, I waited briefly. After a male and a female patient each finished their consultation with the doctor and left, there was a gap, and he called me into the consultation room. Being inherently awkward in social situations, I stated the purpose of my visit and initiated the conversation.

"Doctor, since you live with a foreign wife, if you don't mind my asking, what differences do you perceive compared to Korean women?"
"Well, let's see. I would need to have associated with Korean women to compare the two. But when I originally left for abroad, I was a twenty-one-year-old bachelor, so despite being Korean, I have no experience associating with Korean women, making it difficult to say."
"Then, what lifestyle do you follow, and are there any points of mutual inconvenience?"
"As for lifestyle, as you can see, we live like this, so naturally, we adopt both Western and Korean ways. You could call it a Chosŏn-Western compromise, perhaps. However, my wife came here from afar, unable to communicate well and unfamiliar with all sorts of circumstances, so she naturally feels lonely. While I cannot fully console her, leaving her too lonely feels wrong. Due to my work commitments as well, I cannot freely leave the house for outings and such. Therefore, while many understanding friends sympathize, some uninformed people criticize, saying I live under my wife's thumb (妻侍下) or whatnot. But given the circumstances, as time passes, my wife is also becoming more understanding and Koreanized, and my parents also understand <77>, so we just get by like this."
However, within his words, there seemed to be unspoken hardships (苦情) associated with living with a foreign woman.

After hearing this general account, I requested to meet his wife briefly and was guided upstairs.
Wondering inwardly what to ask, I sipped the tea offered by the doctor and looked around the room. Several Western painting plaques, large and small, hung on the walls. In the center of the room stood a table with a few chairs, and off to one side, a bed. There was no complex or luxurious furniture; it was mostly practical and simple, making me think that perhaps the German style of living had been transmitted through this couple.

Lively footsteps sounded from the third floor, and the doctor introduced his wife, who had come down from doing laundry. She came in wearing a faded Western suit, with large, distinct fingers and abundant blonde hair. I hesitated considerably during the first greeting, unsure whether to shake hands or just bow. However, she simply bowed modestly in the Eastern style. During the ensuing brief conversation, dealing with her felt much more refreshing and cheerful than interacting with typically cautious and deferential Eastern wives; there was no awkwardness at all. The wife sat on a stool, smoked a cigarette, and occasionally mixed in clumsy Korean words, speaking through the doctor's interpretation.

Reporter: "What was your first impression upon coming to distant Korea?"
Wife: "Aigo, Korea scary! (Up to here in Korean, then continued in German, sounding somewhat disillusioned about coming to Korea.) Although I came here, I don't know the language or the customs, so I can't go out and do anything. I just stay cooped up like this as a housewife."
Reporter: "Being so far away like this, you must naturally think of your homeland."
Hearing this, the wife, whose face had been so cheerful, seemed to momentarily contemplate, as if longing for her homeland.
Wife: "Of course."
Her expression seemed to darken slightly.
I regretted bringing up such a topic unnecessarily. But I pressed on.
"What was your impression of Korean women when you first arrived?" I asked.
Wife: "Many Korean friends have visited, and there are ladies I socialize with, but since we currently don't know each other's language, I can't understand their inner thoughts even when we interact, so I don't have much of an impression."
Reporter: "Have you tried Korean food?"
Wife: "Aigo, pap is scary (Seems she finds rice intimidating). But kimchi, kkakdugi (these also in Korean), I eat them well."
Reporter: "So, do you know how to make them yourself?"
Wife: "The Korean girl (Also in Korean, likely referring to a young female helper who makes them)."
Reporter: "Have you tried wearing Korean clothes, and what do you think of them?"<78>
Wife: "I haven't worn them, but seeing others wear them, they look very elegant. However, the flaw is that they apply oil to their hair, making the back black and dirtying the undergarments. If that were fixed, they would be very nice. In any case, they look much better than Japanese women's clothing. And one thing I find regrettable is the practice of wailing 'Aigo, aigo' when someone dies, and besides that, the failure to save time and expense during weddings and funerals."
The conversation ended there. Since everyone was busy, prolonging the interruption seemed inappropriate. I said my goodbyes and turned my back on Dr. Yi's house – a stone house cool on the outside, but where a warm spring breeze likely blew again year-round inside – and returned. -End-<145>

**Summary**

This 1926 article from *Pyŏlgŏn'gon* magazine features an interview with Dr. Yi Sŏngyong, a Korean doctor, and his Czechoslovakian wife about their life in Seoul. Dr. Yi met his wife while recovering from an illness in Czechoslovakia after studying in Germany. Despite his family's initial disapproval and cutting off funds, they married in Vienna with her family's support. The interview explores their "Chosŏn-Western compromise" lifestyle, the challenges of language barriers and cultural differences, the wife's feelings of isolation, and her observations about Korean customs, food, and clothing compared to Western and Japanese styles. The article portrays their cross-cultural marriage as both intriguing and fraught with subtle difficulties.

From a historical perspective, the article offers a rare glimpse into international marriage in colonial Korea, highlighting societal attitudes towards such unions (envy, curiosity, criticism). The wife's candid, sometimes critical, observations on Korean practices (funerals, hygiene associated with traditional clothing) provide an outsider's perspective on Korean culture during the period. The mention of post-WWI Czechoslovakia and the economic difficulties (marriage prospects, reliance on wife's family) adds context to their personal story within broader global events. Historians might find the detailed description of their life, the cultural adjustments, and the explicit comparison between Korean, Western, and Japanese clothing styles particularly interesting.

**Named Entities**

西洋	서양	Western
朝鮮	조선	Chosŏn (Korea)
李星鎔	이성용	Yi Sŏngyong
獨逸	독일	Togil (Germany)
서울	서울	Sŏul
종로 네거리	종로 네거리	Chongno Crossroads
안동	안동	Andong
歐羅巴	구라파	Yurop'a (Europe)
첵코스롭파캬	체코슬로바키아	Ch'ek'osŭrop'ak'ya (Czechoslovakia)
오스트리아	오스트리아	Osŭt'ŭria (Austria)
웬시	웬시	Wensi (Likely Vienna)
알프쓰 산	알프스 산	Alp'ŭssŭ San (Alps)
따늄 강	따늄 강	Ttanyum Kang (Likely Danube River)
편즙실	편집실	P'yŏnjŭpsil (Editorial Office)
寺洞	사동	Sa-dong
光化門	광화문	Kwanghwamun
日本	일본	Ilbon (Japan)

**Glossary**

덤덤한	덤덤한	Bland, tasteless (older spelling/form of 덤덤한)
잇다금	이따금	Occasionally, sometimes (older spelling)
녀자	여자	Woman (older spelling)
니러난	일어난	Occurred, happened, established (older spelling/form of 일어난)
업는	없는	Without, lacking (older spelling)
식혀가지고	실현시켜가지고	Having realized (older spelling/form of 실현시켜가지고)
녀사	여사	Lady, Mrs. (older spelling)
이약이	이야기	Story, talk (older spelling)
맛지	맞지	Not suiting, not agreeing with (older spelling/form of 맞지)
근강	건강	Health (older spelling/form of 건강)
업슬	없을	Will not be, non-existent (older spelling)
가티	같이	Like, as (older spelling)
마럿다	말았다	Ended up doing (older spelling/form of 말았다)
만코	많고	Many, much (older spelling)
엇지만	이지만	Although it is (older spelling/form of -(이)지만)
긔어코	기어코	By all means, finally (older spelling)
되얏스나	되었으나	Although it became (older spelling/form of 되었으나)
듯자	듣자	Upon hearing (older spelling/form of 듣자)
바렷스되	버렸으되	Although discarded/stopped (older spelling/form of 버렸으되)
도라오기	돌아오기	Returning (older spelling)
빗치고	비치고	Shining (older spelling)
갓가운	가까운	Near, close (older spelling)
밧게	밖에	Outside of, except for (older spelling)
뵈이	보여	Seems, looks (older spelling/dialectal form of 보여)
엇더케	어떻게	How (older spelling)
좃치	좋지	Good, fine (older spelling/form of 좋지)
터이닛가	터이니까	Because it must be (older spelling/form of 터이니까)
밧고	받고	Receiving (older spelling)
가태서	같아서	Being like, similar to (older spelling/form of 같아서)
들닐	들릴	Be heard, be revealed (older spelling/form of 들릴)
실켓지만	싫겠지만	Although one dislikes (older spelling/form of 싫겠지만)
듸듸여 젓슬때	디디었을 때	When one stepped on (older spelling/form of 디디었을 때)
으른편	오른편	Right side (older spelling/form of 오른편)
우넓드란	위넓드란	High and wide (descriptive form, older spelling)
고밋헤	그 밑에	Below that (older spelling/form of 그 밑에)
량성호	양쪽으로	On both sides (older form/usage)
띄우게	띄게	To be conspicuous, noticeable (older spelling/form of 띄게)
빗업는	빛 없는	Without light, dull (older spelling)
낫	낮	Daytime
달빗	달빛	Moonlight (older spelling)
바더	받아	Receiving (older spelling)
반작이고	반짝이고	Sparkling, glittering (older spelling)
알에	아래에	Below (older spelling)
우에	위에	Above (older spelling)
잇슴으로	있으므로	Because there is/are (older spelling/form of 있으므로)
불너	불러	Calling (older spelling)
끄내엿다	꺼내었다	Brought up, started (a topic) (older spelling/form of 꺼내었다)
엇더한	어떠한	What kind of, how (older spelling)
잇다고	있다고	That there is (older spelling)
생각하심닛가	생각하십니까	Do you think? (older polite interrogative ending -ㅁ닛가)
글세	글쎄	Well, let me see (interjection)
사괴여	사귀어	Associating with, befriending (older spelling)
보앗서야	보았어야	Should have seen/experienced (older spelling/form of 보았어야)
량편	양편	Both sides (older form of 양편)
잇슬것인데	있을 것인데	Would be, likely is (older spelling/form of 있을 것인데)
잇섯기	있었기	Because there was / because one was (older spelling/form of 있었기)
엇덧타고	어떻다고	How it is (older spelling/form of 어떻다고)
업슴니다	없습니다	There is not / Does not exist (older polite ending -ㅂ니다)
엇더한	어떠한	What kind of (older spelling)
잇스닛가	있으니까	Because there is (older spelling/form of 있으니까)
만하야	많아서	Being many/much (older spelling/form of 많아서)
할넌지요	할는지요	Perhaps could be called (older conjectural ending)
익지	익지	Not familiar with (older spelling/form of 익숙하지)
늣기게	느끼게	To feel (older spelling/form of 느끼게)
못해줄지라도	못해줄지라도	Even if unable to do fully (older form)
무엇하야	뭣하여	Being somewhat awkward/difficult (older form/meaning)
그럿치만	그렇지만	However, but (older spelling)
만치만	많지만	Although many (older spelling)
엇저느니	어쩌느니	Saying this or that (older spelling/form of 어쩌느니)
그러닛가	그러니까	Therefore, so (older spelling)
갈사록	갈수록	As time goes by, increasingly (older spelling)
만코	많고	Many, much (older spelling)
잇는듯도 십헛다	있는 듯도 싶었다	It seemed like there was (older spelling/form of 싶었다)
듯고	듣고	Hearing (older spelling)
맛나기를	만나기를	To meet (older spelling/form of 만나기를)
바더	받아	Receiving (guidance) (older spelling)
올나갓다	올라갔다	Went up (older spelling)
무러볼가	물어볼까	Shall I ask? (older spelling/form of 물어볼까)
들너	둘러	Around (older spelling/form of 둘러)
보앗스나	보았으나	Although looked (older spelling/form of 보았으나)
걸려잇고	걸려있고	Is hanging (older spelling/form of 걸려있고)
노여잇고	놓여있고	Is placed (older spelling/form of 놓여있고)
업시	없이	Without (older spelling)
왓는가	왔는가	Has come (older interrogative form)
빨내하다가	빨래하다가	While doing laundry (older spelling)
국직국직한	굵직굵직한	Thick, large (fingers) (older spelling)
다복한	다복한	Abundant, plentiful (hair)
밝으레한	밝으레한	Faded, light-colored (clothing)
드러오는데	들어오는데	While coming in (older spelling)
엇덧슴닛가	어떠십니까	How is it? (older polite interrogative ending -ㅁ닛가)
여긔까지	여기까지	Up to here (older spelling)
들녓다	들렸다	Sounded like, was heard as (older spelling)
왓지만	왔지만	Although came (older spelling)
모르닛가	모르니까	Because one doesn't know (older spelling)
밧게	밖에	Outside (older spelling)
업고	없고	Not having, without (older spelling)
드러박혀	틀어박혀	Being cooped up, shut in (older spelling/form of 틀어박혀)
잇슴니다	있습니다	Am/is/are (older polite ending -ㅂ니다)
게시니	계시니	As you are (honorific) (older spelling)
나시겟지요	나시겠지요	You must think of/remember (older form)
드른	들은	Heard (older spelling)
그럿틋	그렇듯	Like that, so (older spelling)
얼골	얼굴	Face (older spelling)
그리워라는 드시	그리워하는 듯이	As if longing for
그럿쿠 말구요	그렇고 말고요	Of course, absolutely (older spelling/form)
얼골빗	얼굴빛	Facial expression, complexion (older spelling)
끄집어	끄집어	Pulling out, bringing up (a topic)
후회엿섯다	후회였었다	Regretted (older past perfect form)
오서서	오셔서	Coming (honorific) (older spelling)
엇덧습닛가	어떠십니까	How is it? (older polite interrogative ending -ㅂ닛가)
무럿다	물었다	Asked (older spelling)
만코	많고	Many (older spelling)
잇스나	있으나	Although there are (older spelling)
그럿타 할	그렇다 할	So-called, particular
업슴니다	없습니다	There is not (older polite ending -ㅂ니다)
잡수어	잡수어	Eating (honorific) (older spelling)
보섯습닛가	보셨습니까	Have you tried/seen? (older polite interrogative ending -ㅂ닛가)
짐치	김치	Kimchi (older spelling)
깍둑이	깍두기	Kkakdugi (cubed radish kimchi) (older spelling)
아심닛가	아십니까	Do you know? (older polite interrogative ending -ㅁ닛가)
게집애	계집애	Girl (often derogatory, here likely refers to a young female servant/helper) (older spelling)
심부림하는	심부름하는	Running errands, helping (older spelling)
보섯스며	보셨으며	Have you seen/tried and... (older spelling/form of 보셨으며)
엇더십닛가	어떠십니까	How is it? (older polite interrogative ending -ㅂ닛가)
뵈는데	보이는데	Looks, appears (older spelling/form of 보이는데)
발너서	발라서	Applying (oil) (older spelling)
곳치면	고치면	If fixed/corrected (older spelling)
뵈입니다	보입니다	Looks, appears (older polite ending -ㅂ니다)
그러고	그리고	And (older spelling)
죽엇슬때	죽었을 때	When someone died (older spelling/form of 죽었을 때)
졀약하지	절약하지	Not saving (older spelling)
함니다	합니다	Think, consider (older polite ending -ㅂ니다)
끗낫스나	끝났으나	Although finished (older spelling/form of 끝났으나)
되얏슴으로	되었으므로	Because it became/was (older spelling/form of 되었으므로)
것흐로	겉으로	On the outside (older spelling)
써-늘한	싸늘한	Cool, chilly (older spelling)
