Magazine Title: 開闢 제45호
Publication Date: 1924년 03월 01일
Article Title: 自由通情 (Free Correspondence)
Article Type: 소식 (News/Updates)

自由通情 (Free Correspondence)

People of Yongsan, let us fight to the very end!
Yong Gongseol (龍公舌 - Mouthpiece of Yongsan?)

On this day when the fervor for entering school is swelling, while other schools within Kyŏngsŏng Prefecture (Seoul) are adding extensions or constructing new buildings to accommodate as many applicants as possible, Yongsan Public Normal School doesn't even dream of extensions or new construction. Furthermore, it limits new admissions for the boys' department first year to 60 students and recruits no students at all for the girls' department first year. While other schools are newly establishing girls' departments they didn't have before, Yongsan Public School is said to be eliminating the girls' department it already had. What on earth is the reason for this? Are the authorities, who advocate for impartiality (一視同仁), discriminating so severely in education? Don't the residents of Yongsan pay school fees just like others? Do we have the obligation to pay school fees but not the right to enroll our children? Can we, the residents of Yongsan, sweetly accept such unfair discriminatory treatment and just sit idly by? Therefore, the Yongsan Public Normal School Supporters' Association held an emergency meeting on the 14th, and as a result, decided to negotiate with the Kyŏngsŏng Prefecture authorities. They selected Representative Committee Member Kim Ch'ang-du and three others to inquire about the reason from the Kyŏngsŏng Prefecture authorities. The Prefectural Governor (府尹) used the lack of classrooms as an excuse, and Director of Internal Affairs T'aekch'on (澤村 內務部長) stated that instead of eliminating the girls' department in Yongsan, it was decided to newly recruit students in Hyoch'ang. When the representative committee members mentioned that there is a usable classroom (a warehouse that could be used as a classroom with minor repairs) and that young girls cannot commute to Hyoch'ang, the authorities, perhaps having no response to that, eventually cited a lack of budget. Because the authorities' words were so absurd, the representative committee members returned disheartened and immediately initiated a Yongsan Residents' Assembly. At the Yongsan Residents' Assembly held on the 24th at Yongsan Public Normal School, the following resolutions were made.

Resolution Draft
1. Limiting the number of newly enrolling children for the 1924 academic year (Taishō 13) at Yongsan Public Normal School to 60 for the boys' department first year and not recruiting any for the girls' department first year is deemed as disregarding education in Yongsan.
2. We aim for an increase in the recruitment of boys' department first-year children and the revival of the girls' department first year.
3. The method for implementing the above shall be entirely entrusted to five executive committee members according to the chairman's instructions.
The above is resolved.
February 24, Taishō 13 (1924) Yongsan Residents' Assembly
Chairman Min Yŏng-sun
Secretary Yi Hang-nae
Resident Representatives Pak Hyŏng-bae
Kim Ŭn-hyŏn
Pak Tong-gu
Based on this resolution, Executive Committee Members U Chong-hyŏn, P'yo Sang-hyŏp, Kim Ch'ang-du, Yi Sun-yŏng, and Yun U-yŏng (5 individuals) were designated to negotiate with the Kyŏngsŏng Prefecture authorities. While we trust that the executive committee will, of course, fulfill their responsibility by exerting their utmost effort on behalf of all us residents, we residents must possess the resolve to fight with consistent enthusiasm until the day the resolutions of this assembly are implemented as decided.

How is the "Historical Study of Korean Art" (朝鮮 美術의 史的考察) coming along?
Tongmo Ilsaeng (東慕一生)

Greetings. I hope for the health of everyone at your esteemed company and the increasing development of the beloved "Kaebyŏk" (開闢). The "Historical Study of Korean Art" (造船美術의 史的 考察 - *Translator note: Uses 造船 (Chosŏn), older way to write 朝鮮 (Chosŏn)*), which was serialized starting from your esteemed company's issue 22, has remained unfinished since May last year, issue 35, and we have been unable to see its conclusion until now. What is the reason for this? Please let me know whether it will be continued or not.

Editor: We are very sorry to have to tell you this upon your inquiry. It was unavoidably discontinued due to the writer's circumstances. We cannot yet determine whether it will be continued or not. <109>

Why did "Social Aspects of the Past Year" (最近1년의 社會相) stop midway?
Student from Sunch'ang Tamyang (淳昌 潭陽生)

(Excerpt) I read the January issue with great interest. Thank you very much. One thing I'd like to ask is, why did the article in the January issue, "Social Aspects of the Past Year (during the recent year)," only cover up to June and not continue? Synthesizing the recent movements in various fields of our society provides a comprehensive overview and likely offers considerable benefit to the reader. Please continue it through December if possible. Also,
Regarding the critique of the inside story of Mimun Kobo (微文高普) in this issue, I sympathize with it for the sake of our education sector, for Mr. Min's (閔氏) personal enterprise, and also for the many entrepreneurs who will emerge in Chosŏn's future. However, I feel there is a need for a bit more advice towards Principal Im (任氏) of the same school. To ask him to act like a principal.

Editor: We intended to continue it in the January and February issues if possible, but as both became enlarged issues, it was pushed back until now due to space constraints. Now, too much time has passed, making it impossible to bring up old matters anew. There is a Social Diary (社會日誌) recorded in each issue, so you will have to refer to that instead. Henceforth, we will put more effort into covering the social aspects that arise each month.

The Past and Present of Brothers in Beijing (在北京 兄弟)
Student K in Beijing (在北京 K生)

Shall I relay, at least roughly, the news of our brothers residing in Beijing? Since the year is still young and there are no remarkable conclusions to our endeavors yet, I'll postpone this year's news for the future and first inform you of the news of our brothers in Beijing up to the end of last year.
From the perspective of life's endless desires, one cannot say that we were particularly happy last year, but neither can one say we were particularly unhappy. On the social side, the establishment of new organizations like the Korean Club (韓人俱樂部) and the Christian Youth Association (基督敎靑年會 - YMCA); the great success of Korean support during China's May 7th Commemoration Day (五七紀念日), allowing for a grand propagation of our principles and assertions; the investigation and announcement of the actual situation of our compatriots (同胞) during the Japanese earthquake; the Student Association's (留學生會) annual March 1st Commemoration Meeting (三一祝賀會), National Humiliation Day (國恥紀念), National Foundation Day (開天紀念), and various other lectures and discussion meetings held; especially the grand event like the Spring Athletic Meet (春期 大運動)—these vividly demonstrate our vitality. Furthermore, Chang Cha-il's (張子一 君) outstanding graduation from the English Department of Peking University (北大); Sŏ Wal-bo's (徐曰甫 君) excellent completion of studies at the Peking Aviation School (北京航空學校); Pak Ki-bok's (朴基福 君) graduation from the Leather Department of Yenching University (燕大); all these are valuable achievements of our brothers last year. And one more thing is the increase in the number of international students, that is, the rapid improvement in our brothers' passion for education and learning. The number, which was merely 30-40 until the year before last, doubled last year, reaching 80-90. Given the circumstances, this is enough to boast that our brothers in Beijing are doing quite well, isn't it? I will inform you of this year's news later.

Editor: Thank you. Please inform us often. The brothers here in the homeland (內地) are very curious to hear news of the brothers abroad (外地). Especially when there are new developments, please be sure to let us know. <110>
<109-110>

**Summary**

This "Free Correspondence" section from the March 1924 issue of *Kaebyŏk* magazine presents several reader contributions and editorial responses. The main piece details the discriminatory actions of Japanese colonial authorities in Kyŏngsŏng (Seoul) against the Yongsan Public Normal School, specifically limiting new male students and eliminating the girls' department, citing spurious reasons like lack of classrooms or budget. It reports on the Yongsan residents' protest meeting and their resolve to fight this decision. Other sections include reader inquiries about the discontinuation of serialized articles on Korean art history and recent social trends, with editorial apologies citing writer issues and space constraints. The final piece is a positive report from a Korean student in Beijing, highlighting the establishment of Korean organizations (Korean Club, YMCA), participation in Chinese events, academic achievements of students at major universities (Peking University, Yenching University, Peking Aviation School), and a significant increase in the number of Korean students studying there. From a historical perspective, the article offers valuable insights into Korean resistance against colonial educational policies, the active engagement of readers with intellectual magazines like *Kaebyŏk*, and the burgeoning activities and academic pursuits of the Korean student diaspora in China during the 1920s, reflecting a growing nationalist consciousness and desire for education both at home and abroad. The mention of specific events like the May 7th Commemoration in China and the response to the Great Kanto Earthquake provides context for Korean activities within broader East Asian events.

**Named Entities**

龍山	용산	Yongsan
京城府	경성부	Kyŏngsŏng-bu (Colonial Seoul Prefecture)
龍山公立 普通學校	용산공립 보통학교	Yongsan Public Normal School
龍山公立普通學校後援會	용산공립보통학교후원회	Yongsan Public Normal School Supporters' Association
金昌斗	김창두	Kim Ch'ang-du
府尹	부윤	Puyun (Prefectural Governor)
澤村	택촌	T'aekch'on (Likely Sawamura, Japanese name)
內務部長	내무부장	Naemubujang (Director of Internal Affairs)
孝昌	효창	Hyoch'ang
龍山住民大會	용산주민대회	Yongsan Residents' Assembly
閔泳純	민영순	Min Yŏng-sun
李恒來	이항래	Yi Hang-nae
朴炯培	박형배	Pak Hyŏng-bae
金殷鉉	김은현	Kim Ŭn-hyŏn
朴同九	박동구	Pak Tong-gu
禹鍾鉉	우종현	U Chong-hyŏn
表相爕	표상협	P'yo Sang-hyŏp
李淳英	이순영	Yi Sun-yŏng
尹禹榮	윤우영	Yun U-yŏng
朝鮮	조선	Chosŏn (Korea)
東慕一生	동모일생	Tongmo Ilsaeng (Pseudonym)
淳昌	순창	Sunch'ang
潭陽	담양	Tamyang
微文高普	미문고보	Mimun Kobo (Likely refers to Hwimun Kobo - Hwimun Higher Ordinary School)
閔氏	민씨	Minssi (Mr. Min / Min Clan)
任氏	임씨	Imssi (Mr. Im / Im Clan)
北京	북경	Peking / Beijing
在北京 K生	재북경 K생	Student K in Beijing (Pseudonym)
韓人俱樂部	한인구락부	Hanin Kurakpu (Korean Club)
基督敎靑年會	기독교청년회	Kidokkyo Ch'ŏngnyŏnhoe (Christian Youth Association / YMCA)
中國	중국	Chungguk (China)
五七紀念日	오칠기념일	O-Ch'il Kinyŏmil (May 7th Commemoration Day)
日本	일본	Ilbon (Japan)
留學生會	유학생회	Yuhaksaenghoe (Association of Students Studying Abroad)
三一祝賀會	삼일축하회	Sam-il Ch'ukhahoe (March First Movement Commemoration Meeting)
國恥紀念	국치기념	Kukch'i Kinyŏm (National Humiliation Day Commemoration)
開天紀念	개천기념	Kaech'ŏn Kinyŏm (National Foundation Day Commemoration)
張子一	장자일	Chang Cha-il
北大	북대	Puktae (Peking University)
徐曰甫	서왈보	Sŏ Wal-bo
北京航空學校	북경항공학교	Peking Aviation School
朴基福	박기복	Pak Ki-bok
燕大	연대	Yŏndae (Yenching University)

**Glossary**

校舍	교사	School building
增築	증축	Extension, addition (to a building)
新築	신축	New construction
普通學校	보통학교	Normal School / Ordinary School (Elementary level in colonial system)
募集치 아니한다	모집치 아니한다	Does not recruit (Older negative form of 모집하지 않는다)
업새는	없애는	Eliminating, getting rid of (Older spelling of 없애는)
一視同仁	일시동인	Impartiality, treating everyone equally (Four-character idiom)
學校費	학교비	School fees
밧고	받고	Receiving, accepting (Older spelling of 받고)
안졋슬	앉았을	To have sat (Older spelling/contraction)
後援會	후원회	Supporters' association, support group
當局者	당국자	The authorities, person in charge
꼽아서	꼽아서	Selecting, choosing
핑게하고	핑계하고	Making an excuse (Older spelling of 핑계하고)
넘우도	너무도	Too much, very (Older spelling of 너무도)
어이업스니까	어이없으니까	Because it is absurd/dumbfounding (Older spelling of 어이없으니까)
無聊히	무료히	Disheartenedly, listlessly
左와 如한	좌와 여한	As follows (Literary Sino-Korean expression)
期함	기함	To aim for, to anticipate
一任함	일임함	To entrust entirely
밋는다마는	믿는다마는	Although (we) believe (Older form)
始終一貫	시종일관	Consistent from beginning to end
엇더케	어떻게	How (Older spelling of 어떻게)
되섯슴닛가	되었습니까	Has it become? How is it? (Older polite interrogative ending)
貴社	귀사	Your esteemed company
仰賀하오며	앙하하오며	Respectfully congratulate (Humble/polite form)
連載하든	연재하던	Which was being serialized (Older form of 하던)
끗흘	끝을	The end (Older spelling using ㅎ ending)
업스니	없으니	Because there is not (Older spelling of 없으니)
엇지된	어찌된	What happened, how it came to be (Older spelling)
알켜주시요	알려주시오	Please let me know (Older spelling/form)
맛럿슴니다	말았습니다	Ended up (doing something), finished (Older polite past ending)
判定치 못하겟슴니다	판정치 못하겠습니다	Cannot yet determine (Older form)
왜	왜	Why
멈쳣슴닛가	멈췄습니까	Has it stopped? (Older polite interrogative ending)
읽엇슴니다	읽었습니다	Read (Older polite past ending)
엿줄	여쭐	To ask (humbly/politely)
綜合	종합	Synthesis, comprehensive summary
一見하는	일견하는	Seeing at a glance
소득	소득	Gain, benefit, income
동감이외다	동감이외다	I agree (Older polite declarative ending)
갓습듸다	같습니다	It seems like (Older polite declarative ending)
하얏드니	하려 했더니	Intended to do, tried to do (Older form)
增大號	증대호	Enlarged issue (of a magazine)
지면	지면	Page space (in a publication)
밀녓슴니다	밀렸습니다	Was pushed back, delayed (Older polite past ending)
묵은	묵은	Old, stale
둘출 수	들출 수	Ability to bring up, mention (Older spelling of 들출)
업게 됨니다	없게 됩니다	Becomes impossible (Older spelling/form)
잇싸오니	있사오니	As there is (Older polite connective form)
밧게 업슴니다	밖에 없습니다	There is nothing but, only (Older spelling/form)
압흐로는	앞으로는	Henceforth, in the future (Older spelling of 앞으로는)
이러나는	일어나는	Arising, happening (Older spelling of 일어나는)
든 힘써	들인 힘써	Putting in effort (Slightly older phrasing)
今昔	금석	Past and present
淺할	얕을	Shallow, short (time) (Older form of 얕을)
歸結	귀결	Conclusion, outcome
업스나	없으나	Although there is not (Older spelling of 없으나)
갓흔	같은	Like, such as (Older spelling of 같은)
조직된	조직된	Organized, formed
盛況	성황	Great success, prosperity
宣傳한	선전한	Propagated, publicized
當時	당시	At that time
同胞	동포	Compatriots
실황	실황	Actual situation
調査宣佈한	조사선포한	Investigated and announced
年例에 의한	연례에 의한	According to annual custom
其他	기타	Other, et cetera
種種히	종종히	Variously, often
열닌	열린	Held, opened (Older spelling of 열린)
講演	강연	Lecture
討論會	토론회	Discussion meeting, debate
活氣	활기	Vitality, energy
맛친	마친	Finished, completed (Older spelling of 마친)
우수하게	우수하게	Excellently, outstandingly
優越하게	우월하게	Superbly, with excellence
그- 모	그 모든	All of those (Slightly older phrasing)
가치잇는	가치있는	Valuable (Older spelling)
卽	즉	Namely, that is
敎育熱	교육열	Passion for education
問學熱	문학열	Passion for learning/scholarship
향상	향상	Improvement, advancement
再昨年	재작년	The year before last
느러	늘어	Increased (Older spelling of 늘어)
달하얏슴니다	달했습니다	Reached, amounted to (Older spelling/ending)
內地	내지	Homeland, domestic territory (here, Korea itself)
外地	외지	Overseas territory, abroad (here, places like China)
듯기에	듣기에	To hear (Older spelling of 듣기에)
궁금해 함니다	궁금해 합니다	Are curious (Older polite ending)
더구나	더구나	Moreover, furthermore
이슬	있을	That will be, existing (Older spelling of 있을)
期於히	기어이	By all means, definitely
-e 

---------------------------


잡지명	개벽 제45호
발행일	1924년 03월 01일
기사제목	自由通情
기사형태	소식

自由通情
龍山人士여 最後까지 奮鬪하자
龍公舌
