**Header Section:**
Magazine Title: 삼천리 제3권 제9호
Publication Date: 1931년 09월 01일
Article Title: 新聞夜話 (Newspaper Night Talk)
Author: [Not specified in the provided text]
Article Type: 회고·수기 (Memoir/Recollection)

**Body Text Translation:**
Newspaper Night Talk

Looking at the Wanbaoshan Incident (萬寶山事件), was there not a single statesman at a certain daily newspaper (某日報)? Its inconsistent editorials, changing like yesterday's right being today's wrong (昨是今非), its overconfidence in the special correspondent's grey reporting (灰色報導), its excessive issuance of aimless newspaper extras (號外)—alas, regrettable for that paper.

The attitude of the Tonga Ilbo (東亞日報), which attempted and succeeded in a spiritual and national mobilization by raising Yi Sunsin (李舜臣), has been refreshing and brilliant (爽英) lately. Such actions as even soliciting a 'Secret History of the Late Chosŏn Dynasty' (韓末秘史)! It is right to heighten national consciousness by utilizing any opportunity and any condition. This point alone is worthy of the people's gratitude.

According to a survey by the Police Affairs Bureau (警務局調査), the number of newspaper copies circulated in Korea in a single day is 230,000. The top-circulating papers on the Korean side are the Chosŏn (朝鮮) and Tonga (東亞), and on the Japanese language side, the Ōsaka Mainichi (大阪每日), Asahi (朝日), and Kyŏngsŏng Ilbo (京城日報). English, French, German, Russian, and Chinese papers are all said to have considerable circulation as well.

Tsk, 3,000 won! "A true man does not drink Copper Spring Water (丈夫不飮銅泉水)." The blunder of Mr. So-and-so from such-and-such place (某處某氏), who stained a brilliant history. For the time being, he should wander to the ends of the earth (天涯萬里) and become one of the 'non-returners' (不歸國者). "Integrity is character" (志操 卽 人格) should become the motto for us members of society.

Historically speaking, Russia's (露西亞) 'V narod' (부나로드) movement was a failure. However, the meaning of the phrase "Into the masses!" (<49>) is itself a slogan of eternal value. The Tonga's student V narod movement, though lagging behind in Korea's footsteps (後麈), "He who laughs last laughs best." They should hurry and exert their full effort, establish, establish the Tonga-affiliated political and cultural distribution networks everywhere.

Chungoe Ilbo (中外日報)! It is in a crisis like a candle in the wind (風前燈火). Yet is there no one rousing themselves to exertion? While a certain company (某社), sustained by its current executives, has so many figures wanting to manage it, is there not even one person who gives a glance (一顧) here in this calm zone (無風地帶)? Oh Korea (朝鮮)! Your name is one ruined by factionalism (派閥)!

The miserable state of life (生活慘狀) of the Fourth Class (第4階級), such as miners (鑛夫) and female divers (海女), is something the people of society keenly wanted to know. However, the Chosŏn was too engrossed in fighting, and the Tonga too engrossed in searching for the dead Yi Sunsin, so the usual summer service (夏期奉仕) was forgotten this year as if washed away with water. The only one active in this regard was the Maeil Sinbo (每日申報).
I crack the whip fiercely (猛打一鞭) at the private newspapers (民間新聞).

Among the politicians bustling about and claiming prominence in the Tokyo political world (東京政界) now, there were many 'lumpen' (룬펜) who used to work as newspaper reporters in Korea. Firstly, Home Minister (內務大臣) Adachi Kenzō (安達謙藏) was a reporter for the Hansŏng Sinbo (漢城新報) and one of the strongmen thugs (壯士패) who climbed over the wall of Kyŏngbok Palace (景福宮) at midnight during the assassination of Queen Min (明成后慘變). Nakano Seigō (中野正剛), leader of the Minseitō's (民政黨) young Turk faction (少壯派), was also active in Kyŏngsŏng (京城) until Taishō 4 (1915) as an Ōsaka Asahi (大阪朝日) special correspondent. Current Vice Minister of the Navy (現海軍次官) Makiyama Kōzō (牧山耕藏) also worked in telegraph communications for the Kyŏngsŏng Ilbo (京城日報). Besides them, Nakanishi Inosuke (中西伊之助), Hosoi Hajime (細井肇), Uno Chiyoko (宇野千代子), Kawasaki Katsu (川崎克), Yamagata Isoo (山縣五十雄), Tokutomi Sohō (德富蘇峰), Ikebe Kin (池部鉤 - assumed 鈞) and others all 'ate the pheasant and its egg' (꿩먹고 알먹고 - profited greatly) in Korea.<50>

**Summary**

This 1931 article critiques the Korean press landscape. It criticizes an unnamed paper (likely Chosŏn Ilbo) for its handling of the Wanbaoshan Incident, praises Tonga Ilbo for fostering nationalism (Yi Sunsin campaign), but later criticizes both for neglecting social issues like the plight of miners and haenyeo, contrasting them with the Maeil Sinbo. It laments the decline of the Chungoe Ilbo due to factionalism and mentions a financial scandal. Interestingly, it concludes by listing prominent Japanese political figures who began their careers as journalists or operatives in colonial Korea, suggesting they significantly benefited from their time there, even referencing Adachi Kenzō's involvement in Queen Min's assassination. For historians, the article offers a valuable contemporary perspective on inter-newspaper rivalries, nationalist activities conducted through the press, the perceived failings of Korean journalism in covering social issues versus political ones, and a Korean viewpoint on how colonial experience in Korea served as a stepping stone for Japanese political careers.

**Named Entities**

萬寶山事件	만보산 사건	Wanbaoshan Incident
某日報	모일보	A certain daily newspaper
東亞日報	동아일보	Tonga Ilbo
李舜臣	이순신	Yi Sunsin
韓末秘史	한말비사	Secret History of the Late Chosŏn Dynasty
警務局	경무국	Kyŏngmu Kuk (Police Affairs Bureau)
朝鮮	조선	Chosŏn (Likely Chosŏn Ilbo)
東亞	동아	Tonga (Likely Tonga Ilbo)
大阪每日	오사카 마이니치	Ōsaka Mainichi
朝日	아사히	Asahi (Likely Ōsaka Asahi)
京城日報	경성일보	Kyŏngsŏng Ilbo
露西亞	로씨아/러시아	Russia
東亞	동아	Tonga (Referring to Tonga Ilbo's movement)
朝鮮	조선	Chosŏn (Korea)
中外日報	중외일보	Chungoe Ilbo
某社	모사	A certain company (Newspaper)
朝鮮	조선	Chosŏn (Korea)
朝鮮	조선	Chosŏn (Likely Chosŏn Ilbo)
東亞	동아	Tonga (Likely Tonga Ilbo)
李舜臣	이순신	Yi Sunsin
每日申報	매일신보	Maeil Sinbo
東京政界	동경 정계	Tokyo political world
朝鮮	조선	Chosŏn (Korea)
安達謙藏	안달 겸장	Adachi Kenzō
漢城新報	한성신보	Hansŏng Sinbo
明成后慘變	명성후 참변	Assassination of Queen Min
景福宮	경복궁	Kyŏngbok Palace
民政黨	민정당	Minseitō
中野正剛	중야 정강	Nakano Seigō
大阪朝日	오사카 아사히	Ōsaka Asahi
京城	경성	Kyŏngsŏng (Seoul)
牧山耕藏	목산 경장	Makiyama Kōzō
京城日報	경성일보	Kyŏngsŏng Ilbo
中西伊之助	중서 이지조	Nakanishi Inosuke
細井肇	세정 조	Hosoi Hajime
宇野千代子	우노 치요코	Uno Chiyoko
川崎克	천기 극	Kawasaki Katsu
山縣五十雄	산현 오십웅	Yamagata Isoo
德富蘇峰	덕부 소봉	Tokutomi Sohō
池部鉤(鈞)	지부 구(균)	Ikebe Kin
朝鮮	조선	Chosŏn (Korea)

**Glossary**

新聞夜話	신문야화	Newspaper Night Talk/Evening Story
업섯든가	없었던가	Weren't there any? (Older spelling of 없었는가)
昨是今非	작시금비	Inconsistency (Lit. Right yesterday, wrong today)
社說	사설	Newspaper editorial
灰色報導	회색보도	Grey reporting (ambiguous, unclear reporting)
號外	호외	Newspaper extra
擧하야	거하여	By raising, citing (Older verb form)
爽英	상영	Refreshing and brilliant (Literary/archaic term)
擧措	거조	Action, measure, conduct
엇든	어떤	Any, whatever (Older spelling)
高潮함은	고조함은	To heighten, raise to a climax (is)
値	치	Value, worth
하로동안	하루동안	During one day (Older spelling)
部數	부수	Circulation number (of copies)
枚	매	Sheet (counter for papers)
日文側	일문측	Japanese language side
咄	돌	Tsk!, Tut! (Interjection)
丈夫不飮銅泉水	장부불음동천수	A true man does not drink Copper Spring Water (proverb suggesting avoiding ill-gotten gains/compromise)
某處某氏	모처모씨	Mr. So-and-so from such-and-such place
失手	실수	Mistake, blunder
放浪	방랑	Wandering, vagrancy
不歸國者	불귀국자	One who does not return to their country, exile
志操	지조	Integrity, principle
卽	즉	Namely, that is
부나로드	브나로드	V narod ("To the people" movement, from Russian)
民衆속으로	민중 속으로	Into the masses
千古	천고	All ages, eternity
갑가는	값가는	Valuable (Older form of 값나가는)
後麈	후진	Rear dust (lagging behind)
갓가우나	가까우나	Although close (Older spelling)
者	자	Person, one who
칠일	칠 일	Thing to establish/must establish
風前燈火	풍전등화	Candle in the wind (precarious situation)
發憤	발분	Rousing oneself to exertion
이조차	이조차	Even this person
업는가	없는가	Is there not? (Older spelling)
無風地帶	무풍지대	Calm zone (fig.)
一顧	일고	A single glance, consideration
朝鮮이어	조선이여	Oh Korea! (Vocative)
일홈은	이름은	Name is (Older spelling)
派閥	파벌	Faction, clique
亡한 者	망한 자	One ruined by
인저	인저	Indeed (Archaic sentence ender)
鑛夫	광부	Miner
海女	해녀	Female diver (Haenyeo)
第4階級	제4계급	The Fourth Class (Context suggests working class/proletariat here)
生活慘狀	생활참상	Miserable state of life
切切히	절절히	Earnestly, keenly
알고저	알고자	Wanting to know (Older form)
싸홈하기에	싸움하기에	Because of fighting (Older spelling)
찻기에	찾기에	Because of searching for (Older spelling)
醉하여	취하여	Being drunk on, engrossed in
例年	예년	Usual year, previous years
夏期奉仕	하기봉사	Summer service/volunteer work
물로 씨슨 듯	물로 씻은 듯	As if washed away with water (completely)
이젓다	잊었다	Forgot (Older spelling)
民間新聞	민간신문	Private newspapers
猛打一鞭	맹타일편	Cracking the whip fiercely (criticizing sharply)
