잡지명	삼천리 제3권 제9호
발행일	1931년 09월 01일
기사제목	廣東政府의 陣容 (Lineup of the Guangdong Government)
필자	巨山 (Kŏsan)
기사형태	소식 (News Report)

The Lineup of the Guangdong Government
						Kŏsan

According to sources knowledgeable in that area, the Government Committee members of the Guangdong Government are Wang Ching-wei (汪兆銘), Sun Fo (孫科), Hsü Ch'ung-chih (許崇智), Lin Sen (林森), Têng Tsê-ju (鄧澤如), Fan Fo-ch'eng (蕃佛成 - identity unclear), Ku Ying-fen (古應芬), Ch'en Chi-t'ang (陳濟棠), Pai Ch'ung-hsi (白崇禧), Li Tsung-jen (李宗仁), Tsou Lu (鄒魯), Ch'en Yu-jen (陳友仁), T'ang Sheng-chih (唐生智), Li Lieh-chün (李列釣 - likely 李烈鈞), T'ai K'o-wu (態克武 - identity unclear), and Chiang Tsun-kai (蔣尊盖 - identity unclear). Tang Shao-yi (唐紹儀) participated as a midwife figure. Among Sun Yat-sen's (孫文) disciples, only Hu Han-min (胡漢民), renowned as a brilliant talent but currently imprisoned, and perhaps Tai Chi-t'ao (戴天仇), whose confinement in the bleak atmosphere of Nanking (南京) leaves him helpless, T.V. Soong (宋子文), related to Mr. Chiang (蔣氏) by marriage, and Wu T'ieh-ch'eng (吳鐵城), who is excessively favored by Mr. Chiang, are the four remaining [with the Nanking government].
Looking at this, it seems that Mr. Chiang's so-called Sun Yat-sen-ism (孫文主義), while perhaps able to overcome armed intimidation, does not seem universally accepted under heaven.

Sun Yat-sen's Successor, Wang Ching-wei (汪兆銘)

Examining the lineup of this government now, Mr. Wang Ching-wei, along with Mr. Hu Han-min, is one of the more prominent figures among Sun Yat-sen's disciples and a giant among the Kuomintang (國民黨) elder faction.
A graduate of Japan's (日本) Chuo University (中央大學), he acted consistently alongside Sun Yat-sen, like a shadow following its form.
He possesses a rare purity of heart and fervent passion among Chinese (中國) politicians, and his conduct in public life is extremely fair and just.
Since the founding of the Republic, he was repeatedly urged to become a Minister of State Affairs but refused each time, focusing entirely on what he considered the urgent task in China at the time: "The people seizing political power." After Sun Yat-sen's death in July 1925, when the Guangdong Government (廣東政府) was reorganized into the Nationalist Government (國民政府), he became its Chairman, effectively Sun's successor.
However, pushed out and losing his position due to Chiang Kai-shek (蔣介石), who was merely a commandant of a military academy (軍官學校), he has since continuously resisted Chiang's militaristic rule as a behind-the-scenes figure in the anti-Chiang Kai-shek faction. How much Sun Yat-sen loved and trusted Mr. Wang among his numerous disciples can be seen from the newspapers in Peking (北京) at the time, which depicted the scene of 'Sun Yat-sen's Last Moments' at the Peking Hotel (北京飯店).
"Mr. Sun sadly tilted his head, looked lingeringly at the Kuomintang leaders standing side-by-side in the next room,
called 'Ching-wei (精衛)' (Wang's courtesy name), and said, 'You write down what I say now and convey it to all party members nationwide. Cooperate and unite, strive for the sake of the party members.' He dictated a testament of several hundred words, but because it was in Cantonese, Northerners<49> could not comprehend it," as reported by the newspapers of the time. This is the famous 'Testament' (遺訓) that has become China's scripture today.
There are those who point fingers at Mr. Wang, calling him a communist, but in his later years, Sun Yat-sen also had strong tendencies in that direction.
Even if it wasn't Russian (려시아)-style communism, it is a fact that he held principles and assertions close to it. To think that the young man who, in March of the 3rd year of Xuantong (宣統三年), infiltrated Peking alone intending to assassinate the Prince Regent Chun (攝政王) and Prince Su (肅親王), was caught hiding with a bomb under the bridge outside Zhengyangmen Gate (正陽門外), sentenced to death but received a special pardon, surviving against all odds, is now Mr. Wang Ching-wei, who enjoys immense popularity among the youth as the "Second Sun Yat-sen" in China today, one cannot help but feel the passage of time.

Sun Yat-sen's Heir, Sun Fo (孫科)

Although Mr. Sun Fo may be in the disadvantageous position of having his actual abilities discounted by half due to being Sun Yat-sen's son, he was raised in the United States (米國) from a young age, received an American-style education, and after returning to China, became the Mayor of Canton when his father Sun Yat-sen's Guangdong Government was established. As the leader of the so-called "Crown Prince Faction" of the Kuomintang, he wielded influence. In Chiang Kai-shek's Nationalist Government, he served as Minister of Railways, demonstrating considerable skill as one of the top executives. Seeing him now resolutely run under the banner of "Down with Chiang Kai-shek," he must certainly be a figure of considerable caliber.

The Radical Hsü Ch'ung-chih (許崇智)

Mr. Hsü Ch'ung-chih is a graduate of the Japanese Military Academy's (日本士官學校) 2nd Infantry class, hailing from a distinguished family whose grandfather was Hsü Ying-k'uei (許應癸), the Viceroy of Min-Che (閩浙總督) under the Qing (淸).
After graduating from the Japanese Military Academy and returning home, he entered the Fuzhou (福州) Army and rose through the ranks to be appointed commander of the 20th Brigade (第20協統領).
During the First Revolution (第1革命), he participated as the commander of the Fujian Army's Northern Expedition detachment in the siege of Nanking. After the failure of the Second Revolution (第2革命), he went into exile in Japan, the South Seas, etc. However, even after the revolution succeeded, he remained unchanged, serving as a military commander under Sun Yat-sen, consistently acting alongside him, and holding positions such as Commander of the Second Army of the Yue Army (奧軍第2軍長) and Commander-in-Chief of the Eastern Route Bandit Suppression Army (東路討賊軍總司令). When Yuan Shih-k'ai's (袁世凱) imperial ambitions arose, he infiltrated Shanghai (上海) and, together with Ch'en Ch'i-mei (陳其美), who later died violently in Shanghai, initiated an opposition movement. Mr. Hsü was also the mastermind behind the famous 'Chao Ho Incident' (肇和奪取事件), where he secretly led a small group of about ten men at night to attack and seize the warship Chao Ho anchored on the Huangpu River (黃浦江上).
Furthermore, in 1924 (13년), when the Guangxi (廣西) army under Shen Chao-ying (沈兆英) and others captured Guangdong and drove out Mr. Sun, it was this Mr. Hsü who hastily gathered troops, repelled them, retook Guangdong, and welcomed Mr. Sun back.
Mr. Hsü, despite being from the bourgeoisie (뿌루쪼아) and possessing radical thinking unfitting for a subservient (事大主義한) military man, is quite rich in decisiveness.

Lin Sen (林森), Bearing Heavy Responsibility

Mr. Lin Sen is relatively an old-timer among Kuomintang politicians. Although from Fujian Province (福建省), he participated in Sun Yat-sen's revolutionary movement from his youth. When the first national government of the Republic was established in Nanking in the first year of the Republic (民國元年), he bore heavy expectations and was elected to the Senate (參議員). After the dissolution of the National Assembly,<50> he was active solely as a legislative council member (立法議員). In 1920 (9년), he became a member of the Guangdong Extraordinary Parliament (廣東非常國會議員), and in November 1922 (11년 11월), he was appointed to an honorable post in Fujian Province. Later, he also served as Minister of Construction (建設部長) under Sun Yat-sen's Guangdong Generalissimo government. He is a gentle, sincere, and highly respected politician.

Leader of the Western Hills Group (西山派), Tsou Lu (鄒魯)

Mr. Tsou Lu is considered more right-wing than anyone in the Kuomintang. He is a leader of the Western Hills Group (西山派).
From Guangdong Province (廣東省), he studied at the Guangdong Law and Politics School (廣東法政學堂). After the First Revolution, he participated in the establishment of the Nanking Provisional Government as a representative of the Guangdong Governor-General. During Ch'en Chiung-ming's (陳烱明) administration, he was appointed Garrison Commander of Qiongya (瓊崖鎭守使) and Pacification Commissioner of Chaoshan (潮汕綏靖督辯), but he did not accept the posts. In 1920 (9년), when Ch'en Chiung-ming returned to Guangdong, Tsou organized volunteer forces (義勇軍) to counter him. In 1923 (12년), he was appointed Director of the Guangdong Finance Department (廣東財政廳長). After Sun Yat-sen's death, he devoted himself to educational work as the president of Guangdong University (廣東大學長). However, because his ideology was too moderate (*和한), he was disliked and distanced (嫌遠되어) by the left-wing-dominated Guangdong leadership at the time, and remained out of favor thereafter.

American-Style Ch'en Yu-jen (陳友仁)

Mr. Ch'en Yu-jen is a graduate of an American university (米國大學). Although also from Guangdong, he is disliked by some because his demeanor is too Americanized. After the establishment of the Wuhan Government (武漢政府) immediately following Chiang Kai-shek's Northern Expedition, he was appointed to the prestigious position of Foreign Minister. However, his conduct was excessively radical, making him unpopular with the foreign diplomatic corps (外交團) in China, and he was even called a communist.

T'ang Sheng-chih (唐生智), Famous Through Military Prowess

Mr. T'ang Sheng-chih is merely a military man (武辨) from Hunan (湖南). His heyday was perhaps when he led the front line of Chiang Kai-shek's Northern Expeditionary Army, swiftly capturing Wuhan (武漢). Not long after, he was chased out by the Guangxi clique, went into exile in Beppu (別府), Japan, and later joined the Feng-Yen coalition. It was reported that he gathered his former subordinates in Hunan to raise an anti-Chiang army, but this too vanished like foam. Perhaps the Guangdong Government intends to use him as an army commander if they launch a Northern Expedition.

Li Lieh-chün (李烈釣 - likely 李烈鈞), with a Brilliant Military Career

Mr. Li Lieh-chün (李烈鈞) is a graduate of the Japanese Military Academy's 3rd class. Since the time of the Tongmenghui (同盟會), he acted alongside Yen Hsi-shan (閻錫山) and Sun Ch'uan-fang (孫傳芳). After the establishment of the Republic, he was appointed Military Governor of Jiangxi (江亞都督) at the young age of 30. In July 1913 (2년 7월), when the famous assassination of Sung Chiao-jen (宋敎仁) triggered what the world calls the Second Revolution, he raised the first voice against Yuan (討袁) in Jiangxi (江西), displaying the spirit of a newcomer. During Yuan Shih-k'ai's imperial ambitions in 1915 (4년), he secretly traveled far to Yunnan (雲南) and declared Yunnan's independence. This served as a catalyst, leading to successive declarations of independence by various provinces, eventually shattering Yuan Hung-hsien's (袁洪憲皇帝) dream and bringing about the establishment of the Republic's foundation. Since then, Mr. Li's military achievements have shone brightly (赫赫하게). His last major role was as Chief of the General Staff (參謀總長) when the tripartite coalition government of Chang (張), Tuan (段), and Sun (孫) was established in Peking in 1924 (13년). After Sun Yat-sen's death, it was reported that he retired to his hometown in Jiangxi, dedicating himself to educating the village children, finding joy in farming, personally holding a hoe and spade (鋤鍬). His participation in the Guangdong Government this time adds immense weight to the Guangdong faction.<51>

**Summary**

This 1931 article from the Korean magazine *Samch'ŏlli* outlines the key figures forming the anti-Chiang Kai-shek Guangdong Government. It profiles prominent Kuomintang members like Wang Ching-wei (portrayed as Sun Yat-sen's true successor), Sun Fo (Sun Yat-sen's son), Hsü Ch'ung-chih, Lin Sen, Tsou Lu, Ch'en Yu-jen, T'ang Sheng-chih, and Li Lieh-chün, detailing their backgrounds, political leanings (from radical to moderate), relationships with Sun Yat-sen and Chiang Kai-shek, and past roles. The article contrasts this lineup with the perceived weakness of Chiang's Nanking government, suggesting Chiang's claim to Sun Yat-sen's legacy is based more on force than popular acceptance.

From a Korean colonial history perspective, this article is interesting as it shows Koreans under Japanese rule were closely following complex political developments in China, particularly the internal power struggles within the Kuomintang. The detailed biographical sketches suggest access to considerable information about Chinese politics. For historians, it provides insight into how Chinese events were presented to a Korean audience, potentially shaping their views on China's potential as a regional power or ally, and implicitly contrasting the turmoil in China with the situation in colonized Korea. The level of detail about figures like Wang Ching-wei, including his time in Japan, might have resonated with Korean readers familiar with Japan.

**Named Entities**

廣東政府	광동정부	Kwangdong Chŏngbu
汪兆銘	왕조명	Wang Chomyŏng
孫科	손과	Son Kwa
許崇智	허숭지	Hŏ Sungji
林森	임삼	Im Sam
鄧澤如	등택여	Tŭng T'aek'yŏ
蕃佛成	번불성	Pŏn Pulsŏng
古應芬	고응분	Ko Ŭngbun
陳濟棠	진제당	Chin Chetang
白崇禧	백숭희	Paek Ch'unghi
李宗仁	이종인	I Chongin
鄒魯	추로	Ch'u Ro
陳友仁	진유인	Chin Yuin
唐生智	당생지	Tang Saengji
李列釣 (李烈鈞)	이열조 (이열균)	I Yŏlcho (I Yŏlgyun)
態克武	태극무	T'ae Kŭkmu
蔣尊盖	장존개	Chiang Chun'gae
唐紹儀	당소의	Tang Soŭi
孫文	손문	Son Mun
胡漢民	호한민	Ho Hanmin
南京	남경	Namgyŏng
戴天仇	대천구	Tae Ch'ŏnch'u
蔣氏	장씨	Chiang Ssi
宋子文	송자문	Song Chamun
吳鐵城	오철성	O Ch'ŏlsŏng
日本中央大學	일본중앙대학	Ilbon Chungang Taehak
中國	중국	Chungguk
國民黨	국민당	Kungmindang
國民政府	국민정부	Kungmin Chŏngbu
蔣介石	장개석	Chiang Kyesŏk
軍官學校	군관학교	Kun'gwan Hakkyo
北京飯店	북경반점	Pukkyŏng Pandjŏm
北京	북경	Pukkyŏng
精衛	정위	Chŏngwi
려시아	여시아	Yŏsia
宣統	선통	Sŏnt'ong
攝政王	섭정왕	Sŏpchŏngwang
肅親王	숙친왕	Sukch'inwang
正陽門	정양문	Chŏngyangmun
米國	미국	Miguk
日本士官學校	일본사관학교	Ilbon Sagwan Hakkyo
淸	청	Ch'ŏng
閭浙總督	민절총독	Minjŏlch'ongdok
許應癸	허응계	Hŏ Ŭnggye
福州	복주	Pokchu
第1革命	제1혁명	Che-il Hyŏngmyŏng
第2革命	제2혁명	Che-i Hyŏngmyŏng
上海	상해	Sanghae
陳其美	진기미	Chin Kimi
黃浦江	황포강	Hwangp'ogang
肇和	조화	Chohwa
沈兆英	심조영	Sim Choyŏng
廣西	광서	Kwangsŏ
袁世凱	원세계	Wŏn Segye
福建省	복건성	Pokkŏnsŏng
民國	민국	Min'guk
參議員	참의원	Ch'amŭiwŏn
立法議員	입법의원	Ippŏbŭiwŏn
廣東非常國會議員	광동비상국회의원	Kwangdong Pisang Kuk'oeŭiwŏn
建設部長	건설부장	Kŏnsŏlbujang
西山派	서산파	Sŏsanp'a
廣東省	광동성	Kwangdongsŏng
廣東法政學堂	광동법정학당	Kwangdong Pŏpchŏng Haktang
陳烱明	진경명	Chin Kyŏngmyŏng
瓊崖	경애	Kyŏngae
鎭守使	진수사	Chinsusa
潮汕	조산	Chosan
綏靖督辯	수정독변	Sujŏngdokpyŏn
義勇軍	의용군	Ŭiyonggun
廣東財政廳長	광동재정청장	Kwangdong Chaejŏngch'ŏngjang
廣東大學長	광동대학장	Kwangdong Taehakchang
武漢政府	무한정부	Muhan Chŏngbu
外交團	외교단	Oegyodan
湖南	호남	Honam
武漢	무한	Muhan
別府	별부	Pyŏlbu
同盟會	동맹회	Tongmaenghoe
閻錫山	염석산	Yŏm Sŏksan
孫傳芳	손전방	Son Chŏnbang
江亞都督	강서도독	Kangsŏ Todok
宋敎仁	송교인	Song Kyouin
江西	강서	Kangsŏ
雲南	운남	Unnam
袁洪憲皇帝	원홍헌황제	Wŏn Honghŏn Hwangje
張	장	Chang
段	단	Tan
參謀總長	참모총장	Ch'ammoch'ongjang

**Glossary**

陣容	진용	Lineup, formation (of a team or government)
消息通	소식통	Informed source, knowledgeable person
委員	위원	Committee member
産婆役	산파역	Midwife role (figurative, helper in creation)
俊英	준영	Brilliant talent, outstanding person
監禁	감금	Imprisonment, confinement
殺風景	살풍경	Bleak, dreary, desolate atmosphere
姻戚關係	인척관계	Relationship by marriage
重用	중용	Appointing to an important position, favoring
大名文	대명분	Just cause, pretext, justification
威迫	위박	Intimidation, coercion
通用	통용	To be commonly accepted, pass current
後繼者	후계자	Successor
著名	저명	Famous, renowned
元老派	원로파	Elder faction, veteran group
巨頭	거두	Giant, magnate, leading figure
出身	출신	Origin, graduate of
形象	형상	Form, shape; used here figuratively (like a shadow)
終始	종시	From beginning to end, consistently
政客	정객	Politician (often with a slightly negative nuance)
純情	순정	Pure heart, sincerity
熱血	열혈	Hot blood, passion, fervor
出處進退	출처진퇴	One's course of action (entering/leaving public life)
公明正大	공명정대	Fair and just, impartial
國務大臣	국무대신	Minister of State Affairs
慫慂	종용	To urge, persuade, recommend
屢次	누차	Repeatedly, several times
잇섯스나	있었으나	Although there was (older spelling of 있었으나)
目下	목하	At present, currently
急務	급무	Urgent task, pressing business
專혀	전혀	Entirely, solely, completely (older spelling/usage, now often means 'not at all')
注力	주력	To focus one's efforts on
改組	개조	Reorganization
委員長	위원장	Chairman
事實上	사실상	In fact, de facto
一介	일개	Mere, only a
軍官學校長	군관학교장	Commandant of a Military Officer School
武辯	무변	Military man, warrior (can sometimes imply lack of refinement)
쫏기어	쫓기어	Being chased out, ousted (older spelling of 쫓기어)
失脚	실각	Losing one's position, downfall
反蔣介石派	반장개석파	Anti-Chiang Kai-shek faction
黑幕中	흑막중	Behind the scenes (lit. 'inside the black curtain')
間斷업시	간단없이	Continuously, without interruption (older spelling of 간단없이)
武斷政治	무단정치	Militaristic rule, arbitrary rule by force
反抗	반항	Resistance, opposition
하야 왓다	하여 왔다	Has been doing (older spelling/form)
門下	문하	Disciples, followers
밋덧는가는	믿었는가는	Whether (someone) believed/trusted (older spelling of 믿었는가는)
잇서서	있어서	At, in (a place or time) (older spelling of 있어서)
場面	장면	Scene
기옷둥둥	갸웃둥	Tilting (the head) (onomatopoeic/mimetic word, older form)
물그름	물끄러미	Blankly, vacantly, lingeringly (staring)
筆記	필기	Note-taking, writing down
傳하여라	전하여라	Convey, transmit (imperative form)
協力一致	협력일치	Cooperate and unite
爲하야	위하여	For the sake of (older spelling of 위하여)
努力하여다오	노력하여다오	Please strive/make effort (older polite request form)
數百言	수백언	Several hundred words
口述	구술	Dictation
遺言	유언	Last words, testament
北方人	북방인	Northerner
헤에아리지	헤아리지	Understand, comprehend (older spelling of 헤아리지)
되잇는	되어 있는	Has become (older spelling of 되어 있는)
敎書	교서	Instructional text, scripture (here referring to Sun's Testament)
遺訓	유훈	Testament, teachings left behind
손짓하야	손짓하여	Pointing fingers at (older spelling of 손짓하여)
共産主義者	공산주의자	Communist
晩年	만년	Later years (of one's life)
傾向	경향	Tendency, inclination
濃厚	농후	Strong, rich, dense
近似한	근사한	Similar, close to
主義主張	주의주장	Principles and assertions, ideology
攝政王	섭정왕	Prince Regent
暗殺	암살	Assassination
單身	단신	Alone, single-handedly
潛入	잠입	Infiltration
潛伏	잠복	Hiding, lying in ambush
드듸어	드디어	Finally, eventually (older spelling of 드디어)
자피어	잡히어	Being caught (older spelling of 잡히어)
死刑	사형	Death penalty
宣告	선고	Sentence, pronouncement
바덧스나	받았으나	Although received (older spelling of 받았으나)
特赦	특사	Special pardon, amnesty
九死一生	구사일생	Narrow escape from death (lit. nine deaths, one life)
어든	얻은	Obtained, gained (older spelling of 얻은)
靑年	청년	Youth, young person
人氣	인기	Popularity
今昔感	금석감	Feeling of nostalgia/change over time (lit. feeling of now and then)
안일수가 업슬	아닐 수가 없을	Cannot help but be (older spelling/form)
遺兒	유아	Surviving child, heir
半割引	반할인	Half-discounted (used figuratively)
不利한	불리한	Disadvantageous
立場	입장	Position, standpoint
幼少	유소	Childhood
길느게 되어	길러지게 되어	Was raised (older spelling/form)
밧고	받고	Receiving (older spelling of 받고)
歸國	귀국	Returning to one's country
父	부	Father
成立	성립	Establishment, formation
市長	시장	Mayor
太子派	태자파	Crown Prince Faction
首領	수령	Leader
펴고	펴고	Spread, exert (influence)
鐵道部長	철도부장	Minister of Railways
最高幹部	최고간부	Top executive, senior official
相當한	상당한	Considerable, substantial
手腕	수완	Skill, ability, capability
決然히	결연히	Resolutely, determinedly
打倒	타도	Overthrow
傘下	산하	Under the banner of, under the command of
다름처온	달려온	Ran towards (older spelling/form)
틀림업슬	틀림없을	Undoubtedly, certainly (older spelling of 틀림없을)
急進的	급진적	Radical, progressive
步兵科	보병과	Infantry department/branch
累進	누진	Progressive advancement, promotion through ranks
協統領	협통령	Brigade Commander (Qing military rank)
任名	임명	Appointment
攻圍軍	공위군	Siege army
參加	참가	Participation
亡命	망명	Exile, seeking asylum
幕下	막하	Under the command of (lit. under the tent curtain)
武將	무장	Military commander
東路討賊軍	동로토적군	Eastern Route Bandit Suppression Army
總司令	총사령	Commander-in-Chief
就任	취임	Inauguration, taking office
帝制問題	제제문제	Issue of the imperial system
橫死	횡사	Violent or unnatural death
反對運動	반대운동	Opposition movement
이루키고	일으키고	Starting, initiating (older spelling of 일으키고)
暗夜	암야	Dark night
秘密히	비밀히	Secretly
小人數	소인수	Small number of people
軍艦	군함	Warship
襲擊	습격	Attack, raid
奪取	탈취	Seizure, capture
主謀	주모	Mastermind, ringleader
엇다	였다	Was (older past tense copula form)
擊退	격퇴	Repel, drive back
奪回	탈환	Recapture
마즌것도	맞은 것도	Welcoming (someone) also (older spelling of 맞은 것도)
뿌루쪼아	부르주아	Bourgeoisie (loanword, older transcription)
그우에	그 위에	On top of that, moreover (older spelling)
事大主義	사대주의	Flunkeyism, subservience to great powers
似合치 안흔	어울리지 않는	Unfitting, unbecoming (older form)
思想	사상	Thought, ideology
所有者	소유자	Owner, possessor
決斷性	결단성	Decisiveness
豊富한	풍부한	Abundant, rich (older spelling of 풍부한)
重望	중망	High expectations, great hopes
負한	부한	Bearing, shouldering (responsibility, expectations)
政客	정객	Politician
舊人	구인	Old-timer, veteran
重望을 등지고	중망을 등지고	Bearing high expectations (lit. 'with high expectations on one's back')
選出	선출	Election
國會解散	국회해산	Dissolution of the National Assembly
活躍	활약	Activity, being active
榮職	영직	Honorable post, prestigious position
溫厚篤實	온후독실	Gentle, sincere, and trustworthy
德望	덕망	Virtue and reputation, respect
右翼	우익	Right-wing
執政時代	집정시대	Period of administration/rule
應치 안헛다	응하지 않았다	Did not respond/accept (older spelling/form)
回奧	회월	Returning to Guangdong (奧 is abbreviation for Guangdong/粵)
對抗	대항	To counter, oppose
任命	임명	Appointment
育英事業	육영사업	Educational work, fostering talent
從事	종사	To be engaged in, devote oneself to
*和한	온화한	Moderate, mild (Hanja unclear in source, inferred from context)
左翼	좌익	Left-wing
全盛	전성	Heyday, peak period
主腦部	주뇌부	Leadership, central figures (lit. 'main brain part')
