Magazine Title: 삼천리 제8권 제4호
Publication Date: 1936-04-01
Article Title: 樂浪遺蹟의 意義 (Significance of the Lelang Remains)
Author: 金台俊 (Kim T'aejun)
Article Type: 논설 (Editorial/Argumentative Essay)

The Significance of the Lelang Remains
						Kim T'aejun

This is merely a record resembling idle talk. It is simply one aspect of the author's usual beliefs.

Currently, numerous ancient tombs are being excavated in the P'yŏngan Namdo and Haesŏ (Hwanghae) regions, yielding many artifacts. Regarding this, scholars from outside the region (域外) simply dismiss it as a transplantation of Han (漢) culture and strive thereby to extract an *a priori* character of our nation. Meanwhile, among the native history students (史學徒) of this land, there is a tendency to explain these as splendid cultural relics of Koguryŏ (高句麗), partly to boast of Koguryŏ's superior culture and partly to ignore the opinions of outside scholars, treating them like a distant mountain fire (遠山火)—seeing but not perceiving (視而不見).

However, both views are wrong.

I wish to ask the X scholars bluntly: Are frailty (孱劣), defeat (敗北), and all such faults inherent flaws of this nation? They speak as if the reality of this land today is due to this nation's innate "factionalism" (黨爭性), "literary weakness" (文弱性), and "laziness" (懈怠性). But the history of factionalism was the desperate, ugly struggle (斷末魔的 醜態) of a growing parasitic class (寄生層), whose livelihood depended on the peasantry, to sustain their expansion. "Literary weakness" too was a product of the environment molded (陶鑄) by the Confucian village codes (儒教 鄕約), the ruling philosophy of the five hundred years of the Yi Dynasty (李朝). "Laziness" also arose because people lost their means of livelihood.

Who could deny that this is the result of the economic XX [text missing/obscured] which has recently become entirely a monopoly market for outsiders? If, then, receiving such domination at various times in the past was merely due to the circumstances (所使) of those times, what kind of thinking leads them to try<154> and make this an innate characteristic of this land? Of course, their political (政略的), unscholarly intentions are as plain as seeing inside their stomachs.

Just because the ancient history of Great Britain (英國) was that of a subjugated, pastoral, barbarian nation, who would call this a stain on that country's history, and who would call it an innate characteristic?

What is there particularly to boast about for the Republic of China (中華民國) and India (印度), which boast of splendid ancient histories?

Even the pride of Ethiopia (에디오피아), which serves a monarch of an unbroken line for myriad generations, ultimately... (Omitted in original)
XXXXXXX! [Text missing/obscured]
We must deliver a blow to the preconceptions of vain official scholars.

It is becoming overwhelmingly clear that the ancient tombs in the P'yŏngan Namdo and Hwanghae Province regions are indeed the sites of Lelang (樂浪) and Taebang (帶方).
The "Site of Lelang Commandery" (樂浪郡址), the "Nien Ch'an Stele" (黏蟬碑), and the "Tomb of Chang Fu-i, Grand Administrator of Taebang" (帶方太守 張撫夷之墓) are being unearthed. There, bronze and iron weapons, mirrors (鏡), and other daily utensils from the Han Dynasty are being excavated in large quantities. Of course, this speaks of a large migration of Han people. This fact is recorded in the *Biographies of the Eastern Barbarians* (東夷列傳) of the *Shiji*, *Former Han Shu*, *Sanguozhi*, *Later Han Shu*, etc., so what use is there in artificially ignoring or denying it? Looking at Chosŏn in such a way is not pride in Chosŏn; rather, this skewed (얼的) and dishonest research that refuses to see "Chosŏn as it truly is" is what "disdains" Chosŏn.

The facts are thus:
Han people came by sea and land to reside along the Taedong River (大同江) coast from quite a long time ago. During the Qin (秦) and Han periods, they came in large numbers. They brought bronze weapons (later, iron tools) and other items, trading with or conquering the native people (土民) of this land. The natives were still a clan society (氏族社會) using stone tools. The Han traded primitively in various places, north and south, giving things like the *ming* knives (明刀) found in Mu'an (務安) and Yŏngbyŏn (寧邊).
They began simple farming. Sometimes, they captured Han people and made them farm, as can be inferred from the legend of Yŏmsach'ak (廉斯鑡). The productive forces of the conquered natives, who became lower-class households (下戶), increased, the clan system gradually collapsed, and in the south, over a hundred tribal states (部族國家) like Mahan (馬韓), Chinhan (辰韓), and Pyŏnjin (弁辰) arose, while in the northeast, tribal states like Ye (穢), Maek (貊), Okchŏ (沃沮), and Puyŏ (夫餘) emerged, gradually achieving the completion of primitive states.
Only through this process were the primitive states of Chosŏn established. The Kimhae Shell Midden (金海貝塚) is the most typical example representing this process. Are not many stone tools found there, along with Wang Mang's (王莽) *huoquan* coins (貨泉), rice grains, and other ornaments?
As long as these are the facts, how can scholars engaged in skewed (얼的) research<155> deny this?
The Korean people are not God's chosen people (選民); they have progressed following the normal course of world human history.
It is, of course, clear that these ancient sites are not those of Koguryŏ.

Therefore, these ancient sites belong to the Han people. However, these ancient sites were made by the hands of the conquered lower-class slaves, that is, the natives (土人). Through them, great changes occurred in the natives' mode of production and productive forces. In other words, they were simultaneously beneficent foreigners who shattered Chosŏn's primitive society and groups of cruel and ruthless conquerors of that time.
Many of these ancient sites have yet to be excavated.
We believe that only on the day when their complete excavation and a proper analysis (析明) thereof occur can we solve the riddles (수수꺽기) surrounding Chosŏn's primitive society and the establishment of primitive states by the native people. (February 22nd)<156>

**Summary**

Kim T'aejun argues against two prevailing interpretations of the Lelang and Daifang archaeological sites in northwest Korea. He rejects both the view (implied to be Japanese) that these Han Chinese remains prove Koreans' inherent historical weakness and the nationalistic Korean view that ignores the Han connection to claim them solely for Koguryŏ. Instead, Kim contends that acknowledging the Han presence and its impact—introducing metal tools and stimulating societal change—is crucial for understanding the transition from clan society to early Korean states like Mahan, Chinhan, Puyŏ, etc. He sees the Han influence not as a source of shame but as an external catalyst in Korea's historical development, emphasizing that traits like factionalism or weakness are products of specific socio-economic conditions, not innate national character. For colonial Korean history, this article is interesting as it shows a Korean intellectual engaging critically with both Japanese colonial historiography and nascent Korean nationalist historiography. Kim advocates for a more objective, materialist understanding of Korean history, acknowledging foreign influence without succumbing to deterministic views of national character, a complex position during a period dominated by nationalist and imperialist narratives. Historians might find his attempt to chart a "third way" interpretation, acknowledging historical interaction and its consequences without essentializing national identity, particularly noteworthy.

**Named Entities**

金台俊	김태준	Kim T'aejun
平南	평남	P'yŏngan Namdo (South P'yŏngan Province)
海西	해서	Haesŏ (Referring to Hwanghae Province)
漢	한	Han (Dynasty/Chinese)
高句麗	고구려	Koguryŏ
李朝	이조	Yi Dynasty
英國	영국	Great Britain
中華民國	중화민국	Republic of China
印度	인도	India
에디오피아	에티오피아	Ethiopia
黃海道	황해도	Hwanghae Province
樂浪	낙랑	Lelang (Commandery)
帶方	대방	Taebang (Daifang Commandery)
樂浪郡址	낙랑군지	Site of Lelang Commandery
黏蟬碑	점선비	Nien Ch'an Stele
帶方太守 張撫夷之墓	대방태수 장무이지묘	Tomb of Chang Fu-i, Grand Administrator of Taebang
史記	사기	Shiji (Records of the Grand Historian)
前漢書	전한서	Former Han Shu (Book of the Former Han)
三國志	삼국지	Sanguozhi (Records of the Three Kingdoms)
後漢書	후한서	Later Han Shu (Book of the Later Han)
東夷列傳	동이열전	Tong-i Yŏlchŏn (Biographies of the Eastern Barbarians)
朝鮮	조선	Chosŏn (Korea)
大同江	대동강	Taedong River
秦	진	Qin (Dynasty)
務安	무안	Mu'an
寧邊	영변	Yŏngbyŏn
廉斯鑡	염사치	Yŏmsach'ak
馬韓	마한	Mahan
辰韓	진한	Chinhan
弁辰	변진	Pyŏnjin (Pyŏnhan)
穢	예	Ye
貊	맥	Maek
沃沮	옥저	Okchŏ
夫餘	부여	Puyŏ
金海	김해	Kimhae
王莽	왕망	Wang Mang
貨泉	화천	Huoquan (Coin type)

**Glossary**

樂浪遺蹟	낙랑 유적	Lelang remains/ruins
漫談	만담	Idle talk, rambling chat
아푸리오리的	아프리오리적	A priori (loanword + Korean adjectival suffix)
域外	역외	Outside the region/country
史學徒	사학도	History student(s); used here perhaps slightly dismissively
遠山火	원산화	Distant mountain fire (idiomatic for something ignored despite being visible)
視而不見	시이불견	To look but not see; to turn a blind eye (Sino-Korean idiom)
孱劣	잔렬	Frail, weak, inferior
黨爭性	당쟁성	Tendency towards factionalism
文弱性	문약성	Literary/scholarly weakness (implying lack of martial spirit)
懈怠性	해태성	Tendency towards laziness/sloth
寄生層	기생층	Parasitic class/stratum
斷末魔的 醜態	단말마적 추태	Agonal ugliness; desperate death struggle ugliness
陶鑄	도주	To mold, shape (like pottery or metal casting)
所使	소사	That which causes/makes something happen; circumstances
政略的	정략적	Political, strategic (often with nuance of scheming)
黏蟬碑	점선비	Nien Ch'an Stele (Specific Han stele found near P'yŏngyang)
帶方太守 張撫夷之墓	대방태수 장무이지묘	Tomb of Chang Fu-i, Grand Administrator of Taebang (Specific Han-era tomb)
東夷列傳	동이열전	Biographies of the Eastern Barbarians (Sections in Chinese dynastic histories)
얼的	얼적	Skewed, distorted (likely related to 얼뜨다 - foolish, incomplete)
土民	토민	Native people, indigenous inhabitants
氏族社會	씨족 사회	Clan society
明刀	명도	Ming knife(-shaped) coins (Warring States/Yan currency found in Korea)
下戶	하호	Lower-class households (in historical context)
部族國家	부족 국가	Tribal state
貨泉	화천	Huoquan coins (Issued by Wang Mang)
選民	선민	Chosen people
析明	석명	Clear analysis, detailed explanation
수수꺽기	수수께끼	Riddle, puzzle (older spelling)
긔록	기록	Record, document (older spelling)
잇다	있다	To be, exist (older spelling)
하야	하여	Doing, and (older connective form)
여긔	여기	Here (older spelling)
대하야	대하여	Regarding, concerning (older spelling)
잇스며	있으며	Being, and (older spelling)
하랴고	하려고	Intending to do (older spelling)
엿든	였던/이었던	Was (older adjectival ending)
맨들려	만들려	Trying to make (older spelling)
받엇다는	받았다는	That (someone) received (older spelling)
너머도	너무도	Very, exceedingly (older spelling)
들어나는	드러나는	Being revealed, emerging (older spelling)
되여	되어	Becoming, being (older spelling)
왓서	와서	Coming, and then (older spelling)
잇는	있는	Existing, which is (older spelling)
하엿섯다	했었다/하였었다	Did (past perfect, older spelling)
되엿든	되었던	Which had become (older spelling)
일넛다	이뤘다/일렀다	Achieved, reached (older spelling)
의했서만	의해서만	Only by/through (older spelling)
아니한가	아니한가	Is it not? (Rhetorical question, same as modern form but archaic nuance)
잇는날	있는 날	The day when... (older spelling, no space)
잇스리라고	있으리라고	That it will be (future conjectural, older spelling)


---------------------------


잡지명	삼천리 제8권 제4호
발행일	1936년 04월 01일
기사제목	樂浪遺蹟의 意義
필자	金台俊
기사형태	논설

樂浪遺蹟의 意義
						金台俊
이것은 한 개의 漫談에 불과한 긔록이다. 다만 평소 저자의 신념의 一端인 것이다.
지금 平南 海西 一帶에는 多數한 古墳을 발굴하야 많은 출토품을 내고 잇다. 여긔 대하야 域外의 학자들은 이것을 漢文化의 移植이라고 간단히 치여버리고 이로써 민족의 아푸리오리的을 抽出하기에 노력하고 잇스며 이 땅의 토착 史學徒들 사이에는 이로써 高句麗의 찬란한 문화적 유물이라고 설법하야 一은 고구려의 우수한 문화를 자랑하랴고 하는 동시에 一은 域外학자의 의논을 묵살하야 遠山火와 같이 視而不見하랴는 태도를 갖고 잇다.

그러나 그것은 모다 납분 것이다.
X학자들에게 당돌히 뭇고저 하노니 孱劣, 敗北, 등등 모든 허물이 이 민족의 타고난 결점일가. 이 땅의 이 현실은 이 민족의 선천적인 「黨爭性」 「文弱性」 「懈怠性」에 의한 것 같이 말하나 당쟁의 역사는 多數하게 증가하는 寄生層들이 그들의 생활의 기초를 농민의 우에 둔 만큼 그들의 膨脹하여가는 현상을 계속하기 위한 斷末魔的 醜態엿든 것이요 「文弱性」이란 것도 李朝오백년의 지배자 철학인 유교 鄕約的으써 陶鑄한 환경의 산물이요 「懈怠性」도 그들의 생활방도를 잃기 때문에 생긴 일인 것이다.
