잡지명	삼천리 제8권 제4호
발행일	1936년 04월 01일
기사제목	民立大學創建經倫 (Discourse on Establishing a Private University)
기사형태	논설 (Editorial)

民立大學創建經倫
世界各國中 어느 大學을 理想으로 하는가 (Which University Among the World's Nations is Held as an Ideal?)

하-버드 대학이 施設이 優秀 (Harvard University's Facilities are Outstanding)

延禧專門學敎副敎長 兪億兼 (Vice-President of Yonhui Specialized School, Yu Ŏkkyŏm)
Speaking within the scope of what I know, because I spent some time in the United States, I would say I know the various universities in places like the United States or Canada to some extent, but when it comes to the universities in European countries, I know nothing at all. Therefore, if I speak here, I will inevitably speak only of American universities. Among American universities, it's not just me, but as anyone well knows, one cannot help but count Harvard University first. Speaking of this Harvard University, it has formed an astonishing foundation (資團) with a school endowment of approximately $300,000,000, and regarding its facilities, I think there are hardly any schools even in the various European countries today with facilities like these.
Firstly, the university library is known as the lifeblood of a university, not only in the United States but regardless of any country, and Harvard University has an enormous library that has gathered 2,000,000 volumes of books. Very many valuable and rare books that are hard to find anywhere in the world are gathered there, and notably, they have gathered 50,000 volumes of books just concerning the Orient, set up a separate library, and placed Chinese and other Orientals within it to specialize in research and collection. In this way, as a library too, no university in the world can likely match it. Next, although the American educational spirit is such, this university especially, in the sense of pursuing the three aspects of Knowledge (智), Virtue (德), and Body (體) concurrently, has also made tremendous facilities for physical education; the athletic grounds were made by spending $2,000,000 to accommodate 200,000 people. Thus, students can go out all at once and freely engage in their respective sports.
This university is a comprehensive university divided into various departments (科), but regarding the number of students, although the graduate school (硏究科) doesn't have that many, the College (「칼레이지」) alone has a fixed limit and is set at 2,000 students.
Speaking of the educational spirit, differing from the Orient, students possess a creative research attitude of their own*, so the teacher merely becomes the student's guide (引導者), and the students themselves research and study.

一億五千萬圓의 英國 「에듼보로」大學 (The UK's Edinburgh University with 150 Million Yen)

세부란쓰醫專校長 吳競善<35> (President of Severance Medical Specialized School, O Kyŏngsŏn) <35>
Since our school is a medical specialized school and my scope of knowledge is in the medical field, I intend to speak here only concerning medical colleges. Firstly, I would mention America's Johns Hopkins Medical College, and next, I could mention the UK's Edinburgh Medical College. Both of these universities are counted among the world's best as single-faculty medical colleges. Both of these universities have endowments around the level of 150,000,000 Yen (圓), and the number of students is also only around 1,000 or so. Other departments might be similar, but especially medicine must be taught with as few students as possible amidst substantial facilities. Furthermore, if we were to imitate or follow the facilities of such medical colleges, it is truly a heaven-and-earth difference (天壤之差異), something we absolutely cannot even conceive of.

歷史가 빗나는 伯林大學이 優秀 (Berlin University with its Shining History is Outstanding)

普成專門學校校長 金用茂 (President of Posŏng Specialized School, Kim Yongmu)
Since I have never been to any European or American countries at all, I cannot really say anything about universities in countries I haven't seen directly. However, if I were forced to speak even just within the scope of what I've heard from people who have directly visited those countries or learned through various means via publications, then regardless of whether it's Cambridge University or Oxford University in the UK or whatever, I would have to mention Germany's Berlin University, which has a long tradition and shining history.
Speaking of Berlin University, although it is said that some famous scholars were recently expelled abroad under the Nazi regime, nevertheless, its internal facilities, of course, and even its professors, are likely a model for the world.
Moreover, concerning research facilities for all sciences, no other country's university can likely match it. Especially, the completeness of the research labs provided to each professor is said to be truly astonishing.

現在의 朝鮮專門校施設程度觀<36> (A View of the Current State of Facilities at Chosŏn's Specialized Schools) <36>

基地三十萬平에, 돈二百萬圓을 모엿다 (On a Site of 300,000 Pyeong, Two Million Yen Has Been Gathered)

延禧專門學校副校長 兪億兼 (Vice-President of Yonhui Specialized School, Yu Ŏkkyŏm)
Speaking of our school, since it aimed from the time of its founding to eventually be completed as a university, regarding the school site (基地), we had already prepared this vast area of 300,000 pyeong in the current Yŏnhŭi-myŏn. However, the issue still remaining at present concerns the internal facilities for a university (comprehensive, of course). To clearly show the aspect of a university, at the very least, I know it to be impossible without a foundation (資團) of 6,000,000 Yen.
Speaking of our school's endowment, it is currently 2,000,000 Yen (total including site, buildings, etc.), and even speaking of the library, 50,000 volumes of books are currently gathered. Speaking of the educational spirit, it lies in the cultivation (涵養) of Virtue (德), Knowledge (智), and Body (體) based on the Christian spirit.
The departments (科) are divided into Arts, Commerce, Mathematics & Physics, and Theology (currently abolished), and the number of students across the three departments is close to about 400. We are also busy with various facilities such as a museum, science hall, product display hall, laboratories, etc., and what is particularly new is having an open-air theater (노천극장). Speaking of this open-air theater, while there are many in American universities, our school is still the only one in Chosŏn to possess one.
Besides this, we are putting equal effort into physical education as well.

四十年 歷史에 二百圓의 資本은 되엿다 (In Forty Years of History, an Endowment of Two Million Yen Has Been Achieved)

세부란쓰醫專校長 吳兢善 (President of Severance Medical Specialized School, O Kyŏngsŏn)
It has been 43 years now since our Severance Medical Specialized School was founded. At that time, the American oil and steel capitalist Mr. D. H. Severance (D·H·세부란쓰) first donated a huge sum of money, and this school was established. The president at that time was Dr. Avison (魚丕信 박사). Currently, our school's endowment is close to 2,000,000 Yen, and the number of students does not exceed the fixed quota, currently standing at 200.<37> As mentioned before, educating a suitable number of students thoroughly is our school's spirit. Of course, in terms of internal facilities, we cannot compare to renowned foreign schools, but we believe we are by no means inferior within Chosŏn.

六天石土地와 三萬卷藏書 (Land Worth 6,000 Sŏk and a Collection of 30,000 Volumes)

普成專門學校張 金用茂 (President of Posŏng Specialized School, Kim Yongmu)
Posŏng Specialized School (普專), initially established with a foundation (財團) of about 400,000 Yen, once reached the point of financial difficulty, but since the current school sponsor Mr. Kim Sŏngsu (金性洙) donated land worth 6,000 sŏk (六千石土地) and took over, it has come to achieve today's grand success (盛觀). Speaking of the site where the school building was newly constructed in Anam-ni, it is over 70,000 pyeong, which seems satisfactory for a specialized school campus.
With two departments, Commerce and Law, the number of students is over 570. There is nothing particularly special about the educational spirit. It's because we proceed under the fixed instructions of the authorities (당국의 指示).
Currently, there are about 30,000 volumes in the library, but on the day the newly constructed library is completed, it will become the number one (第一가는) large library even in the Orient. The book collection capacity (藏書量) will be 600,000 volumes, and about 10 professor research rooms (교수 연구실) will be separately established. Such a large project might be considered too big for a specialized school's library. Besides this, the large auditorium accommodating over 5,000 people and the gymnasium will commence soon, awaiting the completion of the library this July.

大學創建에 대한 腹案, 理想案 (Internal Plans and Ideal Plans for University Creation)

今后十年에 六百萬圓만 되면 綜合大學을 만들려고 (If We Get Six Million Yen in the Next Ten Years, We Intend to Create a Comprehensive University)

延禧專門學校副校長 兪億兼<38> (Vice-President of Yonhui Specialized School, Yu Ŏkkyŏm) <38>
Since our school is in an initial stage (初步階段) intending to eventually reach the path of university completion, on the day an endowment of about 6,000,000 Yen is established, we will immediately show the complete aspect of a university. We are always striving to realize this as quickly as possible (하루밧비) even now, but the essential point (要) is the funding issue. Recently, there seem to be many individuals interested in educational endeavors, and even for our school, there are many who donate. If the general trend in Chosŏn society continues just like this, it seems likely that within the next 10 years, we could sufficiently be completed as a university... So, currently, our school is striving in various ways to develop it day by day. Even for the library, as a 10-year plan, we intend to gather 100,000 volumes, and for the new library construction, with recent donations from interested individuals, an endowment of several hundred thousand Yen has been gathered, so in the near future, we will certainly (期於히) build a large library capable of storing 500,000 volumes. And the gymnasium will be newly completed within just 2 or 3 years. Next, as for future expansion plans, besides the current school building, we intend to spend about 100,000 Yen each to newly construct 3 school buildings, and we intend to build a large auditorium that can accommodate 5,000 people. Besides that, we want to realize the dormitory as soon as possible and accommodate all first-year students as much as possible, and also intend to set up cafeteria facilities on campus. So, if we just had 1,000,000 Yen in funds now, all these projects could gradually be realized.
The day these projects are realized in sequence could be called the eve (前夜) of the Private University, but I would say everything depends solely on the enthusiasm (熱意) of everyone in the general society.

三十三萬圓의 寄附를 土臺로 完美한 醫科大學 만들고저 (Intending to Create a Perfect Medical College Based on the 330,000 Yen Donation)

세부란쓰醫專校長 吳兢善 (President of Severance Medical Specialized School, O Kyŏngsŏn)
There is very welcome news for our school. That is, Mr. J. L. Severance (J·L세부란쓰), the son of the founder Mr. L. H. Severance (L·H·세부란쓰), has donated a huge sum of 330,000 Yen to our school this time (今番). Also, some time ago, our school purchased a school site (基地) of over 21,000 pyeong in Yŏnhŭi-ri, near the suburban Yonhui Specialized School. This site purchase also aimed at realizing a single-faculty medical university (醫科單科大學), but moreover, with the 330,000 Yen donation this time, we have gained strength and are striving to actively realize the single-faculty university. To realize a single-faculty university, a minimum reserve fund (적립금) of 500,000 Yen, a site worth 500,000 Yen, and internal facilities worth 1,000,000 Yen are needed. Then, even with our school's current endowment, it's not impossible, but it lies in further completing and enriching the internal facilities to create a Medical College that we wouldn't be ashamed (붓끄럽지 안흔) to present in any country. That will likely be a matter of the not-too-distant future (머지 안흔 앞날).

農, 文, 醫, 工의 順序로 普成大學을 만들고저 (Intending to Create Posŏng University in the Order of Agriculture, Arts, Medicine, Engineering)

普成專門學校長 金用茂 (President of Posŏng Specialized School, Kim Yongmu)
As mentioned before, the completion of the large library capable of storing 600,000 volumes or securing a vast site (廣大한 基地) in the quiet suburbs are all projects too large for just a specialized school, but our school's ultimate goal in the long run (長次로의 최고 목표) lies in the effort to try and reach the level of a University.
In that sense, the completion of the large library this time, the construction of the large auditorium, and the gymnasium (as a 30th-anniversary project) could be called the first start of that great project. Next is to increase the departments (科) more than currently; we plan to newly establish them in the order of Agriculture (農科), Arts (文科), Medicine (醫科), and Engineering (工科). A minimum of 3,000,000 Yen in funds (기금) is needed for this to be completed. Among these, what will be realized before long (머지 안허) is the Faculty of Agriculture. After that, if only the three faculties of Arts, Medicine, and Engineering are completed, our Posŏng Specialized School will become a complete comprehensive university worthy of the demands (要求할 만한) of Chosŏn society. However, as for when that time will be, that is a fantasy (空想). Recently, we can see that interested individuals, regardless of whether in Seoul or the countryside (京鄕을 물론하고), have great enthusiasm (熱意) for educational endeavors. If such a welcome phenomenon continues for several more years (멫년을), I am convinced that our Posŏng Specialized School (普專) too will become a complete university before long (오라지 안허). <40>

**Summary**

This 1936 article interviews the heads of three major private specialized schools in Seoul—Yonhui (Yu Ŏkkyŏm), Severance Medical (O Kyŏngsŏn), and Posung (Kim Yongmu)—about their aspirations to establish full universities. They discuss their ideal foreign university models (Harvard, Johns Hopkins/Edinburgh, Berlin, respectively), highlighting world-class facilities, endowments, and research focus. Each then details their own school's current status (site size, endowment, student numbers, existing facilities like libraries, labs, Yonhui's unique open-air theater) and outlines ambitious plans for expansion. Yonhui aims for a comprehensive university with a ₩6M endowment, Severance plans a top-tier medical university bolstered by a recent large donation, and Posung envisions a comprehensive university starting with Agriculture, then Arts, Medicine, and Engineering, centered around a massive new library. All emphasize the need for significant funding and rely on societal support and donations for realizing these "private/people's university" (民立大學) dreams.

From a colonial history perspective, the article reveals the strong desire among Korean educators for advanced, independent higher education institutions, despite operating under Japanese rule (alluded to by Kim Yongmu's mention of "authorities' instructions"). It highlights the reliance on Western models and, significantly for Yonhui and Severance, American missionary and philanthropic funding networks. The scale of ambition (multi-million Yen endowments, libraries rivaling Asian bests, comprehensive departments) contrasts sharply with the current specialized school status, underscoring the national aspiration for self-determined educational development and parity with international standards during a period of limited autonomy. Historians might find the specific financial figures, expansion plans, and the blend of nationalist aspirations with foreign influence particularly interesting.

**Named Entities**

延禧專門學敎	연희전문학교	Yŏnhŭi Chŏnmun Hakkyo
兪億兼	유억겸	Yu Ŏkkyŏm
米國	미국	Miguk
加奈陀	가나다	Kanada
歐羅巴	구라파	Europa (older Korean name for Europe)
하-버드	하버드	Habŏdŭ
中國	중국	Chunguk
英國	영국	Yŏngguk
세부란쓰醫專	세브란스의전	Seburanssŭ Ŭijŏn
吳競善	오경선	O Kyŏngsŏn
짠스·하켄즈	존스홉킨스	Tchansŭ Hak'enjŭ (Johns Hopkins)
에듼보로	에든버러	Edŭnboro
獨逸	독일	Togil
伯林	베를린	Pŏllim (Berlin)
普成專門學校	보성전문학교	Posŏng Chŏnmun Hakkyo
金用茂	김용무	Kim Yongmu
朝鮮	조선	Chosŏn
延禧面	연희면	Yŏnhŭi-myŏn
D·H·세부란쓰	D. H. 세브란스	D. H. Seburanssŭ
魚丕信	어비신	Ŏ Pisin (O. R. Avison)
金性洙	김성수	Kim Sŏngsu
安岩里	안암리	Anam-ni
L·H·세부란쓰	L. H. 세브란스	L. H. Seburanssŭ
J·L세부란쓰	J. L. 세브란스	J. L. Seburanssŭ
延禧里	연희리	Yŏnhŭi-ri

**Glossary**

民立大學	민립대학	Private University / People's University
創建	창건	Establishment / Founding
經倫	경륜	Principles / Discourse / Governance
理想	이상	Ideal
施設	시설	Facilities / Equipment
範圍	범위	Scope / Range
 이르러서는	이르러서는	Regarding / When it comes to (Slightly older grammatical form)
 몰음니다	모릅니다	(I) do not know (Older spelling/form of 모릅니다)
 업슬것임니다	없을 것입니다	Will not be / Will likely not exist (Older spelling/form of 없을 것입니다)
 資本金	자본금	Capital fund / Endowment
 놀나운	놀라운	Astonishing / Surprising (Older spelling)
 資團	자단	Foundation / Financial group (referring to the endowment/assets)
 設備	설비	Equipment / Facilities
 거이	거의	Almost / Nearly (Older spelling)
 업스리라고	없으리라고	Likely will not be (Older spelling/form)
 첫재	첫째	Firstly
 勿論하고	물론하고	Regardless of / Not to mention
 서적	서적	Books / Publications
 모와노흔	모아놓은	Gathered / Collected (Older spelling/form)
 퍽으나 만히	퍽이나 많이	Very many / Quite a lot (Older spelling/form)
 모혀저 잇스며	모여져 있으며	Are gathered (Older spelling/form)
 맨들어 놋코는	만들어 놓고는	Having made / After creating (Older spelling/form)
 專門的	전문적	Specialized
 蒐集케함니다	수집케 합니다	Make (someone) collect / Cause to collect (Older spelling/form)
 이러틋	이렇듯	Like this / In this way (Older spelling)
 따르지 못할 것임니다	따르지 못할 것입니다	Will not be able to match / follow (Older spelling/form)
 교육정신	교육정신	Educational spirit / Philosophy
 그러하지마는	그러하지만은	Although it is so / Nevertheless (Older form)
 兼行식혀	겸행시켜	Make (someone) perform concurrently (Older spelling/form)
 듸려	들여	Spending / Using (Older spelling of 들여)
 맨들어 노왓습니다	만들어 놓았습니다	Made / Have made (Older spelling/form)
 일시에	일시에	At once / Simultaneously
 자유로히	자유로이	Freely (Older spelling)
 되엿슴니다	되었습니다	Became / Has become (Older spelling/form)
 종합대학	종합대학	Comprehensive university
 나노여 잇스나	나뉘어 있으나	Although divided (Older spelling/form)
 학생수	학생수	Number of students
 硏究科	연구과	Graduate school / Research department
 럿치도 안치마는	그렇지도 않지만은	Although it is not so / Although not that many (Older colloquial/phonetic spelling)
 달러서	달라서	Being different (Older spelling/form)
 引導者	인도자	Guide / Leader
 屈指할 것임니다	굴지할 것입니다	Will be counted among the best (Older spelling/form)
 박게 안됨니다	밖에 안됩니다	Is no more than / Only (Older spelling/form)
 안흐면 안됨니다	않으면 안됩니다	Must / Have to (Double negative, older spelling)
 따를야면	따르려면	If one intends to follow/match (Older spelling/form)
 天壤之差異	천양지차이	Vast difference (Lit. Heaven-and-earth difference)
 念頭	염두	Mind / Consideration
 빗나는	빛나는	Shining / Brilliant (Older spelling)
 遂放되여 갓다고는	추방되어 갔다고는	It is said that (they) were expelled/banished (Older spelling/form)
 科學	과학	Science
 완비	완비	Being fully equipped / Completeness
 실로	실로	Truly / Indeed
 基地	기지	Base / Site / Grounds
 평	평	Pyeong (Unit of area, approx 3.3 sq meters)
 모엿다	모였다	Gathered / Was collected (Older spelling)
 완성식힐	완성시킬	To complete / Make complete (Older spelling/form)
 맨들어 노앗든	만들어 놓았던	Had made (Older spelling/form)
 나타낼야면은	나타내려면은	If one intends to show/reveal (Older spelling/form)
 불가능할 쭐로 암니다	불가능할 줄로 압니다	Know it to be impossible (Older spelling/form)
 총합해서	총합해서	In total / Altogether
 도서실	도서실	Library (room)
 涵養	함양	Cultivation / Fostering
 폐지	폐지	Abolition / Discontinuance
 가까히	가까이	Near / Approximately (Older spelling)
 奔忙	분망	Being busy / Bustling
 노천극장	노천극장	Open-air theater / Amphitheater
 가젓슬 뿐임니다	가졌을 뿐입니다	Only possess(es) (Older spelling/form)
 이박게	이 밖에	Besides this / Other than this (Older spelling)
 되엿다	되었다	Became / Has become (Older spelling)
 창설된 지	창설된 지	Since its founding/establishment
 당시	당시	At that time
 자본가	자본가	Capitalist
 비로서	비로소	For the first time / Only then (Older spelling)
 던저	던져	Throwing / Donating (Older spelling)
 박사	박사	Doctor (Ph.D. or M.D.)
 이엿지요	이었지요	Was / It was (colloquial, older spelling)
 수용치 안허	수용치 않아	Do not accommodate (Older spelling/form)
 바이지만	바이지만	As mentioned / Although mentioned
 손색이 업는 줄 암니다	손색이 없는 줄 압니다	Believe it is not inferior / Think it is comparable (Older spelling/form)
 六千石	육천석	6,000 Sŏk (Unit of volume, esp. for grain; indicating land value/productivity)
 土地	토지	Land
 三萬卷	삼만권	30,000 Volumes
 藏書	장서	Book collection
 普專	보전	Abbreviation for Posŏng Specialized School (보성전문학교)
 財團	재단	Foundation / Consortium
 경영난	경영난	Financial difficulties / Management crisis
 이르럿든	이르렀던	Which had reached (Older spelling/form)
 現校主	현교주	Current school owner/sponsor
 寄附하고	기부하고	Donating and
 引繼함으로부터	인계함으로부터	From taking over / Succeeding
 盛觀	성관	Grand spectacle / Prosperous sight / Success
 校舍	교사	School building
 新築	신축	New construction
 만족할 듯 함니다	만족할 듯합니다	Seems satisfactory (Older spelling/form)
 別般	별반	Particularly / Especially
 당국	당국	The authorities (concerned)
 指示	지시	Instruction / Directive
 나아가는 것	나아가는 것	Proceeding / Advancing
 새로히	새로이	Newly (Older spelling)
 第一가는	제일가는	Number one / Best / Foremost
 藏書量	장서량	Book collection capacity / Number of volumes held
 넘우나	너무나	Too / Excessively (Older spelling)
 大講堂	대강당	Large auditorium / Lecture hall
 체육관	체육관	Gymnasium
 기달여서	기다려서	Waiting for (Older spelling)
 곳	곧	Soon / Immediately (Older spelling)
 착수하게	착수하게	To commence / Begin
 腹案	복안	Internal plan / Idea (Lit. belly plan)
 理想案	이상안	Ideal plan / Proposal
 今后	금후	From now on / Hereafter / Future
 得達코저 하는	득달코자 하는	Intending to achieve/attain (Older form)
 初步段階	초보단계	Initial stage / Beginner level
 성립되는 날에는	성립되는 날에는	On the day it is established/formed
 하루밧비	하루빨리	As soon as possible / Quickly (Older spelling)
 실현할야고	실현하려고	Trying to realize / Intending to realize (Older spelling/form)
 要는	요는	The point is / What is essential is
 뜻을 두시는	뜻을 두시는	Who have interest in / Who intend to
 인사들	인사들	Persons / Figures / Individuals
 만흔 듯 해서	많은 듯해서	As there seem to be many (Older spelling)
 만슴니다	많습니다	There are many (Older spelling/form)
 이대로만	이대로만	Just like this / Only in this way
 계속 된다면	계속된다면	If it continues
 넉넉히	넉넉히	Sufficiently / Amply / Easily
 십슴니다만	싶습니다만	It seems like / I think, but... (Older spelling/form)
 발전식히기에	발전시키기에	To develop it / In advancing it (Older spelling/form)
 힘쓰고 잇슴니다	힘쓰고 있습니다	Are striving / Making efforts (Older spelling/form)
 모흘 작정	모을 작정	Plan to gather/collect (Older spelling/form)
 근자	근자	Recently / Lately
 期於히	기어이	By all means / Certainly (Archaic Hanja expression)
 藏置할만한	장치할만한	Suitable for storing / Worth installing
 次第로	차례로	In sequence / Step by step
 前夜	전야	The eve (of) / Night before
 熱意	열의	Enthusiasm / Zeal
 오즉	오직	Only / Solely (Older spelling)
 달여 잇다고	달려 있다고	Depends on (Older spelling/form)
 土臺	토대	Foundation / Basis
 完美한	완미한	Perfect / Complete
 만들고저	만들고자	Intending to make / Desiring to build (Older form)
 今番	금번	This time
 주웟슴니다	주었습니다	Gave (Older spelling/form)
 買收 하엿슴니다	매수하였습니다	Purchased (Older spelling/form)
 醫科單科大學	의과단과대학	Single-faculty medical university/college
 期코저	기코자	Intending to achieve / Aiming for (Older form)
 최소한도	최소한도	Minimum level / At least
 적립금	적립금	Reserve fund / Accumulated fund / Endowment
 못될바는 업지마는	못될 바는 없지마는	Although it's not impossible (Older spelling/form)
 붓끄럽지 안흔	부끄럽지 않은	Not shameful / Unashamed (Older spelling/form)
 맨듬에 잇슴니다	만듦에 있습니다	Lies in the making of (Older spelling/form)
 머지 안흔 앞날	머지않은 앞날	Not-distant future (Older spelling)
 農科	농과	Faculty/Department of Agriculture
 文科	문과	Faculty/Department of Arts/Humanities
 醫科	의과	Faculty/Department of Medicine
 工科	공과	Faculty/Department of Engineering
 順序	순서	Order / Sequence
 長次로	장차로	In the long run / Eventually / In the future (Older form)
 이르러 보겟다는	이르러 보겠다는	That intends to try and reach
 科	과	Department / Faculty / Course
 늘이는 것	늘이는 것	Increasing / Expanding
 신설할 작정	신설할 작정	Plan to newly establish
 기금	기금	Fund / Endowment
 머지 안허	머지않아	Soon / Before long (Older spelling/form)
 要求할 만한	요구할 만한	Worthy of demand / Suitable for needs
 空想	공상	Fantasy / Daydream / Idle fancy
 京鄕	경향	Seoul and the countryside / Capital and provinces / Everywhere
 멫년	몇 년	Several years (Older spelling)
 오라지 안허	오래지 않아	Before long / Soon (Older spelling/form)
 확신하는 바	확신하는 바	What (I am) convinced of


---------------------------


잡지명	삼천리 제8권 제4호
발행일	1936년 04월 01일
기사제목	民立大學創建經倫
기사형태	논설

民立大學創建經倫
世界各國中 어느 大學을 理想으로 하는가

하-버드 대학이 施設이 優秀

延禧專門學敎副敎長 兪億兼
내가 아는 範圍로 말한다면 米國에 얼마동안 가잇섯든 關係로 米國이나 加奈陀 等地의 各大學에 對해서는 어느 程度까지 잘 안다고 하겟지마는 歐羅巴 各國의 大學에 이르러서는 도모지 몰음니다. 그럼으로 내가 이 자리에서 말한다고 하면 米國의 大學만을 말하게 되겟슴니다. 米國의 大學中 非但 나뿐이 아니라 누구나 잘 아는 바이겟스나 「하버-드」大學을 먼저 소꼽지 안흘 수 업슬것임니다. 이「하버-드」大學으로 말하면 學敎의 資本金이 約300,000,000弗이라는 놀나운 資團을 이루고 잇스며 이 대학의 設備에 잇서서는 금일 歐羅巴 諸國에도 이만한 設備를 가진 學校는 거이 업스리라고 생각함니다.
