잡지명	개벽 제26호
발행일	1922년 08월 01일
기사제목	綠陰凉話 (Cool Talk under Green Shade)
필자	一記者
기사형태	소식 (News Tidbits)

綠陰凉話
						一記者
*Hŭkt'o*'s "Rebellious Koreans"
The Hŭkt'ohoe (Black Tide Society), organized by brethren in Tokyo, launched its monthly magazine *Hŭkt'o* (Black Tide) on July 10th. The main purpose stated for publishing this journal (in Japanese) is to introduce the "goings-on of the weak among humans, namely the so-called 'rebellious Koreans' (不逞鮮人), and the internal situation of Chosŏn" to many humane Japanese whose blood has not yet cooled. However, there is something in the journal that, at first glance, saddens our hearts. That is, among the dozen or so issues discussed, the phrase "Goings-on of the Rebellious Koreans" (「不逞鮮人이 動靜」). This was, of course, written scornfully, adopting the meaning intended by you Japanese when you say "so-called rebellious Koreans." But seeing "rebellious" (不逞) called "rebellious" instantly stirs up rebellious feelings.

Youth Baseball Tournament on the First Day of Dog Days (Ch'obok)
Furthermore, the Youth Baseball Tournament hosted by the Saedongmu-sa (New Friends Society) was held on the Central School's athletic field on July 21st, the terribly hot first day of the Dog Days (Ch'obok), when both men and horses collapse. It was generally wondered why, for a sports event purely for youths, not even for young adults or grown men, such a sweltering time was chosen among many possibilities <90>. But if you look into it, the Saedongmu magazine, which had been suspended, resumed publication in early July. The business tactic of that society is truly sharp and shrewd.

The Shamelessness of the Chagyot'em (Chagyo Team)
At the aforementioned Youth Baseball Tournament, where concerns lingered about how things might end up, recalling last year's dispute, an incident occurred involving the Chagyo team concealing ages. The situation was barely managed without incident by disqualifying that team. However, one thing that cannot be overlooked here is that despite receiving the disqualification penalty, the members of the Chagyo team lingered in groups of threes and fives, engaging in mischief on the athletic field, preventing the tournament matches from proceeding, until they finally left only after the arrival of sword-carrying police officers. Those people of the Chagyo team, who fear only the power of police officers but know nothing of the commands of their own conscience or the terrifying gaze of the public eye, are truly shameless (厚顔無耻).

The German Government's Reconstruction Policy
This truly seems to exemplify sharpness beyond description. While absolutely prohibiting the export of items that could reveal the country's internal situation, according to a private letter from society member Pak Sŭngch'ŏl, who is studying in that country, even a single medium-format photograph cannot leave the country without permission. In every aspect, they are fearsome people. <91>

The Critical Condition of Chonghyŏn Catholic Church
There is likely no one unfamiliar with the Catholic Church in Chonghyŏn. However, it is said that the church is now in critical condition. The reason is that until before the Great War, its maintenance costs were covered by France, its home country. But since the Great War, the home country has not had the capacity to look after it, and therefore, they are trying to sell this church for 700,000 wŏn this time. The calamity of the Great War is indeed great.

The Scholar Acting Like a Schemer!
Mr. Fukuda Tokuzō (福田德三君), a Japanese scholar (?), claimed to be the first in Japan to publish research on Marx's theories, but was shot down by Mr. Kawakami Hajime (河上肇君), becoming the talk of the Japanese academic world at the time. Yet, his boastful and dogmatic attitude seems to remain unchanged. Having come to Kyŏngsŏng (Seoul) this summer by invitation somewhere, besides giving the scheduled lectures, he is separately inviting or visiting Chosŏn personages, trying to learn the ways of Japanese Diet members who come to Chosŏn. A scholar (?) acting like a schemer (?)! Can one not live without doing so?

Red Ink Advertisements for a Memorial Service
Mourning the passing of Master Kim Kajin of Tongnong, the Yurim Yŏnhap Taehoe (Confucian Scholars United Assembly) held a memorial service at Kagwang Temple in the city on OOO day. At that time, <92> the Yurim Association posted advertisements for the service in four locations, and on the advertisement paper, they drew colorful circles. Unlike other matters, it would have been sufficient to announce the intent through newspapers. It wasn't necessary to pettily post advertisements, and even if they did, randomly using red ink might be somewhat lacking in common sense, especially for Confucian scholars who wouldn't even attend mourning ceremonies in lambskin coats and black hats...

The "Decay" of Chongno Police Station
Above the main gate of the Chongno Police Station, under the watchtower, hangs the usual red police lamp. But what has happened? The area around it is decayed, decayed again (腐朽 又 腐朽), the bricks are all broken and gone, and only fragments of rotten wood are sparsely revealed. Especially when the night is quiet and only the police lamp illuminates the area beneath it, the scene is particularly vivid. If this were used as a metaphor, it would represent the decay of the Chongno Police Station. Haha.

Beware of the Fountain Pen Scam
As people's cunning increases, various scams arise, among which the fountain pen advertisement scam is one of the most ingenious. That is, they advertise in newspapers with pictures of seemingly splendid fountain pens, claiming a "Special Big Discount Offer," but the business address is merely given as "Such-and-such Shop, X-chōme, Chongno." When orders come in, they take the money and, in return, <93> send a defective cheap pen worth only a few dozen chŏn to fulfill the obligation, thus defrauding the payment. If the customer later tries to raise an issue, the business address is unclear, leaving them unsure what to do. This kind of scam is a great loss to the customer and also raises concerns for the credibility of legitimate fountain pen merchants.

As a Result of the Recent Military Reduction
It seems that the garrison troops stationed in various parts of Chosŏn (requiring an annual expense of about 1,000,000 wŏn) will also be completely abolished, and only the border security will be somewhat strengthened. Hearing this news, the Japanese scattered throughout Chosŏn are reportedly in a state of alarm and confusion, their eyes red with the movement to keep the garrisons. Their psychology – that police protection cannot be trusted and they can only feel secure under the might of soldiers – is truly wicked (怪惡).

Kyŏngsŏng Municipal Office Authorities and Council Members
It is said that the authorities of the Kyŏngsŏng Municipal Office and a portion of the municipal council members are undertaking a movement to construct a new office building, spending a huge sum of 1,000,000 wŏn this time. For Kyŏngsŏng Municipality, which has little to show in terms of social facilities, the intention to first invest 1,000,000 wŏn in the construction of the municipal office is something we cannot understand. Moreover, hearing Governor Yoshimatsu's (吉松府尹) explanation of the reason is truly bizarre (怪異). Namely, addressing a certain newspaper reporter, he stated the reason for the new building construction, saying, "In a colony like Chosŏn, one particularly feels the need for new construction, in other words, the need for urban beauty." Then, the investment of the huge sum of 140,000 wŏn to newly build the Susongdong Public School must have been initiated with that same intention. Does this mean that a colony is fine as long as it maintains such outward appearances? Where on earth did they learn such calculations? Tsk, tsk (咄咄).

The Blind Male Midwife
According to Japanese law, midwifery is limited to women. However, in Shizuoka Prefecture (靜岡縣) of the same country, a blind man named Fukuda (福田某) has appeared, having practiced midwifery for a full 40 years. The prefectural authorities immediately ordered him to cease operations for violating the law, but the male midwife claims it is a violation of human rights and obstruction of business, and is reportedly filing a lawsuit against the prefectural governor and the Ministry of Home Affairs.

Japan's Current Prime Minister, Baron Katō
Japan's current Prime Minister, Baron Katō (加藤男), being originally a military man, seems quite strict. Immediately upon assuming the premiership, he decisively abolished summer vacations (暑中休暇), urged general government officials on their attendance hours, and carried out major administrative reorganization, among other things. His decisive manner has considerably startled people. <94> Even in the intense heat like this summer, he diligently works at the office from 9 AM to 5 PM. It is said that his sole entertainment or method of rest is cleaning the garden together with one grandchild on Sundays.

Austerity! Reorganization!
This truly seems to be the great trend of the world. Even without mentioning the army reduction and administrative reorganization throughout Japan and Chosŏn, it is reported that the Soviet government in Russia, which is receiving unusual global attention, has also carried out a major reorganization, eliminating 1.3 million officials. That's right, if there is a need for reorganization, it must be carried out decisively. Humanity's greatest weakness is hesitation and indecision.

The 240,000-Character Indictment
Regarding the opium incident involving former Mantetsu (滿鐵) Vice President Nakano (中野) and former Takushokukyoku (拓殖局) Director Koga (古賀), which startled the eyes and ears of the generation, the public trial was held at the Ryojun (旅順) court on the 11th of last month. Nakano was sentenced to 3 years of penal servitude and Koga to 2 years. But don't be surprised: the full text of the prosecutor's closing argument (論告) reached a staggering 240,000 characters, filling 300 sheets of 800-character manuscript paper, and delivering it required 3 days and 15 hours. Their crimes are crimes, but that indictment is quite something too.
<Ratio of Tenant Farmland Area to Total Cultivated Land Area by Province> <95>

**Summary**

This article, "Cool Talk under Green Shade," from the August 1922 issue of *Kaebyŏk* magazine, presents a series of short, critical news tidbits and commentaries by "One Reporter." Topics range from the sarcastic use of "rebellious Koreans" by a Japanese publication, critiques of Korean groups (a youth baseball team's unsportsmanlike conduct, Confucian scholars' advertising methods), scams (fountain pens), the precarious state of a Catholic church due to lack of funding post-WWI, German post-war policies, and observations on Japanese figures and policies, including a scholar's perceived opportunism, the strictness of the new Prime Minister Katō, administrative austerity, the planned withdrawal of garrisons from Korea causing alarm among Japanese residents, controversial plans for a new Seoul city hall prioritizing aesthetics over social needs, and a lengthy indictment in an opium scandal involving high-ranking officials.

From a colonial history perspective, the article is revealing for its candid, often sarcastic, critique of both Japanese colonial policies/attitudes (e.g., the city hall plan, the use of "rebellious Koreans," reliance on military presence) and certain segments of Korean society (e.g., the baseball team, Confucian scholars). It highlights the socio-economic impacts of global events like WWI (church funding), internal Korean social dynamics, public awareness of corruption and scams, and the pervasive atmosphere of administrative change ("austerity," "reorganization") affecting both the colony and the metropole. Historians might find the commentary on Japanese residents' fear following garrison withdrawals, the critique of prioritizing colonial aesthetics, and the mention of the "opium incident" particularly interesting.

**Named Entities**

黑濤會	흑도회	Hŭkt'ohoe (Black Tide Society)
東京	동경	Tōkyō
黑濤	흑도	Hŭkt'o (Black Tide)
朝鮮	조선	Chosŏn
日本人	일본인	Japanese person/people
새동무社	새동무사	Saedongmu-sa (New Friends Society)
中央學校	중앙학교	Chungang Hakkyo (Central School)
紫橋템	자교템	Chagyot'em (Chagyo Team)
朴勝喆	박승철	Pak Sŭngch'ŏl
獨逸政府	독일정부	German Government
鐘峴 天主敎堂	종현 천주교당	Chonghyŏn Catholic Church
佛蘭西	불란서	France (Pŭllansŏ - older term)
福田德三	복덕삼	Pok Tŏksam (Korean reading of Fukuda Tokuzō)
河上肇	하상조	Hasang Cho (Korean reading of Kawakami Hajime)
京城	경성	Kyŏngsŏng (Colonial name for Seoul)
朝鮮人士	조선인사	Chosŏn personages/figures
金嘉鎭	김가진	Kim Kajin
儒林聯合大會	유림연합대회	Yurim Yŏnhap Taehoe (Confucian Scholars United Assembly)
覺皇寺	각황사	Kagwangsa (Temple)
鍾路警察署	종로경찰서	Chongno Police Station
鍾路	종로	Chongno
京城府廳	경성부청	Kyŏngsŏng Municipal Office
吉松府尹	길송부윤	Governor Yoshimatsu (Kilsong Puyun - 吉松 is likely Yoshimatsu)
壽松洞普校	수송동보교	Susongdong Public School
日本	일본	Japan
靜岡縣	정강현	Shizuoka Prefecture (Chŏnggang Hyŏn - Korean reading)
福田某	복전모	Fukuda So-and-so (Pokchŏn Mo - Korean reading)
加藤男	가등남	Baron Katō (Kajŏng Nam - Korean reading, 男 likely means Baron)
露西亞	노서아	Russia (Nosŏa - older term)
勞農政府	노농정부	Worker-Peasant Government (Soviet Government)
滿鐵	만철	Manch'ŏl (South Manchuria Railway Company - Mantetsu)
拓殖局	척식국	T'akchikkuk (Colonial Development Bureau - Takushokukyoku)
中野	중야	Nakano (Chung'ya - Korean reading)
古賀	고하	Koga (Koha - Korean reading)
旅順法庭	여순법정	Ryojun Court (Port Arthur Court)

**Glossary**

綠陰凉話	녹음양화	Cool Talk under Green Shade (Article Title)
一記者	일기자	One Reporter (Author)
소식	소식	News; Tidbits (Article Type)
不逞鮮人	불령선인	Rebellious/Disloyal Koreans (Derogatory term used by Japanese authorities)
創刊하얏다	창간하였다	Launched publication (Older spelling: 하얏다 for 하였다)
該誌	해지	That magazine/journal
니르는	이르는	Called; Named (Older spelling: 니르는 for 이르는)
鼻笑的	비소적	Scornfully; Derisively
逆氣	역기	Rebellious feeling; Defiance
初伏日	초복일	First day of the Dog Days (hottest part of summer)
係한	계한	Related to; Hosted by
엇섯다	있었다	Was held; Was (Older spelling: 엇섯다 for 있었다)
疑訝한 바	의아한 바	What was wondered about; Point of doubt
續刊	속간	Resumption of publication
怜悧	영리	Shrewd; Clever (can have negative connotation)
年齡隱諱	연령은휘	Age concealment
厚顔無耻	후안무치	Brazen and shameless
形喩	형유	Metaphor; Description
밧고	받고	Receiving (Older spelling: 밧고 for 받고)
危篤	위독	Critical condition
維持費	유지비	Maintenance cost
餘裕	여유	Capacity; Room; Affluence
賣却	매각	Sale; Selling off
禍	화	Calamity; Disaster
策士	책사	Schemer; Tactician
逝去	서거	Passing; Death (honorific)
追悼會	추도회	Memorial service
儒林	유림	Confucian scholars
羔裘玄冠	고구현관	Lambskin coat and black hat (traditional mourning attire)
吊喪	조상	Attending a mourning ceremony
腐朽	부후	Decay; Rot; Corruption
挾雜	협잡	Scam; Fraud; Swindle
割印	할인	Discount (Written as 割印, likely meaning 割引)
塞하고	색하고	To fulfill (an obligation, often poorly); Block up
守備隊	수비대	Garrison troops
存置	존치	Retention; Keeping something in place
驚惶罔措	경황망조	Alarmed and confused; Panic-stricken
怪惡	괴악	Strange and wicked; Monstrous
協議員	협의원	Council member
巨額	거액	Huge sum (of money)
怪異	괴이	Bizarre; Strange
酬酌	수작	Calculation; Scheme; Conversation (here likely negative)
咄咄	돌돌	Tsk-tsk; Tut-tut (sound of disapproval or amazement)
産婆	산파	Midwife
劈頭	벽두	At the very beginning
暑中休暇	서중휴가	Summer vacation
督勵	독려	Urge; Encourage; Exhort
精勵하며	정려하며	Working diligently
猶豫未決	유예미결	Hesitation and indecision
淘汰	도태	Elimination; Weed out
論告	논고	Prosecutor's closing argument; Indictment
步合	보합	Ratio; Percentage (older term, often related to land/yield)
-e 

---------------------------


잡지명	개벽 제26호
발행일	1922년 08월 01일
기사제목	綠陰凉話
필자	一記者
기사형태	소식

綠陰凉話
						一記者
『黑濤』의 『不逞鮮人』
東京에 잇는 兄弟 中으로부터 組織된 黑濤會에서는 그 機關紙로 月刊 雜誌 『黑濤』를 7月 10日로써 創刊하얏다. 人間으로의 弱者의 부르지즘 即 所謂 不逞鮮人의 動靜 及 朝鮮의 內情을 아즉 피가 식지 아니한 人間味 잇는 만흔 日本人에게 紹介한다는 것(日文)이 該誌 刊行의 主旨이다. 그런데 該誌中에는 一見에 吾人의 心情을 섭섭하게 한 것이 잇다. 即 10數의 問題 中에 「不逞鮮人이 動靜」이라 한 그것이다. 이는 勿論 日本人 너희들이 니르는 『所謂不逞鮮人』이라는 意를 取하야 鼻笑的으로 쓴 것이다. 그러나 不逞이 不逞이라 문득 보매는 逆氣가 되던걸.

初伏日의 少年野球會
又復 새동무社의 主催에 係한 少年野球會는 더운 中에도 무섭게 더운 初伏日- 人馬俱斃하던 7月 21日로써 中央學校의 運動場에 열리엇섯다. 靑年이나 壯年의 運動도 아닌 純少年의 運動會로서 하고 만흔 때에 구지 盛災의 때를 擇한 것이 그＜90＞ 意- 어대 잇섯는가함은 一般이 疑訝한 바이엇다. 그런데 알고 보면 其間 中止 中에 잇던 새동무誌의 續刊이 7月初. 其社의 營業策이야말로 辛辣, 怜悧.

紫橋템의 厚顔無耻
昨年의 紛糾를 聯想하야 今日의 結局 如何를 亦是 憂慮하던 前記의 少年野球會에는 紫橋템의 年齡隱諱事件이 起하야 그 템에 對한 退場處分으로써 艱辛히 無事하엿다. 그런데 이때에 한가지 看過하지 못할 일은 그便의 紫橋템은 退場의 處分을 바닷슴에 不拘하고 三三五五가 運動場에서 惡戱를 行하야 大會의 試合을 進行치 못하게 하다가 畢竟 帶劒巡査의 出動을 기다리어써 退出한 그것이다. 自己 良心의 命令과 社會 公衆의 公眼의 무서움은 모르고 警察官의 强力이 무서움만 아는 紫橋템의 사람들이야말로 厚顔無恥.

獨逸政府의 復興策
이야말로 形喩에 絶할 辛辣을 極하는 樣이다. 自國內의 情形을 알리일만한 物品은 絶對로 外國에 輸出치 못하게 하는 中 그 나라에 修學하는 社友 朴勝喆君의 私信에 依하면 中板形寫眞 1枚도 許可 업시는 出國을 시키지 안는다고. 그들은 어느 모으로 보아도 무서운 사람들이야.＜91＞

鐘峴 天主敎堂의 危篤
鐘峴의 天主敎堂이라 하면 別로 모를 이가 업슬 듯하다. 그런데 그 敎堂이 이제 危篤狀態에 들엇다한다. 그 까닭은 大戰以前까지는 本國인 佛蘭西에서 그에 對한 維持費를 어더 오던 바 大戰以後의 本國은 이를 돌아볼 餘裕를 가지지 못하얏슴으로 이 敎堂을 今回 70萬圓에 賣却하려 하는 故이다. 大戰의 禍란 果是偉大.

學者의 策士樣!
日本의 學者(?) 福田德三君은 日本에서 처음으로 맑스 學說에 對한 硏究를 發表하노라 하다가 河上肇君에게 一矢를 受한 事는 當時 日本學界의 말거리가 되엇거니와 그의 自慢, 獨斷의 態는 오히려 如前한 樣이다. 今夏 某處의 招聘으로 京城에 入하야는 所定의 講演을 行하는 以外, 別로이 朝鮮人士를 招請 或은 訪問하야 朝鮮에 오는 日本代議士輩의 行勢를 배우려한다. 學者(?)의 策士(?)樣! 그러지 안코는 살지 못할가.

追悼會의 赤잉크 廣告
東農 金嘉鎭先生의 逝去를 哀하야 儒林聯合大會에서 OOO日 市內 覺皇寺에 追悼會를 開催하엿섯다. 그런데 그때의＜92＞ 儒林會에서는 그 會의 開催廣告를 4處에 부티인 中 그 廣告紙面에 울긋불긋한 똥램구이를 그렷다. 다른 일과 달라 新聞紙上을 빌어 그 뜻을 廣告하엿스면 그만이라. 苟苟하게 廣告를 부칠 것이 아니며 또 부친다 할지라도 赤잉크를 亂用한 것은 족음 沒常識이 아닐는지, 더욱이 羔裘玄冠으로는 吊喪치도 아니할 儒林으로서는 ... .

鍾路 警察署의 『腐朽』
