잡지명	삼천리 제8호
발행일	1930년 09월 01일
기사제목	人生의 香氣 (The Scent of Life)
필자	李光洙
기사형태	문예기타 (Literary Miscellany)

The Scent of Life
						Yi Kwangsu

Knowing Ch’ujŏng (1)
While en route to North America via Europe, passing through Vladivostok (Haesamwi), I could not help but visit Mr. Yi Kap, pen name Ch'ujŏng, who was lying ill in Mulin (穆稜) County, Kirin (吉林) Province, at Mulin Station on the Chinese Eastern Line.

Ch'ujŏng and I had never met face-to-face. However, which Korean youth at that time would not know of Ch'ujŏng Yi Kap? Ch'ujŏng also knew of me, perhaps through magazine connections.

A graduate of the Japanese Army Officer Academy, he had served as an observer officer up to Manchuria during the Russo-Japanese War. Returning to Korea, he served as an Army Lieutenant Colonel (陸軍叅領) and Vice-Minister of the Army (軍部大臣副官). Later, he cast aside his official positions, gathered several comrades, organized the Sŏu Hakhoe (西友學會) (later Sŏbuk Hakhoe 西北學會), initiating the vanguard of the ancestral education movement, and moreover, achieved an unprecedented and powerful education movement. Not only that, but he also initiated large-scale associations, promoting the momentum for the popular unity movement.

Then, perceiving that the annexation in the year Kyŏngsul (庚戌年, 1910) was inevitable and could not be supported, he abruptly went into exile. While staying in the Russian capital, Petersburg (페테르브륵), he became completely paralyzed. Despite receiving treatment from renowned doctors in the German capital (德京, Berlin) and the French capital (法京, Paris), there was no effect. He was recuperating in a small rented house.

My visit to Ch'ujŏng in Mulin was, I believe, right around the Lunar New Year. I remember celebrating the Western New Year in Shanghai (上海), the Russian New Year in Vladivostok (Haesamwi), and then the Lunar New Year in Mulin. At that time, Mulin was nothing but snow and ice, and it was extraordinarily cold.

The house where Ch'ujŏng resided was a crudely built wooden Western-style house with three rooms, a kitchen, and other attached parts. The rooms had no carpets, the windows were double-paned but lacked curtains, and for furniture, aside from the armchair Ch'ujŏng sat in, there were perhaps two or three wooden chairs and a single bed in the bedroom separated by a paper screen (장지).

Between the bedroom and the living room, there was a *pechka* (패치가 - Russian stove), with the firebox opening into the bedroom. The living room faced southwest with windows allowing sufficient sunlight, and as it was a Russian house, the room was not cold.

It seemed Ch'ujŏng would wake up in the morning, sit in his armchair, and only get up when it was evening. Whenever we visited, we saw him sitting in the same posture and facing the same direction (back to the south window, facing the *pechka*), but we never saw him in any other position. Therefore, since he could not move on his own, he must have relied on the help of his wife and daughter to get from the bed to the chair and vice versa (this constituted the entirety of his movement). Yet, the dignified Ch'ujŏng perhaps did not want to show such a pitiable action in front of others; though I visited the teacher daily for a month,<26> I only ever saw him seated in the armchair.

When I visited Ch'ujŏng around eight o'clock (I was staying at the house of An Ch'ŏnggye, about a 5-minute walk from Ch'ujŏng's house), Ch'ujŏng, as always, sat with his back to the south window, facing the *pechka*, and would smile faintly upon seeing me. Then, in a slurred voice, he would exchange seasonal greetings, and we would begin our daily routine.

Our routine consisted of writing letters, conversing, and administering electrotherapy.

We wrote an average of four or five letters a day. The recipients were comrades scattered across Siberia (西伯利亞), South and North Manchuria (南北滿洲), Shanghai (上海) and other parts of China (中國), Hawaii (布哇), North America, and occasionally Europe. The content of the letters never concerned Ch'ujŏng himself; it was all advice and mediation aimed at resolving misunderstandings and estrangements among comrades, opinions regarding the formation of unity, plans concerning the establishment of youth training institutions, exchange of information, advice to take care of their health, and encouragement to not lose heart but to strive and fight.

During that month, I must have written nearly a hundred letters for Ch'ujŏng. Before I arrived, it seemed his daughter (whose name was Chŏnghŭi, now the wife of Army Infantry Captain Yi Ŭngjun—I may have another opportunity to speak about these two), who was only about 15 or 16 at the time, had been writing for him. Thus, unable to express all he usually wanted to say, he seized the fortunate opportunity of my visit to have letters written*.

Among these letters, some he dictated directly, while for others, he dictated only the main points, which I then composed appropriately. While taking down his dictation, I saw him become overwhelmed with emotion, sometimes shedding tears, his words catching, and breaking down completely (聲淚俱下), unable to suppress his sobbing sounds ("ooh hoo hoo") for quite some time. To witness this hero of his generation, reputed to have a heart of iron and stone (鐵石心腸), openly weeping while speaking of the affairs of his compatriots was truly a tragic and sublime sight.

Not only in letters but also in conversation, Ch'ujŏng's topics were always related to public matters. Although his words invariably stemmed from a deep concern for the world (憂世之至情), sometimes there were talks that seemed prepared overnight as if to enlighten me, his junior. However, he never showed the attitude of a senior instructing a junior; rather, his attitude was always that of revealing his innermost thoughts (肝膽을 吐露) as an equal friend and confidant. His language was such, and so was his expression. Yet, this was not forced; it was sincere and natural.

Alone in my lodging at Ch'ŏnggye's house, lying down and reflecting on the day spent with Ch'ujŏng, I thought, "Ch'ujŏng's heart is filled with Chosŏn (朝鮮 - Korea). There is nothing but Chosŏn in Ch'ujŏng's heart. He has driven himself out of his heart and seated Chosŏn there instead." Realizing this, I rejoiced at having witnessed in person what I had only held as a concept: "This is what a patriot is."

Even now, when selfish thoughts arise within me, the image of Ch'ujŏng's smiling face appears and encourages me. (This section is incomplete) <27>
<26-27>

**Summary**

This article by Yi Kwangsu recounts his visit in the winter of 1919-1920 to the ailing Korean independence activist Yi Kap (pen name Ch'ujŏng) in Mulin, Manchuria. Despite being paralyzed and living in stark conditions after a distinguished career followed by exile, Yi Kap remained entirely devoted to the cause of Korean independence. Yi Kwangsu describes assisting the frail Yi Kap by writing letters daily to scattered comrades, mediating disputes, discussing plans for unity and training, and offering encouragement, never focusing on his own suffering. Yi Kwangsu was profoundly moved by Yi Kap's selflessness and unwavering patriotism, seeing him as the embodiment of a true patriot whose heart was filled solely with concern for Korea. Historians might find this piece valuable for its firsthand portrayal of a key early independence figure's life in exile, the nature of communication within the dispersed activist network, the emotional toll of the struggle, and Yi Kwangsu's own early perspective on patriotism and admiration for movement leaders before his later controversial path.

**Named Entities**

秋汀	추정	Ch'ujŏng
李甲	이갑	Yi Kap
歐羅巴	구라파	Yuropa
北美	북미	Pungmi
海參威	해삼위	Haesamwi
吉林省	길림성	Killim Sŏng
穆稜縣	목릉현	Mongnŭng Hyŏn
中東線	중동선	Chungdong Sŏn
무린驛	무린역	Murin Yŏk
李光洙	이광수	Yi Kwangsu
日本	일본	Ilbon
陸軍士官學校	육군사관학교	Yukgun Sagwan Hakkyo
日露戰爭	일로전쟁	Illo Chŏnjaeng
滿洲	만주	Manju
韓國	한국	Han'guk
陸軍叅領	육군참령	Yukgun Ch'amnyŏng
軍部大臣副官	군부대신부관	Kunbu Taesin Pugwan
西友學會	서우학회	Sŏu Hakhoe
西北學會	서북학회	Sŏbuk Hakhoe
庚戌年	경술년	Kyŏngsul Nyŏn
俄京	아경	Agyŏng
페테르브륵	페테르부르크	P'et'erŭbŭrŭk
德京	덕경	Tŏkkyŏng
法京	법경	Pŏpkyŏng
上海	상해	Sanghae
俄曆	아력	Aryŏk (Russian Calendar)
陰曆	음력	Ŭmnyŏk (Lunar Calendar)
陽曆	양력	Yangnyŏk (Solar Calendar)
安淸溪	안청계	An Ch'ŏnggye
西伯利亞	서백리아	Sŏbaeria
南北滿洲	남북만주	Nambuk Manju
中國	중국	Chungguk
布哇	포와	P'owa
歐洲	구주	Kuju (Europe - different Hanja used here)
正熙	정희	Chŏnghŭi
李應俊	이응준	Yi Ŭngjun
朝鮮	조선	Chosŏn

**Glossary**

알는	아는	Knowing (older spelling)
經由하야	경유하여	Via, passing through (older grammatical form using 하야 instead of 하여)
路次에	노차에	On the way, en route
거치어	거치어	Passing through (slight spelling variation from modern 거쳐)
누으신	누우신	Who is lying down (older spelling/form)
찾을 수 없엇다	찾을 수 없었다	Could not help but visit (older past tense ending 엇다)
前面이 없다	전면이 없다	Have no prior acquaintance, have never met face-to-face
어듸	어디	Where (older spelling)
잇으랴	있으랴	Would there be? (older interrogative form)
아시엇다	아시었다	Knew (honorific, older past tense ending)
들아와	들어와	Returning, entering (common older form)
내어던지고	내어던지고	Casting aside, throwing away
紏合하야	규합하여	Gathering, bringing together (older form using 하야)
朝鮮하야	조직하여	Organizing (here used for 'organize/found', older form using 하야)
일울	이룰	To achieve, accomplish (older spelling)
機運	기운	Opportunity, sign, momentum
熟하야	숙하여	Ripening, becoming mature (older form using 하야)
看破하고	간파하고	Seeing through, perceiving
飄然히	표연히	Abruptly, suddenly, like drifting
逗留하던	두류하던	Staying, residing (while ~ing form)
全身不隨	전신불수	Complete paralysis
名醫	명의	Famous doctor
效	효	Effect, efficacy
療養하시는	요양하시는	Recuperating (honorific present participle)
아모렇게나	아무렇게나	Crudely, haphazardly
지은	지은	Built
만치	만치	As much as, like (dialectal/older form of 만큼)
칩지는 아니햇다	춥지는 아니했다	Was not cold (older negative form 아니하다 + past tense 햇다)
나리는	내리는	Getting off/down (older spelling)
起動	기동	Moving, getting up
悲憺한	비탄한	Pitiable, tragic
하로	하루	One day (older spelling)
썻는데	썼는데	Wrote (older spelling)
흐터지어	흩어져	Scattered
잇는	있는	Existing, who are (older spelling)
爲한	위한	For the sake of (older spelling convention)
落心말고	낙심말고	Without losing heart
激勵	격려	Encouragement
代書햇던	대서했던	Had written for (someone else) (older past perfect form)
口授하엿고	구수하였고	Dictated (older form using 하엿고)
지어썻다	지어썼다	Composed and wrote (older spelling)
感極하야	감극하여	Being overcome with emotion (older form using 하야)
落淚하고	낙루하고	Shedding tears
막히고	막히고	Being blocked, catching (voice)
聲淚俱下	성루구하	Tears flowing down with cries (idiomatic expression)
우름ㅅ소리	울음소리	Sound of weeping (older spelling with ㅅ)
진정치	진정치	Calming, suppressing (older form, short for 진정하지)
同胞事	동포사	Affairs of compatriots
放聲慟哭하는	방성통곡하는	Wailing loudly
말슴어니와	말씀이어니와	Although it is (your) words (older connective form)
啓發하기	계발하기	To enlighten, develop
夜來에	야래에	During the night, overnight
準備한	준비한	Prepared
敎訓하는	교훈하는	Instructing, teaching
態度	태도	Attitude
어듸까지든지	어디까지든지	To whatever extent, thoroughly
肝膽을 吐露하는	간담을 토로하는	Revealing one's innermost thoughts (lit. liver and gallbladder)
至情	지정	Sincerity, true feeling
찻다	찼다	Is full, filled (older spelling)
쫏고	쫓고	Chasing out, driving out (older spelling)
앉혓다	앉혔다	Seated (causative, older spelling)
잇든	있던	Which existed, which was (older adnominal form)
깃버햇다	기뻐했다	Rejoiced, was glad (older spelling)
利己心	이기심	Selfishness, egoism
發作할	발작할	When ~ arises, breaks out
나타나시	나타나서	Appearing (older connective form)


---------------------------


잡지명	삼천리 제8호
발행일	1930년 09월 01일
기사제목	人生의 香氣
필자	李光洙
기사형태	문예기타

人生의 香氣
						李光洙
알는 秋汀(一)
나는 歐羅巴를 經由하야 北美로 가는 路次에 海參威를 거치어 吉林省 穆稜縣인, 中東線 무린驛에 병으로 누으신 秋汀 李甲先生을 아니 찾을 수 없엇다.
秋汀과 나는 前面이 없다. 그렇지마는 그 때 朝鮮靑年으로 秋汀 李甲을 모를 사람이 어듸 잇으랴. 秋汀도 雜誌반연으로인지 나를 아시엇다.
日本 陸軍士官學校 出身, 日露戰爭에 觀戰武官으로 滿洲까지 從軍하엿고 韓國에 들아와 陸軍叅領, 軍部大臣副官을 歷任하고 後에 官職을 내어던지고 여러 同志를 紏合하야 西友學會(後에 西北學會)를 朝鮮하야 祖先敎育運動의 嚆矢를 일울 뿐더러 또한 曠前絶後한, 有力한 敎育運動을 이루엇고, 그 뿐 아니라 大規模結社의 嚆矢를 이루어 民衆團結運動의 氣運를 促進한 것이다.
