**Header Section:**
Magazine Title: 삼천리 제8호
Publication Date: 1930년 09월 01일
Article Title: 新興첵크과 쏘클運動 (The Newly Risen Czechia and the Sokol Movement)
Author: 金保榮
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
The Newly Risen Czechia and the Sokol Movement
Kim Po-yŏng

1. Foreword
It seems to be a fact that the number of people wanting to know what the "Sokol" (소코-ㄹ) movement is is gradually increasing. Furthermore, it seems to have become very prominent recently. While thinking this is a very good phenomenon from various points of view, I wish to introduce it widely and quickly to serve as a reference for our brothers and sisters. This "Sokol" group is an organization within the newly risen nation located in the continent of Europe called Czechoslovakia (쳭크스로바기아), and its details are as follows.

2. Etymology of Sokol
The word "Sokol" (소코-ㄹ) is originally a Latin word meaning falcon (매, 鷹). The falcon's movements are extremely agile, and its infinite energy is the foremost among birds; its whole body, tense without the slightest gap, possesses terrifying power like a cannonball, and the sharpness of its gaze displays unparalleled dignity and spirit. In this sense, the people of that nation revere the falcon above all else.
Thus, they came to use this word to symbolize unifying Czechoslovakia (쳭크스로바기아) into a brave and strong nation and the vibrant, newly rising spirit of the youth.

3. Origin of the Sokol Movement
The Bohemian (쁘에미아, BohEmia) people lived for several centuries under the yoke (覊絆下) of the Austrians (오-스트리안), suffering infinite tyranny and oppression (壓拍). During that time, they tried all sorts of movements to escape that subjugation (패배), but in the end, they were brutally suppressed. Based on the experience gained through this, the "Sokol" group was founded in 1862 by the patriot Dr. Tyrš (*듸-우르스*, *ce).
The greatest objective of this organization was the mental and physical training (心身鍜鍊) of the people and the cultivation of patriotic spirit.
In other words, while disseminating and encouraging physical exercise among the entire nation and implementing mental and physical training and unified discipline, its aim was [to foster unity among] the people of the homeland.
They adopted the grand slogan, "Where loving the people and loving the nation aligns with loving oneself, the dawn of success will surely shine."

4. Organizational Structure of the Sokol Group
As soon as this "Sokol" group was born into the world, members joined at an accelerating rate, and by 1924, the number of local federations already reached tens of thousands, and the membership reached over 1.7 million.
Its organizational method involved dividing into sections for adult members (male/female), youth members (male/female), and boy/girl members. Among these, those 18 years or older were classified as regular members, and those below 18 and 6 years or older were classified as associate members. What we find particularly noteworthy is that within the adult group, there is an elderly class, divided into sections for those 50 and older, 55 and older, and 65 and older. <42>
A central headquarters is established, and federations are placed throughout the country. Each federation must have a "Sokolist" (Sokol gymnasium) and a responsible leader. Responsible leaders are limited to those with local knowledge and reputation who have completed the regular training course at the headquarters.
The central headquarters has a president (團長), and below that are the technical department (專門部) and administrative department (行政部) to assist the president. The technical department is organized with men and women participating in respective special roles, and the administrative department is a federation of local bodies composed of national delegates. All expenses required for this "Sokol" group are borne by the members.

5. Activities of the "Sokol" Group
1. Regular Training
The primary activities of the "Sokol" group are gymnastics (體操) and drill (敎練), along with equestrianism (鬪馬術), skiing (스키-), shooting (射擊), boating (뽀-트), skating (스케트), study trips (修學 旅行), etc. They also publish the "Sokol" official newsletter and hold lectures, concerts, and plays (演劇會) periodically.
Regarding the teaching methods at the central headquarters as well as the local federations, regular members start every night from 7 o'clock, and associate members start daily from noon. Males practice on Monday, Wednesday, Friday, and females on Tuesday, Thursday, Saturday.
The exercise program within one hour includes: 1st type (freehand exercises, 徒手) 15 minutes, 2nd type (hanging exercises, *垂 - likely apparatus work like parallel bars or rings) 15 minutes, 3rd type (jumping, 跳躍) 15 minutes, 4th type (ball games, field sports, 球技, 陸上競技) 15 minutes, followed by 5 minutes of cool-down exercises (整理運動).
After finishing these exercises, facilities are well-arranged for members to necessarily bathe and change clothes. A particularly surprising point during the implementation of these exercises is that in some regions, grandfathers and fathers are members, while their own grandsons or sons become instructors, receiving guidance from them while exercising.
This is an astonishing thing that is absolutely impossible to see in present-day Korea (朝鮮). In addition, the local federation serves as the central social institution of that area, and members also eat meals together here before and after exercise.

2. "Sokol" National Gymnastic Festival
While continuing training like this, the "Sokol" group holds a national "Sokol" athletic meet once every 6 years.
This is a national gymnastic festival that can be called the grand review (大觀兵式) of Sokol. In the nation's capital, Prague (부라-크), there is a splendid stadium a quarter-mile long and 300 yards wide. Around it are spectator stands capable of holding 150,000 people.
This stadium was built by the "Sokol" members themselves through volunteer service, so its total cost is said to be merely 1 million Won. This place is precisely the venue for the national "Sokol" grand review.
In this event, "Sokol" members of all ages and genders gather from across the country and participate actively day after day, regardless of sunshine, rain, cold, or heat.<43> During my studies in Tokyo (東京), I saw a film screening of the actual event hosted by the Japanese Ministry of Education's Physical Education Research Institute (日本 文部省 體育硏究所).
What was screened at that time was the actual scene of the 8th National "Sokol" Gymnastic Festival held in July 1926.
The sight of over 80,000 members (Adult Men 28,000, Women 18,000, Youth Men 17,000, Boys and Girls 6,000) actively participating day after day, regardless of rain or shine, could not but make the spectators shed tears of emotion. Furthermore, the magnificent spectacle embodying disciplined, agile movements and unified training according to the rhythm of music was difficult to describe. Especially seeing the actual scene of over 20,000 women members displaying grace and agility while performing movements of fortitude and activeness on a ground soaked in puddles from heavy rain was nothing short of astonishing. Thus, they cultivate national, unified, collective training.

6. The "Sokol" Group and the Newly Risen Czechoslovak Republic
During that time, while receiving all sorts of interference and oppression from Austria (오-스트리아), the "Sokol" group actively or passively realized its principles (主義) and platform (綱領).
Consequently, their formidable conviction and hope, together with their resolute spirit (剛毅한 精神), became solidified. As the Sokol spirit was thus demonstrated daily, their movement became even more intense. Even before the World War, they already possessed vitality and organizational tension like an army and received fervent national support. Moreover, they held a firm conviction regarding the nation's future and were trained to the point where they could take concrete action should a time of crisis (一旦 有事之秋) arise. Amidst this, seizing the golden opportunity presented by the Great European War, they organized the famous Czechoslovak Legions (쳭크스로바기아 軍團), traversing Siberia (西伯利亞) in early 1918 and astonishing the world.
Consequently, they achieved the independence of their homeland in December 1918. This is the newly risen Czechoslovak Republic (첵크스로바기아 共和國) that emerged after the World War.
This Czechoslovak Republic was built upon the spirit of "Sokol," the strength of its training, and its foundation.
Their core spirit and conviction was that 'Efforts must be concentrated on nationwide unity rather than a small number of elite talents. All people must know together, all people must act together, and only when all people cooperate in unison can true endeavors succeed.'

7. Conclusion
This is the general outline of the "Sokol" movement.
While I leave the critique of this movement to wise readers, it is needless to argue again that physical exercise trains the mind and body and cultivates unified spiritual discipline.
Furthermore, it can effectively develop and transform the vitality of the masses, and the trained spirit of unity and discipline can organize a system of strength (힘) as a psychological weapon. The harvest gained by underdeveloped nations through the promotion of physical education is the removal of the decadence (頹廢性) clinging to the stagnant national consciousness and spirit, and the elimination of one's own weakness (沈弱) and anti-social regression (反社會的 退嬰性).
Thus, one can rediscover lost culture, acquire rights, and build the spiritual foundation to control one's own nation's future. This "Sokol" movement provides a real example proving this.
1930, 7, 5 <44>

**Summary**

This 1930 article by Kim Po-yŏng introduces the Czechoslovak Sokol movement to a Korean audience. It details the movement's origins under Austrian rule, its emphasis on physical training (gymnastics, drills) and patriotic spirit, its organizational structure encompassing all ages, its large-scale national festivals, and its crucial role in fostering national unity and ultimately contributing to Czechoslovakia's independence after World War I. The author presents Sokol as a model for national revitalization through collective physical and spiritual discipline. For historians studying colonial Korea, this article is significant as it reflects the intense interest among Korean intellectuals in foreign nationalist movements and methods for fostering national strength and consciousness under oppressive rule. The detailed description of Sokol's organization and mass participation, emphasizing unity across generations and its success in achieving independence, implicitly suggests a potential path for Korea, highlighting the perceived link between physical culture, national spirit, and political liberation.

**Named Entities**

金保榮	김보영	Kim Po-yŏng
첵크스로바기아	체크슬로바키아	Ch'ek'ŭsŭrobak'ia (Czechoslovakia)
歐羅巴洲	구라파주	Kurap'aju (Europe)
쁘에미아	보헤미아	Ppeemia (Bohemia)
오-스트리안	오스트리아인	O-sŭt'ŭrian (Austrian)
듸-우르스	티르시	Tŭi-urŭsŭ (Likely Tyrš)
부라-크	프라하	P'ŭraha (Prague)
日本	일본	Nihon (Japan)
文部省 體育硏究所	문부성 체육연구소	Monbushō Taiiku Kenkyūjo (Ministry of Education Physical Education Research Institute)
西伯利亞	서백리아	Sŏbaeriia (Siberia)
朝鮮	조선	Chosŏn (Korea)

**Glossary**

新興	신흥	Newly risen, emerging
쏘클/소코-ㄹ	소콜	Sokol (Transcription of the Czech name)
하외다	합니다	(deferential verb ending, older form of 합니다 - 'does/is')
顯著해지는 듯 하외다	현저해지는 듯합니다	Seems to be becoming prominent (older grammatical forms)
叅考	참고	Reference
供*코저	공하고자	Intending to provide/offer (older form of -고자 하다)
位在한	위재한	Located (older form, now 위치한)
語義	어의	Meaning of a word, etymology
鷹	매	Falcon, hawk
敏捷	민첩	Agility, quickness
一亳	일모	Even a tiny bit (lit. one hair)
虛隙	허극	Gap, opening, vulnerability
眼芒	안망	Sharpness of gaze
聰銳함이	총예함이	Sharpness, acuity (older nominalization)
업는	없는	Without, lacking (older spelling)
躍示하고 있음니다	약시하고 있습니다	Is displaying vividly (older spelling of 있습니다)
崇拜합니다	숭배합니다	Revere, worship (older spelling)
統一식히고	통일시키고	Unifying (older form of 시키다)
發발한	발발한	Vibrant, vigorous (likely duplication intended for emphasis, or older form)
象微코저	상징하고자	Intending to symbolize (older form)
如斯한	여사한	Such, like this (Archaic/Hanja-based term)
起源	기원	Origin
覊絆下	기반하	Under the yoke/bondage
壓拍	압박	Oppression, pressure
밧고	받고	Receiving (older spelling)
버서나려고	벗어나려고	Trying to escape (older spelling)
無慘이도	무참히도	Brutally, cruelly (older spelling)
鎭壓되고 말엇습니다	진압되고 말았습니다	Ended up being suppressed (older spelling/form)
體得한	체득한	Learned through experience
愛國志士	애국지사	Patriot
創立되엿슴니다	창립되었습니다	Was founded (older spelling)
心身鍜鍊	심신단련	Mental and physical training
잇섯슴니다	있었습니다	Was/existed (older spelling)
보급장려하며	보급장려하며	Disseminating and encouraging
標語	표어	Slogan
達하엿습니다	달하였습니다	Reached (older spelling)
組織	조직	Organization
區別하엇습니다	구별하였습니다	Distinguished, classified (older spelling)
늣기는 것은	느끼는 것은	What (we) feel/notice (older spelling)
老人班	노인반	Elderly class/group
置하엿는대	두었는데	Placed, established (older spelling/form)
正規	정규	Regular, formal
講習	강습	Training course
맛친	마친	Finished, completed (older spelling)
補하*	보좌하여	Assisting (likely typo for 보좌하여)
叅與한	참여한	Participated (older spelling)
構成되여 잇스며	구성되어 있으며	Is composed of (older spelling/form)
所用되는	소용되는	Required, needed
負擔하고 잇습니다	부담하고 있습니다	Are bearing/paying (older spelling)
事業	사업	Activity, project, enterprise
爲先	우선	First of all, primarily
敎練	교련	Drill, military-style training
隨時로	수시로	Periodically, whenever necessary
開催함니다	개최합니다	Holds, hosts (older spelling)
勿論이려니와	물론이려니와	Not to mention, of course
實習	실습	Practice, practical training
徒手	도수	Freehand (exercises)
跳躍	도약	Jumping, leaping
球技	구기	Ball games
陸上競技	육상경기	Track and field athletics
整理運動	정리운동	Cool-down exercise
入浴	입욕	Bathing
換着하게	환착하게	To change clothes
設備	설비	Facilities, equipment
整頓되여 잇습니다	정돈되어 있습니다	Are arranged, tidied up (older spelling/form)
놀낼만한	놀랄만한	Surprising, astonishing (older spelling)
到底히	도저히	Absolutely, possibly (often used with negative)
붙 수 업는	볼 수 없는	Cannot see (붙 is older form/typo for 볼)
此外에	차외에	Besides this, in addition
一齊히	일제히	All together, simultaneously
體育祭	체육제	Athletic festival, sports day
繼續하는	계속하는	Continuing
1次式	일차씩	Once each (time)
大觀兵式	대관병식	Grand military review
首府	수부	Capital city
哩	마일	Mile (unit of length)
碼	야드	Yard (unit of length)
훌융한	훌륭한	Splendid, magnificent (older spelling)
周圍	주위	Surroundings
收容할 만한	수용할 만한	Able to accommodate
觀覽席	관람석	Spectator seats
自身이	자신이	Oneself
奉仕的으로	봉사적으로	Through volunteer service
建造하엿슴으로	건조하였으므로	Because (it) was built (older spelling)
總經費	총경비	Total expenses
僅히	근히	Merely, only
不過하다 함니다	불과하다고 합니다	Is said to be no more than (older spelling)
卽	즉	Namely, that is
雲集하여	운집하여	Gathering like clouds (in large numbers)
不拘하고	불구하고	Regardless of
連日	연일	Day after day
活躍합니*	활약합니다	Are active (older spelling, likely typo *)
留學時	유학시	During the time of studying abroad
主催로	주최로	Hosted by
實景	실경	Actual scene, real view
映寫하는 것을 보앗습니다	영사하는 것을 보았습니다	Saw the screening (projection) of (older spelling)
觀覽者	관람자	Spectator
感激의 淚	감격의 누	Tears of emotion (淚 - older usage, now 눈물)
흘니지 안을 수 업섯습니다	흘리지 않을 수 없었습니다	Could not help but shed (tears) (older spelling/form)
調子	조자	Rhythm, tune
規律的의	규율적인	Disciplined (older possessive form)
體現하는	체현하는	Embodying, manifesting
偉觀	위관	Magnificent spectacle
어려웟습니다	어려웠습니다	Was difficult (older spelling)
婦人團員	부인단원	Women members
暴雨水溜中	폭우수류중	Amidst puddles from heavy rain
剛毅	강의	Fortitude, resoluteness
驚歎치	경탄치	(Not) being astonished (older form of 경탄하지)
干涉	간섭	Interference
綱領	강령	Platform, principles
實現하고 잇섯습니다	실현하고 있었습니다	Were realizing (older spelling/form)
信念	신념	Conviction, belief
强固하여 젓습니다	강고하여졌습니다	Became solidified, strong (older spelling/form)
猛烈하여 젓습니다	맹렬하여졌습니다	Became intense (older spelling/form)
有事之秋	유사지추	Time of emergency/crisis (idiomatic)
具體的行動	구체적 행동	Concrete action
絶好의 機	절호의 기	Golden opportunity (機 - older usage, now 기회)
엇어	얻어	Gaining, obtaining (older spelling)
經由하여	경유하여	Via, passing through
驚倒케 하엿습니다	경도케 하였습니다	Caused to be astonished/overturned (older form)
獨立	독립	Independence
完成하엿슴니다	완성하였습니다	Achieved, completed (older spelling)
基礎로	기초로	As a foundation
建設되엿슴니다	건설되었습니다	Was constructed, built (older spelling)
精銳	정예	Elite (troops/force)
一致	일치	Unity, accord
萬民	만민	All people
다-갓치	다 같이	All together (older spelling/form)
알어야 되며	알아야 되며	Must know (older spelling)
協力하여야만	협력하여야만	Only by cooperating
참다운	참다운	True, genuine
中核	중핵	Core, nucleus
大槪	대개	General outline, mostly
批判	비판	Critique, criticism
賢明한 諸氏	현명한 제씨	Wise readers/gentlemen (諸氏 - polite plural)
맛기거니와	맡기거니와	While entrusting (older spelling)
養함은	함양함은	Cultivating, fostering (older form)
大衆	대중	The masses, public
發揚轉化할	발양전화할	To develop and transform
規律牲	규율성	Disciplined nature (牲 likely typo for 性)
武器	무기	Weapon
體系	체계	System
獎勵로	장려로	Through promotion/encouragement
後進國民	후진국민	Underdeveloped nation/people
收穫	수확	Harvest, gain
沈滯된	침체된	Stagnant
頹廢性	퇴폐성	Decadence, corruption
除去하며	제거하며	Removing
沈弱	침약	Weakness (possibly 沈鬱 약함 - depressed weakness)
退嬰性	퇴영성	Regression, degeneration
업시 할 수 잇슴니다	없이 할 수 있습니다	Can eliminate (older spelling/form)
