Magazine Title: 大東亞
Publication Date: 1943-03-01
Article Title: 朝鮮の新使命 (Korea's New Mission)
Author: 田中武雄
Article Type: 論説 (Editorial/Argument)

<43>
**Korea's New Mission**
						Tanaka Takeo

I. Foreword

The world situation is rapidly changing day by day, hour by hour, toward the construction of a New World Order centered on Japan, Germany, and Italy. Our Japanese Empire, bearing the great responsibility for the construction of the Greater East Asia Co-Prosperity Sphere, is vigorously advancing toward the completion of the Greater East Asia War under the August Virtue of His Majesty the Emperor. In East Asia, the various peoples, liberated from the long-standing shackles and exploitation of Britain and America, are now marching mightily toward the construction of a New East Asia based on morality, hand in hand with Japan. This is truly a magnificent spectacle unprecedented in history. Korea (朝鮮), as part of the Empire, shares the same destiny as the mainland (内地). It goes without saying that the 24 million brethren of Korea must fulfill their duty as imperial subjects (皇国臣民) and bravely stand up to overcome this national crisis. The mission imposed upon Korea today is indeed grave and significant. Looking back, Korea, since the annexation (日韓合邦), under the benevolent imperial rule, has made remarkable progress in all aspects of politics, economy, culture, etc. The treatment of Koreans has dramatically improved compared to the past, especially with the recent implementation of the special volunteer soldier system (特別志願兵制度), the path has been opened for Koreans to fulfill the greatest duty of subjects, which is military service, and they can now participate in the sacred war as soldiers of the Imperial Army with the same qualifications as mainlanders. This is truly an epoch-making event and a matter of utmost joy for the Korean brethren. Furthermore, measures such as the encouragement of Japanese language use, the promotion of changing surnames and creating family names (氏姓創設), and the enforcement of worship at shrines (神社参拝) are all profound considerations aimed at nurturing and guiding Koreans as true imperial subjects. The Korean brethren must deeply understand this great sacred will, throw away their past dependence and inferiority complex, awaken to their mission as imperial subjects, and fulfill their duties perfectly.

<44>
II. Awakening as Imperial Subjects

For Koreans to perfectly fulfill their mission as imperial subjects, they must first fundamentally awaken as imperial subjects. While it is said that since the annexation, the treatment of Koreans has gradually improved, reaching the point where there is almost no difference compared to mainlanders today, it cannot be denied that in the past, there was a tendency for Koreans to be viewed as a separate people or treated differently. However, with the outbreak of the current Greater East Asia War, such distinctions have been completely eliminated. Koreans are truly imperial subjects, sharing life and death, joys and sorrows with the mainlanders. They are brothers and sisters who must cooperate for the prosperity of the Empire. There should be absolutely no discrimination or distinction between mainlanders and Koreans. The government authorities are also taking various measures based on this spirit. The aforementioned special volunteer soldier system is one example. It is truly moving to see young Koreans, burning with patriotism, volunteering for the battlefield one after another. This demonstrates that the spirit of imperial subjects has thoroughly permeated the Korean brethren. Furthermore, the government is planning to implement conscription (徴兵制度) in Korea in the future. This is also based on the idea that Koreans, as imperial subjects, should bear the duty of national defense just like mainlanders. The Korean brethren should feel boundless gratitude for this benevolent measure and must strive to become splendid imperial soldiers. Besides military service, Koreans also have a great mission in the economic field. Korea possesses abundant underground resources and vast arable land. Developing these resources and increasing food production is an urgent task for strengthening the Empire's national power. The Korean brethren must work diligently, endure hardships, and contribute to the expansion of production. Especially in the current situation where there is a labor shortage on the mainland, sending Korean labor to the mainland is an important mission. The Korean brethren must gladly respond to the nation's demands and fulfill their duty of labor service (勤労奉仕).

<45>
III. Thorough Implementation of Imperial Subject Education

To make the Korean brethren fully awaken as imperial subjects and fulfill their mission, it is essential to thoroughly implement imperial subject education (皇民化教育). Imperial subject education means nurturing and guiding Koreans to become true Japanese subjects, both in name and reality. Specifically, it involves thoroughly instilling the Japanese spirit (日本精神), promoting the use of the national language (国語 - Japanese), and encouraging customs and manners suitable for imperial subjects. The Japanese spirit is the core of the imperial way (皇道) and the foundation of the Empire's national polity (国体). It is crucial to make the Korean brethren deeply understand this spirit and live according to it. Promoting the use of the national language is also extremely important for fostering a sense of unity between the mainland and Korea. If Koreans can freely use Japanese, mutual understanding with mainlanders will deepen, and the sense of being fellow countrymen will naturally arise. Changing surnames and creating family names is also an important measure for imperial subjectification (皇民化). By having Japanese-style surnames, Koreans can become Japanese subjects both in name and reality. Worshiping at shrines is an expression of reverence for the gods and ancestors, and it is a duty for imperial subjects. By encouraging shrine worship, we aim to cultivate the religious sentiments appropriate for imperial subjects among Koreans. These imperial subject education policies must be promoted even more vigorously in the future. Schools, social education organizations, religious groups, etc., must all cooperate and strive for the thorough implementation of imperial subject education. At the same time, it is necessary for mainlanders to have a correct understanding of Korea and Koreans and to treat them with warmth and guidance, without discrimination. True assimilation (真の内鮮一体) can only be achieved through mutual understanding and cooperation between mainlanders and Koreans.

<46>
IV. Strengthening the Wartime Livelihood System

To enable the Korean brethren to fulfill their mission in the decisive war, it is necessary to strengthen the wartime livelihood system (戦時生活体制) in Korea. The Greater East Asia War is a total war, requiring the mobilization of the entire nation's strength. Not only soldiers on the front lines but also the people on the home front (銃後) must unite and fight through this national crisis. In Korea as well, it is necessary to establish a strong wartime livelihood system and thoroughly implement measures such as saving consumption, increasing production, and strengthening air defense. Saving consumption is essential to secure resources necessary for war execution. The Korean brethren must eliminate extravagance, lead a simple and sturdy life, and cooperate in saving materials. Increasing production is the foundation for strengthening national power. Everyone must work diligently at their respective workplaces and strive to increase the production of munitions, food, etc. Especially, increasing food production is an important mission assigned to Korea. Strengthening air defense is necessary to protect lives and property from enemy air raids. Preparations such as establishing air defense organizations, conducting drills, and setting up shelters must be made thoroughly. Furthermore, it is important to maintain public order and prevent espionage activities. The Korean brethren must cooperate with the military and police authorities, be vigilant against suspicious individuals and rumors, and strive to maintain stability on the home front. Establishing this kind of strong wartime livelihood system requires the unity and cooperation of the entire Korean populace. Government authorities, public organizations, and the general public must unite as one and strive to strengthen the wartime system.

<47>
V. Conclusion

The mission imposed upon Korea today is extremely grave. The 24 million Korean brethren, as imperial subjects, must fully awaken to this mission and contribute to the completion of the Greater East Asia War. For this purpose, it is necessary to thoroughly implement imperial subject education, strengthen the wartime livelihood system, and strive for the true assimilation of the mainland and Korea (内鮮一体の実). The government authorities must promote appropriate policies with unwavering determination, and the Korean brethren must respond to this with gratitude and devotion (感恩奉公). Mainlanders must also treat Koreans with warmth and strive for mutual understanding and cooperation. Only when Japan and Korea unite as one, sharing life and death, joys and sorrows, can the prosperity of the Empire and the construction of the Greater East Asia Co-Prosperity Sphere be achieved. I sincerely hope that the Korean brethren will deeply understand their new mission and bravely rise to the occasion.

**Summary**

This editorial by Tanaka Takeo, published in March 1943, outlines "Korea's New Mission" within the Japanese Empire during the height of the Greater East Asia War. It argues that Koreans, liberated from Western influence and benefiting from Japanese rule since annexation, must now fully embrace their identity as imperial subjects (皇国臣民) and share Japan's destiny. The article emphasizes the importance of assimilation policies like promoting Japanese language, name changes (氏姓創設), and shrine worship (神社参拝) as expressions of benevolent imperial guidance. It portrays the introduction of the special volunteer soldier system and the planned implementation of conscription as granting Koreans the honorable duty of military service, equivalent to mainland Japanese. The piece calls upon Koreans to contribute wholeheartedly to the war effort through labor service (勤労奉仕), increased production (especially food), resource development, consumption saving, and maintaining stability on the home front (銃後). The ultimate goal, according to the author, is the true assimilation of Japan and Korea (内鮮一体の実) through imperial subject education (皇民化教育) and shared sacrifice for the Empire's victory and the establishment of the Greater East Asia Co-Prosperity Sphere.

From a historical perspective, this article is a clear example of Japanese wartime propaganda aimed at mobilizing the Korean population and justifying intensified assimilation policies. Historians would find interest in its framing of colonial policies (annexation, name changes, shrine worship) as benevolent acts, the explicit linking of Korean identity to imperial subjecthood and wartime duties (military service, labor), and the articulation of the ideal of "Naissen Ittai" (内鮮一体 - Japan-Korea as One Body) as a tool for total mobilization during the final, desperate years of the war. It starkly reveals the ideological pressure and practical demands placed upon Koreans under late-stage Japanese colonial rule.

**Named Entities**

大東亞	だいとうあ	Daitōa (Greater East Asia)
朝鮮	ちょうせん	Chōsen (Korea)
田中武雄	たなか たけお	Tanaka Takeo
日本	にほん	Nihon (Japan)
独	どく	Doku (Germany)
伊	い	I (Italy)
大東亜共栄圏	だいとうあきょうえいけん	Daitōa Kyōeiken (Greater East Asia Co-Prosperity Sphere)
大東亜戦争	だいとうあせんそう	Daitōa Sensō (Greater East Asia War)
天皇陛下	てんのうへいか	Tennō Heika (His Majesty the Emperor)
東亜	とうあ	Tōa (East Asia)
英米	えいべい	Ei-Bei (Britain and America)
内地	ないち	Naichi (Mainland Japan)
日韓合邦	にっかんがっぽう	Nikkan Gappō (Japan-Korea Annexation)
特別志願兵制度	とくべつしがんへいせいど	Tokubetsu Shiganhei Seido (Special Volunteer Soldier System)
皇国臣民	こうこくしんみん	Kōkoku Shinmin (Imperial Subjects)
氏姓創設	しせいそうせつ	Shisei Sōsetsu (Creation of Family Names and Surnames)
神社参拝	じんじゃさんぱい	Jinja Sanpai (Shrine Worship)
徴兵制度	ちょうへいせいど	Chōhei Seido (Conscription System)
勤労奉仕	きんろうほうし	Kinrō Hōshi (Labor Service)
皇民化教育	こうみんかきょういく	Kōminka Kyōiku (Imperial Subjectification Education)
日本精神	にほんせいしん	Nihon Seishin (Japanese Spirit)
国語	こくご	Kokugo (National Language - Japanese)
皇道	こうどう	Kōdō (Imperial Way)
国体	こくたい	Kokutai (National Polity)
内鮮一体	ないせんいったい	Naissen Ittai (Japan-Korea as One Body)
銃後	じゅうご	Jūgo (Home Front)
感恩奉公	かんおんほうこう	Kan'on Hōkō (Gratitude and Service/Devotion)

**Glossary**

使命	しめい	Mission, duty
論説	ろんせつ	Editorial, argument, discourse
建設	けんせつ	Construction, establishment
共栄圏	きょうえいけん	Co-Prosperity Sphere
聖戦	せいせん	Holy war, sacred war
敢行	かんこう	Vigorous advance, resolute execution
版図	はんと	Territory, domain (here used figuratively as part of the Empire)
同胞	どうほう	Brethren, fellow countrymen
皇国	こうこく	Imperial nation/country (referring to Japan)
臣民	しんみん	Subjects (of the Emperor)
国難	こくなん	National crisis
負荷	ふか	Burden, imposition (here: mission imposed)
日韓合邦	にっかんがっぽう	Japan-Korea Annexation (1910)
皇化	こうか	Imperial benevolence/rule/influence
進捗	しんちょく	Progress, advance
待遇	たいぐう	Treatment, reception
向上	こうじょう	Improvement, advancement
殊に	ことに	Especially, particularly
制度	せいど	System, institution
途	みち	Way, path
参与	さんよ	Participate, take part in
皇軍	こうぐん	Imperial Army
同一	どういつ	Same, identical
資格	しかく	Qualification, right
画期的	かっきてき	Epoch-making
同慶	どうけい	Mutual joy, shared congratulation
施策	しさく	Measure, policy
奨励	しょうれい	Encouragement, promotion
氏姓創設	しせいそうせつ	Policy encouraging/forcing Koreans to adopt Japanese-style family names and surnames
神社	じんじゃ	Shinto Shrine
参拝	さんぱい	Worship (at a shrine/temple)
淵源	えんげん	Profound, deep-seated (considerations)
涵養	かんよう	Nurturing, cultivation, fostering
聖旨	せいし	Sacred will (of the Emperor)
克く	よく	Well, deeply
体し	たいし	Understand, grasp
従属	じゅうぞく	Dependence, subordination
劣等感	れっとうかん	Inferiority complex
刷新	さっしん	Reform, throw away, renovate
自覚	じかく	Self-awareness, awakening
職分	しょくぶん	Duty, responsibility
遺憾なく	いかんなく	Perfectly, without regret, fully
発揮	はっき	Demonstrate, display, fulfill
根本的	こんぽんてき	Fundamental, basic
懸隔	けんかく	Distinction, difference, disparity
撤廃	てっぱい	Abolition, elimination
生死	せいし	Life and death
休戚	きゅうせき	Joys and sorrows
協力	きょうりょく	Cooperation
隆盛	りゅうせい	Prosperity, flourishing
毫も	ごうも	(Not) at all, (not) in the slightest
差別	さべつ	Discrimination
官憲	かんけん	Government authorities
徴兵	ちょうへい	Conscription, draft
赤誠	せきせい	Sincerity, patriotism (literally: red sincerity)
燃ゆる	もゆる	Burning (classical form of 燃える)
続々	ぞくぞく	One after another
挺身	ていしん	Volunteering, throwing oneself into
証明	しょうめい	Proof, demonstration
浸透	しんとう	Permeation, infiltration
無限	むげん	Boundless, infinite
聖慮	せいりょ	Benevolent measure/consideration (Imperial)
感激	かんげき	Deep emotion, gratitude
国防	こくぼう	National defense
義務	ぎむ	Duty, obligation
負担	ふたん	Bear, shoulder (a burden/duty)
錬磨	れんま	Training, discipline, striving
顕著	けんちょ	Remarkable, striking
資源	しげん	Resources
富蔵	ふぞう	Abundant storehouse, rich deposits
耕地	こうち	Arable land
開発	かいはつ	Development
食糧	しょくりょう	Food supplies, provisions
増産	ぞうさん	Increase production
国力	こくりょく	National power
培養	ばいよう	Strengthening, cultivation
緊喫	きんきつ	Urgent, pressing
労務者	ろうむしゃ	Laborer
勤労	きんろう	Labor, diligence
奉仕	ほうし	Service
要請	ようせい	Demand, request
欣然	きんぜん	Gladly, joyfully
邁進	まいしん	Strive forward, push on
徹底	てってい	Thorough implementation
皇民化	こうみんか	Imperial subjectification, assimilation (into Japanese subjects)
涵養	かんよう	Nurturing, cultivation
指導	しどう	Guidance
国語	こくご	National language (here refers to Japanese)
普及	ふきゅう	Diffusion, spread, promotion
風俗	ふうぞく	Customs, manners
醇化	じゅんか	Purification, refinement (making suitable)
中核	ちゅうかく	Core, nucleus
皇道	こうどう	Imperial Way
国体	こくたい	National Polity/Structure
根基	こんき	Foundation, basis
体得	たいとく	Understand deeply, master
実践	じっせん	Practice, put into practice
肝要	かんよう	Essential, vital
意思疎通	いしそつう	Mutual understanding
同胞感	どうほうかん	Sense of fellowship/compatriotism
油然	ゆうぜん	Naturally, spontaneously
湧出	ゆうしゅつ	Spring forth, arise
名実	めいじつ	Name and reality, both in name and substance
敬神	けいしん	Reverence for gods
尊祖	そんそ	Reverence for ancestors
宗教	しゅうきょう	Religion
情操	じょうそう	Sentiments, emotions
涵養	かんよう	Cultivate
一層	いっそう	Even more, further
強力	きょうりょく	Vigorously, powerfully
推進	すいしん	Promote, propel
団体	だんたい	Organization, group
挙げて	あげて	All together, wholly
真	しん	True, real
内鮮一体	ないせんいったい	Japan-Korea as One Body/Unity
相互	そうご	Mutual
諒解	りょうかい	Understanding
協力	きょうりょく	Cooperation
戦時生活体制	せんじせいかつたいせい	Wartime livelihood system
確立	かくりつ	Establishment
決戦	けっせん	Decisive war
総力戦	そうりょくせん	Total war
挙国	きょこく	Entire nation
一致	いっち	Unity, cooperation
銃後	じゅうご	Home front
消費	しょうひ	Consumption
節約	せつやく	Saving, economizing
防空	ぼうくう	Air defense
確保	かくほ	Secure, ensure
奢侈	しゃし	Extravagance, luxury
匡正	きょうせい	Correct, eliminate
質実剛健	しちじつごうけん	Simple and sturdy, unaffected and strong
物資	ぶっし	Materials, goods
愛惜	あいせき	Saving, treasuring
軍需品	ぐんじゅひん	Munitions, military supplies
勤勉	きんべん	Diligence, hard work
職場	しょくば	Workplace
空襲	くうしゅう	Air raid
人命	じんめい	Human life
財産	ざいさん	Property
擁護	ようご	Protection, defense
組織	そしき	Organization
訓練	くんれん	Drill, training
施設	しせつ	Facilities, setup
万全	ばんぜん	Thorough, perfect
期する	きする	To aim for, expect
治安	ちあん	Public order
維持	いじ	Maintenance
防諜	ぼうちょう	Prevention of espionage
軍官	ぐんかん	Military and police authorities
密 Polizeiliche Zusammenarbeit	みつ	Close cooperation
不審者	ふしんしゃ	Suspicious person
流言蜚語	りゅうげんひご	Rumors, gossip
惑溺	わくでき	Be deceived, be misled
結束	けっそく	Unity, solidarity
官民	かんみん	Government and people, public and private
一体	いったい	One body, united
強化	きょうか	Strengthening, reinforcement
