Magazine Title: 개벽 제62호
Publication Date: 1925년 08월 01일
Article Title: 腰折抱腹 笑話大會 (A Side-Splitting, Belly-Holding Funny Story Competition)
Article Type: 잡저 (Miscellaneous Writing/Essay)

腰折抱腹 笑話大會
(A Side-Splitting, Belly-Holding Funny Story Competition)

Shaved ice isn't refreshing enough, and beer isn't cool enough either. That's the bourgeois (뿔조아 式) way. For proletarians (무산자) like us, the best way to escape the summer heat (避暑術) is with funny stories (니야기). Gathering under a cool tree shade with a few friends (멧멧 친구), smoking pipes, picking out the funniest stories, you say one line, I say one line, exchanging back and forth, clutching our bellies and laughing until our sides split – there's no greater pleasure (快味) than that. It's more satisfying than eating a whole bowl of delicacies (珍味).
That's right. This isn't a lie. Nor is it a trick to lure anyone. Since it's hot and boring, let's give it a try. Let's gather under the zelkova tree (느틔나무). All friends skilled in storytelling (니약이 솜씨), come gather 'round. Friends who don't know stories, come too. Just laugh. Just laugh your heart out (슬컷 우서만 다고)-.

責在訓長
(The Blame Lies with the Village Teacher)

態 (T'ae)

Sudong (壽童) is a child learning the elementary *Thousand Character Classic* (千字) off the side planks of a door (지게戶 엽대기). One day, his father told Sudong to check the auspiciousness of the dates in the almanac (曆書日數). How could a child learning the *Thousand Character Classic* read an almanac? Crouching before his father, he sniffled (쿨젹쿨젹) and cried, saying he didn't know how. So the father shouted angrily (大聲叱賁), "You're learning big characters (큰 글字), yet you don't know small characters?" and struck him with a bamboo stick, then loudly scolded him (大聲叱賁惹端發惡), telling him to quit studying altogether. Hearing this from the kitchen (부억) where she was cooking rice, his wife ran in holding a fire poker (부지갱이) and said, "Honey, why are you yelling at the child? It's the fault of that teacher fellow (훈장 놈). The child says whatever he learns that day, he returns it all (모조리 밧치고 만다는데) to the teacher the next morning, so what could possibly remain with him? The teacher fellow took it all back (훈장놈이 다 밧아가젓스니)..." and she gave her husband a good shove on the arm (팔뚝제비를 보기조케 하닛가). The father then chuckled, saying, "Well, I suppose that could be true. I didn't know-" (나는 몰낫구-만-).

팟죽장사의 꾀＜112＞
(The Porridge Seller's Trick) <112>

春坡 (Ch'unp'a)

In our town, there's a gentleman named Yi Paek* (李白*) who is very good at telling funny stories (우스은 니약이). If you hear his story about being a red bean porridge (팟죽) seller, it's truly side-splitting (요절할만함니다).
It was the winter solstice (동지날) one year, and he decided to make winter solstice red bean porridge (동지팟죽) to sell to travelers (行客). He cooked a large potful. But as they say, "Winter solstice red bean porridge spoils," the weather happened to be warm, and the porridge went sour (쉬엿드라나요). There were few travelers, and the porridge was spoiled. No matter how he thought about it, he had clearly suffered a loss (톡톡히 밋졋는데). Yet, he couldn't just throw away the porridge made with rice and glutinous rice balls (옹심이). Thinking about it, the situation seemed hopeless (한심하드라나요). The husband and wife were arguing pointlessly, blaming each other for making too much or not knowing the weather would be warm, but still trying to think of a plan. Just then, 7 or 8 cattle dealers (소장사) from the mountains, with moneybags (錢袋) tied to their waists, wearing leggings (꾸리감발), and leaning on staffs (집팽이), came mumbling along. They plopped down on the wooden floor (마루) and asked, "Do you sell lunch?" The owner thought, "Alright! This is it! They look like mountain folk (산골놈들). Let's trick them into buying the porridge-" and said, "Yes, we have lunch. Please come in." He slid open the door and welcomed them kindly. "Everyone, today is the winter solstice, isn't it? On the winter solstice, you must eat red bean porridge. We happen to have made some to sell. Would you like a bowl each?" he asked (무럿더라나요). So the travelers said, "Oh right! Today is the winter solstice. That's perfect. Let's each have a bowl." and asked for eight bowls (여덜 그릇만 달나드라나요). The owner, putting on a straight face, winked (눈짓을 슬적하면서) at his wife in the kitchen (부억) and ordered, "Honey, please dish out eight bowls of porridge." Then, turning back to the customers, he asked (니여 손님을 보고), "Sirs, customers. Would you like your porridge seasoned (양념들 안쳐 잡수려)? Seasoning?" Among the customers who heard this, one asked the others (저이끼리 뭇드람니다), "Wait, do they season red bean porridge too?" The owner immediately continued (그리자 주인은 니여), "Ah... you must be gentlemen from the mountains (산골양반들). You don't even know about eating seasoned red bean porridge... Seasoning in porridge tastes good, aids digestion, and especially on a winter day like today..." he fabricated convincingly (그럴듯이 꿈여댓드람닊�다). Then, one man, seemingly clever, said, "Well, that makes sense. Seasoned must be better than unseasoned. Hey everyone, let's have it seasoned," seeking agreement (同議를 하드람니다). Instantly, more than half agreed (可決이 되드람니다). The owner thought, "Alright, it worked!" and told his wife, who was dishing out the porridge, "Honey, add some 'cho' (초 - likely sugar/sweetener, contextually not vinegar) to the porridge before sending it out. The customers want it seasoned (양념을 쳐 자신다우)." The wife understood the cue and, pretending to add 'cho', served the spoiled porridge as it was (쉰 팟죽 그대로 떠 드러보냇슴니다). The customers were hungry, and furthermore, it being the winter solstice, they expected a good bowl of porridge. They picked up their spoons and began to slurp it down (훌훌 떠녓키로 되얏는네), but what was this? It tasted sour (식큼식큼하고) and watery (흐리멀뚱하게 푸러진 것). No matter how they tried to enjoy the taste, it wasn't good (맛이 업스닛가). Still unaware it was spoiled, thinking it was because of the 'cho' seasoning, they forced themselves to eat. One man complained (골을 내닛가), "I told you we should eat it without seasoning. You didn't listen..." <113>
The one who had suggested seasoning replied, "Well, I thought seasoning would be good. How was I supposed to know it would taste sour like spoiled porridge (쉰 죽가티 식큼식큼할 줄이야 알엇나)." Still, blaming the seasoning, they finished it all. Finally, after receiving the money and putting it in his pocket (돈을 맛아 주머니에 녓코), the owner felt relieved (마음이 노이드라구요). The men grumbled, slapping the back of their heads, "Aargh, what bad luck (신수가 사나우닛가)!" and reluctantly got up and left (부시시 이러나 가드람니다).

無産者의 德
(The Virtue of the Proletarian)

石溪 (Sŏkkye)

Somewhere, there lived a poor father and son (가난쟁이 부자). They were absolute beggars (거지) with no house and nothing to eat. One day (하로는), the father and son set out hand in hand (손목을 붓잡고) to the neighboring village (이웃 洞里) to connect words (말을 잇기 위하야 - likely meaning 'to beg' or 'find work'). Just then, a fire broke out at the large house of a rich man in the neighboring village. Fierce flames rose up (닐어나) and in an instant engulfed the entire house (왼 집을 휘싸드니), burning it down spectacularly (보기도 조케 활활 잘 타 버림니다). Roof tiles (蓋瓦) popped and flew (탕탕 튀여), grain storages caught fire and collapsed (곡식담을 이 타내리며), cows and horses perished (牛馬가 꺽구러지며), sauce jars (장독) shattered, and old and young alike were weeping and wailing in a frantic uproar (야단발광이 낫슴니다). Seeing this, the son remarked, "Father, since we don't have a house (집이 업스닛가), we'll never experience such a disaster (大變) in our lives, right?" The father replied, "Whose virtue (뉘덕인) do you think that is? Isn't it your father's virtue?" I call this, in the common parlance (時俗말로), "The Virtue of the Proletarian" (無産者의 德).

엇던 畀…身夫婦
(A Certain Disabled Couple)

*村 (*Ch'on)

Somewhere lived a couple; the husband was unable to walk (안즌방이), and the wife was mute (벙어리). Because the wife was mute, she had to communicate everything either through hand gestures (손형용) or by writing characters. One day, the wife went out somewhere (어대) and suddenly came running back (갑작이 씩은씩은 하고 뛰여드러오더니만), panting. She came right up to her husband, sat down (탁 와 안즈며), moved her lips nonsensically (무어라고 입을 너풀너풀 하더니), then bared her husband's chest (젓가슴을 벗기고) and drew the character for 'person' (人) between his breasts (젓사이에 손고락으로 사람 人자를 쓰드람니다). The husband cleverly (怜俐하게도) understood, "Ah - disaster strikes!... A fire has broken out," and then asked whose house was on fire (누구의 집에 불이 낫드냐고 무럿슴니다). The wife, also clever, quickly understood (얼푼 아라듯고) and rushed to her husband, pressing her lips firmly against his (입을 쭉 맛추드람니다). The husband immediately realized (발서 아라채고), "Oh! It's Mr. Yŏ's (呂서방네) house on fire." He then asked how much of it had burned (얼마나 붓텃드냐고 뭇드람니다). The wife, understanding immediately (발서 아라채고), this time rushed to her husband, untied his waistband (허리띄를 끄르고), took it off, and waved it (그것을 내여 흔들드람니다). The husband concluded, "No (안이), it's all burnt down except for the pillars (기둥만 남엇서)," and expressed his concern. What a clever disabled couple they were! Recognizing the character 'person' (人) on the chest instantly as 'fire' (火), knowing it was Mr. Yŏ's (呂서방) house from a kiss (입을 맛추닛가), and knowing only the pillars remained from untying and showing the waistband (허리춤을 끌으고 그것을 내노으닛가) - haah... <114>
<112-114>

**Summary**

This article from the August 1925 issue of *Kaebyŏk* presents itself as a "Funny Story Competition" to beat the summer heat, suggesting humor as a proletarian alternative to bourgeois comforts like shaved ice or beer. It then compiles four humorous anecdotes: one about a child whose ignorance is blamed on the teacher who supposedly takes back all learned knowledge; another about a clever porridge seller tricking mountain travelers into buying spoiled porridge; a third where a poor father claims their lack of possessions (and thus immunity from fire) is due to his "virtue"; and a final story about a mute wife and immobile husband communicating cleverly about a neighborhood fire through gestures and actions.

From a historical perspective, the article offers insights into early 20th-century Korean society and humor. The framing explicitly contrasts "proletarian" (무산자) and "bourgeois" (뿔조아 式) pastimes, reflecting nascent class consciousness. The stories themselves touch upon education (criticism of rote learning), rural/urban or class interactions (trickery involving "mountain folk"), poverty (finding virtue in lack), and communication challenges. The language, with its older spellings and grammar (e.g., 니야기, 밧다, -드람니다), is a valuable linguistic artifact of the period. Historians might find the specific social types depicted (village teacher, cattle dealers, the poor, disabled individuals) and the nature of the humor (often based on wit, trickery, or ironic observations about hardship) revealing about social attitudes and coping mechanisms during the colonial era.

**Named Entities**

壽童	수동	Sudong
李白*	이백*	Yi Paek*
春坡	춘파	Ch'unp'a
石溪	석계	Sŏkkye
呂서방	여서방	Yŏ Sŏbang
*村	*촌	*Ch'on

**Glossary**

니야기	이야기	Story; tale (older spelling of 이야기)
뿔조아 式	부르주아 식	Bourgeois style/manner (loanword adaptation)
무산자	무산자	Proletarian; propertyless person
避暑術	피서술	Method for escaping summer heat
멧멧	몇몇	A few; several (older spelling/form)
밧고	받고	Receive; take (older spelling of 받고)
슬컷	실컷	To one's heart's content; heartily (older spelling of 실컷)
업것다	없겠다	There would not be; It wouldn't exist (older spelling/form of 없겠다)
안이다	아니다	Is not (older spelling of 아니다)
느틔나무	느티나무	Zelkova tree (older spelling)
우서만 다고	웃어만 다오	Just laugh (imperative, older form)
지게戶	지게문	A-frame carrier door (likely referring to a simple plank door or perhaps learning characters written on such an object)
닑는	읽는	Reading (older spelling of 읽는)
曆書	역서	Almanac
엇더케	어떻게	How (older spelling of 어떻게)
압헤	앞에	In front of (older spelling of 앞에)
大聲叱賁	대성질타	Loud scolding; shouting angrily
부억	부엌	Kitchen (older spelling)
놈	놈	Fellow; guy (can be derogatory)
밧치고	바치고	Return; offer up (older spelling of 바치고)
팟죽	팥죽	Red bean porridge (older spelling)
行客	행객	Traveler
밋졋는데	밑졌는데	To have suffered a loss; be unprofitable (older spelling/conjugation)
옹심이	옹심이	Small round rice cake balls (often put in porridge)
넛코	넣고	Put in (older spelling of 넣고)
되얏구나	되었구나	It worked!; It turned out well! (older spelling/form of 되었구나)
속혀파러	속여 팔아	To sell by deceiving
자셔야	자셔야	Must eat (honorific, older form of 드셔야)
무럿더라나요	물었더라나요	He asked, reportedly (older narrative form)
자시려?	자시려?	Would you like to eat? (honorific, older form of 드시려?)
달나드라나요	달라더 라나요	They asked for, reportedly (older narrative form)
니여	이어	Following; subsequently; then (older form of 이어)
쳐 잡수려	쳐 잡수려	Eat with (something added); eat seasoned (honorific, older expression)
저이끼리	저희끼리	Among themselves (older form of 저희끼리)
뭇드람니다	묻더랍니다	Asked, reportedly (older narrative form)
同議	동의	Agreement; consent
초	초	Vinegar, but contextually likely means sugar or sweetener here.
자신다우	자신다오	They say they will eat (honorific, older narrative form)
쉰	쉰	Spoiled; gone sour
식큼식큼하고	시큼시큼하고	Sourish (older spelling)
푸러진	퍼진	Spread out; watery; loose (older spelling of 퍼진)
업스닛가	없으니까	Because there isn't (older spelling of 없으니까)
가티	같이	Like; as (older spelling of 같이)
녓코	넣고	Put in (older spelling of 넣고)
노이드라구요	놓이더라고요	Felt relieved (colloquial ending, older spelling)
가난쟁이	가난뱅이	Poor person; pauper (older form of 가난뱅이)
부자	부자	Father and son (父子)
하로는	하루는	One day (older spelling)
붓잡고	붙잡고	Holding onto (older spelling of 붙잡고)
닐어나	일어나	Rise up; occur (older spelling of 일어나)
왼	온	Whole; entire (older spelling)
蓋瓦	개와	Roof tile
꺽구러지며	거꾸러지며	Collapse; fall down (older spelling)
뉘덕인	누구 덕인	Whose virtue/grace it is (older form)
안즌방이	앉은뱅이	Person unable to walk; cripple (older term, potentially offensive now)
녀편네	여편네	Wife (colloquial, somewhat dated/informal term)
어대	어디	Where (older spelling)
갑작이	갑자기	Suddenly (older spelling)
안즈며	앉으며	Sitting down (older spelling of 앉으며)
젓가슴	젖가슴	Breast; chest
손고락	손가락	Finger (older spelling)
怜俐	영리	Clever; smart
낫드냐	났더냐	Did it break out? (fire) (older interrogative form)
무럿슴니다	물었습니다	Asked (older spelling of 물었습니다)
얼푼	얼른	Quickly; right away (older spelling/form)
아라듯고	알아듣고	Understanding (older spelling of 알아듣고)
달녀드러	달려들어	Rushing towards (older spelling of 달려들어)
맛추드람니다	맞추더랍니다	Pressed against (lips); kissed, reportedly (older narrative form)
발서	벌써	Already (older spelling)
아라채고	알아채고	Realizing; noticing (older spelling of 알아채고)
呂서방	여서방	Mr. Yŏ (Seobang is a term for son-in-law or husband, used like 'Mr.')
붓텃드냐고	붙었더냐고	How much burned? (older interrogative form)
허리띄	허리띠	Waistband; belt (older spelling)
끄르고	끄르고	Untie; loosen (older form of 풀고)
내여	내어	Take out; present (older spelling of 내어)
안이	아니	No; not (used emphatically here)
아러내고	알아내고	Figuring out; discerning (older spelling of 알아내고)
내노으닛가	내놓으니까	Because (she) took it out and showed it (older spelling/form)
-e 

---------------------------


잡지명	개벽 제62호
발행일	1925년 08월 01일
기사제목	腰折抱腹 笑話大會
기사형태	잡저

腰折抱腹 笑話大會
빙수도 시원치 안코 맥주도 시원치 못하것다. 그는 또 뿔조아 式이것다. 우리갓튼 무산자들의 避暑術은 우슴나는 니야기가 제격이것다. 서늘한 나무그늘 아레 멧멧 친구가 모야 안저 담배ㅅ대나 피여가며 가장 우슴나는 니약이를 골나가지고 너 한마디 나 한마디 주고 밧고 하면서 배를 움켜쥐고 허리가 부러지도록 슬컷 우서보는 그 이상의 快味는 업것다. 珍味를 한 박아지 먹은 이상의 통쾌사이것다.
그럿타. 이것은 거짓말이 안이다. 누구를 꾀이는 수작도 안이다. 덥고 지리하니 자- 한 번 해보자. 느틔나무 아레로 모이자. 이약이 솜씨나 하는 친구는 다 모여라. 니야이 모르는 친구도 오너라. 우서만 다고. 슬컷 우서만 다고-.

責在訓長
態

壽童이는 千字 지게戶 엽대기를 닑는 어린애임니다. 하루는 그 아비가 壽童이더러 曆書日數의 好不好를 보라고 햇슴니다. 千字 지게戶 읽는 어린애가 曆書를 엇더케 보겟슴닛가. 아버지 압헤 쭈그리고 안져 쿨젹쿨젹 울면서 모르겟다고 햇슴니다. 그러닛가 아버지는 大聲叱賁을 하면서 「큰 글字를 배우는 자식이 적은 글자를 모르느냐「고 대ㅅ새로 후려갈기면서 글이고 무어고 그만두라고 大聲叱賁惹端發惡을 햇슴니다. 이를 듯고 보든 부억에서 밥짓든 그 마누라가 부지갱이를 들고 뛰여드러 오면서 「여보. 그 애보고 왜 야단이요. 훈장 놈의 탓이지요. 그 애 말이 그 날 배운 것은 그 이튼날 아적이면 훈장께 모조리 밧치고 만다는데 그에게 무엇이 남엇겟소. 훈장놈이 다 밧아가젓스니...」하고 애아비에게 팔뚝제비를 보기조케 하닛가 애아비는 「하긴 그럴테야. 나는 몰낫구-만-」하고 씩 웃드람니다.

팟죽장사의 꾀＜112＞

春坡

우리 고을에 李白*라는 아주 우스은 니약이 잘하는 양반이 잇는데 그가 팟죽장사하든 니약이를 드르면 참말 요절할만함니다.
