Magazine Title:	개벽 제62호
Publication Date:	1925년 08월 01일
Article Title:	介潔無垢의 朴殷植 先生·· (The Pure and Untainted Mr. Pak Ŭnsik...)
Author:	鄭寅普
Article Type:	소식 (News/Report)

The Pure and Untainted Mr. Pak Ŭnsik··
						Chŏng Inbo

Mr. Pak Ŭnsik (朴殷植), also known as Ch'angok (讚谷) or Paegam (白菴), is a pure and untainted elderly patriot approaching 70 (currently 65 or 66). Because he loves me dearly, despite the age difference, I have been calling him “Hyŏngnim” (elder brother). I first met him 13 years ago (in the Kyech'uk year, 1913) in Shanghai. At that time, we had organized the XX Association (00會) and were keeping in contact. Through that association, we happened to arrange a welcome reception for the famous Chinese figure, Mr. Chen Qimei (陳其美). It was decided that a welcome address was needed for the reception, and I took responsibility for it. While Mr. Hong Myŏnghŭi (洪命憙), known as Pyŏkch'o (碧初), and I were halfway through struggling to compose the welcome address, a certain old man, who didn't look particularly appealing at first glance, abruptly approached and asked, “What are you scribbling at for so long?” He then snatched the paper and, with one stroke of the brush (一筆揮之), wrote down <37> a renowned piece of writing with excellent phrasing. We were astonished. Upon finding out, it was Mr. Pak Ŭnsik. From then on, along with Messrs. Hong Myŏnghŭi, Sin Kyusik (申奎植), and others, we became close to him. We ate together (同鼎食) for about three or four months.

His appearance and physique seem rather short and stocky. He is of medium height, with a somewhat long face and slightly protruding cheekbones. He has little hair, and his beard has so few strands you could probably count them. He always has a hint of a smile. He also possesses a strong spirit, unchanging even unto death. He always wears Chinese clothes, but he often fails to fasten the buttons into the correct holes, causing the flaps of his garment to be misaligned, which makes everyone chuckle once. Perhaps he could be called a scholar free from worldly distractions (無雜氣). Also, he quite enjoys drinking (愛酒). He likes the Yangming School of thought (陽明學). He habitually recites works like Wang Yangming's *Instructions for Practical Living* (傳習錄) as a daily routine. While in Shanghai, he authored the *Biography of An Chunggŭn* (安重根 傳) and *The Tragic History of Korea* (韓國痛史).

Later, at the earnest request of Korean brethren in Hong Kong, he became the editor of the magazine *Hyanggang* (香江) and left Shanghai for Hong Kong. We were extremely sad to see him go. The teacher asked us to go with him, but we couldn't go at that time; we went later. The *Hyanggang* magazine, after publishing only three or four issues, criticized the autocracy of Yüan Shihk'ai (袁世凱) and was consequently forced to cease publication. So, he returned to Shanghai and stayed at the house of a Chinese person in the French Concession (法國組界) on Beierfu Road (白爾夫路). Seeing him eat at the same table, though not eating from the same pot (同鼎食), with the Chinese family, I realized how great his capacity to endure others (禦人之力) was.

Regarding the teacher's early life, it is said he was originally born in Haeju and came to Seoul early on. He is also said to have worked as a teacher in the house of the Min clan (閔氏) (specifically Pyŏngsŏk, 丙奭). Later, along with Mr. Kwak Chongsŏk (郭鐘錫) from the Yŏngnam region, he served as a lecturer at the Kyŏnghagwŏn (經學院) (reaching the rank of T'ongjŏng Taebu Chŏngsamp'um, 通政大夫正三品), also served as an instructor at a normal school, and later held positions such as President of the Sŏbuk Hakhoe (西北學會), Principal of the Sŏbuk Hyŏpsŏng School (西北協成學校), and President of the *Hwangsŏng Sinmun* (皇城新聞). As the political situation changed, he threw everything away around the Kyŏngsul year (庚戍年, 1910) and entered Sŏgando (West Jiandao). While in Sŏgando, he is said to have written the *Biography of Myŏngnim Tappu* (明臨答夫傳) and the *Annals of King Tongmyŏng* (東明王實記). Afterward, he came to the Shanghai area and has lived until today, with an unhealthy body (he suffers from an internal ailment and is often in pain), moving among either Korean brethren or Chinese brethren, living unobtrusively (芍且스럽게) yet steadfastly.

The teacher is utterly pure and untainted (介潔). One could call his conduct unparalleled (類업는 操行). In any case, if it benefits Korea, he steps forward without hesitation, no matter the circumstances or difficulties.

The teacher's writing, unlike that of Mr. Sin Ch'aeho (申釆浩), lacks scholarly depth, but in terms of smoothness and fluency (圓滑暢達), he can be called the foremost <38> person in contemporary Korea. I believe that even among his deceased friends like Mr. Chang Chiyŏn (張志淵), Mr. Yu Kŭn (柳瑾), or Mr. Hyŏn Ch'ae (玄釆), none could match his writing. Some people say the teacher is a disciple of K'ang Yuwei (康有爲), but that is definitely not the case. The teacher's writing is certainly not inferior to K'ang's, and their personalities are different. K'ang is someone who thinks of fame or money, but the teacher is only pure and untainted (介潔無垢). Perhaps he could be said to be similar to Chang Pinglin (章炳麟).

I am curious about the teacher's recent situation, as I do not know it in detail. Last year, I saw a magazine called *Toro Wŏlgan* (道路月刊) that came from Shanghai, and it contained a rare piece of writing (奇書) by the teacher and also his photograph. I was very pleased to see that he did not look particularly aged.

I hear the teacher has become President. Upon hearing the words "President Pak Ŭnsik," some friends are reminded of the Polish President, Mr. Paderewski (패데레프스키). Just as they said it was inappropriate for a musician (a piano master) to be president, they say, "For a scholar to be president is somewhat awkward (좀 무얼하다)." However, I dare not say such a thing. But I also cannot say that he possesses a grand strategy for governing a nation (經國大略). (Talk) <39>

**Summary**

Chŏng Inbo fondly reminisces about the elderly patriot Pak Ŭnsik, whom he calls "elder brother" despite the age gap. He recounts their first meeting in Shanghai in 1913, Pak's unassuming appearance yet strong character, his scholarly habits (studying Wang Yangming, writing historical works like *Han'guk T'ongsa*), his time editing a magazine in Hong Kong, and his return to Shanghai. Chŏng praises Pak's integrity ("pure and untainted"), his dedication to Korea, and his fluent writing style, comparing him favorably to contemporaries and differentiating him from figures like K'ang Yuwei. The author expresses concern about Pak's health and current situation but notes seeing a recent photo. He concludes by mentioning Pak's recent appointment as President (of the Provisional Government of the Republic of Korea), acknowledging potential skepticism about a scholar in such a role but refraining from judgment, while also noting he wouldn't claim Pak possesses grand political strategy.

This article offers valuable insights for historians. It provides a personal, contemporary account of Pak Ŭnsik, a major figure in the Korean independence movement and Provisional Government, highlighting his character, intellectual pursuits (Yangming studies, historical writing), and relationships within the exile community (Chŏng Inbo, Hong Myŏnghŭi, Sin Kyusik). The description of his life in Shanghai and Hong Kong, including his editorial work and interactions with Chinese figures, illuminates the milieu of Korean exiles. The mention of his appointment as President and the comparison to Paderewski reflect contemporary reactions and debates about leadership within the independence movement.

**Named Entities**

朴殷植	박은식	Pak Ŭnsik
鄭寅普	정인보	Chŏng Inbo
讚谷	찬곡	Ch'angok
白菴	백암	Paegam
上海	상해	Shanghai
00會	00회	XX Association
陳其美	진기미	Chen Qimei
碧初	벽초	Pyŏkch'o
洪命憙	홍명희	Hong Myŏnghŭi
申奎植	신규식	Sin Kyusik
安重根	안중근	An Chunggŭn
韓國痛史	한국통사	Han'guk T'ongsa
香港	향항	Hong Kong
香江	향강	Hyanggang
袁世凱	원세개	Yüan Shihk'ai
白爾夫路	백이부로	Beierfu Road (Possibly Balfour Road?)
法國組界	법국조계	French Concession
海州	해주	Haeju
서울	서울	Seoul
閔氏(丙奭)	민씨(병석)	Min Clan (Pyŏngsŏk)
嶺南	영남	Yŏngnam
郭鐘錫	곽종석	Kwak Chongsŏk
經學院	경학원	Kyŏnghagwŏn
西北學會	서북학회	Sŏbuk Hakhoe
西北協成學校	서북협성학교	Sŏbuk Hyŏpsŏng Hakkyo
皇城新聞	황성신문	Hwangsŏng Sinmun
西間島	서간도	Sŏgando
明臨答夫	명림답부	Myŏngnim Tappu
東明王	동명왕	Tongmyŏng Wang
申釆浩	신채호	Sin Ch'aeho
張志淵	장지연	Chang Chiyŏn
柳瑾	유근	Yu Kŭn
玄釆	현채	Hyŏn Ch'ae
康有爲	강유위	K'ang Yuwei
章炳麟	장병린	Chang Pinglin
道路月刊	도로월간	Toro Wŏlgan
波蘭	파란	Poland
패데레프스키	패데레프스키	Paderewski

**Glossary**

介潔無垢	개결무구	Pure and untainted; spotlessly clean.
老志士	노지사	Elderly patriot; man of noble ideals.
끔즉이도	끔찍이도	Extremely; dearly (older spelling/form).
불너옴니다	불러옵니다	Have been calling (older spelling/form of 불러옵니다/불러 왔습니다).
대면하기는	대면하기는	Meeting face-to-face is.
하야	하여	Doing; having done (older spelling of 하여).
맛츰	마침	Just then; coincidentally (older spelling).
달겨 들더니	달려들더니	Rushed towards; abruptly approached (older spelling/form).
가루채가지고	가로채가지고	Snatching; intercepting and taking.
一筆揮之	일필휘지	Writing something quickly in one stroke (Sino-Korean phrase).
써놋습듸다	써 놓았습니다	Wrote down (older spelling/form).
놀내엿슴니다	놀랐습니다	Was surprised/astonished (older spelling/form).
갓치	같이	Together; like (older spelling).
되얏슴니다	되었습니다	Became; it turned out that (older spelling/form).
同鼎食	동정식	Eating from the same pot; sharing meals closely (Sino-Korean term).
하얏슴니다	하였습니다	Did; have done (older spelling/form).
땅기적어 보임니다	땅기적어 보입니다	Appears short and stocky (possibly dialectal or older form).
길수그러하고	길쭉하고	Being longish (older form/spelling).
수엄	수염	Beard; mustache (older spelling).
헤일 수 잇스리만치	헤아릴 수 있을 만치	To the extent that one could count them (older spelling/form).
맷대	몇 대	A few strands (older spelling/form).
잇슴니다	있습니다	There is/are; has/have (older spelling).
無雜氣	무잡기	Without worldly distractions/impurities (Sino-Korean term).
할넌지오	할는지요	Perhaps one might call it... (older interrogative ending).
愛酒	애주	Love of alcohol; enjoying drinking (Sino-Korean term).
조와하심니다	좋아하십니다	Likes (honorific, older spelling).
외이군 함니다	외우곤 합니다	Habitually recites (older spelling/form).
게실 때에	계실 때에	While staying (honorific, older spelling).
저술햇슴니다	저술했습니다	Authored; wrote (older spelling/form).
밧아	받아	Receiving (older spelling).
가실 때에	가실 때에	When leaving/going (honorific, older spelling).
섭섭햇슴니다	섭섭했습니다	Felt sad/regretful (older spelling/form).
하엿스나	하였으나	Although did (older spelling/form).
갓슴니다	갔습니다	Went (older spelling/form).
마젓슴니다	맞았습니다	Met with; suffered; was forced to (older spelling/form).
게섯슴니다	계셨습니다	Stayed (honorific, older spelling/form).
禦人之力	어인지력	Capacity/power to endure/get along with others (Sino-Korean term).
알겟습듸다	알겠습니다	Understood; realized (older spelling/form).
오섯다	오셨다	Came (honorific, older spelling).
하얏다 함니다	하였다 합니다	It is said that he did (older spelling/form).
게시다	계시다(가)	While staying/serving (honorific, older spelling).
게섯고	계셨고	Stayed/served and... (honorific, older spelling).
드러가섯다	들어가셨다	Entered (honorific, older spelling).
저술하섯다	저술하셨다	Authored (honorific, older spelling).
게셔서	계셔서	Being (present, honorific, older spelling); because he is/was...
芍且스럽게	작차스럽게(?)	Unobtrusively; diligently (meaning uncertain, possibly 작차스럽게? older form).
操行	조행	Conduct; behavior.
엇잿든	어쨌든	Anyway; in any case (older spelling).
잇드라도	있더라도	Even if there is (older spelling).
업스나	없으나	Although there isn't (older spelling).
圓滑暢達	원활창달	Smoothness and fluency (in writing or speech).
밋슴니다	믿습니다	Believe (older spelling).
업스리라고	없으리라고	That there probably isn't (older spelling).
안슴니다	않습니다	Is not; does not (older spelling).
보닛가	보니까	As I see; because I see (older spelling).
낫습듸다	났습니다	Appeared; was published (older spelling/form).
안는데서	않은데서	From the fact that... not... (older spelling/form).
되섯다	되셨다	Became (honorific, older spelling).
듯고	듣고	Hearing and... (older spelling).
무얼하다	뭣하다/뭐하다	To be somewhat awkward/indescribable (older form).
가졋다고도	가졌다고도	Even saying that (he) possesses (older spelling/form).
-e 

---------------------------


잡지명	개벽 제62호
발행일	1925년 08월 01일
기사제목	介潔無垢의 朴殷植 先生··
필자	鄭寅普
기사형태	소식

介潔無垢의 朴殷植 先生··
						鄭寅普
