잡지명	개벽 제62호
발행일	1925년 08월 01일
기사제목	島山 安昌浩先生에게 (To Tosan An Ch'angho Sŏnsaeng)
필자	李光洙
기사형태	문예기타 (Literary/Miscellaneous)

To Tosan An Ch'angho Sŏnsaeng
						Yi Kwangsu

Through Dr. Cho, who has returned from America, I heard of your well-being and was delighted. Hearing the words that you toured the compatriots scattered across North America, and especially that you visited the venerable elder Dr. Sŏ, whom we admire from afar, and achieved spiritual communion (靈犀相照), I was so overjoyed I could not stop myself from clapping my hands and shouting for joy.

I was meaning to send you a letter, Teacher, but my post-illness body is always tired, and I kept putting it off day by day. Just then, the Kaebyŏk Publishing Company requested I write something thinking of you, Teacher, so instead of sending it by post, I decided to write this letter.

You worried about my illness, Teacher, and told me to pay attention to my health. However, Teacher! I cannot help but deliver sad news to you. It is that yesterday I received a diagnosis from the doctor of spinal caries. According to medical books, while children have hope of a full recovery from this illness, adults have almost no hope of recovery. They say one might live for one or two years if it progresses quickly, or perhaps ten-odd years if it drags on, but it seems appropriate to estimate living perhaps three more years, being generous.

However, Teacher! I do not fear dying. For the one, two, or three years that my life holds on, I intend to dedicate my full strength for the sake of your will. Also, the doctor said that if I recuperate well for about one year, I might be able to hold onto my life – it's probably words to console a patient, but for the sake of realizing your will, Teacher, which is our ideal, I will try to hold onto life as much as possible.

You too, Teacher, are now 48. When I saw you in Peking last year, seeing how terribly thin you looked pained my heart greatly. <27> But surely Heaven would not take away even you, Teacher, from Chosŏn. I prayed, please let him remain healthy for at least the next 20 years to guide us. I believe this humble prayer will certainly be answered.

Teacher! I believe you, being far away, must be very eager to hear about the current situation within Chosŏn. However, I do not currently have the freedom to speak of the detailed situation. I will only say that economically, day by day, it becomes impossible to live, and spiritually, national disintegration is occurring. Those who could be called leaders have almost all lost heart and withdrawn. How could even Teacher Namgang, who seemed like he would never lose heart eternally, despair about the future of Chosŏn? Besides him, whenever I meet so-and-so, almost all have lost heart. Some friends explain it as a reaction to the excitement of the March First Movement, but I do not think so. I believe this is the natural consequence for those who acted "without a plan." I believe it is the natural consequence for those who tried to reap fruit where there were no roots, tried to build a house without foundation and timber, and tried to put out business advertisements without capital.

"Haven't we been saying 'Let's go forward, let's go forward' for 20 years? Yet, even today, 20 years later, do we not lack the strength to go forward? If we had spent 20 years preparing to go forward, we would have gained the strength to go forward by now. If we continue to just say 'Let's go forward, let's go forward' from now on without preparing to go forward, even in another 20 years, we will still lack the strength to go forward! Therefore, now is not the time to go forward, but the time to prepare to go forward!"

Isn't this the message you preached in Shanghai during the March First Movement, Teacher, for which you were criticized by many compatriots as being a member of the "Gradualist Faction" or the "Non-Combatant Faction"? <28> The compatriots who criticized these wise words of yours should be able to realize their reason by now, but they still only say "Let's go forward, let's go forward" in faint voices. However, now even those saying such things have decreased, and the majority seem to have lost heart and are seeking ways for individual survival.

Truly, "preparation," "foundation" - this is what you, Teacher, have cried out for and acted upon for Chosŏn for 20 years. However, our compatriots, lacking the scientific spirit that understands only a result commensurate with the cause can arise from a cause of 1, and that 2 or 3 will never arise from 1, only hoping for luck and magical success, did not know how to receive your guidance. Even young people who learned the principles of physics and chemistry get swept away by the magical thinking of their elders.

However, Teacher! Will Chosŏn eventually perish through luck-seeking and empty talk? No!
The children of Chosŏn who follow the principle of preparing strength (실력 준비주의) that you have strongly urged (喝導) are still increasing, little by little. Leaving falsehood for truth, leaving fantasy and empty theories for practice, leaving craftiness (巧詐) and faithlessness (反覆) for loyalty and righteousness, leaving cowardice (怯懦) and indolence (苟安) for courage, leaving egoistic individualism for the spirit of national service that benefits oneself by serving the group, leaving the hope for magical luck for the scientific spirit that seeks to obtain a just result by accumulating a just cause - the children of Chosŏn who resonate with these things are increasing day by day, even if their number is small. While the adults cannot escape from misguided preconceptions, seeing the pure youths respond so keenly to this call, I cannot help but rejoice.

If only you were in the country, Teacher, how good it would be! How the pure young men and women of Chosŏn would be influenced by your character and become new people, dedicating themselves to follow your ideals! How they would take your true words, sincere practice, and bright wisdom as living models, truly becoming cast (鎔鑄) as the foundation and pillars (楝樑) of a new Chosŏn! However, the young children of Chosŏn are not in a situation to have that happiness. They can only indirectly receive the cultivation (陶冶) of your ideals and character through the words and deeds of the Suyang Tongmaenghoe (Fellowship for Cultivation) and its comrades.

"Let there be no falsehood in word or deed!" <29>
"Forget yourself and think of Chosŏn!"
"Prepare the virtue, knowledge, and intelligence to take charge of one duty for Chosŏn!"
"Those who hold these principles should band together firmly!"

Your extremely powerless disciples and comrades, a few people, are tirelessly trying to spread this will to the children of Chosŏn. But Teacher! We are too powerless. Every time I think of our powerlessness, I think of you.

If Heaven does not abandon our people, I believe it will surely give us powerful individuals to become great workers realizing your will. Because I believe that, even I, awaiting death, will search for true sons and daughters of Chosŏn until the last moment my life allows.

As I sit writing this, countless male and female students appear before my eyes. I want to visit each one of them and convey your ideals. At least before my life ends, I want to convey them to ten thousand people. If that is not possible, I want to convey them to even one thousand. If among them, a thousand comrades of yours – those who, like you, Teacher, hate falsehood and are only true in word and deed; those who, like you, Teacher, do not neglect a single minute or second and strive to fulfill their duties (as citizens, as human beings); those who, like you, Teacher, keep loyalty and righteousness towards Chosŏn, towards comrades, towards friends, regarding all minute promises and appointments; those who, like you, Teacher, possess the courage that does not look back at suffering or joy, life or death, slander or praise (毁譽) for the sake of ideals, righteousness, and duty, pushes aside all difficulties, and remains unchanged throughout life; those who, like you, Teacher, sacrifice a lifetime of comfort for Chosŏn and devote their whole heart and body; those who, like you, Teacher, keep the faith of unity – if only a thousand such people arise and that thousand bands together firmly, wouldn't the foundation for the resurrection of the corpse that is the Chosŏn nation be established?

For the past 20 years, Teacher, you have known only this as your work, known it as your life, and strived only for this. Compatriots who do not know you think you are someone trying to do something other than this. However, I believe the day when Chosŏn understands your ideals is near. But that is not the Chosŏn of the adults who are already grown <30> at present, but the Chosŏn of the young siblings currently attending school.

Teacher! Reforming character is indeed difficult.
"Do not be hasty, do not pretend to do it, naturally but without rest, improve bit by bit and become new."
This is how you always encouraged new comrades. Following your will, Teacher, I too have been trying to reform my character for 5 years already. However, looking back at myself, the improvement is not so remarkable. The only thing that consoles me is that when I worked as a reporter at the Tong-A Ilbo Company and as a teacher at Kyŏngsin School:
(1) I devoted my whole heart and strength for the work.
(2) Before my illness, I strictly kept the office hours.
(3) I loved the newspaper company and the school as my own.
This, I think, is solely the effect of cultivating myself following you, Teacher.

However, still, my own life and death, suffering and joy, are felt (생각히코) more keenly than the rise and fall of Chosŏn, and labor for my mouth and belly is considered (생각킴니다) more precious than labor for principles. I had set a plan to complete the reform of my character by the age of 40. But the illness that has now arisen in my body, I do not know if it will let me see that time.

"Our people lack love. Love between father and son, love between husband and wife, love among comrades, love for the work one does, love for the group one serves, love for strangers... Our people lack love. Because love is lacking, there is hatred, there is jealousy (猜忌), there is strife (爭鬪) – this is one reason we cannot unite."
These are words you always said to new comrades, Teacher. <31>
"Therefore, let us study loving. Just as we study being practical (務實), study practicing diligently (力行), let us study loving."
You said this countless times. "Study loving!" I think this phrase was probably first coined by you, Teacher.

Through Dr. Cho this time, you worried about the relationship between Yu Ŏkkyŏm Kun and myself, and told me to strive as much as possible to clear up Yu Kun's misunderstanding. That is how much you love Yu Kun and me, Teacher. You love us so much that you cannot forget and worry constantly. However, I have not been able to love Yu Kun that much. Since Yu Kun does not greet me, I do not greet him either. Since Yu Kun does not wish to meet me, I do not wish to meet Yu Kun – it has been like this.

Last year, Teacher, you and I had this conversation:
"Go visit Yu Kun."
"But he says he won't meet me."
"Still, go visit him. Go visit him however many times it takes until Yu Kun smiles and takes Ch'unwŏn's [Yi Kwangsu's pen name] hand in greeting. Love and sincerity will surely move Yu Kun's heart."
You taught me thus. However, for over a year since then, I have not been able to do as you taught. There are various excuses, but ultimately, it is because my love for comrades is insufficient. But from now on, I will try. I believe that if it were you, Teacher, you would surely have done so.

It is the same regarding the Tongu Kurakpu (Friends' Club). When I think that if I had had a little more love and sincerity, I could surely have moved everyone and achieved unity already, I only feel ashamed.

"Let Chosŏn people love one another. Let's forgive each other's faults and praise each other's good deeds. Let us pitiful Chosŏn people never fight amongst ourselves. And let this be even more so among comrades!" <32>
This is the gist of a passage from the letter you addressed to compatriots last year (which was serialized in the Tong-A Ilbo but banned by the authorities).

I have never seen you get angry, Teacher. I have seen you weep, but in the full two years I served you, I never once saw you become wrathful. When I went to get a room at the inn where I was staying with you in Shanghai, I got angry seeing the discourtesy of the bellboy. At that time, I remember you saying with a peaceful smile, "Don't get angry." I saw then that within your peaceful smile, there was a tinge of sadness for me – for my bad temper. From that time, I have studied not getting angry and studied treating even those who hate and slander me with love and forgiveness, but there hasn't been much effect. Observing carefully, there is indeed a lack of love and forgiveness among us, and much tendency towards anger, jealousy (싀긔하고), and nitpicking (吹毛覓疵).

"Study loving!"
I think this is a great subject of study for our people.

But the life of the new Chosŏn is gradually growing. Although it may not grow large in a day or two (하로 잇흘), I believe the day will surely come when all people will look up to it. I believe that the seeds you sowed, Teacher, will never be in vain, and that in your tear-filled eyes gazing upon the homeland from a distant land thousands of miles away, there will be a smile of hope and satisfaction.

"The End" <33>

**Summary**

This 1925 letter from Yi Kwangsu to An Ch'angho, written for the magazine *Kaebyŏk*, expresses Yi's joy at hearing of An's well-being but also reveals his own diagnosis of terminal spinal caries. Despite facing death, Yi pledges to continue working for An's ideals. He laments the despair and disunity within Korea, criticizing the independence movement's lack of practical preparation, echoing An's long-held "strength preparation" doctrine (실력 양성론). Yi contrasts the disillusionment of older figures with the potential of young Koreans to embrace An's emphasis on truth, sincerity, diligence, loyalty, courage, self-sacrifice, and unity ("study loving"). He reflects on his personal struggles to reform his character according to An's teachings and expresses regret for failing to reconcile with Yu Ŏkkyŏm, vowing to follow An's guidance. Ultimately, Yi affirms his belief in the eventual success of An's vision for a new Korea built on strong character and preparation, carried forward by the younger generation.

From a historical perspective, this article is significant as it captures Yi Kwangsu, a major intellectual figure, grappling with personal mortality while articulating a specific philosophy for the Korean national movement, heavily influenced by An Ch'angho. It starkly reveals the internal debates and disillusionment following the March First Movement, contrasting approaches focused on immediate action versus gradual preparation and character building. Yi's self-criticism and emphasis on "loving" and overcoming personal failings like anger and factionalism provide insight into the ethical dimensions sought by some nationalist leaders. Historians would find Yi's pessimistic assessment of the current generation of leaders ("almost all have lost heart") and his placing hope in the youth, alongside his personal health struggles and evolving views (which would later lead him towards collaboration), particularly interesting.

**Named Entities**

島山 安昌浩先生	도산 안창호 선생	Tosan An Ch'angho Sŏnsaeng
李光洙	이광수	Yi Kwangsu
趙博士	조 박사	Cho Paksa
美洲	미주	America
北美	북미	North America
徐博士	서 박사	Sŏ Paksa
國老	국로	Kukro (National Elder)
開闢社	개벽사	Kaebyŏk Publishing Company
北京	북경	Peking
朝鮮	조선	Chosŏn (Korea)
南岡 선생	남강 선생	Namgang Sŏnsaeng
上海	상해	Shanghai
修養同盟會	수양동맹회	Suyang Tongmaenghoe
東亞日報社	동아일보사	Tong-A Ilbo Company
儆新學校	경신학교	Kyŏngsin School
兪億兼君	유억겸 군	Yu Ŏkkyŏm Kun
同友俱樂部	동우구락부	Tongu Kurakpu

**Glossary**

듯잡고	듣잡고	To hear (honorific, older form of 듣다)
깃버하엿습니다	기뻐하였습니다	Was glad (older spelling of 기뻐했습니다)
말슴	말씀	Words, speech (older spelling)
업다	없다	To not exist, to lack (older spelling)
붓잡을	붙잡을	To hold onto (older spelling)
밋습니다	믿습니다	Believe (older spelling)
십허하실	싶어하실	Would want (older spelling)
일커를만한	일컬을 만한	Worthy of being called (older spelling)
落心	낙심	Despair, discouragement
밧게도	밖에도	Besides, outside of (older spelling)
니야기를	이야기를	Story, talk (older spelling)
싸하	쌓아	To pile up, accumulate (older spelling/form of 쌓다)
어드랴는	얻으려는	Trying to obtain (older spelling/form of 얻으려 하는)
喝導	갈도	Strong urging, shouting guidance
虛僞	허위	Falsehood, untruth
巧詐	교사	Craftiness, deceit
反覆	반복	Inconsistency, faithlessness (lit. repetition)
怯懦	겁나	Cowardice
苟安	구안	Seeking easy comfort, indolence
陶冶	도야	Cultivation, refinement (of character)
楝樑	동량	Pillars, mainstay (lit. ridgepole and beam)
鎔鑄	용주	Casting, molding (metaphorically, shaping character)
차자다닐	찾아다닐	To go around looking for (older spelling)
십흡니다	싶습니다	Want to (older spelling)
가티	같이	Like, together with (older spelling)
輕忽히	경홀히	Lightly, carelessly (older spelling)
毁譽	훼예	Slander and praise
생각히코	생각되고	Is thought of, comes to mind (older passive form)
생각킴니다	생각됩니다	Is thought of, seems (older passive form)
務實	무실	Practicality, being pragmatic
力行	역행	Diligent practice, striving
싀긔하고	시기하고	Being envious/jealous (older spelling)
吹毛覓疵	취모멱자	Nitpicking (lit. blowing hair to find fault)
잇흘	이틀	Two days (older spelling)
-e 

---------------------------


잡지명	개벽 제62호
발행일	1925년 08월 01일
기사제목	島山 安昌浩先生에게
필자	李光洙
기사형태	문예기타

島山 安昌浩先生에게
						李光洙
美洲로시 돌아오신 趙博士便에 선생의 안위를 듯잡고 깃버하엿습니다. 선생께서 北美 각지에 산재한 동포들을 巡訪하시엇다는 말슴과 특히 멀리 사모하는 우리 國老 徐博士를 방문하시고 靈犀相照하엿다는 말슴을 듯잡고는 하도 깃버서 拍掌喝釆함을 禁치 못하엿습니다.
제가 마츰 선생께 편지를 들이려 하면서도 病後의 몸이 항상 피곤하야 오늘내일하고 遷延하던 차에 마츰 開闢社에서 지다려 선생을 생각하는 글을 써 달라고 청하옵기로 우편으로 들이는 대신 이 편지를 쓰기로 하엿습니다.
선생께서 제 병을 근심하시고 건강에 주의하라고 하섯습니다. 그러나 선생님! 저는 선생께 슬픈 소식을 들이지 아니치 못하게 되엇습니다. 그것은 昨日 의사에게 척추 카리에스라는 진단을 바든 것임니다. 의서를 보면 이 병은 小兒는 쾌유하는 희망이 잇스나 성인된 사람은 거의 괘유할 희망이 업다고 합니다. 速하면 1,2년 오래끌면 혹 십수년 더 살수가 잇다고 하는데 넉넉 잡고 한 3년 더 살 것으로 작정하는 것이 합당할 듯 하옵니다.
그러나 선생님! 저는 죽는 것을 두려워하지는 아니합니다. 1년이나 2년이나 3년이나 목슴이  부터잇는 동안에는 선생의 뜻을 위하야 전력을 다하려 하옵니다. 또 의사의 말이 한 1個年동안 잘 교양을 하면 생명을 붓잡을 수도 잇다고 하니 아마 병자를 위로하는 말일 것입니다마는 선생의 뜻이오 우리의 이상인 것을 실현하기 위하야 할 수 잇는대로 생명을 붓들어 보랴고 합니다.
선생께서도 지금 48, 작년 북경서 뵈올 때에 몹시 수척하신 양을 뵙고는 퍽 가슴이 아펏습니다.＜27＞ 그러나 설마 한울이 朝鮮에게서 선생 한분까지야 빼아서가랴. 적더라도 금후 20년ㅅ동안만 健在하야 우리를 지도하게 해주소서 하고 빌엇습니다. 나는 이 소도가 반다시 應할 것을 밋습니다.
선생님! 먼데 계신 선생게서는 朝鮮내의 현상을 퍽 듯고 십허하실 줄 밋슴니다. 그러나 지금 그 자세한 현상을 말슴할 자유가 업습니다. 다만 날로 경제적으로는 살 수가 업서지고 정신적으로 민족적 해체가 생긴다 하는 것만 말슴하려 하옵니다. 지도자라 일커를만한 이들은 거의다 落心하야 물러안습니다. 엇져면 그러케 영원히 落心할줄 모르실 뜻한 南岡 선생까지 朝鮮의 前途에 대하야 落心을 하십닛가. 그밧게도 누구누구 하는 이가 맛나서 니야기를 하여보면 거의다 落心을 하엿습니다. 三一運動에 흥분하엿던 반동이라고 엇던 친구는 설명을 합니다마는 저는 그러케 생각지 아니합니다. 이것은 「무계획」하게 動하던 자의 당연한 귀결이라고 밋습니다. 뿌리업는데서 열매를 거두려 하고 기초와 재목이 업시 집부터 지으려 하고 자본도 업시 영업광고부터 내려하던 자의 당연한 귀결이라고 밋습니다.
「나간다 나간다 하기를 20년을 하지 아니하엿느냐, 그러하건마는 20년 후의 오늘날까지도 나갈 힘이 업지 아니하냐. 나갈 준비를 하기를 20년을 하엿더면 지금은 나갈 힘이 생겻스리라. 지금부터 나갈 준비를 하지 아니하고 여전히 나간다 나간다 하기만 하면 今後 20년에도 여전히 나갈 힘이 업스리라! 그럼으로 지금은 나갈 때가 아니오 나갈 준비를 할 때다!」
이것이 선생께서 三一運動중에 上海에서 설파하시고 다수 동포에게 後進派니 非戰派니 하는 非難을＜28＞ 들으신 말슴이 아닙닛가. 선생의 이 良言을 비난하던 동포가 지금에는 그 리치를 깨달을만도 하건마는 아직도 가는 목소리로 나간다 나간다 할 뿐입니다. 그러나 인제는 그런 소리하는 이조차 줄어지고 대부분은 낙심하야 각자 圖生의 길이나 찻게 된 듯 합니다.
진실로 「준비」, 「기초」- 이것은 선생의 朝鮮을 위하야 20년來로 절규도 하시고 또 역행도 하신 것입니다. 그러나 요행과 요술적 성공만 바라고 1만한 원인에서는 오직 1만한 결과만 生한다. 결코 1에서 2나 3은 生하지 아니한다는 과학적 정신이 부족한 우리 동포는 선생의 지도를 바들 줄을 몰랏습니다. 물리학과 화학의 원리를 배운 청년들까지도 父老의 요술 사상에 휩쓸려 들어가고 맙니다.
그러나 선생님! 朝鮮은 마츰내 요행과 空談으로 망하고 말 것입닛가. 아닙니다!
선생의 喝導하신 실력 준비주의를 따르는 朝鮮의 자녀는 그래도 조곰씩 조곰씩 증가하여 갑니다. 虛僞를 떠나서 진실에 공상과 공론을 떠나서 실행에 巧詐와 反覆을 떠나서 충의에 怯懦와 苟安을 떠나서 용기에 이기적 개인주의를 떠나서 단체를 위하야 자기를 위하는 민족 봉사의 정신에 요술적 요행을 바라던 것을 떠나서 정당한 因을 싸하 정당한 결과를 어드랴는 과학적 정신에 共鳴하는 朝鮮의 자녀가 비록 수효로는 적다 하더라도 나날이 늘어갑니다. 어른들은 잘못된 선입견에서 헤여나지를 못하건마는 순결한 소년들은 심히 예민하게 이 부름에 향응하는 것을 볼 때에 저는 歡躍하지 아니할 수가 업습니다.
만일 선생께서 국내에 게시다 하면 얼마나 조흘가 얼마나 朝鮮의 순결한 청년 남녀들이 선생의 인격에 감화를 바다 선생의 이상을 따라 몸을 바치고 나서는 새 사람들이 될가. 선생의 참된 말슴과 정성된 실행과 밝은 지혜를 산 모범으로 하야 진실로 새 朝鮮의 기초와 楝樑으로 鎔鑄함이 될가. 그러나 朝鮮의 청년 자녀들은 그 행복을 가질 운동에 處하지 못하엿습니다. 오직 修養同盟會와 그 동지들의 언행을 통하야 간접으로 선생의 이상과 인격의 陶冶를 바들 수가 잇슬 뿐입니다.
「말이나 행실에 거줏이 업스라!」＜29＞
「저를 닛고 朝鮮을 생각하라!」
「朝鮮을 위하야 한 직무를 담당할 덕행과 학식과 지능을 준비하라!」
「이러한 주의를 가진 자끼리 굿게 뭉치라!」
극히 微力한 선생의 제자들이오 동지들인 멧 사람은 쉬임업시 이 뜻을 朝鮮의 자녀들에게 펴노라고는 합니다. 그러나 선생님! 우리는 넘어도 무력합니다. 무력함을 생각할 때마다 선생을 생각합니다.
만일 한울이 우리 민족을 버리지 안하신다 하면 반다지 힘잇는 자를 우리에게 주서서 선생의 뜻을 실현하는 큰 일ㅅ군이 되게 하실 줄 밋습니다. 그것을 밋기 때문에 死를 기다리는 저도 생명이 許하는 순간까지 참된 朝鮮의 아들과 딸을 차자다닐 것입니다.
이 글을 쓰고 안젓슬 때에 졔 눈 압헤는 수업는 남녀 학생들이 보입니다. 저는 그들을 일일히 차자가서 선생의 이상을 전하고 십흡니다. 적어도 제 생명이 끗나기까지에 일만명에게는 전하고 십흡니다. 그것도 안되면 일천명에게라도 전하고 십흡니다. 그들 중에서 선생의 동지자-선생과 가티 虛僞를 미워하고 글이나 行에 오직 참된 자-선생과 가티 일분일초를 輕忽히 아니하고 義務(국민으로의, 인생으로의)를 역행하는 자-선생과 가티 朝鮮에 대하야 동지에 대하야 友人에 대하야 모든 미세한 허락과 약속에 대하야 충성과 의리를 지키는 자-선생과 가티 이상과 의리와 임무를 위하야는 苦樂과 死生과 毁譽를 안돌아보고 萬難을 排하고 일생에 변함이 업는 용기를 가진 자-선생과 가티 朝鮮을 위하야 일생의 안락을 희생하고 全心全身을 바치는 자-선생과 가티 단결의 신의를 지키는 자가 천명만 생기고 그 천명이 굿게 뭉친다 하면 이게 朝鮮민족이라는 屍體에는 부활의 기초가 확립되는 것이 아니겟습닛가.
선생께서는 과거 20년간에 오직 이것으로 사업으로 아셧고 생명으로 아셧고 오직 이것을 위하야 노력하셧습니다. 선생을 모르는 동포들은 선생을 이것 外에 무엇을 하려하는 이인 줄로 생각합니다. 그러나 선생의 이상을 朝鮮이 깨달을 날이 갓가웟다고 밋습니다. 그러나 그것은 현재에 이믜 성년된＜30＞ 어른들의 朝鮮이 아니오 지금 학교에 다니는 어린 동생들의 朝鮮입니다.
선생님! 인격의 개조는 과연 어렵습니다.
「급해하지 말고 하는체 하지말고 천연스럽게 그러나 쉬지 말고 조곰씩 고처가고 새로워 가라」
