Rank	Word	Frequency
1	우리	497
2	하야	466
3	말	352
4	사람	310
5	나	235
6	생각	186
7	가티	150
8	그것	135
9	自己	117
10	朝鮮	110
11	가지	109
12	습니	108
13	모든	106
14	다시	104
15	生活	95
16	무엇	92
17	무슨	92
18	到着點	88
19	先生	86
20	兒童	77
21	只今	77
22	社會	75
23	하얏다	75
24	수가	74
25	하나	74
26	이나	71
27	어찌	66
28	기사	64
29	섯다	64
30	딸아	61
31	勿論	59
32	藝術	59
33	出發點	57
34	가장	56
35	먼저	53
36	아모	53
37	이오	52
38	로써	52
39	問題	51
40	여러	49
41	누구	48
42	잇슬	48
43	또한	47
44	소리	46
45	事實	46
46	하랴	45
47	어른	45
48	어떠케	44
49	이외	44
50	現在	44
51	新羅	43
52	리하	42
53	將來	42
54	족음	42
55	집	41
56	果然	41
57	그네	40
58	世上	40
59	그때	40
60	하엿다	40
61	民族	39
62	文藝	39
63	개벽	38
64	마는	38
65	서로	38
66	人生	38
67	意味	38
68	個人	37
69	너	37
70	일이	37
71	모양	37
72	눈	36
73	世界	36
74	하얏스	36
75	마음	35
76	虛僞	35
77	잡지	34
78	보고	34
79	理想	33
80	레트	33
81	慶州	33
82	제호	32
83	발행	32
84	제목	32
85	형태	32
86	보아	32
87	얼마나	32
88	運命	32
89	萬一	32
90	所謂	32
91	改造	32
92	까닭	31
93	다만	31
94	그러케	30
95	여긔	30
96	입	30
97	以後	30
98	한번	29
99	거긔	29
100	必要	29
101	다음	29
102	一般	28
103	엇습	28
104	女史	28
105	필자	27
106	同時	27
107	다가	27
108	다른	27
109	運動	27
110	처음	26
111	그대로	26
112	過去	26
113	때문	26
114	態度	26
115	以上	25
116	時代	25
117	敎育	25
118	靑年	25
119	學校	25
120	반듯이	24
121	압헤	24
122	머리	24
123	關係	24
124	要求	24
125	思想	24
126	始作	24
127	스스로	23
128	아모리	23
129	어대	23
130	서서	23
131	이제	23
132	說明	23
133	대로	23
134	事業	23
135	비록	22
136	사랑	22
137	업슬	22
138	最後	22
139	工夫	22
140	新聞	22
141	동안	22
142	바이	22
143	잇스	22
144	國王	22
145	道德	22
146	苦學生	21
147	目的	21
148	日本	21
149	하라	21
150	發見	21
151	참으로	21
152	米國	21
153	아마	20
154	하겟다	20
155	안흘	20
156	아주	20
157	拍手	20
