Magazine Title: 三千理 第13巻 第1号
Publication Date: 1941년 01월 01일
Article Title: 內鮮一體의 倫理的 歸結 (The Ethical Conclusion of Japan-Korea Unity)
Author: 鄭僑源
Article Type: 논설 (Editorial/Essay)

The Ethical Conclusion of Japan-Korea Unity
						By Chŏng Kyo-wŏn

The Paengma River flows with an eternal姿態 (chatae - appearance/form). Along its banks, centered on the Pusosan Castle Site, the mountains and rivers of Puyo quietly and peacefully hold the rich historical facts hidden since ancient times. Thus, the sacred hoes of the labor corps serving in the construction of the Puyo Shrine now shine preciously, along with the dripping beads of sweat.

Anyone born in the Imperial Nation (皇國), upon visiting this land, will surely see the desire to further strengthen the deeply tied bonds between Japan and Korea (內鮮).

With the progression of the Incident (事變), the era of discussing Japan-Korea Unity (內鮮一體) has passed, and we have finally entered the stage of practice. Even simple farmers in rural villages compete to make defense donations. They jointly cultivate the fields of families who have sent soldiers to the front. They sincerely send off and welcome dispatched soldiers, which can be seen entirely as the emergence of self-awareness as subjects of the Imperial Nation (皇國臣民).

Originally, regarding the Japan-Korea relationship, there have been several propositions, but the fact of having the same roots and ancestors (同根同祖) strictly exists. However, due to circumstances in certain eras,<74> there was a considerable period of estrangement, making it seem as though they were completely different, dualistic entities. But if one traces back to the source, it will eventually lead back to the original stem.

Looking at this through historical facts, even setting aside the distant Age of the Gods, the relationship between Japan and places like Imna (任那), Paekche (百濟), Koguryŏ (高句麗), Silla (新羅), etc., since the historical era began, sometimes advanced and sometimes retreated. Even before the present Mainland (內地 - i.e., Japan) achieved complete unification, the Yamato Court (大和朝廷) early on extended a hand of guidance and protection (誘掖保護) towards the various countries of the Peninsula. Whether providing materials, stationing troops, establishing official posts, sometimes applying punitive measures (膺懲), or planning cultural exchange, it is a clear fact that there was indeed a close, inseparable relationship. Among these many facts, there are not a few ethical interpretations that cannot be explained merely by interests or international relations.

That is, the Yamato Court's policy towards the Peninsula at that time is thought to be entirely an expression of the great spirit of "Eight Corners of the World Under One Roof" (八紘一宇). Among these, consider the fact of the Paekche rescue during the late Paekche period. Empress Jomei (齊明天皇), at the venerable age of 67, and moreover, as a woman, personally undertook a great journey from the capital to Chikushi (筑紫), stayed at the temporary palace (行在所) for over seven months overseeing the military campaign on the distant Peninsula, and exerted herself to the point of passing away (崩御) there. Despite encountering such a great misfortune, Emperor Tenji (天智天皇) continued the rescue efforts without pause, thoroughly supporting Paekche until its very end. And when the Japanese generals dispatched to the Peninsula at that time returned, thinking of the well-being of the Paekche people who had been their allies, they brought 2,000-some hundred people who would not submit to T'ang (唐) and Silla (羅) to Japan. The fact that those Paekche people, finding it hard to bear leaving their relatives, friends, and ancestral tombs, left behind words of grief and resolutely followed the Japanese army to settle in the Mainland (內地); that the court provided various conveniences for these immigrants, gave them land and official positions respectively, soon intermarriage occurred between them, and their descendants gradually prospered in the Mainland, producing famous figures in history – these things refresh our memory even today.

Such historical facts, such beautiful examples, are unprecedented in the histories of East and West, ancient and modern. I believe this can only be understood through an ethical interpretation of the Japan-Korea relationship. Also, when I heard that the Koguryŏ monk Hyeja Pŏpsa (惠慈法師), after teaching Buddhist scriptures (佛典) to Prince Shōtoku (聖德太子) and staying in Japan for 20 years, returned to his homeland in old age, but seven years later, upon hearing of Prince Shōtoku's demise (薨去), expressed great sorrow (御悲痛), I am struck anew. In short, the Japan-Korea relationship up to the middle ages was truly monistic (一元的) and unified (一體); this is an undeniable fact.

Today, because the surnames and names (氏名) of people in southern Korea (南鮮人) are markedly different, it may seem as though there is no blood relation at all, but looking before the middle ages,<75> the two were nearly identical. For example, consider the names of the craftsmen called from Paekche for the construction of Hōkō-ji (法興社), the first temple in Japan built by Soga no Umako (蘇我馬子): Tara (太良), Matta (末太), Munkakoja (文賈古子). Also, the tile maker Mana Puno (麻奈父奴), or those sent as envoys to Japan during King Sŏngmyŏng's (聖明王) era like Ki no Omi Nasotsu Mimasho (紀臣奈率彌麻抄?), Mononobe no Shidokumakamo (物部施德麻哿牟?), Ahebu Ashihito (阿內部阿斯比多?), and General Kwisil Poksin (鬼室福信) at the time of Paekche's fall – all of these are different from current Korean-style surnames and could rather be called Japanese-style.
Thus, tracing back the origins, the Japan-Korea relationship originally not only had cultural exchange but also shared race and linguistic lineage, and the method of phonetic transcription using Chinese characters (漢字音譯方法) was also the same. In other words, since they were made from the same book, it is natural that phonetic representation was generally possible or that surnames/names were the same. The marked difference in surnames/names between Japanese and Koreans today is a later change.

Furthermore, customs, habits, and even lifestyles were the same in the old days. For example, looking at the exhibits in the Nara Imperial Household Museum (奈良帝室博物館), visitors from Korea (朝鮮) would be surprised to see brass bowls (眞銅의 「사발」) currently used in Korean homes, and many other similar items displayed there. Until the Nara period, even artifacts were largely the same. Also, looking at the drawing of Sugawara no Michizane (菅原道眞) in his court attire (衣冠束帶) found in elementary school textbooks, from the cap (冠) to the socks (버선), it was almost exactly like the style of present-day Korean ceremonial dress (禮服).

Thus, things were originally the same but merely took different paths along the way. In this sense, Japan-Korea Unity (內鮮一體) is a return to the old ways.
Mistakenly, people nowadays speak of Japan-Korea Unity as a matter of the times or administrative convenience, but it is definitely not so. I believe that Japan-Korea Unity is the highest ideal of Korean governance (朝鮮統治) and, at the same time, truly the ethical conclusion (倫理的 歸結) for both Japan and Korea.
—End— <76>

**Summary**

This editorial by Chŏng Kyo-wŏn argues that the policy of "Naesŏn Ilch'e" (Japan-Korea Unity) is not merely a political expediency of the time but the natural, ethical culmination of a shared history and origin between Japanese and Koreans. Chŏng claims evidence from ancient interactions, particularly Japan's involvement with Paekche, shared racial and linguistic roots (citing similar naming conventions and transcription methods in antiquity), and similarities in historical artifacts and clothing styles, asserting that the two peoples were originally one before diverging. He presents the contemporary unity policy as a "return" to this original state and the highest ideal of governance for Korea, rooted in the Japanese spirit of "Hakko Ichiu". For historians, the article is a prime example of pro-Japanese collaborationist rhetoric during the colonial period, specifically how historical narratives were manipulated to justify Japan's assimilation policies and imperial ideology. It reveals the specific arguments—shared ancestry, ancient benevolent interventions by Japan, cultural similarities—used to promote the idea of inherent unity and delegitimize Korean distinctiveness, framing assimilation not as conquest but as a familial reunion and ethical necessity.

**Named Entities**

內鮮	내선	Naesŏn (Japan-Korea)
鄭僑源	정교원	Chŏng Kyo-wŏn
白馬江	백마강	Paengma River
扶蘇山城趾	부소산성지	Pusosan Castle Site
扶餘	부여	Puyo
扶餘神宮	부여신궁	Puyo Shrine
皇國	황국	Hwangguk (Imperial Nation, i.e., Japan)
日本	일본	Ilbon (Japan)
大和朝廷	대화조정	Yamato Court (Yamato Chōtei)
任那	임나	Imna (Mimana)
百濟	백제	Paekche
高句麗	고구려	Koguryŏ
新羅	신라	Silla
內地	내지	Naeji (Mainland, i.e., Japan)
齊明天皇	제명천황	Empress Jomei (Saimei Tennō)
築紫	축자	Chikushi
天智天皇	천지천황	Emperor Tenji (Tenji Tennō)
唐	당	Tang
羅	라	Ra (Silla)
鬼室福信	귀실복신	Kwisil Poksin
惠慈法師	혜자법사	Hyeja Pŏpsa (Eji Hōshi)
聖德太子	성덕태자	Prince Shōtoku (Shōtoku Taishi)
南鮮人	남선인	Namsŏnin (Southern Koreans)
蘇我馬子	소아마자	Soga no Umako
法興社	법흥사	Pŏphŭngsa (Hōkō-ji Temple)
太良	태량	T'aeryang (Tara)
末太	말태	Maltae (Matta)
文賈古子	문고고자	Mun'gogoja (Fumi no Kyoko?)
麻奈父奴	마나부노	Manabuno (Mana Puno?)
聖明王	성명왕	King Sŏngmyŏng
紀臣奈率彌麻抄	기신내솔미마초	Ki no Omi Nasotsu Mimasho (?)
物部施德麻哿牟	물부시덕마가모	Mononobe no Shidokumakamo (?)
阿內部阿斯比多	아내부아시비다	Ahebu Ashihito (?)
奈良帝室博物館	나라제실박물관	Nara Imperial Household Museum (Nara Teishitsu Hakubutsukan)
朝鮮	조선	Chosŏn (Korea)
菅原道眞	관원도진	Sugawara no Michizane

**Glossary**

內鮮一體	내선일체	Japan-Korea Unity; a key slogan promoting the assimilation of Korea into the Japanese Empire.
悠久	유구	Eternity, permanence.
姿態	자태	Appearance, form, figure.
沿岸	연안	Coast, shore, bank.
據點	거점	Base, stronghold, foothold.
潜秘	잠비	To hide, conceal (archaic/literary).
御造營	어조영	Imperial construction project (honorific).
奉仕	봉사	Service, dedication (often used in context of serving the state/emperor).
勤勞隊	근로대	Labor corps.
聖鍬	성鍬	Sacred hoe/pickaxe (propaganda term).
尊貴	존귀	Noble, precious, venerable.
皇國臣民	황국신민	Subjects of the Imperial Nation (Japan); term emphasized during wartime mobilization.
自覺	자각	Self-awareness, consciousness.
同根同祖	동근동조	Of the same root and ancestor; used to argue for Japanese-Korean shared origins.
嚴存	엄존	To exist strictly, undeniably.
疏隔	소격	Estrangement, alienation.
二元的	이원적	Dualistic.
源泉	원천	Source, origin.
歸着	귀착	To arrive at, conclude, return to.
神代	신대	Age of the Gods (mythological era).
以降	이항	Since, thereafter.
一進一退	일진일퇴	Advancing and retreating, ebb and flow.
誘掖保護	유액보호	Guidance and protection (paternalistic term).
駐屯	주둔	To be stationed (military).
膺懲	응징	Punishment, chastisement (often used by Japan towards perceived lesser nations).
密接不可分	밀접불가분	Closely inseparable.
顯著	현저	Remarkable, conspicuous, clear.
倫理的	윤리적	Ethical, moral.
八紘一宇	팔굉일우	Hakko Ichiu; "Eight corners of the world under one roof," Japanese imperial expansionist slogan.
發露	발로	Expression, manifestation.
御高齡	어고령	Venerable old age (honorific).
御女性	어여성	Female body/person (honorific).
御몸	어몸	Body (honorific).
御손수	어손수	Personally, with one's own hands (honorific).
都邑	도읍	Capital city.
行在所	행재소	Temporary Imperial palace/lodging.
軍旅	군려	Military campaign, troops.
崩御	붕어	Demise of an emperor/empress (honorific).
御盡瘁	어진췌	Imperial exertion/effort (honorific).
遭遇	조우	Encounter (often negative).
不拘	불구	Despite, notwithstanding.
援護	원호	Support, backing, aid.
將領	장령	General(s), commander(s).
身邊	신변	One's person, personal affairs, safety.
服	복	To submit, obey.
墳墓	분묘	Tomb, grave.
斷然	단연	Resolutely, firmly.
移住	이주	Migration, relocation.
便利	편리	Convenience, facility.
輩出	배출	To produce (people) in succession.
諒解	양해	Understanding, comprehension.
薨去	훙거	Demise of a high-ranking person (prince, etc.).
御悲痛	어비통	Imperial sorrow/grief (honorific).
一元的	일원적	Monistic, singular.
氏名	씨명	Surname and given name.
血續的	혈속적	Related by blood.
交涉	교섭	Connection, relation, negotiation.
거반	거의	Almost, nearly (older spelling/form of 거의).
工匠	공장	Artisan, craftsman.
瓦工	와공	Tile maker.
顯著하게	현저하게	Markedly, conspicuously.
달르게	다르게	Differently (older spelling/form of 다르게).
風俗	풍속	Customs, manners.
乃至	내지	Or, even, extending to.
樣式	양식	Style, form, pattern.
陳列品	진렬품	Exhibit, displayed item.
眞銅	진동	Brass.
사발	사발	Wide bowl.
拜觀	배관	Viewing, visiting (often for museums, exhibitions).
衣冠束帶	의관속대	Formal court attire.
맵씨	맵시	Stylish appearance, figure.
復歸	복귀	Return, reversion.
時勢	시세	The current trend/situation, the times.
方便	방편	Expedient means, convenience.
決코	결코	Definitely, by no means (older spelling/form of 결코).
統治	통치	Governance, rule.
歸結	귀결	Conclusion, outcome, result.


---------------------------


잡지명	삼천리 제13권 제1호
발행일	1941년 01월 01일
기사제목	內鮮一體의 倫理的 歸結
필자	鄭僑源
기사형태	논설

內鮮一體의 倫理的 歸結
						鄭僑源
白馬江은 悠久한 姿態로 흘려 내린다. 그 江 沿岸에 扶蘇山城趾를 據點해서 扶餘의 山河는 먼 옛날부터의 豐富한 史實을 잠秘하고 고요히, 平和롭게, 흐르고 있다. 그래서 지금 扶餘神宮御造營에 奉仕하는 勤勞隊의 聖鍬는 흘러내리는, 땀방울과 함께 尊貴하게 빛난다.
生을 皇國에서 받은 者라면 이 땅에 가서 누구든지 內鮮의 깊이 맺은 줄을 더 굳게 맺고저 함을 볼 것이다.
事變 進展에 따라 內鮮一體는 論議의 時代를 지나서 이윽고, 實踐 段階에 들어갔다. 農村의 純朴한 農民까지, 다투어 國防獻金을 한다. 出征軍人을 보낸 집의 田畓을 共同耕作을 한다. 眞心으로 出征兵士를 歡送迎하는 等 全혀 皇國臣民으로서의 自覺의 出現이라고 보겠다.

