Magazine Title	삼천리 제13권 제1호
Publication Date	1941년 01월 01일
Article Title	즐거운 나의 가정 (My Joyful Home)
Author	朴外仙, 姜福信
Article Type	문예기타 (Literary Miscellany)

My Joyful Home
						Pak Oeson, Kang Poksin
Papa, Mama, and Baby
By Pak Oeson, wife of Mr. Ma Haesong, President of "Modern Nippon-sha" (モダン日本社)

It feels like only yesterday that we got married, but already three full years have passed. And now, I am about to become the mother of two children.
Sometimes, when I see how much my child has grown, I look at my face in the mirror and wonder, "Did I really give birth to him?" We had the child exactly two years after our marriage, in January. My husband apparently checked me into the hospital a week before the baby was due, and eagerly awaited the birth every night with his friends, drinking champagne (200), to the point where he suffered a nervous breakdown.

After giving birth, I came to realize anew how close my husband was. It even seemed strange to think we were strangers before marriage. When I thought about how we had become "Papa" and "Mama" centered around the child, I felt grateful to God.
Both Papa and I were ignorant about children, so I spent every day flipping through books on childcare methods. If the baby cried even a little, I'd worry if he was sick, and if he slept too quietly, I'd wonder "what if?" and go close to listen for his breathing. The first year after giving birth passed in such a flurry.

One night, my husband hadn't returned home late.
Upstairs on the second floor, it was just me and the baby, who had been born not long ago. A fierce wind began to blow in the middle of the night, and I waited anxiously for my husband's return with an indescribable sense of unease. Then, with a loud clap of thunder, lightning flashed, and my hand reflexively hugged the child beside me. "What if the second floor collapses? What would happen to this precious, precious baby?" I sat there like a statue, holding the child tightly.
After the fierce wind passed, I realized for the first time then that a strong maternal instinct (母性慶가 - likely typo for 母性愛 or 母性) was hidden within me too.
The child was still sleeping soundly, with a peaceful face like an angel.

Before having the child, I thought that once the baby was born, I would write in a diary every day (201) to record his growth, but I had no time at all to write such things.
However, my husband, in some spare moments, had jotted down various things in a diary about the child. He wrote about the child (Chonggi) and about me. Reading it, I thought, "Oh, did such things happen back then?" and was surprised myself, and also found it amusing.

*Shōwa 14 [1939], November 30th*
*"When I returned home last night, you were lying on my bed on the second floor, and Mama was standing beside you. You had a bandage on your head. Mama, with tears welling in her eyes, told me what happened. While she came downstairs to answer the phone, you, left on the second floor, opened the bedroom door and fell down the stairs (層臺). Mama said she immediately called the doctor from Murohashi Hospital (室橋病院醫師).*
*You weren't injured anywhere, just your left forehead was slightly swollen. So, she had been applying a cold water compress (冷水濕布) to your head until then.*
*I laughed.*
*I thought you were brave, and I also felt thankful.*
*My heart was filled with gratitude. It seemed excessive that such a fine child like Chonggi was born as my son.*
*I thank Oeson. It is thanks to her virtue that we could have Chonggi."*

After reading this, my heart pounded as if I had committed a crime, and I felt pained. I thought Chonggi was fortunate to have such a good father. My husband, who always loves solitude and silence, becomes a good friend to Chonggi, playing and making noise together.
Lately, Chonggi is gradually learning to speak and seems to understand most Korean and the National Language (國語, i.e., Japanese), and he imitates his father well.
His meticulous nature, like carefully closing doors or cleaning his hands or the dining table if they get dirty during meals, seems to resemble his father's. He also likes music; whenever the phonograph (蓄音器) plays, he gets very happy and moves his hands and feet, pretending to dance. I wonder if it's my heredity, which makes me happy on one hand, but also worried.
Sometimes Chonggi stares up at the distant sky. It seems like he's longing for the mountains and rivers of his hometown, which warms my heart. (202)

My policy is not to scold the child until he can distinguish between good and evil. After having the child, exhausted from lack of sleep and clumsy housework, I sometimes make unnecessary complaints about my child-rearing approach. Right after complaining, I immediately regret it. But Chonggi, even while hearing his mother's complaints, wears a very cheerful expression. It's a thankful thing. A pleasant thing.
When I wake up in the morning, Chonggi jumps into my bedding and acts like a little lamb. He really likes it when I give him a dry towel rubdown (乾布摩擦). Chonggi and I, we play like this in the bedding for a while before getting up.
This is our mother and son's short, blessed time in the morning. —

I hope the child to be born soon will also be a boy. My husband says a daughter would also be nice. But a girl! When I think of myself, I can't help but feel pitiful and sorry. However, if it is a daughter, she might be dearer than anything or anyone else.
Right now, I just hope the child grows up healthy and intelligent, and that is undoubtedly a big task for me. Facing this big task, Papa and I are just waiting tensely for that day.

Joyful Sunday
By Kang Poksin, wife of Mr. Son Kijŏng

As my experience with home life is meager (殘薄한), it seems too rash for me to discuss the family, which is the cradle (搖籃) of human culture and a safe harbor (安港). Also, I have hesitated until now (至于今) because I am embarrassed to introduce my family to you esteemed readers. However, having received the request again (再次), I cannot decline (辭讓치 못하여) and will write a few words.
Before introducing my family, I wish to first offer my humble opinion (愚意) regarding the family.
There is no animal in this world that does not have a family. The family is the ovary (卵巢) where life is produced and propagated, a club (203) for mutual help (相扶相助) where one rests from the day's fatigue and prepares for the next day's (翌日) activities. Thus, even birds flying in the sky hasten their legs towards their nests when twilight (黃昏) covers the earth and the wind rises, and even cattle and horses, having finished their day's hard toil (苦役) in the wide fields (廣野), rejoice in returning to their dens (구녕), however dirty. How much more so, then, must humans long for home – it goes without saying.
Even in the current society where the private property system (私有制度) is highly developed, one's own home is a safe harbor where the peaceful spring breeze blows, all material things are shared together (共亨하며), and resources are shared whether abundant or scarce (有無相通). Even after battling and suffering from the harsh mad winds of society all day long, returning home heals all heartache with warm love and cultivates the energy (에네루) for the next day's activities. The ideal home is not found in high towers and grand pavilions (高樓巨閣), nor in the number of family members, but in the highest, utmost degree of family love: maternal love (母性愛), paternal love (父性愛), fraternal affection (友愛) between siblings, and the driving force for building an ideal family: conjugal love (夫婦愛), a lingering, unforgettable attachment (戀戀不絶), a warm love of a couple desiring to forget but finding it difficult to forget (慾忘而難忘), which is the one and only indispensable driving force for building a harmonious, ideal family. In this way, a peaceful family is the crystallization of love. Consequently, even if one drinks barley rice and green onion soup (麥飯葱湯) in a three-room thatched house in Siberia where snowy winds (雪風) pile up (積上하는), there is joy, hope arises, and human sorrow (愁心) melts away like spring clouds (春雲); one can build a family of the shore of hope, a family of paradise. It is the peaceful family that produces great figures, and those who contribute (功獻者) to human progress also come from warm families.
Mencius (孟子), who broadened the standards of Eastern morality and left lessons for all generations (萬世敎訓), was a re-embodiment of the great maternal love of Mencius's Mother (孟母), the protagonist of Mencius's peaceful family. Abraham Lincoln, who called for slave emancipation (奴隷解放) and created a brilliant page in the history of humanity – even amidst the tragic battles when the beacon fire (烽火) of revolution led to the outbreak (蜂起하야) of the Civil War – returned home, forgot everything while enjoying time with his wife and children, maintained his courage to the end, and bestowed upon human society achievements of undying fame (萬世下朽 - likely typo for 萬世不朽). This too was a gift (禮物) from Abraham Lincoln's harmonious family life.
Such families are absolutely necessary on our Korean Peninsula (朝鮮半島). Since ancient times, we have had a tendency to neglect (等閑視한) the family. When told to forget private affairs (私事) for the sake of public affairs (公事), many people think private affairs mean family life. Isn't this (204) a misunderstanding (認識措誤)?
Even the *Lesser Learning* says: "After cultivating oneself and ordering one's household, rule the state and bring peace to the world" (修身齊家以後에 治國平天下). How can great statesmen who discuss national affairs, great educators who guide tens of thousands of talented youths, or brave warriors who stand firm on the battlefront where bullets fly wildly (彈丸이 乾飛하는) and shed their fresh blood (鮮血) for the motherland, discuss great matters of state, guide the children of others, or be loyal (忠誠) to the monarch (郡王) if they cannot cultivate themselves and manage their families well to build a peaceful home?
In the current emergency (非常時), we, the people who bear the heavy responsibility (重任) of maintaining peace in East Asia, must apply the New Order (新體制) even in our homes and strive for ourselves and for the nation. Aren't women indeed the protagonists of building peace? I too am striving with all my heart and strength (盡心盡力) to build the ideal family described above. Although there are many incomplete (未備한) points, I introduce it to you all, hoping it might serve as some reference for building a peaceful family, which I would consider a limitless (無恨한) joy (기뿜). I will write a few words about my family. My family is ordinary if you call it ordinary, yet if you call it rare (히유한), I think it is a uniquely precious family.
Nestled (깃드린) in a corner of Yŏngŏn-jŏng (蓮建町) is my small home, which began on April 1st. It consists of two people (두리다). When dawn breaks in the eastern sky (東天明日), in the morning, one cleans inside and out (안팍), the other prepares breakfast. After breakfast finishes during the home radio time, one goes to the Savings Bank (貯蓄銀行), the other to Tongdŏk Girls' High School (同德高女), and we part ways.
Evenings always become busy. Only perhaps on Saturday evenings (저녘) do we manage to set (채려 놓게) the dinner table together. Sundays are mainly for mountain climbing or outdoor walks; we also watch movies (映畵) and spend the day pleasantly (愉快히). (205)

**Summary**

This article presents two perspectives on "My Joyful Home" by educated Korean women in 1941. Pak Oeson, wife of a publisher, offers a personal and emotional account of early marriage and motherhood, focusing on the joys and anxieties of raising her first child, Chonggi, her relationship with her husband, and anticipation for her second child. Kang Poksin, wife of famous marathoner Son Kijŏng, provides a more philosophical and prescriptive view, defining the ideal family as a haven of love and mutual support essential for personal well-being and societal strength, referencing historical figures like Mencius and Lincoln. She emphasizes the importance of a well-ordered home, especially during the "current emergency" (wartime), linking domestic peace to national duty under the "New Order."

From a historical perspective, the article is interesting for several reasons. Pak Oeson's narrative provides a glimpse into the private life of an upper-middle-class urban Korean family, including details like hospital births, concerns about child-rearing, and the emotional dynamics between spouses. Kang Poksin's piece explicitly reflects the pressures of the wartime mobilization period (非常時, 新體制), framing the ideal family not just as a personal haven but as a foundation for national strength and contributing to the state's goals, aligning domestic life with public duty. The casual mention of Pak Oeson's son learning both Korean and the "National Language" (國語, Japanese) highlights the bilingual reality and assimilation policies of the late colonial period.

**Named Entities**

朴外仙	박외선	Pak Oeson
姜福信	강복신	Kang Poksin
モダン日本社	모단일본사	Modern Nippon-sha
馬海松	마해송	Ma Haesong
室橋病院	실교병원	Murohashi Hospital
鍾基	종기	Chonggi
孫基禎	손기정	Son Kijŏng
孟子	맹자	Mencius
孟母	맹모	Mother of Mencius
아부라함·린컨	아브라함 링컨	Abraham Lincoln
西伯利亞	서백리아	Siberia
朝鮮半島	조선반도	Korean Peninsula
蓮建町	연건정	Yŏngŏn-jŏng
貯蓄銀行	저축은행	Savings Bank
同德高女	동덕고녀	Tongdŏk Girls' High School

**Glossary**

生覺되는데	생각되는데	It seems/is thought (older spelling)
只今	지금	Now (older spelling using 只)
각금	가끔	Sometimes (older spelling)
거을	거울	Mirror (older spelling)
男便	남편	Husband
入院식혀	입원시켜	To have someone hospitalized (older spelling/form)
썀펜	샴페인	Champagne (loanword, older transcription)
對해서	대해서	About/Regarding (older spelling)
無智識하여	무지식하여	Being ignorant
育兒法	육아법	Child-rearing methods
層臺	층대	Stairs/Landing (likely means stairs here)
닷친 데	다친 데	Injured place (older spelling)
왼펀	왼편	Left side (older spelling)
부어 올은	부어오른	Swollen up (older spelling)
冷水濕布	냉수습포	Cold water compress
우섰다	웃었다	Laughed (older spelling)
國語	국어	National Language (refers to Japanese in this colonial context)
듯는	듣는	Listening/Understanding (older spelling)
닷고	닫고	Closing (older spelling)
蓄音器	축음기	Phonograph/Gramophone
신융	시늉	Pretending/Mimicking (older spelling)
꾸짓지	꾸짖지	Scold (older spelling)
疲困해진	피곤해진	Became tired
乾布摩擦	건포마찰	Dry towel rubdown
殘薄한	잔박한	Meager/Shallow
搖籃	요람	Cradle
安港	안항	Safe harbor/Haven
至于今	지우금	Until now (older expression)
再次	재차	Again/A second time
辭讓치	사양치	Not decline/refuse (older form)
愚意	우의	My humble opinion
卵巢	난소	Ovary (used metaphorically for production source)
相扶相助	상부상조	Mutual help/Assistance
翌日	익일	The next day
俱樂部	구락부	Club (older loanword transcription using Hanja)
黃昏	황혼	Twilight/Dusk
廣野	광야	Wide field/Wilderness
苦役	고역	Hard toil/Labor
구녕	구멍	Hole/Den (older spelling)
私有制度	사유제도	Private property system
共亨하며	공형하며	Sharing together (older spelling, likely typo for 共亨)
有無相通	유무상통	Sharing what one has and doesn't have
에네루	에너지	Energy (loanword, older transcription)
高樓巨閣	고루거각	High towers and grand pavilions (metaphor for fancy house)
母性愛	모성애	Maternal love
父性愛	부성애	Paternal love
友愛	우애	Brotherly love/Fraternal affection
夫婦愛	부부애	Conjugal love
戀戀不絶	연연불절	Lingering attachment/Deep affection
慾忘而難忘	욕망이난망	Desiring to forget but difficult to forget
雪風	설풍	Snowy wind/Blizzard
積上하는	적상하는	Piling up (older spelling/form)
麥飯葱湯	맥반총탕	Barley rice and green onion soup (signifying simple meal)
愁心	수심	Sorrow/Grief
春雲	춘운	Spring clouds
功獻者	공헌자	Contributor
萬世敎訓	만세교훈	Lessons for all generations
奴隷解放	노예해방	Slave emancipation
烽火	봉화	Beacon fire (signifies start of revolution/war)
蜂起하야	봉기하여	Rose up/Revolted (older spelling)
萬世下朽	만세불후	Undying/Eternal fame (likely typo for 萬世不朽)
낏친	끼친	Bestowed/Left behind (older spelling)
禮物	예물	Gift/Present
等閑視한	등한시한	Neglected/Made light of
公事	공사	Public affairs
私事	사사	Private affairs
認識措誤	인식착오	Misunderstanding/Error in perception
修身齊家以後에 治國平天下	수신제가이후에 치국평천하	After cultivating oneself and ordering one's household, rule the state and bring peace to the world (Confucian maxim)
彈丸	탄환	Bullet/Projectile
乾飛하는	난비하는	Flying wildly
鮮血	선혈	Fresh blood
郡王	군왕	King/Monarch
忠誠	충성	Loyalty
非常時	비상시	Emergency time/Wartime
重任	중임	Heavy responsibility
新體制	신체제	New Order/New System (wartime political system)
盡心盡力	진심진력	With all one's heart and strength
未備한	미비한	Incomplete/Imperfect
無恨한	무한한	Limitless/Infinite
기뿜	기쁨	Joy (older spelling)
히유한	희유한	Rare (older spelling)
깃드린	깃들인	Nestled/Settled in (older spelling)
두리다	둘이다	Consisting of two (older form)
東天明日	동천명일	Dawn breaks in the eastern sky (poetic phrase)
안팍	안팎	Inside and outside (older spelling)
헤여짐니다	헤어집니다	Separate/Part ways (older spelling)
저녘	저녁	Evening (older spelling)
채려	차려	Prepare/Set (table) (older spelling)
映畵	영화	Movie/Film


---------------------------


잡지명	삼천리 제13권 제1호
발행일	1941년 01월 01일
기사제목	즐거운 나의 가정
필자	朴外仙, 姜福信
기사형태	문예기타

즐거운 나의 가정
						朴外仙, 姜福信
아빠와 엄마와 애기와
「モダン日本社」社長 馬海松氏 夫人 朴外仙

우리들이 結婚한 것이 어제같이 生覺되는데 벌써 滿 3年이 되였다. 그리고 只今 나는 두 아이의 어머니가 되려 한다.
나는 각금 어린애가 너무 커진 것을 볼 때 참말 내가 낳았나 하고 거을에 내 얼굴을 비치어볼 때도 있다. 우리가 結婚한지 꼭 2年채 되는 正月에 어린애를 낳았다. 男便은 아이가 낳기 1週日 前부터 나를 入院식혀 놓고 每日밤 동무들과 「썀펜」을(200) 마시며 낳기를 苦待하느라고 그만 神經衰弱에 걸렸다고 한다.
나는 어린애를 낳고 새삼스럽게 男便이 가까운 줄을 알았다. 結婚 前에 他人이였던 것까지 이상히 生覺된다. 어린애를 中心으로 우리는 아빠와 엄마가 된 것을 생각할 때 하느님이 感謝하기도 했다.
아빠나 내가 어린애에 對해서 無智識하여 나는 每日 育兒法의 冊만 뒤지며, 어린애가 조금만 울어도 病이나 아닌가 하고 놀라며 또 너무 조용히 자면 혹시나 하고 가까이 가서 숨소리를 들어 보군 했다. 어린애를 낳고 1年동안은 이렇게 허둥지둥 지내 버렸다.
어느 날 밤, 男便이 늦게까지 돌아오지 않을 때였다.
2層에는 낳은 지 얼마 안 되는 어린애하고 나와 둘뿐 이였다. 밤중에 요란한 바람이 불기 始作하여 나는 形容할 수 없는 不安한 마음으로 男便이 돌아오기만 기다리고 있었다. 그런 때 요란한 天動소리와 함께 번개가 번쩍거린자 내 손은 反射的으로 옆에 있는 어린애를 껴안았다. 或時 2層이 문어지면 이 귀하고 귀한 애기를 어떻게 하나 하고 힘껏 아이를 껴안은 채 彫刻같이 앉아 있었다.
요란하던 바람이 지난 뒤에 나는 이때에 비로서 나에게도 强한 母性慶가 숨어 있는 것을 알았다.
어린애는 天使같이 平和한 얼굴로 여전히 잘 자고 있었다.
아이를 낳기 전에는, 어린애를 낳기만 하면 每日 日記를(201) 써서 그 成長하는 模樣을 남겨 놓으리라고 生覺하였는데 그런 것은 조금도 쓸 겨를이 없었다.
그런데 男便은 어느 틈에 어린애 日記를 이것저것 써 둔 것이 있었다. 어린애(鍾基)한테 對한 것과 나한테 對한 것을 썼는데, 나는 그것을 보고 지난 날에 그런 일도 있었구나 하고, 스스로 놀라기도 하고, 또 우습기도 하다
昭和 14年 11月 30日
「어제 밤 집에 돌아오니 2層내 寢臺에 너가 누어 있고 그 옆에 엄마가 서 있었다. 너는 머리에 繃帶를 하고 있었다. 엄마는 눈에 눈물이 글셩거리면서 말하였다. 電話를 바들어 나려온 새에 2層에 둔 네가 房門을 열고 나오려다가 層臺에서 굴러 떠러젔다는 것이다. 엄마는 곧 室橋病院醫師를 불렀다 한다.
아모 데도 닷친 데는 없고 왼펀 이마가 조곰 부어 올은 것 뿐이었다. 그래서 이때까지 머리에 冷水濕布를 해주고 있다 하는 것이다.
나는 우섰다.
용타고도 生覺했으며 고맙다고도 생각했다.
感謝의 마음이 가득 차셨다. 鍾基같이 잘난 아이가 내 아들로 태여났다는 것을 과한 것같다.
外仙에게 감사한다. 그의 德으로 우리들은 鍾基를 어들 수 있는 것이다.」
이런 것을 읽고 나서 나는 罪진 것처럼 가슴이 두근거리고 앞었다. 鍾基는 좋은 아버지를 가저 幸福하다고 생각했다. 언제나 孤獨과 靜寂을 사랑하는 남편이 鍾基와는 좋은 동무가 되여 떠들며 논다.
요새 鍾基는 점점 말을 배워서 朝鮮말이나 國語나 대개는 알아 듯는 모양이며 아버지 흉내를 잘 낸다.
門을 꼭꼭 닷고 다니는 것이나 食事때 손이나 밥상이 더러워지면 깨끗이 닥는 것 같은 찬찬한 性格은 아버지를 닮은 것 같다. 또 音樂을 좋와해서 蓄音器만 틀면 아주 즐거워 손발을 움지겨서 춤추는 신융을 한다. 내 遺傳이 안인가 해서 한펀 즐겁기도 하나 걱정도 된다.
鍾基는 가끔 먼-하눌을 쳐다보는 일이있다. 故鄕山川을 그리워하는 것 같아서 가슴이 뜨거워진다.(202)
나는 어린애가 善惡의 區別을 分間할 때까지 꾸짓지 않을 方針이다. 어린애를 낳아 놓고, 睡眠不足과 서투른 家事일 때문에 疲困해진 나는 내 育兒方針에 對하야 가끔 쓸데없는 잔말을 한다. 잔말을 해 놓고는 곧 後悔한다. 그러나 鍾基는 엄마한태 잔말을 들으면서도 아주 明朗한 얼굴을 짓는다. 고마운 일이다. 愉快한 일이다.
