Magazine Title: 삼천리 제13권 제1호
Publication Date: 1941년 01월 01일
Article Title: 愛國美談 (Patriotic Beautiful Stories)
Author: 編輯室 選 (Selected by the Editorial Office)
Article Type: 소식 (News/Dispatch)

Military State Beautiful Stories
Behold This Father of the Military State! A Father and Son Meet, But the Father Dies En Route: Private First Class Ch’oe’s Tearful Loyalty and Devotion
(Manchuria) Army Infantry Private First Class Ch’oe Ilho (崔一鎬) of the Gando Korean Special Force (間島朝鮮人特設隊) stationed in Sŏnmyŏngwŏlgu, Kyŏngdo, had a father who had been bedridden and groaning in sickness since early autumn. However, Private Ch’oe could not avoid going to the front lines at [illegible place] due to the autumn subjugation campaign, so he departed praying only for his father's recovery. Around the 20th, Private Ch’oe's father's illness suddenly worsened, leaving no hope for recovery. With a parent's heart wanting to see his son's face just once more, the family sent a telegram requesting Private Ch’oe's return. However, Private Ch’oe, his heart burning with the spirit of selfless public service (滅私奉公), intended to fulfill his filial duty through diligence in military affairs. Picturing his father's final moments in his mind, he declined his commander's recommendation for leave and devoted himself entirely to the subjugation effort with renewed vigor. Upon hearing this news, his father said, "That's right. Ilho is my son, yet he is not just my son. He is the Emperor's son, offered to the Emperor for the sake of the nation. How could I call such a son back for my own selfish desire? No matter how sick I am, I will go meet him, even if I die on the way." Forcing his frail, immobile body, the old man traveled to the front line where his son was striving for the country. After meeting his son and being reassured by seeing his son's vigorous and brave figure, he said, "Yes, please accomplish the things I could not do," bid his son a final farewell, and on his way back, passed away with a peaceful smile on his face at an inn on a street called Sipkiga (十騎街). Hearing this story, the residents of Myŏngwŏlgu (明月溝) rushed to send condolence money.

A New Start in Life: Former Bandit Mr. Kim Paeksan and Miss Yi Chŏngok’s Radiant Wedding Ceremony
(Kando) Mr. Kim Paeksan (金白山), who once harbored discontent towards the world, hid in the mountains, and troubled the Japanese military and police, later realized the disadvantage of his situation and was moved by the Manchukuo founding spirit of the Five Races Under One Union (五族協和) and One Virtue, One Heart (一德一心), surrendering in June of this year. Since then, repenting his past actions, he has been treading a new path solely as a faithful(154) citizen. Recently, his engagement to Miss Yi Chŏngok (李貞玉), the younger cousin of Mr. Yi Sanggyu (李商圭) of the Ch’ŏngjindang Pharmacy on Chinhak-ro, Anjŏng-gu, Yŏngil city, was finalized. On the 19th at 2 PM, their Eastern-style wedding ceremony was held at the Yŏnbinru restaurant in the city. The ceremony was attended by numerous government officials and civilians, including Provincial Vice-Governor Chūgen (中原), Chief of Security Section Tanaka (田中), and Assistant Prefectural Governor Ikeda (池田), and was conducted grandly. They plan to set up their new home on Anjŏng-ro, Anjŏng-gu, truly taking their first steps in life from now on.

Mother of the Military State: Sends Her Only Son as a Volunteer Soldier After Encouraging Him, Supports Family by Selling Vegetables
(Hamhŭng) There is a mother of a volunteer soldier (志願兵)! = Mrs. Pak (朴氏) of Hŭngsang-ri, T’oejo-myŏn, Hamju-gun (咸州郡 退潮面 興上里) is creating a beautiful military state story by sending her only son as a volunteer soldier and supporting the three young daughters left behind by working as a vegetable peddler, living bravely. Her son, who proudly enlisted as a volunteer soldier, is Ch’ŏngbon Yongung (淸本勇雄 - Japanese-style name). He had wished to volunteer since last year but was unsuccessful. This August, encouraged again by his mother, he applied and was splendidly chosen. He is currently undergoing training, and his performance is said to be excellent. Mrs. Pak, having offered her son to the nation, lives without any worry, praying only for her son's public service (奉公) and loyalty. She travels back and forth to Hŭngnam-ŭp, 15 *ri* away, peddling vegetables to cheerfully support her family of four, including the three remaining younger sisters. Hearing this admirable story, Shimizu (淸水), the Hŭngnam police chief, was greatly moved and personally visited her a few days ago to offer encouragement and praise.

The Sincere Loyalty of One Thousand Kisaeng and Yeigi: Donation Ceremony for 8 Anti-Aircraft Machine Guns Held at Changch’ungdan
Though they are women of weak and unfree bodies who sell laughter and song, stating, "Our patriotic fervor is second to none," they saved money bit by bit to donate eight anti-aircraft machine guns. The donation ceremony, carried out by about one thousand kisaeng (妓生), ch'anggi (娼妓 - lower-class entertainers/prostitutes), and yeigi (藝妓 - geisha/skilled entertainers) from the Chosŏn Kwŏnbŏn (朝鮮券番), Hansŏng Kwŏnbŏn (漢城券番), Tong Kwŏnbŏn (東券番), Pon Kwŏnbŏn (本券番) within the Ponjŏng jurisdiction, the Kyŏngsŏng Restaurant Business Association (京城料理業組合), and the Sinjŏng Licensed Quarter (新井遊廓), was held grandly on the 23rd at 3 PM in Changch’ungdan (獎忠壇) Park, colored deeply by autumn. Amid the admiration and praise of numerous military officials and civilians, including Kurashige (倉茂), head of the Korean Army Information Department; Captain Hirai (平井) of the Korean Army Patriotic Department; Seto (瀨戶), head of the Kyŏnggi-do Police Department; and chiefs of various police stations in the city. After the donation ceremony, under the direction of Captain Hirai, the ch'anggi, yeigi, and kisaeng raised their delicate hands (섬섬옥수) towards the autumn sky for a demonstration firing of the donated machine guns.(155)
<154-155>

**Summary**

This article compiles four "beautiful stories" intended as propaganda to showcase Korean loyalty and contribution to the Japanese Empire during wartime (1941). The stories feature a Korean soldier in the Manchukuo army whose father prioritizes his son's military duty over seeing him before death, a former anti-Japanese bandit who surrenders and marries, a mother who encourages her only son to enlist as a volunteer soldier and supports her family, and a large group of Korean entertainers (kisaeng, etc.) donating funds for anti-aircraft guns. From a historical perspective, these narratives are significant examples of pro-Japanese propaganda targeting the Korean populace, aiming to foster imperial loyalty, encourage military enlistment (especially the "volunteer" system), and legitimize Japanese rule and the war effort by highlighting collaboration and sacrifice from various segments of Korean society, including marginalized groups like entertainers and former dissidents. Historians would find the specific examples, the language used (emphasizing loyalty, sacrifice, imperial service), and the targeted groups (soldiers, reformed individuals, mothers, entertainers) useful for understanding colonial propaganda strategies and the complex realities of Korean society under Japanese rule.

**Named Entities**

崔一鎬	최일호	Ch’oe Ilho
滿洲	만주	Manchuria
경도	경도	Kyŏngdo
선명월구	선명월구	Sŏnmyŏngwŏlgu
間島朝鮮人特設隊	간도조선인특설대	Kando Chosŏnin T'ŭksŏltae (Gando Korean Special Force)
陸軍步兵	육군보병	Army Infantry
中兵	중병	Private First Class (or equivalent rank)
OO지	[알수없음]	[Illegible place name]
十騎街	십기가	Sipkiga
明月溝	명월구	Myŏngwŏlgu
金白山	김백산	Kim Paeksan
李貞玉	이정옥	Yi Chŏngok
間島	간도	Kando
五族協和	오족협화	O jok hyŏphwa (Five Races Under One Union)
一德一心	일덕일심	Il dŏk il sim (One Virtue, One Heart)
연길가	연길가	Yŏngil City (Possibly Yanji)
安定區	안정구	Anjŏng-gu
進學路	진학로	Chinhak-ro
李商圭	이상규	Yi Sanggyu
延賓樓	연빈루	Yŏnbinru (Restaurant Name)
中原	중원	Chūgen
田中	다나카	Tanaka
池田	이케다	Ikeda
朴氏	박씨	Pak-ssi (Mrs. Pak)
咸興	함흥	Hamhŭng
咸州郡	함주군	Hamju-gun
退潮面	퇴조면	T'oejo-myŏn
興上里	흥상리	Hŭngsang-ri
淸本勇雄	청본용웅	Ch’ŏngbon Yongung (Japanese-style name for Pak's son)
興南邑	흥남읍	Hŭngnam-ŭp
淸水	청수	Shimizu
高射機關銃	고사기관총	Anti-aircraft machine gun
獎忠壇	장충단	Changch'ungdan
本町	본정	Ponjŏng (Honmachi - Japanese administrative district name)
朝鮮券番	조선권번	Chosŏn Kwŏnbŏn
漢城券番	한성권번	Hansŏng Kwŏnbŏn
東券番	동권번	Tong Kwŏnbŏn
本券番	본권번	Pon Kwŏnbŏn
京城料理業組合	경성요리업조합	Kyŏngsŏng Yoriŏp Chohap (Keijō Restaurant Business Association)
新井遊廓	신정유곽	Sinjŏng Yugwak (Shinarai Licensed Quarter)
倉茂	창무	Kurashige
平井	평정	Hirai
瀨戶	뇌호	Seto
京畿道	경기도	Kyŏnggi-do

**Glossary**

軍國	군국	Military state; militaristic nation
美談	미담	Beautiful story; anecdote of admirable conduct
中兵	중병	Private First Class (Military rank, likely in Manchukuo Imperial Army context)
부친	부친	Father (honorific)
병석	병석	Sickbed
신음	신음	Groaning; moaning
추기	추기	Autumn period
토벌	토벌	Subjugation; suppression (often used for military campaigns against partisans/bandits)
관게	관계	Relation; connection (older spelling of 관계)
쾌차	쾌차	Full recovery (from illness)
친환	친환	Illness of one's parent
악화	악화	Worsening; deterioration
회생	회생	Revival; recovery; resuscitation
히망	희망	Hope (older spelling of 희망)
멸사봉공	멸사봉공	Selfless public service; sacrificing private interests for the public good
정려	정려	Diligence; devotion
효제	효제	Filial piety and fraternal duty
임종	임종	Moment of death; deathbed
휴가	휴가	Leave; vacation
권고	권고	Recommendation; advice
사양	사양	Refusal; declining
용약	용약	Bravely; vigorously
진력	진력	Utmost effort; exertion
노구	노구	Aged body; old and feeble body
억지로	억지로	Forcibly; against one's will
대면	대면	Meeting face-to-face
용자	용자	Brave figure; heroic appearance
작별	작별	Farewell; parting
조위금	조위금	Condolence money
匪賊	비적	Bandit; rebel
뉘우치며	뉘우치며	Repenting; feeling remorse
닥거가고	닦아가고	To pave; clear a path (older spelling/form of 닦아가고)
있든	있던	Who was/were; which was/were (older spelling of 있던)
종매	종매	Younger female cousin (father's sister's daughter or father's brother's daughter)
약혼	약혼	Engagement; betrothal
성립	성립	Establishment; formation; conclusion (of a contract/engagement)
거행	거행	Holding (an event); carrying out (a ceremony)
성대히	성대히	Grandly; magnificently
채리리라	차리리라	Will set up; will establish (older spelling/form of 차리리라)
인제부턱	이제부터	From now on (older spelling/form of 이제부터)
독자	독자	Only son
격려	격려	Encouragement
지원병	지원병	Volunteer soldier (for the Japanese military)
더리고서	데리고서	Taking along; leading (older spelling of 데리고서)
야채(野菜)	야채	Vegetables (uses Hanja 野菜)
행상	행상	Peddling; street vending
생게	생계	Livelihood; living (older spelling of 생계)
비저내고	빚어내고	To create; bring about (esp. a story/atmosphere) (older spelling of 빚어내고)
입영	입영	Enlistment; joining the army
뽑펴서	뽑혀서	Being chosen; selected (older spelling of 뽑혀서)
봉공	봉공	Public service (esp. in service to the state/emperor)
념녀없이	염려없이	Without worry (older spelling of 염려없이)
래왕하면서	내왕하면서	Coming and going; traveling back and forth (older spelling of 내왕하면서 or 왕래하면서)
기특한	기특한	Admirable; praiseworthy (esp. for someone younger or of lower status)
妓生	기생	Kisaeng (Korean female entertainer, similar to geisha)
藝妓	예기	Yeigi (Geisha; skilled female entertainer - term often used interchangeably or alongside Kisaeng in colonial context)
丹心	단심	Sincere heart; loyalty; patriotism
헌납	헌납	Donation; offering (esp. to the state or monarch)
헌납식	헌납식	Donation ceremony
우슴	웃음	Laughter; smile (older spelling of 웃음)
푼푼이	푼푼이	Penny by penny; bit by bit (referring to money)
뫃으고 뫃은	모으고 모은	Gathered; saved up (older spelling of 모으고 모은)
권번	권번	Kwŏnbŏn (Guild or training house for kisaeng)
창기	창기	Ch'anggi (Lower-class entertainer, often associated with prostitution)
참렬	참렬	Attendance; presence (at a ceremony)
감격	감격	Deep emotion; being moved
찬양	찬양	Praise; admiration
섬섬옥수	섬섬옥수	Slender, jade-like hands (idiom for beautiful female hands)
실연	실연	Demonstration; actual performance


---------------------------


잡지명	삼천리 제13권 제1호
발행일	1941년 01월 01일
기사제목	愛國美談
필자	編輯室 選
기사형태	소식

愛國美談
						編輯室 選
軍國美談
이 軍國의 아버지를 보라! 父子 相逢코 途中 隕命 崔中兵의 눈물겨운 忠烈
