**Header Section:**
Magazine Title: 삼천리 (三千里) 제13권 제1호
Publication Date: 1941년 01월 01일 (January 1, 1941)
Article Title: 風雲下의 新乫坡脫出記, 英領마레-의 産業·人種·風土·風俗 (An Account of Escape from Singapore Under Storm Clouds; The Industry, Races, Climate, and Customs of British Malaya)
Author: 李均茂 (Yi Kyun-mo)
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
An Account of Escape from Singapore Under Storm Clouds; The Industry, Races, Climate, and Customs of British Malaya
By Yi Kyun-mo

The Far East's Volcano

It was August of Showa 13 (1938) when I followed my husband to Singapore in British Malaya. My husband, having graduated from university, went to work as a mining technician, his specialty, at an iron mine (this iron mine is a large-scale open-pit mine) located about 30 miles north of Singapore.

Singapore is a small island separated from the southernmost tip of the Malay Peninsula by the Johor Strait. It not only serves as the nerve center of the British Empire's commercial power in the Far East but is also a key point on the British Empire's lifeline connecting the British homeland via the Mediterranean to India, Australia, New Zealand, and China.<86> It is especially famous as a forward military base in the Far East.

Singapore became a directly administered British colony in 1819, a long history of over a century. Although the area of Singapore Island is only 220 square miles, Britain publicly announced that the construction costs poured into this small island amounted to 16 million pounds. However, it is speculated by many that the actual total cost likely reached 50 million pounds. This is because since the Washington Conference held over two years from 1921 to 1922, that is, since the abrogation of the Anglo-Japanese Alliance, Britain keenly felt the need to establish it as a Far East military base, anticipating today's crisis. At that time, Britain possessed no fleet bases east of Malta in the Mediterranean, and the facilities in Hong Kong, its Far East front line, were insignificant.

Singapore's Military Preparations

Thus,本格的 (pongyŏkchŏk - full-scale) military construction on Singapore Island began in 1934, based on Admiral Jellicoe's proposal in 1920 to strengthen Singapore as a first-class naval base. It was completed four years later in 1937, and as Sir Thomas, the current Governor of the Straits Settlements, declared, the Singapore Fortress was completed as a "den of warships and airplanes." Its fortifications are so strong that it is called the "Gibraltar of the East," and along with Germany's Heligoland, America's Pearl Harbor in Hawaii, and Britain's Gibraltar, it is one of the world's four strongest naval fortresses.

Singapore's greatest pride is that it possesses all the modern facilities necessary for the repair and supply of a large fleet. The naval and air bases are located on the north side, facing the Johor Strait. The world's second-largest dry dock, completed in February of Showa 13 (1938), is located there and is currently repairing the largest capital ships. Additionally, there is a large wharf of 2,200 feet capable of accommodating several battleships, and storage tanks holding 1 million tons of heavy oil, sufficient to sustain the operations of a large fleet for half a year, enabling the permanent stationing of the British fleet in the East.

Besides this, 7,000 army troops are stationed in defensive positions fortifying the entire island,<87> and it is said that more than two air force squadrons are permanently stationed there, equipped with various state-of-the-art aircraft.

Joint Anglo-American Naval Operations

However, Singapore drew even more attention from the world as a sore spot in the Far East when it was reported on November 7th last year that Britain, the United States, and Australia held talks regarding cooperation in the Pacific and reached an agreement in principle. This implies a tacit agreement for the US Navy to use the Singapore naval base, that is, joint Anglo-American use.

Although both British and American authorities deny the joint use issue, the fact is that the United States lacks a major fleet base west of Pearl Harbor in Hawaii. Small-scale naval ports like Guam or Cavite in the Philippines are insufficient to freely maneuver the Pacific Fleet for containing Japan and aiding China (對支援助). The Singapore naval base is demanded as the most suitable base. Consequently, since Britain cannot deploy its fleet power east of the Mediterranean due to the war against Germany and Italy, it is not difficult for anyone to predict that Britain will rely on the United States as the custodian of its Far Eastern assets and allow joint use. Thus, Singapore, placing British Malaya, the Dutch East Indies, Australia, New Zealand, India, and Burma under its defensive sphere, takes a hostile stance towards the Japanese Empire's East Asia Co-Prosperity Sphere. There are even predictions that the day may not be far off when Japan's trade routes might be blockaded. Due to these various issues, Singapore has truly become a powder keg, the Far East's volcano, poised on the brink of a crisis where war could break out any day.

Faced with this imminent crisis, Japanese residents in British Malaya were ordered to evacuate and return to Japan under instructions from the Ministry of Foreign Affairs. As the first step, only the women and children were to return first.

Until just before repatriation, I was not in Singapore but in the company housing at the iron mine, 30 miles away. Therefore, I could not escape with the group that sailed from Singapore. Instead, I escaped Malaya on a steamship exclusively used by the iron mine, and the day of escape was November 1st last year. Of course, I was the only Korean (朝鮮人); all the others were mainland Japanese (內地人).

Finally, I would like to conclude this piece by writing about the industry, races, customs, and climate of British Malaya.<88>

The Races and Industry of British Malaya

The native people (土人) of British Malaya do not belong to the Black race but are a group belonging to the Yellow race. When I first went to Singapore, I had expected the people there to be Black, but my assumption was wrong. I also thought the natives here would have violent and cruel personalities, but that too was different from my prediction; the character of the natives here belongs to the very gentle type. Seeing this, we, being of the same Yellow race, even feel a sense of closeness to them.

In the mining company housing where we lived, almost every household employed Malay native women as maids or cooks. Their dispositions are very gentle, and there were many times when I felt a sense of kinship with them.

As for products, tin and rubber, important raw materials for military supplies, are the major resources here. Even the resource-rich United States lacks tin and rubber, relying on British Malaya. Currently, three-quarters of the total US consumption of tin and three-fifths of rubber come from British Malaya.

Of course, there are other products such as iron, which, along with tin and rubber, are major export items, and Singapore thrives as their export port. Production figures reach 30.4% of the world's total tin production and 36.3% of rubber production.

Malaya's Climate and Native Customs

Malaya experiences summer throughout the year. The language of this country lacks words for "snow" (雪) and "winter." Therefore, not only winter clothes and overcoats but even spring and autumn clothes are unnecessary, truly presenting a scene of perpetual summer (四時長夏). However, this does not mean it is unbearably hot. Surrounded by the sea on three sides, it becomes quite cool at night due to the sea breeze. My own experience proves that people from temperate regions like us can live there without much hardship.

The clothing of the natives here is very simple: they wear something like a vest on top and wrap a cloth (보재기 - likely a sarong) around the bottom. As for their food, it is unclear since when they started eating rice, but like us,<89> they eat rice. Of course, among them, those who attended British schools and have tasted culture wear Western clothes and shoes, but they are an extremely rare minority, and the majority appear uncivilized. They are a people who often do not even know their own age. This might be because they do not know the seasons due to the year-round summer. They originally went barefoot without any concept of footwear; now, thanks to Western civilization, they possess shoes, but almost everyone carries them instead of wearing them.

The Malay natives follow Islam, and one of their beliefs is to hold pigs in high regard (尊敬 - likely meant 'avoid' or 'consider unclean' in Islamic context, a misunderstanding by the author). Therefore, they absolutely do not eat pork, and certainly never butcher them. I also had a Malay maid at home; she followed all other errands well, but if asked to buy pork, she would absolutely refuse that errand. So, British, Americans, or other foreigners in Malaya who want to eat pork have to go out and buy it themselves. Who sells pork then? It is entirely the Chinese (支那人). Here too, the Chinese constitute the largest population group after the natives.

Also, as part of their beliefs, the natives here fast for one month each year. It's from September 1st to October 1st; from sunrise to sunset, they cannot even drink a sip of water, not even swallow their saliva (唾液). However, it seems they eat something at night. The last day after this month passes is their most joyous festival of the year, celebrated with grand feasts, dancing, and magnificent festivities.

Among Malay women, there are no widows. If a husband dies, she might remarry that very day or the next day. She remarries bringing along her children, whether she has ten or twenty. Also, women have more power (勢力) than men. If there is a fight in a family and the couple goes to an Islamic cleric (僧正 - likely a Qadi or religious judge) for judgment, the cleric presides. If the husband hit the wife, even if the wife was clearly in the wrong, the wife wins. If he hits his wife, the husband automatically loses. Women have this much power. <90>

**Summary**

The author, Yi Kyun-mo, recounts her experiences living near Singapore in British Malaya from 1938 and her evacuation in November 1940 amidst rising geopolitical tensions. She describes Singapore's strategic importance as a heavily fortified British military base, the "Gibraltar of the East," and the growing likelihood of conflict involving Japan, Britain, and the US. The latter part details her observations on Malaya's tin and rubber industries, the characteristics of the Malay people (whom she finds gentle and racially similar), and their customs, including clothing, food, Islamic practices like Ramadan fasting and pork avoidance, and marriage/gender dynamics where women seemingly hold more power in disputes. From a Korean colonial history perspective, the article offers a rare female Korean voice from Southeast Asia during this period, documenting the anxieties and realities of evacuation alongside Japanese colonials ("Naejiin") under Japanese government orders, implicitly highlighting the complexities of Korean identity and positioning within the Japanese Empire's expansionist sphere on the eve of the Pacific War. Her observations on race and local customs, while filtered through her own biases and potential misunderstandings (like the reason for pork avoidance), provide insight into interactions between different communities in a colonial setting.

**Named Entities**

李均茂	이균모	Yi Kyun-mo
英領 마레-	영령 마레	British Malaya
新乫坡	신갈포 (or 신가포)	Sin'galp'o (Singapore)
昭和	쇼와	Shōwa era
죠홀-海峽	조홀 해협	Chyohol Haehyŏp (Johor Strait)
大英帝國	대영제국	British Empire
地中海	지중해	Mediterranean Sea
印度	인도	India
濠洲	호주	Hoju (Australia)
뉴질랜드	뉴질랜드	New Zealand
支那	지나	China
香港	홍콩	Hong Kong
와싱톤 會議	와싱톤 회의	Washington Conference
日英同盟	일영동맹	Anglo-Japanese Alliance
말타島	말타도	Malt'a To (Malta)
제리고-提督	제리고 제독	Cherigo Chedok (Admiral Jellicoe)
토마스卿	토마스 경	T'omasŭ Kyŏng (Sir Thomas)
東洋	동양	Orient/East
獨逸	독일	Germany
헬고랜드	헬고랜드	Helgoland
米國	미국	United States
하와이	하와이	Hawai (Hawaii)
眞珠灣	진주만	Chinjuman (Pearl Harbor)
지부랄탈	지부랄탈	Chiburakt'al (Gibraltar)
英	영	Britain
濠	호	Australia
太平洋	태평양	Pacific Ocean
꽘島	괌도	Kkwam To (Guam)
比島	비도	Pido (Philippines)
갸비데	갸비데	Kyabide (Cavite)
伊	이	Italy (Implied, part of 對獨伊戰 - War against Germany & Italy)
蘭印	난인	Nanin (Dutch East Indies)
빨마	빨마	Ppalma (Burma)
日本帝國	일본제국	Japanese Empire
東亞共榮圈	동아공영권	East Asia Co-Prosperity Sphere
日本	일본	Japan
外務省	외무성	Ministry of Foreign Affairs (Japan)
朝鮮人	조선인	Chosŏnin (Korean person)
內地人	내지인	Naejiin (Mainland Japanese person)
土人	토인	T'oin (Native people/Malays)
英人	영인	British person
米國人	미국인	American person
支那人	지나인	Chinese person
이스람敎	이슬람교	Islam
僧正	승정	Sŭngjŏng (Buddhist high priest title, used here incorrectly for Islamic cleric/judge)

**Glossary**

風雲下	풍운하	Under storm clouds (Figurative: amidst turmoil/crisis)
脫出記	탈출기	Account of escape
英領	영령	British territory/dominion
產業	산업	Industry
人種	인종	Race(s)/Ethnic group(s)
風土	풍토	Natural features; climate and topography
風俗	풍속	Customs; manners
男便	남편	Husband (Older spelling/Hanja usage)
專攻	전공	Major field of study; specialty
鑛山技手	광산기수	Mining technician/engineer
哩許	이허	Approximately X miles (哩 is mile, 許 suggests approximation)
露天鑛	노천광	Open-pit mine
就職	취직	Getting a job; employment
最南端	최남단	Southernmost tip
隔한	격한	Separated by; across
小島	소도	Small island
神經中樞	신경중추	Nerve center
役割	역할	Role; part
生命線	생명선	Lifeline
據點	거점	Base; stronghold
軍事的	군사적	Military; related to military affairs
前進基地	전진기지	Forward base; advance base
直轄植民地	직할식민지	Directly administered colony
面績	면적	Area (Older spelling for 면적)
建設費	건설비	Construction cost
폰드	폰드	Pound (currency)
公表	공표	Public announcement
豫算	예산	Estimate; budget (here likely means 'anticipate'/'calculate')
痛感	통감	Keenly feel; keenly realize
根據地	근거지	Base; foothold
施設	시설	Facilities; installations (also verb: to install/establish)
當時	당시	At that time
以東	이동	East of
艦隊	함대	Fleet (naval)
本格的	본격적	Full-scale; 본격적인
工事	공사	Construction work
提案	제안	Proposal; suggestion
依하여	의하여	According to; based on (Older grammar form for -에 의하여)
强化	강화	Strengthening; reinforcement
總督	총독	Governor-General
揚言	양언	Declare; proclaim
要塞	요새	Fortress; stronghold
稱呼	칭호	Title; designation; name (Used for 'called'/'named')
堅固	견고	Solid; strong; firm
具備	구비	To be fully equipped with; possess
海軍基地	해군기지	Naval base
空軍基地	공군기지	Air base
北便	북편	North side (Older form for 북쪽 편)
乾독크	건도크	Dry dock
備置	비치	To furnish; equip; install
主力鑑	주력함	Capital ship; main battleship (鑑 is an older character for 艦 'warship')
戰鑑	전함	Battleship (鑑 is an older character for 艦 'warship')
埠頭	부두	Wharf; pier
繼續	계속	Continuation; continuously
貯藏	저장	Storage
탕크	탱크	Tank
常駐	상주	Permanent stationing; resident
可能케 하다	가능케 하다	To make possible; enable (케 하다 is a causative form)
防禦陣	방어진	Defensive position/line
中隊	중대	Company (military unit); squadron (air force)
配置	배치	Deployment; arrangement; stationing
腫物	종물	Swelling; tumor (Figurative: sore spot, source of trouble)
注目	주목	Attention; notice
協力	협력	Cooperation
會談	회담	Talks; conference
原則的	원칙적	In principle
黙約	묵약	Tacit agreement; silent understanding
當局	당국	The authorities concerned
否定	부정	Denial; negation
以西	이서	West of
牽制	견제	Check; restraint; containment
支援助	지원조	Aid; support; assistance (助 added for emphasis)
橫行	횡행	To stride about freely; swagger; run rampant
適合	적합	Suitable; appropriate
依賴	의뢰	To rely on; entrust
財産	재산	Property; assets
管理者	관리자	Manager; administrator; custodian
敵對態度	적대태도	Hostile attitude
不遠하여선	불원하여선	Before long; in the near future (不遠하다 = not far)
貿易路線	무역노선	Trade route
封鎖	봉쇄	Blockade
豫測	예측	Prediction; forecast
危機	위기	Crisis
切迫	절박	Imminent; pressing; urgent
直面	직면	To face directly; confront
在駐	재주	Resident; stationed in
訓令	훈령	Directive; instruction
依해	의해	According to; due to (Abbreviated form of 의하여)
退去歸國	퇴거귀국	Evacuation and repatriation
婦女子	부녀자	Women and children
出帆	출범	Setting sail; departure (of a ship)
專用	전용	For exclusive use
汽船	기선	Steamship
勿論	물론	Of course; needless to say
同胞	동포	Compatriot; fellow countryman/countrywoman
土人	토인	Native people; indigenous people (Can be derogatory, reflects period usage)
屬하지 않고	속하지 않고	Does not belong to
豫想	예상	Expectation; anticipation
想像	상상	Imagination; assumption
어그러지다	어그러지다	To go wrong; be disrupted; fail
暴惡	포악	Fierce; cruel; atrocious
殘忍性	잔인성	Cruelty; brutality
亦是	역시	Also; too; as expected
溫柔	온유	Gentle; meek; mild
親密感	친밀감	Feeling of closeness; intimacy
擧皆	거개	Mostly; generally; almost all
下女	하녀	Maidservant
쿡	쿡	Cook (Loanword)
性稟	성품	Nature; disposition; temperament
柔順	유순	Gentle; docile; meek
原料	원료	Raw material
重要	중요	Important
錫	석	Tin
고무	고무	Rubber
資源	자원	Resources
豊富	풍부	Abundant; rich
缺하다	결하다	To lack; be deficient in
依存	의존	Dependence; reliance
現狀	현상	Current situation; status quo
輸出	수출	Export
繁榮	번영	Prosperity; flourishing
生産高	생산고	Production volume; output
達하다	달하다	To reach; amount to
四時	사시	Four seasons (Here means 'all year round')
言語	언어	Language
雪	설	Snow
外套	외투	Overcoat
無論	무론	Needless to say; of course (Same as 勿論)
春秋服	춘추복	Spring and autumn clothing
必要	필요	Necessary; necessity
呈하다	정하다	To present; show; display (Literary)
몹시	몹시	Very; extremely
因하여	인하여	Due to; because of
괴롬	괴롬	Hardship; suffering (Older spelling of 괴로움)
體驗	체험	Personal experience
證明	증명	Proof; verification
衣服	의복	Clothing; garments
조끼	조끼	Vest
아래	아래	Below; lower part
보재기	보자기	Wrapping cloth (Likely refers to a sarong here)
簡單	간단	Simple
飮食	음식	Food; drink
文化	문화	Culture
洋服	양복	Western-style clothes; suit
少數	소수	Small number; minority
大部分	대부분	Most; majority
未開	미개	Uncivilized; primitive
年齡	연령	Age (of a person)
節期	절기	Season; time of year
文明	문명	Civilization
惠澤	혜택	Benefit; grace
信奉	신봉	Belief; faith (in a religion)
信條	신조	Creed; belief; principle
尊敬	존경	Respect; reverence (Misapplied to pigs in Islamic context, likely meant 'avoidance' or 'taboo')
絶對로	절대로	Absolutely
其他	기타	Other; the rest
主人	주인	Master; owner; host
손수	손수	Personally; with one's own hands
禁食	금식	Fasting
斷行	단행	To carry out resolutely
唾液	타액	Saliva
넘기다	넘기다	To swallow; pass over
名節	명절	Traditional holiday; festival
盛大	성대	Grand; magnificent
채리다	차리다	To prepare (food); set (a table) (채리다 is dialectal/older form of 차리다)
