Magazine Title: 동광 제2호
Publication Date: 1926-06-01
Article Title: 쾌걸 安龍福(結束) (울릉도의 외교분쟁) (The Gallant An Yongbok (Conclusion) (Ullŭngdo's Diplomatic Dispute))
Author: 李允宰
Article Type: 논설 (Editorial/Opinion Piece)

The Gallant An Yongbok
						Yi Yunjae

Finding Companions in Ulsan and Returning to Ullŭngdo
Yongbok could not bear the pent-up indignation and injustice in his heart and could only lament by himself. "Ah, how can there be justice in the world? Those crafty fellows blatantly try to seize another's land, yet far from protesting this, the one who strove to find them ends up being punished. Ah, I am a Chosŏn man. I will live for Chosŏn and die for Chosŏn. Even if my body is crushed and my bones wear away to nothing, my initial resolve will not change one bit. Now, legal principles are useless, and discussion is useless. I swear I will fight them to the death using only brute force." He made this firm resolution. However, lamenting that there was not a single person who shared his will, he wandered here and there like a man utterly disheartened.

Wandering along the Ulsan coast, one day he met five merchant monks and four boatmen. While talking about various things, he learned of their intention to seek profit and thought, "Aha! Taking these people with me will also be a help."
"Have you fellows been to Ullŭngdo?"
"No, we haven't been there yet."
"Ha! You say you want to trade and make a profit, yet you haven't been to Ullŭngdo?"
"Is there any profit to be made on Ullŭngdo?"
"You don't know yet? What is more profitable in the world than harvesting seaweed (海葉)?"
"Ah, then how can we manage to go to Ullŭngdo?"
"If you are determined to go, I shall guide you (指路)."
As a result of this discussion, the ten men boarded a boat together and headed for Ullŭngdo.

Driving Away Japanese Ships to Iki and Hōki
After floating on the sea for three days and nights, they reached Ullŭngdo. Already, three Chosŏn merchant ships had arrived and were engaged in fishing and logging bamboo. Just then, one Japanese ship came and approached. Seeing it, Yongbok's anger flared up. He told his companions, "Those bastards always come here and snatch away all the profits we should have. If we don't first stop them from setting foot <18> here, everything we hoped for will come to nothing." Hearing his words, everyone became equally indignant. Yongbok ordered the men to tie up the Japanese boatmen and rushed forward.
"You bastards! Why do you constantly violate our border (犯境)?"
The Japanese trembled and said,
"No, that's not it. We were fishing at Songdo when we were unexpectedly pushed here by wind and waves. We had no intention of deliberately violating the border."
Yongbok grew angrier.
"Look at those crazy fools. Isn't Songdo the same as Usan (芋山)? Didn't you know that Usan is originally our country's territory? There's no choice but to kill these bastards to prevent future trouble."
The Japanese boatmen prostrated themselves on the ground.
"Spare us! Spare us! From now on, we will never violate Your Excellency's country's border."
Yongbok raised a stick, smashed the pots and various tools on the boat, and shouted, "If you don't leave quickly, I'll kill you all!" The boatmen, greatly terrified (恐怯), crawled away meekly, hastily boarded their boat, and fled in panic. Yongbok thought and thought, unable to bear his anger. Regretting having let them go alive, he discussed it with his companions and rushed towards Usan Island at dawn the next day. Seeing Yongbok coming, the Japanese boatmen were terrified and quickly hoisted their sails and fled. Yongbok chased after them, intending to catch them, reaching Iki Island (壹岐島). There, he thought again, "If I leave things as they are, we are likely to lose our Ullŭngdo no matter what. I have no choice but to negotiate once more," and headed for Hōki Province (伯耆州).
An Yongbok's Second Eastern Expedition Map

The Crime of the Tsushima Lord Cannot Be Pardoned
Yongbok arrived in Hōki Province and met the Lord of the domain <19>. The Lord welcomed him warmly and treated him with the courtesy due to a state guest. Yongbok thought to himself, "If I speak without any official authority, it won't have much effect. It's better to use temporary expediency (臨時 權度) in this situation, even if I might be punished later by the state for abuse of authority." So he falsely claimed to be the Tax Collector of Ullŭngdo (울릉도 감세관) and sternly protested to the Lord, explaining the circumstances from beginning to end. The Lord acknowledged that everything was his country's fault and apologized. Yongbok then attacked the crimes of the Lord of Tsushima (對馬島主), saying,
"How can the intermediary manipulation and fraudulent deceit of the Lord of Tsushima be seen only in the case of Ullŭngdo? There is much deception even in the rice and cloth (米幣) our country sends each year. Originally, 50 *du* of rice make 1 *hoku*, but the Lord of Tsushima makes it 7 *du*, reducing the measure (*hokryang*). Also, 35 *ch'ŏk* of cloth make 1 *p'il*, but the Lord of Tsushima makes it 20 *ch'ŏk*, reducing the length (*p'ilch'ŏk*). One bundle of paper (紙) is very long, but he shortens it and makes three bundles out of it. How would the Shogun (關伯) know about this? I will now report this fact directly to the Shogun and denounce (覈彈) his crime of deception (欺誑)." He ordered his companions to prepare an official document to send to the Edo Shogunate (江戶府).
The father of the Lord of Tsushima, who was in Edo, heard this and was greatly alarmed. He visited the Lord of Hōki and earnestly begged, "Indeed, if such facts reach the Shogunate (幕府), it will be a huge problem. If the document arrives in the morning, my son will be dead by evening. What can be done?" The Hōki Lord replied,
"Well, there's nothing I can do. This matter arose because of the Ullŭngdo issue. If it weren't for that, I might ask An Yongbok for forgiveness once."
"I will immediately write to my son and tell him not to encroach on Ullŭngdo. If you can somehow ensure things remain peaceful, I will truly be indebted to you beyond the grave."
The Lord of Hōki quickly returned and spoke to Yongbok.
"Please do not report the misdeeds of the Lord of Tsushima to the Shogunate. I guarantee that such things will absolutely not happen from now on. Also, if you return to your country now, I will guarantee that Ullŭngdo is definitively your country's territory. Even if a dispute (爭端) arises concerning Ullŭngdo in the future, I will take responsibility for it, so do not worry at all."
Yongbok, unable to refuse the earnest plea, said,
"Then I shall trust only you, Your Lordship, and return. All responsibility arising from this matter hereafter shall be borne by you, Your Lordship." He then departed from there and returned to his country, arriving in Yangyang in early August.

Recovering the National Territory, the Reward is Severe Punishment
The Lord of Tsushima now realized (覺破) that he could no longer engage in deception. Thus, he sent an official letter to the Tongnae Prefecture (東萊府), expressing profound apologies and stating his intention never again to dare send people to Ullŭngdo. He also touched upon Yongbok's transgression (犯越), implicitly expressing regret. The Prefect of Tongnae reported this fact to the Governor of Kyŏngsang, arrested Yongbok and his companions, and sent them forth. The Governor then reported to the royal court (조정) via memorial (狀啓) and transported Yongbok and the others under arrest (압송). The court entrusted Yongbok and the others to the Board of Punishments (형조) for severe interrogation (고문). As the testimonies (供述) of the various individuals matched, the opinion of the royal court (朝議) was: "An Yongbok and his group acted arbitrarily and violated the border (擅自犯越), becoming the root cause for potentially creating trouble (釁端) with a foreign country; their crime is great. They should rightfully be sentenced to capital punishment (극형)." (Continued on page 51) <20>
The Gallant An Yongbok
It was decided to sentence them to execution by beheading (참형).
Yongbok, having originally disregarded his personal comfort (안락) and being prepared to sacrifice himself (희생) for national affairs, showed no sign of fear even at the sentence of execution. He merely thought this in his heart: "My death is not regrettable at all. However, I worry whether those fickle and unreliable petty rascals (小醜輩) might perhaps invade our Ullŭngdo again." He just waited for the day of his death.
Just as Yongbok's group was about to be executed (行刑), the Yŏngdonnyŏng (領敦寧, honorary title) Yi Chiwan raised an objection: "Although Yongbok has committed a crime, the reason Tsushima Island (馬島) originally engaged in deceit was that our court (我廷) could not communicate directly with Edo (江戶). Now, through him, we have learned that there is another way; therefore, killing Yongbok is not right." Furthermore, Yŏngjungch'u (領中樞, head of the Office of Royal Decrees) Nam Kuman argued: "If not for Yongbok, the deception (欺誑) of the Lord of Tsushima could not have been exposed, and the Ullŭngdo incident seems likely to be settled satisfactorily (妥帖) through this opportunity. We should first make the Tsushima Lord confess (自服), and then Yongbok's crime can be dealt with slowly without being too late. If we execute Yongbok first and it becomes something the Tsushima Lord can use for his deceitful schemes (譎計), if he uses it as a pretext to instead act high-handedly, what will we use to counter him? Isn't this a blunder (失策)?" Because of this, the royal court debated again and decided to resolve the Ullŭngdo issue first before executing Yongbok.
The court then reprimanded (힐책) the Lord of Tsushima, and the Lord indeed confessed (自服). An official letter arrived stating that the blame was returned to the Lord of Tsushima, confirming Ullŭngdo as Chosŏn's territory (領地) henceforth, and guaranteeing that border violations (侵越) by his countrymen would be strictly forbidden, ensuring such abuses would cease. The Ullŭngdo incident, which had been an issue for years (積年), was thus resolved amicably. However, for Yongbok and his party, their death sentence was reduced by one degree to exile (유배).
Alas! An Yongbok, the man credited with recovering Ullŭngdo, who traversed (跋涉) ten thousand *ri* over land and sea through the efforts of ten thousand deaths (萬死), could not become a free man but finished his life confined on a desolate, isolated island (孤島). Ah, in this world, how many people like An Yongbok truly exist? (The End) <51>

**Summary**

This article recounts the second (1696) journey of An Yongbok, a Chosŏn fisherman, to Japan to protest Japanese presence on Ullŭngdo. Despite lacking official backing, he boldly confronted Japanese officials, including the Lord of Hōki Province, falsely claiming official status. He exposed the deceptive practices of the Tsushima Lord regarding Ullŭngdo and tribute, ultimately securing a guarantee from the Hōki Lord (implicitly backed by the Shogunate) recognizing Ullŭngdo as Chosŏn territory and promising to prevent further incursions. Upon returning, however, the Chosŏn court, while using his success to formally resolve the dispute with Japan, punished Yongbok for acting without authorization, sentencing him to exile where he died.

From the perspective of Korean colonial history (published 1926), this article is significant as a piece of nationalist historical writing. It celebrates a commoner hero who stood up to Japanese encroachment and defended Korean sovereignty, implicitly critiquing both Japanese aggression and the perceived weakness or injustice of the historical Korean ruling class (the court). Publishing such a story during Japanese rule served to bolster Korean national pride and historical consciousness regarding territorial integrity, particularly concerning Ullŭngdo (and by extension, Dokdo, often historically linked as Usan).

**Named Entities**

安龍福	안용복	An Yongbok
李允宰	이윤재	Yi Yunjae
蔚山	울산	Ulsan
울릉도	울릉도	Ullŭngdo
조선	조선	Chosŏn
倭船	왜선	Japanese Ship (Wae ship)
松島	송도	Songdo (Japanese name for Ullŭngdo/Usan)
芋山	우산	Usan
壹岐島	일기도	Ilkido / Iki Island
伯耆州	백기주	Paekkiju / Hōki Province
對馬島主	대마도주	Taemadoju / Lord of Tsushima
關伯	관백	Kwanbaek / Kampaku (Shogun)
江戶府	강호부	Kanghobu / Edo Shogunate
東萊府	동래부	Tongnaebu / Tongnae Prefecture
경상감사	경상감사	Kyŏngsang Kamsa / Governor of Kyŏngsang
형조	형조	Hyŏngjo / Board of Punishments
李趾完	이치완	Yi Chiwan
領敦寧	영돈녕	Yŏngdonnyŏng (Honorary Official Title)
南九萬	남구만	Nam Kuman
領中樞	영중추	Yŏngjungch'u (Official Title)
馬島	마도	Mado / Tsushima Island
襄陽	양양	Yangyang

**Glossary**

쾌걸	쾌걸	Gallant figure, great hero
서린	서리다	(Emotion) pent-up, accumulated
분한	분하다	Indignant, resentful
공리	공리	Public justice, reason
요세배	요사스러운 무리	Crafty/wicked fellows (archaic)
항의	항의	Protest
형벌	형벌	Punishment
결심	결심	Resolution, determination
완력	완력	Brute force, physical strength
맹서	맹세	Oath, vow
방랑	방랑	Wandering, vagrancy
흥리	흥리	Seeking profit (Hanja term)
일조	일조	Help, assistance (Hanja term)
지로	지로	Guidance, showing the way (Hanja term)
아	타다	To ride, to board (older spelling)
어채	어채	Fishing (Hanja term)
작죽	작죽	Logging bamboo (Hanja term)
분기	분기	Indignation, anger
접족	접족	Setting foot (Hanja term)
범경	범경	Violating the border (Hanja term)
일불어	일부러	Intentionally, deliberately (older form/spelling)
후환	후환	Future trouble, negative consequences
공겁	공겁	Fear, terror (Hanja term)
교섭	교섭	Negotiation
감세관	감세관	Tax collector (specifically for Ullŭngdo, possibly self-proclaimed title)
임시 권도	임시 권도	Temporary measure, expediency (Hanja term)
항변	항변	To protest strongly, argue back
농간	농간	Trickery, manipulation, scheme
미폐	미폐	Rice and cloth (often as tribute)
기광	기광	Deception, fraud (Hanja term)
핵탄	핵탄	To impeach, denounce (Hanja term)
막부	막부	Shogunate (Bakufu)
애걸	애걸	Begging, pleading
보증	보증	Guarantee, assurance
쟁단	쟁단	Dispute, quarrel (Hanja term)
각파	각파	To realize, grasp, understand (Hanja term)
범월	범월	To trespass, violate a border (Hanja term)
상계	상계	To report to a superior official/office (Hanja term)
압송	압송	To transport under arrest
고문	고문	Interrogation (sometimes implying torture)
공술	공술	Testimony, deposition
조의	조의	Court council's opinion, court discussion
천자범월	천자범월	Acting arbitrarily and violating the border (Hanja phrase)
흔단	흔단	Cause for trouble/dispute (Hanja term)
극형	극형	Capital punishment
참형	참형	Execution by beheading
안락	안락	Comfort, ease
희생	희생	Sacrifice
반복무상	반복무상	Fickle, unreliable, capricious (Hanja idiom)
소추배	소추배	Petty rascals, lowly fellows (derogatory)
침월	침월	Invasion, trespass (Hanja term)
행형	행형	To carry out a sentence, execution
영돈녕	영돈녕	Honorary high government post title (Joseon Dynasty)
영중추	영중추	Head of the Jungchuwon (Office of Royal Decrees - Joseon Dynasty)
타첩	타첩	Settled satisfactorily/amicably (Hanja term)
자복	자복	Confession (Hanja term)
힐책	힐책	Reprimand, rebuke (Hanja term)
영지	영지	Territory (Hanja term)
만사	만사	Ten thousand deaths (idiom for great hardship/risk)
발섭	발섭	To traverse difficult terrain, travel over (Hanja term)
회수	회수	Recovery, retrieval
고도	고도	Isolated island
유배	유배	Exile (as punishment)
듯고	듣고	To hear, to listen (older spelling)
오아서	와서	Come and... (older spelling)
하야	하여	Do and... (older spelling)
여긔	여기	Here (older spelling)
거긔	거기	There (older spelling)


---------------------------


잡지명	동광 제2호
발행일	1926년 06월 01일
기사제목	쾌걸 安龍福(結束) (울릉도의 외교분쟁)
필자	李允宰
기사형태	논설

쾌걸 安龍福
						李允宰
蔚山에서 동행 얻어 다시 울릉도로
龍福은 가슴속에 서린 분한과 억울을 참을래야 참을 수 없이 혼자 스스로 한탄만 할 뿐이었다. 『아아 세상에 어찌 公理가 있다 하리오. 저 妖細輩가 멀정하게 남의 땅을 빼았으려 하건마는 이를 항의하려긴 고사하고 돌이혀 그를 찾기로 애쓰는 자가 형벌를 받고 말았는구나. 아아 나는 조선사람이다. 살아도 조선을 위해 살며 죽어도 조선을 위해 죽을 것이다. 몸이 부수어지고 뼈가 닳아 없어지는 한이 있더라도 나의 최초의 결심은 조곰이라도 변할 리가 없다. 인재는 法理도 쓸대 없고 의논도 쓸대 없다. 다만 한 완력만으로써 그들하고 싸흠하여 죽기를 맹서하리라.』 이와 같이 든든한 결심을 하였다. 그러나 자기와 뜻같은 자 한 사람도 없음을 한탄하고 완연히 실의한 사람처럼 이리저리 방랑하고 돌아다니었을 뿐이다.
蔚山해안으로 돌아다니다가 하로는 商僧 5인과 梢工 4인을 만나아서 서로 무슨 이야기를 하다가 그들이 興利하겠다는 의사가짐을 알고 옳다구나 이 사람들을 더리고 함께 가는 것이 또한 일조가 되리라 생각하고
『그대들이 울릉도에를 가아보았는가.』
『아니 우리는 아직 거긔를 가아본 일이 없어.』
『하 그대들이 장사하여 이익을 보겠다면서 여태 울릉도에를 못 가아보았단 말인가.』
『울릉도에 무슨 이익 생길 일이 있을가.』
『아직 모르는구나. 세상에 海葉를 채취하는 대서 더 이익되는 것이 무엇이 있는가.』
『아아 그러면 우리가 어찌하여 울릉도에 한번 가 볼 수 있을가.』
『만일 꼭 가기로 작정하면 내 그대들을 위하여 指路를 하여 주리라.』
이렇게 서로 의론한 결과 10인이 함께 배에 아 울릉도로 향하여 가다.

倭船을 驅逐하여 壹岐로 伯耆에
바다에 뜨어 3주야를 지나아 울릉도에 닿으니 발서 우리나라 상선 셋 척이 오아서 어채와 斫竹에 종사하고 있었다. 마츰 이 때에 倭船 1척이 오아 대인다. 龍福이 그를 보고 분기가 충천하여 동행한 여러 사람더러 저놈들이 항상 여긔 오아서 우리가 가질 이익을 모조히 빼았아 가니 먼저 저놈들을 여긔에 接足을 못하게 하지＜18＞ 아니하면 우리의 바라던 거이 다 허사가 되고 말 것이라 하니 여러 사람들이 다 그 말을 듯고 같이 분기를 내었다. 龍福은 여러 사람들에게 그 船人들을 다 묶으라하고 앞으로 달리어 들어
『이놈들아 너이들은 무슨 까닭으로 항상 犯境을 하느냐.』
日人들은 불불 떨며
『그런게 아니라 우리가 松島에서 어채하옵다가 우연히 풍랑에 밀치어 예까지 온게 된 것이요 일불어 犯境하자는 뜻은 아님니다.』
龍福은 더욱 성내어
『저런 미친 놈들 보아. 松島가 곳 芋山이 아니냐. 芋山이 본대 우리나라 경계인 줄 몰ㄹ았더냐. 별 수 없이 저놈들을 다 죽이어 버리어야 다시는 후환이 없겠지.』
日船人들이 땅에 엎대어
『살리어 줍소사. 살리어 줍소사. 從今이후로는 결코 귀국의 경계를 범하지 않겠음니다.』
龍福은 막대를 들어 배에 있는 가마와 여러 긔구를 따리어 부수고 『빨리 가지 아니하면 다 죽이겠다』하니 船人들이 크게 恐怯하여 설설 긔어 급히 배에 아 황망히 달아나았다. 龍福은 생각하고 생각해도 분해 못견대었다. 그놈들 그대로 살리어 보낸 것을 후회하여 동행자들과 의론하고 익일 첫 새벽에 芋山島로 달리어 가니 日船人들이 龍福의 오는 것을 보고 혼이 나아서 빨리 돗을 달고 달아난다. 龍福은 그놈들을 잡으려고 뒤를 쫓아 가아 壹岐島까지 이르었다. 거긔서 다시 생각하되 『이대로 두엇다가는 아무리 하여도 우리 울릉을 잃어버리기 쉽으리니 한 번 더 교섭할 수 밖에 없다 하고 伯耆州로 향하여 가다.
안용복 제2회 東征圖

對馬島主의 죄는 容貸할 수 없다
龍福은 伯耆州에 이르어 島主를 보니＜19＞ 島主가 款曲한 뜻으로 환영하고 국빈으로 예우한다. 龍福이 가만히 생각하기를 『내가 아무 직권이 없이 말하면 별로 효력이 생기지 아니할 터이니 차라리 이 뒤에 나라로서 직권 남용의 죄를 받을 망정  이런 경우에 임시 權度를 쓰지 아니할 수 없다』하고 거짖으로 자기가 울릉도 감세관이라 일캇고 島主에게 전후의 사정을 낯낯이 들어 엄중히 항변하니 島主가 모든 것이 다 자기나라의 잘못임을 말하여 사과한다. 龍福은 또 對馬島主의 죄행을 공격하여 이르되
