**Header Section:**
Magazine Title: 동광 제2호
Publication Date: 1926년 06월 01일
Article Title: 「나」란 무엇일가(전호 계속) (What is "I"? (Continued from last issue))
Author: 철학박사 白性郁 (Philosophy PhD Paek Sŏnguk)
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
9
From this, if we take another step forward and seek a somewhat different example, we find a method of self-realization where the means were extremely base, ultimately failing to realize the self, instead leading it further astray, and severely, into the fate of destruction, turning barbaric. Rather than seeking such examples from distant peoples, examining the case of the Peninsula tribe (半島族), that is, the Chusin tribe (주신 族), might perhaps be truly meaningful for our future path. Although the Chusin people themselves indeed possessed a long history and a great culture, in recent ancient times, they lost their spiritual guides, resulting in the adoption of a truly base course. In such circumstances, the Chusin people admired the cultures of the neighboring Tang (唐) and Song (宋) dynasties. A reasonably intelligent people, seeing the appeal of Tang and Song culture, would have studied the origins (所從來) from which Tang and Song culture arose, but instead of doing this, they became intoxicated and bewitched by Tang and Song culture. While doing so, they developed the mistaken idea that their own culture was base. Therefore, they ultimately sought to imitate Tang and Song culture.

10
Any cultured people, regardless of ethnicity, possess self-esteem (자존심); self-esteem is a wondrous thing born from revering the great figures manifested in their history. Thus, the Han Chinese (漢人), with their strong self-esteem, naturally praise their historical great figures, which undeniably forms the central axis of Tang and Song culture. Witnessing this, the Chusin people, lacking understanding of their own historical great figures, sought instead to praise the historical great figures of the Han Chinese. To achieve this, they vigorously propagated it among themselves, simultaneously disseminating it to the conservative peasantry, fabricating utterly groundless place names and mountain names, thereby destroying the sanctity of the Chusin people while making the veneration of Han Chinese great figures seem like something not foreign. Examples include Mount Suyang (首陽山) in Hwanghae Province (黃海道), P'yŏngyang (平壤) and the Tomb of Kija (箕子陵) in P'yŏngyang, continuing to revise everything. As if that weren't enough, starting from the capital, Kwanwang Shrines (關王廟) and Confucian Shrines (孔子廟) were established in every nook and cranny. Naturally, it is abundantly clear that many monuments venerating the Chusin people's great figures met the fate of destruction in this process. Therefore, even today, among the innocent simpletons in the countryside, one hears discussions like "Paegi (伯夷) and Sukche (叔齊) were from Hwanghae Province," or "Lord Kwan'gong (關公님) was from Kyŏngsang Province (慶尙道)." While such things are undeniably the work of politicians, it cannot be said that the Chusin people were entirely <34> without susceptibility to this. Though this is, of course, the force of long ages, the fact that it reached such a complete state is due to the custom among the Chusin people—where scholars who dominated the spiritual world in East Asia historically saw little distinction between themselves and politicians, and especially sought scholarship to become politicians! This was the cause that made it easy to realize the ideals, fantasies, or momentarily ill-considered thoughts of those not yet shed of their scholarly habits. Ultimately, as long as it aligned with the expedient glory of politicians seeking temporary ease, even such things became possible.

11
As mentioned before, it is only in relation to others that a person comes to know the self. To express oneself, one's existence has been indicated by a specific noun; this is the surname and given name (성명) we see today. Since time immemorial, humans have presented themselves using two types of names: one, the common, provisional noun, "I" (나); the other, the proper noun, that is, the name unique to an individual. This we call the surname and given name. Therefore, everyone possesses <35> a surname and given name, thereby expressing their instinct. Looking at human history, these surnames and given names often show traces of originating from respective occupations. For example, among the Han Chinese too, the Cang (倉氏) and Ku (庫氏) clans are said to be descendants of granary and storehouse officials (倉庫吏之後世). Such occupational names, unless humanity was so primitive as to lack language, would most clearly have been expressed in their own mother tongue. For instance, looking at European surnames, Schmidt means blacksmith (銕工), and Muller means miller (방아쟁이); these naturally originated from their ancestors' occupations and were simultaneously expressed in the language their ancestors used, making it easy to know even today that they possessed a mother tongue. It is a fact that the Chusin people, like many other peoples, had surnames and names, and it is also a fact that if they existed, they would have originated from their ancestral occupations or symbols. Thus, it is most evident that they would have been expressed in the mother tongue they used. However, looking at the surnames and names of the Chusin people today, contrary to the above principle, they are in Chinese characters (한문), not their own mother tongue, like "Mr. Yi" (李哥) or "Mr. Kim" (金哥), such that the Chusin people themselves do not fully feel the meaning of the characters, and consequently, the Chusin people appear so barbaric as to not even possess a mother tongue. Then, did the Chusin people truly import Han culture in a state where they lacked both language and occupation? And are phrases like "half-a-myriad-year history" or "standing equal with Yao" (與堯並立) actually utterly groundless talk? Or are the Chusin people themselves actually Han Chinese, only now starting to call themselves the Chusin people? Such questions truly leave us, the descendants of the Chusin people, unable to escape wandering in a thick fog (오리무중).

12
No. The Chusin people are truly a people who possessed an independent history over long ages and manifested their unique characteristics. It is unnecessary to recount anew now that their origin lies in the North Manchurian plains, and as a branch of the developed Tungus (퉁구쓰), they conquered the peninsula's aboriginal inhabitants and established a firm foundation in this land. Just as their history was independent, their language grew independently. This is not something first claimed by us, the descendants of the Chusin people; in fact, from a scholarly standpoint, there is no one who can deny it.
Why, then, have the surnames, history, and clothing systems of the Chusin people become unclear today? The answer, though rather shameful, is, as mentioned before, that those who held the responsibility of leading (先導) the Chusin people became intoxicated with Tang and Song culture. Consequently, while venerating Han Chinese great figures, they had no time to understand their own historical great figures. Due to this lack of understanding, it eventually turned into an attitude of rejection. When this reached a degree of madness, they discarded their own native culture in favor of adopting that of the Han Chinese, starting from the educational system (學制) and extending to customs and habits. For example, they translated native surnames into Chinese characters like "Mr. Yi" (李哥) or "Mr. Kim" (金哥), adopted Han Chinese clothing styles, centered everything around the Han Chinese, and ultimately strived to become Han Chinese. To propagate this, they taught Han Chinese history to their children to deepen the foundation, and followed up with the Analects and Mencius, considered Han Chinese political scholarship, extending even to the Book of Poetry (詩), Book of Documents (書), and up to the Book of Changes (易). (Continued on p. 52) <36>

What is "I"?

How much suffering the Chusin people must have endured learning the utterly groundless cosmology of the Han Chinese! Even if implementing this had proceeded smoothly, it would not have been without flaws, but driven by political power, dissenters were killed over long ages. Amidst the inconvenience of transportation, they could not see the lifestyles of others; the only ones they saw were Han Chinese, while others were in a state of lower culture at the time. Where could they find an opportunity for introspection? Ultimately, this incomplete, monkey-like imitation (猿猴的 모방) effortlessly rendered the culture of the long-historied Chusin people into nothingness (烏有).

13
As relentless time progressed, even the brilliant cultures of Tang and Song eventually came to groan under the oppression (拑制) of other ethnicities; this is what is called the "Disorder of the Five Barbarians" (五胡亂華). Hearing and seeing this, the so-called thinkers and poets on the peninsula lamented and sighed (噫噓탄식) with indignation for their idealized motherland—the spectacle is still vivid in my eyes. <53>
However, they did not wish to repent, not even in their dreams. Looking back now, if they had possessed considerable military strength, they would likely have offered even their precious lives for the Han Chinese, further developing their own foolishness (愚癡). But heaven intervened, and they did not possess such capability. This tragic state of the Chusin tribe saw the clouds of doubt lift with the establishment of the Ming (明) empire; the scene at that time was truly spectacular. The joy of the real Han Chinese was, of course, natural, but the ecstatic frenzy of the fake Han Chinese was truly laughable.
Shortly thereafter, when the Ming empire was conquered by the Manchu Qing (滿淸)—who could be called a part of the Chusin people—an unparalleled foolish drama (癡劇) unfolded again on the peninsula. For example, they called their kin, the Manchu Qing, "barbarians" (胡), mourned (吊) the conquest of the Southern Ming (남인 明) by these "barbarians," ridiculed the Manchu Qing's queue hairstyle (변발)—which faithfully implemented the legacy of Tan'gun (단군의 遺制)—as a barbaric custom, and, to pray for the restoration of the Ming, which had fallen in the early Chongzhen (崇禎) era, the literati class on the peninsula took to writing "60 years after the Chongzhen accession" whenever recording dates. How detestable and foolish! What if someone with discerning eyes (具眼者) had seen this?
How arrogant and rude must the politicians (위정가) on the peninsula, holding <54> such notions, have been towards the Manchu Qing? However, the Manchu Qing, the main branch of the Tungus with a clear historical consciousness, showed excessive favor towards the peninsula out of love for their kin (동족). The comical anecdotes buried within this still refresh our memory. If only they had guessed even half of the Manchu Qing's intentions, how fortunate it would have been! And how comforting (위안되랴마는) it would have been for the Manchu Qing, who treated them with the courtesy due to relatives! But in reality, contrary to this, the peninsula's politicians merely interpreted the Manchu Qing's goodwill as stemming solely from fear (畏懼) of their own strength and admiration (숭앙함) for their civilization and culture. Ultimately, the Chusin people on the peninsula lived quite comfortably in their delusion.

14
Thus, when I was in China years ago, I often heard such remarks from Han Chinese when interacting with them: "Your name sounds exactly like a Chinese person's," or "How did you manage to study so much Chinese literature (중국문)?" Heard casually, these words might not seem very significant, but upon further reflection, firstly, they suspected that our surnames were in Chinese characters because they had some inkling of our culture. However, <55> though this is somewhat base, there is room for forgiveness; perhaps it wouldn't be unreasonable to assume they were temporarily adopted translations just for use while in China. But secondly, seeing that I could read Chinese beyond basic literacy (免無識), they thought I must have mastered our own literature first and then specially studied Chinese literature as expert knowledge, thus respecting or inquiring about me.
However, if they knew our internal situation (내정), how much would they ridicule our base (비열한) lifestyle, and simultaneously, how conceited would they become, thinking how good their own culture is? The Chusin people, having taken such a path, instead of realizing the self like others, took the base means of conveniently (經便하게) imitating others. For example, instead of striving to become yangban through scholarship or position, they sought to become yangban by trying to buy a yangban's genealogy register (족보). Possessing just this, they thought, made them yangban in that instant. Engaged in such antics, we ultimately ended up neither real Han Chinese nor fake Han Chinese; in the process, we considered it our only skill to voluntarily eliminate (업새버리는 <56>) our names, clothing, history, and culture. Having done this, they seemed to see signs of success in their endeavors, even giving us phrases of self-congratulation (自慶自得). Ah, how detestable they are! Why did they not learn the phrase "The later born are to be feared" (後生可畏) from the Han Chinese? For example, the phrase: "Alas, our country (於戱我國), though secluded in a corner of the sea (雖僻在海隅), with small territory (壤地偏小), its rites, music, laws, institutions (禮樂法度), official attire (衣冠), and culture (文物) all follow the Chinese system (悉遵華制). The Chinese people (華人) call it Little China (小中華)."

15
Previously, we examined three types of methods for self-realization. The Han Chinese culture, through the method of bending the small to extend the great (屈小伸大), ultimately achieved success, arguably, but because its method implicitly aimed to conquer others, its own suffering (辛苦) was truly not insignificant. Thus, from an evolutionary perspective, it must be called a deformed (기형적) way of life, though one so complete is rare.
Furthermore, the self-realization of the Western Hemisphere peoples was solely based on the ill-considered, unruly (벌으장머리업는) notion of "conquering the self," making conquest their sole endeavor. Ultimately, although their culture naturally influenced later peoples according to natural laws, <57> their own people entered eternity, leaving their ancient ruins (故墟) merely as dwellings for the barbarians (蠻民) of that time; such is the civilization of Rome (羅馬). This is what the Chinese call "the courage of a common man" (匹夫之勇), "the strength of the North" (北方之强), or "barbaric courage leads to self-destruction" (蠻勇은 滅身).
The self-realization of the Chusin people consisted solely of engaging in monkey-like imitation (猿猴的 모방). Ultimately, like chasing a wild boar only to lose the domestic pig (묏돗 잡으러다가 집돗일는 격), culture and everything else disappeared; that is, far from realizing the self, they even forgot themselves. Thus, the self-realization achieved through the first method, "bending the small to extend the great," involved much hardship (辛苦), but ultimately, culture and people coexisted. The self-realization based on the principle of conquering nature, the second method, may have provided some temporary enjoyment at the time, but ultimately, while the culture was used by other peoples, the people themselves ended in nothingness (烏有). The self-realization achieved through monkey-like imitation, the last method, ultimately resulted in becoming barbarians with nothing.
Although the methods described above, regardless of type, already belong to a past era of self-realization, studying them indeed evokes our interest. (End) <58>

**Summary**

This essay by Paek Sŏnguk critiques the historical path of the Korean people (referred to as "Chusin"). He argues that Koreans, mesmerized by Tang and Song Chinese culture, abandoned their own unique history, language, names, and traditions in a misguided attempt at "self-realization" through mere imitation of the Han Chinese. This "monkey-like imitation," fostered by an elite seeking political expediency, led to a loss of identity and cultural impoverishment, turning Koreans into "fake Han Chinese" living in a state Paek considers base and self-destructive. He contrasts this negatively with the Han Chinese method ("bending the small to extend the great," seen as arduous but ultimately successful in preserving culture and people) and the Roman method ("conquering the self/nature," seen as aggressive and ultimately leading to the people's disappearance despite cultural influence).

From the perspective of Korean colonial history, the article is significant for its strong nationalist sentiment and sharp critique of Sinocentrism (specifically, the "Little China" mentality) from within Korea during Japanese rule. Historians might find Paek's use of "Chusin" instead of "Han" (韓) or "Chosŏn" (朝鮮), his emphasis on a distinct Tungusic origin and independent cultural trajectory, and his scathing assessment of pre-modern Korean elites' cultural choices particularly interesting as reflections of evolving national identity discourse and the intellectual struggle to define Koreanness amidst foreign domination and historical narratives emphasizing dependency.

**Named Entities**

白性郁	백성욱	Paek Sŏnguk
半島族	반도족	Pandojok (Peninsula Tribe)
주신 族	주신족	Chusinjok (Chusin Tribe)
唐	당	Tang
宋	송	Song
漢人	한인	Hanin (Han Chinese)
黃海道	황해도	Hwanghae-do
首陽山	수양산	Suyangsan
平壤	평양	P'yŏngyang
箕子陵	기자릉	Kijarŭng (Tomb of Kija)
關王廟	관왕묘	Kwanwangmyo (Shrine to Guan Yu)
孔子廟	공자묘	Kongjamyō (Confucian Shrine)
伯夷	백이	Paegi
叔齊	숙제	Sukche
關公	관공	Kwan'gong (Lord Guan Yu)
慶尙道	경상도	Kyŏngsang-do
퉁구쓰	퉁구스	T'unggusŭ (Tungus)
五胡亂華	오호란화	Ohoranhwa ("Disorder of the Five Barbarians")
明	명	Ming
滿淸	만청	Manch'ŏng (Manchu Qing)
崇禎	숭정	Sungjŏng (Chongzhen Emperor of Ming)
羅馬	나마	Roma (Rome)
中國	중국	Chungguk (China)

**Glossary**

「나」	나	"I", the self
자아실현	자아실현	Self-realization
주신 族	주신족	Chusin tribe (Author's term for Koreans)
반도	반도	Peninsula (Referring to Korea)
흠모하엿다	흠모하였다	Admired (Older spelling/conjugation)
所從來	소종래	Origin, source (Sino-Korean term)
자존심	자존심	Self-esteem, pride
위인	위인	Great person, historical figure
숭배	숭배	Veneration, worship
터문이도 업는	터무니도 없는	Groundless, absurd (Older spelling)
개정	개정	Revision, amendment
위정가	위정가	Politician, statesman
고식적	고식적	Stopgap, makeshift, expedient
영화	영화	Glory, splendor
성명	성명	Surname and given name
母語	모어	Mother tongue
야비하여서	야비하여서	Being barbaric/crude (Older spelling)
與堯並立	여요병립	Standing equal with Emperor Yao (Implying ancient legitimacy)
오리무중	오리무중	In a fog, completely bewildered (Idiom)
퉁구쓰	퉁구스	Tungus (Ethnic group)
先導	선도	Guidance, leadership
고유한	고유한	Unique, inherent, native
猿猴的 모방	원후적 모방	Monkey-like imitation
묏돗	멧돼지	Wild boar (Dialectal/Older form)
집돗	집돼지	Domestic pig (Dialectal/Older form; contrasting pair with 묏돗)
烏有	오유	Nothingness, non-existence (Sino-Korean literary term)
拑制	검제	Oppression, restraint (Less common Hanja usage)
噫噓탄식	희허탄식	Sighing and lamenting (Literary expression)
癡劇	치극	Foolish drama, farce
胡	호	Barbarian (Specifically referring to northern peoples, here Manchus)
吊	조	To mourn, offer condolences
변발	변발	Queue hairstyle (Manchu style)
具眼者	구안자	Person with discerning eyes
동족	동족	Same tribe/race, kin
위안되랴마는	위안되랴마는	Though it would be comforting (Older grammatical form)
畏懼	외구	Fear, dread
숭앙함	숭앙함	Admiration, reverence (Noun form)
免無識	면무식	Barely literate, escaping illiteracy
내정	내정	Internal situation/affairs
비열한	비열한	Base, mean, vile
經便하게	경편하게	Conveniently, easily (Possibly older usage/spelling)
족보	족보	Genealogy register/book
능사	능사	Best policy, only resort
녀기엇다	여기었다	Considered, regarded (Older spelling/conjugation)
自慶自得	자경자득	Self-congratulation, self-satisfaction
後生可畏	후생가외	The later born are to be feared (Classical Chinese phrase)
僻在海隅	벽재해우	Secluded in a corner of the sea (Classical Chinese phrase)
壤地偏小	양지편소	Territory is small and partial (Classical Chinese phrase)
禮樂法度	예악법도	Rites, music, laws, institutions (Classical Chinese phrase)
衣冠	의관	Official attire, clothing and hat (Symbolizing civilization)
文物	문물	Culture, civilization artifacts (Classical Chinese phrase)
悉遵華制	실준화제	All follow the Chinese system (Classical Chinese phrase)
華人	화인	Chinese people (Formal term)
小中華	소중화	Little China
屈小伸大	굴소신대	Bend the small to extend the great (Implies enduring hardship for greater gain)
辛苦	신고	Hardship, suffering
기형적	기형적	Deformed, abnormal
벌으장머리업는	버르장머리 없는	Unruly, ill-mannered (Older spelling)
故墟	고허	Ancient ruins
蠻民	만민	Barbarian people
匹夫之勇	필부지용	The courage of a common man (Often implies recklessness)
北方之强	북방지강	The strength of the North (From Zhuangzi, implying brute force)
蠻勇	만용	Barbaric courage, recklessness
滅身	멸신	Self-destruction


---------------------------


잡지명	동광 제2호
발행일	1926년 06월 01일
기사제목	「나」란 무엇일가(전호 계속)
필자	철학박사 白性郁
기사형태	논설

「나」란 무엇일가
						철학박사 白性郁
9
이에서 우리는 다시 일보를 進하여 좀 다른 예를 구하여 볼진대 이에 자아실현 방식인즉 수단이 극히 비열하여서 결국 자아를 실현하기는 고사하고 자아를 더욱이 迷하게 하고 심하게는 멸망이라는 운명에 들어서 야만으로 화하엿나니 이러한 예는 멀리 다른 민족에게 구하는 代로 半島族 즉 주신 族에게서 구하여 보는 것이 혹 우리전도에 대하여 참으로 의미잇는 것이라 생각한다. 주신 민족 자신이야 실로 장구한 역사를 가짐이 아니엇슴이 아니엇고 위대한 문화를 가짐이 아니엇슴이 아니엇마는 실로 近古에 잇서서 그들은 그들의 정신상 인도자를 일허 버리엇던 결과 참으로 비열한 과정을 취한 것이다. 이와 가튼 경우에 잇는 주신 민족은 隣國에 잇는 唐宋의 문화를 흠모하엿다. 적이나 총명한 민족가트면 唐宋의 문화가 그들에게 조케 보이는 만콤 唐宋문화의 所從來를 연구할 것이언마는 이것을 하는 代로 唐宋문화에 醉하엿다 惑하엿다. 이와 가티 하는 반면에서 그들은 자기의 문화가 비열하다는 잘못된 생각을 가지엇다. 그러므로 그들은 결국 唐宋의 문화를 모방하고저 하엿다.

10
어떠한 민족을 물론하고 문화민족이라면 자존심을 가지나니 자존심이란 것은 그들의 역사상에 나타난 위대한 인격을 숭앙하는 중에서 생기는 奇物이니라. 그래 자존심이 강한 漢人이라 물론 그들의 역사적 위인을 찬미하는 것인즉 실로 唐宋 문화의 中軸이라 아니할 수 업다. 이것을 본 주신 민족은 그들의 역사적 위인에 대한 이해가 적은 반면에서 漢人의 역사적 위인을 찬미하고저 하엿다. 이것을 하고저 盛히 자기들에게 선전하고 동시에 보수성이 강한 농민에게 보급하고 터문이도 업는 지명과 산명을 만들어서 주신 민족적 신성을 파괴하는 동시에 漢族的 위인숭배가 외래물 아닌 것과 가티 만들엇나니 예하면 黃海道의 首陽山, 平壤 及 平壤의 箕子陵으로 始하여 전부를 개정하고 그것도 부족하여서는 國都를 始하여 방방곡곡이 關王廟, 孔子廟 등을 두엇다. 물론 이 통에 주신 민족적 위인 숭배물은 만히 파괴의 운명으로 終을 고하엿슬 것은 尤히 명백하니라. 그러므로 오늘까지 鄕間에 잇는 무구한 愚夫愚婦들의 좌담 중에서 伯夷, 叔齊는 黃海道 사람이니 關公님은 慶尙道 사람이니 하는 등을 듯게 된다. 이와 가튼 것이야 물론 위정가들의 소위라 아니할 수 업지마는 동시에 주신 민족이 이에 대하여＜34＞ 전연 감수성이 업섯스랴고는 할 수 업다. 이것이야 물론 장구한 세월의 힘이라 하겟지마는 그래도 이다지 完全境에 이를 만콤 된 것인즉 종래 동양에 잇서서 정신계를 지배한 학자와 정치가 간에는 별로 구별을 보지 못하게 되엇던 중 尤히 정치가 되고저 학자 되는 습관을 가진 주신 민족이랴! 이것이 학자적 때 벗지 못한 이상이나 공상이나 일시적 불철저한 생각을 실현하기에 용이하게된 원인이다. 결국 아무리 하여서라도 슜�정가의 고식적 영화에만 영합된다면 이와 가튼 것도 가능성을 가지는 것이다.

11
전술한 바와 가티 사람이라는 것은 對他하여 가지고서야 비롯오 자아를 알게 되므로 자기를 표시하기 위하여 일정한 명사로 자아의 존재를 표시하엿나니 이것이 現今 우리가 볼 수 잇는 성명이다. 사람이라는 것은 유사이래로 兩個의 명사를 가지고 자기를 발표하엿나니 1은 보통 假定的 명사이니 「나」요 他는 고유명사이니 즉 일개체에 한한 명사이다. 이것을 우리는 성명이라 한다. 그러므로 성명을 사람마다＜35＞ 가지 아니하므로 그의 본능을 발휘한다. 이 성명은 보통으로 인류 역사에 잇서서 보건대 각개의 직업에 의하여 그의 源을 발한 흔적이 잇다. 예하면 漢人들도 倉氏庫氏 倉庫吏之後世라 한 것이다. 이와 가튼 직업적 명사인즉 적어도 인류가 그다지 미개하여서 언어가 업섯다면 모르거니와 잇다면 적어도 자기들의 母語로 표시하엿슬 것은 무엇보다 명백하다. 예하면 歐人들의 姓으로 보아서도 스미드(Schmidt)라면 銕工을 의미한 것이요 뮬러(Muller)라면 방아쟁이를 의미한 말이니 물론 그들의 선조적 직업에서 源을 발하엿고 동시에 그들의 선조들이 사용하던 언어로 표시하엿스므로 금일에 잇서서라도 그들이 母語를 가지엇섯던 것이 용이히 알게 되는 것이다. 주신 민족도 다른 만흔 민족들과 가티 성명이 잇섯던 것은 사실이요 또 잇섯다면 그들의 선조적 직업이다 기호에 의하여 源을 발하엿슬 것은 사실이다. 그래 결국 그들이 쓰던 母語로 발표하엿슬 것은 가장 명백하니라. 그러나 現今에 잇서서 주신 민족의 성명을 보면 이상 원리와 반대로 자기들의 母語가 아닌 한문으로 李哥이니 金哥이니 하여서 주신 민족 스스로가 그 문자의 의미를 충분이 느끼지 못하고 딸아서 주신 민족은 그다지 야비하여서 母語까지 가지지 몊�한 것가티 보인다. 그러면 주신 민족은 참으로 언어도 직업도 아직 가지지 못한 상태에서 漢문화를 수입하엿는가? 동시에 반만년 역사이니 與堯並立이니 무엇이니 하는 말은 실상 터문이도 업는 소린가? 그러면 주신 민족자체가 실상은 漢族인데 오늘와서야 비롯오 주신 민족이니 하나? 이러한 의문은 실로 주신 민족의 후예인 우리로 오리무중에 방황함을 면치 못하게 하는 현상이다.

12
아니다. 주신 민족은 실로 장구한 세월에 잇서서 독립적 역사를 가지고 그의 특성을 발휘한 민족이다. 그들의 源은 北滿평야에 두고서 발달된 퉁구쓰의 일파로 반도의 선주민을 정복하고서 이땅에 定定한 기초를 가젓던 것은 시방 다시 새삼스럽게 이야기할 필요도 업다. 그들의 역사가 독립된 것 모양으로 그들의 언어가 독립하여 자라 왓다. 이것이 주신 민족 후예인 우리가 비롯오 이야기하는 것이 아니라 실상 학술적 입각에 잇슬쓰록 앙탈할 사람이 업다.
그러면 어찌하여서 주신 민족은 現今에 잇서서 성명도 역사도 의복제도도 불명백하게 되엇슬가? 이 대답은 좀 더 부끄러운 말이지마는 전술한 바와 가티 주신 민족 先導의 任을 가진 사람들이 唐宋문화에 취하므로 인하여 漢族的 위인을 숭배하는 통에 自家의 역사적 위인을 이해할 여가가 업섯스며 이해가 적은 고로 결국은 배척하는 태도로 화하고 이것이 다시 발광 정도에 잇서서는 自家의 고유한 문화를 버리는 代로 漢人의 것을 취하엿스므로 學制로 始하여 풍속, 습관에 至하엿나니 예하면 고유한 성명을 漢字로 譯하여 李哥이니 金哥이니 하고 의복에도 漢人의 제도대로 하고 萬般을 漢人 중심으로 하고저 함하므 始하여 漢人이 되고저 노력하엿다. 이것을 선전하기 위하여 자제에게 漢人의 역사를 교수하여 근저를 깁게 하고 從하여 漢人의 정치적 학술이라 할만한 논어, 맹자를 始하여 詩, 書 등으로 易에까지 及하엿나니(52頁에 續).＜36＞

『나』란 무엇일가

주신 민족은 아주 터문이 업는 漢族의 우주관을 배움에 얼마나 고통을 가지엿슬가! 이것을 실행하고저 함에 물론 순조로 되엇슬지라도 밋지는 아니하지마는 정치적 권력에 의하여 반대자를 살해하면서 장구한 세월을 진행하는 중 교통의 불편으로 타인의 생활방식을 볼 수 없고 오직 보는 것이 잇다면 漢人이요 기타인즉 당시에 저급문화에 잇섯는지라. 何暇에 반성할 기회를 어덧슬지요. 결국 불철저한 猿猴的 모방은 장구한 역사 민족인 주신의 문화로 烏有를 만들매 어렵지 아니하엿다.

13
