**Header Section**
Magazine Title: 삼천리 제6권 제9호
Publication Date: 1934년 09월 01일
Article Title: 名記者 그 時節 回想(2), 東京大震災때 特派 (Reminiscences of a Famous Reporter's Era (2), Dispatched during the Great Tokyo Earthquake)
Author: 何夢 李相協 (Hamong Yi Sang-hyŏp)
Article Type: 회고·수기 (Memoir/Recollection)

**Body Text Translation**
Reminiscences of a Famous Reporter's Era
						Hamong Yi Sang-hyŏp

Mr. Yi Sang-hyŏp, whose pen name is Hamong, entered the writing world as a young reporter about 30 years ago. Since then, he has served as the Editor-in-Chief of the Tonga Ilbo, Vice President of the Chosun Ilbo, and Chief Editor of the Chungang Ilbo, and currently holds the position of Vice President at the Maeil Sinbo. During this time, starting with the State Funeral of King Kojong (李太王國葬事件) and the King's Trip to Hamhŭng Accompanied Event (李王殿下咸興陪從事件), almost no major incident that startled the public eye—be it in the political sphere, the ideological sphere, or various social trends of the peninsula—has occurred without passing through his hands. Indeed, many of those active in the newspaper world today were once under Mr. Yi's command, and some were even trained by him. Besides being a reporter, Mr. Yi also has a deep knowledge of literature, having early on published works like the creative piece "Tears" (눈물) and numerous translations such as "Neptune" (海王星). Here, he describes the scene from the time he was dispatched to the site of the Great Tokyo Earthquake, pushing through the flames, an event that remains most vividly etched in his memory from his 30-year career as a reporter.

A Sudden Urgent Report
It was when I was the Editor-in-Chief of the Tonga Ilbo, and it happened in the 1st year of Taishō [Note: This seems incorrect, the Great Kanto Earthquake was 1923, Taishō 12. Taishō 1 was 1912. The author might be misremembering the year or referring to something else, but the context clearly points to the 1923 earthquake.], so it’s already a story from the distant past, 13 or 14 years ago.
On September 1st, the urgent report that a massive earthquake had struck Tokyo, and that the entire Kantō region—not to mention Tokyo, Yokohama, and Kamakura, but all their surroundings—had truly turned into scorched earth in an instant, fell upon Seoul that afternoon. Initially, as all telegraph and telephone lines were damaged, the disastrous situation was barely made known to the world through wireless telegraphy.
As I learned later, initial reports of the great earthquake stated that the entire main island (Honshū) was the disaster zone,<80> and not only was there an earthquake, but also a great tsunami, causing land to be submerged under the sea and many areas to collapse. The number of victims was said to be unknown, possibly millions or tens of millions. Furthermore, fires reportedly broke out in cities and villages alike, filling the entire sky over the Pacific coast with red flames and smoke.
Telegrams transmitted to places like Moscow, Berlin, and Paris even sensationally claimed that Japan had completely sunk into the Pacific Ocean.
In any case, it was the greatest catastrophe in Japanese history since the Ansei Great Earthquake, and looking around the world, it was the first such tragedy witnessed since the San Francisco Earthquake, happening right before our eyes.
That day, sitting in the Tonga Ilbo editorial office, I received this telegram and was greatly shocked along with my colleagues. So, the first thing the newspaper company did was to use the initial typefaces to print an extra edition. Then, we anxiously awaited further news.
What dominated our minds at that time was: with Tokyo engulfed in flames, what had become of the lives of our white-clad compatriots (白衣同胞) there? What happened to the tens of thousands of students who had gone from all over Chōsen, and what was the fate of the weary laborers who had left their parents, wives, and children behind to work there?
At the time, it was widely speculated that millions must have died, so if casualties occurred, it was inevitable that Koreans would be among them. Even if they were fortunate enough to have survived, they would likely have escaped with only the clothes on their backs, so we worried about what they would wear<81> and eat to survive. Thus, we decided we had a duty to perform: to establish a plan to rescue these people.

Directly to the Scene
Therefore, after a meeting of the executives, it was decided to dispatch someone to the disaster site in Tokyo. Upon reflection, I couldn't ask someone else to go to such a dangerous zone, so I resolved to go myself. I departed from Namdaemun Station on the Kyŏngbu Line train on the morning of September 6th. After the earthquake, people's minds were agitated. Especially the tens of thousands of families throughout Chōsen, worried about the survival of their children and husbands, sent letters to the newspaper office, and some even crossed the Hyŏnhae Strait (玄海灘) directly. As the number of such disoriented bereaved families gradually increased, the police strictly prohibited entry into the dangerous disaster zone. How many people came all the way from P'yŏngan Province and Hamgyŏng Province just to find out news of their children, only to be turned away at Pusan?
Martial law was eventually declared throughout the Kantō region. It was terrifying beyond measure. In such an atmosphere, resolving to head to Tokyo alone, avoiding others' eyes—was I audacious or reckless at that time? However, it was solely the single-minded sincerity welling up in my heart, concerned for the safety of my compatriots, that made me take this step, disregarding fire and water.
I managed to cleverly pass through the security cordon at the Pusan Water Police Station and the multiple layers of security at Shimonoseki, and by great fortune, I arrived in Osaka. As soon as I stepped off the train at the station, the scene was chaotic with refugees fleeing from the disaster area. From their mouths, I heard news about the Koreans in Tokyo. While there was various heart-stopping news, on the other hand, hearing that many were still alive brought a sense of relief.

Urgent Need for Compatriot Relief
My task was to provide food and clothing to the surviving Korean compatriots. I sent a telegram to the head office. Immediately, three thousand yen arrived from the head office via telegraphic money order. Taking that money, I boarded a ship amidst many people at the Osaka pier and arrived in Yokohama.
The disastrous sight of Yokohama city viewed for the first time from the sea... The tall Western-style buildings that had stood so prominently and numerously along the pier were all knocked down like a field of grass after a wrestling match. Black smoke was still rising here and there in billowing clouds over the Yokohama sky.
And on every street, disaster victims, seemingly out of their minds and clad only in undershirts, were wandering around calling out names—perhaps of their dead children or missing persons:
"Tarō ya—i!"
"Tarō ya—i!"
The thought struck me anew that the Tokyo earthquake truly belonged to the most tragic category of natural disasters befalling humanity.
In Yokohama harbor at that time, American warships (米國軍艦) were anchored, flying the American flag<82> and playing the American national anthem. The United States, to save the lives of American citizens and, upon hearing the news of this great disaster, to protect the lives of the neighboring nation's people, had crossed the ten thousand leagues of the Hyŏnhae Sea, loaded with rice, lumber, and clothing, arriving like lightning.
Not only the United States, but also China, Italy, and most other significant nations sent warships, or at the very least, a steamship. They all truly valued the lives and property of their citizens like precious gold nuggets. It was quite understandable.
Listening to the sound of these warships, as I took my first step onto the Yokohama pier, I realized tears were flowing without my knowledge.
I let them flow freely. The tears kept coming. The chilly September wind struck my face as it blew past repeatedly. Entering Tokyo, soldiers with bayonets fixed to their rifles stood on every street. It had only been a few days since martial law was declared, and the intimidating atmosphere was like wartime.
At that time, the places where Korean disaster victims were housed included the Student Supervisory Department (留學生監督部) in Kōjimachi Ward (麹町區), and four or five other locations such as Narashino (習地野) in Chiba Prefecture (千葉縣) outside the city. I sought out the Supervisory Department. Ill-clad students were still trembling in fear. After roughly surveying the survivors and the deceased, I immediately hurried to Narashino. This place had originally housed German prisoners of war captured during the Siege of Qingdao (靑島) in the Japanese-German War until the armistice, and there was a cavalry training ground nearby. About two to three thousand Koreans were housed in ten-odd barracks made of wooden planks.
The scene inside those houses, where straw mats were laid out; the faces lying on the grassy field, filled with sorrow thinking of their hometowns... I sighed as I turned back.
With the three thousand yen I brought, I bought 'katapan' (カタペン - hardtack biscuits) and clothes, distributing them all so that each person received at least one set.

Sorrow on the Return Journey
From the day I left Seoul on September 6th until the day I returned twenty-some days later, I won't recount one by one the anguish I suffered as a newspaper reporter during that time. However, the impression that hasn't faded from my mind even after more than ten years is truly immense.
Returning to Seoul, what words should I use to report to the elders? What kind of news should I convey to the newspaper readers?
More than that, an indescribable sorrow pierced my heart. So, letting them flow, I wept for a while.
The money collected by the Tonga Ilbo at that time was sent from funds gathered as donations for overseas compatriots. Therefore, I seem to recall that the newspaper did not separately collect relief funds specifically for the Great Kantō Earthquake.
Spring winds and autumn rains, more than ten years have passed. Although the years have flowed by, the impression of that time will never be forgotten.
There were many episodes associated with this, but I omit them all here.<83>

**Summary**

Yi Sang-hyŏp, a prominent Korean journalist, recounts his dispatch to Tokyo immediately following the Great Kantō Earthquake of 1923 while working for the Tonga Ilbo. He describes the initial chaos and horrifying reports, his difficult journey through restricted zones, and the devastating scenes in Yokohama and Tokyo under martial law. He details his efforts to locate and provide relief (food and clothing purchased with 3,000 yen from his newspaper) to Korean survivors, particularly students and laborers housed in temporary shelters like Narashino. He expresses deep sorrow for the plight of his compatriots and contrasts the international relief efforts (notably the US Navy's presence) with the vulnerability of Koreans. Historically, the article is significant for its firsthand Korean perspective on the immediate aftermath of the earthquake, a period notorious for anti-Korean violence and massacres fueled by false rumors, though the author avoids explicit mention of the massacres. It highlights the concern within Korea for the diaspora, the role of Korean newspapers in relief efforts, and the palpable sense of vulnerability and sorrow felt by Koreans under Japanese colonial rule during a major crisis.

**Named Entities**

何夢	하몽	Hamong
李相協	이상협	Yi Sang-hyŏp
東亞日報	동아일보	Tonga Ilbo
朝鮮日報	조선일보	Chosun Ilbo
中央日報	중앙일보	Chungang Ilbo
每申	매신	Maeil Sinbo (likely 매일신보)
李太王	이태왕	King Kojong (Yi T'aewang)
咸興	함흥	Hamhŭng
半島	반도	Peninsula (referring to Korea)
東京	동경	Tokyo
大正	대정	Taishō
關東	관동	Kantō
橫濱	횡빈	Yokohama
鎌倉	겸창	Kamakura
서울	서울	Seoul
本州	본주	Honshū
太平洋	태평양	Pacific Ocean
莫斯科	모사과	Moscow
伯林	백림	Berlin
巴里	파리	Paris
桑港	상항	San Francisco
朝鮮	조선	Chōsen (Korea)
京釜線	경부선	Kyŏngbu Line
南大門驛	남대문역	Namdaemun Station
玄海灘	현해탄	Hyŏnhae Strait (Genkai Sea)
釜山	부산	Pusan
平安道	평안도	P'yŏngan Province
咸鏡道	함경도	Hamgyŏng Province
警察	경찰	Police
下關	하관	Shimonoseki
大阪	대판	Osaka
本社	본사	Head Office (Tonga Ilbo)
大阪埠頭	대판부두	Osaka Pier
橫濱市街	횡빈시가	Yokohama City Streets
米國軍艦	미국군함	American Warship(s)
米國	미국	United States
亞米利加	아미리가	America
中國	중국	China
伊太利	이태리	Italy
街路	가로	Street(s)
軍隊	군대	Army/Troops
趨町區	추정구	Kōjimachi Ward (麹町區)
留學生監督部	유학생감독부	Student Supervisory Department
市外	시외	Outside the city
千葉縣	천엽현	Chiba Prefecture
習地野	습지야	Narashino
日獨戰爭	일독전쟁	Japanese-German War (referring to WWI actions)
靑島	청도	Qingdao
獨逸	독일	Germany

**Glossary**

操觚界	조고계	The writing/journalism world (archaic term)
小壯記者	소장기자	A young and vigorous reporter
編輯局長	편집국장	Editor-in-Chief
主幹	주간	Chief Editor/Manager
陪從	배종	To accompany (a royal person)
蘊蓄	온축	Accumulated knowledge, erudition
씩이어지 안온	식혀지지 않은	(Modern form: 식혀지지 않은) Uncooled, unfaded (here meaning unforgettable)
特派	특파	Special dispatch (of a reporter)
飛報	비보	Urgent news, flash report
破損되어	파손되어	Being damaged
無線電線	무선전선	Wireless telegraphy
慘狀	참상	Disastrous/tragic situation
罫災者	이재자	(Modern form: 이재자) Disaster victim
目睫間	목첩간	Right before one's eyes (lit. between eyebrow and eyelash)
號外	호외	Newspaper extra
焦燥하게	초조하게	Anxiously, impatiently
苦待	고대	To wait eagerly/anxiously
白衣同胞	백의동포	White-clad compatriots (traditional term for Koreans)
勞働者	노동자	(Modern form: 노동자) Laborer
알몸둥이	알몸뚱이	Naked body
뛰여나왓겟스니	뛰어나왔겠으니	(Modern form: 뛰어나왔겠으니) Likely having escaped/jumped out
救濟	구제	Relief, aid
方策	방책	Plan, measure
幹部會議	간부회의	Executive meeting
派遺	파견	(Modern form: 파견) Dispatch, sending
南大門驛	남대문역	Namdaemun Station
生死	생사	Life and death
玄海灘	현해탄	Genkai Sea (strait between Korea and Japan)
갈피를 못찻는	갈피를 못 찾는	(Modern form: 갈피를 못 찾는) Unable to find one's way, disoriented
漸漸	점점	Gradually
警察	경찰	Police
危險地帶	위험지대	(Modern form: 위험지대) Dangerous zone
쫏기어	쫓기어	(Modern form: 쫓기어) Being chased away/turned back
戒嚴令	계엄령	Martial law
單身	단신	Alone, by oneself
無謀	무모	Reckless
念	념	(Modern form: 염) Thought, concern, wish
一片	일편	A piece of, single-minded
精誠	정성	Sincerity, devotion
거름	걸음	(Modern form: 걸음) Step, journey
釜山水上署	부산수상서	Pusan Water Police Station
警戒	경계	Security cordon, guard, vigilance
突破	돌파	To break through
天幸萬古	천행만고	By immense good fortune
停車場	정차장	Train station
避難民	피난민	Refugee
安堵	안도	Relief, peace of mind
電報	전보	Telegram
電報換	전보환	Telegraphic money order
埠頭	부두	Pier, wharf
林立	임립	To stand densely like a forest
高層洋屋	고층양옥	Tall Western-style building
魂	혼	Spirit, soul
太郞	태랑	Tarō (Japanese male name)
天災	천재	Natural disaster
慘膽	참담	(More common: 참담) Tragic, disastrous, horrible
軍艦	군함	Warship
國歌	국가	National anthem
隣邦	인방	Neighboring country
保護	보호	Protection
萬里	만리	Ten thousand leagues (figurative for a long distance)
첫 발자곡	첫 발자국	(Modern form: 첫 발자국) First step
드뒬 때	디딜 때	(Modern form: 디딜 때) When stepping/treading
련해	연해	(Modern form: 연해) Continuously, repeatedly
칼끗	칼끝	(Modern form: 칼끝) Tip of a blade/bayonet
꼬즌	꽂은	(Modern form: 꽂은) Fixed, attached
戰時	전시	Wartime
收容	수용	To accommodate, house (refugees, prisoners)
헐벗은	헐벗은	Poorly clad, ragged
恐怖	공포	Fear, terror
生存者	생존자	Survivor
死亡者	사망자	Deceased person, fatality
調査	조사	(Modern form: 조사) Investigation, survey
달녀 갓다	달려 갔다	(Modern form: 달려 갔다) Ran, hurried
元來	원래	Originally
捕虜兵	포로병	Prisoner of war
休戰	휴전	Armistice
板墻	판장	Wooden plank wall/fence
빠락집	바락집	(Likely Barrack) Barracks
벳집	볏짚	(Modern form: 볏짚) Rice straw
愁心	수심	Sorrow, grief
回路	회로	Return journey
苦悶	고민	(Modern form: 고민) Anguish, agony
父老	부로	Elders
讀者	독자	(Modern form: 독자) Reader
悲哀	비애	Sorrow, grief
慰問金	위문금	Consolation money, donation funds
星霜	성상	Years, time (lit. stars and frost)
割愛	할애	To omit, leave out (for brevity)


---------------------------


잡지명	삼천리 제6권 제9호
발행일	1934년 09월 01일
기사제목	名記者 그 時節 回想(2), 東京大震災때 特派
필자	何夢 李相協
기사형태	회고·수기

名記者 그 時節 回想
						何夢 李相協
李相協氏는 號를 何夢이라 하야 約30年前에 小壯記者로서 身을 操觚界에 投하야 이래 或은 東亞日報 編輯局長 朝鮮日報 副社長 中央日報 主幹을 歷任하야 現在 每申副 社長의 職에 잇다. 이사이에 李太王國葬事件 李王殿下咸興陪從事件를 爲始하야 半島의 政界, 思想界, 은갓 사회의 潮流등 世人의 耳目을 驚動식힌 大事件치고 氏의 손을 거치지 안은 것이 별반업섯다. 지금 新聞界에서 活躍하는 諸氏는 實로 往年 氏의 配下에 잇든 사람이 여러분이요, 더러는 氏가 養成한 이도 잇다. 氏는 記者外에 또한 文學에도 蘊蓄이 깁허 일즉 「눈물」이란 創作을 爲始하야 海王星 等 飜譯을 냄도 許多하엿다. 여기에는 氏의 30年 記者生活中 가장 印象에 씩이어지 안온 東京大震災 때 火焰속을 뚜지고 現場으로 特派가든 그때 光景을 記述하엿다.

突然한 飛報
내가 東亞日報 編輯局長으로 잇든 때요, 또한 大正1年에 이러난 일이엇스니 벌서 13,4年前 먼-녯날 이야기가 되는구려.
九月一日 突然 東京에 큰地震이 이러나서 關東一帶-東京 橫濱 鎌倉는 말할 것 업고 그 附近全部가-實로 삽시간에 焦土로 化하엿다는 飛報가 서울에 떠러지기는 그날 午后이엇다. 처음은 電信電話가 모다 破損되어 無線電線으로 그 慘狀이 겨우 世上에 알녀젓다.
그 뒤에 안일이지만 처음 大震災 때의 報道로는 本州전부가 震災區域이요＜80＞ 그리고 地震뿐 아니라 大海溢까지 잇서 땅이 바다속에 잠기고 또 土地가 陷沒된 곳이 만헛다 하엿스며 罫災者의 數도 數百萬이 될는지 數千萬이 될는지 모른다 하엿고 또 各都市 村落할 것 업시 火災가 이러나서 太平洋對岸의 하늘 全幅은 붉은 불과 煙氣로 차지엇다고 하엿다.
莫斯科나 伯林巴里로 傳하여진 電文에는 日本이 太平洋바다속으로 아조 잠겨 버럿다고 까지 떠들엇든 것이다.
엇재든 日本의 有史以來 安政大地震以來 初有의 大變이요, 世界를 둘처봐도 桑港大地震以來의 처음 보는 慘事가 目睫間에서 떠러진 것이다.
그날 나는 東亞日報編輯局室에 안젓다가 이 電文을 밧고 다른 同僚들과 함께 몹시 놀내엇다. 그래서 新聞社에서 爲先 할 일로 初號活字를 써가며 號外를 내엇다 그리고는 焦燥하게 後報오기를 苦待하엿다.
