잡지명	개벽 제64호
발행일	1925년 12월 01일
기사제목	朝鮮의 一年·世界의 一年 (One Year in Chosŏn, One Year in the World)
필자	起田 (Kitian/Gijeon)
기사형태	논설 (Editorial/Argumentative Essay)

朝鮮의 一年·世界의 一年
						起田

This month is December, and the Year of the Wood Ox (乙丑年) is now coming to a close. A year's time (歲月), if looked at one way, is like a flash of lightning (電光石火), but thinking again, it is not such a short duration. If we ask how long we have been living like this, wearing clothes and building houses, it naturally seems limitlessly long and distant (悠長), but this limitlessly long and distant duration, when broken down, ultimately amounts to nothing more than about 5,000 times this one year. Then, this year, equivalent to one five-thousandth of the entire history mankind has built so far, what has it truly accomplished?

Not only this. Even if it is the same time for the same person, the influence that time has on that person differs between working hours and resting hours. Also, even for the exact same time on the exact same day, the change that time brings to that day can differ tremendously depending on the circumstances (形便) in which that time is situated on that day. For example, the few tens of minutes at sunrise or sunset on a given day bring the most change to that day compared to other times. That is, in the way that time acts upon our human society, it possesses the power to brighten a dark world or darken a bright world. Similarly, even if it is the same period of one year (or more than one year), it will naturally differ depending on the season (世季 - likely means era or period here) in which that period is situated. Then, this past year, situated in a great transition period (一大 轉換期) attempting to leap from the civilization of individualism to the civilization of socialism, what has it truly shown us, and what has it made us think?

Looking globally, the most eye-catching events of this past year are (1) the national rights movement (國權運動) of weak and small peoples (弱小民族), (2) the Asianization of Labor-Farmer Russia (勞農露西亞), and (3) the consolidation of several capitalist powers (資本主義 列國), starting with Britain, America, and France (英米佛). Needless to say, although at the beginning of the Paris Peace Conference held in 1918, there was much talk of justice (正義), humanity (人道), and national self-determination (民族自決), leading to widespread discussion of the weak and small peoples issue for a time, ultimately, at the point of concluding the peace treaties, merely to break the postwar power of the defeated nations (戰敗國) and create new puppets for the victorious nations (戰勝國), a few countries like Poland<2>, Czech (첵크), and Yugoslavia (유-고스라비악크) were made independent. As for all the remaining weak and small peoples, they were divided up under various pretexts like partition (分割), mandate rule (委任統治), or protectorates (保護國). Regarding the weak and small races or other oppressed peoples (被壓迫民族) (for example, China (中國)) that had been possessed even before the Great War without relation to it, as domestic and foreign political situations gradually stabilized after the war, the degree of oppression and exploitation (搾取) was only further increased (the method generally involves giving something while threatening). When such things happen, a corresponding reaction (反動) inevitably arises. The pent-up anger of all these weak and small peoples against the tyranny of these capitalist imperialist states began to explode. It truly began to explode this year. The nationwide movement for the restoration of national rights in China, ignited by the student shooting incident on Nanjing Road (南京路) in Shanghai (上海) on May 30th, is one example; the freedom movements of the Rif tribes (리푸族) and Druze tribes (드류스族) arising in French Morocco (佛領 모롯코) and Syria (씨리아) are another. In other words, the explosion first occurred on the Chinese mainland, where the oppression of many had reached its peak, and the revolt first happened within the territory of France (佛蘭西), where internal exhaustion was particularly severe. However, weak and small peoples are not only on the Chinese mainland or within French territory. They exist everywhere. They are over there, and they are also here; are they only in the lands commonly called colonies (植民地), or are they also within what is called the home country (本國內地)? The term "weak and small peoples" today ultimately refers to the masses who have lost political sovereignty (主權) and suffer economic exploitation (搾取). Even if someone holds the flag of their home country, if they cannot actually participate in the country's political power and cannot obtain security of livelihood – in other words, the masses belonging to the proletariat (無産階級) – they can all be called the same weak and small peoples. And in reality, these masses will join hands. Now, this resistance movement of the weak and small peoples began to explode this year and continues as the year ends. 一隨*動萬波波 (One wave follows another, creating ten thousand waves) – the events of the coming days are noteworthy.

One cannot forget that behind this movement of weak and small peoples lies Labor-Farmer Russia (勞農露西亞). As everyone knows, Russia, after carrying out the Communist Revolution (共産革命) early in 1917, sought to undertake a world revolution (世界革命). To achieve this, it first had to overthrow the capitalist powers (列强). To overthrow them, it had no choice but to join hands with the proletarian masses (無産民衆) within those countries and the weak and small peoples within their spheres of influence. It first proceeded with this strategy (方策) towards the European continent. However, due to the bourgeoisification of the German Revolution and the internal political stability of Britain and France (英佛)<3>, the plan did not go as intended. Thus, the Labor-Farmer government somewhat altered its tactics. For the time being, against the well-defended Western European front, it decided to wage a protracted war (持久作戰), while boldly advancing towards the East, where national grievances were most acute. It planned an outflanking maneuver (迂回作戰) against all capitalist powers through the liberation (解放) of all colonies (植民地) in this region. Establishing the two republics of Uzbek (우스베크) and Turkmen (도루구멘) in Turkestan (土耳其斯坦), and fostering the two new republics of Inner Mongolia (內蒙古) and Buryat (푸리야-도) in Siberia (西佰利亞) to consolidate the ranks of national soviets, or establishing relations first with China and then with Japan (日本) to facilitate mutual exchange – all these stem from Russia's Eastern Revolution, guarding the West and advancing East (西守東進). Of course, this effort had been underway for some time, but it feels like it became more active and concrete this year. The fact that the Russo-Japanese treaty normalizing relations was concluded early this year, and that China's movement for restoring national rights became particularly vigorous from this spring, further supports this view. However, what has been shown so far is merely the prologue (序幕). The truly big events lie ahead.

Faced with revolutionary movements targeting all the world's capitalist empires (the resistance movements of various weak and small peoples and the force of Labor-Farmer Russia's world revolution movement emerging or showing signs of emerging), the Powers (列國), having perceived this, devised various countermeasures. First, while seeking agreement among themselves, the capitalist nations, they also felt the need to increase allies joining their side, even if just one country. Thus, they engaged heavily in such activities this year. For instance, in January of this year, they held a finance ministers' meeting of the Allied powers in Paris (巴里), agreed on the so-called Dawes Plan for distributing annual payments, aiming not to damage relations while dividing the reparations money. During the summer, they resolved the war debt issue with the United States (米國), striving to draw the US into the European political sphere. In September, they held a conference concerning the border guarantees of continental European nations, primarily Germany (獨), France (佛), and Belgium (白 - likely Belgium), and concluded a security treaty regarding this (currently undergoing ratification by the relevant countries), thereby planning for the stability of the European political situation, including even Germany. In this way, the relations among the European and American powers, which had been in a state of continuous entanglement (紛紏狀態) since the Great War, achieved a temporary consolidation, and they are once again turning their steps towards the Chinese mainland. The fact that Britain, America, France, etc., at the Customs Conference (關稅會議) currently being held in Beijing (北京), are smoothly acknowledging China's tariff autonomy (關稅自主權) while trying to appease China as much as possible, allows one to guess where their intentions lie.<4>

In short, this past year, seen globally, saw the revolutionary movements arising from all the weak and small peoples or proletarian masses (無産民衆) on one side, and the consolidation movement of the capitalist powers opposing them, arranging their battle lines against each other. Just as Labor-Farmer Russia is the main force in the former revolutionary movement, Britain (英國) has become something like the leader on the side of the latter capitalist countries. One interesting point here is that the Japanese Empire (日本帝國), following in the wake of capitalist imperialism, was early alienated from the European and American powers due to its own conflicts related to capitalist development. Although it considers getting a bit closer to Russia, it cannot get too close because it is fundamentally dangerous. It tries to join hands with the warlord factions in China, but this too is fraught with complications and unusual backgrounds, making it impossible to act uniformly. It is currently engrossed only in winning general favor in China by pretending to take the lead in advocating for the issue of acknowledging autonomy at the recent Customs Conference. How on earth is this whole situation likely to change? World problems are roughly like that, and

what about the situation in Chosŏn (朝鮮) during this year? The first thing to say about this is that although we always say Chosŏn, Chosŏn when we speak, in reality, this region called Chosŏn is not floating somewhere separate between heaven and earth; it is merely one region within this world. Therefore, the situation in Chosŏn cannot exist separately from the world situation. That is to say, just as two major camps confront each other globally, the same is true in Chosŏn. Especially this past year, the most striking aspects of the situation in Chosŏn are that all policies (政策) of the Government-General (總督府) are becoming increasingly reactionary (反動的), and the people's (民衆) movement is step by step becoming more profound (深刻化).

First, looking at the social movement (社會運動) side, there are definite signs of it becoming somewhat more concrete (具體化) and organized (組織化) this year. That is, it has clearly advanced a stage from the abstract to the concrete, from the emotional to the organized. The division of movements into sectors like the youth movement (少年運動) and the young adult movement (靑年運動) (especially demarcated by age), the farmer movement (農民運動) and the worker movement (勞働者運動), and the effort put into policy research (政策硏究) and internal organization (內容組織) within the same endeavors, can also be seen as explaining the news from this side. The fact that particular attention turned to the farmer movement this year (for example, the Youth General Alliance (靑年總同盟) establishing a special Rural Committee, the Cheondogyo Youth Party (天道敎靑年黨) resolving on the revolutionary<5> enlightenment of farmers, the Chosŏn Nongmin Sa (「朝鮮農民」社 - Choson Farmer Company) and others publishing farmer magazines, or the recent decision by the Labor General Committee (勞總委員會) to establish a separate Farmers' Alliance) and that the youth movement and anti-religion movement showed new momentum, are phenomena worthy of attention.

Not only in the realm of social movements, but generally speaking, the people's movement this year achieved considerable development. Above all, various types of assemblies (集會) and associations (結社) flourished significantly. Various meetings such as Farmers' Congresses, City/County People's Congresses, Newspaper and Magazine Reporters' Congresses were almost continuous. General strikes (同盟罷業) demanding improved treatment for various workers like printing, sock-making, rice-milling, and spinning, as well as tenant disputes (小作爭議) by the general landless farmers, notably in places like Amtae (岩泰), Pukryul (北栗 - likely Pungnyul/Pukryul based on historical context), and Toch'o (都草), were also quite fierce. And the emergence of the social science movement (社會科學運動) even in the student world, which had hitherto been without issue, was truly a phenomenon unseen before this year.

Thinking about it, although there are undoubtedly various reasons for witnessing such development in the people's movement in Chosŏn this year, one cannot forget that (1) as the policies of the Government-General authorities became increasingly high-handed (高壓化), especially regarding speech and assembly, and capitalized (資本化) (in all industrial management), the general populace was naturally spurred to action (感奮), and at the same time, (2) the great tide (大潮流) of social transformation occurring globally also contributed to this.

The year of transition – the Year of the Wood Ox – passes like this. Both for Chosŏn and the world, it leaves behind a huge cornerstone (礎石) and a huge task (宿題). To stand firm on this cornerstone and solve this task, isn't this our work from now on? Looking forward only to the New Year of the Fire Tiger (丙寅). (起田 Kitian/Gijeon)<6>

**Summary**

The author, Kitian, reflects on 1925 as a pivotal year globally and within Korea (Chosŏn). Globally, it's characterized by the rise of anti-colonial/national rights movements (China, Morocco, Syria) often implicitly or explicitly supported by Soviet Russia, countered by the consolidation of capitalist powers (UK, US, France, Japan) seeking stability and control, notably through financial agreements and attempts to manage China. Within Chosŏn, this global tension manifests as increasingly repressive colonial policies (by the Government-General) met with a more organized and intensified popular resistance, including distinct farmer, worker, youth, and even student social science movements, alongside numerous strikes and tenant disputes. The year is portrayed as laying the groundwork for future struggles. For historians, this article is valuable as a contemporary Korean intellectual's analysis linking local colonial realities directly to global geopolitical currents (anti-imperialism, rise of socialism vs. capitalist consolidation). It clearly articulates the growing organization and radicalization of Korean resistance movements across different social strata in response to both colonial oppression and international ideological trends.

**Named Entities**

巴里	파리	Paris
波蘭	파란	Poland
첵크	체크	Czech
유-고스라비악크	유고슬라비아크	Yugoslavia
上海	상해	Shanghai
南京路	남경로	Nanjing Road
中國	중국	China
佛領 모롯코	불령 모로코	French Morocco
씨리아	시리아	Syria
리푸族	리푸족	Rif tribes
드류스族	드류스족	Druze tribes
佛蘭西	불란서	France
勞農露西亞	노농 러시아	Labor-Farmer Russia
獨逸	독일	Germany
英	영	Britain
佛	불	France
米國	미국	USA
土耳其斯坦	토이기사탄	Turkestan
우스베크	우즈베크	Uzbek
도루구멘	투르크멘	Turkmen
西佰利亞	서백리아	Siberia
內蒙古	내몽고	Inner Mongolia
푸리야-도	부랴트	Buryat
日本	일본	Japan
北京	북경	Beijing
朝鮮	조선	Chosŏn (Korea)
總督府	총독부	Government-General
靑年總同盟	청년총동맹	Youth General Alliance
天道敎靑年黨	천도교청년당	Cheondogyo Youth Party
朝鮮農民社	조선농민사	Chosŏn Nongmin Sa (Choson Farmer Company)
勞總委員會	노총위원회	Labor General Committee (likely referring to a central labor organizing body)
岩泰	암태	Amtae
北栗	북률	Pukryul (or possibly Pungnyul)
都草	도초	Toch'o
英國	영국	Britain

**Glossary**

歲月	세월	Time, years (lit. years and months)
電光石火	전광석화	Like a flash of lightning; momentary
悠長	유장	Long and distant; leisurely
轉換期	전환기	Transition period
弱小民族	약소민족	Weak and small peoples/nations (term for colonized or oppressed nations)
國權運動	국권운동	National rights movement; movement to restore sovereignty
勞農露西亞	노농 러시아	Labor-Farmer Russia (term for Soviet Russia)
資本主義	자본주의	Capitalism
列國	열국	The Powers; various countries
民族自決	민족자결	National self-determination
委任統治	위임통치	Mandate rule
保護國	보호국	Protectorate
被壓迫民族	피압박민족	Oppressed peoples/nations
搾取	착취	Exploitation
反動	반동	Reaction; backlash
導火線	도화선	Fuse; trigger (lit. guiding fire line)
主權	주권	Sovereignty
無産階級	무산계급	Proletariat (lit. propertyless class)
共産革命	공산혁명	Communist Revolution
世界革命	세계혁명	World Revolution
列强	열강	The Great Powers
方策	방책	Plan; strategy; measure
植民地	식민지	Colony
解放	해방	Liberation; emancipation
迂回作戰	우회작전	Outflanking maneuver; flanking strategy
修交	수교	Establishment of diplomatic relations
序幕	서막	Prologue; prelude
關稅會議	관세회의	Customs Conference
自主權	자주권	Autonomy; sovereign rights
總督府	총독부	Government-General (Japanese colonial ruling body in Korea)
政策	정책	Policy
反動的	반동적	Reactionary
民衆	민중	The masses; the people
社會運動	사회운동	Social movement
具體化	구체화	Making concrete; concretization
組織化	조직화	Organization; systematization
少年運動	소년운동	Youth movement (for younger children/adolescents)
靑年運動	청년운동	Young adult movement
農民運動	농민운동	Farmer movement
勞働者運動	노동자운동	Worker/Laborer movement
集會	집회	Assembly; gathering; rally
結社	결사	Association; society; organization
同盟罷業	동맹파업	General strike; joint strike (older term for strike)
小作爭議	소작쟁의	Tenant farmer dispute
社會科學	사회과학	Social science
高壓化	고압화	Becoming high-handed; increasing pressure/coercion
資本化	자본화	Capitalization; becoming capitalistic
大潮流	대조류	Great tide; major trend
礎石	초석	Cornerstone; foundation stone
宿題	숙제	Homework; task; unresolved problem
업다	없다	To not exist; to lack (older spelling: 업스며)
잇다	있다	To exist; to be present (older spelling: 잇스며)
가티	같이	Like; as; together (older spelling)
식히다	시키다	To make someone do something; to cause (older spelling: 식히고, 식히여)
몃	몇	Some; several (older spelling)
밋	밑	Under; below (older spelling: 밋해서)
밧게	밖에	Outside of; except for; only (older spelling)
니즐 수 업다	잊을 수 없다	Cannot forget (older spelling)
안흐매	않으매	Because not...; as not... (older spelling/grammar)
뵈이다	보이다	To be seen; to show (older spelling: 뵈여, 뵈인)
엇던가	어떤가	How is it?; What is it like? (older spelling)
잇서	있어	Being; existing (form of 있다, older spelling)
식힌바	시킨 바	What was caused/made to happen (older spelling)
던저노코	던져놓고	Having thrown down/left behind (older spelling)
-e 

---------------------------


잡지명	개벽 제64호
발행일	1925년 12월 01일
기사제목	朝鮮의 一年·世界의 一年
필자	起田
기사형태	논설

朝鮮의 一年·世界의 一年
						起田
이 달이 12月, 乙丑年도 이제는 다-져물었다. 1年의 歲月이란 엇지보면 電光石火와도 갓지마는 또 생각하면 그러케 쩔은 동안도 아니다. 우리가 이럿케 옷 입고 집 짓고 살아오는 지가 지금까지 얼마 동안이나 되엿겟느냐 하면 勿論 限업시 悠長해 보이지마는 그 限업는 悠長한 동안이라는 것도 結局 따지고 보면 이 1年 동안을 約 5천倍한 것에 지내지 못한다. 그러면 지금까지의 全人類의 歷史를 지여 온 동안의 5천분지 1에 상당한 今年은 果然 무엇을 하엿느냐.
이 뿐 아니다. 가튼 사람의 가튼 시간이라 할지라도 그 시간이 그 사람에게 對해서 엇던 영향을 주는데 잇서는 일하는 시간과 쉬는 시간이 다르며 또 꼭 가른 그 날의 꼭 가튼 시간이라 할지라도 그 시간이 그 날에 對한 變化를 주는 데에는 그 시간이 그 날에 位한 形便의 如何에 依하야 엄청나게 다를 수가 잇는 것이니 假令 그 날의 해가 뜰 때 또는 질 때의 몃 十分時間이란 것은 그 날 엇던 때의 시간보다는 가장 만흔 變化를 그 날에 주는 것이다. 곳 能히 그 時日이 우리 人類社會에 작용하는 그 점에 잇서는 어둡던 천지를 밝게 하며 밝던 천지를 어둡게 하는 힘을 가진 것이다. 이와 가티 가튼 1年(或은 1年以上)의 時日이라 할지라도 그 時日이 位在한 世季의 如何 依하야 스스로 다름이 잇슬 것이다. 그러면 그 동안의 個人主義의 문명으로브터 일약 사회주의의 文明에 드러서려 하는 一大 轉換期에 位在한 今年 1年은 果然 우리에게 무엇을 뵈여 주엇스며 또 무엇을 생각케 하엿는가.

世界的으로 볼 때 今年 1年에 第一 눈 띄우는 일은 (一)弱小民族의 國權運動과 (二)勞農露西亞의 亞西亞化와 (三)英米佛을 爲始한 몃 資本主義 列國의 結合이다. 더 할말 것도 업는 일이어니와 1918年 巴里에 平和會議가 열니는 그 처음에는 正義 人道니 民族自決이니 하야 한참 동안 弱小民族問題의 盛傳되엿스나 결국 平和條約을 맷는 그 자리에 잇서는 單히 戰敗國의 뒷 勢力을 꺽고 戰勝國의 새로운 압잡이를 짓기 爲하야 波蘭＜2＞ 첵크 유-고스라비악크 가튼 몃 나라를 독립식히고 그 나마의 모든 弱小民族에 對하야는 分割이니 委任統治니 保護國이니 하는 幾多의 名目 밋해서 논아 먹고 마랏스며 그 大戰에 關係업시 그 前부터 領有하고 잇던 弱小種族이나 其他의 被壓迫民族(例如中國)에 對하야는 大戰以後 國內외 政形이 점점 整頓됨을 따라 壓迫 搾取의 度를 더욱 놉히고 마랏다(그 方式은 大槪로 얼려 가며 무엇 먹이는 格으로 한다)그만한 일이 잇스면 반드시 그만한 反動이 생기는 것이라. 이 모든 資本帝國主義 國家의 暴虐에 對한 弱小民族의 울분은 폭발되기 시작하엿다. 아조 금년으로부터 폭발되기 시작하얏다. 5月 30日 上海 南京路에서 생긴 學生銃殺事件을 導火線으로 하야 니러난 全中國의 國權回復運動이 그것이며 佛領 모롯코와 씨리아에서 니러난 리푸族과 드류스族의 自由運動이 그것이다. 말하면 뭇놈의 壓迫이 한대로 迫至하는 中國大陸에서 몬져 폭발한 셈이요. 內定의 피폐가 別로 심한 佛蘭西의 領內에서 먼저 叛動한 것이다. 그러나 弱小民族은 中華大陸이나 佛蘭西 領內에 잇는 것이 아니다. 어느 곳에도 잇다. 저기에 잇는가 하면 여긔에도 잇스며 보통으로 일컷는 植民地라는 그 땅 안에만 잇는가 하면 소위 本 國 內地라고 하는 그 안에도 잇다. 오늘날의 弱小民族이라 하는 말은 결국 政治上으로 主權을 일코 經濟上으로 搾取를 당하는 民衆을 지칭함인바 비록 如何히 本國의 國旗를 가진 사람이라 할지라도 實地로 그 나라의 政權에 干與하지 못하고 生活의 保障을 엇지 못하는 民衆-달리 말하면 無産階級에 屬한 그 사람은 다-가튼 弱小民族이라 할 수 잇는 것이며 또 實際에 잇서 이 民衆들은 서로 손잡을 것이다. 그런데 이 弱小民族의 反抗運動이 금년으로서 폭발되기 시작하야 그냥 그대로 해를 넘는다. 一隨*動萬波波-일로 압날의 일이 注目할 일이다.

이 弱小民族의 運動이란 그 뒤에는 勞農露西亞가 잇는 것을 니즐 수 업는 것이니 누구나 아는 바와 가티 露西亞는 1917年에 일즉이 共産革命을 遂行한 後로 니여써 世界革命에 手를 着하려 이것을 實行하려 먼저 資本主義의 列强을 꺽구러 처야 할지오. 이것을 꺽구러 치려면 그 國內에 잇는 無産民衆이니 그 세력 내에 잇는 약소민족과 손을 잡을 수 밧게 업스리라 하야 먼저 歐大陸을 향하야 그 方策을 진행하던 중 獨逸革命의 뿔조아化 其他＜3＞ 英佛의 內政安定 등으로 인하야 그 計劃이 뜻과 가티 되지 안흐매 勞農政府에서는 얼마큼 戰術을 고치여써 爲先 방비가 鞏固한 西歐方面에 對하야는 特久作戰을 할지라도 民族的 不平이 가장 基한 東洋方面으로 勇進하야 方面에 對할 모든 植民地의 解放으로써 一切의 資本列强에 對한 迂回作戰하기로 하엿나니 土耳其 斯坦에는 「우스베크」와 「도루구멘」의 두 共和國을 건설하고 西佰利亞에는 內蒙古와 「푸리야-도」의 두 共和國을 新興식히여 民族쏘베트의 陳容을 정비하는 것이나 먼저는 中國 다음은 日本과 交를 修하야 互相의 去來를 通하는 것이 모다 이 西守東進하는 露西亞의 東洋革命에서 나오는 것이다. 勿論 이일은 일즉브터 經營된 일이엿스나 금년에 니르러서 일층 적극화하고 구체화한 感이 잇다. 日露의 修交條約이 금년 早朝에 成立된 것과 中國의 國權回復運動이 금년 春季로부터 別로 왕성한 것을 보아서 더욱히 그러타고 할 수가 잇다. 그러나 只今 外까지 뵈인 것은 다못 序幕 뿐이다. 正말로의 큰일은 압헤 잇슬 것이다.

