잡지명	개벽 第60호
발행일	1925년 06월 01일
기사제목	郡守를 歷訪하고 郡守諸君에게, 爲先 郡守들의 觀相부터 (Visiting the County Magistrates and Addressing Them: First, Reading Their Physiognomy)
필자	朴達成
기사형태	논설 (Editorial)

Visiting the County Magistrates and Addressing Them: First, Reading Their Physiognomy
						By Pak Tal-sŏng

This Magistrate and That Magistrate I Saw

As these are impressions from a brief moment by a passing guest, their character aside, even the contours of their faces are unclear. Furthermore, as much time has passed, whether they were tall or short, had a beard or not, whether it was Mr. Pak or Mr. Kim, even their names are hazy. Therefore, this physiognomy reading cannot reveal the true essence and will just fumble around the surface.

Chaeryŏng County Magistrate Pak Sŏng-ju (朴性宙) is of appropriate medium height with a darkish round face and a black beard. Sitting poised in the County Magistrate's chair, he lacks the imposing air of a magistrate but looks quite sharp. At first glance, he seems a bit cocky, but on second look, not so much. When talking about the situation in Puk'il-myŏn from beginning to end, he abruptly stood up to explain with a map, showing considerable detail. I wonder if he has separate business after leaving the office, as I couldn't meet him even after visiting his private residence twice. Was it due to the Magistrate's busy schedule or the reporter's bad timing? Or perhaps—does he have a drinking problem (마시는 症) that isn't excessive? I wondered.

Sinch'ŏn County Magistrate Sim Sang-guk (沈相國) was quite tall, with a rather long face, prominent brow bones, a high nose, and even a booming voice—a quite lively fellow. Is the armchair a buttock exerciser? He twirls around once with almost every word. Does he perhaps have a nervous tic (風症)? With every phrase, he sniffs, sits down, stands up, paces back and forth—a very restless fellow. His long and sturdy face and physique look quite imposing, but his excessive restlessness makes him seem common (賤). Interrupting conversations and interactions is a flaw, a major one if any, but his overall straightforwardness is good. Anyone can acknowledge he is a good person (好人), not a bad one (惡人).

Anak County Magistrate Nam Ki-yun (南基允) is also tall and robust like Sinch'ŏn's Sim, but much more composed and gentle than Sim. <96> He lacks the usual magistrate's affectations (假態) and is like a simple country gentleman (村양반) who speaks haltingly but quite well. He seems to be a commoner-style magistrate who holds considerable sympathy from the people.

Hwangju County Magistrate, a Japanese (name forgotten), is a tall, long-faced young man under 40. He lacks even a speck of the aloofness characteristic of Japanese and seems quite gentle. As his appointment is recent, he expressed much apology and humility (未安恭遜), saying he doesn't know Hwangju's situation well; his social grace (交際味) is better than that of Korean Magistrates.

Pongsan County Magistrate Yi Sŭng-gu (李承九) is of medium height, with a round, flat face and a becoming figure-eight mustache. He speaks in great detail and at length, which might feel tedious to impatient people. He skillfully tries to maintain credibility (信用) between Japanese and Koreans with every phrase. His efforts to boast about his district as much as possible—mentioning cabbages, defending women, explaining embankments well, and emphasizing the success of the canal—clearly show he has the qualifications of a County Chief (郡長).

Sŏhŭng County Magistrate Kim Chong-sŏk (金鍾奭) was away on a business trip to Haeju, so I couldn't meet him. Suan County Magistrate Yun Kwan-il (尹貫一) was missed because it was Sunday. Koksan County Magistrate Cho Ku-hyŏn (趙九鉉), perhaps because he is a magistrate in a mountain county, seemed quite arrogant and blunt. He overtly displayed an attitude of "I am the County Magistrate." He took my name card for nothing, didn't offer a cup of tea to a guest from afar, and didn't answer questions clearly. This fellow, not particularly imposing in height or face, and old enough to know better socially, was acting like a stubborn mule (뚝쟁이). Perhaps it's understandable, as he only deals with villagers in the mountains.

Sin'gye County Magistrate Pak Pong-gu (朴鳳九), though a mountain county magistrate, is not like Koksan's Cho. Like a donkey shy with strangers (낫가림하는 당나귀), he seemed a bit standoffish at first, but gradually became engaging. In the end, he had such an appealing personality (흡인성) that it was hard to leave. Medium height, a flattish face, a soft voice—not particularly imposing. He doesn't seem unfortunate, but the death of his grown son, a doctor, is a very sad affair.

P'yŏngsan County Magistrate Yu Hŭn-sŏp (劉壎燮) is quite tall and has a rather long face. As the son of Haeju's wealthiest man, the head of P'yŏngsan county, and holding an agriculture degree (農學士), one would expect him to put on airs, but surprisingly, he is a very simple and good-natured person (好人). It seems he has moved from an attitude of wealth and status to a rural attitude (農村態). He appears to hold some new ideas (新思想), but they say he still values his money.

Kŭmch'ŏn County Magistrate Yang Wŏn-tak (梁元鐸) was away on a business trip, so I did not see him. These are the County Magistrates I saw.

Past Magistrates and Present Magistrates <97>

In old terms, the Sado-nim (使道님), Chijunim (地主님), and in current terms, the Kunsu Yŏnggam (郡守令監), were truly the head of ten thousand people (萬民之長) and the general of a county (一郡之將). Times being what they are, now they are merely local officials performing professional administration, but in the past, they were the gentlemen who held total administrative and judicial power, controlling the life, death, fortune, and misfortune of the people.

Representing a county, their status was undoubtedly considerable; being administrative officials, they naturally held commensurate authority. When they went out, the county people looked up to them; when they entered, attendants supported them. "Ahem, I was, in old terms, the Lord of the Castle (城主님), and in current terms, the County Magistrate. Yes, indeed, you rascals!" they would puff out their chests as much as possible.

But that's the magistrate of the past; now, it's unthinkable. Who would even glance at a mere county magistrate? People just think, "A magistrate is a magistrate, and I am me." They just say, "What power does a magistrate have? Under Japanese manipulation (日本놈의 操縱하에서), they just guard an empty chair." Despite this, foolish magistrates act all high and mighty and put on airs (假勢). When introducing themselves, they typically don't state their own name; when conversing, they typically use informal speech (반말). (However, this is the posturing of fools; many are not like this.)

Having traveled all 13 provinces of Chosŏn (朝鮮), I have seen many magistrate 'excellencies'. Seeing them in my capacity as a reporter, the quick-witted magistrates generally try to show as much kindness as possible and try not to sully the reporter's notebook as much as possible. Whether that is their true intention or not could be clearly seen in conversations between the Magistrates and the villagers.

Perhaps it's understandable in the context of the official-people (官民) relationship? In any case, unkindness, arrogance, and acting like officials (官長然함) seem to be the reality. Of course, it would be so. To speak frankly, is it only the magistrates? Magistrates, being magistrates, at least have that much character and knowledge. In this society that prioritizes rank, such sights can be seen everywhere among humans. The posturing of the Sub-county Chief (面長) is worse, the posturing of the Patrolman (巡査) is beyond words, and where does it not exist between aristocrat (양반) and commoner (상놈), rich and poor, man and woman, parent and child, teacher and student, educated and uneducated?

Therefore, this is not intentionally criticizing magistrates, but rather expressing a plea (苦情) I have for them, mentioned in passing.

My Plea to the Magistrates

To the magistrates of Chosŏn's 220 counties, I wish to say this. (Each surely has a sense of responsibility, and I know <98> there must be many efforts to fulfill that responsibility, but I say this because it still seems insufficient.)

As the administrative official representing that locality, you likely hold the trust and respect (信望) of the county residents and possess influence over them. With the trust and influence of a magistrate, I believe there is much that can be done for the locality. And I believe it can be done if attempted. For the magistrate, regarding local affairs, it is truly a matter of "not doing," not "not being able."

Education (敎育), Industry (産業), Good Customs (美風善俗)—for the peace and happiness of the county residents, how much work are the magistrates doing?

Have you visited village schools (서당) and modern schools to comfort teachers and give instructive talks (訓話) to students? Have you ever shaken a farmer's hand or wiped the sweat of a laborer? Have you ever called a shaman (巫黨) to admonish them or called a geomancer (風水) to explain the presence or absence of geomantic significance (地理有無)? Have you received the tears of gratitude from a vagrant or heard the repentance of one whose family was ruined (敗家者)?

Gentlemen Magistrates, how many among you truly receive the title of "Good Governance Magistrate" (善政郡守) from your respective county residents?

Gentlemen Magistrates, the comfortable armchair in the county office is not your only seat. The sub-county office (面所) or the village head's house (洞長집) are not the only places you should visit. Try sitting in grassy fields and on sandy ground. Seek out the ridges between rice paddies and walk along the furrows of dry fields. Don't just bow to the high officials of the Government-General (總督府) or Provincial Office (道廳); try bowing to farmers and laborers too. Don't just drink with the Police Chief (署長) or Section Chief (課長); try associating with old and young farmers as well. Isn't enjoying village chicken and wild vegetables (村鷄野菜) with an old farmer more enriching than fine wine in golden cups (金樽美酒) in blue pavilions and grand towers (靑樓巨閣)?

Gentlemen Magistrates of Chosŏn's 220 counties, visit the farming villages often. Get close to the villagers. Smell the scent of the earth. Smell the fragrance of the grass in the dewy fields.

When you go to the villages, be sure to wear Korean clothes (朝鮮服). If you wear Western clothes (양복), the farmers will be scared and run away. When you go to the villages, be sure to wear straw shoes (메투리). The paths are rough, and you'll turn back citing sore feet before you've gone 10 ri (里). And be sure to use honorific language (敬語) with the villagers. Use it even with woodcutters (樵夫) and shepherd boys (牧童). Never act like a magistrate. Say, "I am your friend (당신의 동무외다)," and kindly take their wrist. This I ask of you. <99>

**Summary**

The author, Pak Tal-sŏng, provides brief, character-sketch style observations of several county magistrates (Kunsu) he met in various Korean counties in 1925, focusing on their appearance and demeanor. He contrasts the diminished power of these colonial-era officials with the absolute authority of past magistrates (Sado), criticizing those who still act arrogantly. The core of the article is a plea to all 220 magistrates in Korea to shed their bureaucratic detachment, visit rural areas frequently, wear Korean attire, interact humbly and respectfully with common farmers and laborers using polite language, and actively work for the welfare of their communities in education, industry, and customs, thereby earning the people's trust despite the constraints of Japanese rule.

From a historical perspective, this article is interesting for its candid portrayal of local Korean officials navigating the colonial system. It reveals the tension between their Korean identity/potential connection to the populace and their role as administrators under Japanese authority. The author's specific advice – wear Korean clothes, use polite language with commoners, visit villages – reflects a nationalist desire for cultural preservation and solidarity against colonial hierarchy, suggesting subtle forms of resistance and identity assertion were encouraged even within the system. The descriptions of individual magistrates also offer glimpses into the personalities and working styles expected or observed in local governance during that period.

**Named Entities**

朴達成	박달성	Pak Tal-sŏng
載寧郡守	재령군수	Chaeryŏng County Magistrate
朴性宙	박성주	Pak Sŏng-ju
北栗面	북율면	Puk'il-myŏn
信川郡守	신천군수	Sinch'ŏn County Magistrate
沈相國	심상국	Sim Sang-guk
安岳郡守	안악군수	Anak County Magistrate
南基允	남기윤	Nam Ki-yun
黃州郡守	황주군수	Hwangju County Magistrate
日本人	일본인	Japanese person
朝鮮人	조선인	Korean person
鳳山郡守	봉산군수	Pongsan County Magistrate
李承九	이승구	Yi Sŭng-gu
瑞興郡守	서흥군수	Sŏhŭng County Magistrate
金鍾奭	김종석	Kim Chong-sŏk
海州	해주	Haeju
遂安郡守	수안군수	Suan County Magistrate
尹貫一	윤관일	Yun Kwan-il
谷山郡守	곡산군수	Koksan County Magistrate
趙九鉉	조구현	Cho Ku-hyŏn
新溪郡守	신계군수	Sin'gye County Magistrate
朴鳳九	박봉구	Pak Pong-gu
平山郡守	평산군수	P'yŏngsan County Magistrate
劉壎燮	유훈섭	Yu Hŭn-sŏp
農學士	농학사	Degree holder in Agriculture
金川郡守	금천군수	Kŭmch'ŏn County Magistrate
梁元鐸	양원탁	Yang Wŏn-tak
使道	사도	Sado (Traditional Magistrate)
地主	지주	Chiju (Traditional term, here likely meaning local lord/master)
郡守令監	군수영감	Kunsu Yŏnggam (Honorific for County Magistrate)
萬民之長	만민지장	Head of Ten Thousand People
一郡之將	일군지장	General of a County
日本놈	일본놈	Japanese bastard (derogatory term)
朝鮮	조선	Chosŏn (Korea)
面長	면장	Myŏnjang (Sub-county Chief)
巡査	순사	Sunsa (Patrolman/Policeman)
總督府	총독부	Chongdokpu (Government-General)
道廳	도청	Toch'ŏng (Provincial Office)
署長	서장	Sŏjang (Police Chief)
課長	과장	Kwajang (Section Chief)

**Glossary**

郡守	군수	County Magistrate (Head official of a 'Kun' or county)
歷訪	역방	To visit various places/people sequentially
觀相	관상	Physiognomy; face reading
알마즌	알맞은	Appropriate, suitable, medium (older spelling)
깜으작작한	까무잡잡한	Darkish, swarthy (older spelling/form)
붓치고	붙이고	Attach, put on (older spelling)
안즌	앉은	Sitting (older spelling)
업스나	없으나	Although there isn't (older spelling)
검방진	건방진	Arrogant, cocky
니약이	이야기	Story, talk, conversation (older spelling)
이러서	일어서	To stand up (older spelling)
風症	풍증	Nervous habit, tic (lit. 'wind illness')
賤해 보인다	천해 보인다	Looks common, low-class, vulgar
만히	많이	Many, much (older spelling)
가티	같이	Like, as, together with (older spelling)
점잔으면서도	점잖으면서도	While being gentle, refined, composed (older spelling/form)
양반가튼 이	양반 같은 이	Person like a Yangban (traditional gentry/nobility), here implying a simple country gentleman
곳잘한다	곧잘 한다	Does quite well, does fairly well
낫가림하는	낯가림하는	Shy with strangers (lit. 'face-covering')
나브작한	납작한	Flat (older spelling/form)
使道	사도	Magistrate (high official in Joseon Dynasty)
令監	영감	Honorific title for officials (like 'Your Excellency') or older men
假勢	가세	Putting on airs, bluffing, showing off false authority
반말	반말	Informal speech level (used with juniors or equals/intimates)
是主하다	시주하다	To prioritize, make central (here: rank-conscious)
양반	양반	Traditional Korean aristocracy/gentry class
상놈	상놈	Commoner (often derogatory)
苦情	고정	Grievance, complaint, earnest plea
信望	신망	Trust and respect, confidence
巫黨	무당	Shaman (usually female)
風水	풍수	Feng shui; geomancy/geomancer
敗家者	패가자	Person whose family/household is ruined
善政郡守	선정군수	Magistrate of good governance
面所	면소	Sub-county office ('Myŏn' office)
洞長	동장	Village head ('Dong' head)
풀밧테	풀밭에	In the grass field (older spelling)
안저보라	앉아보라	Try sitting (imperative, older form)
차저보고	찾아보고	Try visiting/seeking out (older form)
밧고랑	밭고랑	Furrow in a dry field (older spelling)
맛터보라	맡아보라	Try smelling (older spelling/form)
반듯히	반드시	Certainly, surely, must (older spelling)
朝鮮服	조선복	Korean clothes (Hanbok)
양복	양복	Western-style suit/clothing
메투리	메투리	Straw shoes
敬語	경어	Honorific/polite language
樵夫	초부	Woodcutter
牧童	목동	Shepherd boy
외다	외다	Is (older form of the copula 이다)
-e 

---------------------------


잡지명	개벽 제60호
발행일	1925년 06월 01일
기사제목	郡守를 歷訪하고 郡守諸君에게, 爲先 郡守들의 觀相부터
필자	朴達成
기사형태	논설

郡守를 歷訪하고 郡守諸君에게, 爲先 郡守들의 觀相부터
						朴達成
내가 본- 이 郡守 저 郡守

일시 過客이 잠간 본 相이라 그의 인격 如何는 고사하고 그의 얼골 輸廊 하나도 분명치 안타. 게다가 時日이 오래고 보니 키가 컷든지 적엇든지 수염이 낫든지 안낫든지 朴哥엿든지 金哥엿든지 姓名까지도 어렴픗하다. 그러닛가 관상이라야 그 正鵠은 드러내지 못하고 것만 어물어물 할다말게 되얏다.
載寧郡守 朴性宙君은 알마즌 中 키에 깜으작작한 동글 얼골에 깜안 수염을 붓치고 郡守子椅에 재치고 안즌 것이 군수다운 위풍은 업스나 퍽 똑똑해 보이고 얼핏 보아 좀 검방진 맛이 잇스나 다시 보면 그러치도 안타. 北栗面의 自初至終을 니약이 하다가 벌덕 이러서 地圖 說明을 하니 퍽도 자세한 편이다. 退廳 이후에 따로 사무가 잇는지 私宅 방문 2次에 한번도 못맛난 것은 君의 多事인지 기자의 時不乘인지? 혹- 마시는 症이나 過하지 안은가? 하얏다.
信川郡守 沈相國君은 키도 어지간히 크고 얼골도 꽤 길고 언덕눈이 웃둑 코에다가 말소리까지 덜덜하는 꽤 활발한 친구엿다. 안락의자는 엉딍이 運動具인지 말 한마듸에 한번식 삥삥 두루며 본래- 風症이 잇는지 말마디마다 코를 실눅거리며 안졋다 이러섯다 왓다갓다하는 등 퍽- 수선스러운 친구다. 얼골과 체격이 길고 두틀한 것이 꽤 위풍이 잇서 보이나 넘우 수선을 떠는 통에 그만 賤해 보인다. 이약이를 하다말고 사람을 대하다말고 하는 것이 欠이라면 大欠이나 두루 썰썰한 맛이 좃타. 好人이요 惡人안인 것은 누구나 是認할만하다.
安岳郡守 南基允君도 信川의 沈君과 가티 키도 크고 얼골도 풍부한데 沈君보다는 퍽 점잔으면서도 은근스럽다.＜96＞ 예의 군수식 假態는 업고 수수한 村양반가튼 이가 더듬더듬 이약이를 곳잘한다. 평민식 군수로 민간의 동정도 꽤 만히 가진 모양이다.
黃州郡守 日本人(失其名)은 키크고 얼골 길숙한 40未滿의 젊은 친구인데 日本人의 특성인 쌀쌀한 맛은 한 점도 업고 퍽 부드러워 보인다. 赴任이 日淺하야 黃州사정을 잘 몰은다고 매우 未安恭遜의 態를 示함은 朝鮮人 郡守보다도 交際味가 좃타.
鳳山郡守 李承九君은 키가 中키요, 얼골이 동글납작하고 八字 수염이 보기좃케 낫는데 亦 니약이가 자세하고 길어서 성급한 사람은 支離를 感할 듯하며 日本人 朝鮮人의 틈에서 信用을 並保하려고 말끗마다 재조도 잘 부린다. 자기 지방을 될 수 잇는대로 자랑하랴고 白菜를 擧하고 婦女를 辯護하고 堤防을 善解하고 運河의 성공을 역설함은 郡長의 자격이 확실히 잇다.
瑞興郡守 金鍾奭은 海州출장 중이라 못보고 遂安郡守 尹貫一은 일요일이라 못보고 谷山郡守 趙九鉉郡은 산골군수라 그런지 퍽도 검방져 보이고 뚝뚝해 보인다. 「나는 郡守令監인데」 하는 態를 露骨로 보인다. 나의 名啣은 空으로 잘나먹고 千里遠客에게 차 한잔 안이주고 뭇는 말 대답도 시원이 안이한다. 키로나 얼골로나 그닥 위풍도 업는 친구가 연령도 그만 交際는  알만한데 뚝쟁이 노릇을 하고 잇다. 산골서 촌민만 더불고 노는지라 容或無怪지-.
新溪郡守 朴鳳九君은 산골군수일망정 谷山의 趙君갓지는 안타. 낫가림하는 당나귀 모양으로 처음은 좀 산듯하더니만 차츰 사괼 맛이 잇는데 那終은 아조 흡인성이 잇서 떠러지기가 실타. 中키에다가 나브작한 얼골에다가 말소리 軟하니 별 위풍은 업다. 薄福해 보이지는 안는데 장성한 의사아들이 죽엇다는 것은 매우 섭섭한 일이다.
平山郡守 劉壎燮君은 키도 꽤 크거니와 얼굴도 꽤 길다. 海州一富의 子요 平山一郡의 長이요 農學士이니만치 그만치 態를 낼 터인대 퍽- 수수한 好人임은 意外千萬이다. 富態長態로부터 農村態에 온 셈이것다. 新思想도 다소 가진 모양인데 그러나 돈은 아직 액긴다고.
金川郡守 梁元鐸군은 출장 중이라 못 보앗다. 이것이 내가 본 郡守들이다.

過去郡守와 現在郡守＜97＞

이젼 말로 使道님 地主님 지금 말로 郡守令監이야말로 萬民之長이요, 一郡之將이엿다. 시대가 시대인지라 지금은 일개 地方官으로 직업적 행정을 시사하지만 과거에 잇서서는 行政司法을 總執한 上에서 인민의 生死禍福을 左之右之하든 그 양반들이엿다.
