Magazine Title: 開闢 제60호
Publication Date: 1925년 06월 01일
Article Title: 社告 (Company Announcement)
Article Type: 사고·편집후기 (Announcement/Editorial Postscript)

Company Announcement / *Kaebyŏk* Branches (支社), Sub-branches (分社), and Distribution Points (分賣所) Newly Established or Changed in May

◎Kanggye Branch (江界支社) Staff Changes and Augmentation
Branch Head: Yi Wŏnhaeng (李元行)
General Affairs: Kim T'aengnyŏl (金澤烈)
Reporter: Pak Sangsu (朴相秀)
Collections Agent: Kim Kijik (金基稷)
Advisor: Chang Seho (張世皓)
Advisor: Paek Inok (白仁玉)
Advisor: Kim Sŏngnyŏn (金錫璉)
Advisor: Yi Pokhyŏn (李福鉉)

◎Hŭnggyŏng County Sub-branch (興京縣分社) Location and Staff
Hanam East Main Street, Hŭnggyŏng County, Fengtian Province (奉天省 興京縣 河南東大街)
Sub-branch Head: Yi Chongŭn (李鍾殷)
Advisor: Kang Un'gi (康雲起)
Advisor: Ch'oe Irhwa (崔日華)
Advisor: Hyŏn Ch'angho (玄昌浩)
General Affairs: Sŏnu Pin (鮮于斌)
Reporter & Secretary: Ch'oe Hoŭn (崔虎隱)
Reporter: An Yŏnggyun (安泳均)
Reporter: Kang Yonggŭn (姜瑢根)
Reporter: Yi Ch'ŏng'u (李靑愚)
Reporter: Kim Tŭkp'il (金得弼)

◎Kando Branch (間嶋支社) Staff Changes
Branch Head: Sŏ Kijin (徐基珍)
General Affairs: Cho Ch'angdŏk (趙昌德)
Advisor: Hŏ Ch'angguk (許昌國)
Reporter: Hong Unp'yo (洪運杓)
Female Reporter: Sin Insun (辛仁順)

◎Naju Branch (羅州支社) Location and Staff
Sŏmunchŏng, Naju Township, Naju County (羅州郡 羅州面 西門町)
Branch Head: Yang Hyŏnsik (梁鉉埴)
General Affairs: Yang Kyŏngsik (梁敬植)
Reporter: Chŏng Pokki (鄭福基)

◎T'ongyŏng Sub-branch (統營分社) Staff
Sub-branch Head: Sŏ Pyŏng'u (徐丙右)
General Affairs & Reporter: Sŏ Ch'angŭl (徐昌乙)

◎Hoengsŏng Sub-branch (橫城分社) Newly Established
Sub-branch Head: Yi Tongsu (李東壽)
General Affairs & Reporter: Cho Suung (趙秀雄)
Advisor: Yun T'aehyŏn (尹兌鉉)

◎Newly Established Distribution Point within Pyŏktong Branch (碧潼支社) Area
Uhwa-dong, Usi Township, Pyŏktong County (碧潼郡 雩時面 雩河洞)
Distribution Point Head & Reporter: Kim Sŏngha (金晟河) <31>

**Summary**

This article is a company announcement from the Korean magazine *Kaebyŏk*, detailing personnel changes, relocations, and the establishment of new branches, sub-branches, and distribution points during May 1925. It lists the names and positions of staff at various locations, including Kanggye, Hŭnggyŏng County (in Fengtian Province, Manchuria), Kando (also in Manchuria), Naju, T'ongyŏng, Hoengsŏng, and Pyŏktong County. For historians, this piece provides valuable insight into the organizational structure and expanding reach of a prominent Korean cultural and intellectual magazine during the colonial period. The presence of branches in Manchuria (Hŭnggyŏng, Kando) highlights the magazine's engagement with the Korean diaspora, while the detailed staff lists offer potential avenues for researching individuals involved in Korean media and nationalist movements at the time. The inclusion of a "Female Reporter" (女記者) is also noteworthy for the period.

**Named Entities**

江界支社	강계지사	Kanggye Branch
李元行	이원행	Yi Wŏnhaeng
金澤烈	김택렬	Kim T'aengnyŏl
朴相秀	박상수	Pak Sangsu
金基稷	김기직	Kim Kijik
張世皓	장세호	Chang Seho
白仁玉	백인옥	Paek Inok
金錫璉	김석련	Kim Sŏngnyŏn
李福鉉	이복현	Yi Pokhyŏn
興京縣分社	흥경현분사	Hŭnggyŏng County Sub-branch
奉天省	봉천성	Fengtian Province
興京縣	흥경현	Hŭnggyŏng County
河南東大街	하남동대가	Hanam East Main Street
李鍾殷	이종은	Yi Chongŭn
康雲起	강운기	Kang Un'gi
崔日華	최일화	Ch'oe Irhwa
玄昌浩	현창호	Hyŏn Ch'angho
鮮于斌	선우빈	Sŏnu Pin
崔虎隱	최호은	Ch'oe Hoŭn
安泳均	안영균	An Yŏnggyun
姜瑢根	강용근	Kang Yonggŭn
李靑愚	이청우	Yi Ch'ŏng'u
金得弼	김득필	Kim Tŭkp'il
間嶋支社	간도지사	Kando Branch
徐基珍	서기진	Sŏ Kijin
趙昌德	조창덕	Cho Ch'angdŏk
許昌國	허창국	Hŏ Ch'angguk
洪運杓	홍운표	Hong Unp'yo
辛仁順	신인순	Sin Insun
羅州支社	나주지사	Naju Branch
羅州郡	나주군	Naju County
羅州面	나주면	Naju Township
西門町	서문정	Sŏmunchŏng
梁鉉埴	양현식	Yang Hyŏnsik
梁敬植	양경식	Yang Kyŏngsik
鄭福基	정복기	Chŏng Pokki
統營分社	통영분사	T'ongyŏng Sub-branch
徐丙右	서병우	Sŏ Pyŏng'u
徐昌乙	서창을	Sŏ Ch'angŭl
橫城分社	횡성분사	Hoengsŏng Sub-branch
李東壽	이동수	Yi Tongsu
趙秀雄	조수웅	Cho Suung
尹兌鉉	윤태현	Yun T'aehyŏn
碧潼支社	벽동지사	Pyŏktong Branch
碧潼郡	벽동군	Pyŏktong County
雩時面	우시면	Usi Township
雩河洞	우하동	Uhwa-dong
金晟河	김성하	Kim Sŏngha

**Glossary**

社告	사고	Company announcement
五月 中	오월 중	During May (Older particle usage)
新設	신설	Newly established
變更된	변경된	Changed (Older spelling/form of 변경된)
開闢	개벽	Kaebyŏk (Name of the magazine, lit. 'creation' or 'dawn of a new era')
支社	지사	Branch office
分社	분사	Sub-branch office
分賣所	분매소	Distribution point, sales outlet
職員	직원	Staff, employee
異動	이동	Change (in personnel), transfer
增員	증원	Increase in personnel, augmentation
支社長	지사장	Branch head
總務	총무	General affairs manager
記者	기자	Reporter
受金員	수금원	Collections agent, bill collector
顧問	고문	Advisor
同	동	Same as above, ditto
位置	위치	Location
及	급	And (Used like '와/과' or '및')
奉天省	봉천성	Fengtian Province (Historical name for a province in Manchuria)
縣	현	County
大街	대가	Main street
分社長	분사장	Sub-branch head
書記	서기	Secretary, clerk
女記者	여기자	Female reporter
郡	군	County
面	면	Township (administrative division)
町	정	Town district (often used during Japanese colonial period, Japanese reading 'chō' or 'machi')
區內	구내	Within the district/area
主任	주임	Chief, head, manager
-e 

---------------------------


잡지명	개벽 제60호
발행일	1925년 06월 01일
기사제목	社告
기사형태	사고·편집후기

社告/五月 中에 新設 又는 變更된 開闢支社·分社·分賣所
◎江界支社 職員異動 及 增員
支社長 李元行
總務 金澤烈
記者 朴相秀
受金員 金基稷
顧問 張世皓
同 白仁玉
同 金錫璉
同 李福鉉

◎興京縣分社의 位置 及 職員
奉天省 興京縣 河南東大街
分社長 李鍾殷
顧問 康雲起
同 崔日華
同 玄昌浩
總務 鮮于斌
記者 兼 書記 崔虎隱
記者 安泳均
同 姜瑢根
同 李靑愚
同 金得弼

◎間嶋支社의 職員異動
支社長 徐基珍
總務 趙昌德
顧問 許昌國
記者 洪運杓
女記者 辛仁順

◎羅州支社의 位置 及 職員
羅州郡 羅州面 西門町
支社長 梁鉉埴
總務 梁敬植
記者 鄭福基

◎統營分社職員
分社長 徐丙右
總務 兼 記者 徐昌乙

◎橫城分社의 新設
分社長 李東壽
總務 兼 記者 趙秀雄
顧問 尹兌鉉

◎碧潼支社 區內 新設分賣所
碧潼郡 雩時面 雩河洞
分賣所 主任 兼 記者 金晟河＜31＞
