Magazine Title: 삼천리 제7권 제8호
Publication Date: 1935년 09월 01일
Article Title: 나와 交友錄 (My Register of Friends)
Author: 安在鴻
Article Type: 회고·수기 (Memoir/Personal Essay)

My Register of Friends
						An Chae-hong

I was asked to write a Register of Friends (交友錄), and I agreed to do so. However, writing a Register of Friends has become something of a trend, and since I thoroughly dislike following trends up and down, I suddenly lost the desire to write the Register of Friends I had agreed upon, and became unable to write it. But there's no rule that says I cannot even tell stories of friendships, so I will make a few public.

I am a country person, so until the age of 16 or 17, I was mostly in my hometown corner in the countryside. Thus, my childhood friends (竹馬故友) are all country folk. The number of people I befriended as fellow students while studying at the village school (書堂) is not insignificant, but it's not like outstanding figures could emerge from such a small village. To this day, there are very few childhood friends whom I can single out as noteworthy. First, among the fellow students of that time, I would count several brothers from my own clan (一門). Next is a certain Mr. A (某甲); though he studied under his parents' care until nearly 20 years old, his heart wasn't in studies, and his habit learned from childhood was alcohol. He would constantly pester for drinks, and unable to refuse his pleading, I would secretly get him a bowlful from home without the adults knowing. He would gulp it down and pretend nothing happened. Later, when I would occasionally visit my hometown after wandering around Seoul or elsewhere for a long time, I'd see that his detached guest house (사랑채) had been sold and torn down, the once-fine main house (안채) with its two-bay hall (이간대청) remaining had also become someone else's property, and now<54> he barely maintained a single shack (오막사리 집). Yet, the devil drink played its tricks; he would haul whatever rice or barley he had to the tavern. When that wasn't enough, he tried to sneak away a basket (망태) of dried grass (苦草) hung up, deceiving his family's eyes. He tied a rope (색기) to the basket, threw the rope over the wall, went around the wall, and pulled the rope. His wife, knowing this, quickly emptied the dried grass and sent over only the empty basket. In anger and shame, he struck his wife's cheek, causing a huge commotion. That's one person.

Mr. B (某乙) had a good physique, considerable talent, and eccentric ideas. Even if he learned just a few dozen lines of pure classical Chinese, he could recite them fluently. With his hands, he skillfully imitated the work of carpenters. He deceived adults to get small change, bought Western and Japanese knives (洋刀倭刀), removed floorboards (마루창) and patched them with other pieces of wood, cut planks to carve geese (기러기), and did all sorts of things. When precious trees were planted and wrapped with straw mats for winter, he would tear open the mats to peel off the bark. When stray cat kittens were born in an empty storehouse, he would catch them, slightly cut their throats, and clap his hands, laughing alone finding it amusing while the sight of their crying was horrifying (慘酷) to others. Nowadays, saying he needs to make a heap of money, he wanders here and there, rumor has it he found some loose woman (허튼 기집), set up a tavern (주식점), gathers gamblers to run games (개장), and engages in swindling (불ㅅ적을 뗀다).

Mr. C (某丙) was known by others for being tall, bland, clumsy, and arrogant. Later, for some reason, circumstances made it uncomfortable for him to stay in his hometown, so he went to Seoul and Tokyo, wearing Western clothes. After serving for several years as a low-ranking official (判任級 某官吏), he openly returned to his hometown (居鄕). While addressing peasants as "Your Excellency" (영감), he also maintained close ties with government offices (官廳) and found pleasure absorbed in the pursuit of wealth (致富 三眛).

There was another person, older than me by a few years, who constantly played mischievous pranks. Knowing where I was squatting down (웅승거리고 안저) to relieve myself, he sneaked up behind me and<55> pushed my forehead hard, making me fall back into the filth, dirtying my trousers (고의). Though young, it was embarrassment upon embarrassment. I picked up a stone and chased him, but couldn't catch him. At dusk, carrying my dinner basket (밥망), I waited at a crossroads for him heading to his village. I aimed a flint stone (차돌멩이) at him, intending to crack his head, but unfortunately, an innocent fellow (애꾸진 놈) was hit glancingly (설피 맛고) while the prankster had already dodged aside. This fellow later made quite a name for himself in the business world (實業界) during several decades in Kyŏngsŏng (京城 - Seoul).

When I was 15 or 16, there were those in the village school (鄕村 書堂) who spread open and read advanced books like Sun Tzu and Wu Qi's Art of War (孫吳兵書), Zuo Zhuan (左傳春秋), Zhuangzi (莊子), and Sima Qian's Records of the Grand Historian (馬史). The teacher was also a fervent anti-foreign conservative (排外的 守舊家) who often delivered stern lectures (峻論). He would wake up sleeping students in the middle of the night, boasting that the Star of Literature (文昌星) shone this way, so someone who would achieve literary fame (文名) would emerge from here. Just seeing Venus (太白星) shining brightly, he would make pompous predictions (허풍선이적 豫言) that war (兵亂) would break out soon, considerably boosting morale at times. However, among my childhood friends (竹馬의 交), besides those mentioned earlier, there are currently doctors (醫師), clerks/officials (吏僚), and company employees (會社員) living domestically and abroad.

After that, my friends (交友) or mentors and friends (師友) are few if counted as few, but quite numerous if considered many. I spent my middle school days at the Academy (學舘) of the then Kyŏngsŏng Christian Young Men's Association (皇城基督敎青年會). After going to Tokyo, I remained involved with the Christian Young Men's Association (基督敎青年會), so I have quite a number of seniors and friends (先輩知友) from Christian circles to this day. In any case, my student life in Kyŏngsŏng marked one period of my friendships.

Next, right after the Kyŏngsul Annexation (庚戌變局 - 1910), as mentioned earlier, I went to Tokyo and stayed for five years. Therefore, many figures in various fields currently in their 40s, both at home and abroad, in the capital and provinces, were friends from Tokyo at that time. When I was 23 (in Kyech'uk year - 癸丑, 1913), during China's Second Revolution (中國 第2革命), with one year left until graduation, I left Tokyo for Shanghai. I then traveled for about 70 days through Qingdao (靑島), Jinan (濟南), Tianjin (天津), Beijing (北京), Shanhaiguan (山海關), Fengtian (奉天), and Andong County (安東縣).<56> Befriending seniors and acquaintances residing overseas during that time formed another period.

After returning from Tokyo, I taught for about three years, expanding my friendships centered around Kyŏngsŏng. Following that, after Kimi (己未 - 1919), my prison friends (獄友) from Taegu (大邱) form one category. Since Kapcha (甲子 - 1924), my friendships as a newspaperman, and friendships from various strata since the Sin'ganhoe (新幹會), add up to quite a list if enumerated, and the scope is certainly not narrow. Even after I endured severe trials and tribulations (激심한 風霜) over the past 3-4 years, I have received considerable encouragement from seniors residing in distant lands whom I haven't even met face-to-face, and from other individuals, sometimes newly inspiring feelings of gratitude.

Speaking of friendship (교우) in Chosŏn (朝鮮) lacks interest, and the reasons are not just one or two. Firstly, friendship, ideally a moral bond (도의의 交), where deficiencies in spirit (心靈) are mutually supplied in daily life, serving as a reliable companion (반려) on life's journey, is precious but not easily obtained. Secondly, there is political and social friendship (정치와 사회의 交). Different from personal feelings or connections (私情私分), this is fellowship as political allies (政友) or comrades (同志). While this can ultimately become moral friendship at its peak, in this situation where politics is out of our hands and all movements are inevitably stagnant, one cannot boast of having many friends in that sphere either. Unless a person aims for a definite course and sets a specific task, they naturally get entangled in the malady of instability (浮動的인 病弊). Thirdly, there is life-and-death friendship (생사의 交). This transcends worldly interests (세속적 이해), a firm and deep union of personality with personality. Such friendship of pure principle and pure feeling (순리 순정의 交) is hard to find even looking back through history. It is similar to moral friendship but also different, and it becomes increasingly difficult in modern times. Fourthly, there is friendship of the common crowd (衆俗의 交), which could be called civic friendship (市民的 交友). This involves perhaps mutual feasting and entertainment (饗應 餐應), sharing pleasures (歡樂), and exchanging customary condolences and congratulations (의례상의 哀慶). Modern Koreans<57> seem satisfied for now with this civic friendship.

Long ago, Tamhŏn Hong Tae-yong (湛軒洪大容) wrote the "Ŭisan Mundap" (醫山問答), describing his sense of solitude. After thirty years of secluded study (隱居 讀書), fathoming the transformations of heaven and earth (窮天地之化), investigating the subtleties of nature and destiny (究性命之微)... ordering human ways (經緯人道) and unifying the principles of things (會通物理), he emerged to speak to people, but "those who heard - none did not laugh at him (聞者 - 莫不笑之)." He went to Yanjing (燕京 - Beijing) seeking a true friend (知己) but was unsatisfied: "So, I went west to Yanjing and conversed among the officials (縉紳), residing in lodgings (邸舍) for 60 days, yet ultimately met no one suitable (卒無所遇)," he sighed deeply (喟然). In a letter sent to Son Yong-ju (孫蓉洲), he described the state of friendship among Koreans: "Scholars (學人) are proud and aloof (矜高而自古), literary men (墨客) are ornate but lack substance (藻麗而少實), the nobility (貴胃) are accustomed to arrogance and ease (狃於驕逸), and those from humble families (寒門) are habituated to subservience (習於卑順). Those pure in heart (純其心者) lack insight (蔑其識), and those rich in talent (富其材者) are miserly in conduct (嗇其行). Thus, having associated with people for half a lifetime (半世交遊), those capable of extending utmost sincerity (推至性) and remaining constant from beginning to end (終始不替者) are indeed few (盖無幾人)," he lamented profoundly (浩嘆). The difficulty of friendship seems timeless. A stagnant society further hinders friendship.

Last summer, I played at Songni Mountain (俗離山), admired the waters and rocks of Hwayang (華陽水石), crossed the sheer gorges (絶峽) of Naejang Mountain (內藏山), slept at Kaeam Temple (ꜫ巖寺 - likely Kaeamsa), passed through Unmun Hermitage (雲門庵), and headed towards Changsŏng Paegyang Mountain (長城白羊山). The mountain path was quite steep and rugged (險峻). Messrs. Sŏkchŏn Pak Han-yŏng (石顚朴漢永), Widang Chŏng In-bo (爲堂鄭寅普), and Songgye No Pyŏng-kwŏn (松溪 盧秉權) were my companions on that eastern journey (東途). Among the Chinese poems (漢詩) I composed in harmony with these gentlemen, there was the following couplet (右一聯):

Having thoroughly witnessed worldly changes, I know the profound principles. (備閱滄桑識玄理)
Accustomed to encountering treacherous peaks, I have never felt sorrow. (慣逢崒嵂不曾愁)

Though a poor poem (劣詩), it suffices to express my feelings (寫意). While the summer heat is still intense, writing a Register of Friends is utterly meaningless. I realize that concluding with these few pages is the right thing to do.<58>

**Summary**

An Chae-hong reflects on the nature of friendship, expressing skepticism about the trend of writing "Registers of Friends." He contrasts his rural childhood friendships, marked by colorful but often disappointing characters, with later associations formed during his studies in Seoul and Tokyo, travels in China, teaching career, imprisonment after the March 1st Movement, and involvement in journalism and the Sin'ganhoe. He laments the difficulty of finding true moral, political, or life-and-death friendships in contemporary colonial Korea, suggesting that most settle for superficial "civic" associations. Quoting the Joseon scholar Hong Tae-yong, he underscores the historical difficulty of finding genuine companionship, especially in a stagnant society, concluding that writing such a register feels meaningless under the current circumstances.

This article offers historians insights into the social disillusionment felt by a prominent nationalist intellectual during the mid-colonial period. An's categorization of friendships (moral, political, life-and-death vs. civic) reflects a yearning for deeper, purposeful connections seemingly absent or suppressed under colonial rule. His reflections on past associations, including politically significant ones (Tokyo students, post-1919 prison mates, Sin'ganhoe colleagues), hint at the networks and experiences shaping the nationalist movement, while his final resignation suggests the challenging atmosphere for meaningful social and political engagement in 1935 Korea.

**Named Entities**

安在鴻	안재홍	An Chae-hong
皇城基督敎青年會 學舘	황성기독교청년회 학관	Kyŏngsŏng Christian Young Men's Association Academy
東京	동경	Tokyo
基督敎青年會	기독교청년회	Christian Young Men's Association
京城	경성	Kyŏngsŏng (Seoul)
庚戌變局	경술변국	Kyŏngsul Pyŏn'guk (1910 Annexation)
癸丑	계축	Kyech'uk (1913)
中國	중국	China
上海	상해	Shanghai
靑島	청도	Qingdao
濟南	제남	Jinan
天津	천진	Tianjin
北京	북경	Beijing
山海關	산해관	Shanhaiguan
奉天	봉천	Fengtian
安東縣	안동현	Andong County
己未	기미	Kimi (1919)
大邱	대구	Taegu
甲子	갑자	Kapcha (1924)
新幹會	신간회	Sin'ganhoe
朝鮮	조선	Chosŏn (Korea)
湛軒洪大容	담헌홍대용	Tamhŏn Hong Tae-yong
醫山問答	의산문답	Ŭisan Mundap (Title of Hong Tae-yong's work)
燕京	연경	Yanjing (Beijing)
孫蓉洲	손용주	Son Yong-ju
俗離山	속리산	Songnisan
華陽	화양	Hwayang
內藏山	내장산	Naejangsan
ꜫ巖寺	개암사	Kaeamsa (Presumed reading of ꜫ巖寺)
雲門庵	운문암	Unmunam
長城白羊山	장성백양산	Changsŏng Paegyangsan
石顚朴漢永	석전박한영	Sŏkchŏn Pak Han-yŏng
爲堂鄭寅普	위당정인보	Widang Chŏng In-bo
松溪 盧秉權	송계 노병권	Songgye No Pyŏng-kwŏn

**Glossary**

交友錄	교우록	Register of Friends; list or record of one's friends.
承諾	승낙	Consent; approval.
쪼처	쫓아	(Older spelling) Following; chasing.
안조하하는	안 좋아하는	(Older spelling/form) Disliking; not liking.
멧가지	몇 가지	A few kinds; several items. (멧 is an older form of 몇).
업스니	없으니	(Older spelling) As there is not; because there isn't.
竹馬故友	죽마고우	Childhood friends (literally "bamboo horse old friends").
서당	서당	Village school teaching classical Chinese during the Joseon Dynasty and into the colonial period.
갓가웁도록	가깝도록	(Older spelling) Nearly; almost; close to.
어더	얻어	(Older spelling) Getting; obtaining.
넹큼	냉큼	Quickly; promptly.
쏘단이다가	쏘다니다가	Wandering around; roaming about. (쏘다니다 is dialectal/older form of 쏘아다니다).
헐리고	헐리고	Being torn down; demolished.
안채	안채	The main inner quarters of a traditional Korean house.
오막사리 집	오막살이 집	A humble shack; a hut.
망태	망태	A type of net bag or basket.
苦草	고초	Dried grass (often used for fodder or fuel).
색기	새끼	Rope (often made of straw).
붓그로움에	부끄러움에	In shame; out of embarrassment.
볼치	볼기	Buttocks; often used idiomatically for spanking or hitting the backside. (Here 우려 seems to mean 'struck' or 'hit').
양반	양반	The traditional ruling class or nobles in Joseon society.
倭刀	왜도	Japanese sword/knife.
洋刀	양도	Western knife.
삭이기	삭히기	Carving (wood). (삭이다 can mean 'to digest' or 'reduce', context suggests carving).
뷔인	빈	(Older spelling) Empty.
첫거든	쳤거든	(Here) Gave birth to (kittens). (새끼를 치다 means 'to give birth' for animals).
慘酷	참혹	Horrifying; cruel; gruesome.
判任級	판임급	The lowest rank ('Panim') in the former Korean official hierarchy, often retained for minor functionaries in the colonial bureaucracy.
居鄕	거향	Residing in one's hometown.
官廳	관청	Government office.
致富 三眛	치부 삼매	Being absorbed in accumulating wealth.
웅승거리고	웅숭그리고	Crouching or squatting down. (웅크리고 is standard).
고의	고의	Traditional Korean men's trousers, worn under outer garments.
다버리고	다 버리고	(Older spelling of 다 버리고) Getting completely soiled/ruined.
밥망	밥망	A basket or bag for carrying a meal (밥).
차돌멩이	차돌멩이	A piece of flint or quartz; a hard pebble.
애꾸진	애꿎은	(Older spelling of 애꿎은) Innocent; unrelated; blameless.
설피	설피	Glancingly; slightly.
兵書	병서	Book on military strategy; art of war.
左傳春秋	좌전춘추	The Zuo Zhuan commentary on the Spring and Autumn Annals.
莊子	장자	Zhuangzi (ancient Chinese text/philosopher).
馬史	마사	Sima Qian's Records of the Grand Historian (Shiji).
排外的	배외적	Exclusionary; anti-foreign.
守舊家	수구파	Conservative family/person; reactionary.
峻論	준론	Stern argument; severe criticism.
文昌星	문창성	Star of Literature (in Chinese astrology).
文名	문명	Literary fame.
太白星	태백성	Venus (literally "Great White Star"), often associated with military affairs or omens of war.
豫言	예언	Prophecy; prediction.
吏僚	이료	Clerk; low-ranking official.
會社員	회사원	Company employee.
師友	사우	Teachers and friends; mentors and friends.
干與	간여	To participate in; be involved in.
先輩知友	선배지우	Seniors and friends/acquaintances.
變局	변국	Major upheaval; drastic change of situation (here referring to the 1910 Annexation).
內外 京鄕	내외 경향	Domestic and foreign, capital and provinces.
途次	도차	On the way; en route.
獄友	옥우	Prison friends; fellow inmates.
風霜	풍상	Wind and frost; hardships; trials and tribulations.
지의의 交	도의의 교	Friendship based on morality and righteousness.
心靈	심령	Spirit; soul; mind.
반려	반려	Companion.
政友	정우	Political ally; fellow party member.
同志	동지	Comrade.
浮動的	부동적	Floating; unstable; fluctuating.
病弊	병폐	Malady; evil practice; vice.
生死의 交	생사의 교	Life-and-death friendship; bond transcending life and death.
世俗的 理解	세속적 이해	Worldly interests; secular concerns.
純理 純情	순리 순정	Pure principle and pure feeling/emotion.
史상에	사상에	(Older form of 사상에) In history; historically.
찻기가 여려운	찾기가 어려운	(Older spelling/form) Difficult to find.
衆俗	중속	The common crowd; popular customs; vulgar.
市民的	시민적	Civic; citizen-like; commonplace.
饗應	향응	Feasting; entertaining (often lavishly).
餐應	찬응	Feasting; dining together. (Similar to 향응).
歡樂	환락	Pleasure; merrymaking.
哀慶	애경	Sorrows and joys; condolences and congratulations.
隱居	은거	Living in seclusion; retirement from public life.
窮天地之化	궁천지 chi 화	To investigate thoroughly the transformations of Heaven and Earth.
究性命之微	구성명 chi 미	To study profoundly the subtleties of nature (性) and destiny (命).
經緯人道	경위인도	To order and arrange the ways of humankind.
會通物理	회통물리	To comprehend comprehensively the principles of things.
縉紳	진신	Scholar-officials; gentry.
邸舍	저사	Lodging house; official residence.
喟然	위연	Sighing deeply.
矜高	긍고	Proud; arrogant.
藻麗	조려	Ornate; flowery (of writing style).
少實	소실	Lacking substance; little reality.
貴胃	귀위	High-born; aristocracy. (貴胄 is more common).
狃於驕逸	뉴어교일	Accustomed to arrogance and idleness.
寒門	한문	Humble family; poor household.
卑順	비순	Subservient; docile.
推至性	추지성	To extend utmost sincerity/innate nature.
終始不替	종시불체	Not changing from beginning to end; constant.
浩嘆	호탄	To sigh deeply; lament profoundly.
絶峽	절협	Sheer gorge; precipitous valley.
險峻	험준	Steep and rugged; precipitous.
漢詩	한시	Poem written in classical Chinese.
右一聯	우일련	The couplet on the right (often meaning 'the following couplet').
備閱滄桑	비열창상	To have fully witnessed the vicissitudes of life (literally 'blue seas turning into mulberry fields').
玄理	현리	Profound principle; abstruse truth.
崒嵂	줄율	Steep and lofty (of mountains).
劣詩	열시	Poor poem; humble poem (conventional self-deprecation).
寫意	사의	To express feelings; convey meaning.
애우라지	애오라지	(Older form/dialect?) Utterly; merely; only; completely.


---------------------------


잡지명	삼천리 제7권 제8호
발행일	1935년 09월 01일
기사제목	나와 交友錄
필자	安在鴻
기사형태	회고·수기

나와 交友錄
						安在鴻
나더러 交友錄을 쓰라고 해서 쓰마고 承諾은 하엿다  그러나 交友錄을 씨우는 것이 한 유행처럼 되엇는데 나는 유행을 쪼처 低昻하는 것은 아주 안조하하는 터인지라 쓰기로 하엿든 交友錄도 금시에 쓰기가 실혀 못쓰게 되엇다. 허나 交友하든 이약이 조차 못쓸 법은 업스니 멧가지 공개키로 한다.
