Magazine Title	삼천리 제7권 제8호
Publication Date	1935년 09월 01일
Article Title	赤手空拳으로 成功한 商界人物 (Business Figures Who Succeeded Starting from Scratch)
Author	
Article Type	소식 (News/Report)

Business Figures Who Succeeded Starting from Scratch
Pak Chŏnghyŏn, Who Became the Owner of Tansŏngsa Through 30 Years of Hard Work

Tansŏngsa, which screened Western masterpieces like "Morocco," "Unfinished Symphony," "The Lives of a Bengal Lancer," and "Arang," and also many famous works originating from this land such as "Arirang," "Nakhwa Yusu (Falling Flowers and Flowing Water)," "Ch'unhyangjŏn," and "Changhwa Hongnyŏn jŏn." Tansŏngsa (團成社), where top-tier *pyŏnsa* (silent film narrators) like Sŏ Sangho and Kim Tŏkkyŏng explained the silver screen (銀幕) with beautiful writing and ornate phrases (美文麗句), receiving the applause of the entire capital's citizens. The name of this Tansŏngsa is an extremely distinct presence today. Who manages this Tansŏngsa, which, alongside Nanghwagwan (浪花舘), is perhaps the most highly acclaimed among Seoul's seven or eight theaters for screening the highest quality artistic films?

In the old days, Pak Sŏngp'il (朴聖弼) managed it. He also established Hyŏngnyulsa (亨律社) and made many contributions to the old drama world (舊劇界) before passing away several years ago. The person who took over this large household and manages it to its current prosperous state is Mr. Pak Chŏnghyŏn (朴晶鉉), whom we are about to discuss.

It was in the 39th year of Meiji (1906) that Mr. Pak joined hands with Pak Sŏngp'il, built the Tansŏngsa building in a barracks style, and established and managed the theater! Indeed, about thirty years ago in the old days, they first made moving pictures and screened films like "Myŏnggŭm" and "Ji Kkomadan." As the two started with empty fists, they endured all sorts of hardships. There were times they even pawned the Western suits they were wearing to cover expenses, and other times they even took their own household furnishings<196> to the pawnshop for the sake of the employees. Moreover, a few years ago, the building suffered a fire, causing enormous losses, but through steady effort (勞力) and the power of indomitable struggle, they have steadfastly led this sole entertainment institution for the citizens over the long thirty years.

Looking at Tansŏngsa's situation now, there are about 700 spectators daily, bringing in a daily income of 300 Wŏn. Thus, with a monthly income of 14,000 to 15,000 Wŏn (though expenses are surely also large), the business is heading towards even greater prosperity.

Furthermore, much money was spent to pioneer the path of Korean cinema. Pak Chŏnghyŏn's intention is to dedicate himself to Korean cinema in the future, even if it means incurring losses, which is a trustworthy prospect.
Currently, there are about twenty employees.

Mr. Pak Chŏnghyŏn (朴晶鉉)

Mr. Pak Chŏnghyŏn is originally from Seoul. Born into a family that was not well-off, he couldn't study abroad in Tokyo (東京) like others, nor did he have the means to learn specialized knowledge about cinema.
However, looking at the recent masterpieces he selects and offers to the audience, one cannot help but admire his remarkably advanced business acumen (장사속) in observing the film world, and moreover, his high intellect (두뇌) for understanding art and music.
With this intellect, having invested 80,000 Wŏn to build this perfect building equipped with talkie facilities, it can be said that the dream of becoming the owner of a grand theater (大劇場主) many times, tens of times larger than the current one awaits Mr. Pak in his future endeavors. (Photo is Mr. Pak Chŏnghyŏn)

Ch'oe Nam, Former Bank Clerk Who Became Owner of the Former Tong-A Department Store

Before Hwasin Sanghoe (和信商會), the first department store by a Korean, appeared, the commercial world's eyes widened when Tong-A Department Store (東亞百貨店) began operating under the hand of Mr. Ch'oe Nam (崔楠). Who is this Ch'oe Nam? Few have experienced as many human vicissitudes as Mr. Ch'oe Nam. Today he is envied by many as a figure in the financial world, but looking back at his past, he was born into a humble family and had bitter experiences, falling seven times and rising eight (칠전팔도 - likely 칠전팔기).
Born in Kyŏngsŏng (京城 Seoul), he lost his father early in childhood and grew up under his loving mother's care (자모슬하), relying on his maternal relatives to graduate from Posŏng Middle School (普成中學).<197> He then went to Tokyo (東京), graduated from a Mining School (鑛産學校) while working his way through, returned to Korea, worked at a mine run by some Westerner, then changed direction to become an employee at the Commercial Bank's Tongdaemun Branch (商業銀行東大門支店), where he worked diligently for 5 or 6 years. While still a bank employee, he opened Tŏgwŏn Sundries Store (德元雜貨店) at the entrance to Insadong (仁寺洞). Since he went to the bank during the day, his older sister looked after the shop, and he only sat there at night. At this time, seeing much haggling (에누리) in Seoul, he firmly established the fixed price system (定札製). As things progressed, his solid management policy gradually turned favorable, and soon (未久) he opened a Tŏgwŏn branch a few doors down. At this point, his eye for the commercial world began to shine. He quit the bank, recruited a high-level employee from some sundry store on Honmachi-dōri (本町通) with generous treatment, stationed him in Osaka, and planned the direct import of sundries. This foresight proved correct, and his smoothly growing business, within a few years (不出幾年), established branches in various locations such as Hamhŭng, P'yŏngyang, Taegu, Chŏnju, Kwangju, Naju, Sunch'ŏn, and Mokp'o, undertaking great activities while closely watching (凝視) the commercial world of all Korea. He then harbored the ambition to manage the first department store by Korean hands, took full responsibility for constructing a 150-pyeong, 4-story concrete building owned by Min Kyusik (閔奎植), the third son of Min Yŏnghwi (閔泳徽) (construction cost 70,000 Wŏn), paying 10,000 Wŏn annual rent, and opened the department store, achieving great prominence. Later, responding to sales negotiations with Pak Hŭngsik (朴興植), he washed his hands of the department store business and now operates as a silk and cloth merchant (綢緞布木商).
That he became such a prodigy (麒麟兒) of the commercial world started when he borrowed 3,000 Wŏn from someone else to manage the first Tŏgwŏn Store. Comparing this to his success today, one can truly see the vast difference (雲壤之差). Mr. Ch'oe Nam is still rich in years (春秋 富; young/middle-aged), so even more surprising success is expected from him in the future.

No Ik-hyŏng, a 200 Wŏn Retailer Who is Now a 100,000 Wŏn Titan of the Book World

It's a fact known to most people in Seoul that behind the Youth Hall (청년회관) on Chongno (鍾路), in the wide area of Insadong, a luxurious house (아방궁) of over a hundred *kan* (칸, units of space) has been built, and connected to it stand two two-story Western-style warehouses (창꼬). Furthermore, design is underway for a large, clean printing house with modern facilities to settle into the spacious vacant lot directly behind this residence. The owner of this house and factory is Mr. No Ik-hyŏng (盧益亨), about whom we are now writing a success story. Mr. No also manages Pangmun Sŏgwan (博文書舘), and his current assets are counted in the hundreds of thousands of Wŏn. Moreover, he holds a firm foundation (學固한 地盤)<198> in the peninsula's book industry (書籍業界).
Pangmun Sŏgwan, located directly across from the planned new Taedong Printing House (大同印刷所) on the main street of Chongno, is a neat (宿灑) two-story Western-style building, presenting a fine sight (一偉觀) on the main street. However, behind No Ik-hyŏng's current position, poised for a soaring leap (雄飛) in the printing and book industries with the force of the rising sun (旭日昇天), lies a hidden thirty-year history mixed with blood and tears.

First, a Broker at an Inn

Many people probably remember the Seoul of about thirty years ago, when taffy sellers (엿장수) went around below Namdaemun (南大門), clanging their scissors and calling out "Buy night taffy!" At that time, you might have seen a young bachelor boy (총각아히) with unkempt hair (떡게머리) and stained clothes (때뭇은 옷) working as an errand boy (使喚) at a ramie cloth store (苧廛), one of the Six Licensed Markets (六矣廛). That boy was the fourteen-year-old No Ik-hyŏng. Born into a poor family, he lived off the charity of his maternal relatives until the age of seven. Then, deciding this was not the time to stay put, he took his first step (첫거름) into the commercial world by becoming a shop errand boy. Although he ran errands faithfully (直實) and politely (恭順), no one saw promise in this shop boy's future. After six years, the boy left that place and became a broker (居關) at a large commodity inn (物産客主) inside Namdaemun. But there too, the hand of luxurious fortune did not greet (마저주다) him; he only repeated hardships. Then, deciding to pioneer his own destiny with his own hands through independent business, he set out to open a sundry shop. However, short on capital (미천이 짜른), he could not last long and was overwhelmed (눌니우고) by others, left without room to breathe.

Renting a Six-Wŏn Room

However, as they say, utmost sincerity moves heaven (至誠感天). After accumulating small failures in this and that venture, the place he focused on (着眼) was the book business (書籍商). In Sangdong (尙洞, now Sŭngdong), in front of a barbershop (레방당압), he rented a tiny hole-in-the-wall shop (구멍가게) for six Wŏn a month. There, with a mere three hundred Wŏn in capital, he started a book business under the name Pangmun Sŏgwan (博文書舘). He was twenty-two at the time. Korean society was just beginning to awaken, and the general public, thirsty for knowledge, was eagerly seeking good books (書石). Thus, just as his book business was about to blossom (꼿이 피려할 때), two frosts (서리) descended. One was hearing that magazines were doing well, he invested (적입?) several thousand Wŏn to publish a monthly magazine called "Kongdo" (公道), but it failed to meet the times and resulted in a complete failure, losing over three thousand Wŏn at that time. The other was in the fourth year of Yungheui (隆熙四年, 1910), when the annexation occurred. Books containing ideas like biographies of heroes (英雄傳) were all confiscated, leading to another huge loss. However, his earnest single-mindedness was ultimately prepared (준배되야?) for a good destiny. Afterwards, like a ship hoisting its sails in fair wind (順風에 돛을 단 격), every venture he started yielded profit (利). Finally (드듸어), he became the owner of Taedong Printing House and Pangmun Sŏgwan, becoming a great wealthy man worth over a hundred thousand Wŏn. Now fifty years old, Mr. No's future still holds more to be expected.<199>

**Summary**

This 1935 article from the magazine *Samch'ŏlli* profiles three Korean entrepreneurs who achieved significant success from humble beginnings in colonial Seoul. Pak Chŏnghyŏn rose from poverty to become the owner of the prominent Tansŏngsa cinema through decades of hardship, contributing to both screening foreign films and fostering early Korean cinema. Ch'oe Nam, after losing his father and struggling through school and various jobs including bank clerk, pioneered the fixed-price system in his small shop, eventually building a chain of stores and briefly running the Tong-A Department Store before becoming a textile merchant. No Ik-hyŏng started as an errand boy and broker, failed in early ventures, but found success by opening the Pangmun Sŏgwan bookstore with minimal capital, eventually expanding into a major publishing and printing house owner despite setbacks like magazine failure and book confiscations after the 1910 annexation.

The article offers valuable insights into Korean entrepreneurship under Japanese colonial rule, showcasing individual resilience and adaptation within the changing economic landscape of Seoul. It highlights the development of key urban industries like cinema (Tansŏngsa), modern retail (department stores like Tong-A and Hwasin), and publishing (Pangmun Sŏgwan, Taedong Printing House). Historians might find interest in the specific details of business practices (fixed-price system, direct importing), the challenges faced (fires, lack of capital, political censorship like post-annexation book confiscations), the types of cultural products consumed (Western vs. Korean films, magazines, books), and the social mobility narratives presented for figures like Pak, Ch'oe, and No, who built substantial businesses despite lacking initial wealth or elite connections. The mention of specific film titles, business names, locations (Insadong, Chongno, Honmachi-dōri), and financial figures (salaries, rents, capital) provides concrete data points for studying the socio-economic history of the period.

**Named Entities**

朴晶鉉	박정현	Pak Chŏnghyŏn
團成社	단성사	Tansŏngsa
徐相昊	서상호	Sŏ Sangho
金悳經	김덕경	Kim Tŏkkyŏng
朴聖弼	박성필	Pak Sŏngp'il
亨律社	형률사	Hyŏngnyulsa
서울	서울	Seoul
浪花舘	낭화관	Nanghwagwan (Naniwakan)
東京	동경	Tokyo
東亞百貨店	동아백화점	Tong-A Paekhwajŏm
崔楠	최남	Ch'oe Nam
和信商會	화신상회	Hwasin Sanghoe
京城	경성	Kyŏngsŏng (Seoul)
普成中學	보성중학	Posŏng Chunghak (Posŏng Middle School)
鑛産學校	광산학교	Kwangsan Hakkyo (Mining School)
商業銀行東大門支店	상업은행 동대문지점	Sangŏp Ŭnhaeng Tongdaemun Chijŏm (Commercial Bank Dongdaemun Branch)
仁寺洞	인사동	Insadong
德元雜貨店	덕원잡화점	Tŏgwŏn Chaphwajŏm
本町通	본정통	Ponjŏngt'ong (Honmachi-dōri)
大阪	오사카	Osaka
咸興	함흥	Hamhŭng
平壤	평양	P'yŏngyang
大邱	대구	Taegu
全州	전주	Chŏnju
光州	광주	Kwangju
羅州	나주	Naju
順天	순천	Sunch'ŏn
木浦	목포	Mokp'o
朝鮮	조선	Chosŏn (Korea)
閔泳徽	민영휘	Min Yŏnghwi
閔奎植	민규식	Min Kyusik
朴興植	박흥식	Pak Hŭngsik
盧益亨	노익형	No Ik-hyŏng
鍾路	종로	Chongno
靑年會館	청년회관	Ch'ŏngnyŏn Hoegwan (Youth Hall/YMCA?)
博文書舘	박문서관	Pangmun Sŏgwan
大同印刷所	대동인쇄소	Taedong Inswaeso
南大門	남대문	Namdaemun
六矣廛	육의전	Yukŭijŏn (Six Licensed Stores)
苧廛	저전	Chŏjŏn (Ramie Cloth Market/Store)
物産客主	물산객주	Mulsan Kaekchu (Commodity Inn/Brokerage)
勝洞	승동	Sŭngdong (also referred to as 尙洞/Sangdong)
公道	공도	Kongdo (Magazine Name)
隆熙四年	융희사년	Yungheui Sanyŏn (Fourth year of Emperor Sunjong's reign, 1910)

**Glossary**

赤手空拳	적수공권	Bare-handed, starting with nothing
積工	적공	Accumulated effort, hard work over time
태서 명화	태서 명화	Western masterpiece films
소사나다	솟아나다	To spring up, emerge (older spelling)
변사	변사	Benshi (silent film narrator)
은막	은막	Silver screen
미문려주	미문려구	Beautiful writing and ornate phrases (older form '려주')
밧다	받다	To receive (older spelling)
두렷한	뚜렷한	Distinct, clear (older spelling)
상장하다	상영하다	To screen (films) (older term)
녜전	예전	Old days, formerly (older spelling)
구극게	구극계	Old drama/theater world (older spelling '게')
현신	헌신	Dedication, devotion (possibly typo for 헌신)
작고하다	작고하다	To pass away
빼락크식	바라크식	Barracks-style (loanword)
명치 39년	메이지 39년	Meiji 39 (1906)
활동사진	활동사진	Moving pictures, movies (early term)
신고	신고	Hardship, suffering
전당잡히다	전당 잡히다	To be pawned
긔명	기명	Household utensils, furnishings (older spelling)
로력	노력	Effort, labor (older spelling)
오락긔관	오락 기관	Entertainment facility/institution (older spelling '긔관')
끄으러 나오다	끌어 나오다	To lead, pull through (older spelling)
밋지다	밑지다	To suffer a loss, lose money (older spelling)
미듬즉하다	믿음직하다	Trustworthy, reliable (older spelling)
유여치 못하다	유여치 못하다	Not well-off, lacking
골나서	골라서	Choosing, selecting (older spelling)
장사속	장삿속	Business acumen, commercial sense
리해하다	이해하다	To understand (older spelling)
놉흔	높은	High (older spelling)
격근이	겪은 이	One who has experienced (older spelling)
칠전팔도	칠전팔기	Falling seven times, rising eight (perseverance); likely typo for 칠전팔기
신산하다	신산하다	Bitter, painful (experiences)
자모슬하	자모슬하	Under one's loving mother's care
고학	고학	Studying while working to support oneself
서양사람	서양 사람	Westerner
부즈런히	부지런히	Diligently (older spelling)
나제	낮에	During the day (older spelling)
점방	점방	Shop, store (older term)
나안젓다	나앉았다	Sat out (older spelling/form)
에누리	에누리	Haggling, discount
정찰제	정찰제	Fixed price system
호조	호조	Favorable trend
미구	미구	Soon, before long
내이엿다	내었다	Opened, established (a branch) (older spelling)
빗나다	빛나다	To shine
불출기년	불출기년	Within a few years (Sino-Korean phrase)
응시하다	응시하다	To gaze intently at, watch closely
추단포목상	주단포목상	Silk and cloth merchant
기린아	기린아	Prodigy
빗내이어	빚내어	Borrowing (money) (older spelling)
운양지차	운양지차	Vast difference (like clouds and mud)
춘추 부하다	춘추 부하다	To be rich in years (i.e., still young/middle-aged)
객주집	객주집	Inn/brokerage house
거관	거간	Broker, middleman
아방궁	아방궁	E-pang Palace (metaphor for a luxurious house)
련속하여	연속하여	Continuously (older spelling)
이층 양제	이층 양식	Two-story Western-style (likely typo '양제' for '양식')
창꼬	창고	Warehouse (older spelling)
공지	공지	Vacant lot, open space
드려 안즈려	들어앉으려	Planning to settle in, be built (older spelling/form)
바야흐로	바야흐로	Just now, at the height of
렬전	열전	Biographies (esp. of successful people)
이박게	이 밖에	Besides this (older spelling)
서적업게	서적업계	Publishing/book industry (older spelling '게')
학고하다	확고하다	Firm, solid (older spelling)
지반	지반	Foundation, base
숙쇄하다	숙쇄하다	Neat, trim, refined
일위관	일위관	A fine sight, spectacle
욱일승천	욱일승천	Rising sun ascending to heaven (metaphor for rapid success)
웅비하다	웅비하다	To make great strides, soar
닥기까지	닦기까지	Until paving/polishing (the way) (older spelling)
석긴	섞인	Mixed (older spelling)
숨어 잇섯든	숨어 있었던	Was hidden (older spelling)
엿장수	엿장수	Taffy seller
떡게머리	떠꺼머리	Unkempt hair (of a boy, older term)
때뭇은	때 묻은	Stained, dirty
륙의전	육의전	The Six Licensed Stores (historical Seoul markets)
정포전	저포전	Ramie cloth market/store
사환	사환	Errand boy, servant (older term)
아히	아이	Child (older spelling)
총각아히	총각 아이	Bachelor boy, young unmarried man/boy (older spelling)
드듸다	들이다/들다	To enter (older spelling)
첫거름	첫걸음	First step (older spelling)
직실하다	착실하다	Faithful, diligent (older spelling)
공순하다	공순하다	Polite, respectful (older spelling)
마저주다	맞아주다	To welcome, greet (older spelling)
독입하다	독립하다	To become independent (older spelling)
미천	미천	Capital, funds
짜르다	짧다	To be short (of funds) (older spelling)
눌니우다	눌리다	To be pressed down, oppressed (older spelling)
지성	지성	Utmost sincerity
감천	감천	Moving heaven
싸고난	쌓고 난	After accumulating (failures) (older spelling)
착안하다	착안하다	To notice, focus on
레방당압	이발관 앞	In front of the barbershop (理髮堂理髮堂理髮堂 理髮堂 理髮堂理髮堂理髮堂理髮堂理髮堂理髮堂理髮堂理髮堂理髮堂 = barbershop)
구멍가게	구멍가게	Tiny shop, hole-in-the-wall store
서석	서적	Books (older pronunciation/spelling)
찻기	찾기	Seeking, looking for (older spelling)
꼿	꽃	Flower (older spelling)
서리	서리	Frost (metaphor for hardship)
적입하다	들이다/투자하다?	To invest, put in (context suggests investment)
끗끗내	끝끝내	Finally, in the end (older spelling)
준배되다	준비되다	To be prepared (older spelling)
듯을 단 격	돛을 단 격	Like hoisting a sail (smooth progress)
리	이(익)	Profit (older usage)
드듸어	드디어	Finally (older spelling)


---------------------------


잡지명	삼천리 제7권 제8호
발행일	1935년 09월 01일
기사제목	赤手空拳으로 成功한 商界人物
기사형태	소식

赤手空拳으로 成功한 商界人物
三十年積工으로 團成社主된 朴晶鉉氏

「모록코」 「未完成交響樂」·「벤갈槍旗兵」 「아랑」등의 태서 명화를 상영하고 또
「아리랑」 「落花流水」 「春香傳」 「薔花紅蓮傳」등 이 땅에서 소사나는 명작을 만히 상영한 단성사 또 일즉
「徐相昊」 「金悳經
등 일류변사가 은막(銀幕)의 설명을 미문려주(美文麗句)로 하야 만도인사의 갈채를 밧든 단성사(團成社).
이 단성사의 일홈은 오늘날은 너무도 두렷한 존재다. 지금은 아마 서울의 칠팔 극장 중에서 낭화란(浪花舘)과 아울너 최고급의 예술영화를 상장하여 가장 호평을 밧는 이 단성사는 어느분이 경영하는고.
녜전은 박성필(朴聖弼)씨가 하엿다. 씨는 형율사(亨律社)도 이르켜 구극게(舊劇界)에도 만흔 현신을 하다가 수년전에 작고한 후 이 큰 살림을 마터 오늘날 보는 성황으로 경영하는 분은 지금 우리가 말하려는 박정현씨다.
박씨가 박성필씨와 손을 맛잡고 단성사집을 빼락크식으로 짓고 극장을 창설 경영하기는 명치 39년의 일! 실로 약 삼십년 전의 엣날이라 처음으로 활동사진을 만들고「명금」(名金) 「지 꼬마단」등을 상영하엿다. 빈주먹으로 나선 두 분이라 그 동안 별별 신고를 다하여 엇던때는 입엇든 양복까지 전당잡히여 경비를 써간 일이 잇고 또 엇던 때는 종업원들을 위하야 자긔집 긔명까지 전당포로 들고 드러간<196> 때조차 잇다. 더구나 몃해 전에는 건물에 화재가 나서 거대한 손실까지 보앗스나 꾸준한 로력과 굴할 줄 모르는 분투의 힘으로 삼십년의 긴 세월을 두고 시민의 유일한 오락긔관을 꾸준히 끄으러 나온 것이다.
지금 단성사 형편을 보면 매일 약 칠백 명의 관객이 잇서 매일 삼백 원의 수입이 잇는데 이리하야 일개월 일만 사오천 원의 수입 (지출도 물론 만켓으나)을 가지고 업무가 더욱 성황으로 나가는 중이다.
더구나 조선영화의 길을 개척키 위하야 써온 돈도 만헛는데 박정현씨의 의도는 금후로도 될수록 밋지는 한이 잇슬지라도 조선영화를 위하여는 헌신하라 하니 미듬즉한 일이다.
현재의 종업원은 악 이십 명.

朴晶鉉씨

박정현씨는 원래 서울사람이라 유여치 못한 가정에서 태어낫스매 남들 모양으로 동경(東京)유학도 못햇고 영화에 대하여도 전문적 학문을 배울 길은 업섯다.
그러나 그가 골나서 관객에게 제공하는 최근의 명화를 보면 그가 영화게를 전망하는 장사속도 놀납게 진보한 이어니와 더구나 예술과 음악을 리해하는 놉흔 두뇌를 가지고 잇는데 탄복하지 안을 수 업다.
