잡지명	개벽 제17호
발행일	1921년 11월 01일
기사제목	近代文藝(四) (Modern Literature and Art (4))
필자	岸曙
기사형태	문예평론 (Literary Criticism)

Modern Literature and Art
						An Sŏ

No matter how tumultuous external life may be, if only ideals and faith possess some deep foundation, it would truly be a world of peace and tranquility. However, as long as external life is complex and a combative existence with no room for leisure, it goes without saying that difficult-to-solve economic problems inevitably trouble the minds of many people. Thus, considerable anxiety and pressure in internal life drive everyone towards the battlefield of desperate struggle (惡戰苦鬪). In modern times, it has become impossible to hide alone in the sole refuge of faith and ideals as people of the past did, building walls against the outside world, cutting oneself off, forgetting the fleeting dreams of the mundane world (塵世), and leisurely wandering (逍遙自適) in a quiet, separate world (別乾坤的 世界). This is none other than because modern civilization, which takes natural science as its foundation to some extent, denies and rejects all ideals, all faith, and even the standards of morality. In other words, the minds of people in this chaotic world do not know the way back home (歸路) and merely struggle, embracing thoughts of anxiety and fear. In such minds, there must inevitably be pessimism (厭世), sorrow (悲哀), doubt (懷疑), and anguish (煩悶). Where there is distress (懊惱) and despair (絶望), there cannot but be a kind of pathological, unhealthy mood (情的) of the era. Truly, the internal and external life of modern Europe was miserable (慘憺) beyond description. It seems that the bright hope that floated before one's eyes momentarily became the dark despair of a dream (夢想). Now, this tendency towards doubt and agony is called the so-called La mal du siècle (the chronic malady of the century). This pathological chronic malady (痼疾) also differs somewhat in its purport (趣義) according to the times; the malady of the age of scientific omnipotence and the malady after the age of scientific omnipotence passed are slightly different. Such things, of course, being related to the internal life of humankind, are different from historical matters based on concrete facts, so, strictly speaking, one cannot define <126> precise boundaries. It merely amounts to saying that there are some distinctions depending on the era. In other words, as the eyes of humanity, which had lived a slave-like existence receiving limitations and restraints, gradually turned towards some new place and sent forth their gaze, the scene that had been full of only light (光明) gradually began to show its dark side (暗黑面), and when it reached the era called 'scientific omnipotence' where everything was said to be merely mechanical, it became even darker. Thus, doubt deepened further, and thereafter, doubt begot more doubt, and agony begot more agony, proceeding step by step towards the abyss (深淵) the further one went. Accordingly, the doubt and agony in their hearts (胸中) deepened their foundations, and a certain clear scope (明白한 範圍) also emerged. Thinking about this historically again, there was the French Revolution. Needless to say, the unprecedented Great Revolution in France caused Europe, which had carried the old burden of convention (因習), to completely uproot its conventional social system. It struck down the authority of religion and morality, as well as all standards, in one blow, and sought only to highly establish the spirit of freedom (自由). Because of this, the people of Europe lost their way back home (歸路) and were anguished. The result of anguish cannot but be doubt and pessimism. Next, there is a political cause. That is, the twenty-odd years from the early period (初期) of the Great Revolution until the downfall (滅亡) of that hero of egoism (利己主張), Napoleon, saw war year after year, month after month. In the end, the turmoil of war (戰亂) that destroyed the lives of the people gave nothing more to all of Europe than extreme fatigue (疲勞) and extreme consumption of energy (精力消費). It is the way of things that after passing a certain degree (度數) of anything, one inevitably falls into deep thought and contemplation (沈思黙慮). After passing through the balmy spring days and flower-like summer nights, the coming of autumn is the sequence (順序) of the four seasons. In autumn, more than anything, one engages in meditation and contemplation (黙想冥思). Similarly, the result of hitherto holding blades against each other and continuing the turmoil of war caused the people of Europe to quietly look back on what they had passed through and to think about the future to come. That thought would not have been such a good one. Thinking about having cried out for political freedom and advocated (標榜) for the fundamental improvement (改善) of the social system must also have been desolate, like a fleeting spring dream (春夢) one wakes from into loneliness (寂寞). It was fine as long as they were fighting for ideals, but when these were not realized (實現), their hearts (心胸) must have been pained. Just as there is loneliness in success (成功), so too is there the disappointment (落望) of failure (失敗) in failure. If the former can be called loneliness amidst joy, the latter cannot but be called the despair of despair. What they obtained was the despair of despair. <127> Needless to say, the mind, which had hitherto been tense (緊張) in this way or that, would suddenly lose its vigor (元氣), and only the boundless feeling of pessimism (厭世) and sorrow (悲哀) would remain. Thus, this chaotic, pessimistic tendency filled the world of Europe.

This mood of pessimism and world-weariness (悲觀, 厭世) first appeared in poetry and song (詩歌). Of course, in the poetry of England, France, and Germany, these songs of chaotic pessimism were prominent. The poetry of Byron, called the king of the poetic world, began passionate pessimism (情熱的 厭世) in England and later raised its voice (風聲) high on the European continent (大陸). With just the poetic work "Manfred," a masterpiece (絶調) of agony and the sorrow of pessimism, he must have stirred the hearts of the people at that time. One by one, such poets emerged on the European continent: in France, poets like Lamartine, and in Germany, poets like Heine, all received the influence (影響) of the demonic, passionate English poet Byron, and they responded loudly in concert (和動). Appearing around the time of the French Revolution and resonating (共鳴) with the acute sorrow (痛切한 悲哀) of the people's hearts of that era were works such as Goethe's "The Sorrows of Young Werther" in Germany, and in France, the elegant de Musset's "Confession of a Child of the Century" or Chateaubriand's "René." Besides these, there was the novel "Obermann" written in epistolary style (書翰文軆) conveying thoughts of sorrow and pessimism, Senancour, or the lyric poet (敍情詩人) de Vigny, Leopardi, the poet called Lenau, known as the German Byron bearing the name "Poet of Weltschmerz (世界苦)" – to speak of such poets of sorrow, they would not be few. Somehow, the world of Europe was filled with the literature of pessimism and sorrow. Speaking from the perspective of philosophy (哲學), the representative of the trend of thought (思潮) in this area is the pessimistic philosophy of Germany's Schopenhauer, who is almost called the origin (本源) of the modern era. This philosopher said: The world is the manifestation (發現) of the Will (意志). Because that Will is blind (盲目的) and unconscious (無意識的), it is not subject to the control (支配) of reason (理性) or intellect (智力) at all. That water tries to pierce hard stone, that metal and stone (金石) try to fall to the earth – none of this is not a manifestation of the Will. And that plants and animals (動植物) use all sorts of means (手段) to grow (生長) and develop (發育) to preserve (保全) their lives (生命) is also all a manifestation of the Will. Planning the propagation (繁殖) of the species (種族) even by sacrificing (犧牲) one's own life is likewise all a manifestation of the Will. However, that thing called Will is an effort (努力) to assert (主張) itself and display (發揮) its individuality (個性) without any purpose (目的). In humankind (人類), this Will is most developed and progressed (發達進步), yet that thing called Will never knows satisfaction (滿足), always wanting to obtain something else like 'having obtained Long, one covets Shu' (得隴望蜀). This blind and unconscious Will has absolutely no ultimate (究竟) satisfaction. Accordingly, anguish (煩悶) adds to anguish, and sorrow (悲哀) adds to sorrow. Thus, one needlessly always feels deficiency (缺乏), competes (競爭), and fails to attain stability (安定). As long as this thing called Will exists, seeking happiness (幸復) and comfort (安樂) in the present world is foolish. However, through sympathy (同情) alone, humans can avoid experiencing suffering (苦患) for a while, but this too, of course, cannot continue for long. Thus, more than anything, fundamentally (根本的) eliminating the Will is paramount. <128> As long as Will and individuality exist, pain is unavoidable. If one wishes to eliminate pain, one must first eliminate the Will. This requires asceticism (禁慾). Suppress (制抑) everything and enter into the realm of solitude/nirvana (寂寞鄕), the liberation (脫解) of *nirvana* – this was the gist (大意) of his philosophy.

Now, the influence (影響) this philosophy had on all of Europe was not small. From here, I intend to speak about Religion (宗敎). Of course, since it has a great influence, directly and indirectly, in controlling (支配) the hearts of the people of an era more than anything else, one cannot but know the general outline. The Religion spoken of here is Christianity (基督敎). Everyone knows that Christianity controlled the hearts of all European people for a long time. Until now, everything had been followed within the scope of its doctrines. However, regarding those doctrines, first Strauss's "Life of Jesus" (基督傳) added a great attack (攻擊), and next, Feuerbach's "The Essence of Christianity" (基督敎本質論) launched a fervent (熱烈) attack. Of course, in a word, it can be said to be a conflict (衝突) between the new scientific spirit and the old faith (舊信仰). Now, these two men criticized (批評) Christianity refreshingly from a scientific and historical perspective. They asserted that the Gospels (福音) in the Bible (聖經) were not facts at all but rather the fantasies (空想) and falsehoods of ancient peoples. Things like the poetry of the Old Testament (舊約) were said to be nothing more than expressions arising from the pointless, unconscious zeal (熱心) of believers (信者). They claimed that miracles (異蹟) or unnatural (不自然) facts absolutely do not exist in reality (實際), and that Christ, who connected (連結) the infinite and the infinite, God and man, ultimately (畢竟) amounted to nothing more than the old Christ of faith, and was not a historical fact by any measure. Furthermore, they argued that what is originally called God is a hypothetical personification (假想的 擬人) created within the human mind (頭腦), and that such an omniscient and omnipotent (全智全能) God certainly could not exist. In this sense, they stated that apart from humanity, there is no great God, and only oneself becomes God. They argued that if people realized this, they would certainly not believe in the hypothetical personification that is God, but would come to believe in themselves – this was the gist (大意) of their assertion.

Of course, in European society (社會), which came to hear such words, it must have seemed as if the heavens were collapsing and the earth splitting. Consequently, as their faith, which had continued up to that point, gradually weakened, the anguish (煩悶) of their internal life grew ever greater. However, if I were to speak further on such matters, there would be no limit (限定), so selecting only the very outline (大網), I intend to speak only of what must be known concerning its relation to modern literature and art. In any case, the internal life of the European mind could not help but enter the crucible (坩堝) of instability, agony, doubt – in a word, the modern mood of pessimism (近代的 悲觀의 情調). Next, just as there is inevitably a result (結果) after a cause, I intend to speak of the tendency (傾向) to enter the inner side (內面) of the pessimistic mind, not believing in anything, but only doubting and believing in and asserting oneself to the utmost. (To be continued) <129>

**Summary**

This article by An Sŏ discusses the pervasive mood of pessimism, doubt, and anxiety ("mal du siècle") in modern Europe, tracing its roots to the complex and demanding nature of modern external life, the rise of science challenging traditional faith and ideals, the disillusionment following the French Revolution and Napoleonic Wars, and the influence of key literary and philosophical figures. It highlights how thinkers like Schopenhauer and critics of Christianity like Strauss and Feuerbach dismantled old certainties, leaving individuals grappling with a sense of meaninglessness, internal conflict, and a turn towards radical skepticism and self-reliance, all reflected in the era's literature (Byron, Goethe, etc.). The article portrays modern European consciousness as trapped in a "crucible" of despair, setting the stage for further discussion (indicated by "未完"). From a colonial Korean history perspective, this article is interesting as it shows an intellectual engaging deeply with contemporary European philosophical and literary trends in 1921. It reflects the influx of Western thought into Korea and attempts by Korean intellectuals to understand and perhaps apply these concepts to their own situation, even if the direct connection to Korea isn't made in this unfinished segment. The focus on disillusionment and the crisis of meaning could resonate with the colonial experience, though the author frames it purely in a European context here.

**Named Entities**

유롭	유럽	Europe
프란쓰	프랑스	P'ŭranssŭ (France)
나폴레オン	나폴레옹	Nap'olleon (Napoleon)
빠이론	바이런	Pairon (Byron)
英國	영국	Yŏngguk (England/Britain)
라마르틘	라마르틴	Ramarŭt'in (Lamartine)
獨逸	독일	Togil (Germany)
하이네	하이네	Haine (Heine)
꿰테	괴테	Kkwe't'e (Goethe)
되·뮷세	뮈세	Tü·Myusse (de Musset)
샤투브리안	샤토브리앙	Syat'ubŭrian (Chateaubriand)
세나쿠르	세낭쿠르	Senak'urŭ (Senancour)
되·삐늬	비니	Tü·Ppinyi (de Vigny)
레오파르듸	레오파르디	Reop'arŭti (Leopardi)
레나우	레나우	Renau (Lenau)
쑈펜하우에르	쇼펜하우어	Syop'enhaue'rŭ (Schopenhauer)
스트라우쓰	스트라우스	Sŭt'ŭraussŭ (Strauss)
퓨에르빠흐	포이어바흐	P'yue'rŭppahŭ (Feuerbach)
基督敎	기독교	Kidokkyo (Christianity)

**Glossary**

近代文藝	근대문예	Modern literature and art
岸曙	안서	An Sŏ (Author's pen name)
外部生活	외부 생활	External life
信仰	신앙	Faith, belief
根底	근저	Foundation, basis
餘裕	여유	Room, leisure, composure
戰鬪的	전투적	Combative
頭腦	두뇌	Brain, mind
內部生活	내부 생활	Internal life
不安	불안	Anxiety, unease
壓迫	압박	Pressure, oppression
惡戰苦鬪	악전고투	Desperate struggle
近代	근대	Modern times
隱遁處	은둔처	Hideaway, refuge
外界	외계	External world
絶綠	절연	Severance, isolation (older spelling of 절연)
塵世	진세	Mundane world
閒靜	한정	Quiet, tranquil
逍遙自適	소요자적	Wandering freely, living leisurely
自然科學	자연과학	Natural science
否定	부정	Negation, denial
排斥	배척	Exclusion, rejection
混沌	혼돈	Chaos, confusion
歸路	귀로	Way back, path home
厭世	염세	Pessimism, world-weariness
悲哀	비애	Sorrow, grief
懷疑	회의	Doubt, skepticism
煩悶	번민	Anguish, agony
懊惱	오뇌	Anguish, distress
絶望	절망	Despair
病的	병적	Pathological, morbid
不健全	불건전	Unsound, unhealthy
情調	정조	Mood, sentiment
慘憺	참담	Miserable, tragic
希望	희망	Hope
夢想	몽상	Dream, fantasy
傾向	경향	Tendency, trend
所謂	소위	So-called
痼疾	고질	Chronic disease, deep-rooted problem
趣義	취의	Purport, gist (older form of 취지)
差別	차별	Difference, distinction
科學萬能	과학만능	Omnipotence of science
勿論	물론	Of course
具軆的	구체적	Concrete, specific (older spelling of 구체적)
歷史的	역사적	Historical
人生	인생	Human life
關係	관계	Relation, connection
境界	경계	Boundary
區別	구별	Distinction
制限	제한	Limit, restriction
拘束	구속	Restraint
奴隷	노예	Slave
視線	시선	Gaze
光明	광명	Light, brightness
光景	광경	Scene, sight
暗黑面	암흑면	Dark side
機械的	기계적	Mechanical
깁허지다	깊어지다	To deepen (older spelling)
深淵	심연	Abyss
胸中	흉중	In one's heart/mind
明白	명백	Clear, obvious
範圍	범위	Scope, range
革命	혁명	Revolution
因習	인습	Convention, custom
社會制度	사회제도	Social system
宗敎	종교	Religion
道德	도덕	Morality
權威	권위	Authority
標準	표준	Standard
自由	자유	Freedom, liberty
精神	정신	Spirit, mind
樹立	수립	Establishment
人民	인민	People
結果	결과	Result
滅亡	멸망	Downfall, ruin
戰爭	전쟁	War
結局	결국	In the end
戰亂	전란	Turmoil of war
極度	극도	Extreme degree
疲勞	피로	Fatigue
精力	정력	Energy, vitality
沈思黙慮	침사묵려	Deep thought, contemplation
黙想冥思	묵상명사	Meditation, contemplation
繼續	계속	Continuation
未來	미래	Future
改善	개선	Improvement
標榜	표방	Advocating, proclaiming
寂寞	적막	Loneliness, desolation
春夢	춘몽	Spring dream (fleeting illusion)
實現	실현	Realization
心胸	심흉	Mind, heart
成功	성공	Success
失敗	실패	Failure
落望	낙망	Disappointment, despair (older spelling of 낙망)
緊張	긴장	Tension
元氣	원기	Vigor, energy
悲觀的	비관적	Pessimistic
詩歌	시가	Poetry and song
情熱的	정열적	Passionate
大陸	대륙	Continent
影響	영향	Influence
和動	화동	Responding in concert
痛切	통절	Keen, acute
共鳴	공명	Resonance, sympathy
作品	작품	Work (of literature, art)
現代人	현대인	Modern person
懺悔	참회	Repentance, confession
書翰文軆	서한문체	Epistolary style (older spelling of 서한문체)
小說	소설	Novel, fiction
敍情詩人	서정시인	Lyric poet (older spelling of 서정시인)
世界苦	세계고	Weltschmerz (world-weariness)
哲學	철학	Philosophy
本源	본원	Origin, source
思潮	사조	Trend of thought
代表	대표	Representative
意志	의지	Will
發現	발현	Manifestation
盲目的	맹목적	Blind
無意識的	무의식적	Unconscious
理性	이성	Reason
智力	지력	Intellect
支配	지배	Control, rule
手段	수단	Means
生長	생장	Growth
發育	발육	Development
保全	보전	Preservation
生命	생명	Life
犧牲	희생	Sacrifice
種族	종족	Race, species
繁殖	번식	Reproduction
目的	목적	Purpose
主張	주장	Assertion
個性	개성	Individuality
發揮	발휘	Display
努力	노력	Effort
人類	인류	Humankind
滿足	만족	Satisfaction
得隴望蜀	득롱망촉	Having obtained Long, one covets Shu (idiom for greed)
缺乏	결핍	Lack, deficiency
競爭	경쟁	Competition
安定	안정	Stability
幸復	행복	Happiness (likely 행복)
安樂	안락	Comfort, ease
同情	동정	Sympathy
苦患	고환	Suffering, distress
根本的	근본적	Fundamental
禁慾	금욕	Asceticism
制抑	제억	Suppression, control
寂寞鄕	적막향	Realm of solitude/nirvana
脫解	탈해	Liberation (likely 해탈, nirvana)
大意	대의	Gist, main point
攻擊	공격	Attack
熱烈	열렬	Ardent, fervent
基督傳	기독전	Life of Jesus (book title)
基督敎本質論	기독교본질론	The Essence of Christianity (book title)
舊信仰	구신앙	Old faith
衝突	충돌	Conflict
批評	비평	Criticism
聖經	성경	Bible
福音	복음	Gospel
空想	공상	Fantasy
舊約	구약	Old Testament
信者	신자	Believer
實際	실제	Reality, actuality
異蹟	이적	Miracle
連結	연결	Connection
畢竟	필경	After all, eventually
假想的	가상적	Hypothetical, imaginary
擬人	의인	Personification
全智全能	전지전능	Omniscient and omnipotent
社會	사회	Society
限定	한정	Limit
大網	대망	Outline, gist
坩堝	감과	Crucible
內面	내면	Inner side
未完	미완	Unfinished, To be continued
-e 

---------------------------


잡지명	개벽 제17호
발행일	1921년 11월 01일
기사제목	近代文藝(四)
필자	岸曙
기사형태	문예평론

近代文藝
						岸曙
