Magazine Title: 삼천리 제3권 제12호
Publication Date: 1931년 12월 01일
Article Title: 祈禱하는 童貞女群, 그네의 긔도와 례배, 금욕생활, 그네의 로만스는 엇더한가, 天主敎 修道院을 探訪하고 (A Group of Praying Virgins, Their Prayer and Worship, Ascetic Life, What About Their Romance?, Visiting a Catholic Convent)
Author: 崔貞熙
Article Type: 소식 (News/Report)

Praying Virgins, Their Prayer and Worship, Ascetic Life, What About Their Romance?, Visiting a Catholic Convent
						Choi Chŏnghŭi
—The bell rings—
It is the time to announce the day’s end. Let it be said that the tolling of this evening bell (晩鍾; Manjong), bursting forth from the sharply soaring Catholic church—the convent—is tragic and pure.
At this time, I sought out the Catholic church in Chingo-gae, wanting for a long time to know the inner workings of the convent and the daily lives of the nuns withering away so finely—or the hidden sad stories (悲話) within their hearts.
As ever, the sound of the Angelus bell was weeping, “Ding—dong—ding—,” as if cursing the late autumn of Seoul, the demonic capital (魔都; Mado).
And I also thought perhaps it was the Angelus, a symbol bidding glory to the nuns who silently tread the path of black (黑... meaning penance) and white (白... meaning purity).
The inside of the church was so quiet that even my heart, lacking faith in religion, received a plastic feeling, as if receiving some kind of flow (light).
From over there, a priest (神父) with his head deeply bowed was approaching. When he came before me, showing perhaps an expression of humility, he put his hands together and showed an intention to ask me something, but I spoke to him first.
“I am very sorry, but I have something to ask.” To my words, he replied with the clumsy speech of a foreigner, “Yes. Please speak.”
At this moment, using the cunning means that come from journalism, I began to fabricate the following lie:
“The reason I came here today is because it felt too precious to defile this body in the complicated and dirty world, so I intend to finish my life in the holy and sacred convent.”
Hearing these words, the priest pondered for a while... “That is a good word. ... However, with labor, prayer, and meditation, under God the Father<79> Jesus and the Holy Mother Mary, vowing to the Rule (誡律) of Benedict, the Ten Commandments of Moses, or the Cross is quite a difficult thing.”
“...”
“Anyway, please follow me.” At his words, as I followed him into the Mother Superior’s office, my heart pounded like an international spy facing a risky venture deliberating for their home country (自國), and cold sweat trickled down my forehead.
They had me sit down, and looking up at the sky, like some fool or perhaps like a saving angel (救世天使), they offered silent prayer, then asked my intention again, and had me listen to a sermon through the Korean assistant superior.
With a straight face, thinking only of achieving my goal, I tried hard not to miss a single thing he said, determined to remember it all.
“Religion preceded science and will exist until the end of the world. Believing in God has been part of human creation, for example, Adam’s sons Cain and Abel offered to God fruits (果實) of the earth and the firstlings of the flock (羊). (Hearing this, even knowing it was a lie, I just nodded my head saying yes, yes.) Among religions, Roman Catholicism is the largest, with nearly 380 million adherents. Most convents in the world belong to this Catholicism. 480 years after the birth of Jesus, Saint Benedict (an Italian nobleman) hid himself in the land of Spia[go?] and built 12 small monasteries. His famous disciple, Saint Placidus, built a convent in Aria[ria?], and Saint Maurus built a huge convent in France. Through this lineage, due to the efforts of August[ine?], convents spread throughout the whole world, and then after several hundred years, in the era of Saint Francis[co?] [Xavier?], convents were built even in Chosŏn via India.” Listening to this sermon, my body felt so constrained, I felt sentiments like those of a prisoner. But thinking I must find out, I forced myself to listen to his sermon again.
“If you want to become a daughter of God, you must show permission from your earthly parents and proof that your past conduct was proper. And when you first enter, you must come equipped with clothes to wear for one year, bedding, daily necessities, etc. And as you will find out when you formally enter, this place is a land of silence. You will only make sounds during prayer time and confession time.
There is a thirty-minute walk time per day, but even then, it is absolutely silent, and when communicating with each other, codes are used.” While listening to this kind of sermon, the bell sound rang out again. Even for me, lacking faith, hearing the mysteriously flowing bell sound, I felt as if I had reached a fairyland, my breath seeming to shorten. The bell sound continued to flow thinly and long. Priest, Mother Superior, assistant nun, aspirants—without exception, they all came out in rows into the wide courtyard of the Catholic church. Only the aspirants wore ordinary clothes; the other nuns wore black habits and white coifs.
Around their necks hung rosaries and crosses. They walked so carefully that even though over a hundred people walked in rows, not even a footstep could be heard.
I too, muffling my shoe sounds, entered the chapel with them. They began to pray again. The worship of the nuns in black habits and white coifs looked even more holy and clean.
If there were a God, I believed He would have received their worship more sweetly.
For some reason, while feeling a sense of mystery, I felt endlessly sorry for the lives of those nuns.
Their daily life seemed terribly monotonous to me. Not only that. All the rules (誡律) made them extremely restricted<80>.
I felt quite an attachment to one young nun who looked nice. So, during the short prayer time, she and I stopped praying and started talking about worldly matters. (Doing this transgression within the exceedingly sacred-looking church, the thought of fear arising in my heart was indeed true.)

She said she came to the convent the summer before last, not so much because she wanted to become a nun, but because her parents, being sincere Catholics, wanted to entrust their only precious daughter to God, raise her purely to become God's precious daughter, and at the same time, make her their own beautiful (?) daughter. She showed a look that seemed to resent her parents who sent her to the convent out of love for her.
She continued this story.
“The bell that rings according to the time, morning and evening, sometimes sounds holy, but there were more than one or two times when that bell sound made us cry. On moonlit evenings like these lately, I just want to cry, wrapped in unseen loneliness and sorrow. Of course, I am not the only one who has these thoughts. All the nuns in here, being human, must all have the same feelings. No! I can definitively prove that they do.” Just as she was engrossed in talking, and I was lost in listening, an obstacle arose: the bell rang again, the sound of prayer changed, creating a world of silence.
After hearing the young nun's story, their actions seemed all the more foolish, and even the sound of the bell seemed to mock their foolishness.
I wanted to ask them.
Saying the world is dirty and evil, and that living there is painful, is entering a convent to become a nun not just the delusion of overly weak women?
And do you not have the strength to completely fix the dirty and evil society into a clean and good one! I asked with my heart— Their striving goal was eternal life (生)—living by the spirit (靈), discarding the flesh (肉) as dirty.
Silence and sacrifice of the flesh, prayer and labor, movement and stillness (靜), this is the program of their unchanging daily life. Suddenly, the priest's actions—the nuns' silence—everything struck me as jarring, so without another word, I ran out of the church.
In the late autumn wind, acacia trees, having shed all their leaves, stood sparsely, and only the lonely moonlight quietly illuminated the wide courtyard of the Catholic church.
Tonight, how sorrowful that moonlight must make the hearts of the pitiful nuns!
The bell sound still rings.
The Angelus bell seemed rather to resonate with the late autumn night of Seoul, the demonic capital, and seemed to warn against the foolishness of the nuns aiming for arduous self-discipline.
—Postscript—
I left, arranging to meet the memorable young nun at the next opportunity to hear her hidden secrets. I will borrow the pages next time to print the inside story. (End)<81>

**Summary**

The author, Choi Chŏnghŭi, recounts her visit to a Catholic convent in Seoul (Chingo-gae) in late autumn 1931. Feigning a desire to become a nun, she gains entry and observes the strict, silent, and regimented life of prayer, labor, and asceticism. She interviews a priest and listens to a sermon about the history and rules of the convent, finding the atmosphere oppressive. During prayer, she secretly converses with a young nun who expresses sorrow and resentment about her life, suggesting disillusionment is common among the nuns. The author leaves feeling critical of the nuns' withdrawal from the world, viewing it as weakness rather than piety, and pities their perceived foolishness, promising to reveal more in a future article. From a historical perspective, the article offers a fascinating glimpse into a modern Korean woman journalist's skeptical view of traditional religious institutions during the colonial period. It touches upon themes of individual desire versus familial/religious duty, the perceived constraints on women, and a critical, secular perspective engaging with Western religion in Korea. The author's journalistic method (using deception) and her empathetic yet ultimately critical tone towards the nuns are also noteworthy.

**Named Entities**

崔貞熙	최정희	Choi Chŏnghŭi
진고개	진고개	Chingo-gae
서울	서울	Seoul
안젤라쓰	안젤라쓰	Angelus
예수	예수	Jesus
마리아	마리아	Mary
베네직트	베네딕트	Benedict
모세	모세	Moses
로-마	로마	Rome
스피야	스피야	Spia[go?] (Likely Subiaco)
푸라시-트	플라치도	Placidus
아리아	아리아	Aria[ria?] (Unclear, possibly Arli?)
모투	마우루스	Maurus
불난서	불란서	France
아우부스진	아우구스티누스	August[ine?]
성푸란제스고	성 프란치스코	Saint Francis[co?] [Xavier?]
사부에소-	사비에르	[Xavier?]
인도	인도	India
조선	조선	Chosŏn (Korea)
카인	카인	Cain
아벨	아벨	Abel
아담	아담	Adam
카트릭교	가톨릭교	Catholic Church

**Glossary**

童貞女群	동정녀군	Group of virgins (referring to nuns)
긔도	기도	Prayer (Older spelling)
례배	예배	Worship, service (Older spelling)
금욕생활	금욕생활	Ascetic life, life of abstinence
로만스	로망스	Romance
天主敎	천주교	Catholicism
修道院	수도원	Convent, monastery
探訪	탐방	Visit, investigation
엇더한가	어떠한가	How is it? What is it like? (Older spelling/form)
울니여	울리어	Ringing (Older spelling/form)
저무러짐	저물어짐	Becoming dark, dusk falling
선고할	선고할	To announce, declare
옷득	우뚝	Sharply, prominently (Older spelling)
뽀족한	뾰족한	Pointed, sharp
터저나오는	터져나오는	Bursting out, emerging from
비장	비장	Tragic, sorrowful
순정	순정	Purity, innocence
말해둠니다	말해둡니다	Let it be said, I state (Polite, older form)
오-래	오래	For a long time (Older spelling)
알녀고	알려고	Wanting to know (Older spelling/form)
하든	하던	Used to do, that one did (Older spelling)
내막	내막	Inside story, inner workings
곱-게	곱게	Finely, beautifully (Older spelling)
시드러지는	시들어지는	Withering, fading
수녀	수녀	Nun
일상생활	일상생활	Daily life
가삼	가슴	Chest, heart (Older spelling)
숨은	숨은	Hidden
비화(悲話)	비화	Sad story, tragic tale
위하야	위하여	For the sake of (Older spelling)
차저갓슴니다	찾아갔습니다	Visited, went to seek (Older spelling/form)
마도(魔都)	마도	Demonic capital (A term sometimes used for modern, bustling cities)
느진	늦은	Late (Older spelling)
저주하는	저주하는	Cursing
듯이	듯이	As if, like
잇섯슴니다	있었습니다	Was, existed (Older spelling/form)
무언(無言)	무언	Silence, speechlessness
닥고	닦고	Treading, polishing, cultivating (path) (Older spelling)
영광	영광	Glory
잇스라는	있으라는	Bidding to be, commanding existence (Older form)
씸폴	심벌	Symbol
안인가도	아닌가도	Perhaps it is not...? (Older form)
생각하엿슴니다	생각하였습니다	Thought (Older spelling/form)
교당	교당	Church building, chapel
엇지도	어찌도	How very, so (Older spelling)
고요한지	고요한지	How quiet it is
업는	없는	Lacking, without (Older spelling)
맘에도	마음에도	Even in the heart/mind (Older spelling)
엇더한	어떠한	Some kind of, certain (Older spelling)
푸래쉬틱한	플라스틱한	Plastic (Here likely meaning artificial or perhaps vivid/sculptural)
늣김	느낌	Feeling, impression (Older spelling)
밧엇슴니다	받았습니다	Received (Older spelling/form)
신부(神父)	신부	Priest (Catholic)
이섯슴니다	있었습니다	Was, existed (Older spelling/form)
압헤	앞에	In front of (Older spelling)
섯투른	서투른	Clumsy, unskillful (Older spelling)
말솜시로	말솜씨로	With speaking skill (Older spelling)
말삼해	말씀해	Please speak (Older form of 말씀하십시오)
보십시요	보십시오	Please look/try (Polite command)
대답하엿슴니다	대답하였습니다	Answered (Older spelling/form)
잇때에	이때에	At this time (Older spelling)
쨔나리즘	저널리즘	Journalism
갓치	같이	Like, as (Older spelling)
꿈며대기	꾸며대기	Fabricating, making up (lies)
햇슴니다	했습니다	Did (Older spelling/form)
앗가위섯슴으로	아까웠으므로	Because it was precious/regrettable (Older spelling/form)
맛치려고	마치려고	Intending to finish/conclude (Older spelling)
함니다	합니다	Do, intend to (Polite ending, older form)
드른	들은	Heard (Older spelling)
조흔	좋은	Good (Older spelling)
그러치만	그렇지만	However, but (Older spelling)
로동	노동	Labor
밋헤서	밑에서	Under, beneath (Older spelling)
게률(誡律)	계율	Religious precepts, commandments, rule
십게명	십계명	Ten Commandments
서원(誓願)	서원	Vow, oath
퍽	퍽	Quite, very
드러갈	들어갈	To enter
자국(自國)	자국	One's own country
고심하는	고심하는	Agonizing over, deliberating
흘넛슴니다	흘렀습니다	Flowed (Older spelling/form)
안처 놋코	앉혀 놓고	Having someone sit down (Older spelling/form)
우르러	우러러	Looking up at
구세천사(救世天使)	구세천사	Saving angel
묵도	묵도	Silent prayer
들녀줌니다	들려줍니다	Lets hear, tells (Older spelling/form)
시침을 딱 떼고	시침을 딱 떼고	Putting on an innocent face, feigning ignorance
이약이	이야기	Story, talk (Older spelling)
한나도	하나도	Not even one (Older spelling)
빼놋치 안코	빼놓지 않고	Without omitting (Older spelling/form)
긔억하려고	기억하려고	Trying to remember (Older spelling/form)
썻담니다	썼답니다	Tried, exerted effort (Reported speech ending, older form)
압서서	앞서서	Preceding, before (Older spelling)
잇섯고	있었고	Was, existed (and) (Older spelling)
끗까지	끝까지	Until the end (Older spelling)
밋는	믿는	Believing (Older spelling)
례를	예를	Example (Older spelling)
우의	위의	Of the top, on the (Older spelling, here meaning 'of the earth')
과실(果實)	과실	Fruit
양의(羊) 첫색기	양의 첫새끼	Firstling of the flock (sheep)
밧치엿슴니다	바쳤습니다	Offered, dedicated (Older spelling/form)
줄	줄	That (conjunction introducing clause), fact
꺼덕거리엿슴니다	끄덕거리였습니다	Kept nodding (Older spelling/form)
갓갑슴니다	가깝습니다	Is close to, nearly (Older spelling/form)
속하엿는데	속하였는데	Belonged to (and) (Older spelling/form)
만드럿슴니다	만들었습니다	Made, built (Older spelling/form)
그분에	그분의	His (referring to St. Benedict)
몃백년	몇백 년	Several hundred years (Older spelling)
것처	거쳐	Via, passing through (Older spelling)
엇더케도	어떻게도	So much, how (emphasized, older spelling)
부자유햇든지	부자유했든지	Was so restricted/unfree (Older spelling/form)
갓흔	같은	Like, same as (Older spelling)
늣기게 되엿슴니다	느끼게 되었습니다	Came to feel (Older spelling/form)
알어야	알아야	Must know (Older spelling/form)
하겟다는	하겠다는	That one will do/must do (Older spelling)
듯게 되엿슴니다	듣게 되었습니다	Came to listen (Older spelling/form)
보혀야 함니다	보여야 합니다	Must show (Older spelling/form)
땐	때는	When (contraction, older form)
일개년	일개년	One year period
잇스나	있으나	Although there is (Older spelling)
잇슬 때	있을 때	When there is, while (Older spelling)
종소래가	종소리가	Sound of the bell (Older spelling)
울녀옴니다	울려옵니다	Comes ringing (Older spelling/form)
갓지 못한	갖지 못한	Not possessing, lacking
흘너오는	흘러오는	Flowing towards (Older spelling)
선경에나	선경에나	To a fairyland or the like
니른	이른	Reached, arrived at (Older spelling)
숨결좃차	숨결조차	Even one's breath (Older spelling)
십헛슴니다	싶었습니다	Felt like, seemed (Older spelling/form)
