Magazine Title: 동광 제31호
Publication Date: 1932년 03월 05일
Article Title: 괴-테 百年紀念欄, 「괴-테」와 「쉐익스피어」 (Goethe Centennial Memorial Column, "Goethe" and "Shakespeare")
Author: 鄭寅燮
Article Type: 논설 (Editorial/Essay)

Saint Poet - Goethe

Goethe Centennial Memorial Column, "Goethe" and "Shakespeare"
						Chŏng Insŏp

No matter how the times change or how many new doctrines are advocated, Goethe and Shakespeare are two great luminaries who are never forgotten, whether in a positive or negative sense. As epoch-making existences in world literary history, or as perfections in themselves, they are the two great masters most widely known, to whom we do not spare the highest epithets like "poet saint" or "playwright saint."

Now, upon reaching the centennial of Goethe, while reminiscing about him, I received a request for a poetry translation. However, rather than that, I intend to briefly write about the influence of Shakespeare, which can be said to be the most prominent among the fundamental reasons why Goethe became the Goethe we know.

Regarding the influence of foreign literature, without needing to elaborate extensively here, the value of its "centrifugal force" (원심력) must be regarded as significant. When thinking of the sphere of world literature, just as no one can disregard German literature, and within German literature, it feels like the center is missing without thinking of Goethe, so too in relation to German literature and Goethe, one cannot fathom its developmental process without considering the plays of England's Saong (沙翁 - Shakespeare).

Furthermore, those who study Shakespeare's plays cannot expect to achieve mastery without examining the research works on Shakespeare by German literary scholars. This is not just because Germany has a "Shakespeare Society" (쉐익스피어 學會) where Shakespearean research is said to be more intense than in England, but can be readily asserted from the fact that there is hardly any German literary thinker without writings on Shakespeare, and that their content possesses considerable profound depth (深刻味).

Thus, just as Berne (베르네 - Ludwig Börne) exclaimed, "Hamlet is German," their fervor for Shakespearean research and admiration (崇拜熱) is exceedingly intense.

While Goethe's *Faust* represents one side of the German national character—the aspect of an incessant, indomitable quest for knowledge—Shakespeare's *Hamlet*, in its skeptical melancholy, can be seen truly representing the other side of the German national character.

And this *Hamlet* was also studied by Goethe. In his novel *Wilhelm Meister* (윌헤름·마이스텔), speaking through Wilhelm, he critiqued *Hamlet* as follows in the English translation below. This has become a well-known reference for anyone who typically studies *Hamlet*.— <115>

“The time is out of joint: O cursed spite, That ever I was born to set it right!”
In these words, I imagine, will be found to Hamlet's whole procedure. To me it ts clear that Shakespeare meant, in the present case, to repressent the effects of a great action laid upon a soul unfit for the performance of it. In this view the whole play seems to me to be composed. There is a oak-tree planted in a costly jar, which should have borne only pleasant flowers in its bosom: the roots expand, the jar is shivered. A lovely, pure, noble and most moral nature, without the strength of nerve which forms a hero, sinks beneath a burden it cannot bear and must not cast away. All duties are holy for him; the present is too hard. Impossbilities have been required of him, - not in themselves impossibilities, but such for him. He winds and turn, and torments himself; he advances and recoils, is ever put in mind, ever puts himself in mind; at last does all but lose his purpose from his thohghts, yet still without recovering his peace of mind.

I do not intend here to provide a comprehensive description of the influence Shakespeare's plays had on German literature or German dramatic literature. Why? Because if observed historically through the realms of drama, translation, and research, there are far too many facts. Therefore, I limit myself here to Goethe alone.

Among the literary theories on Shakespearean research, the one that most moved (움즉인) Goethe was that of Herder (헤르테르). What Herder discovered as the greatness of Shakespeare's plays lay particularly, seen as an epoch-making contrast since Greece, in the destruction of existing rules (在來) of playwriting and the dawn of character drama.

And if we quote from a passage describing the outcome after Meister, the protagonist in Goethe's aforementioned novel *Wilhelm Meister*, first urged Jarno (야르노-) to read Shakespeare's plays in order to reform the German stage, we get the following translation. This can be considered Goethe's own impression when he read Shakespeare upon Herder's recommendation.—
"To my memory, nothing has given me as great an impression as his precious works, which I first came to know through you. Truly, Shakespeare's works are those of an earthly genius. I cannot simply call this poetry. It feels as if I am standing before the strange turns of fate, where the harsh winds of the world stir the waves, crying and roaring with terrifying force. All the premonitions I had about humanity and human destiny are actually expressed in Shakespeare's works. For Shakespeare, nothing is impossible... And after reading his plays, I gain the courage to throw myself into the waves of fate and overcome them, and also the courage to draw water from the great ocean of nature and drink it."

In this way, Goethe, impressed by Shakespeare, departed entirely from the French-style (佛蘭西流) dramatic fashion of regulated constraint, influenced by Aristotle's *Poetics* (아리스테레스 詩學) which was popular at the time. He conceived large-scale masterpieces through the rich and profound depiction of characters, not to mention the ever-changing (千變萬化하는) settings, events, and timelines of Shakespeare's plays. Thus, a colossal work like *Faust* (파우스트) emerged, and in his historical drama *Götz* (굇츠), various influences from Shakespeare's plays like *Antony and Cleopatra* (안토니와 크레오파트라), *Macbeth* (맥크베스), and *Romeo and Juliet* (로메오와 쥬리엣트) are evident, though I will not describe them all individually. In short, it is a fact that Goethe gained much through his digestion of Shakespeare.

Finally, I will add one more word. Although the names Saong (沙翁) or Goethe have been heard in Chosŏn (朝鮮) for a long time, the degree of research and digestion is truly quite shallow. Of course, critical perspectives may vary, but adopting their good points is extremely necessary. Before rejecting unconditionally, one must first understand sufficiently. It seems a bad habit (惡習) of rashly (輕妄히) disregarding others before knowing them thoroughly is prevalent in Chosŏn's literary circles. Historical consideration of literary thought is necessary regardless of any school (流派), and commemorating literary giants is also a significant matter. Whether one takes a positive or negative stance depends on one's own view (主見), however. (End) <116>

**Summary**

This 1932 essay by Chŏng Insŏp discusses the profound influence of Shakespeare on Goethe, arguing that Goethe's greatness is inseparable from his engagement with Shakespeare. It highlights the German fascination with Shakespeare, citing Börne's claim that "Hamlet is German" and Goethe's own extensive analysis of Hamlet in *Wilhelm Meister*. Chŏng emphasizes how Shakespeare liberated Goethe from the constraints of neoclassical French drama, enabling works like *Faust*. The author concludes by lamenting the shallow understanding and study of figures like Shakespeare and Goethe in contemporary Chosŏn, urging deeper engagement before dismissal and stressing the importance of studying literary history regardless of one's own critical stance. From a historical perspective, the article reveals the engagement of Korean intellectuals with Western literary canons during the colonial period, attempting to position Korean literature within a world context. It also reflects a critique of the contemporary Korean literary scene's perceived superficiality and factionalism, advocating for more rigorous study and less hasty judgment, which might indicate anxieties about cultural development under colonial rule.

**Named Entities**

괴-테	괴테	Koet'e (Goethe)
쉐익스피어	셰익스피어	Syeik'sŭp'iŏ (Shakespeare)
鄭寅燮	정인섭	Chŏng Insŏp
獨逸	독일	Togil (Germany)
英國	영국	Yŏngguk (England/Britain)
沙翁	사옹	Saong (Literary name for Shakespeare)
쉐익스피어 學會	셰익스피어 학회	Syeik'sŭp'iŏ Hakhoe (Shakespeare Society)
베르네	베르네	Perŭne (Börne, Ludwig)
햄릿트	햄릿	Haemit (Hamlet)
파우스트	파우스트	P'ausŭt'ŭ (Faust)
윌헤름·마이스텔	빌헬름 마이스터	Wilhem Maisŭt'el (Wilhelm Meister)
헤르테르	헤르더	Herŭt'erŭ (Herder, Johann Gottfried von)
야르노-	야르노	Yarŭno (Jarno)
希臘	그리스	Hŭirap (Greece)
아리스테레스	아리스토텔레스	Arisŭt'eresŭ (Aristotle)
佛蘭西	프랑스	Pŏllansŏ (France)
굇츠	괴츠	Köch'ŭ (Götz von Berlichingen)
안토니와 크레오파트라	안토니와 클레오파트라	Ant'oniwa K'ŭreop'at'ŭra (Antony and Cleopatra)
맥크베스	맥베스	Maek'ŭbesŭ (Macbeth)
로메오와 쥬리엣트	로미오와 줄리엣	Romeowa Chyuriet'ŭ (Romeo and Juliet)
朝鮮	조선	Chosŏn (Korea)

**Glossary**

아모리	아무리	No matter how (Older spelling)
主義	주의	Doctrine, principle, -ism
提唱되어도	제창되어도	Even if advocated/proposed
긍정적	긍정적	Positive
부정적	부정적	Negative
잊히지	잊히지	Not forgotten (Passive form of 잊다)
明星	명성	Bright star, luminary
文學史上	문학사상	In literary history
各其	각기	Each, respectively
획기적	획기적	Epoch-making, groundbreaking
巨匠	거장	Great master
詩聖	시성	Poet saint (Highest honorific for a poet)
劇聖	극성	Playwright saint (Highest honorific for a playwright)
百年祭	백년제	Centennial festival/anniversary
당하야	당하여	Facing, upon reaching (Older conjugation)
추억하는	추억하는	Reminiscing
잇어서	있어서	Being in, In regards to (Older spelling)
詩譯	시역	Poetry translation
보담도	보다도	Rather than, more than (Older form)
기본적	기본적	Fundamental
원인	원인	Cause, reason
현저하다	현저하다	Remarkable, prominent, conspicuous
간단히	간단히	Briefly, simply
적으려고	적으려고	Intend to write
外國文學	외국문학	Foreign literature
구구히	구구히	Elaborately, in detail (Often implies unnecessarily so)
논할	논할	To discuss, argue
원심력	원심력	Centrifugal force
중대시	중대시	Regarding as important
文學圈	문학권	Literary sphere/circle
도외시	도외시	Ignoring, disregarding
연상치	연상치	Not associating/thinking of (Shortened form of 연상하지)
관련시킨	관련시킨	Related, connected
고려	고려	Consideration
推察	추찰	Inferring, surmising
연구하는 자	연구하는 자	One who researches, researcher
저서	저서	Written work, book
고찰치	고찰치	Not examining (Shortened form of 고찰하지)
완성	완성	Completion, perfection
期할 수 없는 바이니	기할 수 없는 바이니	Being something that cannot be expected/aimed for (바이니 is an older grammatical ending)
學會	학회	Academic society
보담도	보다도	Than (Older form)
심하다는	심하다는	Being intense/severe
현상	현상	Phenomenon
思想家	사상가	Thinker
거진	거의	Almost, nearly (Older form/dialect)
내용	내용	Content
상당한	상당한	Considerable, substantial
深刻味	심각미	Profound depth, seriousness
가젓다는	가졌다는	Possessed, had (Older spelling/conjugation)
능히	능히	Capably, sufficiently
이리하야	이리하여	Thus, in this way (Older spelling)
부르지진	부르짖은	Cried out, exclaimed (Older spelling/conjugation)
崇拜熱	숭배열	Fervor of worship, intense admiration
대단	대단	Very, exceedingly
不絶한	부절한	Incessant, unending
百折不屈	백절불굴	Indomitable, unyielding
탐구적	탐구적	Inquisitive, exploratory
性向	성향	Tendency, disposition
표시하는	표시하는	Representing, indicating
民族性	민족성	National character
半面	반면	One side, aspect
회의적	회의적	Skeptical
침울성	침울성	Melancholy, gloominess
실로	실로	Truly, indeed
대표한	대표한	Represented
되엇으니	되었으니	Became, was (Older spelling)
소설가운데서	소설 가운데서	Within the novel
빌려	빌려	Borrowing (here: speaking through)
英譯	영역	English translation
비평하엿으니	비평하였으니	Critiqued (Older spelling)
보통	보통	Usually, commonly
참고문	참고문	Reference text
되어 잇다	되어 있다	Has become, is (Older spelling)
전면적	전면적	Overall, comprehensive
記述	기술	Description
하고저	하고자	Intending to do (Older spelling)
何故오 하면	왜냐하면	Because (Archaic form, literally "If one asks what reason")
史的으로	사적으로	Historically
劇界	극계	Theatrical world
譯界	역계	Translation world
硏究界	연구계	Research world
통하야	통하여	Through (Older spelling)
관찰하면	관찰하면	If observed
잇으니깐	있으니깐	Because there is/are (Colloquial/older spelling)
一人에	일인에	To one person
한하는 바이다	한하는 바이다	Limit oneself to (Older phrasing)
움즉인	움직인	Moved, influenced (Older spelling)
발견한 바	발견한 바	What was discovered
위대	위대	Greatness
希臘	그리스	Greece (Hanja characters used)
이후의	이후의	After, since
획기적	획기적	Epoch-making
대립	대립	Contrast, opposition
보아	보아	Seeing, considering
在來의	재래의	Existing, conventional
劇作上	극작상	Regarding playwriting
규칙파괴	규칙 파괴	Rule-breaking
性格劇	성격극	Character drama
서광	서광	Dawn, first light
感懷한	감회한	Been moved by, felt deeply about
주인공	주인공	Protagonist
獨逸劇壇	독일 극단	German stage/theater world
개혁하려고	개혁하려고	Trying to reform
처음으로	처음으로	For the first time
권한	권한	Recommended, urged
결과	결과	Result, outcome
句節	구절	Passage, phrase
인용하면	인용하면	If quoted
譯과	역과	Translation and (Here: as the translation)
인상	인상	Impression
기억으으로는	기억으로는	In my memory (Older spelling)
귀중한	귀중한	Precious, valuable
작품	작품	Work (of art, literature)
커다란	커다란	Large, great
지상의	지상의	Earthly
천재	천재	Genius
恰似	흡사	Just like, as if
험한	험한	Rough, harsh
바람	바람	Wind
물결	물결	Wave
이르켜	일으켜	Causing, stirring up (Older spelling)
기세	기세	Force, vigor, spirit
울고 부르짖는	울고 부르짖는	Wailing and crying out
운명	운명	Fate, destiny
기구한	기구한	Strange, checkered, unfortunate
앞에 서 잇는	앞에 서 있는	Standing before (Older spelling)
인류	인류	Humanity
예감	예감	Premonition, foreboding
표시되어 잇다	표시되어 있다	Is expressed/indicated (Older spelling)
불가능한	불가능한	Impossible
이겨가려는	이겨가려는	Trying to overcome
용기	용기	Courage
大洋	대양	Great ocean
퍼다	퍼다	Scooping up
마시는	마시는	Drinking
감복한 바 잇어	감복한 바 있어	Being impressed (Older phrasing)
유행하든	유행하던	Was popular/trendy (Older spelling)
詩學	시학	Poetics (referring to Aristotle)
佛蘭西流	프랑스류	French style
規律的	규율적	Regulated, disciplined
구속	구속	Constraint, restriction
劇風	극풍	Dramatic style
공연	공연	Vainly, needlessly; or performance (Here: likely needlessly/entirely)
떠나	벗어나	Departing from, breaking free from
千變萬化하는	천변만화하는	Ever-changing, protean
학은	학은	(Likely an archaic conjunction/particle meaning 'and so on' or connecting clauses)
인물	인물	Character (in a play/novel)
성격	성격	Personality, character
풍부하고	풍부하고	Rich and
심각한	심각한	Profound, serious
묘사	묘사	Depiction, description
대규모	대규모	Large-scale
명작	명작	Masterpiece
구상하엿으니	구상하였으니	Conceived, planned (Older spelling)
巨作	거작	Colossal work, magnum opus
나왓으며	나왔으며	Emerged, came out (Older spelling)
史劇	사극	Historical drama
명백하나	명백하나	Is clear, but
일일히	일일이	One by one, individually
記述치 아니 한다	기술치 아니한다	Do not describe (Older negative form)
요컨대	요컨대	In short, to sum up
소화	소화	Digestion (here: assimilation, understanding)
의하야	의하여	Through, by means of (Older spelling)
얻은 바가	얻은 바가	What was gained
오래지 마는	오래지만은	Although it has not been long (Older form)
실로	실로	Truly, in reality
정도	정도	Degree, level
옅은	얕은	Shallow
물론	물론	Of course
批評眼	비평안	Critical eye/perspective
취한다는	취한다는	Taking, adopting
극히	극히	Extremely, highly
필요한	필요한	Necessary
무조건하게	무조건하게	Unconditionally
부정하기	부정하기	Denying, rejecting
몬저	먼저	First (Older spelling)
충분히	충분히	Sufficiently
알아야	알아야	Must know
文壇	문단	Literary circles, the literary world
충실히	충실히	Faithfully, thoroughly
輕妄히	경망히	Rashly, thoughtlessly, frivolously
무시하려는	무시하려는	Trying to ignore/disregard
惡習	악습	Bad habit, evil custom
유행하는	유행하는	Prevalent, fashionable
考察	고찰	Consideration, examination
여하한	여하한	Any kind of, whatever
流派	유파	School, faction (literary, artistic)
물론하고	물론하고	Regardless of, not to mention
文豪	문호	Great writer, literary giant
기념행동	기념 행동	Commemorative action/event
중대한	중대한	Important, significant
긍정	긍정	Affirmation, positive stance
부정	부정	Negation, negative stance
입장	입장	Stance, position
각기	각기	Each, respective
主見	주견	One's own opinion, subjective view
의한 것이지마는	의한 것이지만은	Although it depends on (Older form)


---------------------------


잡지명	동광 제31호
발행일	1932년 03월 05일
기사제목	괴-테 百年紀念欄, 「괴-테」와 「쉐익스피어」
필자	鄭寅燮
기사형태	논설

聖詩-괴-테

괴-테 百年紀念欄, 「괴-테」와 「쉐익스피어」
						鄭寅燮
시대가 아모리 변하고 새로운 主義가 아모리 많이 提唱되어도 「괴-테」와 「쉐익스피어」는 긍정적 의미에서든지 혹은 부정적 의미에서든지 잊히지 안는 2大 明星이다. 세계 文學史上의 各其 획기적 존재로서, 또는 그 자체의 완성으로서 가장 넓게 알려진 2大 巨匠이니 詩聖이라든가 劇聖이라든가 하는 최고의 대명사를 아끼지 안는 바이다.
이제 「괴-테」 100年祭를 당하야 그를 추억하는 가운데 잇어서 詩譯의 부탁을 받앗으나 그것 보담도 「괴-테」가 「괴-테」로 완성된 기본적 원인 중에서 가장 현저하다고 할 수 잇는 「쉐익스피어」의 영향을 간단히 적으려고 하는 바이다.
