잡지명 開闢 제51호
발행일 1924년 09월 01일
기사제목 西京夜話 (Night Tales of Sŏgyŏng [P'yŏngyang])
기사형태 잡저 (Miscellaneous Writings)

西京夜話 (Night Tales of Sŏgyŏng [P'yŏngyang])

◇P'yŏngyang, like other cities, has both old and new city districts. The old district is inhabited by Koreans and Japanese who came during the old Korean Empire era, while the new district is inhabited by newly arrived Japanese. However, if we dissect and examine these two districts further: Suyuk-ri has many inns (旅舘業); along the old and new roads of Nammun-t'ong, there are many Western clothing merchants (洋服商) and rubber shoe merchants (고무신 商); Ia-gyo has a food market (食料品塲); Sŏmun-nae (Haktang-kol) has many sellers of meat (獸肉販賣) and general goods dealers (雜貨業者); Ch'aegwan-ri and Sŏram-ri are kisaeng quarters (妓生窟); Kang'an-t'ong (Sinch'ang-ri) has restaurants (料理店) and lumber merchants (材木商); Sinch'ang-ri has fruit merchants (果物商); outside the Ch'ilsŏngmun earth fortress (土城外) live the poor (貧民); Kyoguch'ŏng has rubber factories (고무工塲); Changbyŏl-ri has sock factories (洋襪工塲); Sŏmun-naeoe has schools (學校); Chin-jŏng has the licensed prostitution district (遊廓); Chŏn'gu-ri, Sŏmun-oe, and Kyoguch'ŏng have laborers (勞働者); Nammun-t'ong has antique dealers (古物商); and Sangha Suyuk-ri has many unlicensed brothels (密賣春家).

◇P'yŏngyang has traditionally been famous for its kisaeng and kwari artisans/vendors (과리). However, recently, the kwari artisans/vendors have moved to Chinnamp'o, and their numbers <66> have greatly decreased. The things newly increasing are only beggars (乞人), Japanese, paegi (小弓) gambling, and unlicensed prostitutes (密賣者). It is impossible to know whether this is a sign of prosperity or decline.

◇Since the topic of kisaeng came up briefly, let me elaborate. P'yŏngyang is the seedbed (苗床) for kisaeng. Since earlier times, anyone of reasonable means would customarily enroll their daughter in a kisaeng school (妓生書齋), dreaming of future wealth and nobility, as if preferring daughters over sons (不重生男重生女格). However, while in the past they might become concubines (妾) of governors (監司) or magistrates (守令), enjoying luxury and accumulating wealth, today they merely prey on the spines of vagrants (浮浪者). Therefore, when the financial world (財界) experiences a panic (恐慌), they are the first to be affected. Lately, business has been so bad that, let alone going to Kangsŏ Yaksu for summer retreat (避暑), they cannot even afford to buy a mountain-heap-like bowl of cold noodles (冷麵) for fifteen chŏn, nor can they freely drink ice (어름), sold at five chŏn per gourd dipper, leaving their throats quite dry, it seems. Nevertheless, perhaps because that's all they can do, even now there are over eighty child kisaeng (童妓) attending kisaeng schools, and over one hundred forty kisaeng with business licenses (營業狀).

◇Anyway, among them, those who are particularly cherished and popular are said to be: the composed and graceful Wŏnsanwŏl; the heavy-drinking Ch'oe Nanhong (alias Sudden Storm); the passionate and sorrowful Kang Yŏnhwa; the skillful dancer Wang Kihwa; the lively Kang Tohwa; Chang Haksŏn, Kim Kŭmhwa, and Kim Nongwŏl who are good at singing the 'Song of Melancholy' (愁心歌); Cho Wŏlsăek who is good at Southern Provincial folk songs (南道雜歌); the charming Hong Ch'unhong; the easily weeping O Sanwŏl; the snorting No Sanwŏl; the dry-lipped, tooth-baring Chŏng Yŏngwŏl (talented in calligraphy and painting); the veteran kisaeng Mun Myŏngok; the simple Yi Ch'wihong; the demure Im Sanwŏl; Kim Ongnan, who resembles a painted boy from a mountain spirit shrine (山神閣畵童); <67> and others like Yi Unson, Kim Yŏngwŏl (talented in calligraphy and painting), and so on. However, a certain man of refined tastes remarks that since the short-haired beauty Ch'ae Kŭmhong quit the kisaeng profession to sell cold noodles, and since Kim Okyŏp – who was considered first-rate in P'yŏngyang, rumored to have charmed the entire P'yŏngan Namdo Provincial Office (平南道廳), and nearly committed a love suicide with Governor Yoneda (米田知事) on the Taedong River – went to Kyŏngsŏng (Seoul) for studies (when Governor Yoneda first arrived, while boating on the Taedong River, he saw Okyŏp in a nearby boat and tried to grab her hand, nearly falling into the water), and since Kang Kihwa, skilled in calligraphy and painting, went to Kyŏngsŏng, the P'yŏngyang world of flowers and willows (花柳界 - i.e., the kisaeng world) has become desolate.

◇While chatting idly, let me add another word. When Police Affairs Director Maruyama (丸山警務局長) was accompanying Governor-General Saitō (齋藤總督) on a tour of the border region, he stopped in P'yŏngyang and went to Changch'un-gwan restaurant at someone's invitation (招得). Being drunk, he went into another room and complained about not being given beer (麥酒), nearly getting his gourd-head smashed into a dozen pieces by the guests (座客) there. Fortunately, those guests were associated with the courthouse (裁判所), and they also realized it was Mr. Maruyama, so the incident ended without issue.

◇Furthermore, famous local foods include fish and abalone soup (魚鰒장국) before meals, meat broth (맥물[肉汁]) at night, fish porridge (魚粥) during boat excursions (船遊), and nŏch'i (노치 [부침이] - pancakes) in autumn (秋期). Cold noodles (冷麵) and distilled spirits (燒酒) are available in all four seasons. Also, ice (氷), corn (玉蜀藜), melons (참외 [Kangsŏ apples]), dog meat stew (狗醬), and watermelon (수박 [from Nŭngna-do]) are plentiful in summer. Taedong River smelt (秀魚) and P'yŏngyang beef (牛肉) and pork (猪肉) are also famous. Additionally, straw sandals (집신), cord/string (목), and belts (腰帶) are famous local products (名産), and there are quite many makers/sellers of tanggŏn hats (宕巾장이) on the streets. <68>

**Summary**

This article from 1924 describes the city of P'yŏngyang, detailing the distinct characteristics of its old and new districts and the types of businesses or populations found in specific areas like Suyuk-ri, Nammun-t'ong, and Sŏmun-nae. It notes the decline of traditional 'kwari' artisans/vendors and the perceived rise of beggars, Japanese residents, gambling, and unlicensed prostitution. A significant portion discusses the state of P'yŏngyang's kisaeng, lamenting their declining economic fortunes despite their continued presence and training, contrasting their current struggles with past prestige. It names several prominent kisaeng of the time and recounts anecdotes involving famous kisaeng like Kim Okyŏp and Japanese officials like Governor Yoneda and Police Director Maruyama. The piece concludes by listing P'yŏngyang's famous foods, drinks, and local products.

For historians, this article offers a valuable glimpse into the socio-economic landscape of colonial P'yŏngyang in the mid-1920s. It highlights the spatial segregation between Koreans and Japanese, the changing urban economy, the precarious situation of traditional entertainers like kisaeng under colonial modernity, and provides specific details about local culture, neighborhoods, notable figures (both Korean and Japanese), and everyday life, including food and trade. The anecdotes involving Japanese officials offer insights into colonial power dynamics and social interactions.

**Named Entities**

西京	서경	Sŏgyŏng
平壤	평양	P'yŏngyang
水玉里	수옥리	Suyuk-ri
南門通	남문통	Nammun-t'ong
二衙橋	이아교	Ia-gyo
西門內	서문내	Sŏmun-nae
學堂골	학당골	Haktang-kol
釵貫里	채관리	Ch'aegwan-ri
薛岩里	설암리	Sŏram-ri
江岸通	강안통	Kang'an-t'ong
新倉里	신창리	Sinch'ang-ri
七星門	칠성문	Ch'ilsŏngmun
土城外	토성외	T'osŏng-oe
橋口町	교구정	Kyoguch'ŏng
莊別里	장별리	Changbyŏl-ri
西門內外	서문내외	Sŏmun-naeoe
賑町	진정	Chin-jŏng
磚九里	전구리	Chŏn'gu-ri
西門外	서문외	Sŏmun-oe
上下水口里	상하수구리	Sangha Suguri (likely an error in original for 水玉里/Suyuk-ri)
鎭南浦	진남포	Chinnamp'o
日本人	일본인	Japanese people
江西藥水	강서약수	Kangsŏ Yaksu
元山月	원산월	Wŏnsanwŏl
崔蘭紅	최란홍	Ch'oe Nanhong
姜蓮花	강련화	Kang Yŏnhwa
王琪花	왕기화	Wang Kihwa
康桃花	강도화	Kang Tohwa
張鶴仙	장학선	Chang Haksŏn
金錦花	김금화	Kim Kŭmhwa
金弄月	김롱월	Kim Nongwŏl
趙月色	조월색	Cho Wŏlsăek
洪春紅	홍춘홍	Hong Ch'unhong
吳山月	오산월	O Sanwŏl
盧山月	로산월	No Sanwŏl
鄭暎月	정영월	Chŏng Yŏngwŏl
文明玉	문명옥	Mun Myŏngok
李翠紅	이취홍	Yi Ch'wihong
任山月	임산월	Im Sanwŏl
金玉蘭	김옥란	Kim Ongnan
李雲仙	이운선	Yi Unson
金暎月	김영월	Kim Yŏngwŏl
蔡錦紅	채금홍	Ch'ae Kŭmhong
平南道廳	평남도청	P'yŏngan Namdo Provincial Office
米田知事	미전지사	Governor Yoneda
大同江	대동강	Taedong River
金玉葉	김옥엽	Kim Okyŏp
京城	경성	Kyŏngsŏng (Seoul)
姜琪花	강기화	Kang Kihwa
丸山警務局長	환산경무국장	Police Affairs Director Maruyama
齋藤總督	재등총독	Governor-General Saitō
長春舘	장춘관	Changch'un-gwan
裁判所	재판소	Courthouse/Court
江西사과	강서사과	Kangsŏ apples
綾羅島	릉라도	Nŭngna-do

**Glossary**

都會	도회	City, town
新舊兩市街	신구양시가	Old and new city districts
旅舘業	여관업	Innkeeping business
洋服商	양복상	Western clothing merchant
고무신 商	고무신 상	Rubber shoe merchant (고무신 is rubber shoes)
食料品塲	식료품장	Food market (older term for 식료품 시장)
獸肉販賣	수육판매	Meat selling
雜貨業者	잡화업자	General goods dealer
妓生窟	기생굴	Kisaeng quarters (lit. 'kisaeng den')
料理店	요리점	Restaurant (often implying Japanese or higher-end)
材木商	재목상	Lumber merchant
果物商	과물상	Fruit merchant
貧民	빈민	Poor people
工塲	공장	Factory (older Hanja form of 공장)
洋襪工塲	양말공장	Sock factory
學校	학교	School
遊廓	유곽	Licensed prostitution district (Yukaku in Japanese)
勞働者	노동자	Laborer (older Hanja form of 노동자)
古物商	고물상	Antique dealer
密賣春家	밀매춘가	Unlicensed brothel/prostitute house
妓生	기생	Kisaeng (traditional female entertainer)
과리	꽈리	Kwari; context suggests artisans/vendors, possibly named after the '꽈리' plant (Physalis alkekengi) known for its intricate structure, perhaps symbolizing dexterity. (Modern standard: 꽈리)
名物	명물	Famous item, local specialty
移徙	이사	Moving, relocation (older term for 이사)
乞人	걸인	Beggar
백이(小弓)賭博	백이(소궁)도박	Paegi (Small Bow) Gambling; a type of gambling.
密賣者	밀매자	Unlicensed seller, here implying unlicensed prostitute
徵兆	징조	Sign, omen
모자리판(苗床)	모자리판(묘상)	Seedbed (苗床 is Hanja for seedbed; 모자리판 is the native Korean equivalent)
書齋	서재	Study room; here used for Kisaeng school/training place
監司	감사	Provincial governor (Joseon Dynasty title, sometimes used colloquially later)
守令	수령	Magistrate, local governor
妾	첩	Concubine
浮浪者	부랑자	Vagrant, drifter
財界	재계	Financial world
恐慌	공황	Panic, crisis (economic)
避暑	피서	Summer retreat (escaping the heat)
冷麵	냉면	Cold noodles
어름	얼음	Ice (older spelling of 얼음)
童妓	동기	Child kisaeng, apprentice kisaeng
營業狀	영업장	Business license
警務局長	경무국장	Police Affairs Director (Colonial government position)
總督	총독	Governor-General (Head of Japanese colonial government in Korea)
國境巡廻	국경순회	Border region tour
招得	초득	Invitation (older or dialectal form of 초대)
麥酒	맥주	Beer (Hanja word for beer)
座客	좌객	Guests seated (at a party or gathering)
魚鰒장국	어복장국	Fish and abalone soup (P'yŏngyang specialty)
맥물(肉汁)	맥물(육즙)	Meat broth (Yukchup; 맥물 seems a local term)
船遊	선유	Boating excursion
魚粥	어죽	Fish porridge
秋期	추기	Autumn period
노치(부침이)	노치(부침이)	Nŏch'i (type of pancake/buchimgae)
燒酒	소주	Soju (distilled spirit)
玉蜀黍	옥수수	Corn (Also written 玉蜀藜 in text)
참외	참외	Korean melon
狗醬	구장	Dog meat stew (Kaejang)
수박	수박	Watermelon
秀魚	수어	Smelt (specifically Hypomesus nipponensis)
名産	명산	Famous local product
집신	짚신	Straw shoes (older spelling of 짚신)
목	끈목	String, cord (older spelling of 끈목)
腰帶	요대	Belt
宕巾장이	탕건장이	Maker/seller of tanggŏn (traditional horsehair inner cap for men)
-e 

---------------------------


잡지명	개벽 제51호
발행일	1924년 09월 01일
기사제목	西京夜話
기사형태	잡저

西京夜話
