Rank	Word	Frequency
1	하야	867
2	섯다	354
3	말	336
4	나	335
5	사람	245
6	다시	164
7	하얏다	154
8	생각	152
9	가티	132
10	우리	124
11	獨逸	121
12	대한	120
13	무엇	109
14	그것	109
15	기사	97
16	내의	94
17	가지	93
18	모든	91
19	이오	90
20	소리	82
21	국가	82
22	忠南	81
23	안이	78
24	생활	76
25	세계	75
26	리하	75
27	까닭	72
28	대하	71
29	列國	71
30	자기	70
31	英國	69
32	하나	69
33	朝鮮	69
34	되얏다	68
35	米國	67
36	문제	62
37	혁명	60
38	佛國	58
39	하엿다	56
40	운동	56
41	日本	56
42	그러케	55
43	너	55
44	다른	55
45	다만	55
46	발행	54
47	무슨	54
48	개벽	52
49	국제	52
50	전쟁	52
51	세력	51
52	조직	51
53	잇슬	51
54	잡지	49
55	하니	49
56	단결	49
57	결과	48
58	태도	48
59	사실	48
60	제호	47
61	소위	47
62	더욱	47
63	이상	47
64	제목	46
65	형태	46
66	인터	46
67	또한	46
68	실로	45
69	눈	45
70	露國	44
71	가장	44
72	아모	44
73	兩國	44
74	세상	43
75	중심	42
76	관계	42
77	마음	42
78	하얏	42
79	以上	42
80	당시	41
81	주장	39
82	지금	39
83	회의	38
84	손	38
85	일이	38
86	여러	38
87	기타	36
88	서로	36
89	그때	36
90	역시	36
91	대개	35
92	바이	35
93	따라서	34
94	동시	33
95	반대	33
96	이외	33
97	집	33
98	필자	32
99	勞働者	32
100	公州	32
101	하얏스	32
102	잇스	31
103	청년	31
104	가슴	31
105	각국	30
106	노력	30
107	동안	30
108	누구	30
109	물	30
110	머리	30
111	사회	29
112	개최	29
113	압헤	29
114	꿈	29
115	얼마나	29
116	아침	29
117	일반	29
118	의미	29
119	이요	29
120	이후	28
121	정치	28
122	대회	28
123	兩班	28
124	서서	28
125	도로	28
126	단체	27
127	로서	27
128	대표자	27
129	수가	27
130	共産黨	27
131	農民	27
132	大正	27
133	만일	27
134	대답	27
135	방면	26
136	안코	26
137	그네	26
138	평화	26
139	가운	26
140	산보	26
141	伊太利	26
142	社會主義	25
143	보고	25
144	지방	25
145	체결	25
146	인구	25
147	당신	25
148	舍生	25
149	나숀날	25
150	처음	24
151	로써	24
152	요구	24
153	아래	24
154	主義	24
155	社會黨	24
156	이나	24
157	사랑	24
158	감정	24
159	제일	24
160	고로	24
161	읍니	24
162	최후	23
163	정신	23
164	의견	23
165	인하	23
166	로부터	23
167	軍國主義	23
168	발	23
169	참으로	23
170	인류	23
171	개조	23
172	京城	23
173	中國	23
174	몬저	23
175	과연	23
176	하랴	23
177	其時	23
178	洪州	23
179	이유	23
180	시간	23
181	필요	22
182	점령	22
183	거리	22
184	다리	22
185	理想	22
186	영국	22
187	계급	22
188	本道	22
189	노래	22
190	소식	21
191	발달	21
192	슴니	21
193	민중	21
194	의식	21
195	승인	21
196	如何	21
197	인민	21
198	團結	21
199	國家主權	21
200	第二	20
201	다수	20
202	그이	20
203	그대로	20
204	제한	20
205	편지	20
206	露西亞	20
