잡지명	삼천리 제4권 제3호
발행일	1932년 03월 01일
기사제목	港口情調와 女性 (Port Sentiment and Women)
필자	岸曙
기사형태	기행문 (Travelogue)

港口情調와 女性
						岸曙
新義州의 情趣
(The Atmosphere of Sinŭiju)

When I see the wild geese or swallows that roam the northern and southern skies, completely oblivious to the time and season, I unknowingly cannot suppress a feeling akin to a kind of homesickness.
This is not merely my own feeling of homesickness; it is likely a "nostalgia" that anyone who drifts about without a fixed place can feel similarly.

If one could freely do whatever one wants in a world where things go as one pleases, that would indeed be a beautiful thing of a poetic world. However, the world—no, this reality, up to the very end—robs people of all the freedom they wish to have. It is also true that one cannot suppress complaints filled with dissatisfaction, in the same sense, where one cannot fly no matter how much one wants to fly, and cannot sing no matter how much one wants to sing.

Thus, looking at the freely flying geese, one comes to lament being unable to be like them; seeing the swallows that come and go with the seasons, one thinks resentfully of one's own body, unable to do the same.
In this wingless body, where the chains of poverty can never be escaped, there is the sorrow of not being able to come and go freely.
The sorrow of the heart that cannot go to the longed-for hometown left in the southern sky, or the lamentation from a beautiful southern hill, unable to forget the snows of the north—when examined, these ultimately amount to nothing more than products of this same sentiment.

Here again, I cannot help but think of the circumstances of the wandering girls (게집애들) of the Port (浦口). While there are those who give up, thinking, "If things don't go as planned, let them be," there are also women who bustle about, saying, "Where is there anything that cannot be done if one strives with all one's might?" <64> I find myself possessing the sorrow of being unable to look upon both with anything but grey eyes. Shall I take the worn-out saying, "Man proposes, Heaven disposes (謀事는 在人이요, 成事는 在天이라)," find peace of mind in fatalism here, and just sit down? No. What is fate? Let us just strive forward. If we advance, a great path will surely appear. Why should we not advance along that path? one might say. However, it is the world by the port that actually shows this uninteresting contrast.

The port is a beautiful place. Moreover, a border port particularly captures one's heart because, while it has beautiful scenes of human feeling (人情味), it also possesses a special cruelty of heartlessness (沒人情). Especially in a port like Sinŭiju (新義州), with a single railway bridge in the middle, one can hear a discordant duet of harmony and chaos, justice and injustice, affection and hatred, which do not blend. Without this, the true nature of the border cannot be seen. If one were to say that the righteous find life here worthwhile because they lament its injustice, while the unjust cannot leave because they can indulge their injustice freely, some might rebuke this as too severe a contradiction. However, the truth, like a lie, remains sternly as fact, and what power could possibly change it?

Having said this, my words have digressed into an unrelated place. Look at how the waves, twice a day without fail, even by a fingernail's breadth, come in and go out, indifferently patting (두다리며) the sandy shore as if sighing they have no place to rest their heart. And look at the boats scattered about, darting restlessly left and right. One cannot simply say that these numerous boats (종종한 배대들), swaying restlessly to this indifferent song, are dancing overcome with joy. This is, needless to say, no different from those who sometimes play, sometimes grieve, some laughing and some singing, contained upon the heavy body of the port itself. No matter how much they spend each day as they please, whether it is in their hearts or not, their end is always the fate itself of inevitably gathering tumultuously and then dispersing tumultuously, without stability.

If, in such a port, there exists the circumstance of a drifter who cannot help but hold an indifferent cup of wine and deceive their complaining heart and the passing time with a heartless "Arirang," how fitting a contrast would that be to this scene? Truly, the sentiment of the port lies in such a place, and only in such a place does the elegy of ruin (落倫) possess a unique heart-wrenching quality. Therefore, one should not listen idly to the song of the swirling (기스러치며 휘도는) waves on a moonlit night, nor should one casually observe the black clouds drifting in the vast blue sky. Because there is something on the mind, even the sound of the waves cannot but be different; because the heart is clouded, one cannot simply look at the drifting black clouds and let it be. <65>

Indeed, it is true that most of the women who gather in such places, deceiving themselves and clouding the minds of others, are like autumn leaves in the wandering wind.
Thus, their own dark sorrow (暗愁), imbued (빌이 노흔) in the faintly trailing melodies, startles the night sky, and in the clear wine cups passed from lip (입살) to lip, the shadow of their ever-changing hearts (變轉無常한 心胸) is reflected. The port remains forgotten, still unable to awaken from its dream, even while being tormented and struck by the whip of this dazzlingly pressing (눈부싀게 들이가는) reality.

Even among ports, one can likely see this aspect more clearly in a border port. The silent, traceless tragic songs (悲歌) scattering (흩너가는) north, south, east, and west, from the desolate heart of Sinŭiju lying quietly receiving the rays of the midday sun against the backdrop of a splendid Nude Surface (裸面 - perhaps meaning superficiality or facade?), only those who know will know.

Boats, boatmen, smuggling, girls (게집), liquor—this is the border port. Without these, one cannot conceive of the border, let alone a border port. Here, dissatisfaction cannot but exist. Since this dissatisfaction cannot become a force for great action, their inclination (경눈이다) is to try to grasp even a moment of cheap pleasure (廉價享樂) with a few cups of wine. Thus, even in Sinŭiju, if you stroll through the back alleys behind the barracks after dinner, you hear the sound of entertainers from the drinking houses (색주가) singing "Arirang, Arirang" in their thin, dried-up (빼빼말나부튼) voices. Even as the night deepens, this sound continues endlessly, making the ever-quietening night sky resound, a truly pitiful (가이업는) thing. Moreover, one cannot help but be surprised that all the houses in this area are drinking houses.

They drink, dance, and stay up all night, but when the light of the new day rises in the eastern sky, they wipe their mouths, utter a single farewell of "We'll come again," and disperse (스러지고마는) towards their own paths.
Truly, they are a crowd who, like on a rainy day, just need to hold a single tobacco pipe and slip away themselves, and they have no worries or concerns.

It goes without saying that the crowds gathering in such places, whether women (게집) or men (사내), are moved by the undue greed of wondering how they can gobble up small change, like fish gathering under bait (밋기밋헤). Therefore, one can see absolutely no stability here. Rather, stability could never exist here from the start. They are a crowd who only dream of making off with whatever money they can grab (붓잡으면), no different from vagrants wandering the colonies (식민지).
It cannot be denied at all that the factory whistle at dawn or the siren at midday are heard by them all as indifferent sounds.

The solitude (孤寂) of this port, brilliantly cast under the midday sun (白日), only when night falls and it slips away (빗겨날) from the unfree restraint called daylight, does the gate to its secret sanctuary of cheap pleasure (廉價享樂), unknown to others, open (열니는). <66>
<64-66>

**Summary**

The author, Kisho, reflects on the melancholic atmosphere of the border port city of Sinŭiju in 1932. Contrasting the fleeting freedom of migrating birds with human constraints, the piece focuses on the transient lives of people drawn to the port, particularly women entertainers ("girls," 색주가). The port is depicted as a place of harsh contrasts—beauty and cruelty, justice and injustice—where lives lack stability, like boats tossed on waves. The nights offer escape through cheap pleasures like drinking and singing "Arirang" in numerous drinking houses, masking underlying sorrow and the harsh realities of life, possibly hinting at the colonial situation. The author portrays the inhabitants as drifters chasing small gains, indifferent to the rhythms of industrial life like factory whistles, finding solace only in the hidden, nocturnal world of the port. From a historical perspective, the article offers a glimpse into the social atmosphere of a Korean border city under Japanese rule. It highlights the precarious existence and emotional landscape of marginalized groups (especially women in the entertainment sector) and the sense of rootlessness and escapism potentially exacerbated by the colonial context ("vagrants wandering the colonies"). The mention of smuggling, drinking houses concentrated in certain areas, and the pervasive sense of melancholy provides social historians valuable texture about life on the fringes of the empire.

**Named Entities**

岸曙	기쇼	Kisho
新義州	신의주	Sinŭiju

**Glossary**

깜핫케	까맣게	completely, pitch black (older spelling)
몰으는	모르는	unknown, don't know (older spelling)
갓갑은	가까운	close to, near (older spelling)
업게	없게	without, so that there isn't (older spelling)
안이요	아니요	is not (older spelling/form)
밀녀도는	밀려드는	drifting, surging in (older spelling)
늣길	느낄	to feel (older spelling)
십흔	싶은	wanting to (older spelling)
십허	싶어	wanting to (older spelling)
업고	없고	without, and not have (older spelling)
잇는	있는	existing, being (older spelling)
하야	하여	doing, being (older form/spelling)
갓치	같이	like, as (older spelling)
업는	없는	without, non-existent (older spelling)
못닛저하는	못 잊어하는	unable to forget (older spelling)
따저보면	따져보면	if one considers, examines (older spelling)
게집애들	계집애들	girls (often derogatory or informal; here likely referring to female entertainers/prostitutes)
안이할 수가 업다	아니할 수가 없다	cannot but do, cannot help but (older spelling)
멧잔	몇 잔	a few cups (of alcohol) (older spelling)
엇듸	어디	where (older spelling)
잇느냐고	있느냐고	asking if there is (older spelling)
들어다보지	들여다보지	to look into, peer into (older spelling)
엇더한	어떠한	what kind of, any (older spelling)
엇지할	어찌할	what to do (older spelling)
움으러들고	움츠러들고	shrinking back, digressing (older spelling)
업시	없이	without (older spelling)
바다까기스러을	바닷가 기슭을	seashore edge, shoreline (likely typo/older form for 바닷가 기슭을)
무심이	무심히	indifferently, unconsciously (older spelling)
두다리며	두드리며	tapping, patting (older spelling)
안정업시	안정 없이	without stability, restlessly (older spelling)
배대들	배들	boats (plural) (older form/spelling)
흔들니는	흔들리는	shaking, swaying (older spelling)
종종한	총총한/빽빽한	numerous, densely packed (interpretation based on context)
엄시	없이	without (older spelling)
몸둥이	몸뚱이	body (colloquial) (older spelling)
담아노흔	담아놓은	contained, put into (older spelling)
엇던	어떤	some (older spelling)
드라도	더라도	even if (older spelling/form)
끗은	끝은	the end is (older spelling)
모혓다가는	모였다가는	after gathering (older spelling)
슬어어지지	스러지지	to fade away, disperse, collapse (older spelling, likely related to modern 스러지다)
하소연한	하소연한	complained, lamented (older spelling)
잇다하면	있다 하면	if there is (older spelling)
잇는	있는	being, existing (older spelling)
기스러치며	기슭 치며/휘몰아치며	hitting the shore / swirling (interpretation based on context and following word 휘도는)
휘도는	휘도는	swirling, whirling
다릇치	다르지	different (older spelling)
잇는지라	있는지라	because there is (older spelling/form)
모혀서	모여서	gathering (older spelling)
거즛하고	거짓하고	lying, being deceitful (older spelling)
흘이게	흐리게	to make cloudy, to confuse (older spelling)
입사귀	잎사귀	leaf (older spelling)
가략노래	가락 노래	tune, melody song
빌이 노흔	빌려 놓은 / 배어 놓은	imbued with, laden with (interpretation based on context)
暗愁	암수	dark sorrow, melancholy
놀내게	놀라게	to surprise, startle (older spelling)
입살	입술	lips (dialect/older form)
ž”에는	잔에는	in the cup (older spelling of 잔 + 에 + 는)
비최는	비치는	reflecting (older spelling)
눈부싀게	눈부시게	dazzlingly (older spelling)
들이가는	들이닥치는/들이치는	bearing down upon, pressing (interpretation based on context)
시달니우고	시달리고	being harassed, suffering (older spelling)
부닥기는	부닥치는	colliding with, running into (older spelling)
마지면서도	맞으면서도	while being hit, while facing (older spelling)
잇슬	있을	will be, will exist (older spelling)
흩너가는	흩날리는/흩어져 가는	scattering (older spelling)
자최업는	자취 없는	traceless (older spelling)
업거든	없거든	if there isn't (older spelling)
업지	없지	not without (older spelling)
건들여	건드려	to touch upon, provoke, try (older spelling)
경눈이다	경우이다/경향이다	is the case / is the tendency/inclination (interpretation based on context, archaic form)
거느려보면	거닐어보면	if one strolls (older spelling)
게딱지	게딱지	crab shell (used metaphorically for a small, shabby house)
조고만한	조그마한	small, tiny (older spelling)
집속에서	집 속에서	inside the house (older spelling)
색주가	색주가	drinking house with female entertainers
빼빼말나부튼	빼빼 말라붙은	skinny and dried up (descriptive, older spelling)
불으는	부르는	singing (older spelling)
들닌다	들린다	is heard (older spelling)
깁허도	깊어도	even if deep (older spelling)
끈일	끊일	to cease, be cut off (older spelling)
갈사록	갈수록	as time goes by, increasingly (older spelling)
울니는	울리는	making cry, resonating (older spelling)
가이업는	가엾는/끝없는	pitiful / boundless (older spelling, context suggests pitiful)
모도	모두	all (older spelling)
빗치오르면	빛이 오르면	when the light rises (older spelling)
슬어지고	스러지고	fading away, dispersing (older spelling)
내여붓치고는	내뱉고는	after spitting out (words) (older spelling)
슬어지고마는	스러지고 마는	end up fading away/dispersing (older spelling)
밋기밋헤	미끼 밑에	under the bait (older spelling)
엇더케하면	어떻게 하면	how to (older spelling)
붓잡으면	붙잡으면	if one catches, grabs hold of (older spelling)
뀌는	꾸는	dreaming (older spelling)
단이는	다니는	wandering, going about (older spelling)
식민지	식민지	colony
들이는	들리는	heard as (older spelling)
孤寂	고적	solitude, loneliness
白日	백일	daylight, broad daylight
빗겨날	비껴날	to slip away from, avoid (older spelling)
열니는	열리는	opening (older spelling)


---------------------------


잡지명	삼천리 제4권 제3호
발행일	1932년 03월 01일
기사제목	港口情調와 女性
필자	岸曙
기사형태	기행문

港口情調와 女性
						岸曙
新義州의 情趣
제때 제철을 깜핫케 남북 하늘을 떠도는 기럭이나 제비를 볼 때에 나는 몰으는 듯 一種思鄕에 갓갑은 심정을 금할 수가 업게 된다.
이것은 내 자신의 思鄕으로의 심정만이 안이요. 일정한 곳을 두고 밀녀도는 뜨내기로는 누구나 다갓치 늣길 수 잇는「노스탈이오」일 것이다.
맘대로 되는 세상에 제맘대로의 하고 십흔 일을 맘대로 할 수가 잇다하면 그야말노 시적 세계의 아름답은 일일 것이다. 그러나 세상이란-아니다, 어듸까지든지 이 현실이란 것은 사람의 하고 십허하는 모든 자유를 빼앗고야 마는 것이다. 아모리 날고 십허도 날아날 수가 업고 아모리 노래하고 십허도 노래할 수가 업는 곳에도 또한 가튼 의미로의 불평 가득한 哀歌를 금할 수가 업는 것도 사실이다.
이리하야 자유로의 날아가는 기럭이를 바라보고는 그와 갓치 되지 못할 것을 한하게도 되는 것이요 철을 딸아서 왓다 갓다하는 제비를 보고는 그와 갓지 못한 제 몸을 야속하게 생각하는 것이다.
나래업는 몸에 빈궁의 사슬이 어듸까지든지 떠날 수가 업는 곳에 오고가기를 자유로히 할 수 업는 설음이 잇는 것이다.
저 그립은 고향을 남쪽하늘에 두고 가지 못하는 심사의 설음이나 아름답은 남녁동산에서 북녘의 눈들을 못닛저하는 하소연도 결국은 따저보면 다 가튼 이러한 심정의 산물에 지내지 아니하는 것이다.
나는 다시 浦口의 떠도는 게집애들의 신세를 이곳에서 생각지 안이할 수가 업다. 생각대로 되지 아니한다고 될대로 되거라 단념해버리는 사람도 잇는 반면에는 맘대로 잇는 힘을 다하야 노력하는 곳에 아니될 것이 어듸 잇느냐고 날뛰는 여성도 잇는 것을＜64＞ 나는 다갓치 회색의 눈으로 들어다보지 아니할 수 업는 설음을 가지게 된다. 썩어진 말의 「謀事는 在人이요, 成事는 在天이라」니 이곳에서 숙명론을 무어라 安心立命으로 하고 그대로 주저안즐가 아니다. 숙명이란 무엇이냐. 오직 노력해 나가자. 나아가면 반드시 큰 길이 보이는 것이다. 웨 그 길을 나아가지 아니하랴는가 할 것이다. 그러나 이 두가지의 자미롭지 못한 대조를 실지로 보여주는 것은 포구까의 세상이다.
포구는 아름답은 곳이다. 더구나 국경의 포구란 유다릇케 사람의 맘을 끄는 것은 그 곳에 인정미로의 아름답은 광경이 잇는 것과 동시에 또 특별한 몰인정으로의 잔혹성이 잇기 때문이다. 더구나 新義州가튼 포구에는 철교하나를 가운데 두고 조화와 난잡 의리와 불의와 애정과 증오와의 서로 어울니지 안이하는 이중주를 들을 수가 잇다. 이것이 업시는 국경으로의 그 본색을 볼 수가 업는 것이다. 義人은 그 불의를 설어하기 때문에 이곳에 살만한 것이요 불의의 사람은 어듸까지든지 그 불의를 맘대로 할 수가 잇기 때문에 그 곳을 떠나지 못하게 되는 것이라 하면 넘우도 심한 모순을 꾸짓는 인사가 잇슬지는 몰으나 사실은 거짓말가튼 사실은 엄정하게 사실 그대로 남아잇는 것을 엇더한 힘으론들 엇지할 수는 업는 것이다.
이약이를 하고 나니 말은 되지도 못한 딴곳으로 움으러들고 말앗다. 하로에도 두 때를 손톱만치라도 어김업시 물결은 들어왓다, 나갓다하면서 맘 둘 곳 업노라는 듯시 바다까기스러을 그 모래기슭을 무심이 두다리며 노래하는 것을 보라. 그리고 좌우로 안정업시 뛰노는 배대들을 보라. 무심한 이 노래에 안정업시 흔들니는 종종한 배대들을 흥에 겨워 춤추는 것이라고만 할 수가 업는 것이다. 이것은 말할 것도 엄시 포구 그 자신의 무겁은 몸둥이 우에 담아노흔 혹은 뛰놀고 혹은 설어하고 엇던 이는 웃고 엇던 이는 노래하는 그것이나 조곰도 다름이 업는 것이다. 아모리 그들은 맘에는 잇건업건 제멋대로 하로하로의 그날을 보낸다•˜드라도 그 끗은 언제까지든지 안정업시 왁 모혓다가는 왁 슬어어지지 아니할 수 업는 신세 그 자신이다.
만일 이러한 포구에 무심한 술잔을 들고 지내가는 시간과 하소연한 제 맘을 맘에도 업는「아리랑」으로 속여가지 안이할 수 업는 뜨내기에 신세가 잇다하면 그 얼마나 이러한 광경과의 대조에 맛는 것이라 할 것인가. 이야말노 포구의 정조는 이러한 곳에 잇는 것이요 이러한 곳에서뿐 落倫으로의 哀歌란 유다른 斷腸을 가지게 하는 것이다. 그러기에 달밝은 밤의 기스러치며 휘도는 물결의 노래를 그대로 들을 것이 아니요 팔한 하늘의 넓은 우에 검은 구름이 떠도는 것을 예사로 보고 말 것이 아니다. 맘에 생각하는 바가 잇는지라 물결소리조차 다릇치 아니할 수 업는 것이요 심사가 흐린지라 떠도는 검은 구름을 그대로 보고말 것이 못되는 것이다.＜65＞
아닌게 아니라 사실 이러한 곳에 모혀서 내 자신을 거즛하고 남의 맘을 흘이게 하는 여자의 대부분은 대개가 떠도는 가을 바람의 나무입사귀와 갓다.
