Magazine Title:	삼천리 第4卷 第3號
Publication Date:	1932년 03월 01일 (March 1, 1932)
Article Title:	有名人士 三兄弟 行進曲, 閔木植氏 三兄弟, 金性洙氏 三兄弟, 崔南善氏 三兄弟, 張德秀氏 三兄弟 (March of Famous Trios of Brothers: The Min Mok-sik Brothers, The Kim Sŏng-su Brothers, The Ch'oe Nam-sŏn Brothers, The Chang Tŏk-su Brothers)
Author:	柳光烈 (Yu Kwang-nyŏl)
Article Type:	소식 (News/Report)

March of Famous Trios of Brothers: The Min Mok-sik Brothers, The Kim Sŏng-su Brothers, The Ch'oe Nam-sŏn Brothers, The Chang Tŏk-su Brothers
						Yu Kwang-nyŏl (柳光烈)

The phrase "Your family's brothers are unrivalled (君家兄弟는 莫能當)" is an expression of envy towards another's siblings. In Chosŏn (朝鮮) too, there are several sets of brothers whom others envy, and the editor of Samch'ŏlli (三千里) has requested that I list them. However, my purpose in writing this piece is not necessarily to express envy towards these brothers. It merely aims to select and introduce individuals somewhat known to the public.

Min Hyŏng-sik (閔衡植), Min Tae-sik (閔大植), Min Kyu-sik (閔奎植)
These three brothers are the sons of Mr. Min Yŏng-hwi (閔泳徽), famous as a wealthy man in Chosŏn.
The eldest brother, Mr. Min Hyŏng-sik, does not seem to be a school graduate but has considerable knowledge of classical Chinese, and his calligraphy is renowned in Chosŏn; there is likely no one in the calligraphy and painting world (書畵界) unfamiliar with the name Uha Min Hyŏng-sik (又荷 閔衡植). He is the eldest son of a rich family. He possesses the virtue of loving others and humbling himself (愛人下己), and is said to help the poor, elderly, and destitute relatives (窮老貧戚) frequently. Recently, he has been serving as a director of the incorporated foundation Hwimun High Common School (徽文高普), but there are even rumors that this very virtue of generously helping needy acquaintances became a pretext for him being declared bankrupt.
Next, Mr. Min Tae-sik is a graduate of a university in Britain (英國) and currently serves as an executive at Tongil Bank (東一銀行), holding a considerable reputation in financial circles. However, it is regrettable that he is extremely indifferent to social enterprises. There is also word that he recently exerted considerable effort for the cultural projects of the Kyemyŏng Club (啓明俱樂部).
Lastly, Mr. Min Kyu-sik is a graduate of Cambridge University (劍橋大學) in Britain and is said to assist his elder brother (乃兄), contributing to the financial world. Judging by his lack of participation in social circles, <52> he seems indifferent towards Chosŏn society, perhaps befitting the son of a plutocrat (거부) and a university graduate. Perhaps he devotes all his capabilities solely to his own convenience? It is said that the Tong-a Department Store (東亞백화점) building recently constructed on Chongno Avenue (鍾路通) is his property, but this is certainly not a contribution to society.
These three brothers possess considerable capabilities, yet it is regrettable that their efforts in social enterprises are few.

Kim Sŏng-su (金性洙), Kim Yŏn-su (金䄵洙), Kim Chae-su (金在洙)
Mr. Kim Sŏng-su is too famous to require introduction here. Chungang School (中央學校), the Tong-a Ilbo (東亞日報), Kyŏngsŏng Spinning (京城방직), and Haedong Bank (海東銀行) fall within the scope of his enterprises. As the son of a landowner in Kŏlp'o (茁浦), South Chŏlla Province (全南), he has now become a figure of national renown throughout Chosŏn. It is said that recently he has been losing sleep planning Chosŏn's first People's University (民立大學); regardless of the outcome, his intention alone is commendable. His academic background as a graduate of Waseda University's (早稻田大學) Politics and Economics Department is something that could just as well be present or absent concerning his overall persona.
Next, Mr. Kim Yŏn-su is a graduate of Kyoto Imperial University's (京都帝大) Economics Department. Not only does he possess a considerable academic background, but his meticulous mind is sharp in financial management (理財), and it is said that the business strategies for the various enterprises managed by his elder brother (乃兄) mostly originate from his head. Currently serving as the managing director of Haedong Bank (海東銀行), he holds considerable prestige in financial circles. His diminutive physique appears frail at first glance, but upon closer observation, there is something sturdy and resolute about him. When his elder brother, Sŏng-su, was adopted out (出系) to continue another family line and spent his entire fortune on social enterprises, Yŏn-su worked behind the scenes to manage the situation, contributing most of his personal wealth as well. He reportedly never uttered a word of complaint (怨言) towards his brother, always putting his brother forward in any enterprise while remaining in the background, attributing all credit and prestige to his brother; this too cannot but be called a virtue. When Mr. [Yŏn-su] fell critically ill with tuberculosis some years ago, his brother Sŏng-su wailed day and night in loving care, despairingly lamenting, "If my younger brother meets misfortune, that will be the day my own enterprises end"—this was more than understandable.
Lastly, Mr. Kim Chae-su, although still young (年淺), is heard to be managing a rice mill (정미소) in Che-dong (齊洞) and operating a silk reeling (製絲) business outside the East Gate (東大門). His academic background is unknown but is said to be likely above the middle school level.

Ch'oe Ch'ang-sŏn (崔昌善), Ch'oe Nam-sŏn (崔南善), Ch'oe Tu-sŏn (崔斗善)
Mr. Ch'oe Ch'ang-sŏn is said to have poured most of his fortune into managing the cultural institution Sinmun'gwan (新文舘) in Hwanggŭmjŏng (黃金町). Even as his younger brother, Ch'oe Nam-sŏn, spent considerable sums on cultural enterprises, Ch'ang-sŏn reportedly never complained and thoroughly resigned himself (自甘하다) to being a 'patron' (파트론) in the background.
Mr. Ch'oe Nam-sŏn is also too famous to need introduction here. Since the founding of Sinmun'gwan, he has been a meritorious figure who dedicated over a decade to pioneering Chosŏn's new culture. It is only regrettable that in recent times his fame has gradually lost its luster and color (失光無色). A man who made his mark (一頭地) in the field of Chosŏn historiography (朝鮮史學界), <53> Mr. [Ch'oe Nam-sŏn] has no particularly noteworthy academic credentials, having achieved greatness largely through self-study and independent learning (自習獨學). Mr. Ch'oe Tu-sŏn is currently a teacher (교원) at Chungang School (中央學校). After graduating first from Waseda University (早稻田大學) and returning to Chosŏn, he served as principal of Chungang School, then went to Germany (獨逸) to study philosophy. After returning, his reputation was somewhat tarnished for a time, but he is now practicing self-discipline (근신하다) and is in the process of restoring his former name (前名).

Chang Tŏk-chun (張德俊), Chang Tŏk-su (張德秀), Chang Tŏk-chin (張德震)
Mr. Chang Tŏk-chun is the son of a farmer from Chaeryŏng (載寧), Hwanghae Province (黃海道). He had enrolled at Waseda (早稻田) and was working as a reporter (기자) for the Tong-a Ilbo (東亞日報) when he went to the Kando Incident (間島事變) and vanished, his fate unknown ever since. He is described as a person easily moved to passion (감격하기 쉬웁고), full of human feeling (인정이 만흐며), and possessing unique views (일가견) on politics.
Mr. Chang Tŏk-su is currently the Vice President of the Tong-a Ilbo (東亞日報) and is studying abroad in London, England (英京倫敦). A graduate of Waseda University (早稻田大學), he was already famous when he became a reporter for the Tong-a Ilbo. It has been 10 years since he went to America (米國) after hearing unfavorable things related to some secret society incident (決死事件). He is a man with great future prospects (장래가 만흔).
Mr. Chang Tŏk-chin was also a person easily moved to passion. Unlike his two elder brothers, he possessed a strong 'terrorist' (테로) disposition. Going to OO [unspecified place/year], he shed many tears traversing the snow and moonlit landscapes of Manchuria (滿洲), often choked up by the sound of the water at the Huangpu Bund (黃浦灘), and struggled immensely trying to accomplish something. Some years ago, he met a violent death (非命橫死) in Shanghai (上海). His death too cannot but be considered a kind of sacrifice (犧牲). <54>
<52-54>

**Summary**

This 1932 article from the magazine *Samch'ŏlli* profiles four sets of prominent Korean brothers: the Mins (Hyŏng-sik, Tae-sik, Kyu-sik), Kims (Sŏng-su, Yŏn-su, Chae-su), Ch'oes (Ch'ang-sŏn, Nam-sŏn, Tu-sŏn), and Changs (Tŏk-chun, Tŏk-su, Tŏk-chin). Written by Yu Kwang-nyŏl, it details their family backgrounds (often wealthy landowners or farmers), education (including prestigious universities in Korea, Japan, Britain), and careers spanning finance, business (banking, spinning, department stores), cultural endeavors (publishing, calligraphy, history), education, and journalism. The author praises some for their social contributions (like Kim Sŏng-su's planned university or Ch'oe Nam-sŏn's cultural work) but criticizes others (like the Min brothers) for perceived indifference to societal needs despite their privilege. The article also touches upon personal hardships, including financial troubles, illness, political entanglements leading to disappearance (Chang Tŏk-chun in Kando) or exile (Chang Tŏk-su to America), and violent death (Chang Tŏk-chin in Shanghai).

From a historical perspective, the article offers a valuable glimpse into the Korean elite during the Japanese colonial period. It highlights the diverse paths taken by educated and influential Koreans – some focusing on economic development within the colonial system, others on cultural preservation and education (like the Chungang School or Sinmun'gwan), and still others involved in more politically charged activities, sometimes with tragic consequences. The author's critical commentary on the social responsibilities of the wealthy and educated reflects contemporary debates about the role of the elite in a colonized nation. The mention of specific incidents like the Kando Incident, activities in Manchuria and Shanghai, and studies in Britain and Japan further situates these individuals within the broader context of Korean nationalism, diaspora, and engagement with modernity under colonial rule. Historians could find the descriptions of business ventures (like Tong-a Department Store, Kyŏngsŏng Spinning), educational institutions, media outlets (Tong-a Ilbo), and the personal sacrifices or perceived failings of these prominent figures particularly illuminating.

**Named Entities**

閔木植	민목식	Min Mok-sik
金性洙	김성수	Kim Sŏng-su
崔南善	최남선	Ch'oe Nam-sŏn
張德秀	장덕수	Chang Tŏk-su
柳光烈	유광렬	Yu Kwang-nyŏl
朝鮮	조선	Chosŏn (Korea)
閔衡植	민형식	Min Hyŏng-sik
閔大植	민대식	Min Tae-sik
閔奎植	민규식	Min Kyu-sik
閔泳徽	민영휘	Min Yŏng-hwi
又荷 閔衡植	우하 민형식	Uha Min Hyŏng-sik (Pen name of Min Hyŏng-sik)
徽文高普	휘문고보	Hwimun High Common School
英國	영국	Yŏngguk (Britain)
東一銀行	동일은행	Tongil Bank
啓明俱樂部	계명구락부	Kyemyŏng Club (Kyemyŏng Kŭrakpu)
劍橋大學	검교대학	Kŏmgyo University (Cambridge University)
乃兄	내형	Naehyŏng (One's elder brother - used here for Min Tae-sik & Kim Sŏng-su)
鍾路通	종로통	Chongno Avenue (Chongno-t'ong)
東亞백화점	동아백화점	Tong-a Department Store
金䄵洙	김연수	Kim Yŏn-su
金在洙	김재수	Kim Chae-su
中央學校	중앙학교	Chungang School
東亞日報	동아일보	Tong-a Ilbo (Newspaper)
京城방직	경성방직	Kyŏngsŏng Spinning
海東은행	해동은행	Haedong Bank
全南	전남	Chŏnnam (South Chŏlla Province)
茁浦	졸포	Chŏlp'o (Kŏlp'o)
民立大學	민립대학	People's University (Minrip Taehak)
早稻田大學	조도전대학	Chodo-chŏn University (Waseda University)
京都帝大	경도제대	Kyŏngdo Chedae (Kyoto Imperial University)
齊洞	제동	Che-dong
東大門	동대문	Tongdaemun (East Gate area of Seoul)
崔昌善	최창선	Ch'oe Ch'ang-sŏn
崔斗善	최두선	Ch'oe Tu-sŏn
黃金町	황금정	Hwanggŭmjŏng (Koganechō - area in colonial Seoul)
新文舘	신문관	Sinmun'gwan (Publishing house/Cultural center)
獨逸	독일	Togil (Germany)
張德俊	장덕준	Chang Tŏk-chun
張德震	장덕진	Chang Tŏk-chin
黃海道	황해도	Hwanghae Province
載寧	재령	Chaeryŏng
早稻田	조도전	Chodo-chŏn (Waseda)
間島事變	간도사변	Kando Incident (Kando Sabyŏn)
英京倫敦	영경륜돈	Yŏnggyŏng Ryundon (London, capital of England)
米國	미국	Miguk (America/USA)
滿洲	만주	Manju (Manchuria)
黃浦灘	황포탄	Hwangp'ot'an (The Bund, Shanghai)
上海	상해	Sanghae (Shanghai)

**Glossary**

有名人士	유명인사	Famous figures, celebrities
三兄弟	삼형제	Three brothers
行進曲	행진곡	March (musical composition); here used figuratively
君家兄弟	군가형제	Your family's brothers (polite, slightly archaic)
莫能當	막능당	Cannot be matched, unrivalled (Classical Chinese phrase)
몃사람	몇 사람	Several people (Older spelling of 몇)
잇스니	있으니	As there are (Older spelling of 있으니)
골나서	골라서	Selecting, choosing (Older spelling of 골라서)
知名한	지명한	Well-known, famous
부호	부호	Wealthy person, tycoon
상당하고	상당하고	Is considerable, substantial
서법	서법	Calligraphy
명필	명필	Master calligrapher; renowned calligraphy
일홈이 노파	이름이 높아	Name is high (i.e., famous, renowned) (Older spelling of 이름, 높아)
업슬	없을	Will not be (Older spelling of 없을)
부자집	부잣집	Rich family's house/family
장자	장자	Eldest son
愛人下己	애인하기	Loving others and humbling oneself (Virtue)
잇고	있고	And there is (Older spelling of 있고)
窮老貧戚	궁로빈척	The poor, old, destitute relatives
만히	많이	Many, much, frequently (Older spelling of 많이)
도아준다고 한다	도와준다고 한다	Is said to help (Older spelling of 도와준다고)
재단법인	재단법인	Incorporated foundation
잇스나	있으나	Although there is/he is (Older spelling of 있으나)
도로혀	도리어	Rather, on the contrary (Older spelling/form of 도리어)
빌미	빌미	Pretext, cause, excuse
파산선고	파산선고	Declaration of bankruptcy
바닷다는	받았다는	That [he] received (Older spelling of 받았다는)
중역	중역	Executive, director (of a company)
재계	재계	Financial world, business circles
사회적 사업	사회적 사업	Social enterprise, public work
냉담하다	냉담하다	To be indifferent, cold, aloof
용력	용력	Effort, exertion
끗트로	끝으로	Lastly, finally (Older spelling of 끝으로)
안음으로	않음으로	Because [he] does not (Older spelling of 않음으로)
거부	거부	Plutocrat, very wealthy person
자격	자격	Qualification, capacity, status
편리에만	편리에만	Only for [one's own] convenience
기우리지 안는가	기울이지 않는가	Does [he] not lean/devote? (Older spelling/form)
소유이라	소유이라	Is the property of (Slightly older grammatical form)
공헌	공헌	Contribution
유감이다	유감이다	It is regrettable
잇스며	있으며	While having, and having (Older spelling of 있으며)
아들노	아들로	As a son (Older spelling of 아들로)
되엇다	되었다	Became (Older spelling of 되었다)
민립대학	민립대학	People's University (literally, people-established university)
획책하며	획책하며	Planning, scheming
밤잠을 못잔다	밤잠을 못 잔다	Cannot sleep at night
성과	성과	Result, outcome
하여간	하여간	Anyway, regardless
의도	의도	Intention, aim
학력쯤은	학력쯤은	Academic background or so (쯤 adds nuance of 'about' or 'mere')
전인격	전인격	Whole personality, entire character
조코	좋고	Is good and... (Older spelling of 좋고)
치밀한	치밀한	Meticulous, detailed, precise
두뇌	두뇌	Brain, mind
이재	이재	Financial management, making money
밝아	밝아	Being bright/sharp (at something)
기업방침	기업방침	Business policy/strategy
대부분	대부분	Mostly, for the most part
명망	명망	Prestige, reputation
왜소한	왜소한	Diminutive, small in stature
체격	체격	Physique, build
일견에	일견에	At first glance
빈약하여	빈약하여	Being poor, meagre, frail
보히나	보이나	Although it looks/appears (Older form of 보이나)
어대인지	어딘지	Somewhere, somehow (Older spelling of 어딘지)
올차고	올차고	Sturdy, solid
다부진 데	다부진 데	Resolute aspect, determined part
출계하야	출계하여	Being adopted out (to continue another family line)
소비하자	소비하자	As [he] spent/consumed
수습에 힘쓰고	수습에 힘쓰고	Striving to manage/resolve the situation
자가재산	자가재산	Personal property/wealth
넛퇴	넣되	Putting in, but... (Older spelling/form of 넣되)
일즉이	일찍이	Early on, never (in negative contexts) (Older spelling of 일찍이)
원언	원언	Word of complaint, grievance
업고	없고	Without, and not having (Older spelling of 없고)
내세고	내세우고	Putting forward, promoting
돌닌다 하니	돌린다 하니	As it is said he attributes/gives (Older spelling of 돌린다)
미덕	미덕	Virtue
폐병	폐병	Lung disease (often implies tuberculosis)
중태에 빠젓슬 때에	중태에 빠졌을 때에	When [he] fell into critical condition (Older spelling of 빠졌을)
일야로	일야로	Day and night
통곡 애호하며	통곡 애호하며	Wailing and caring lovingly
불행하면	불행하면	If [he meets] misfortune
다보는 날이라	다 보는 날이라	Is the day it all ends (colloquial, implies ruin)
절망	절망	Despair
비통한	비통한	Grief-stricken, sorrowful
당연 이상	당연 이상	More than natural/understandable
년천하나	연천하나	Although young in years (年淺)
정미소	정미소	Rice mill
경영하고	경영하고	Managing, operating
제사사업	제사사업	Silk reeling business
듯 하다고 한다	듯하다고 한다	It is said that it seems (Older spelling of 듯)
문화기관	문화기관	Cultural institution
경영하기에	경영하기에	In managing
기우리엇다고 한다	기울였다고 한다	Is said to have poured/devoted (Older spelling of 기울였다)
아우	아우	Younger brother
원성	원성	Voice of complaint, resentment
철두철미	철두철미	Thoroughly, from head to tail
후방의	후방의	Of the rear, in the background
파트론	파트론	Patron (loanword)
자감하엿다고 한다	자감하였다고 한다	Is said to have willingly accepted/resigned himself to (Older spelling of 하였다)
개척에 힘쓴	개척에 힘쓴	Strived to pioneer/develop
공로자	공로자	Person of merit, meritorious figure
점차	점차	Gradually, increasingly
실광무색한	실광무색한	Having lost luster and color, faded
섭섭한	섭섭한	Regrettable, sad, disappointing
사학계	사학계	Field of history, historical studies circles
일두지	일두지	Prominent position, preeminence (一頭地)
드러내인	드러내인	Revealed, made known (Older form of 드러낸)
이러타할	이러타 할	Noteworthy, particular (Older spelling of 이렇다 할)
자습독학	자습독학	Self-study and independent learning
대성	대성	Great achievement, success
교원	교원	Teacher, instructor (older term)
제1번으로	제1번으로	As number one, first
졸업하고	졸업하고	Graduating
역임하고	역임하고	Having successively held the post of
철학	철학	Philosophy
닥고	닦고	Polishing, cultivating, studying (Older spelling of 닦고)
귀국한	귀국한	Having returned to one's country
일시	일시	Temporarily, for a time
명예	명예	Honor, reputation
금이 갓섯스나	금이 갔었으나	Was tarnished (lit. crack went), but... (Older spelling of 갔었으나)
근신하야	근신하여	Practicing self-discipline, being prudent
전명	전명	Former name/reputation
회복하는 중	회복하는 중	In the middle of recovering
농부	농부	Farmer
학적을 두엇섯고	학적을 두었었고	Had been enrolled (Older spelling of 두었었고)
