Magazine Title: 개벽 제10호
Publication Date: 1921년 04월 01일
Article Title: 나의 生活詩에서 (From My Poems of Life)
Author: 朴義山
Article Type: 시 (Poem)

From My Poems of Life
						Pak Ŭisan

Rain in the City

Rain falls on the coal-tar road
A rumbling, loaded cart
A dark heart!
The city rain falls.

On the pointed roofs
On the tall chimneys
And on my head without an umbrella
The city rain falls.

For long days
From the murky sky
Onto the great earth
The city rain falls.

Vicious Poem

I want to taste all the pleasure I can
What does it matter whether high or low
The blood of youth! Oh! That hot blood!
Whenever it may be, I want to enjoy all the pleasure I can.

A damp, dry such life
A life where the clear future is visible
I hate it! To wash away this heart-wrenching sorrow, even for a moment
I will dare any kind of pleasure. <105>
Temptation's white hand embraces my neck
The lips! Those lips that kissed a thousand people!
The rich, bitter and sweet taste of the flesh
That moment! Oh! Is my entire life.

O Lord! I have fallen this far
Yet, I was once the Lord's faithful apostle
The seeds of the Way were sown in me from childhood.
Even in this heart like a stone!!

Oh! The longing for those times
When opening my smiling mouth before good men and women
With a resonant voice, praising the Lord
Oh! Pure dew formed in these eyes!!

Deeper and deeper I go down, into the bottomless pit
Shouting with joy, I go down
Please do not hold me back, Lord!
How can I ever climb up to that boundless height?

Youth disappears
The pleasures of youth also disappear
The longing for those days that cannot be grasped!
Youth, shouting silently,
Disappears into the pit of darkness.

The suffering of youth also disappears
The bitterness of those days that cannot be tasted!
Youth, slowly lamenting,
Disappears into the brightness beyond.

Joy and sorrow disappear.
That which was the pride of youth disappears!!
A road opens up before us.
Let us go! With sturdy steps! <106>

**Summary**

This article presents two poems by Pak Ŭisan. The first, "Rain in the City," evokes a bleak, monotonous urban landscape under constant rain, symbolizing oppressive gloom. The second, "Vicious Poem," charts a dramatic descent from youthful yearning for intense pleasure and escape from sorrow, through recollections of lost faith and appeals to God, into an acceptance of falling into darkness, finally resolving into a determined forward movement as youth, joy, and sorrow fade. The poems reflect a profound sense of disillusionment, spiritual crisis, and the turbulent emotions of youth in early colonial Korea. Historians might find the stark contrast between urban despair, hedonistic escape, lingering religious sentiment, and eventual resolve indicative of the psychological complexities and search for meaning among Korean intellectuals during a period of significant social upheaval and national distress.

**Named Entities**

朴義山	박의산	Pak Ŭisan
한우님	하느님	Hanunim (Lord/God)

**Glossary**

콜타르	콜타르	Coal tar
길우로	길 위로	On the road (older spelling/particle usage)
떨떨	떨떨	Rumbling (onomatopoeia)
굴으는	구르는	Rolling (older spelling)
짐실흔	짐 실은	Loaded with baggage/freight (older spelling)
컴컴한	캄캄한	Pitch-dark, gloomy (older spelling)
꼬틱	뾰족	Pointed (likely dialectal or older form for 뾰족한)
집웅	지붕	Roof (older spelling)
놉다란	높다란	Tall, high (older spelling)
굴둑	굴뚝	Chimney (older spelling)
한울	하늘	Sky (older spelling)
大地	대지	Great earth, land
惡詩	악시	Vicious poem, poem about wickedness
歡樂	환락	Pleasure, enjoyment
맛볼랸다	맛보련다	Intend to taste (older conjugation)
놉고 나즌	높고 낮은	High and low (older spelling)
갈힘이야	가름이야	Distinction, division (older spelling/form)
靑春	청춘	Youth
눅진한	눅진한	Damp, humid
乾燥한	건조한	Dry
또렷한	뚜렷한	Clear, distinct (older spelling)
未來	미래	Future
生	생	Life
실혀	싫어	To dislike, hate (older spelling/form)
徹骨한	철골한	Heart-wrenching, piercing to the bone
悲哀	비애	Sorrow, grief
敢하랸다	감하련다	Intend to dare (older conjugation)
誘惑	유혹	Temptation
힌	흰	White (older spelling)
얼싸안고	얼싸안고	To embrace tightly
입슐	입술	Lips (older spelling)
豊富한	풍부한	Abundant, rich
肉	육	Flesh
쓰고 달디단맛	쓰고 달디단 맛	Bitter and very sweet taste
瞬間	순간	Moment, instant
全軆	전체	The whole, entirety (older Hanja form for 체)
한우님	하느님	God, Lord (older spelling/term)
밋부신	미쁘신	Faithful, trustworthy (archaic/dialectal)
使徒	사도	Apostle
道	도	The Way, path (philosophical/religious)
심겻답니다	심겼답니다	Was planted (older spelling)
돌덩이	돌덩이	Lump of stone
가튼	같은	Like, same as (older spelling)
그리움	그리움	Longing, yearning
善男善女	선남선녀	Good men and women (often in Buddhist context, here likely pious people)
아페	앞에	In front of (older spelling)
우렁찬	우렁찬	Resonant, resounding
기리는	기리는	Praising, honoring
이슬	이슬	Dew
매첫던	맺혔던	Formed, gathered (as tears or dew) (older spelling)
점점	점점	Gradually, little by little
나려간다	내려간다	Goes down (older spelling)
밋업는	밑 없는	Bottomless (older spelling)
굴헝	구렁	Pit, abyss (older spelling)
歡喜	환희	Joy, delight
붓들지	붙들지	Hold back, seize (older spelling)
마셔요	마소서	Please don't (imperative, older polite form)
가이업는	가없는	Boundless, limitless (older spelling)
놉흔거긔	높은 거기(에)	To that high place (older spelling/form)
사라지도다	사라지도다	Disappears (archaic poetic form)
享樂	향락	Enjoyment, pleasure (often sensual)
뒤잡을 수 업는	뒤잡을 수 없는	Cannot be grasped again (older spelling '업는')
군호치며	군호치며	Shouting commands/signals (possibly archaic or specific usage)
어둠	어둠	Darkness
苦楚	고초	Suffering, hardship
애닯아하며	애달파하며	Lamenting, grieving (older spelling)
저편	저편	That side, the yonder side
훤함	훤함	Brightness, clearness
깃븜	기쁨	Joy (older spelling)
슯흔	슬픔	Sorrow (older spelling)
티이도다	트이도다	Is opened (older spelling/poetic form)
가사이다	갑시다	Let's go (older polite hortative form)
튼튼한	튼튼한	Sturdy, strong
거름	걸음	Step, pace (older spelling/form)
-e 

---------------------------


잡지명	개벽 제10호
발행일	1921년 04월 01일
기사제목	나의 生活詩에서
필자	朴義山
기사형태	시

나의 生活詩에서
						朴義山
都會의 비
콜타르 길우로 비가 나린다
떨떨 굴으는 짐실흔 수레
컴컴한 마음!
都會의 비가 나린다.

꼬틱 집웅으로
놉다란 굴둑 우으로
우산업는 나의 머리에도
都會의 비가 나린다.

긴날 동안을
흐리멍덩한 한울에서
大地 우으로
都會의 비가 나린다.


惡詩
나는 가진 歡樂 맛볼랸다
놉고 나즌 갈힘이야 무삼하랴
靑春의 피 오! 그 더운 피!
언제던지 가진 歡樂 누릴랸다.

눅진한 乾燥한 그런 삶도
또렷한 未來 보이는 그런 生도
나는 실혀! 한때라도 이 徹骨한 悲哀를
씻어낼 어떠한 歡樂이라도 敢하랸다.＜105＞
誘惑의 힌 손이 내 목을 얼싸안고
입술이! 그 千사람의 입을 빨던 그 입슐!
豊富한 肉의 그 쓰고 달디단맛
그 瞬間이 오! 내 生의 全軆다.

한우님이어! 예까지 떨어젓습니다
그래도 한때는 主의 밋부신 使徒엿서요
어릴때부터 道의 씨가 심겻답니다.
이 돌덩이 가튼 가슴에도!!

오! 그 時節의 그리움이어
방싯입을 열어 善男善女아페
우렁찬 목소리로 主를 기리는 때면
오! 맑은 이슬이 매첫던 것을 이 눈에!!

점점 나려간다 밋업는 굴헝으로
歡喜의 소리치며 나는 나려 가도다
제발 날 붓들지 마셔요 한우님!
가이업는 놉흔거긔 언제 올라갑니까

젊은 날은 사라지도다
젊은 날의 享樂도 사라지도다
뒤잡을 수 업는 그 날의 그리움이어!
젊은 날은 소리업시 군호치며
어둠의 굴헝으로 사라지도다.

젊은 날의 苦楚도 사라지도다
맛볼수 업는 그 날의 쓰디씀이어!
젊은 날은 천천이 애닯아하며
저편 훤함에 사라지도다.

깃븜도 슯흔도 사라지도다.
젊은 날의 자랑인 그것은 사라지도다!!
한길이 티이도다. 우리아페
가사이다 튼튼한 거름으로!＜106＞
