잡지명: 別乾坤 第六十九號
발행일: 1934년 01월 01일
기사제목: 朝鮮名山岳과 名河川 (Famous Mountains and Rivers of Korea)
기사형태: 잡저 (Miscellaneous Article)

Famous Mountains and Rivers of Korea

1. Mountains

Kyŏngsŏng Namsan: 260 meters

Kyŏngsŏng Pugaksan: 338 meters

Pukhansan (Man'gyŏngdae): 800 meters

Kwach'ŏn Kwanaksan: 629 meters

Sŏngju Kayasan: 1,430 meters

Chirisan: 1,919 meters

Kongju Kyeryongsan: 828 meters

Cheju Hallasan: 1,950 meters

Poŭn Songnisan (Ch'ŏnwangbong): 1,057 meters

Ŭn'gye Kugwŏlsan: 954 meters

Musan Ch'ilbong: 1,292 meters

P'ungsan Ongnyŏnsan: 2,164 meters

Tanch'ŏn Duryusan: 2,309 meters

Kwang'ŏng Kwanmosan: 2,541 meters

Changjin Tuunbong: 2,487 meters

Kwangju Mudŭngsan: 1,187 meters

Kapsan Paektusan: 1,986 meters

Kangnŭng Norinbong: 1,056 meters

Hwaeyang Ch'ŏllyŏng: 685 meters

Nyŏngwŏn Hwangnyŏng: 1,887 meters

Kŭmgangsan (Oegŭmgang Mirŭkbong): 1,538 meters

Tongmasŏgam: 1,364 meters

Naegŭmgang Wŏlch'ulbong: 1,552 meters

Sakchu Ch'ŏnmasan: 1,169 meters

Yŏnch'ŏn Poiksan: 877

2. Rivers

Yalu River (from Kapsan to Yongsan): 201 li, 9 chŏng, 790 ch'ŏ, 35 (里, 町, 粁, 抄)

Naktong River (from Kangwŏn-do Samch'ŏk to Kyŏngnam Kimhae): 133 li, 25 chŏng, 529 ch'ŏ

Nam River (Chinju) (from Hamyang to Ŭiryŏng Ham'an): 47 li, 16 chŏng, 183 ch'ŏ, 47

Tumen River (from Musan to Kyŏnghŭng and Russian territory): 133 li, 19 chŏng, 520 ch'ŏ, 50

Han River (from Kangwŏn-do Samch'ŏk to Kanghwa): 131 li, 00 chŏng, 469 ch'ŏ, 71

Taedong River (from Nyŏngwŏn to Ŭnnyul): 111 li, 266 chŏng, 397 ch'ŏ, 05

Kŭm River (from Chŏnnam Changsu to Ch'ungnam Sŏch'ŏn): 102 li, 27 chŏng, 401 ch'ŏ, 40

Imjin River (from Hamnam Tŏgwŏn to P'aju): 64 li, 24 chŏng, 254 ch'ŏ, 16

Yesŏng River (from Chinnan to Hadong): 54 li, 02 chŏng, 212 ch'ŏ, 30

Ch'ŏngju River (from Hŭich'ŏn to Anju): 50 li, 21 chŏng, 19 ch'ŏ, 75

Yeseong River (from Súan to Yeonbaek): 44 li, 14 jeong, 174 cheo, 25 <15>

Named Entities

京城	Kyŏngsŏng
果川	Kwach'ŏn
星州	Sŏngju
智異山	Chirisan
公州	Kongju
濟州	Cheju
報恩	Poŭn
俗離山	Songnisan
殷㮣	Ŭn'gye
茂山	Musan
豐山	P'ungsan
端川	Tanch'ŏn
鑧城	Kwang'ŏng
長津	Changjin
光州	Kwangju
甲山	Kapsan
白頭山	Paektusan
江陵	Kangnŭng
淮陽	Hwaeyang
寧遠	Nyŏngwŏn
金剛山	Kŭmgangsan
朔州	Sakchu
漣川	Yŏnch'ŏn
鴨綠江	Amnokkang
甲山	Kapsan
龍山	Yongsan
洛東江	Naktonggang
江原道	Kangwŏn-do
三陟	Samch'ŏk
慶南	Kyŏngnam
金海	Kimhae
南江	Namgang
晉州	Chinju
咸陽	Hamyang
宜寧	Ŭiryŏng
咸安	Ham'an
豆滿江	Tuman River
茂山	Musan
慶興	Kyŏnghŭng
漢江	Han River
江華	Kanghwa
大同江	Taedonggang
殷栗	Ŭnnyul
錦江	Kŭmgang
全南	Chŏnnam
長水	Changsu
忠南	Ch'ungnam
舒川	Sŏch'ŏn
臨津江	Imjingang
咸南	Hamnam
德源	Tŏgwŏn
波州	P'aju
鎭安	Chinnan
河東	Hadong
淸州	Ch'ŏngju
熙川	Hŭich'ŏn
安州	Anju
禮成江	Yeseonggang
遂安	Suan
延白	Yŏnbaek



---------------------------


잡지명	별건곤 제69호
발행일	1934년 01월 01일
기사제목	朝鮮名山岳과 名河川
기사형태	잡저

朝鮮名山岳과 名河川
一, 山岳
京城南山 二六○ 米
京城北岳山 三三八
北漢山(萬景臺) 八○○
果川冠岳山 六二九
星州伽倻山 一,四三○
智異山 一,九一九
公州鷄龍山 八二八
濟州漢拏山 一,九五○
報恩俗離山(天王峯) 一,○五七
殷㮣九月山 九五四
茂山七峯 一,二九二
豐山玉蓮山 二,一六四
端川頭流山 二,三○九
鑧城冠帽山 二,五四一
長津頭雲峯 二,四八七
光州無等山 一,一八七
甲山白頭山 一,九八六
江陵老人峯 一,○五六
淮陽鐵領 六八五
寧遠黃嶺 一,八八七
金剛山(外金剛彌勒峯) 一,五三八
同磨石巖 一,三六四
內金剛月出峯 一,五五二
朔州天摩山 一,一六九
漣川寶益山 八七七
二, 河川
鴨綠江(自甲山至龍山) 二○一里九町七九○粁三五
洛東江(自江原道三陟至慶南金海) 一三三里二五町五二九粁
南江(晉州)(自咸陽至宜寧咸安) 四七里一六町一八三粁四七
豆滿江(自茂山至慶興及露領) 一三三里一九町五二○粁五○
漢江(自江原道三陟至江華) 一三一里○○町四六九粁七一
大同江(自寧遠至殷栗) 一一一里二六六町三九七粁○五
